1748_1562_000000_000000	CHAPTER III	CHAPTER three
1748_1562_000003_000014	Then I remembered that night is the fairies' day, and the moon their sun; and I thought--Everything sleeps and dreams now: when the night comes, it will be different.	Then I remembered that night is the fairies' day, and the moon their sun; and I thought-Everything sleeps and dreams now: when the night comes, it will be different.
1748_1562_000003_000017	Soon, however, I became again anxious, though from another cause.	Soon, however, I became again anxious, though from another cause.
1748_1562_000003_000018	I had eaten nothing that day, and for an hour past had been feeling the want of food.	I had eaten nothing that day, and for an hour past had been feeling the want of food.
1748_1562_000004_000001	I wondered at finding a human dwelling in this neighbourhood; and yet it did not look altogether human, though sufficiently so to encourage me to expect to find some sort of food.	I wondered at finding a human dwelling in this neighbourhood; and yet it did not look altogether human, though sufficiently so to encourage me to expect to find some sort of food.
1748_1562_000004_000003	A woman sat beside it, preparing some vegetables for dinner.	A woman sat beside it, preparing some vegetables for dinner.
1748_1562_000004_000004	This was homely and comforting.	This was homely and comforting.
1748_1562_000004_000005	As I came near, she looked up, and seeing me, showed no surprise, but bent her head again over her work, and said in a low tone:	As I came near, she looked up, and seeing me, showed no surprise, but bent her head again over her work, and said in a low tone:
1748_1562_000005_000000	"Did you see my daughter?"	"Did you see my daughter?"
1748_1562_000007_000000	Having said this, she rose and led the way into the cottage; which, I now saw, was built of the stems of small trees set closely together, and was furnished with rough chairs and tables, from which even the bark had not been removed.	Having said this, she rose and led the way into the cottage; which, I now saw, was built of the stems of small trees set closely together, and was furnished with rough chairs and tables, from which even the bark had not been removed.
1748_1562_000007_000001	As soon as she had shut the door and set a chair--	As soon as she had shut the door and set a chair-
1748_1562_000010_000001	I think I see it."	I think I see it."
1748_1562_000011_000000	"What do you see?"	"What do you see?"
1748_1562_000013_000000	"But how then do you come to live here?"	"But how then do you come to live here?"
1748_1562_000015_000001	I noticed too that her hands were delicately formed, though brown with work and exposure.	I noticed too that her hands were delicately formed, though brown with work and exposure.
1748_1562_000019_000000	"What did you mean by speaking so about the Ash?"	"What did you mean by speaking so about the Ash?"
1748_1562_000020_000001	My eyes followed her; but as the window was too small to allow anything to be seen from where I was sitting, I rose and looked over her shoulder.	My eyes followed her; but as the window was too small to allow anything to be seen from where I was sitting, I rose and looked over her shoulder.
1748_1562_000020_000002	I had just time to see, across the open space, on the edge of the denser forest, a single large ash-tree, whose foliage showed bluish, amidst the truer green of the other trees around it; when she pushed me back with an expression of impatience and terror, and then almost shut out the light from the window by setting up a large old book in it.	I had just time to see, across the open space, on the edge of the denser forest, a single large ash tree, whose foliage showed bluish, amidst the truer green of the other trees around it; when she pushed me back with an expression of impatience and terror, and then almost shut out the light from the window by setting up a large old book in it.
1748_1562_000022_000000	"But what danger is to be dreaded from him?"	"But what danger is to be dreaded from him?"
1748_1562_000023_000000	Instead of answering the question, she went again to the window and looked out, saying she feared the fairies would be interrupted by foul weather, for a storm was brewing in the west.	Instead of answering the question, she went again to the window and looked out, saying she feared the fairies would be interrupted by foul weather, for a storm was brewing in the west.
1748_1562_000024_000000	"And the sooner it grows dark, the sooner the Ash will be awake," added she.	"And the sooner it grows dark, the sooner the Ash will be awake," added she.
1748_1562_000025_000001	She replied--	She replied-
1748_1562_000026_000001	If the cat were at home, she would have her back up; for the young fairies pull the sparks out of her tail with bramble thorns, and she knows when they are coming.	If the cat were at home, she would have her back up; for the young fairies pull the sparks out of her tail with bramble thorns, and she knows when they are coming.
1748_1562_000026_000002	So do I, in another way."	So do I, in another way."
1748_1562_000028_000000	"There, I told you!" said the woman.	"There, I told you!" said the woman.
1748_1562_000029_000001	Here, however, the young woman, whom I had met in the morning, entered.	Here, however, the young woman, whom I had met in the morning, entered.
1748_1562_000029_000002	A smile passed between the mother and daughter; and then the latter began to help her mother in little household duties.	A smile passed between the mother and daughter; and then the latter began to help her mother in little household duties.
1748_1562_000030_000000	"I should like to stay here till the evening," I said; "and then go on my journey, if you will allow me."	"I should like to stay here till the evening," I said; "and then go on my journey, if you will allow me."
1748_1562_000031_000000	"You are welcome to do as you please; only it might be better to stay all night, than risk the dangers of the wood then.	"You are welcome to do as you please; only it might be better to stay all night, than risk the dangers of the wood then.
1748_1562_000033_000000	Accordingly I sat down, and feeling rather tired, and disinclined for further talk, I asked leave to look at the old book which still screened the window.	Accordingly I sat down, and feeling rather tired, and disinclined for further talk, I asked leave to look at the old book which still screened the window.
1748_1562_000033_000001	The woman brought it to me directly, but not before taking another look towards the forest, and then drawing a white blind over the window.	The woman brought it to me directly, but not before taking another look towards the forest, and then drawing a white blind over the window.
1748_1562_000033_000003	It contained many wondrous tales of Fairy Land, and olden times, and the Knights of King Arthur's table.	It contained many wondrous tales of Fairy Land, and olden times, and the Knights of King Arthur's table.
1748_1562_000033_000004	I read on and on, till the shades of the afternoon began to deepen; for in the midst of the forest it gloomed earlier than in the open country.	I read on and on, till the shades of the afternoon began to deepen; for in the midst of the forest it gloomed earlier than in the open country.
1748_1562_000033_000005	At length I came to this passage--	At length I came to this passage-
1748_1562_000034_000005	Now it came about in this wise.	Now it came about in this wise.
1748_1562_000036_000000	"Look there!" she said; "look at his fingers!"	"Look there!" she said; "look at his fingers!"
1748_1562_000038_000000	"He is almost awake, mother; and greedier than usual to-night."	"He is almost awake, mother; and greedier than usual to night."
1748_1562_000042_000000	"Shall I be able to see these things?" said I.	"Shall I be able to see these things?" said i
1748_1562_000044_000000	"Are the trees fairies too, as well as the flowers?" I asked.	"Are the trees fairies too, as well as the flowers?" I asked.
1748_1562_000047_000001	Sometimes they will act a whole play through before my eyes, with perfect composure and assurance, for they are not afraid of me.	Sometimes they will act a whole play through before my eyes, with perfect composure and assurance, for they are not afraid of me.
1748_1562_000047_000002	Only, as soon as they have done, they burst into peals of tiny laughter, as if it was such a joke to have been serious over anything.	Only, as soon as they have done, they burst into peals of tiny laughter, as if it was such a joke to have been serious over anything.
1748_1562_000047_000003	These I speak of, however, are the fairies of the garden. They are more staid and educated than those of the fields and woods. Of course they have near relations amongst the wild flowers, but they patronise them, and treat them as country cousins, who know nothing of life, and very little of manners.	These I speak of, however, are the fairies of the garden. They are more staid and educated than those of the fields and woods. Of course they have near relations amongst the wild flowers, but they patronise them, and treat them as country cousins, who know nothing of life, and very little of manners.
1748_1562_000048_000000	"Do they live IN the flowers?" I said.	"Do they live IN the flowers?" I said.
1748_1562_000049_000000	"I cannot tell," she replied.	"I cannot tell," she replied.
1748_1562_000049_000001	"There is something in it I do not understand.	"There is something in it I do not understand.
1748_1562_000049_000006	If I speak to one, he or she looks up in my face, as if I were not worth heeding, gives a little laugh, and runs away." Here the woman started, as if suddenly recollecting herself, and said in a low voice to her daughter, "Make haste--go and watch him, and see in what direction he goes."	If I speak to one, he or she looks up in my face, as if I were not worth heeding, gives a little laugh, and runs away." Here the woman started, as if suddenly recollecting herself, and said in a low voice to her daughter, "Make haste-go and watch him, and see in what direction he goes."
1748_1562_000050_000000	I may as well mention here, that the conclusion I arrived at from the observations I was afterwards able to make, was, that the flowers die because the fairies go away; not that the fairies disappear because the flowers die.	I may as well mention here, that the conclusion I arrived at from the observations I was afterwards able to make, was, that the flowers die because the fairies go away; not that the fairies disappear because the flowers die.
1748_1562_000050_000001	The flowers seem a sort of houses for them, or outer bodies, which they can put on or off when they please.	The flowers seem a sort of houses for them, or outer bodies, which they can put on or off when they please.
1748_1562_000050_000005	Yet you would see a strange resemblance, almost oneness, between the flower and the fairy, which you could not describe, but which described itself to you.	Yet you would see a strange resemblance, almost oneness, between the flower and the fairy, which you could not describe, but which described itself to you.
1748_1562_000051_000004	I pulled out my purse, but to my dismay there was nothing in it.	I pulled out my purse, but to my dismay there was nothing in it.
1748_1562_000051_000005	The woman with a smile begged me not to trouble myself, for money was not of the slightest use there; and as I might meet with people in my journeys whom I could not recognise to be fairies, it was well I had no money to offer, for nothing offended them so much.	The woman with a smile begged me not to trouble myself, for money was not of the slightest use there; and as I might meet with people in my journeys whom I could not recognise to be fairies, it was well I had no money to offer, for nothing offended them so much.
1748_1562_000053_000000	Here, to my great pleasure, all was life and bustle.	Here, to my great pleasure, all was life and bustle.
1748_1562_000053_000002	The whole garden was like a carnival, with tiny, gaily decorated forms, in groups, assemblies, processions, pairs or trios, moving stately on, running about wildly, or sauntering hither or thither.	The whole garden was like a carnival, with tiny, gaily decorated forms, in groups, assemblies, processions, pairs or trios, moving stately on, running about wildly, or sauntering hither or thither.
1748_1562_000053_000003	From the cups or bells of tall flowers, as from balconies, some looked down on the masses below, now bursting with laughter, now grave as owls; but even in their deepest solemnity, seeming only to be waiting for the arrival of the next laugh. Some were launched on a little marshy stream at the bottom, in boats chosen from the heaps of last year's leaves that lay about, curled and withered.	From the cups or bells of tall flowers, as from balconies, some looked down on the masses below, now bursting with laughter, now grave as owls; but even in their deepest solemnity, seeming only to be waiting for the arrival of the next laugh. Some were launched on a little marshy stream at the bottom, in boats chosen from the heaps of last year's leaves that lay about, curled and withered.
1748_1562_000053_000004	These soon sank with them; whereupon they swam ashore and got others.	These soon sank with them; whereupon they swam ashore and got others.
1748_1562_000053_000005	Those who took fresh rose-leaves for their boats floated the longest; but for these they had to fight; for the fairy of the rose-tree complained bitterly that they were stealing her clothes, and defended her property bravely.	Those who took fresh rose leaves for their boats floated the longest; but for these they had to fight; for the fairy of the rose tree complained bitterly that they were stealing her clothes, and defended her property bravely.
1748_1562_000054_000000	"You can't wear half you've got," said some.	"You can't wear half you've got," said some.
1748_1562_000056_000000	"All for the good of the community!" said one, and ran off with a great hollow leaf.	"All for the good of the community!" said one, and ran off with a great hollow leaf.
1748_1562_000056_000003	At last, after another good cry, she chose the biggest she could find, and ran away laughing, to launch her boat amongst the rest.	At last, after another good cry, she chose the biggest she could find, and ran away laughing, to launch her boat amongst the rest.
1748_1562_000057_000001	They talked singing, and their talk made a song, something like this:	They talked singing, and their talk made a song, something like this:
1748_1562_000059_000000	"She'll come by-and-by." "You will never see her." "She went home to dies, "Till the new year." "Snowdrop!" "'Tis no good To invite her." "Primrose is very rude, "I will bite her."	"She'll come by and by." "You will never see her." "She went home to dies, "Till the new year." "Snowdrop!" "'tis no good To invite her." "Primrose is very rude, "I will bite her."
1748_1562_000060_000000	"Oh, you naughty Pocket! "Look, she drops her head." "She deserved it, Rocket, "And she was nearly dead." "To your hammock--off with you!" "And swing alone." "No one will laugh with you." "No, not one."	"Oh, you naughty Pocket! "Look, she drops her head." "She deserved it, Rocket, "And she was nearly dead." "To your hammock-off with you!" "And swing alone." "No one will laugh with you." "No, not one."
1748_1562_000063_000001	During the latter part of the song-talk, they had formed themselves into a funeral procession, two of them bearing poor Primrose, whose death Pocket had hastened by biting her stalk, upon one of her own great leaves.	During the latter part of the song talk, they had formed themselves into a funeral procession, two of them bearing poor Primrose, whose death Pocket had hastened by biting her stalk, upon one of her own great leaves.
1748_1562_000063_000004	Pocket, who had been expelled from the company by common consent, went sulkily away towards her hammock, for she was the fairy of the calceolaria, and looked rather wicked.	Pocket, who had been expelled from the company by common consent, went sulkily away towards her hammock, for she was the fairy of the calceolaria, and looked rather wicked.
1748_1562_000063_000005	When she reached its stem, she stopped and looked round.	When she reached its stem, she stopped and looked round.
1748_1562_000063_000006	I could not help speaking to her, for I stood near her.	I could not help speaking to her, for I stood near her.
1748_1562_000063_000007	I said, "Pocket, how could you be so naughty?"	I said, "Pocket, how could you be so naughty?"
1748_1562_000065_000000	"Why did you bite poor Primrose?"	"Why did you bite poor Primrose?"
1748_1562_000066_000000	"Because she said we should never see Snowdrop; as if we were not good enough to look at her, and she was, the proud thing!--served her right!"	"Because she said we should never see Snowdrop; as if we were not good enough to look at her, and she was, the proud thing!--served her right!"
1748_1562_000067_000000	"Oh, Pocket, Pocket," said I; but by this time the party which had gone towards the house, rushed out again, shouting and screaming with laughter.	"Oh, Pocket, Pocket," said I; but by this time the party which had gone towards the house, rushed out again, shouting and screaming with laughter.
1748_1562_000067_000001	Half of them were on the cat's back, and half held on by her fur and tail, or ran beside her; till, more coming to their help, the furious cat was held fast; and they proceeded to pick the sparks out of her with thorns and pins, which they handled like harpoons.	Half of them were on the cat's back, and half held on by her fur and tail, or ran beside her; till, more coming to their help, the furious cat was held fast; and they proceeded to pick the sparks out of her with thorns and pins, which they handled like harpoons.
1748_1562_000067_000002	Indeed, there were more instruments at work about her than there could have been sparks in her.	Indeed, there were more instruments at work about her than there could have been sparks in her.
1748_1562_000068_000000	"Now, Pussy, be patient.	"Now, Pussy, be patient.
1748_1562_000068_000001	You know quite well it is all for your good. You cannot be comfortable with all those sparks in you; and, indeed, I am charitably disposed to believe" (here he became very pompous) "that they are the cause of all your bad temper; so we must have them all out, every one; else we shall be reduced to the painful necessity of cutting your claws, and pulling out your eye-teeth.	You know quite well it is all for your good. You cannot be comfortable with all those sparks in you; and, indeed, I am charitably disposed to believe" (here he became very pompous) "that they are the cause of all your bad temper; so we must have them all out, every one; else we shall be reduced to the painful necessity of cutting your claws, and pulling out your eye teeth.
1748_1562_000068_000002	Quiet!	Quiet!
1748_1562_000068_000003	Pussy, quiet!"	Pussy, quiet!"
1748_1562_000069_000001	"Never mind, never mind, we shall find her again; and by that time she will have laid in a fresh stock of sparks.	"Never mind, never mind, we shall find her again; and by that time she will have laid in a fresh stock of sparks.
1748_1562_000070_000001	Their manners and habits are now so well known to the world, having been so often described by eyewitnesses, that it would be only indulging self-conceit, to add my account in full to the rest. I cannot help wishing, however, that my readers could see them for themselves.	Their manners and habits are now so well known to the world, having been so often described by eyewitnesses, that it would be only indulging self conceit, to add my account in full to the rest. I cannot help wishing, however, that my readers could see them for themselves.
1748_1562_000070_000002	Especially do I desire that they should see the fairy of the daisy; a little, chubby, round-eyed child, with such innocent trust in his look!	Especially do I desire that they should see the fairy of the daisy; a little, chubby, round eyed child, with such innocent trust in his look!
1748_1562_000070_000003	Even the most mischievous of the fairies would not tease him, although he did not belong to their set at all, but was quite a little country bumpkin.	Even the most mischievous of the fairies would not tease him, although he did not belong to their set at all, but was quite a little country bumpkin.
