3864_185125_000000_000000	ORNITHOLOGY ON A COTTON PLANTATION.	ORNITHOLOGY ON A COTTON PLANTATION.	true	18.81	21.34	25.664225
3864_185125_000006_000003	He knew the ivory-bill, but, like other Tallahasseans, he thought I should have to go into Lafayette County (all Florida people say La_fay_ette) to find it.	He knew the ivory bill, but, like other Tallahasseans, he thought I should have to go into Lafayette County (all Florida people say La underscore fay underscore ette) to find it.	false	692.24	700.72	21.65231
3864_185125_000006_000004	"That bird calling now is a bee-bird," he said, referring to a kingbird; "and we have a bird that is called the French mocking-bird; he catches other birds." The last remark was of interest for its bearing upon a point about which I had felt some curiosity, and, I may say, some skepticism, as I had seen many loggerhead shrikes, but had observed no indication that other birds feared them or held any grudge against them.	"That bird calling now is a bee bird," he said, referring to a kingbird; "and we have a bird that is called the French mocking bird; he catches other birds." The last remark was of interest for its bearing upon a point about which I had felt some curiosity, and, I may say, some skepticism, as I had seen many loggerhead shrikes, but had observed no indication that other birds feared them or held any grudge against them.	false	701.78	726.46	20.344172
3864_185125_000006_000005	As he rode off he called my attention to a great blue heron just then flying over the swamp.	As he rode off he called my attention to a great blue heron just then flying over the swamp.	true	727.07	731.98	22.301453
3864_185125_000006_000006	"They are very shy," he said.	"They are very shy," he said.	true	732.32	734.35	21.808947
3864_185125_000006_000007	Then, from further away, he shouted once more to ask if I heard the mocking-bird singing yonder, pointing with his whip in the direction of the singer.	Then, from further away, he shouted once more to ask if I heard the mocking bird singing yonder, pointing with his whip in the direction of the singer.	true	734.66	742.72	22.430008
3864_185125_000007_000000	For some time longer I hung about the glade, vainly hoping that the grosbeak would again favor my eyes.	For some time longer I hung about the glade, vainly hoping that the grosbeak would again favor my eyes.	true	744.86	750.37	20
3864_185125_000007_000001	Then I crossed more planted fields,--climbing more barbed-wire fences, and stopping on the way to enjoy the sweetly quaint music of a little chorus of white-crowned sparrows,--and skirted once more the muddy shore of the cane-swamp, where the yellowlegs and sandpipers were still feeding.	Then I crossed more planted fields,--climbing more barbed wire fences, and stopping on the way to enjoy the sweetly quaint music of a little chorus of white crowned sparrows,--and skirted once more the muddy shore of the cane swamp, where the yellowlegs and sandpipers were still feeding.	true	750.59	766.39	21.776533
3864_185125_000007_000002	That brought me to the road from which I had made my entry to the place some days before; but, being still unable to forego a splendid possibility, I recrossed the plantation, tarried again in the glade, sat again on the wooden fence (if that grosbeak only _would_ show himself!), and thence went on, picking a few heads of handsome buffalo clover, the first I had ever seen, and some sprays of penstemon, till I came again to the six-barred gate and the Quincy road.	That brought me to the road from which I had made my entry to the place some days before; but, being still unable to forego a splendid possibility, I recrossed the plantation, tarried again in the glade, sat again on the wooden fence (if that grosbeak only underscore would underscore show himself!), and thence went on, picking a few heads of handsome buffalo clover, the first I had ever seen, and some sprays of penstemon, till I came again to the six barred gate and the Quincy road.	false	766.85	794.86	21.650707
3864_185125_000007_000003	At that point, as I now remember, the air was full of vultures (carrion crows), a hundred or more, soaring over the fields in some fit of gregariousness.	At that point, as I now remember, the air was full of vultures (carrion crows), a hundred or more, soaring over the fields in some fit of gregariousness.	true	795.11	805	21.820961
3864_185125_000007_000004	Along the road were white-crowned and white-throated sparrows (it was the 12th of April), orchard orioles, thrashers, summer tanagers, myrtle and paim warblers, cardinal grosbeaks, mocking-birds, kingbirds, logger-heads, yellow--throated vireos, and sundry others, but not the blue grosbeak, which would have been worth them all.	Along the road were white crowned and white throated sparrows (it was the twelfth of April), orchard orioles, thrashers, summer tanagers, myrtle and paim warblers, cardinal grosbeaks, mocking birds, kingbirds, logger heads, yellow-throated vireos, and sundry others, but not the blue grosbeak, which would have been worth them all.	false	805.52	829.33	20.968716
3864_185125_000008_000000	Once back at the hotel, I opened my Coues's Key to refresh my memory as to the exact appearance of that bird.	Once back at the hotel, I opened my Coues's Key to refresh my memory as to the exact appearance of that bird.	true	831.23	837.91	23.91364
3864_185125_000008_000001	"Feathers around base of bill black," said the book.	"Feathers around base of bill black," said the book.	true	838.25	841.63	21.311161
3864_185125_000008_000002	I had not noticed that.	I had not noticed that.	true	841.7	843.27	21.13021
3864_185125_000008_000003	But no matter; the bird was a blue grosbeak, for the sufficient reason that it could not be anything else.	But no matter; the bird was a blue grosbeak, for the sufficient reason that it could not be anything else.	true	843.27	849.28	19.586813
3864_185125_000008_000004	A black line between the almost black beak and the dark-blue head would be inconspicuous at the best, and quite naturally would escape a glimpse so hasty as mine had been.	A black line between the almost black beak and the dark blue head would be inconspicuous at the best, and quite naturally would escape a glimpse so hasty as mine had been.	true	849.53	858.49	23.520573
3864_185125_000008_000005	And yet, while I reasoned in this way, I foresaw plainly enough that, as time passed, doubt would get the better of assurance, as it always does, and I should never be certain that I had not been the victim of some illusion.	And yet, while I reasoned in this way, I foresaw plainly enough that, as time passed, doubt would get the better of assurance, as it always does, and I should never be certain that I had not been the victim of some illusion.	true	858.68	870.43	21.03637
3864_185125_000008_000006	At best, the evidence was worth nothing for others.	At best, the evidence was worth nothing for others.	false	870.5	873.61	22.775396
3864_185125_000008_000007	If only that excellent Mr. ----, for whose kindness I was unfeignedly thankful (and whose pardon I most sincerely beg if I seem to have been a bit too free in this rehearsal of the story),--if only Mr. ---- could have left me alone for ten minutes longer!	If only that excellent mr ----, for whose kindness I was unfeignedly thankful (and whose pardon I most sincerely beg if I seem to have been a bit too free in this rehearsal of the story),--if only mr ---- could have left me alone for ten minutes longer!	false	874.22	889.75	20.97094
3864_185125_000009_000000	The worry and the imprecations were wasted, after all, as, Heaven be thanked, they so often are; for within two or three days I saw other blue grosbeaks and heard them sing.	The worry and the imprecations were wasted, after all, as, Heaven be thanked, they so often are; for within two or three days I saw other blue grosbeaks and heard them sing.	false	891.62	902.47	21.76741
3864_185125_000009_000001	But that was not on a cotton plantation, and is part of another story.	But that was not on a cotton plantation, and is part of another story.	true	902.72	907.29	21.381485
3864_185125_000010_000000	A FLORIDA SHRINE.	A FLORIDA SHRINE.	false	907.29	907.47	-20
3864_185125_000011_000000	All pilgrims to Tallahassee visit the Murat place.	All pilgrims to Tallahassee visit the Murat place.	false	907.47	908.04	11
3864_185125_000011_000001	It is one of the most conveniently accessible of those "points of interest" with which guide-books so anxiously, and with so much propriety, concern themselves.	It is one of the most conveniently accessible of those "points of interest" with which guide books so anxiously, and with so much propriety, concern themselves.	false	908.04	909.81	26.238451
3864_185125_000011_000002	What a tourist prays for is something to see.	What a tourist prays for is something to see.	false	909.81	910.05	22.933262
3864_185125_000011_000003	If I had ever been a tourist in Boston, no doubt I should before now have surveyed the world from the top of the Bunker Hill monument.	If I had ever been a tourist in Boston, no doubt I should before now have surveyed the world from the top of the Bunker Hill monument.	false	910.05	910.74	10
3864_185125_000011_000004	In Tallahassee, at all events, I went to the Murat estate.	In Tallahassee, at all events, I went to the Murat estate.	false	910.74	910.74	
3864_185125_000011_000005	In fact, I went more than once; but I remember especially my first visit, which had a livelier sentimental interest than the others because I was then under the agreeable delusion that the Prince himself had lived there.	In fact, I went more than once; but I remember especially my first visit, which had a livelier sentimental interest than the others because I was then under the agreeable delusion that the Prince himself had lived there.	false	910.74	912.15	22.786495
3864_185125_000011_000006	The guide-book told me so, vouchsafing also the information that after building the house he "interested himself actively in local affairs, became a naturalized citizen, and served successively as postmaster, alderman, and mayor"--a model immigrant, surely, though it is rather the way of immigrants, perhaps, not to refuse political responsibilities.	The guide book told me so, vouchsafing also the information that after building the house he "interested himself actively in local affairs, became a naturalized citizen, and served successively as postmaster, alderman, and mayor"--a model immigrant, surely, though it is rather the way of immigrants, perhaps, not to refuse political responsibilities.	false	912.15	918.69	14.694137
