3864_185125_000000_000000	ORNITHOLOGY ON A COTTON PLANTATION.	ORNITHOLOGY ON A COTTON PLANTATION.
3864_185125_000006_000002	There were a great many kinds of sparrows in that country, he said, and also of woodpeckers.	There were a great many kinds of sparrows in that country, he said, and also of woodpeckers.
3864_185125_000006_000005	As he rode off he called my attention to a great blue heron just then flying over the swamp.	As he rode off he called my attention to a great blue heron just then flying over the swamp.
3864_185125_000006_000006	"They are very shy," he said.	"They are very shy," he said.
3864_185125_000006_000007	Then, from further away, he shouted once more to ask if I heard the mocking-bird singing yonder, pointing with his whip in the direction of the singer.	Then, from further away, he shouted once more to ask if I heard the mocking bird singing yonder, pointing with his whip in the direction of the singer.
3864_185125_000007_000000	For some time longer I hung about the glade, vainly hoping that the grosbeak would again favor my eyes.	For some time longer I hung about the glade, vainly hoping that the grosbeak would again favor my eyes.
3864_185125_000007_000001	Then I crossed more planted fields,--climbing more barbed-wire fences, and stopping on the way to enjoy the sweetly quaint music of a little chorus of white-crowned sparrows,--and skirted once more the muddy shore of the cane-swamp, where the yellowlegs and sandpipers were still feeding.	Then I crossed more planted fields,--climbing more barbed wire fences, and stopping on the way to enjoy the sweetly quaint music of a little chorus of white crowned sparrows,--and skirted once more the muddy shore of the cane swamp, where the yellowlegs and sandpipers were still feeding.
3864_185125_000007_000003	At that point, as I now remember, the air was full of vultures (carrion crows), a hundred or more, soaring over the fields in some fit of gregariousness.	At that point, as I now remember, the air was full of vultures (carrion crows), a hundred or more, soaring over the fields in some fit of gregariousness.
3864_185125_000008_000000	Once back at the hotel, I opened my Coues's Key to refresh my memory as to the exact appearance of that bird.	Once back at the hotel, I opened my Coues's Key to refresh my memory as to the exact appearance of that bird.
3864_185125_000008_000001	"Feathers around base of bill black," said the book.	"Feathers around base of bill black," said the book.
3864_185125_000008_000002	I had not noticed that.	I had not noticed that.
3864_185125_000008_000004	A black line between the almost black beak and the dark-blue head would be inconspicuous at the best, and quite naturally would escape a glimpse so hasty as mine had been.	A black line between the almost black beak and the dark blue head would be inconspicuous at the best, and quite naturally would escape a glimpse so hasty as mine had been.
3864_185125_000008_000005	And yet, while I reasoned in this way, I foresaw plainly enough that, as time passed, doubt would get the better of assurance, as it always does, and I should never be certain that I had not been the victim of some illusion.	And yet, while I reasoned in this way, I foresaw plainly enough that, as time passed, doubt would get the better of assurance, as it always does, and I should never be certain that I had not been the victim of some illusion.
3864_185125_000009_000001	But that was not on a cotton plantation, and is part of another story.	But that was not on a cotton plantation, and is part of another story.
