2012_139355_000000_000000	"Oh, that will not take me long!" answered Torres; "there is only myself and nothing else!"	"Oh, that will not take me long!" answered Torres; "there is only myself and nothing else!"	false	0	4.23	18.87367
2012_139355_000008_000000	It was noticed, at least during the first few days, that Torres did not try to become intimate with the Garral family.	It was noticed, at least during the first few days, that Torres did not try to become intimate with the Garral family.	true	112.85	119.83	16
2012_139355_000008_000001	He maintained a good deal of reserve, answering if addressed, but never provoking a reply.	He maintained a good deal of reserve, answering if addressed, but never provoking a reply.	true	120.17	125.8	21
2012_139355_000009_000000	If he appeared more open with any one, it was with Fragoso.	If he appeared more open with any one, it was with Fragoso.	true	126.59	130.39	20
2012_139355_000009_000001	Did he not owe to this gay companion the idea of taking passage on board the raft? Many times he asked him about the position of the Garrals at Iquitos, the sentiments of the daughter for Manoel Valdez, and always discreetly. Generally, when he was not walking alone in the bow of the jangada, he kept to his cabin.	Did he not owe to this gay companion the idea of taking passage on board the raft? Many times he asked him about the position of the Garrals at Iquitos, the sentiments of the daughter for Manoel Valdez, and always discreetly. Generally, when he was not walking alone in the bow of the jangada, he kept to his cabin.	false	130.7	153.49	20.183855
2012_139355_000010_000000	He breakfasted and dined with Joam Garral and his family, but he took little part in their conversation, and retired when the repast was finished.	He breakfasted and dined with Joam Garral and his family, but he took little part in their conversation, and retired when the repast was finished.	false	154.76	162.61	20.251581
2012_139355_000011_000000	During the morning the raft passed by the picturesque group of islands situated in the vast estuary of the Javary.	During the morning the raft passed by the picturesque group of islands situated in the vast estuary of the Javary.	true	162.98	169.99	22
2012_139355_000011_000001	This important affluent of the Amazon comes from the southwest, and from source to mouth has not a single island, nor a single rapid, to check its course.	This important affluent of the Amazon comes from the southwest, and from source to mouth has not a single island, nor a single rapid, to check its course.	true	170.69	180.52	18
2012_139355_000011_000002	The mouth is about three thousand feet in width, and the river comes in some miles above the site formerly occupied by the town of the same name, whose possession was disputed for so long by Spaniards and Portuguese.	The mouth is about three thousand feet in width, and the river comes in some miles above the site formerly occupied by the town of the same name, whose possession was disputed for so long by Spaniards and Portuguese.	true	180.95	195.25	18.608376
2012_139355_000012_000000	Up to the morning of the 30th of June there had been nothing particular to distinguish the voyage.	Up to the morning of the thirtieth of June there had been nothing particular to distinguish the voyage.	true	196.22	201.19	19
2012_139355_000012_000001	Occasionally they met a few vessels gliding along by the banks attached one to another in such a way that a single Indian could manage the whole--_"navigar de bubina,"_ as this kind of navigation is called by the people of the country, that is to say, "confidence navigation."	Occasionally they met a few vessels gliding along by the banks attached one to another in such a way that a single Indian could manage the whole-underscore"navigar de bubina,"underscore as this kind of navigation is called by the people of the country, that is to say, "confidence navigation."	false	201.38	218.41	17.69146
2012_139355_000013_000000	They had passed the island of Araria, the Archipelago of the Calderon islands, the island of Capiatu, and many others whose names have not yet come to the knowledge of geographers.	They had passed the island of Araria, the Archipelago of the Calderon islands, the island of Capiatu, and many others whose names have not yet come to the knowledge of geographers.	true	219.32	230.95	20.133108
2012_139355_000014_000000	On the 30th of June the pilot signaled on the right the little village of Jurupari-Tapera, where they halted for two or three hours.	On the thirtieth of June the pilot signaled on the right the little village of Jurupari Tapera, where they halted for two or three hours.	false	232.25	240.85	23
2012_139355_000015_000000	Manoel and Benito had gone shooting in the neighborhood, and brought back some feathered game, which was well received in the larder.	Manoel and Benito had gone shooting in the neighborhood, and brought back some feathered game, which was well received in the larder.	true	241.22	248.38	20.311735
2012_139355_000015_000001	At the same time they had got an animal of whom a naturalist would have made more than did the cook.	At the same time they had got an animal of whom a naturalist would have made more than did the cook.	true	248.51	253.87	19
2012_139355_000016_000000	It was a creature of a dark color, something like a large Newfoundland dog.	It was a creature of a dark color, something like a large Newfoundland dog.	true	254.33	259.02	23.457413
2012_139355_000017_000000	"A great ant-eater!" exclaimed Benito, as he threw it on the deck of the jangada.	"A great ant eater!" exclaimed Benito, as he threw it on the deck of the jangada.	false	259.02	264.19	22.54483
2012_139355_000018_000000	"And a magnificent specimen which would not disgrace the collection of a museum!" added Manoel.	"And a magnificent specimen which would not disgrace the collection of a museum!" added Manoel.	false	265.37	272.1	20.322948
2012_139355_000019_000000	"Did you take much trouble to catch the curious animal?" asked Minha.	"Did you take much trouble to catch the curious animal?" asked Minha.	true	272.1	275.68	18
2012_139355_000020_000000	"Yes, little sister," replied Benito, "and you were not there to ask for mercy!	"Yes, little sister," replied Benito, "and you were not there to ask for mercy!	true	275.93	280.74	20.45775
2012_139355_000020_000001	These dogs die hard, and no less than three bullets were necessary to bring this fellow down."	These dogs die hard, and no less than three bullets were necessary to bring this fellow down."	true	280.74	286.24	18
2012_139355_000021_000000	The ant-eater looked superb, with his long tail and grizzly hair; with his pointed snout, which is plunged into the ant-hills whose insects form its principal food; and his long, thin paws, armed with sharp nails, five inches long, and which can shut up like the fingers of one's hand.	The ant eater looked superb, with his long tail and grizzly hair; with his pointed snout, which is plunged into the ant hills whose insects form its principal food; and his long, thin paws, armed with sharp nails, five inches long, and which can shut up like the fingers of one's hand.	true	287.36	306.4	22.29041
2012_139355_000021_000001	But what a hand was this hand of the ant-eater!	But what a hand was this hand of the ant eater!	true	306.74	310.09	17.950825
2012_139355_000021_000002	When it has got hold of anything you have to cut it off to make it let go!	When it has got hold of anything you have to cut it off to make it let go!	true	310.25	314.65	22
2012_139355_000021_000003	It is of this hand that the traveler, Emile Carrey, has so justly observed: "The tiger himself would perish in its grasp."	It is of this hand that the traveler, Emile Carrey, has so justly observed: "The tiger himself would perish in its grasp."	true	314.93	323.56	20.174097
2012_139355_000022_000000	On the 2d of July, in the morning, the jangada arrived at the foot of San Pablo d'Olivenca, after having floated through the midst of numerous islands which in all seasons are clad with verdure and shaded with magnificent trees, and the chief of which bear the names of Jurupari, Rita, Maracanatena, and Cururu Sapo.	On the two d of July, in the morning, the jangada arrived at the foot of San Pablo d'Olivenca, after having floated through the midst of numerous islands which in all seasons are clad with verdure and shaded with magnificent trees, and the chief of which bear the names of Jurupari, Rita, Maracanatena, and Cururu Sapo.	false	324.26	347.53	20.860542
2012_139355_000022_000001	Many times they passed by the mouths of iguarapes, or little affluents, with black waters.	Many times they passed by the mouths of iguarapes, or little affluents, with black waters.	true	348.11	354.16	23
2012_139355_000023_000000	The coloration of these waters is a very curious phenomenon.	The coloration of these waters is a very curious phenomenon.	true	354.68	358.3	21.344975
2012_139355_000023_000001	It is peculiar to a certain number of these tributaries of the Amazon, which differ greatly in importance.	It is peculiar to a certain number of these tributaries of the Amazon, which differ greatly in importance.	true	358.43	364.81	22
2012_139355_000024_000000	Manoel remarked how thick the cloudiness was, for it could be clearly seen on the surface of the whitish waters of the river.	Manoel remarked how thick the cloudiness was, for it could be clearly seen on the surface of the whitish waters of the river.	true	365.3	372.52	23.024069
2012_139355_000025_000000	"They have tried to explain this coloring in many ways," said he, "but I do not think the most learned have yet arrived at a satisfactory explanation."	"They have tried to explain this coloring in many ways," said he, "but I do not think the most learned have yet arrived at a satisfactory explanation."	true	373.16	381.73	22.50452
2012_139355_000026_000000	"The waters are really black with a magnificent reflection of gold," replied Minha, showing a light, reddish-brown cloth, which was floating level with the jangada.	"The waters are really black with a magnificent reflection of gold," replied Minha, showing a light, reddish brown cloth, which was floating level with the jangada.	true	382.49	392.74	19
2012_139355_000027_000000	"Yes," said Manoel, "and Humboldt has already observed the curious reflection that you have; but on looking at it attentively you will see that it is rather the color of sepia which pervades the whole."	"Yes," said Manoel, "and Humboldt has already observed the curious reflection that you have; but on looking at it attentively you will see that it is rather the color of sepia which pervades the whole."	true	392.78	405.19	19.95908
2012_139355_000028_000000	"Good!" exclaimed Benito.	"Good!" exclaimed Benito.	true	405.77	407.43	21.881433
2012_139355_000028_000001	"Another phenomenon on which the _savants_ are not agreed."	"Another phenomenon on which the underscore savants underscore are not agreed."	false	407.43	410.98	19.558918
2012_139355_000029_000000	"Perhaps," said Fragoso, "they might ask the opinions of the caymans, dolphins, and manatees, for they certainly prefer the black waters to the others to enjoy themselves in."	"Perhaps," said Fragoso, "they might ask the opinions of the caymans, dolphins, and manatees, for they certainly prefer the black waters to the others to enjoy themselves in."	true	411.26	423.16	20.957497
2012_139355_000030_000000	"They are particularly attractive to those animals," replied Manoel, "but why it is rather embarrassing to say.	"They are particularly attractive to those animals," replied Manoel, "but why it is rather embarrassing to say.	true	424.25	430.905	21
2012_139355_000030_000001	For instance, is the coloration due to the hydrocarbons which the waters hold in solution, or is it because they flow through districts of peat, coal, and anthracite; or should we not rather attribute it to the enormous quantity of minute plants which they bear along?	For instance, is the coloration due to the hydrocarbons which the waters hold in solution, or is it because they flow through districts of peat, coal, and anthracite; or should we not rather attribute it to the enormous quantity of minute plants which they bear along?	false	430.905	447.82	21.306494
2012_139355_000030_000002	There is nothing certain in the matter. Under any circumstances, they are excellent to drink, of a freshness quite enviable for the climate, and without after-taste, and perfectly harmless.	There is nothing certain in the matter. Under any circumstances, they are excellent to drink, of a freshness quite enviable for the climate, and without after taste, and perfectly harmless.	true	447.98	459.7	22.434017
2012_139355_000030_000003	Take a little of the water, Minha, and drink it; you will find it all right."	Take a little of the water, Minha, and drink it; you will find it all right."	true	459.95	463.71	21
2012_139355_000031_000000	The water is in truth limpid and fresh, and would advantageously replace many of the table-waters used in Europe.	The water is in truth limpid and fresh, and would advantageously replace many of the table waters used in Europe.	false	463.71	472.245	20.836891
2012_139355_000031_000001	They drew several frasques for kitchen use.	They drew several frasques for kitchen use.	true	472.245	475.12	19.173328
2012_139355_000032_000000	It has been said that in the morning of the 2d of July the jangada had arrived at San Pablo d'Olivenca, where they turn out in thousands those long strings of beads which are made from the scales of the _"coco de piassaba."_ This trade is here extensively followed.	It has been said that in the morning of the two d of July the jangada had arrived at San Pablo d'Olivenca, where they turn out in thousands those long strings of beads which are made from the scales of the underscore"coco de piassaba."underscore This trade is here extensively followed.	false	476.33	494.475	18.989971
2012_139355_000032_000001	It may, perhaps, seem singular that the ancient lords of the country, Tupinambas and Tupiniquis, should find their principal occupation in making objects for the Catholic religion.	It may, perhaps, seem singular that the ancient lords of the country, Tupinambas and Tupiniquis, should find their principal occupation in making objects for the Catholic religion.	true	494.475	505.51	21
2012_139355_000032_000002	But, after all, why not?	But, after all, why not?	true	505.7	507.4	22.221878
2012_139355_000032_000003	These Indians are no longer the Indians of days gone by.	These Indians are no longer the Indians of days gone by.	true	507.59	511.12	21
2012_139355_000032_000004	Instead of being clothed in the national fashion, with a frontlet of macaw feathers, bow, and blow-tube, have they not adopted the American costume of white cotton trousers, and a cotton poncho woven by their wives, who have become thorough adepts in its manufacture?	Instead of being clothed in the national fashion, with a frontlet of macaw feathers, bow, and blow tube, have they not adopted the American costume of white cotton trousers, and a cotton poncho woven by their wives, who have become thorough adepts in its manufacture?	true	511.22	528.07	22.697355
2012_139355_000033_000000	San Pablo d'Olivenca, a town of some importance, has not less than two thousand inhabitants, derived from all the neighboring tribes.	San Pablo d'Olivenca, a town of some importance, has not less than two thousand inhabitants, derived from all the neighboring tribes.	true	528.86	537.91	19.672747
2012_139355_000033_000001	At present the capital of the Upper Amazon, it began as a simple Mission, founded by the Portuguese Carmelites about 1692, and afterward acquired by the Jesuit missionaries.	At present the capital of the Upper Amazon, it began as a simple Mission, founded by the Portuguese Carmelites about sixteen ninety two, and afterward acquired by the Jesuit missionaries.	true	538.07	550.27	21.07905
2012_139355_000034_000000	From the beginning it has been the country of the Omaguas, whose name means "flat-heads," and is derived from the barbarous custom of the native mothers of squeezing the heads of their newborn children between two plates, so as to give them an oblong skull, which was then the fashion.	From the beginning it has been the country of the Omaguas, whose name means "flat heads," and is derived from the barbarous custom of the native mothers of squeezing the heads of their newborn children between two plates, so as to give them an oblong skull, which was then the fashion.	true	551.84	569.14	18.710716
2012_139355_000034_000001	Like everything else, that has changed; heads have re-taken their natural form, and there is not the slightest trace of the ancient deformity in the skulls of the chaplet-makers.	Like everything else, that has changed; heads have re taken their natural form, and there is not the slightest trace of the ancient deformity in the skulls of the chaplet makers.	true	569.3	578.92	20.602001
2012_139355_000035_000000	Every one, with the exception of Joam Garral, went ashore.	Every one, with the exception of Joam Garral, went ashore.	false	579.5	583.09	18.84466
2012_139355_000035_000001	Torres also remained on board, and showed no desire to visit San Pablo d'Olivenca, which he did not, however, seem to be acquainted with.	Torres also remained on board, and showed no desire to visit San Pablo d'Olivenca, which he did not, however, seem to be acquainted with.	true	583.31	591.73	19.661364
2012_139355_000036_000000	Assuredly if the adventurer was taciturn he was not inquisitive.	Assuredly if the adventurer was taciturn he was not inquisitive.	true	592.1	597.01	21.362343
2012_139355_000037_000000	Benito had no difficulty in doing a little bartering, and adding slightly to the cargo of the jangada.	Benito had no difficulty in doing a little bartering, and adding slightly to the cargo of the jangada.	false	597.2	603.46	19.529388
2012_139355_000037_000001	He and the family received an excellent reception from the principal authorities of the town, the commandant of the place, and the chief of the custom-house, whose functions did not in the least prevent them from engaging in trade.	He and the family received an excellent reception from the principal authorities of the town, the commandant of the place, and the chief of the custom house, whose functions did not in the least prevent them from engaging in trade.	true	603.59	615.97	22
2012_139355_000037_000002	They even intrusted the young merchant with a few products of the country for him to dispose of on their account at Manaos and Belem.	They even intrusted the young merchant with a few products of the country for him to dispose of on their account at Manaos and Belem.	false	616.1	625.68	21.06659
2012_139355_000038_000000	The town is composed of some sixty houses, arranged on the plain which hereabouts crowns the river-bank.	The town is composed of some sixty houses, arranged on the plain which hereabouts crowns the river bank.	true	625.68	632.02	21
2012_139355_000038_000001	Some of the huts are covered with tiles--a very rare thing in these countries; but, on the other hand, the humble church, dedicated to St. Peter and St. Paul, has only a roof of straw, rather more appropriate for a stable of Bethlehem than for an edifice consecrated to religion in one of the most Catholic countries of the world.	Some of the huts are covered with tiles-a very rare thing in these countries; but, on the other hand, the humble church, dedicated to saint Peter and saint Paul, has only a roof of straw, rather more appropriate for a stable of Bethlehem than for an edifice consecrated to religion in one of the most Catholic countries of the world.	false	632.3	652.09	22.646997
2012_139355_000039_000000	The commandant, his lieutenant, and the head of the police accepted an invitation to dine with the family, and they were received by Joam Garral with the respect due to their rank.	The commandant, his lieutenant, and the head of the police accepted an invitation to dine with the family, and they were received by Joam Garral with the respect due to their rank.	false	652.55	662.5	20.389833
2012_139355_000040_000000	During dinner Torres showed himself more talkative than usual.	During dinner Torres showed himself more talkative than usual.	true	662.96	666.67	20.781061
2012_139355_000040_000001	He spoke about some of his excursions into the interior of Brazil like a man who knew the country.	He spoke about some of his excursions into the interior of Brazil like a man who knew the country.	false	666.92	672.34	19
2012_139355_000040_000002	But in speaking of these travels Torres did not neglect to ask the commandant if he knew Manaos, if his colleague would be there at this time, and if the judge, the first magistrate of the province, was accustomed to absent himself at this period of the hot season.	But in speaking of these travels Torres did not neglect to ask the commandant if he knew Manaos, if his colleague would be there at this time, and if the judge, the first magistrate of the province, was accustomed to absent himself at this period of the hot season.	true	672.74	688.48	19
2012_139355_000040_000003	It seemed that in putting this series of questions Torres looked at Joam Garral.	It seemed that in putting this series of questions Torres looked at Joam Garral.	false	688.91	694.38	18.714022
2012_139355_000040_000004	It was marked enough for even Benito to notice it, not without surprise, and he observed that his father gave particular attention to the questions so curiously propounded by Torres.	It was marked enough for even Benito to notice it, not without surprise, and he observed that his father gave particular attention to the questions so curiously propounded by Torres.	true	694.38	705.4	21.301771
2012_139355_000041_000000	The commandant of San Pablo d'Olivenca assured the adventurer that the authorities were not now absent from Manaos, and he even asked Joam Garral to convey to them his compliments.	The commandant of San Pablo d'Olivenca assured the adventurer that the authorities were not now absent from Manaos, and he even asked Joam Garral to convey to them his compliments.	false	706.46	717.7	19
2012_139355_000041_000001	In all probability the raft would arrive before the town in seven weeks, or a little later, say about the 20th or the 25th of August.	In all probability the raft would arrive before the town in seven weeks, or a little later, say about the twentieth or the twenty fifth of August.	false	718.01	726.55	19.793972
2012_139355_000042_000000	The guests of the fazender took leave of the Garral family toward the evening, and the following morning, that of the 3d of July, the jangada recommenced its descent of the river.	The guests of the fazender took leave of the Garral family toward the evening, and the following morning, that of the three d of July, the jangada recommenced its descent of the river.	false	726.83	737.08	21.049799
2012_139355_000043_000000	At noon they passed on the left the mouth of the Yacurupa.	At noon they passed on the left the mouth of the Yacurupa.	false	737.75	741.34	24
2012_139355_000043_000001	This tributary, properly speaking, is a true canal, for it discharges its waters into the Ica, which is itself an affluent of the Amazon.	This tributary, properly speaking, is a true canal, for it discharges its waters into the Ica, which is itself an affluent of the Amazon.	false	741.41	751.24	22
2012_139355_000044_000000	A peculiar phenomenon, for the river displaces itself to feed its own tributaries!	A peculiar phenomenon, for the river displaces itself to feed its own tributaries!	true	751.52	756.73	22
2012_139355_000045_000000	Toward three o'clock in the afternoon the giant raft passed the mouth of the Jandiatuba, which brings its magnificent black waters from the southwest, and discharges them into the main artery by a mouth of four hundred meters in extent, after having watered the territories of the Culino Indians.	Toward three o'clock in the afternoon the giant raft passed the mouth of the Jandiatuba, which brings its magnificent black waters from the southwest, and discharges them into the main artery by a mouth of four hundred meters in extent, after having watered the territories of the Culino Indians.	false	757.46	776.53	22.172466
2012_139355_000046_000000	A number of islands were breasted--Pimaicaira, Caturia, Chico, Motachina; some inhabited, others deserted, but all covered with superb vegetation, which forms an unbroken garland of green from one end of the Amazon to the other.	A number of islands were breasted-Pimaicaira, Caturia, Chico, Motachina; some inhabited, others deserted, but all covered with superb vegetation, which forms an unbroken garland of green from one end of the Amazon to the other.	false	777.11	800.55	20.944607
