7126_59175_000000_000000	XIX	nineteen	false	0.33	1.02	16
7126_59175_000006_000004	Mr. Edward Garnett, in his introduction to Mrs. Garnett's translation of Tchehov's tales, speaks admirably of his "profundity of acceptation." There is no writer who is less inclined to use italics in his record of human life.	mr Edward Garnett, in his introduction to mrs Garnett's translation of Tchehov's tales, speaks admirably of his "profundity of acceptation." There is no writer who is less inclined to use italics in his record of human life.	false	210.05	223.69	20
7126_59175_000006_000005	Perhaps Mr. Garnett goes too far when he says that Tchehov "stands close to all his characters, watching them quietly and registering their circumstances and feelings with such finality that to pass judgment on them appears supererogatory." Tchehov's judgment is at times clear enough--as clear as if it followed a summing-up from the bench.	Perhaps mr Garnett goes too far when he says that Tchehov "stands close to all his characters, watching them quietly and registering their circumstances and feelings with such finality that to pass judgment on them appears supererogatory." Tchehov's judgment is at times clear enough-as clear as if it followed a summing up from the bench.	true	224.27	243.49	15
7126_59175_000006_000006	He portrays his characters instead of labelling them; but the portrait itself is the judgment.	He portrays his characters instead of labelling them; but the portrait itself is the judgment.	true	243.74	249.4	20.413784
7126_59175_000006_000007	His humour makes him tolerant, but, though he describes moral and material ugliness with tolerance, he never leaves us in any doubt as to their being ugly.	His humour makes him tolerant, but, though he describes moral and material ugliness with tolerance, he never leaves us in any doubt as to their being ugly.	true	249.74	257.89	16
7126_59175_000006_000008	His attitude to a large part of life might be described as one of good-natured disgust.	His attitude to a large part of life might be described as one of good-natured disgust.	true	258.68	263.71	20
7126_59175_000007_000000	In one of the newly-translated stories, _Ariadne_, he shows us a woman from the point of view of a disgusted lover.	In one of the newly translated stories, underscore Ariadne underscore, he shows us a woman from the point of view of a disgusted lover.	false	264.62	271.18	19.75717
7126_59175_000007_000001	It is a sensitive man's picture of a woman who was even more greedy than beautiful.	It is a sensitive man's picture of a woman who was even more greedy than beautiful.	true	271.4	275.68	15
7126_59175_000007_000002	"This thirst for personal success ... makes people cold, and Ariadne was cold--to me, to nature, and to music." Tchehov extends towards her so little charity that he makes her run away to Italy with a bourgeois who had "a neck like goose-skin and a big Adam's apple," and who, as he talked, "breathed hard, breathing straight in my face and smelling of boiled beef." As the more sensitive lover who supplanted the bourgeois looks back, her incessant gluttony is more vivid in his thoughts than her charm:	"This thirst for personal success ... makes people cold, and Ariadne was cold-to me, to nature, and to music." Tchehov extends towards her so little charity that he makes her run away to Italy with a bourgeois who had "a neck like goose skin and a big Adam's apple," and who, as he talked, "breathed hard, breathing straight in my face and smelling of boiled beef." As the more sensitive lover who supplanted the bourgeois looks back, her incessant gluttony is more vivid in his thoughts than her charm:	false	276.2	307.15	21.802216
7126_59175_000008_000000	She would sleep every day till two or three o'clock; she had her coffee and lunch in bed.	She would sleep every day till two or three o'clock; she had her coffee and lunch in bed.	true	307.61	312.21	20
7126_59175_000008_000001	At dinner she would eat soup, lobster, fish, meat, asparagus, game, and after she had gone to bed I used to bring up something, for instance, roast beef, and she would eat it with a melancholy, careworn expression, and if she waked in the night she would eat apples or oranges.	At dinner she would eat soup, lobster, fish, meat, asparagus, game, and after she had gone to bed I used to bring up something, for instance, roast beef, and she would eat it with a melancholy, careworn expression, and if she waked in the night she would eat apples or oranges.	true	312.21	327.13	17
7126_59175_000009_000000	The story, it is only fair to say, is given in the words of a lover dissatisfied with lust, and the judgment may therefore be regarded as the lover's rather than as Tchehov's.	The story, it is only fair to say, is given in the words of a lover dissatisfied with lust, and the judgment may therefore be regarded as the lover's rather than as Tchehov's.	true	327.89	337.24	14
7126_59175_000009_000001	Tchehov sets down the judgment, however, in a mood of acute perceptiveness of everything that is jarring and vulgar in sexual vanity.	Tchehov sets down the judgment, however, in a mood of acute perceptiveness of everything that is jarring and vulgar in sexual vanity.	true	337.58	345.52	18
7126_59175_000009_000002	Ariadne's desire to please is never permitted to please us as, say, Beatrix Esmond's is.	Ariadne's desire to please is never permitted to please us as, say, Beatrix Esmond's is.	true	346.01	351.28	15
7126_59175_000009_000003	Her will to fascinate does not fascinate when it is refracted in Tchehov's critical mind:	Her will to fascinate does not fascinate when it is refracted in Tchehov's critical mind:	false	352.34	357.85	20.49651
7126_59175_000010_000000	She waked up every morning with the one thought of "pleasing." It was the aim and object of her life.	She waked up every morning with the one thought of "pleasing." It was the aim and object of her life.	true	358.19	363.7	20
7126_59175_000010_000001	If I told her that in such a house, in such a street, there lived a man who was not attracted by her, it would have caused her real suffering.	If I told her that in such a house, in such a street, there lived a man who was not attracted by her, it would have caused her real suffering.	true	363.95	371.62	15
7126_59175_000010_000002	She wanted every day to enchant, to captivate, to drive men crazy.	She wanted every day to enchant, to captivate, to drive men crazy.	true	371.66	375.97	21
7126_59175_000010_000003	The fact that I was in her power and reduced to a complete nonentity before her charms gave her the same sort of satisfaction that victors used to get in tournaments....	The fact that I was in her power and reduced to a complete nonentity before her charms gave her the same sort of satisfaction that victors used to get in tournaments....	false	376.19	384.94	15
7126_59175_000010_000004	She had an extraordinary opinion of her own charms; she imagined that if somewhere, in some great assembly, men could have seen how beautifully she was made and the colour of her skin, she would have vanquished all Italy, the whole world.	She had an extraordinary opinion of her own charms; she imagined that if somewhere, in some great assembly, men could have seen how beautifully she was made and the colour of her skin, she would have vanquished all Italy, the whole world.	true	385.07	398.14	17
7126_59175_000010_000005	Her talk of her figure, of her skin, offended me, and observing this, she would, when she was angry, say all sorts of vulgar things taunting me.	Her talk of her figure, of her skin, offended me, and observing this, she would, when she was angry, say all sorts of vulgar things taunting me.	true	398.66	406.69	17
7126_59175_000011_000000	A few strokes of cruelty are added to the portrait:	A few strokes of cruelty are added to the portrait:	true	407.51	410.5	20.630045
7126_59175_000012_000000	Even at a good-humoured moment, she could always insult a servant or kill an insect without a pang; she liked bull-fights, liked to read about murders, and was angry when prisoners were acquitted.	Even at a good humoured moment, she could always insult a servant or kill an insect without a pang; she liked bull fights, liked to read about murders, and was angry when prisoners were acquitted.	true	410.99	421.87	19
7126_59175_000013_000000	As one reads _Ariadne_, one feels that those who say the artist is not a judge are in error.	As one reads underscore Ariadne underscore, one feels that those who say the artist is not a judge are in error.	false	422.87	427.72	15
7126_59175_000013_000001	What he must avoid becoming is a prosecuting--perhaps even a defending--counsel.	What he must avoid becoming is a prosecuting-perhaps even a defending-counsel.	true	428.03	433.12	19.913599
7126_59175_000014_000000	Egoism seems to be the quality which offends Tchehov most.	Egoism seems to be the quality which offends Tchehov most.	true	433.19	437.17	16.469648
7126_59175_000014_000001	He is no more in love with it when it masquerades as virtue than when it parades as vice.	He is no more in love with it when it masquerades as virtue than when it parades as vice.	true	437.27	441.84	14
7126_59175_000014_000002	_An Artist's Story_--a beautiful sad story, which might almost have been written by Turgenev--contains a fine critical portrait of a woman absorbed in the egoism of good works.	underscore An Artist's Story underscore--a beautiful sad story, which might almost have been written by Turgenev-contains a fine critical portrait of a woman absorbed in the egoism of good works.	false	441.84	451.99	18
7126_59175_000014_000003	She is always looking after the poor, serving on committees, full of enthusiasm for nursing and education.	She is always looking after the poor, serving on committees, full of enthusiasm for nursing and education.	true	452.21	458.11	13
7126_59175_000014_000004	She lacks only that charity of the heart which loves human beings, not because they are poor, but because they are human beings. She is by nature a "boss." She "bosses" her mother and her younger sister, and when the artist falls in love with the latter, the stronger will of the woman of high principles immediately separates lovers so frivolous that they had never sat on a committee in their lives.	She lacks only that charity of the heart which loves human beings, not because they are poor, but because they are human beings. She is by nature a "boss." She "bosses" her mother and her younger sister, and when the artist falls in love with the latter, the stronger will of the woman of high principles immediately separates lovers so frivolous that they had never sat on a committee in their lives.	true	458.45	480.58	19
7126_59175_000014_000005	When, the evening after the artist confesses his love, he waits for the girl to come to him in the garden of her house, he waits in vain.	When, the evening after the artist confesses his love, he waits for the girl to come to him in the garden of her house, he waits in vain.	true	480.8	488.17	18
7126_59175_000014_000006	He goes into the house to look for her, but does not find her.	He goes into the house to look for her, but does not find her.	true	489.26	492.22	19.854898
7126_59175_000014_000007	Then through one of the doors he overhears the voice of the lady of the good works:	Then through one of the doors he overhears the voice of the lady of the good works:	false	492.44	496.63	15
7126_59175_000015_000000	"'God ... sent ... a crow,'" she said in a loud, emphatic voice, probably dictating--"'God sent a crow a piece of cheese....	"'God ... sent ... a crow,'" she said in a loud, emphatic voice, probably dictating-"'God sent a crow a piece of cheese....	true	497.27	503.985	18
7126_59175_000015_000001	A crow ...	A crow ...	true	503.985	504.765	22.674627
7126_59175_000015_000002	A piece of cheese ...	A piece of cheese ...	true	504.765	505.905	18.612307
7126_59175_000015_000003	Who's there?" she called suddenly, hearing my steps.	Who's there?" she called suddenly, hearing my steps.	true	505.905	508.6	20
7126_59175_000016_000000	"It's I."	"It's i"	true	508.76	509.7	22.462364
7126_59175_000017_000000	"Ah! Excuse me, I cannot come out to open this minute; I'm giving Dasha her lesson."	"Ah! Excuse me, I cannot come out to open this minute; I'm giving Dasha her lesson."	false	509.7	513.97	19.91415
7126_59175_000018_000000	"Is Ekaterina Pavlovna in the garden?"	"Is Ekaterina Pavlovna in the garden?"	false	514.64	517.18	17
7126_59175_000019_000000	"No, she went away with my sister this morning to our aunt in the province of Penza.	"No, she went away with my sister this morning to our aunt in the province of Penza.	false	517.82	522.16	20
7126_59175_000019_000001	And in the winter they will probably go abroad," she added after a pause.	And in the winter they will probably go abroad," she added after a pause.	true	522.26	526.45	20
7126_59175_000019_000002	"'God sent ... the crow ... a piece ... of cheese....' Have you written it?"	"'God sent ... the crow ... a piece ... of cheese....' Have you written it?"	true	526.58	531.49	22.306583
7126_59175_000020_000000	I went into the hall and stared vacantly at the pond and the village, and the sound reached me of "A piece of cheese ...	I went into the hall and stared vacantly at the pond and the village, and the sound reached me of "A piece of cheese ...	false	532.28	538.08	16
7126_59175_000020_000001	God sent the crow a piece of cheese."	God sent the crow a piece of cheese."	true	538.08	540.37	19
7126_59175_000021_000000	And I went back by the way I had come here for the first time--first from the yard into the garden past the house, then into the avenue of lime-trees....	And I went back by the way I had come here for the first time-first from the yard into the garden past the house, then into the avenue of lime trees....	false	540.5	548.32	18
7126_59175_000021_000001	At this point I was overtaken by a small boy who gave me a note.	At this point I was overtaken by a small boy who gave me a note.	true	548.42	551.95	17
7126_59175_000022_000000	"I told my sister everything and she insisted on my parting from you," I read.	"I told my sister everything and she insisted on my parting from you," I read.	true	552.41	556.57	16
7126_59175_000022_000001	"I could not wound her by disobeying.	"I could not wound her by disobeying.	true	556.76	558.69	13
7126_59175_000022_000002	God will give you happiness.	God will give you happiness.	true	558.69	559.98	12
7126_59175_000022_000003	Forgive me.	Forgive me.	true	559.98	560.77	19.788498
7126_59175_000022_000004	If only you knew how bitterly my mother and I are crying!"	If only you knew how bitterly my mother and I are crying!"	true	560.93	564.16	13
7126_59175_000023_000000	The people who cannot wound others--those are the people whose sharp pangs we feel in our breasts as we read the stories of Tchehov.	The people who cannot wound others-those are the people whose sharp pangs we feel in our breasts as we read the stories of Tchehov.	false	565.04	573.03	20
7126_59175_000023_000001	The people who wound--it is they whom he paints (or, rather, as Mr. Garnett suggests, etches) with such felicitous and untiring irony.	The people who wound-it is they whom he paints (or, rather, as mr Garnett suggests, etches) with such felicitous and untiring irony.	true	573.03	582.46	18
7126_59175_000023_000002	But, though he often makes his people beautiful in their sorrow, he more often than not sets their sad figures against a common and ugly background.	But, though he often makes his people beautiful in their sorrow, he more often than not sets their sad figures against a common and ugly background.	true	582.71	590.68	20.796381
7126_59175_000023_000003	In _Anyuta_, the medical student and his mistress live in a room disgusting in its squalor:	In underscore Anyuta underscore, the medical student and his mistress live in a room disgusting in its squalor:	false	591.68	596.44	15
7126_59175_000024_000000	Crumpled bed-clothes, pillows thrown about, boots, clothes, a big filthy slop--pail filled with soap-suds in which cigarette-ends were swimming, and the litter on the floor--all seemed as though purposely jumbled together in one confusion....	Crumpled bed clothes, pillows thrown about, boots, clothes, a big filthy slop-pail filled with soap suds in which cigarette ends were swimming, and the litter on the floor-all seemed as though purposely jumbled together in one confusion....	true	596.54	610	18
7126_59175_000025_000000	And, if the surroundings are no more beautiful than those in which a great part of the human race lives, neither are the people more beautiful than ordinary people.	And, if the surroundings are no more beautiful than those in which a great part of the human race lives, neither are the people more beautiful than ordinary people.	false	610.55	618.495	14
7126_59175_000025_000001	In _The Trousseau_, the poor thin girl who spends her life making a trousseau for a marriage that will never take place becomes ridiculous as she flushes at the entrance of a stranger into her mother's house:	In underscore The Trousseau underscore, the poor thin girl who spends her life making a trousseau for a marriage that will never take place becomes ridiculous as she flushes at the entrance of a stranger into her mother's house:	false	618.495	629.17	16
7126_59175_000026_000000	Her long nose, which was slightly pitted with small-pox, turned red first, and then the flush passed up to her eyes and her forehead.	Her long nose, which was slightly pitted with small pox, turned red first, and then the flush passed up to her eyes and her forehead.	false	629.69	637.12	18
7126_59175_000027_000000	I do not know if a blush of this sort is possible, but the thought of it is distressing.	I do not know if a blush of this sort is possible, but the thought of it is distressing.	true	637.25	641.74	18
7126_59175_000028_000000	The woman in _The Darling_, who marries more than once and simply cannot live without some one to love and to be an echo to, is "not half bad" to look at.	The woman in underscore The Darling underscore, who marries more than once and simply cannot live without some one to love and to be an echo to, is "not half bad" to look at.	false	642.8	650.8	18
7126_59175_000028_000001	But she is ludicrous even when most unselfish and adoring--especially when she rubs with eau-de-Cologne her little, thin, yellow-faced, coughing husband with "the curls combed forward on his forehead," and wraps him in her warm shawls to an accompaniment of endearments.	But she is ludicrous even when most unselfish and adoring-especially when she rubs with eau de Cologne her little, thin, yellow faced, coughing husband with "the curls combed forward on his forehead," and wraps him in her warm shawls to an accompaniment of endearments.	true	650.84	667.27	19
7126_59175_000028_000002	"'You're such a sweet pet!' she used to say with perfect sincerity, stroking his hair.	"'You're such a sweet pet!' she used to say with perfect sincerity, stroking his hair.	true	668.3	672.55	16
7126_59175_000028_000003	'You're such a pretty dear!'"	'You're such a pretty dear!'"	true	672.62	673.98	21
7126_59175_000029_000000	Thus sympathy and disgust live in a curious harmony in Tchehov's stories.	Thus sympathy and disgust live in a curious harmony in Tchehov's stories.	false	673.98	679.36	19.893219
7126_59175_000029_000001	And, as he seldom allows disgust entirely to drive out sympathy in himself, he seldom allows it to do so in his readers either.	And, as he seldom allows disgust entirely to drive out sympathy in himself, he seldom allows it to do so in his readers either.	true	679.61	687.04	19
7126_59175_000029_000002	His world may be full of unswept rooms and unwashed men and women, but the presiding genius in it is the genius of gentleness and love and laughter.	His world may be full of unswept rooms and unwashed men and women, but the presiding genius in it is the genius of gentleness and love and laughter.	true	687.29	696.09	16
7126_59175_000029_000003	It is a dark world, but Tchehov brings light into it.	It is a dark world, but Tchehov brings light into it.	false	696.09	699.79	25.569757
7126_59175_000029_000004	There is no other author who gives so little offence as he shows us offensive things and people.	There is no other author who gives so little offence as he shows us offensive things and people.	false	700.34	705.28	16
7126_59175_000029_000005	He is a writer who desires above all things to see what men and women are really like--to extenuate nothing and to set down naught in malice.	He is a writer who desires above all things to see what men and women are really like-to extenuate nothing and to set down naught in malice.	true	705.62	714.1	20
7126_59175_000029_000006	As a result, he is a pessimist, but a pessimist who is black without being bitter.	As a result, he is a pessimist, but a pessimist who is black without being bitter.	true	714.62	719.35	22.428623
7126_59175_000029_000007	I know no writer who leaves one with the same vision of men and women as lost sheep.	I know no writer who leaves one with the same vision of men and women as lost sheep.	true	719.72	724.45	16
7126_59175_000030_000000	We are now apparently to have a complete edition of the tales of Tchehov in English from Mrs. Garnett.	We are now apparently to have a complete edition of the tales of Tchehov in English from mrs Garnett.	true	725.3	730.42	18
7126_59175_000030_000001	It will deserve a place, both for the author's and the translator's sake, beside her Turgenev and Dostoevsky. In lifelikeness and graciousness her work as a translator always reaches a high level.	It will deserve a place, both for the author's and the translator's sake, beside her Turgenev and Dostoevsky. In lifelikeness and graciousness her work as a translator always reaches a high level.	false	730.67	742	19
7126_59175_000030_000002	Her latest volumes confirm one in the opinion that Tchehov is, for his variety, abundance, tenderness and knowledge of the heart of the "rapacious and unclean animal" called man, the greatest short-story writer who has yet appeared on the planet.	Her latest volumes confirm one in the opinion that Tchehov is, for his variety, abundance, tenderness and knowledge of the heart of the "rapacious and unclean animal" called man, the greatest short story writer who has yet appeared on the planet.	false	742.52	763.14	20.219217
