7030_64588_000001_000000	CHAPTER XIV.	CHAPTER fourteen.
7030_64588_000010_000007	Our Indian quartet, after several last drinks of chicha, bade their friends farewell by clasping hands, one kissing the joined hands, and then the other.	Our Indian quartet, after several last drinks of chicha, bade their friends farewell by clasping hands, one kissing the joined hands, and then the other.
7030_64588_000011_000000	The Napo at Santa Rosa runs at least five miles an hour, and we were soon picking our way--now drifting, now paddling--through a labyrinth of islands and snags.	The Napo at Santa Rosa runs at least five miles an hour, and we were soon picking our way-now drifting, now paddling-through a labyrinth of islands and snags.
7030_64588_000011_000001	The Indians, so accustomed to brutal violence from the hands of the whites, had begged of us, before our departure, that we would not beat them.	The Indians, so accustomed to brutal violence from the hands of the whites, had begged of us, before our departure, that we would not beat them.
7030_64588_000011_000002	But shortly after we left, one of them, who was literally filled with chicha, dropped his paddle and tumbled into a heap at the bottom of the canoe, dead drunk.	But shortly after we left, one of them, who was literally filled with chicha, dropped his paddle and tumbled into a heap at the bottom of the canoe, dead drunk.
7030_64588_000011_000004	At once the liquor left the muddled brain of the astonished culprit, and, taking his paddle, he became from that hour the best of the crew.	At once the liquor left the muddled brain of the astonished culprit, and, taking his paddle, he became from that hour the best of the crew.
7030_64588_000011_000007	None of them could speak Spanish, so we had provided ourselves with a vocabulary of Quichua.	None of them could speak Spanish, so we had provided ourselves with a vocabulary of Quichua.
7030_64588_000011_000009	Indeed, when we mixed up our Quichua with a little Anglo-Saxon, they evidently thought the latter was a terrible anathema, for they sprang to their places without delay.	Indeed, when we mixed up our Quichua with a little Anglo Saxon, they evidently thought the latter was a terrible anathema, for they sprang to their places without delay.
7030_64588_000012_000001	They gave us possession of their largest hut, in which they had been roasting a sea-cow, and the stench was intolerable.	They gave us possession of their largest hut, in which they had been roasting a sea cow, and the stench was intolerable.
7030_64588_000012_000002	Nevertheless, one of our number bravely threw down his blanket within, and went to sleep; two swung their hammocks between the trees, and the rest slept in the canoe.	Nevertheless, one of our number bravely threw down his blanket within, and went to sleep; two swung their hammocks between the trees, and the rest slept in the canoe.
7030_64588_000012_000005	So far as our experience goes, we can say, with Bates, that the vampire, so common on the Amazon, is the most harmless of all bats.	So far as our experience goes, we can say, with Bates, that the vampire, so common on the Amazon, is the most harmless of all bats.
7030_64588_000012_000006	It has, however, a most hideous physiognomy.	It has, however, a most hideous physiognomy.
7030_64588_000012_000007	A full-grown specimen will measure twenty-eight inches in expanse of wing.	A full grown specimen will measure twenty eight inches in expanse of wing.
7030_64588_000012_000008	Bates found two species on the Amazon--one black, the other of a ruddy line, and both fruit-eaters.	Bates found two species on the Amazon-one black, the other of a ruddy line, and both fruit eaters.
7030_64588_000013_000000	The nocturnal music of these forests is made by crickets and tree-toads. The voice of the latter sounds like the cracking of wood.	The nocturnal music of these forests is made by crickets and tree toads. The voice of the latter sounds like the cracking of wood.
7030_64588_000013_000001	Occasionally frogs, owls, and goat-suckers croak, hoot, and wail.	Occasionally frogs, owls, and goat suckers croak, hoot, and wail.
7030_64588_000013_000002	Between midnight and 3 A.M. almost perfect silence reigns.	Between midnight and three a m almost perfect silence reigns.
7030_64588_000013_000005	As the sun rises higher, one musician after another seeks the forest shade, and the morning concert ends at noon.	As the sun rises higher, one musician after another seeks the forest shade, and the morning concert ends at noon.
7030_64588_000013_000006	In the heat of the day there is an all-pervading rustling sound, caused by the fluttering of myriad insects and the gliding of lizards and snakes.	In the heat of the day there is an all pervading rustling sound, caused by the fluttering of myriad insects and the gliding of lizards and snakes.
7030_64588_000013_000007	At sunset parrots and monkeys resume their chatter for a season, and then give way to the noiseless flight of innumerable bats chasing the hawk-moth and beetle.	At sunset parrots and monkeys resume their chatter for a season, and then give way to the noiseless flight of innumerable bats chasing the hawk moth and beetle.
7030_64588_000013_000008	There is scarcely a sound in a tropical forest which is joyous and cheering.	There is scarcely a sound in a tropical forest which is joyous and cheering.
7030_64588_000013_000009	The birds are usually silent; those that have voices utter a plaintive song, or hoarse, shrill cry.	The birds are usually silent; those that have voices utter a plaintive song, or hoarse, shrill cry.
7030_64588_000013_000011	The most common birds on the Napo are macaws, parrots, toucans, and ciganas.	The most common birds on the Napo are macaws, parrots, toucans, and ciganas.
7030_64588_000013_000012	The parrots, like the majority in South America, are of the green type.	The parrots, like the majority in South America, are of the green type.
7030_64588_000013_000013	The toucan, peculiar to the New World, and distinguished by its enormous bill, is a quarrelsome, imperious bird.	The toucan, peculiar to the New World, and distinguished by its enormous bill, is a quarrelsome, imperious bird.
7030_64588_000013_000014	It is clumsy in flight, but nimble in leaping from limb to limb.	It is clumsy in flight, but nimble in leaping from limb to limb.
7030_64588_000013_000017	The cigana or "gypsy" (in Peru called "chansu") resembles a pheasant.	The cigana or "gypsy" (in Peru called "chansu") resembles a pheasant.
7030_64588_000013_000018	The flesh has a musky odor, and it is for this reason, perhaps, that they exist in such numbers throughout the country.	The flesh has a musky odor, and it is for this reason, perhaps, that they exist in such numbers throughout the country.
7030_64588_000013_000019	The Indians never eat them.	The Indians never eat them.
7030_64588_000013_000021	The splendid metallic-blue, and the yellow and transparent-winged, are very abundant on the Napo; some rise high in the air; others, living in societies, look like fluttering clouds.	The splendid metallic blue, and the yellow and transparent winged, are very abundant on the Napo; some rise high in the air; others, living in societies, look like fluttering clouds.
7030_64588_000013_000024	It is singular these Indians have no term for bees, but call them honey, and distinguish them by their color.	It is singular these Indians have no term for bees, but call them honey, and distinguish them by their color.
7030_64588_000013_000025	The black species is said to make the most honey, and the yellow the best. The quadrupeds of the Oriente are few and far between in the dry season. Not a sloth nor armadillo did we see.	The black species is said to make the most honey, and the yellow the best. The quadrupeds of the Oriente are few and far between in the dry season. Not a sloth nor armadillo did we see.
7030_64588_000013_000026	But when the rains descend the wilderness is a menagerie of tigers and tapirs, pumas and bears, while a host of reptiles, led by the gigantic boa, creep forth from their hiding-places.	But when the rains descend the wilderness is a menagerie of tigers and tapirs, pumas and bears, while a host of reptiles, led by the gigantic boa, creep forth from their hiding places.
7030_64588_000013_000027	The most ferocious carnivores are found in the mountains, and the most venomous serpents haunt the lowlands.	The most ferocious carnivores are found in the mountains, and the most venomous serpents haunt the lowlands.
7030_64588_000013_000028	Darwin says that we ought not to expect any closer similarity between the organic beings on the opposite sides of the Andes than on the opposite shores of the ocean.	Darwin says that we ought not to expect any closer similarity between the organic beings on the opposite sides of the Andes than on the opposite shores of the ocean.
7030_64588_000014_000001	This little village, the last we shall see till we come within sight of the Amazon, is beautifully located on the right bank, twenty-five feet above the river, and opposite the confluence of the Rio Coca.	This little village, the last we shall see till we come within sight of the Amazon, is beautifully located on the right bank, twenty five feet above the river, and opposite the confluence of the Rio Coca.
7030_64588_000014_000003	This spot is memorable in history.	This spot is memorable in history.
7030_64588_000014_000004	Pizarro having reached it from Quito by way of Baeza and the Coca, halted and built a raft or canoe (Prescott says a brig), in which Orellana was sent down the river to reconnoitre, but who never returned.	Pizarro having reached it from Quito by way of Baeza and the Coca, halted and built a raft or canoe (Prescott says a brig), in which Orellana was sent down the river to reconnoitre, but who never returned.
7030_64588_000014_000006	We remained here two days to construct a more comfortable craft for our voyage to the Amazon, a distance of at least five hundred miles.	We remained here two days to construct a more comfortable craft for our voyage to the Amazon, a distance of at least five hundred miles.
7030_64588_000014_000007	The canoe is the only means of navigation known to the Indians. But the idea of spending fifteen days cooped, cribbed, and cramped in a narrow canoe, exposed to a tropical sun and furious rains, was intolerable.	The canoe is the only means of navigation known to the Indians. But the idea of spending fifteen days cooped, cribbed, and cramped in a narrow canoe, exposed to a tropical sun and furious rains, was intolerable.
7030_64588_000017_000000	Our Santa Rosa canoes were about thirty feet long.	Our Santa Rosa canoes were about thirty feet long.
7030_64588_000017_000001	These were placed about five feet apart and parallel, and then firmly secured by bamboo joists.	These were placed about five feet apart and parallel, and then firmly secured by bamboo joists.
7030_64588_000017_000002	Over these we spread a flooring of split bamboo, and planted four stout chonta sticks to support a palm-thatched roof.	Over these we spread a flooring of split bamboo, and planted four stout chonta sticks to support a palm thatched roof.
7030_64588_000017_000003	A rudder (a novel idea to our red-skinned companions), and a box of sand in the stern of one of the boats for a fire-place, completed our rig.	A rudder (a novel idea to our red skinned companions), and a box of sand in the stern of one of the boats for a fire place, completed our rig.
7030_64588_000017_000004	The alcalde, with a hiccough, declared we would be forever going down the river in such a huge craft, and the Indians smiled ominously.	The alcalde, with a hiccough, declared we would be forever going down the river in such a huge craft, and the Indians smiled ominously.
7030_64588_000017_000006	A little canoe, which we bought of the alcalde, floated alongside for a tender, and was very serviceable in hunting, gathering fuel, etc.	A little canoe, which we bought of the alcalde, floated alongside for a tender, and was very serviceable in hunting, gathering fuel, etc
7030_64588_000017_000009	On approaching any human habitation, the Indians blew horns to indicate that they came as friends.	On approaching any human habitation, the Indians blew horns to indicate that they came as friends.
7030_64588_000018_000000	At different points down the river they deposited pots of chicha for use on their return.	At different points down the river they deposited pots of chicha for use on their return.
7030_64588_000018_000001	The mass breeds worms so rapidly, however, as Edwards informed us, that after the lapse of a month or two it is a jumble of yuca scraps and writhing articulates.	The mass breeds worms so rapidly, however, as Edwards informed us, that after the lapse of a month or two it is a jumble of yuca scraps and writhing articulates.
7030_64588_000018_000002	But the owner of the heap coolly separates the animal from the vegetable, adds a little water, and drinks his chicha without ceremony.	But the owner of the heap coolly separates the animal from the vegetable, adds a little water, and drinks his chicha without ceremony.
7030_64588_000018_000004	Not a note did they whistle or sing.	Not a note did they whistle or sing.
7030_64588_000018_000005	Yet they were always in good humor, and during the whole voyage we did not see the slightest approach to a quarrel.	Yet they were always in good humor, and during the whole voyage we did not see the slightest approach to a quarrel.
7030_64588_000018_000006	At no time did we have the least fear of treachery or violence.	At no time did we have the least fear of treachery or violence.
7030_64588_000019_000000	The Napos are not savages.	The Napos are not savages.
7030_64588_000019_000001	Their goodness, however, as Bates says of the Cucama tribe, consists more in the absence of active bad qualities than in the possession of good ones.	Their goodness, however, as Bates says of the Cucama tribe, consists more in the absence of active bad qualities than in the possession of good ones.
7030_64588_000019_000003	They strictly maintained a decent arrangement of such apparel as they possessed.	They strictly maintained a decent arrangement of such apparel as they possessed.
7030_64588_000019_000006	The girl was a graceful paddler, and had some well-founded pretensions to beauty.	The girl was a graceful paddler, and had some well founded pretensions to beauty.
7030_64588_000019_000007	Her coarse, black hair was simply combed back, not braided into plaits as commonly done by the Andean women.	Her coarse, black hair was simply combed back, not braided into plaits as commonly done by the Andean women.
7030_64588_000023_000000	Pratt managed the helm (the governor could not work the Yankee notion) and the kitchen.	Pratt managed the helm (the governor could not work the Yankee notion) and the kitchen.
7030_64588_000023_000002	So we fared sumptuously every day.	So we fared sumptuously every day.
7030_64588_000023_000003	We left Coca on Thanksgiving Day, November 28th, and to imitate our distant friends, we sacrificed an extra meal--fricasseed chicken, jerked beef, boiled yucas, bananas, oranges, lemonade, and guayusa.	We left Coca on Thanksgiving Day, november twenty eighth, and to imitate our distant friends, we sacrificed an extra meal-fricasseed chicken, jerked beef, boiled yucas, bananas, oranges, lemonade, and guayusa.
7030_64588_000023_000004	Favored by a powerful current and the rhythmic paddling of our Santa Rosans, we made this day sixty miles; but our average daily run was fifty miles.	Favored by a powerful current and the rhythmic paddling of our Santa Rosans, we made this day sixty miles; but our average daily run was fifty miles.
7030_64588_000023_000005	The winds (doubtless the trades) were almost unchangeably from the east; but an occasional puff would come from the northwest, when we relieved our paddlers by hoisting a blanket for a sail.	The winds (doubtless the trades) were almost unchangeably from the east; but an occasional puff would come from the northwest, when we relieved our paddlers by hoisting a blanket for a sail.
7030_64588_000023_000006	Six o'clock was our usual hour of departure, and ten or twelve hours our traveling time, always tying up at a plaia or island, of which there are hosts in the Napo, but never to the main land, for fear of unfriendly Indians and the still more unwelcome tiger. Our crew encamped at a respectful though hailing distance.	Six o'clock was our usual hour of departure, and ten or twelve hours our traveling time, always tying up at a plaia or island, of which there are hosts in the Napo, but never to the main land, for fear of unfriendly Indians and the still more unwelcome tiger. Our crew encamped at a respectful though hailing distance.
7030_64588_000024_000000	On the second day from Coca we were caught in a squall, and to save our roof we ran ashore.	On the second day from Coca we were caught in a squall, and to save our roof we ran ashore.
7030_64588_000024_000001	Nearly every afternoon we were treated to a shower, accompanied by a strong wind, but seldom by thunder and lightning, though at Coca we had a brilliant thunder-storm at night.	Nearly every afternoon we were treated to a shower, accompanied by a strong wind, but seldom by thunder and lightning, though at Coca we had a brilliant thunder storm at night.
7030_64588_000024_000002	They always came after a uniform fashion and at a regular hour, so that we learned when to expect them.	They always came after a uniform fashion and at a regular hour, so that we learned when to expect them.
7030_64588_000024_000003	About noon the eastern horizon would become suddenly black, and when this had spread to the zenith we heard the rush of a mighty wind sweeping through the forest, and the crash of falling trees, and then down fell the deluge.	About noon the eastern horizon would become suddenly black, and when this had spread to the zenith we heard the rush of a mighty wind sweeping through the forest, and the crash of falling trees, and then down fell the deluge.
