175_123036_000000_000000	"Do you know what they fought about?" said I.	"Do you know what they fought about?" said i	false	0	3.24	23.669546
175_123036_000021_000001	I was quick and bold and could always trust my driver; Jerry was quick and patient at the same time, and could trust his horse, which was a great thing too.	I was quick and bold and could always trust my driver; Jerry was quick and patient at the same time, and could trust his horse, which was a great thing too.	true	390.59	400.57	24.447023
175_123036_000021_000002	He very seldom used the whip; I knew by his voice, and his click, click, when he wanted to get on fast, and by the rein where I was to go; so there was no need for whipping; but I must go back to my story.	He very seldom used the whip; I knew by his voice, and his click, click, when he wanted to get on fast, and by the rein where I was to go; so there was no need for whipping; but I must go back to my story.	true	401.15	414.13	23.240822
175_123036_000022_000000	The streets were very full that day, but we got on pretty well as far as the bottom of Cheapside, where there was a block for three or four minutes.	The streets were very full that day, but we got on pretty well as far as the bottom of Cheapside, where there was a block for three or four minutes.	true	415.25	423.34	22.897781
175_123036_000022_000001	The young man put his head out and said anxiously, "I think I had better get out and walk; I shall never get there if this goes on."	The young man put his head out and said anxiously, "I think I had better get out and walk; I shall never get there if this goes on."	true	423.89	431.5	23.401432
175_123036_000023_000000	"I'll do all that can be done, sir," said Jerry; "I think we shall be in time.	"I'll do all that can be done, sir," said Jerry; "I think we shall be in time.	true	432.98	437.71	24.054745
175_123036_000023_000001	This block-up cannot last much longer, and your luggage is very heavy for you to carry, sir."	This block up cannot last much longer, and your luggage is very heavy for you to carry, sir."	true	437.78	442.87	23.498156
175_123036_000024_000000	Just then the cart in front of us began to move on, and then we had a good turn.	Just then the cart in front of us began to move on, and then we had a good turn.	true	444.26	448.93	24.713259
175_123036_000024_000001	In and out, in and out we went, as fast as horseflesh could do it, and for a wonder had a good clear time on London Bridge, for there was a whole train of cabs and carriages all going our way at a quick trot, perhaps wanting to catch that very train.	In and out, in and out we went, as fast as horseflesh could do it, and for a wonder had a good clear time on London Bridge, for there was a whole train of cabs and carriages all going our way at a quick trot, perhaps wanting to catch that very train.	false	449.42	464.77	23.568113
175_123036_000024_000002	At any rate, we whirled into the station with many more, just as the great clock pointed to eight minutes to twelve o'clock.	At any rate, we whirled into the station with many more, just as the great clock pointed to eight minutes to twelve o'clock.	true	465.14	472.45	22.328728
175_123036_000025_000000	"Thank God! we are in time," said the young man, "and thank you, too, my friend, and your good horse.	"Thank God! we are in time," said the young man, "and thank you, too, my friend, and your good horse.	true	474.38	481.03	24.915718
175_123036_000025_000001	You have saved me more than money can ever pay for.	You have saved me more than money can ever pay for.	true	481.22	484.09	24
175_123036_000025_000002	Take this extra half-crown."	Take this extra half crown."	true	484.46	486.25	26.62661
175_123036_000026_000000	"No, sir, no, thank you all the same; so glad we hit the time, sir; but don't stay now, sir, the bell is ringing.	"No, sir, no, thank you all the same; so glad we hit the time, sir; but don't stay now, sir, the bell is ringing.	true	487.73	494.35	22.925571
175_123036_000026_000001	Here, porter!	Here, porter!	true	494.6	495.555	31.086044
175_123036_000026_000002	take this gentleman's luggage--Dover line twelve o'clock train--that's it," and without waiting for another word Jerry wheeled me round to make room for other cabs that were dashing up at the last minute, and drew up on one side till the crush was past.	take this gentleman's luggage-Dover line twelve o'clock train-that's it," and without waiting for another word Jerry wheeled me round to make room for other cabs that were dashing up at the last minute, and drew up on one side till the crush was past.	false	495.555	509.53	25.08884
175_123036_000027_000000	"'So glad!' he said, 'so glad!' Poor young fellow!	"'So glad!' he said, 'so glad!' Poor young fellow!	true	510.47	515.2	25.065868
175_123036_000027_000001	I wonder what it was that made him so anxious!"	I wonder what it was that made him so anxious!"	true	515.42	518.05	24.013268
175_123036_000028_000000	Jerry often talked to himself quite loud enough for me to hear when we were not moving.	Jerry often talked to himself quite loud enough for me to hear when we were not moving.	true	518.63	523.45	22.687227
175_123036_000029_000000	On Jerry's return to the rank there was a good deal of laughing and chaffing at him for driving hard to the train for an extra fare, as they said, all against his principles, and they wanted to know how much he had pocketed.	On Jerry's return to the rank there was a good deal of laughing and chaffing at him for driving hard to the train for an extra fare, as they said, all against his principles, and they wanted to know how much he had pocketed.	true	524.57	537.1	22.643167
175_123036_000030_000000	"A good deal more than I generally get," said he, nodding slyly; "what he gave me will keep me in little comforts for several days."	"A good deal more than I generally get," said he, nodding slyly; "what he gave me will keep me in little comforts for several days."	true	538.13	546.64	26.043703
175_123036_000031_000000	"Gammon!" said one.	"Gammon!" said one.	true	547.79	549.49	16.242912
175_123036_000032_000000	"He's a humbug," said another; "preaching to us and then doing the same himself."	"He's a humbug," said another; "preaching to us and then doing the same himself."	true	550.13	555.07	20.340744
175_123036_000033_000000	"Look here, mates," said Jerry; "the gentleman offered me half a crown extra, but I didn't take it; 'twas quite pay enough for me to see how glad he was to catch that train; and if Jack and I choose to have a quick run now and then to please ourselves, that's our business and not yours."	"Look here, mates," said Jerry; "the gentleman offered me half a crown extra, but I didn't take it; 'twas quite pay enough for me to see how glad he was to catch that train; and if Jack and I choose to have a quick run now and then to please ourselves, that's our business and not yours."	true	556.37	573.94	24.228207
175_123036_000034_000000	"Well," said Larry, "you'll never be a rich man."	"Well," said Larry, "you'll never be a rich man."	true	575.39	578.53	26.619045
175_123036_000035_000000	"Most likely not," said Jerry; "but I don't know that I shall be the less happy for that.	"Most likely not," said Jerry; "but I don't know that I shall be the less happy for that.	true	579.83	585.07	25.259003
175_123036_000035_000001	I have heard the commandments read a great many times and I never noticed that any of them said, 'Thou shalt be rich'; and there are a good many curious things said in the New Testament about rich men that I think would make me feel rather queer if I was one of them."	I have heard the commandments read a great many times and I never noticed that any of them said, 'Thou shalt be rich'; and there are a good many curious things said in the New Testament about rich men that I think would make me feel rather queer if I was one of them."	true	585.98	601.63	23.850859
175_123036_000036_000000	"If you ever do get rich," said Governor Gray, looking over his shoulder across the top of his cab, "you'll deserve it, Jerry, and you won't find a curse come with your wealth.	"If you ever do get rich," said Governor Gray, looking over his shoulder across the top of his cab, "you'll deserve it, Jerry, and you won't find a curse come with your wealth.	true	603.26	614.23	24.178835
175_123036_000036_000001	As for you, Larry, you'll die poor; you spend too much in whipcord."	As for you, Larry, you'll die poor; you spend too much in whipcord."	true	614.9	620.17	22.318584
175_123036_000037_000000	"Well," said Larry, "what is a fellow to do if his horse won't go without it?"	"Well," said Larry, "what is a fellow to do if his horse won't go without it?"	true	621.23	625.66	23.377428
175_123036_000038_000000	"You never take the trouble to see if he will go without it; your whip is always going as if you had the St. Vitus' dance in your arm, and if it does not wear you out it wears your horse out; you know you are always changing your horses; and why?	"You never take the trouble to see if he will go without it; your whip is always going as if you had the st Vitus' dance in your arm, and if it does not wear you out it wears your horse out; you know you are always changing your horses; and why?	false	626.78	642.04	23.453022
175_123036_000038_000001	Because you never give them any peace or encouragement."	Because you never give them any peace or encouragement."	true	642.2	645.34	26.522705
175_123036_000039_000000	"Well, I have not had good luck," said Larry, "that's where it is."	"Well, I have not had good luck," said Larry, "that's where it is."	false	646.55	650.71	25.599531
175_123036_000040_000000	"And you never will," said the governor.	"And you never will," said the governor.	true	651.95	654.22	24.660728
175_123036_000040_000001	"Good Luck is rather particular who she rides with, and mostly prefers those who have got common sense and a good heart; at least that is my experience."	"Good Luck is rather particular who she rides with, and mostly prefers those who have got common sense and a good heart; at least that is my experience."	true	654.77	664.63	23.506655
175_123036_000041_000000	Governor Gray turned round again to his newspaper, and the other men went to their cabs.	Governor Gray turned round again to his newspaper, and the other men went to their cabs.	false	665.84	680.61	20.749786
