175_123036_000002_000000	35 Jerry Barker	thirty five Jerry Barker
175_123036_000030_000000	"A good deal more than I generally get," said he, nodding slyly; "what he gave me will keep me in little comforts for several days."	"A good deal more than I generally get," said he, nodding slyly; "what he gave me will keep me in little comforts for several days."
175_123036_000032_000000	"He's a humbug," said another; "preaching to us and then doing the same himself."	"He's a humbug," said another; "preaching to us and then doing the same himself."
175_123036_000033_000000	"Look here, mates," said Jerry; "the gentleman offered me half a crown extra, but I didn't take it; 'twas quite pay enough for me to see how glad he was to catch that train; and if Jack and I choose to have a quick run now and then to please ourselves, that's our business and not yours."	"Look here, mates," said Jerry; "the gentleman offered me half a crown extra, but I didn't take it; 'twas quite pay enough for me to see how glad he was to catch that train; and if Jack and I choose to have a quick run now and then to please ourselves, that's our business and not yours."
175_123036_000034_000000	"Well," said Larry, "you'll never be a rich man."	"Well," said Larry, "you'll never be a rich man."
175_123036_000035_000000	"Most likely not," said Jerry; "but I don't know that I shall be the less happy for that.	"Most likely not," said Jerry; "but I don't know that I shall be the less happy for that.
175_123036_000035_000001	I have heard the commandments read a great many times and I never noticed that any of them said, 'Thou shalt be rich'; and there are a good many curious things said in the New Testament about rich men that I think would make me feel rather queer if I was one of them."	I have heard the commandments read a great many times and I never noticed that any of them said, 'Thou shalt be rich'; and there are a good many curious things said in the New Testament about rich men that I think would make me feel rather queer if I was one of them."
175_123036_000036_000000	"If you ever do get rich," said Governor Gray, looking over his shoulder across the top of his cab, "you'll deserve it, Jerry, and you won't find a curse come with your wealth.	"If you ever do get rich," said Governor Gray, looking over his shoulder across the top of his cab, "you'll deserve it, Jerry, and you won't find a curse come with your wealth.
175_123036_000036_000001	As for you, Larry, you'll die poor; you spend too much in whipcord."	As for you, Larry, you'll die poor; you spend too much in whipcord."
175_123036_000037_000000	"Well," said Larry, "what is a fellow to do if his horse won't go without it?"	"Well," said Larry, "what is a fellow to do if his horse won't go without it?"
175_123036_000038_000001	Because you never give them any peace or encouragement."	Because you never give them any peace or encouragement."
175_123036_000040_000000	"And you never will," said the governor.	"And you never will," said the governor.
175_123036_000040_000001	"Good Luck is rather particular who she rides with, and mostly prefers those who have got common sense and a good heart; at least that is my experience."	"Good Luck is rather particular who she rides with, and mostly prefers those who have got common sense and a good heart; at least that is my experience."
