409_124990_000000_000000	CHAPTER IV.	CHAPTER four.
409_124990_000007_000006	The term duty to oneself, when it means anything more than prudence, means self-respect or self-development; and for none of these is any one accountable to his fellow-creatures, because for none of them is it for the good of mankind that he be held accountable to them.	The term duty to oneself, when it means anything more than prudence, means self respect or self development; and for none of these is any one accountable to his fellow creatures, because for none of them is it for the good of mankind that he be held accountable to them.
409_124990_000008_000002	If he displeases us, we may express our distaste, and we may stand aloof from a person as well as from a thing that displeases us; but we shall not therefore feel called on to make his life uncomfortable.	If he displeases us, we may express our distaste, and we may stand aloof from a person as well as from a thing that displeases us; but we shall not therefore feel called on to make his life uncomfortable.
409_124990_000008_000004	He may be to us an object of pity, perhaps of dislike, but not of anger or resentment; we shall not treat him like an enemy of society: the worst we shall think ourselves justified in doing is leaving him to himself, if we do not interfere benevolently by showing interest or concern for him.	He may be to us an object of pity, perhaps of dislike, but not of anger or resentment; we shall not treat him like an enemy of society: the worst we shall think ourselves justified in doing is leaving him to himself, if we do not interfere benevolently by showing interest or concern for him.
409_124990_000008_000005	It is far otherwise if he has infringed the rules necessary for the protection of his fellow-creatures, individually or collectively.	It is far otherwise if he has infringed the rules necessary for the protection of his fellow creatures, individually or collectively.
409_124990_000008_000006	The evil consequences of his acts do not then fall on himself, but on others; and society, as the protector of all its members, must retaliate on him; must inflict pain on him for the express purpose of punishment, and must take care that it be sufficiently severe.	The evil consequences of his acts do not then fall on himself, but on others; and society, as the protector of all its members, must retaliate on him; must inflict pain on him for the express purpose of punishment, and must take care that it be sufficiently severe.
409_124990_000009_000000	The distinction here pointed out between the part of a person's life which concerns only himself, and that which concerns others, many persons will refuse to admit.	The distinction here pointed out between the part of a person's life which concerns only himself, and that which concerns others, many persons will refuse to admit.
409_124990_000009_000003	If he injures his property, he does harm to those who directly or indirectly derived support from it, and usually diminishes, by a greater or less amount, the general resources of the community.	If he injures his property, he does harm to those who directly or indirectly derived support from it, and usually diminishes, by a greater or less amount, the general resources of the community.
409_124990_000010_000000	And even (it will be added) if the consequences of misconduct could be confined to the vicious or thoughtless individual, ought society to abandon to their own guidance those who are manifestly unfit for it?	And even (it will be added) if the consequences of misconduct could be confined to the vicious or thoughtless individual, ought society to abandon to their own guidance those who are manifestly unfit for it?
409_124990_000010_000003	And as a supplement to the unavoidable imperfections of law, ought not opinion at least to organise a powerful police against these vices, and visit rigidly with social penalties those who are known to practise them?	And as a supplement to the unavoidable imperfections of law, ought not opinion at least to organise a powerful police against these vices, and visit rigidly with social penalties those who are known to practise them?
409_124990_000010_000004	There is no question here (it may be said) about restricting individuality, or impeding the trial of new and original experiments in living.	There is no question here (it may be said) about restricting individuality, or impeding the trial of new and original experiments in living.
409_124990_000010_000006	There must be some length of time and amount of experience, after which a moral or prudential truth may be regarded as established: and it is merely desired to prevent generation after generation from falling over the same precipice which has been fatal to their predecessors.	There must be some length of time and amount of experience, after which a moral or prudential truth may be regarded as established: and it is merely desired to prevent generation after generation from falling over the same precipice which has been fatal to their predecessors.
409_124990_000011_000003	George Barnwell murdered his uncle to get money for his mistress, but if he had done it to set himself up in business, he would equally have been hanged.	George Barnwell murdered his uncle to get money for his mistress, but if he had done it to set himself up in business, he would equally have been hanged.
409_124990_000011_000007	No person ought to be punished simply for being drunk; but a soldier or a policeman should be punished for being drunk on duty.	No person ought to be punished simply for being drunk; but a soldier or a policeman should be punished for being drunk on duty.
409_124990_000012_000000	But with regard to the merely contingent, or, as it may be called, constructive injury which a person causes to society, by conduct which neither violates any specific duty to the public, nor occasions perceptible hurt to any assignable individual except himself; the inconvenience is one which society can afford to bear, for the sake of the greater good of human freedom.	But with regard to the merely contingent, or, as it may be called, constructive injury which a person causes to society, by conduct which neither violates any specific duty to the public, nor occasions perceptible hurt to any assignable individual except himself; the inconvenience is one which society can afford to bear, for the sake of the greater good of human freedom.
409_124990_000012_000001	If grown persons are to be punished for not taking proper care of themselves, I would rather it were for their own sake, than under pretence of preventing them from impairing their capacity of rendering to society benefits which society does not pretend it has a right to exact.	If grown persons are to be punished for not taking proper care of themselves, I would rather it were for their own sake, than under pretence of preventing them from impairing their capacity of rendering to society benefits which society does not pretend it has a right to exact.
409_124990_000012_000002	But I cannot consent to argue the point as if society had no means of bringing its weaker members up to its ordinary standard of rational conduct, except waiting till they do something irrational, and then punishing them, legally or morally, for it.	But I cannot consent to argue the point as if society had no means of bringing its weaker members up to its ordinary standard of rational conduct, except waiting till they do something irrational, and then punishing them, legally or morally, for it.
409_124990_000012_000003	Society has had absolute power over them during all the early portion of their existence: it has had the whole period of childhood and nonage in which to try whether it could make them capable of rational conduct in life.	Society has had absolute power over them during all the early portion of their existence: it has had the whole period of childhood and nonage in which to try whether it could make them capable of rational conduct in life.
409_124990_000012_000005	If society lets any considerable number of its members grow up mere children, incapable of being acted on by rational consideration of distant motives, society has itself to blame for the consequences.	If society lets any considerable number of its members grow up mere children, incapable of being acted on by rational consideration of distant motives, society has itself to blame for the consequences.
409_124990_000012_000007	Nor is there anything which tends more to discredit and frustrate the better means of influencing conduct, than a resort to the worse.	Nor is there anything which tends more to discredit and frustrate the better means of influencing conduct, than a resort to the worse.
409_124990_000013_000000	But the strongest of all the arguments against the interference of the public with purely personal conduct, is that when it does interfere, the odds are that it interferes wrongly, and in the wrong place.	But the strongest of all the arguments against the interference of the public with purely personal conduct, is that when it does interfere, the odds are that it interferes wrongly, and in the wrong place.
409_124990_000013_000003	But there is no parity between the feeling of a person for his own opinion, and the feeling of another who is offended at his holding it; no more than between the desire of a thief to take a purse, and the desire of the right owner to keep it.	But there is no parity between the feeling of a person for his own opinion, and the feeling of another who is offended at his holding it; no more than between the desire of a thief to take a purse, and the desire of the right owner to keep it.
409_124990_000013_000004	And a person's taste is as much his own peculiar concern as his opinion or his purse.	And a person's taste is as much his own peculiar concern as his opinion or his purse.
409_124990_000013_000006	But where has there been seen a public which set any such limit to its censorship? or when does the public trouble itself about universal experience?	But where has there been seen a public which set any such limit to its censorship? or when does the public trouble itself about universal experience?
409_124990_000013_000008	These teach that things are right because they are right; because we feel them to be so.	These teach that things are right because they are right; because we feel them to be so.
409_124990_000014_000002	That is too weighty a subject to be discussed parenthetically, and by way of illustration.	That is too weighty a subject to be discussed parenthetically, and by way of illustration.
409_124990_000014_000004	And it is not difficult to show, by abundant instances, that to extend the bounds of what may be called moral police, until it encroaches on the most unquestionably legitimate liberty of the individual, is one of the most universal of all human propensities.	And it is not difficult to show, by abundant instances, that to extend the bounds of what may be called moral police, until it encroaches on the most unquestionably legitimate liberty of the individual, is one of the most universal of all human propensities.
409_124990_000015_000000	As a first instance, consider the antipathies which men cherish on no better grounds than that persons whose religious opinions are different from theirs, do not practise their religious observances, especially their religious abstinences.	As a first instance, consider the antipathies which men cherish on no better grounds than that persons whose religious opinions are different from theirs, do not practise their religious observances, especially their religious abstinences.
409_124990_000015_000002	There are few acts which Christians and Europeans regard with more unaffected disgust, than Mussulmans regard this particular mode of satisfying hunger.	There are few acts which Christians and Europeans regard with more unaffected disgust, than Mussulmans regard this particular mode of satisfying hunger.
409_124990_000015_000004	Their aversion to the flesh of the "unclean beast" is, on the contrary, of that peculiar character, resembling an instinctive antipathy, which the idea of uncleanness, when once it thoroughly sinks into the feelings, seems always to excite even in those whose personal habits are anything but scrupulously cleanly, and of which the sentiment of religious impurity, so intense in the Hindoos, is a remarkable example.	Their aversion to the flesh of the "unclean beast" is, on the contrary, of that peculiar character, resembling an instinctive antipathy, which the idea of uncleanness, when once it thoroughly sinks into the feelings, seems always to excite even in those whose personal habits are anything but scrupulously cleanly, and of which the sentiment of religious impurity, so intense in the Hindoos, is a remarkable example.
409_124990_000015_000007	The practice is really revolting to such a public.	The practice is really revolting to such a public.
409_124990_000015_000008	They also sincerely think that it is forbidden and abhorred by the Deity.	They also sincerely think that it is forbidden and abhorred by the Deity.
409_124990_000015_000009	Neither could the prohibition be censured as religious persecution.	Neither could the prohibition be censured as religious persecution.
409_124990_000015_000011	The only tenable ground of condemnation would be, that with the personal tastes and self-regarding concerns of individuals the public has no business to interfere.	The only tenable ground of condemnation would be, that with the personal tastes and self regarding concerns of individuals the public has no business to interfere.
409_124990_000016_000001	The people of all Southern Europe look upon a married clergy as not only irreligious, but unchaste, indecent, gross, disgusting.	The people of all Southern Europe look upon a married clergy as not only irreligious, but unchaste, indecent, gross, disgusting.
409_124990_000016_000002	What do Protestants think of these perfectly sincere feelings, and of the attempt to enforce them against non-Catholics?	What do Protestants think of these perfectly sincere feelings, and of the attempt to enforce them against non Catholics?
409_124990_000016_000003	Yet, if mankind are justified in interfering with each other's liberty in things which do not concern the interests of others, on what principle is it possible consistently to exclude these cases?	Yet, if mankind are justified in interfering with each other's liberty in things which do not concern the interests of others, on what principle is it possible consistently to exclude these cases?
409_124990_000016_000004	or who can blame people for desiring to suppress what they regard as a scandal in the sight of God and man?	or who can blame people for desiring to suppress what they regard as a scandal in the sight of God and man?
409_124990_000017_000000	The preceding instances may be objected to, although unreasonably, as drawn from contingencies impossible among us: opinion, in this country, not being likely to enforce abstinence from meats, or to interfere with people for worshipping, and for either marrying or not marrying, according to their creed or inclination.	The preceding instances may be objected to, although unreasonably, as drawn from contingencies impossible among us: opinion, in this country, not being likely to enforce abstinence from meats, or to interfere with people for worshipping, and for either marrying or not marrying, according to their creed or inclination.
409_124990_000017_000001	The next example, however, shall be taken from an interference with liberty which we have by no means passed all danger of.	The next example, however, shall be taken from an interference with liberty which we have by no means passed all danger of.
409_124990_000017_000002	Wherever the Puritans have been sufficiently powerful, as in New England, and in Great Britain at the time of the Commonwealth, they have endeavoured, with considerable success, to put down all public, and nearly all private, amusements: especially music, dancing, public games, or other assemblages for purposes of diversion, and the theatre.	Wherever the Puritans have been sufficiently powerful, as in New England, and in Great Britain at the time of the Commonwealth, they have endeavoured, with considerable success, to put down all public, and nearly all private, amusements: especially music, dancing, public games, or other assemblages for purposes of diversion, and the theatre.
409_124990_000017_000005	This is precisely what should be said to every government and every public, who have the pretension that no person shall enjoy any pleasure which they think wrong.	This is precisely what should be said to every government and every public, who have the pretension that no person shall enjoy any pleasure which they think wrong.
409_124990_000018_000000	To imagine another contingency, perhaps more likely to be realised than the one last mentioned.	To imagine another contingency, perhaps more likely to be realised than the one last mentioned.
409_124990_000018_000001	There is confessedly a strong tendency in the modern world towards a democratic constitution of society, accompanied or not by popular political institutions.	There is confessedly a strong tendency in the modern world towards a democratic constitution of society, accompanied or not by popular political institutions.
409_124990_000018_000004	We have only further to suppose a considerable diffusion of Socialist opinions, and it may become infamous in the eyes of the majority to possess more property than some very small amount, or any income not earned by manual labour.	We have only further to suppose a considerable diffusion of Socialist opinions, and it may become infamous in the eyes of the majority to possess more property than some very small amount, or any income not earned by manual labour.
409_124990_000018_000007	And they employ a moral police, which occasionally becomes a physical one, to deter skilful workmen from receiving, and employers from giving, a larger remuneration for a more useful service.	And they employ a moral police, which occasionally becomes a physical one, to deter skilful workmen from receiving, and employers from giving, a larger remuneration for a more useful service.
409_124990_000018_000008	If the public have any jurisdiction over private concerns, I cannot see that these people are in fault, or that any individual's particular public can be blamed for asserting the same authority over his individual conduct, which the general public asserts over people in general.	If the public have any jurisdiction over private concerns, I cannot see that these people are in fault, or that any individual's particular public can be blamed for asserting the same authority over his individual conduct, which the general public asserts over people in general.
409_124990_000020_000004	The organ of the Alliance, who would "deeply deplore the recognition of any principle which could be wrested to justify bigotry and persecution," undertakes to point out the "broad and impassable barrier" which divides such principles from those of the association.	The organ of the Alliance, who would "deeply deplore the recognition of any principle which could be wrested to justify bigotry and persecution," undertakes to point out the "broad and impassable barrier" which divides such principles from those of the association.
409_124990_000020_000006	Selling fermented liquors, however, is trading, and trading is a social act.	Selling fermented liquors, however, is trading, and trading is a social act.
409_124990_000020_000009	It destroys my primary right of security, by constantly creating and stimulating social disorder.	It destroys my primary right of security, by constantly creating and stimulating social disorder.
409_124990_000020_000010	It invades my right of equality, by deriving a profit from the creation of a misery, I am taxed to support.	It invades my right of equality, by deriving a profit from the creation of a misery, I am taxed to support.
409_124990_000020_000013	The doctrine ascribes to all mankind a vested interest in each other's moral, intellectual, and even physical perfection, to be defined by each claimant according to his own standard.	The doctrine ascribes to all mankind a vested interest in each other's moral, intellectual, and even physical perfection, to be defined by each claimant according to his own standard.
409_124990_000021_000002	But this justification, grounded on the direct interest which others have in each individual's observance of the practice, does not apply to the self-chosen occupations in which a person may think fit to employ his leisure; nor does it hold good, in the smallest degree, for legal restrictions on amusements.	But this justification, grounded on the direct interest which others have in each individual's observance of the practice, does not apply to the self chosen occupations in which a person may think fit to employ his leisure; nor does it hold good, in the smallest degree, for legal restrictions on amusements.
409_124990_000021_000003	It is true that the amusement of some is the day's work of others; but the pleasure, not to say the useful recreation, of many, is worth the labour of a few, provided the occupation is freely chosen, and can be freely resigned.	It is true that the amusement of some is the day's work of others; but the pleasure, not to say the useful recreation, of many, is worth the labour of a few, provided the occupation is freely chosen, and can be freely resigned.
409_124990_000021_000004	The operatives are perfectly right in thinking that if all worked on Sunday, seven days' work would have to be given for six days' wages: but so long as the great mass of employments are suspended, the small number who for the enjoyment of others must still work, obtain a proportional increase of earnings; and they are not obliged to follow those occupations, if they prefer leisure to emolument.	The operatives are perfectly right in thinking that if all worked on Sunday, seven days' work would have to be given for six days' wages: but so long as the great mass of employments are suspended, the small number who for the enjoyment of others must still work, obtain a proportional increase of earnings; and they are not obliged to follow those occupations, if they prefer leisure to emolument.
409_124990_000021_000005	If a further remedy is sought, it might be found in the establishment by custom of a holiday on some other day of the week for those particular classes of persons.	If a further remedy is sought, it might be found in the establishment by custom of a holiday on some other day of the week for those particular classes of persons.
409_124990_000021_000008	It remains to be proved that society or any of its officers holds a commission from on high to avenge any supposed offence to Omnipotence, which is not also a wrong to our fellow-creatures.	It remains to be proved that society or any of its officers holds a commission from on high to avenge any supposed offence to Omnipotence, which is not also a wrong to our fellow creatures.
409_124990_000021_000011	It is a determination not to tolerate others in doing what is permitted by their religion, because it is not permitted by the persecutor's religion.	It is a determination not to tolerate others in doing what is permitted by their religion, because it is not permitted by the persecutor's religion.
409_124990_000021_000012	It is a belief that God not only abominates the act of the misbeliever, but will not hold us guiltless if we leave him unmolested.	It is a belief that God not only abominates the act of the misbeliever, but will not hold us guiltless if we leave him unmolested.
409_124990_000022_000000	I cannot refrain from adding to these examples of the little account commonly made of human liberty, the language of downright persecution which breaks out from the press of this country, whenever it feels called on to notice the remarkable phenomenon of Mormonism.	I cannot refrain from adding to these examples of the little account commonly made of human liberty, the language of downright persecution which breaks out from the press of this country, whenever it feels called on to notice the remarkable phenomenon of Mormonism.
409_124990_000022_000005	Other countries are not asked to recognise such unions, or release any portion of their inhabitants from their own laws on the score of Mormonite opinions.	Other countries are not asked to recognise such unions, or release any portion of their inhabitants from their own laws on the score of Mormonite opinions.
409_124990_000022_000010	Let them send missionaries, if they please, to preach against it; and let them, by any fair means (of which silencing the teachers is not one), oppose the progress of similar doctrines among their own people.	Let them send missionaries, if they please, to preach against it; and let them, by any fair means (of which silencing the teachers is not one), oppose the progress of similar doctrines among their own people.
409_124990_000022_000011	If civilisation has got the better of barbarism when barbarism had the world to itself, it is too much to profess to be afraid lest barbarism, after having been fairly got under, should revive and conquer civilisation.	If civilisation has got the better of barbarism when barbarism had the world to itself, it is too much to profess to be afraid lest barbarism, after having been fairly got under, should revive and conquer civilisation.
409_124990_000022_000012	A civilisation that can thus succumb to its vanquished enemy, must first have become so degenerate, that neither its appointed priests and teachers, nor anybody else, has the capacity, or will take the trouble, to stand up for it.	A civilisation that can thus succumb to its vanquished enemy, must first have become so degenerate, that neither its appointed priests and teachers, nor anybody else, has the capacity, or will take the trouble, to stand up for it.
409_124990_000022_000013	If this be so, the sooner such a civilisation receives notice to quit, the better. It can only go on from bad to worse, until destroyed and regenerated (like the Western Empire) by energetic barbarians.	If this be so, the sooner such a civilisation receives notice to quit, the better. It can only go on from bad to worse, until destroyed and regenerated (like the Western Empire) by energetic barbarians.
409_124990_000024_000003	What was at first obedience to authority became a second nature, and the Parsees to this day abstain both from beef and pork.	What was at first obedience to authority became a second nature, and the Parsees to this day abstain both from beef and pork.
