1460_138290_000000_000000	When the love-led man had ceased from his labours, Bathsheba came and looked him in the face.	When the love led man had ceased from his labours, Bathsheba came and looked him in the face.	false	1.29	8.1	22
1460_138290_000007_000002	Flossy catkins of the later kinds, fern-sprouts like bishops' croziers, the square-headed moschatel, the odd cuckoo-pint,--like an apoplectic saint in a niche of malachite,--snow-white ladies'-smocks, the toothwort, approximating to human flesh, the enchanter's night-shade, and the black-petaled doleful-bells, were among the quainter objects of the vegetable world in and about Weatherbury at this teeming time; and of the animal, the metamorphosed figures of Mr. Jan Coggan, the master-shearer; the second and third shearers, who travelled in the exercise of their calling, and do not require definition by name; Henery Fray the fourth shearer, Susan Tall's husband the fifth, Joseph Poorgrass the sixth, young Cain Ball as assistant-shearer, and Gabriel Oak as general supervisor.	Flossy catkins of the later kinds, fern sprouts like bishops' croziers, the square headed moschatel, the odd cuckoo pint,--like an apoplectic saint in a niche of malachite,--snow white ladies'-smocks, the toothwort, approximating to human flesh, the enchanter's night shade, and the black petaled doleful bells, were among the quainter objects of the vegetable world in and about Weatherbury at this teeming time; and of the animal, the metamorphosed figures of mr Jan Coggan, the master shearer; the second and third shearers, who travelled in the exercise of their calling, and do not require definition by name; Henery Fray the fourth shearer, Susan Tall's husband the fifth, Joseph Poorgrass the sixth, young Cain Ball as assistant shearer, and Gabriel Oak as general supervisor.	false	84.08	134.26	21.976852
1460_138290_000007_000003	None of these were clothed to any extent worth mentioning, each appearing to have hit in the matter of raiment the decent mean between a high and low caste Hindoo.	None of these were clothed to any extent worth mentioning, each appearing to have hit in the matter of raiment the decent mean between a high and low caste Hindoo.	true	134.96	143.11	17
1460_138290_000007_000004	An angularity of lineament, and a fixity of facial machinery in general, proclaimed that serious work was the order of the day.	An angularity of lineament, and a fixity of facial machinery in general, proclaimed that serious work was the order of the day.	true	143.9	150.82	13
1460_138290_000008_000000	They sheared in the great barn, called for the nonce the Shearing-barn, which on ground-plan resembled a church with transepts.	They sheared in the great barn, called for the nonce the Shearing barn, which on ground plan resembled a church with transepts.	true	152.57	159.34	18
1460_138290_000008_000001	It not only emulated the form of the neighbouring church of the parish, but vied with it in antiquity.	It not only emulated the form of the neighbouring church of the parish, but vied with it in antiquity.	true	159.77	165.49	19
1460_138290_000008_000002	Whether the barn had ever formed one of a group of conventual buildings nobody seemed to be aware; no trace of such surroundings remained.	Whether the barn had ever formed one of a group of conventual buildings nobody seemed to be aware; no trace of such surroundings remained.	true	166.16	174.16	19
1460_138290_000008_000003	The vast porches at the sides, lofty enough to admit a waggon laden to its highest with corn in the sheaf, were spanned by heavy-pointed arches of stone, broadly and boldly cut, whose very simplicity was the origin of a grandeur not apparent in erections where more ornament has been attempted.	The vast porches at the sides, lofty enough to admit a waggon laden to its highest with corn in the sheaf, were spanned by heavy pointed arches of stone, broadly and boldly cut, whose very simplicity was the origin of a grandeur not apparent in erections where more ornament has been attempted.	false	174.47	191.98	20
1460_138290_000008_000004	The dusky, filmed, chestnut roof, braced and tied in by huge collars, curves, and diagonals, was far nobler in design, because more wealthy in material, than nine-tenths of those in our modern churches.	The dusky, filmed, chestnut roof, braced and tied in by huge collars, curves, and diagonals, was far nobler in design, because more wealthy in material, than nine tenths of those in our modern churches.	true	192.47	204.22	15
1460_138290_000008_000005	Along each side wall was a range of striding buttresses, throwing deep shadows on the spaces between them, which were perforated by lancet openings, combining in their proportions the precise requirements both of beauty and ventilation.	Along each side wall was a range of striding buttresses, throwing deep shadows on the spaces between them, which were perforated by lancet openings, combining in their proportions the precise requirements both of beauty and ventilation.	false	204.68	218.44	16
1460_138290_000009_000000	One could say about this barn, what could hardly be said of either the church or the castle, akin to it in age and style, that the purpose which had dictated its original erection was the same with that to which it was still applied.	One could say about this barn, what could hardly be said of either the church or the castle, akin to it in age and style, that the purpose which had dictated its original erection was the same with that to which it was still applied.	true	219.17	231.61	19
1460_138290_000009_000001	Unlike and superior to either of those two typical remnants of mediaevalism, the old barn embodied practices which had suffered no mutilation at the hands of time. Here at least the spirit of the ancient builders was at one with the spirit of the modern beholder.	Unlike and superior to either of those two typical remnants of mediaevalism, the old barn embodied practices which had suffered no mutilation at the hands of time. Here at least the spirit of the ancient builders was at one with the spirit of the modern beholder.	false	232.04	246.67	19
1460_138290_000009_000002	Standing before this abraded pile, the eye regarded its present usage, the mind dwelt upon its past history, with a satisfied sense of functional continuity throughout--a feeling almost of gratitude, and quite of pride, at the permanence of the idea which had heaped it up.	Standing before this abraded pile, the eye regarded its present usage, the mind dwelt upon its past history, with a satisfied sense of functional continuity throughout-a feeling almost of gratitude, and quite of pride, at the permanence of the idea which had heaped it up.	true	247.04	264.525	22.015295
1460_138290_000009_000003	The fact that four centuries had neither proved it to be founded on a mistake, inspired any hatred of its purpose, nor given rise to any reaction that had battered it down, invested this simple grey effort of old minds with a repose, if not a grandeur, which a too curious reflection was apt to disturb in its ecclesiastical and military compeers.	The fact that four centuries had neither proved it to be founded on a mistake, inspired any hatred of its purpose, nor given rise to any reaction that had battered it down, invested this simple grey effort of old minds with a repose, if not a grandeur, which a too curious reflection was apt to disturb in its ecclesiastical and military compeers.	false	264.525	284.08	18
1460_138290_000009_000004	For once mediaevalism and modernism had a common stand-point.	For once mediaevalism and modernism had a common stand point.	true	284.69	288.22	15
1460_138290_000009_000005	The lanceolate windows, the time-eaten archstones and chamfers, the orientation of the axis, the misty chestnut work of the rafters, referred to no exploded fortifying art or worn-out religious creed.	The lanceolate windows, the time eaten archstones and chamfers, the orientation of the axis, the misty chestnut work of the rafters, referred to no exploded fortifying art or worn out religious creed.	true	288.62	301.21	18
1460_138290_000009_000006	The defence and salvation of the body by daily bread is still a study, a religion, and a desire.	The defence and salvation of the body by daily bread is still a study, a religion, and a desire.	true	301.34	307.42	17
1460_138290_000010_000000	To-day the large side doors were thrown open towards the sun to admit a bountiful light to the immediate spot of the shearers' operations, which was the wood threshing-floor in the centre, formed of thick oak, black with age and polished by the beating of flails for many generations, till it had grown as slippery and as rich in hue as the state-room floors of an Elizabethan mansion.	To day the large side doors were thrown open towards the sun to admit a bountiful light to the immediate spot of the shearers' operations, which was the wood threshing floor in the centre, formed of thick oak, black with age and polished by the beating of flails for many generations, till it had grown as slippery and as rich in hue as the state room floors of an Elizabethan mansion.	true	308.45	329.02	17
1460_138290_000010_000001	Here the shearers knelt, the sun slanting in upon their bleached shirts, tanned arms, and the polished shears they flourished, causing these to bristle with a thousand rays strong enough to blind a weak-eyed man.	Here the shearers knelt, the sun slanting in upon their bleached shirts, tanned arms, and the polished shears they flourished, causing these to bristle with a thousand rays strong enough to blind a weak eyed man.	true	329.84	341.74	16
1460_138290_000010_000002	Beneath them a captive sheep lay panting, quickening its pants as misgiving merged in terror, till it quivered like the hot landscape outside.	Beneath them a captive sheep lay panting, quickening its pants as misgiving merged in terror, till it quivered like the hot landscape outside.	true	342.17	350.32	18
1460_138290_000011_000000	This picture of to-day in its frame of four hundred years ago did not produce that marked contrast between ancient and modern which is implied by the contrast of date.	This picture of to day in its frame of four hundred years ago did not produce that marked contrast between ancient and modern which is implied by the contrast of date.	true	350.87	359.47	17
1460_138290_000011_000001	In comparison with cities, Weatherbury was immutable.	In comparison with cities, Weatherbury was immutable.	true	359.78	362.77	17
1460_138290_000011_000002	The citizen's THEN is the rustic's NOW.	The citizen's THEN is the rustic's NOW.	false	363.11	365.56	18
1460_138290_000011_000003	In London, twenty or thirty-years ago are old times; in Paris ten years, or five; in Weatherbury three or four score years were included in the mere present, and nothing less than a century set a mark on its face or tone.	In London, twenty or thirty years ago are old times; in Paris ten years, or five; in Weatherbury three or four score years were included in the mere present, and nothing less than a century set a mark on its face or tone.	false	365.72	377.985	16
1460_138290_000011_000004	Five decades hardly modified the cut of a gaiter, the embroidery of a smock-frock, by the breadth of a hair. Ten generations failed to alter the turn of a single phrase.	Five decades hardly modified the cut of a gaiter, the embroidery of a smock frock, by the breadth of a hair. Ten generations failed to alter the turn of a single phrase.	true	377.985	388.15	20
1460_138290_000011_000005	In these Wessex nooks the busy outsider's ancient times are only old; his old times are still new; his present is futurity.	In these Wessex nooks the busy outsider's ancient times are only old; his old times are still new; his present is futurity.	true	388.4	396.73	20
1460_138290_000012_000000	So the barn was natural to the shearers, and the shearers were in harmony with the barn.	So the barn was natural to the shearers, and the shearers were in harmony with the barn.	true	396.83	401.02	14
1460_138290_000013_000000	The spacious ends of the building, answering ecclesiastically to nave and chancel extremities, were fenced off with hurdles, the sheep being all collected in a crowd within these two enclosures; and in one angle a catching-pen was formed, in which three or four sheep were continuously kept ready for the shearers to seize without loss of time.	The spacious ends of the building, answering ecclesiastically to nave and chancel extremities, were fenced off with hurdles, the sheep being all collected in a crowd within these two enclosures; and in one angle a catching pen was formed, in which three or four sheep were continuously kept ready for the shearers to seize without loss of time.	false	402.29	420.73	16
1460_138290_000013_000001	In the background, mellowed by tawny shade, were the three women, Maryann Money, and Temperance and Soberness Miller, gathering up the fleeces and twisting ropes of wool with a wimble for tying them round.	In the background, mellowed by tawny shade, were the three women, Maryann Money, and Temperance and Soberness Miller, gathering up the fleeces and twisting ropes of wool with a wimble for tying them round.	true	421.37	432.88	17
1460_138290_000013_000002	They were indifferently well assisted by the old maltster, who, when the malting season from October to April had passed, made himself useful upon any of the bordering farmsteads.	They were indifferently well assisted by the old maltster, who, when the malting season from October to April had passed, made himself useful upon any of the bordering farmsteads.	true	433.22	442.99	15
1460_138290_000014_000000	Behind all was Bathsheba, carefully watching the men to see that there was no cutting or wounding through carelessness, and that the animals were shorn close.	Behind all was Bathsheba, carefully watching the men to see that there was no cutting or wounding through carelessness, and that the animals were shorn close.	true	443.39	451.66	16
1460_138290_000014_000001	Gabriel, who flitted and hovered under her bright eyes like a moth, did not shear continuously, half his time being spent in attending to the others and selecting the sheep for them.	Gabriel, who flitted and hovered under her bright eyes like a moth, did not shear continuously, half his time being spent in attending to the others and selecting the sheep for them.	false	452	461.59	18
1460_138290_000014_000002	At the present moment he was engaged in handing round a mug of mild liquor, supplied from a barrel in the corner, and cut pieces of bread and cheese.	At the present moment he was engaged in handing round a mug of mild liquor, supplied from a barrel in the corner, and cut pieces of bread and cheese.	true	461.84	469.6	15
1460_138290_000015_000000	Bathsheba, after throwing a glance here, a caution there, and lecturing one of the younger operators who had allowed his last finished sheep to go off among the flock without re-stamping it with her initials, came again to Gabriel, as he put down the luncheon to drag a frightened ewe to his shear-station, flinging it over upon its back with a dexterous twist of the arm.	Bathsheba, after throwing a glance here, a caution there, and lecturing one of the younger operators who had allowed his last finished sheep to go off among the flock without re stamping it with her initials, came again to Gabriel, as he put down the luncheon to drag a frightened ewe to his shear station, flinging it over upon its back with a dexterous twist of the arm.	true	470.36	490.78	17
1460_138290_000015_000001	He lopped off the tresses about its head, and opened up the neck and collar, his mistress quietly looking on.	He lopped off the tresses about its head, and opened up the neck and collar, his mistress quietly looking on.	true	490.88	496.81	19
1460_138290_000016_000000	"She blushes at the insult," murmured Bathsheba, watching the pink flush which arose and overspread the neck and shoulders of the ewe where they were left bare by the clicking shears--a flush which was enviable, for its delicacy, by many queens of coteries, and would have been creditable, for its promptness, to any woman in the world.	"She blushes at the insult," murmured Bathsheba, watching the pink flush which arose and overspread the neck and shoulders of the ewe where they were left bare by the clicking shears-a flush which was enviable, for its delicacy, by many queens of coteries, and would have been creditable, for its promptness, to any woman in the world.	true	498.02	515.62	18
1460_138290_000017_000000	Poor Gabriel's soul was fed with a luxury of content by having her over him, her eyes critically regarding his skilful shears, which apparently were going to gather up a piece of the flesh at every close, and yet never did so.	Poor Gabriel's soul was fed with a luxury of content by having her over him, her eyes critically regarding his skilful shears, which apparently were going to gather up a piece of the flesh at every close, and yet never did so.	true	516.02	528.46	17
1460_138290_000017_000001	Like Guildenstern, Oak was happy in that he was not over happy.	Like Guildenstern, Oak was happy in that he was not over happy.	false	528.77	532.39	18
1460_138290_000017_000002	He had no wish to converse with her: that his bright lady and himself formed one group, exclusively their own, and containing no others in the world, was enough.	He had no wish to converse with her: that his bright lady and himself formed one group, exclusively their own, and containing no others in the world, was enough.	true	532.46	541.57	17
1460_138290_000018_000000	So the chatter was all on her side.	So the chatter was all on her side.	true	542.27	544.48	20.857231
1460_138290_000018_000001	There is a loquacity that tells nothing, which was Bathsheba's; and there is a silence which says much: that was Gabriel's.	There is a loquacity that tells nothing, which was Bathsheba's; and there is a silence which says much: that was Gabriel's.	true	544.64	551.29	19
1460_138290_000018_000002	Full of this dim and temperate bliss, he went on to fling the ewe over upon her other side, covering her head with his knee, gradually running the shears line after line round her dewlap; thence about her flank and back, and finishing over the tail.	Full of this dim and temperate bliss, he went on to fling the ewe over upon her other side, covering her head with his knee, gradually running the shears line after line round her dewlap; thence about her flank and back, and finishing over the tail.	true	551.57	566.02	17
1460_138290_000019_000000	"Well done, and done quickly!" said Bathsheba, looking at her watch as the last snip resounded.	"Well done, and done quickly!" said Bathsheba, looking at her watch as the last snip resounded.	true	566.24	571.24	18
1460_138290_000020_000000	"How long, miss?" said Gabriel, wiping his brow.	"How long, miss?" said Gabriel, wiping his brow.	true	571.28	573.97	19
1460_138290_000021_000000	"Three-and-twenty minutes and a half since you took the first lock from its forehead.	"Three and twenty minutes and a half since you took the first lock from its forehead.	true	574.07	578.04	17
1460_138290_000021_000001	It is the first time that I have ever seen one done in less than half an hour."	It is the first time that I have ever seen one done in less than half an hour."	false	578.04	581.83	16
1460_138290_000022_000000	The clean, sleek creature arose from its fleece--how perfectly like Aphrodite rising from the foam should have been seen to be realized--looking startled and shy at the loss of its garment, which lay on the floor in one soft cloud, united throughout, the portion visible being the inner surface only, which, never before exposed, was white as snow, and without flaw or blemish of the minutest kind.	The clean, sleek creature arose from its fleece-how perfectly like Aphrodite rising from the foam should have been seen to be realized-looking startled and shy at the loss of its garment, which lay on the floor in one soft cloud, united throughout, the portion visible being the inner surface only, which, never before exposed, was white as snow, and without flaw or blemish of the minutest kind.	false	582.38	604.33	16
1460_138290_000023_000000	"Cain Ball!"	"Cain Ball!"	true	604.64	605.83	32.733078
1460_138290_000024_000000	"Yes, Mister Oak; here I be!"	"Yes, Mister Oak; here I be!"	true	605.87	607.72	23.723675
1460_138290_000025_000000	Cainy now runs forward with the tar-pot.	Cainy now runs forward with the tar pot.	true	607.94	610.27	21.255772
1460_138290_000025_000001	"B. E." is newly stamped upon the shorn skin, and away the simple dam leaps, panting, over the board into the shirtless flock outside.	"b e" is newly stamped upon the shorn skin, and away the simple dam leaps, panting, over the board into the shirtless flock outside.	true	610.43	618.4	17
1460_138290_000025_000002	Then up comes Maryann; throws the loose locks into the middle of the fleece, rolls it up, and carries it into the background as three-and-a-half pounds of unadulterated warmth for the winter enjoyment of persons unknown and far away, who will, however, never experience the superlative comfort derivable from the wool as it here exists, new and pure--before the unctuousness of its nature whilst in a living state has dried, stiffened, and been washed out--rendering it just now as superior to anything WOOLLEN as cream is superior to milk-and-water.	Then up comes Maryann; throws the loose locks into the middle of the fleece, rolls it up, and carries it into the background as three and a half pounds of unadulterated warmth for the winter enjoyment of persons unknown and far away, who will, however, never experience the superlative comfort derivable from the wool as it here exists, new and pure-before the unctuousness of its nature whilst in a living state has dried, stiffened, and been washed out-rendering it just now as superior to anything WOOLLEN as cream is superior to milk and water.	false	618.77	650.65	16
1460_138290_000026_000000	But heartless circumstance could not leave entire Gabriel's happiness of this morning.	But heartless circumstance could not leave entire Gabriel's happiness of this morning.	true	652.04	656.83	16
1460_138290_000026_000001	The rams, old ewes, and two-shear ewes had duly undergone their stripping, and the men were proceeding with the shear-lings and hogs, when Oak's belief that she was going to stand pleasantly by and time him through another performance was painfully interrupted by Farmer Boldwood's appearance in the extremest corner of the barn.	The rams, old ewes, and two shear ewes had duly undergone their stripping, and the men were proceeding with the shear lings and hogs, when Oak's belief that she was going to stand pleasantly by and time him through another performance was painfully interrupted by Farmer Boldwood's appearance in the extremest corner of the barn.	true	657.08	675.73	15
1460_138290_000026_000002	Nobody seemed to have perceived his entry, but there he certainly was.	Nobody seemed to have perceived his entry, but there he certainly was.	true	676.16	680.02	17
1460_138290_000026_000003	Boldwood always carried with him a social atmosphere of his own, which everybody felt who came near him; and the talk, which Bathsheba's presence had somewhat suppressed, was now totally suspended.	Boldwood always carried with him a social atmosphere of his own, which everybody felt who came near him; and the talk, which Bathsheba's presence had somewhat suppressed, was now totally suspended.	true	680.15	691.27	21
1460_138290_000027_000000	He crossed over towards Bathsheba, who turned to greet him with a carriage of perfect ease.	He crossed over towards Bathsheba, who turned to greet him with a carriage of perfect ease.	true	691.82	696.73	19
1460_138290_000027_000001	He spoke to her in low tones, and she instinctively modulated her own to the same pitch, and her voice ultimately even caught the inflection of his.	He spoke to her in low tones, and she instinctively modulated her own to the same pitch, and her voice ultimately even caught the inflection of his.	true	696.86	705.07	16
1460_138290_000027_000002	She was far from having a wish to appear mysteriously connected with him; but woman at the impressionable age gravitates to the larger body not only in her choice of words, which is apparent every day, but even in her shades of tone and humour, when the influence is great.	She was far from having a wish to appear mysteriously connected with him; but woman at the impressionable age gravitates to the larger body not only in her choice of words, which is apparent every day, but even in her shades of tone and humour, when the influence is great.	true	705.35	720.31	16
1460_138290_000028_000000	What they conversed about was not audible to Gabriel, who was too independent to get near, though too concerned to disregard.	What they conversed about was not audible to Gabriel, who was too independent to get near, though too concerned to disregard.	true	721.79	728.35	20
1460_138290_000028_000001	The issue of their dialogue was the taking of her hand by the courteous farmer to help her over the spreading-board into the bright June sunlight outside.	The issue of their dialogue was the taking of her hand by the courteous farmer to help her over the spreading board into the bright June sunlight outside.	true	728.69	736.39	16
1460_138290_000028_000002	Standing beside the sheep already shorn, they went on talking again.	Standing beside the sheep already shorn, they went on talking again.	true	736.79	740.65	15
1460_138290_000028_000003	Concerning the flock?	Concerning the flock?	true	740.84	742.2	20.385574
1460_138290_000028_000004	Apparently not.	Apparently not.	true	742.2	743.38	24.238075
1460_138290_000028_000005	Gabriel theorized, not without truth, that in quiet discussion of any matter within reach of the speakers' eyes, these are usually fixed upon it.	Gabriel theorized, not without truth, that in quiet discussion of any matter within reach of the speakers' eyes, these are usually fixed upon it.	true	743.69	752.11	20
1460_138290_000028_000006	Bathsheba demurely regarded a contemptible straw lying upon the ground, in a way which suggested less ovine criticism than womanly embarrassment.	Bathsheba demurely regarded a contemptible straw lying upon the ground, in a way which suggested less ovine criticism than womanly embarrassment.	true	752.51	760.81	15
1460_138290_000028_000007	She became more or less red in the cheek, the blood wavering in uncertain flux and reflux over the sensitive space between ebb and flood.	She became more or less red in the cheek, the blood wavering in uncertain flux and reflux over the sensitive space between ebb and flood.	false	761.21	769.21	17
1460_138290_000028_000008	Gabriel sheared on, constrained and sad.	Gabriel sheared on, constrained and sad.	true	769.46	772.57	17
1460_138290_000029_000000	She left Boldwood's side, and he walked up and down alone for nearly a quarter of an hour.	She left Boldwood's side, and he walked up and down alone for nearly a quarter of an hour.	true	773.18	778.03	16
1460_138290_000029_000001	Then she reappeared in her new riding-habit of myrtle green, which fitted her to the waist as a rind fits its fruit; and young Bob Coggan led on her mare, Boldwood fetching his own horse from the tree under which it had been tied.	Then she reappeared in her new riding habit of myrtle green, which fitted her to the waist as a rind fits its fruit; and young Bob Coggan led on her mare, Boldwood fetching his own horse from the tree under which it had been tied.	true	778.22	791.53	16
1460_138290_000030_000000	Oak's eyes could not forsake them; and in endeavouring to continue his shearing at the same time that he watched Boldwood's manner, he snipped the sheep in the groin.	Oak's eyes could not forsake them; and in endeavouring to continue his shearing at the same time that he watched Boldwood's manner, he snipped the sheep in the groin.	true	791.81	800.44	15
1460_138290_000030_000001	The animal plunged; Bathsheba instantly gazed towards it, and saw the blood.	The animal plunged; Bathsheba instantly gazed towards it, and saw the blood.	true	800.57	805.305	22
1460_138290_000031_000000	"Oh, Gabriel!" she exclaimed, with severe remonstrance, "you who are so strict with the other men--see what you are doing yourself!"	"Oh, Gabriel!" she exclaimed, with severe remonstrance, "you who are so strict with the other men-see what you are doing yourself!"	true	805.305	813.1	18
1460_138290_000032_000000	To an outsider there was not much to complain of in this remark; but to Oak, who knew Bathsheba to be well aware that she herself was the cause of the poor ewe's wound, because she had wounded the ewe's shearer in a still more vital part, it had a sting which the abiding sense of his inferiority to both herself and Boldwood was not calculated to heal.	To an outsider there was not much to complain of in this remark; but to Oak, who knew Bathsheba to be well aware that she herself was the cause of the poor ewe's wound, because she had wounded the ewe's shearer in a still more vital part, it had a sting which the abiding sense of his inferiority to both herself and Boldwood was not calculated to heal.	true	813.47	833.17	17
1460_138290_000032_000001	But a manly resolve to recognize boldly that he had no longer a lover's interest in her, helped him occasionally to conceal a feeling.	But a manly resolve to recognize boldly that he had no longer a lover's interest in her, helped him occasionally to conceal a feeling.	true	833.42	841.09	16
1460_138290_000033_000000	"Bottle!" he shouted, in an unmoved voice of routine.	"Bottle!" he shouted, in an unmoved voice of routine.	true	841.94	845.08	22
1460_138290_000033_000001	Cainy Ball ran up, the wound was anointed, and the shearing continued.	Cainy Ball ran up, the wound was anointed, and the shearing continued.	false	845.48	849.55	18
1460_138290_000034_000000	Boldwood gently tossed Bathsheba into the saddle, and before they turned away she again spoke out to Oak with the same dominative and tantalizing graciousness.	Boldwood gently tossed Bathsheba into the saddle, and before they turned away she again spoke out to Oak with the same dominative and tantalizing graciousness.	false	850.19	859.24	16
1460_138290_000035_000000	"I am going now to see Mr. Boldwood's Leicesters.	"I am going now to see mr Boldwood's Leicesters.	true	859.61	862.27	16
1460_138290_000035_000001	Take my place in the barn, Gabriel, and keep the men carefully to their work."	Take my place in the barn, Gabriel, and keep the men carefully to their work."	true	862.43	866.2	22.28172
1460_138290_000036_000000	The horses' heads were put about, and they trotted away.	The horses' heads were put about, and they trotted away.	true	866.45	869.17	20
1460_138290_000037_000000	Boldwood's deep attachment was a matter of great interest among all around him; but, after having been pointed out for so many years as the perfect exemplar of thriving bachelorship, his lapse was an anticlimax somewhat resembling that of St. John Long's death by consumption in the midst of his proofs that it was not a fatal disease.	Boldwood's deep attachment was a matter of great interest among all around him; but, after having been pointed out for so many years as the perfect exemplar of thriving bachelorship, his lapse was an anticlimax somewhat resembling that of saint John Long's death by consumption in the midst of his proofs that it was not a fatal disease.	true	869.57	888.88	16
1460_138290_000038_000000	"That means matrimony," said Temperance Miller, following them out of sight with her eyes.	"That means matrimony," said Temperance Miller, following them out of sight with her eyes.	true	889.61	894.22	15
1460_138290_000039_000000	"I reckon that's the size o't," said Coggan, working along without looking up.	"I reckon that's the size o't," said Coggan, working along without looking up.	false	894.29	898.635	20.93907
1460_138290_000040_000000	"Well, better wed over the mixen than over the moor," said Laban Tall, turning his sheep.	"Well, better wed over the mixen than over the moor," said Laban Tall, turning his sheep.	true	898.635	903.49	20
1460_138290_000041_000000	Henery Fray spoke, exhibiting miserable eyes at the same time: "I don't see why a maid should take a husband when she's bold enough to fight her own battles, and don't want a home; for 'tis keeping another woman out.	Henery Fray spoke, exhibiting miserable eyes at the same time: "I don't see why a maid should take a husband when she's bold enough to fight her own battles, and don't want a home; for 'tis keeping another woman out.	true	903.8	915.285	18
1460_138290_000041_000001	But let it be, for 'tis a pity he and she should trouble two houses."	But let it be, for 'tis a pity he and she should trouble two houses."	true	915.285	919.15	19
1460_138290_000042_000000	As usual with decided characters, Bathsheba invariably provoked the criticism of individuals like Henery Fray.	As usual with decided characters, Bathsheba invariably provoked the criticism of individuals like Henery Fray.	false	919.73	926.53	18
1460_138290_000042_000001	Her emblazoned fault was to be too pronounced in her objections, and not sufficiently overt in her likings.	Her emblazoned fault was to be too pronounced in her objections, and not sufficiently overt in her likings.	true	926.66	932.53	16
1460_138290_000042_000002	We learn that it is not the rays which bodies absorb, but those which they reject, that give them the colours they are known by; and in the same way people are specialized by their dislikes and antagonisms, whilst their goodwill is looked upon as no attribute at all.	We learn that it is not the rays which bodies absorb, but those which they reject, that give them the colours they are known by; and in the same way people are specialized by their dislikes and antagonisms, whilst their goodwill is looked upon as no attribute at all.	true	932.9	947.35	17
1460_138290_000043_000000	Henery continued in a more complaisant mood: "I once hinted my mind to her on a few things, as nearly as a battered frame dared to do so to such a froward piece.	Henery continued in a more complaisant mood: "I once hinted my mind to her on a few things, as nearly as a battered frame dared to do so to such a froward piece.	false	947.96	957.13	16
1460_138290_000043_000001	You all know, neighbours, what a man I be, and how I come down with my powerful words when my pride is boiling wi' scarn?"	You all know, neighbours, what a man I be, and how I come down with my powerful words when my pride is boiling wi' scarn?"	false	957.47	964.11	17
1460_138290_000044_000000	"We do, we do, Henery."	"We do, we do, Henery."	true	964.11	965.59	10
1460_138290_000045_000000	"So I said, 'Mistress Everdene, there's places empty, and there's gifted men willing; but the spite'--no, not the spite--I didn't say spite--'but the villainy of the contrarikind,' I said (meaning womankind), 'keeps 'em out.' That wasn't too strong for her, say?"	"So I said, 'Mistress Everdene, there's places empty, and there's gifted men willing; but the spite'--no, not the spite-I didn't say spite-'but the villainy of the contrarikind,' I said (meaning womankind), 'keeps 'em out.' That wasn't too strong for her, say?"	true	965.87	980.62	20
1460_138290_000046_000000	"Passably well put."	"Passably well put."	true	980.84	982.12	22.403997
1460_138290_000047_000000	"Yes; and I would have said it, had death and salvation overtook me for it.	"Yes; and I would have said it, had death and salvation overtook me for it.	true	982.13	985.395	21.02957
1460_138290_000047_000001	Such is my spirit when I have a mind."	Such is my spirit when I have a mind."	false	985.395	987.4	19
