5319_64075_000003_000000	CHAPTER XVIII.	CHAPTER eighteen.
5319_64075_000019_000002	Then Am put a rope on to him and tried to lead him, but Pont would sulk and would not be led.	Then Am put a rope on to him and tried to lead him, but Pont would sulk and would not be led.
5319_64075_000019_000003	Then Am lost his temper and wanted to break Pont's neck again.	Then Am lost his temper and wanted to break Pont's neck again.
5319_64075_000019_000004	I said that I did not like to have Pont abused and that I would go along with him.	I said that I did not like to have Pont abused and that I would go along with him.
5319_64075_000019_000005	When we came to the place where the fox had escaped with the trap Am at once began to slap his hands and hiss Pont on.	When we came to the place where the fox had escaped with the trap Am at once began to slap his hands and hiss Pont on.
5319_64075_000019_000006	Pont only crouched behind me for protection. I persuaded Am to go on down the run and look at the traps down that way while I and Pont would look after the escaped fox.	Pont only crouched behind me for protection. I persuaded Am to go on down the run and look at the traps down that way while I and Pont would look after the escaped fox.
5319_64075_000020_000000	As soon as Am was gone I began to look about where the fox had been caught and search for his trail, and soon Pont began to wag his tail. I merely worked Pont's way and said, "Has he gone that way?" Pont gave me to understand that the fox had gone that way and that he knew what was wanted.	As soon as Am was gone I began to look about where the fox had been caught and search for his trail, and soon Pont began to wag his tail. I merely worked Pont's way and said, "Has he gone that way?" Pont gave me to understand that the fox had gone that way and that he knew what was wanted.
5319_64075_000020_000002	A little way up this we found where the fox had been fast in some bushes but had freed himself and left and gone up the hillside.	A little way up this we found where the fox had been fast in some bushes but had freed himself and left and gone up the hillside.
5319_64075_000020_000003	Pont soon began to get uneasy, and when I said hunt him out Pont, away he went and in a few minutes I heard Pont give a long howl and I knew that he had holed his game.	Pont soon began to get uneasy, and when I said hunt him out Pont, away he went and in a few minutes I heard Pont give a long howl and I knew that he had holed his game.
5319_64075_000020_000004	When I came up to Pont he was working in a hole in some shell rocks.	When I came up to Pont he was working in a hole in some shell rocks.
5319_64075_000020_000006	There was scarcely a week that Pont did not help us out on the trap line.	There was scarcely a week that Pont did not help us out on the trap line.
5319_64075_000021_000000	Not unfrequently did Pont show me a 'coon den.	Not unfrequently did Pont show me a 'coon den.
5319_64075_000021_000001	I had some difficulty in teaching Pont to let the porcupines alone, but after a time he learned that they were not the kind of game that he wanted, and he paid no more attention to them.	I had some difficulty in teaching Pont to let the porcupines alone, but after a time he learned that they were not the kind of game that he wanted, and he paid no more attention to them.
5319_64075_000022_000000	I have had many different dogs on the trap line with me, and I can say to any one who can understand dog's language, has a liking for a dog and has a reasonable amount of patience and is willing to use it, will find a well trained dog of much benefit on the trap line, and often a more genial companion than some partners one may fall in with.	I have had many different dogs on the trap line with me, and I can say to any one who can understand dog's language, has a liking for a dog and has a reasonable amount of patience and is willing to use it, will find a well trained dog of much benefit on the trap line, and often a more genial companion than some partners one may fall in with.
