7515_220980_000000_000000	But if he who has been struck pardons and forgives, he shows the greatest mercy.	But if he who has been struck pardons and forgives, he shows the greatest mercy.	false	0	10.785	24.356607
7515_220980_000006_000004	This conduct is worthy of man: for what advantage does he gain by vengeance? The two actions are equivalent; if one action is reprehensible, both are reprehensible.	This conduct is worthy of man: for what advantage does he gain by vengeance? The two actions are equivalent; if one action is reprehensible, both are reprehensible.	true	218.63	233.44	25.435959
7515_220980_000006_000005	The only difference is that one was committed first, the other later.	The only difference is that one was committed first, the other later.	true	233.81	238.96	25.166948
7515_220980_000007_000000	But the community has the right of defense and of self-protection; moreover, the community has no hatred nor animosity for the murderer: it imprisons or punishes him merely for the protection and security of others.	But the community has the right of defense and of self protection; moreover, the community has no hatred nor animosity for the murderer: it imprisons or punishes him merely for the protection and security of others.	true	239.9	257.23	24.310772
7515_220980_000007_000001	It is not for the purpose of taking vengeance upon the murderer, but for the purpose of inflicting a punishment by which the community will be protected.	It is not for the purpose of taking vengeance upon the murderer, but for the purpose of inflicting a punishment by which the community will be protected.	false	258.05	269.89	24.447971
7515_220980_000007_000002	If the community and the inheritors of the murdered one were to forgive and return good for evil, the cruel would be continually ill-treating others, and assassinations would continually occur.	If the community and the inheritors of the murdered one were to forgive and return good for evil, the cruel would be continually ill treating others, and assassinations would continually occur.	true	271.01	286.75	24.242409
7515_220980_000007_000003	Vicious people, like wolves, would destroy the sheep of God.	Vicious people, like wolves, would destroy the sheep of God.	true	287.57	293.32	27.321217
7515_220980_000007_000004	The community has no ill-will and rancor in the infliction of punishment, and it does not desire to appease the anger of the heart; its purpose is by punishment to protect others so that no atrocious actions may be committed.	The community has no ill will and rancor in the infliction of punishment, and it does not desire to appease the anger of the heart; its purpose is by punishment to protect others so that no atrocious actions may be committed.	true	294.02	312.7	25.537935
7515_220980_000008_000000	Thus when Christ said: "Whosoever shall smite thee on the right cheek, turn to him the left one also,"(161) it was for the purpose of teaching men not to take personal revenge.	Thus when Christ said: "Whosoever shall smite thee on the right cheek, turn to him the left one also,"(one hundred sixty one) it was for the purpose of teaching men not to take personal revenge.	false	313.58	327.58	21.985878
7515_220980_000008_000001	He did not mean that, if a wolf should fall upon a flock of sheep and wish to destroy it, the wolf should be encouraged to do so.	He did not mean that, if a wolf should fall upon a flock of sheep and wish to destroy it, the wolf should be encouraged to do so.	false	328.22	337.78	25.666248
7515_220980_000008_000002	No, if Christ had known that a wolf had entered the fold and was about to destroy the sheep, most certainly He would have prevented it.	No, if Christ had known that a wolf had entered the fold and was about to destroy the sheep, most certainly He would have prevented it.	true	338.39	348.88	23.532158
7515_220980_000009_000000	As forgiveness is one of the attributes of the Merciful One, so also justice is one of the attributes of the Lord.	As forgiveness is one of the attributes of the Merciful One, so also justice is one of the attributes of the Lord.	true	349.88	359.32	23.759743
7515_220980_000009_000001	The tent of existence is upheld upon the pillar of justice and not upon forgiveness.	The tent of existence is upheld upon the pillar of justice and not upon forgiveness.	true	360.11	367.42	24.220682
7515_220980_000009_000002	The continuance of mankind depends upon justice and not upon forgiveness.	The continuance of mankind depends upon justice and not upon forgiveness.	true	368.21	375.01	25.26652
7515_220980_000009_000003	So if, at present, the law of pardon were practiced in all countries, in a short time the world would be disordered, and the foundations of human life would crumble.	So if, at present, the law of pardon were practiced in all countries, in a short time the world would be disordered, and the foundations of human life would crumble.	true	375.59	388.66	25.300274
7515_220980_000009_000004	For example, if the governments of Europe had not withstood the notorious Attila, he would not have left a single living man.	For example, if the governments of Europe had not withstood the notorious Attila, he would not have left a single living man.	true	389.3	399.25	24.257359
7515_220980_000010_000000	Some people are like bloodthirsty wolves: if they see no punishment forthcoming, they will kill men merely for pleasure and diversion.	Some people are like bloodthirsty wolves: if they see no punishment forthcoming, they will kill men merely for pleasure and diversion.	true	401.18	411.94	23.681784
7515_220980_000010_000001	One of the tyrants of Persia killed his tutor merely for the sake of making merry, for mere fun and sport.	One of the tyrants of Persia killed his tutor merely for the sake of making merry, for mere fun and sport.	true	412.61	420.97	23.799437
7515_220980_000010_000002	The famous Mutavakkil, the Abbasid, having summoned his ministers, councillors and functionaries to his presence, let loose a box full of scorpions in the assembly and forbade anyone to move. When the scorpions stung those present, he burst forth into boisterous laughter.	The famous Mutavakkil, the Abbasid, having summoned his ministers, councillors and functionaries to his presence, let loose a box full of scorpions in the assembly and forbade anyone to move. When the scorpions stung those present, he burst forth into boisterous laughter.	false	421.73	444.19	23.648483
7515_220980_000011_000000	To recapitulate: the constitution of the communities depends upon justice, not upon forgiveness.	To recapitulate: the constitution of the communities depends upon justice, not upon forgiveness.	true	445.34	453.58	24.052557
7515_220980_000011_000001	Then what Christ meant by forgiveness and pardon is not that, when nations attack you, burn your homes, plunder your goods, assault your wives, children and relatives, and violate your honor, you should be submissive in the presence of these tyrannical foes and allow them to perform all their cruelties and oppressions.	Then what Christ meant by forgiveness and pardon is not that, when nations attack you, burn your homes, plunder your goods, assault your wives, children and relatives, and violate your honor, you should be submissive in the presence of these tyrannical foes and allow them to perform all their cruelties and oppressions.	true	454.25	478.36	24.684107
7515_220980_000011_000002	No, the words of Christ refer to the conduct of two individuals toward each other: if one person assaults another, the injured one should forgive him.	No, the words of Christ refer to the conduct of two individuals toward each other: if one person assaults another, the injured one should forgive him.	false	478.91	492.79	23.814783
7515_220980_000011_000003	But the communities must protect the rights of man.	But the communities must protect the rights of man.	true	493.49	497.86	26.117891
7515_220980_000011_000004	So if someone assaults, injures, oppresses and wounds me, I will offer no resistance, and I will forgive him.	So if someone assaults, injures, oppresses and wounds me, I will offer no resistance, and I will forgive him.	true	498.59	509.59	24.540977
7515_220980_000011_000005	But if a person wishes to assault Siyyid Man_sh_adi,(162) certainly I will prevent him.	But if a person wishes to assault Siyyid Man underscore sh underscore adi,(one hundred sixty two) certainly I will prevent him.	false	510.38	519.64	24.158024
7515_220980_000011_000006	Although for the malefactor noninterference is apparently a kindness, it would be an oppression to Man_sh_adi.	Although for the malefactor noninterference is apparently a kindness, it would be an oppression to Man underscore sh underscore adi.	false	520.28	530.38	25.174698
7515_220980_000011_000007	If at this moment a wild Arab were to enter this place with a drawn sword, wishing to assault, wound and kill you, most assuredly I would prevent him.	If at this moment a wild Arab were to enter this place with a drawn sword, wishing to assault, wound and kill you, most assuredly I would prevent him.	true	530.48	543.49	25.472239
7515_220980_000011_000008	If I abandoned you to the Arab, that would not be justice but injustice.	If I abandoned you to the Arab, that would not be justice but injustice.	true	544.07	550.51	24.911404
7515_220980_000011_000009	But if he injure me personally, I would forgive him.	But if he injure me personally, I would forgive him.	true	551.24	556.36	26.059492
7515_220980_000012_000000	One thing remains to be said: it is that the communities are day and night occupied in making penal laws, and in preparing and organizing instruments and means of punishment.	One thing remains to be said: it is that the communities are day and night occupied in making penal laws, and in preparing and organizing instruments and means of punishment.	true	557.72	571.81	24.910097
7515_220980_000012_000001	They build prisons, make chains and fetters, arrange places of exile and banishment, and different kinds of hardships and tortures, and think by these means to discipline criminals, whereas, in reality, they are causing destruction of morals and perversion of characters.	They build prisons, make chains and fetters, arrange places of exile and banishment, and different kinds of hardships and tortures, and think by these means to discipline criminals, whereas, in reality, they are causing destruction of morals and perversion of characters.	true	572.39	594.07	23.753584
7515_220980_000012_000002	The community, on the contrary, ought day and night to strive and endeavor with the utmost zeal and effort to accomplish the education of men, to cause them day by day to progress and to increase in science and knowledge, to acquire virtues, to gain good morals and to avoid vices, so that crimes may not occur.	The community, on the contrary, ought day and night to strive and endeavor with the utmost zeal and effort to accomplish the education of men, to cause them day by day to progress and to increase in science and knowledge, to acquire virtues, to gain good morals and to avoid vices, so that crimes may not occur.	true	594.8	622.48	25.868069
7515_220980_000012_000003	At the present time the contrary prevails; the community is always thinking of enforcing the penal laws, and of preparing means of punishment, instruments of death and chastisement, places for imprisonment and banishment; and they expect crimes to be committed.	At the present time the contrary prevails; the community is always thinking of enforcing the penal laws, and of preparing means of punishment, instruments of death and chastisement, places for imprisonment and banishment; and they expect crimes to be committed.	true	623.33	645.52	24.45517
7515_220980_000012_000004	This has a demoralizing effect.	This has a demoralizing effect.	true	645.98	648.94	24.886204
7515_220980_000013_000000	But if the community would endeavor to educate the masses, day by day knowledge and sciences would increase, the understanding would be broadened, the sensibilities developed, customs would become good, and morals normal; in one word, in all these classes of perfections there would be progress, and there would be fewer crimes.	But if the community would endeavor to educate the masses, day by day knowledge and sciences would increase, the understanding would be broadened, the sensibilities developed, customs would become good, and morals normal; in one word, in all these classes of perfections there would be progress, and there would be fewer crimes.	true	649.73	676.72	24.940962
7515_220980_000014_000000	It has been ascertained that among civilized peoples crime is less frequent than among uncivilized--that is to say, among those who have acquired the true civilization, which is divine civilization--the civilization of those who unite all the spiritual and material perfections.	It has been ascertained that among civilized peoples crime is less frequent than among uncivilized-that is to say, among those who have acquired the true civilization, which is divine civilization-the civilization of those who unite all the spiritual and material perfections.	true	678.02	702.4	24.165941
7515_220980_000014_000001	As ignorance is the cause of crimes, the more knowledge and science increases, the more crimes will diminish.	As ignorance is the cause of crimes, the more knowledge and science increases, the more crimes will diminish.	true	703.49	712.72	24.135868
7515_220980_000014_000002	Consider how often murder occurs among the barbarians of Africa; they even kill one another in order to eat each other's flesh and blood!	Consider how often murder occurs among the barbarians of Africa; they even kill one another in order to eat each other's flesh and blood!	true	713.45	724.84	26.466177
7515_220980_000014_000003	Why do not such savageries occur in Switzerland?	Why do not such savageries occur in Switzerland?	true	725.6	729.64	21.571007
7515_220980_000014_000004	The reason is evident: it is because education and virtues prevent them.	The reason is evident: it is because education and virtues prevent them.	true	730.1	736.42	24.284012
7515_220980_000015_000000	Therefore, the communities must think of preventing crimes, rather than of rigorously punishing them.	Therefore, the communities must think of preventing crimes, rather than of rigorously punishing them.	false	737.36	755.31	22.32624
