7515_220980_000001_000000	77: THE RIGHT METHOD OF TREATING CRIMINALS	seventy seven: THE RIGHT METHOD OF TREATING CRIMINALS
7515_220980_000009_000003	So if, at present, the law of pardon were practiced in all countries, in a short time the world would be disordered, and the foundations of human life would crumble.	So if, at present, the law of pardon were practiced in all countries, in a short time the world would be disordered, and the foundations of human life would crumble.
7515_220980_000009_000004	For example, if the governments of Europe had not withstood the notorious Attila, he would not have left a single living man.	For example, if the governments of Europe had not withstood the notorious Attila, he would not have left a single living man.
7515_220980_000010_000000	Some people are like bloodthirsty wolves: if they see no punishment forthcoming, they will kill men merely for pleasure and diversion.	Some people are like bloodthirsty wolves: if they see no punishment forthcoming, they will kill men merely for pleasure and diversion.
7515_220980_000010_000001	One of the tyrants of Persia killed his tutor merely for the sake of making merry, for mere fun and sport.	One of the tyrants of Persia killed his tutor merely for the sake of making merry, for mere fun and sport.
7515_220980_000011_000000	To recapitulate: the constitution of the communities depends upon justice, not upon forgiveness.	To recapitulate: the constitution of the communities depends upon justice, not upon forgiveness.
7515_220980_000011_000001	Then what Christ meant by forgiveness and pardon is not that, when nations attack you, burn your homes, plunder your goods, assault your wives, children and relatives, and violate your honor, you should be submissive in the presence of these tyrannical foes and allow them to perform all their cruelties and oppressions.	Then what Christ meant by forgiveness and pardon is not that, when nations attack you, burn your homes, plunder your goods, assault your wives, children and relatives, and violate your honor, you should be submissive in the presence of these tyrannical foes and allow them to perform all their cruelties and oppressions.
7515_220980_000011_000003	But the communities must protect the rights of man.	But the communities must protect the rights of man.
7515_220980_000011_000004	So if someone assaults, injures, oppresses and wounds me, I will offer no resistance, and I will forgive him.	So if someone assaults, injures, oppresses and wounds me, I will offer no resistance, and I will forgive him.
7515_220980_000011_000007	If at this moment a wild Arab were to enter this place with a drawn sword, wishing to assault, wound and kill you, most assuredly I would prevent him.	If at this moment a wild Arab were to enter this place with a drawn sword, wishing to assault, wound and kill you, most assuredly I would prevent him.
7515_220980_000011_000008	If I abandoned you to the Arab, that would not be justice but injustice.	If I abandoned you to the Arab, that would not be justice but injustice.
7515_220980_000011_000009	But if he injure me personally, I would forgive him.	But if he injure me personally, I would forgive him.
7515_220980_000012_000000	One thing remains to be said: it is that the communities are day and night occupied in making penal laws, and in preparing and organizing instruments and means of punishment.	One thing remains to be said: it is that the communities are day and night occupied in making penal laws, and in preparing and organizing instruments and means of punishment.
7515_220980_000012_000001	They build prisons, make chains and fetters, arrange places of exile and banishment, and different kinds of hardships and tortures, and think by these means to discipline criminals, whereas, in reality, they are causing destruction of morals and perversion of characters.	They build prisons, make chains and fetters, arrange places of exile and banishment, and different kinds of hardships and tortures, and think by these means to discipline criminals, whereas, in reality, they are causing destruction of morals and perversion of characters.
7515_220980_000012_000002	The community, on the contrary, ought day and night to strive and endeavor with the utmost zeal and effort to accomplish the education of men, to cause them day by day to progress and to increase in science and knowledge, to acquire virtues, to gain good morals and to avoid vices, so that crimes may not occur.	The community, on the contrary, ought day and night to strive and endeavor with the utmost zeal and effort to accomplish the education of men, to cause them day by day to progress and to increase in science and knowledge, to acquire virtues, to gain good morals and to avoid vices, so that crimes may not occur.
7515_220980_000012_000003	At the present time the contrary prevails; the community is always thinking of enforcing the penal laws, and of preparing means of punishment, instruments of death and chastisement, places for imprisonment and banishment; and they expect crimes to be committed.	At the present time the contrary prevails; the community is always thinking of enforcing the penal laws, and of preparing means of punishment, instruments of death and chastisement, places for imprisonment and banishment; and they expect crimes to be committed.
7515_220980_000012_000004	This has a demoralizing effect.	This has a demoralizing effect.
7515_220980_000013_000000	But if the community would endeavor to educate the masses, day by day knowledge and sciences would increase, the understanding would be broadened, the sensibilities developed, customs would become good, and morals normal; in one word, in all these classes of perfections there would be progress, and there would be fewer crimes.	But if the community would endeavor to educate the masses, day by day knowledge and sciences would increase, the understanding would be broadened, the sensibilities developed, customs would become good, and morals normal; in one word, in all these classes of perfections there would be progress, and there would be fewer crimes.
7515_220980_000014_000000	It has been ascertained that among civilized peoples crime is less frequent than among uncivilized--that is to say, among those who have acquired the true civilization, which is divine civilization--the civilization of those who unite all the spiritual and material perfections.	It has been ascertained that among civilized peoples crime is less frequent than among uncivilized-that is to say, among those who have acquired the true civilization, which is divine civilization-the civilization of those who unite all the spiritual and material perfections.
7515_220980_000014_000001	As ignorance is the cause of crimes, the more knowledge and science increases, the more crimes will diminish.	As ignorance is the cause of crimes, the more knowledge and science increases, the more crimes will diminish.
7515_220980_000014_000002	Consider how often murder occurs among the barbarians of Africa; they even kill one another in order to eat each other's flesh and blood!	Consider how often murder occurs among the barbarians of Africa; they even kill one another in order to eat each other's flesh and blood!
7515_220980_000014_000003	Why do not such savageries occur in Switzerland?	Why do not such savageries occur in Switzerland?
7515_220980_000014_000004	The reason is evident: it is because education and virtues prevent them.	The reason is evident: it is because education and virtues prevent them.
