1649_150127_000002_000000	CHAPTER 14	CHAPTER fourteen
1649_150127_000020_000001	When Blunt had ended reading the list of names, he rolled up the parchment, and thrust it into his belt; then swinging suddenly on his heel, he strode straight up to Myles, facing him front to front.	When Blunt had ended reading the list of names, he rolled up the parchment, and thrust it into his belt; then swinging suddenly on his heel, he strode straight up to Myles, facing him front to front.
1649_150127_000020_000002	A moment or two of deep silence followed; not a sound broke the stillness.	A moment or two of deep silence followed; not a sound broke the stillness.
1649_150127_000020_000003	When Blunt spoke every one in the armory heard his words.	When Blunt spoke every one in the armory heard his words.
1649_150127_000022_000000	When Myles had seen his enemy turn upon him, he did not know at first what to expect; he would not have been surprised had they come to blows there and then, and he held himself prepared for any event.	When Myles had seen his enemy turn upon him, he did not know at first what to expect; he would not have been surprised had they come to blows there and then, and he held himself prepared for any event.
1649_150127_000022_000001	He faced the other pluckily enough and without flinching, and spoke up boldly in answer.	He faced the other pluckily enough and without flinching, and spoke up boldly in answer.
1649_150127_000022_000002	"So be it, Walter Blunt; I fear thee not in whatever way thou mayst encounter me."	"So be it, Walter Blunt; I fear thee not in whatever way thou mayst encounter me."
1649_150127_000023_000000	"Dost thou not?" said Blunt.	"Dost thou not?" said Blunt.
1649_150127_000025_000000	"I think naught," said Myles gruffly.	"I think naught," said Myles gruffly.
1649_150127_000025_000001	"He will not dare to touch me to harm me.	"He will not dare to touch me to harm me.
1649_150127_000025_000002	I fear him not." Nevertheless, he did not speak the full feelings of his heart.	I fear him not." Nevertheless, he did not speak the full feelings of his heart.
1649_150127_000026_000000	"I know not, Myles," said Gascoyne, shaking his head doubtfully.	"I know not, Myles," said Gascoyne, shaking his head doubtfully.
1649_150127_000027_000000	"I fear him not," said Myles again; but his heart foreboded trouble.	"I fear him not," said Myles again; but his heart foreboded trouble.
1649_150127_000030_000000	"Best let it be, Myles," said Wilkes.	"Best let it be, Myles," said Wilkes.
1649_150127_000030_000001	"They will kill thee an thou cease not troubling them.	"They will kill thee an thou cease not troubling them.
1649_150127_000031_000000	"No matter for that," said Myles; "it is not to be borne that they order others of us about as they do.	"No matter for that," said Myles; "it is not to be borne that they order others of us about as they do.
1649_150127_000031_000001	I mean to speak to them to-night, and tell them it shall not be."	I mean to speak to them to night, and tell them it shall not be."
1649_150127_000032_000000	He was as good as his word.	He was as good as his word.
1649_150127_000032_000001	That night, as the youngsters were shouting and romping and skylarking, as they always did before turning in, he stood upon his cot and shouted: "Silence!	That night, as the youngsters were shouting and romping and skylarking, as they always did before turning in, he stood upon his cot and shouted: "Silence!
1649_150127_000033_000000	Then he jumped down again from his elevated stand, and an uproar of confusion instantly filled the place.	Then he jumped down again from his elevated stand, and an uproar of confusion instantly filled the place.
1649_150127_000033_000001	What was the effect of his words upon the bachelors he could not see.	What was the effect of his words upon the bachelors he could not see.
1649_150127_000034_000001	Suddenly that impish little page spoken of before, Robin Ingoldsby, thrust his shock head around the corner of the smithy, and said: "Ho, Falworth!	Suddenly that impish little page spoken of before, Robin Ingoldsby, thrust his shock head around the corner of the smithy, and said: "Ho, Falworth!
1649_150127_000036_000000	"There!" said he, still panting from the chase and seating the boy by no means gently upon the bench beside Wilkes.	"There!" said he, still panting from the chase and seating the boy by no means gently upon the bench beside Wilkes.
1649_150127_000037_000000	It was by no means easy to worm the story from the mischievous little monkey; he knew Myles too well to be in the least afraid of his threats. But at last, by dint of bribing and coaxing, Myles and his friends managed to get at the facts.	It was by no means easy to worm the story from the mischievous little monkey; he knew Myles too well to be in the least afraid of his threats. But at last, by dint of bribing and coaxing, Myles and his friends managed to get at the facts.
1649_150127_000037_000001	The youngster had been sent to clean the riding-boots of one of the bachelors, instead of which he had lolled idly on a cot in the dormitory, until he had at last fallen asleep.	The youngster had been sent to clean the riding boots of one of the bachelors, instead of which he had lolled idly on a cot in the dormitory, until he had at last fallen asleep.
1649_150127_000037_000002	He had been awakened by the opening of the dormitory door and by the sound of voices--among them was that of his taskmaster.	He had been awakened by the opening of the dormitory door and by the sound of voices-among them was that of his taskmaster.
1649_150127_000037_000003	Fearing punishment for his neglected duty, he had slipped out of the cot, and hidden himself beneath it.	Fearing punishment for his neglected duty, he had slipped out of the cot, and hidden himself beneath it.
1649_150127_000038_000001	Blunt's companions were trying to persuade him against something, but without avail.	Blunt's companions were trying to persuade him against something, but without avail.
1649_150127_000040_000002	But tell me, Robin Ingoldsby, dost know aught more of this matter?	But tell me, Robin Ingoldsby, dost know aught more of this matter?
1649_150127_000040_000003	Prithee tell it me, Robin.	Prithee tell it me, Robin.
1649_150127_000040_000004	Where do they propose to lie in wait for Falworth?"	Where do they propose to lie in wait for Falworth?"
1649_150127_000042_000000	"Are they there now?" said Wilkes.	"Are they there now?" said Wilkes.
1649_150127_000047_000000	"So, comrades," said Myles at last, "what shall we do now?"	"So, comrades," said Myles at last, "what shall we do now?"
1649_150127_000049_000000	"Nay," said Myles, "I take no such coward's part as that.	"Nay," said Myles, "I take no such coward's part as that.
1649_150127_000049_000001	I say an they hunger to fight, give them their stomachful."	I say an they hunger to fight, give them their stomachful."
1649_150127_000050_000000	The others were very reluctant for such extreme measures, but Myles, as usual, carried his way, and so a pitched battle was decided upon.	The others were very reluctant for such extreme measures, but Myles, as usual, carried his way, and so a pitched battle was decided upon.
1649_150127_000051_000000	Then Wilkes started away to gather together those of the Knights of the Rose not upon household duty, and Myles, with the others, went to the armor smith to have him make for them a set of knives with which to meet their enemies--knives with blades a foot long, pointed and double-edged.	Then Wilkes started away to gather together those of the Knights of the Rose not upon household duty, and Myles, with the others, went to the armor smith to have him make for them a set of knives with which to meet their enemies-knives with blades a foot long, pointed and double edged.
1649_150127_000052_000000	The smith, leaning with his hammer upon the anvil, listened to them as they described the weapons.	The smith, leaning with his hammer upon the anvil, listened to them as they described the weapons.
1649_150127_000053_000002	With such blades, ere this battle is ended, some one would be slain, and so murder done.	With such blades, ere this battle is ended, some one would be slain, and so murder done.
