512_124520_000000_000000	VI	VI	false	0	0.45	-20
512_124520_000014_000001	It was so rich-looking to sit and drive--and so easy. Skiing and sliding were "stupid" and "old-fashioned." In fact, the village longed for the elegance of city recreations almost as much as the cities longed for village sports; and Gopher Prairie took as much pride in neglecting coasting as St. Paul--or New York--in going coasting.	It was so rich looking to sit and drive-and so easy. Skiing and sliding were "stupid" and "old-fashioned." In fact, the village longed for the elegance of city recreations almost as much as the cities longed for village sports; and Gopher Prairie took as much pride in neglecting coasting as saint Paul--or New York-in going coasting.	true	296.57	319.9	21.635962
512_124520_000014_000002	Carol did inspire a successful skating-party in mid-November. Plover Lake glistened in clear sweeps of gray-green ice, ringing to the skates.	Carol did inspire a successful skating party in mid November. Plover Lake glistened in clear sweeps of gray green ice, ringing to the skates.	false	320.45	329.71	22
512_124520_000014_000003	On shore the ice-tipped reeds clattered in the wind, and oak twigs with stubborn last leaves hung against a milky sky.	On shore the ice tipped reeds clattered in the wind, and oak twigs with stubborn last leaves hung against a milky sky.	false	330.59	337.78	17
512_124520_000014_000004	Harry Haydock did figure-eights, and Carol was certain that she had found the perfect life.	Harry Haydock did figure eights, and Carol was certain that she had found the perfect life.	true	338	343.42	21
512_124520_000014_000005	But when snow had ended the skating and she tried to get up a moonlight sliding party, the matrons hesitated to stir away from their radiators and their daily bridge-whist imitations of the city.	But when snow had ended the skating and she tried to get up a moonlight sliding party, the matrons hesitated to stir away from their radiators and their daily bridge whist imitations of the city.	true	344.3	355.27	14
512_124520_000014_000006	She had to nag them.	She had to nag them.	true	355.73	357.19	21.817396
512_124520_000014_000007	They scooted down a long hill on a bob-sled, they upset and got snow down their necks they shrieked that they would do it again immediately--and they did not do it again at all.	They scooted down a long hill on a bob sled, they upset and got snow down their necks they shrieked that they would do it again immediately-and they did not do it again at all.	true	357.47	368.05	22.069042
512_124520_000015_000000	She badgered another group into going skiing.	She badgered another group into going skiing.	true	369.05	371.59	21
512_124520_000015_000001	They shouted and threw snowballs, and informed her that it was SUCH fun, and they'd have another skiing expedition right away, and they jollily returned home and never thereafter left their manuals of bridge.	They shouted and threw snowballs, and informed her that it was SUCH fun, and they'd have another skiing expedition right away, and they jollily returned home and never thereafter left their manuals of bridge.	false	372.02	384.49	21
512_124520_000016_000000	Carol was discouraged.	Carol was discouraged.	true	385.61	387.31	36.314663
512_124520_000016_000001	She was grateful when Kennicott invited her to go rabbit-hunting in the woods.	She was grateful when Kennicott invited her to go rabbit hunting in the woods.	true	387.38	391.54	17
512_124520_000016_000002	She waded down stilly cloisters between burnt stump and icy oak, through drifts marked with a million hieroglyphics of rabbit and mouse and bird.	She waded down stilly cloisters between burnt stump and icy oak, through drifts marked with a million hieroglyphics of rabbit and mouse and bird.	true	392.03	400.84	17
512_124520_000016_000003	She squealed as he leaped on a pile of brush and fired at the rabbit which ran out.	She squealed as he leaped on a pile of brush and fired at the rabbit which ran out.	true	400.94	406.12	18
512_124520_000016_000004	He belonged there, masculine in reefer and sweater and high-laced boots.	He belonged there, masculine in reefer and sweater and high laced boots.	true	406.31	410.62	21
512_124520_000016_000005	That night she ate prodigiously of steak and fried potatoes; she produced electric sparks by touching his ear with her finger-tip; she slept twelve hours; and awoke to think how glorious was this brave land.	That night she ate prodigiously of steak and fried potatoes; she produced electric sparks by touching his ear with her finger tip; she slept twelve hours; and awoke to think how glorious was this brave land.	true	410.93	423.37	22
512_124520_000017_000000	She rose to a radiance of sun on snow.	She rose to a radiance of sun on snow.	true	424.25	427.48	15
512_124520_000017_000001	Snug in her furs she trotted up-town.	Snug in her furs she trotted up town.	true	427.55	430.18	23
512_124520_000017_000002	Frosted shingles smoked against a sky colored like flax-blossoms, sleigh-bells clinked, shouts of greeting were loud in the thin bright air, and everywhere was a rhythmic sound of wood-sawing.	Frosted shingles smoked against a sky colored like flax blossoms, sleigh bells clinked, shouts of greeting were loud in the thin bright air, and everywhere was a rhythmic sound of wood sawing.	true	430.34	441.52	17
512_124520_000017_000003	It was Saturday, and the neighbors' sons were getting up the winter fuel. Behind walls of corded wood in back yards their sawbucks stood in depressions scattered with canary-yellow flakes of sawdust.	It was Saturday, and the neighbors' sons were getting up the winter fuel. Behind walls of corded wood in back yards their sawbucks stood in depressions scattered with canary yellow flakes of sawdust.	true	441.77	453.46	19.386536
512_124520_000017_000004	The frames of their buck-saws were cherry-red, the blades blued steel, and the fresh cut ends of the sticks--poplar, maple, iron-wood, birch--were marked with engraved rings of growth.	The frames of their buck saws were cherry red, the blades blued steel, and the fresh cut ends of the sticks-poplar, maple, iron wood, birch-were marked with engraved rings of growth.	true	453.65	465.79	24.800556
512_124520_000017_000005	The boys wore shoe-packs, blue flannel shirts with enormous pearl buttons, and mackinaws of crimson, lemon yellow, and foxy brown.	The boys wore shoe packs, blue flannel shirts with enormous pearl buttons, and mackinaws of crimson, lemon yellow, and foxy brown.	true	466.1	474.1	22
512_124520_000018_000000	Carol cried "Fine day!" to the boys; she came in a glow to Howland & Gould's grocery, her collar white with frost from her breath; she bought a can of tomatoes as though it were Orient fruit; and returned home planning to surprise Kennicott with an omelet creole for dinner.	Carol cried "Fine day!" to the boys; she came in a glow to Howland and Gould's grocery, her collar white with frost from her breath; she bought a can of tomatoes as though it were Orient fruit; and returned home planning to surprise Kennicott with an omelet creole for dinner.	true	474.74	491.325	24.148045
512_124520_000019_000000	So brilliant was the snow-glare that when she entered the house she saw the door-knobs, the newspaper on the table, every white surface as dazzling mauve, and her head was dizzy in the pyrotechnic dimness.	So brilliant was the snow glare that when she entered the house she saw the door knobs, the newspaper on the table, every white surface as dazzling mauve, and her head was dizzy in the pyrotechnic dimness.	true	491.325	503.62	22
512_124520_000019_000001	When her eyes had recovered she felt expanded, drunk with health, mistress of life.	When her eyes had recovered she felt expanded, drunk with health, mistress of life.	true	503.96	509.05	23.095089
512_124520_000019_000002	The world was so luminous that she sat down at her rickety little desk in the living-room to make a poem. (She got no farther than "The sky is bright, the sun is warm, there ne'er will be another storm.")	The world was so luminous that she sat down at her rickety little desk in the living room to make a poem. (She got no farther than "The sky is bright, the sun is warm, there ne'er will be another storm.")	true	509.3	522.22	19.485847
512_124520_000020_000000	In the mid-afternoon of this same day Kennicott was called into the country.	In the mid afternoon of this same day Kennicott was called into the country.	true	522.74	527.055	21.40988
512_124520_000020_000001	It was Bea's evening out--her evening for the Lutheran Dance. Carol was alone from three till midnight.	It was Bea's evening out-her evening for the Lutheran Dance. Carol was alone from three till midnight.	false	527.055	533.47	21.81865
512_124520_000020_000002	She wearied of reading pure love stories in the magazines and sat by a radiator, beginning to brood.	She wearied of reading pure love stories in the magazines and sat by a radiator, beginning to brood.	true	533.6	539.11	15
512_124520_000021_000000	Thus she chanced to discover that she had nothing to do.	Thus she chanced to discover that she had nothing to do.	true	539.63	543.18	22.861311
512_124520_000022_000000	II	two	false	543.18	545.49	22.061945
512_124520_000023_000000	She had, she meditated, passed through the novelty of seeing the town and meeting people, of skating and sliding and hunting.	She had, she meditated, passed through the novelty of seeing the town and meeting people, of skating and sliding and hunting.	true	545.49	553.15	19
512_124520_000023_000001	Bea was competent; there was no household labor except sewing and darning and gossipy assistance to Bea in bed-making.	Bea was competent; there was no household labor except sewing and darning and gossipy assistance to Bea in bed making.	true	553.58	560.59	18
512_124520_000023_000002	She couldn't satisfy her ingenuity in planning meals.	She couldn't satisfy her ingenuity in planning meals.	true	560.9	564.16	16
512_124520_000023_000003	At Dahl & Oleson's Meat Market you didn't give orders--you wofully inquired whether there was anything today besides steak and pork and ham.	At Dahl and Oleson's Meat Market you didn't give orders-you wofully inquired whether there was anything today besides steak and pork and ham.	true	564.41	572.47	17
512_124520_000023_000004	The cuts of beef were not cuts.	The cuts of beef were not cuts.	true	572.99	575.11	26.115135
512_124520_000023_000005	They were hacks.	They were hacks.	true	575.12	576.22	26.611973
512_124520_000023_000006	Lamb chops were as exotic as sharks' fins.	Lamb chops were as exotic as sharks' fins.	true	576.47	579.28	22
512_124520_000023_000007	The meat-dealers shipped their best to the city, with its higher prices.	The meat dealers shipped their best to the city, with its higher prices.	true	579.59	583.12	16
512_124520_000024_000000	In all the shops there was the same lack of choice.	In all the shops there was the same lack of choice.	true	584.03	586.93	19
512_124520_000024_000001	She could not find a glass-headed picture-nail in town; she did not hunt for the sort of veiling she wanted--she took what she could get; and only at Howland & Gould's was there such a luxury as canned asparagus.	She could not find a glass headed picture nail in town; she did not hunt for the sort of veiling she wanted-she took what she could get; and only at Howland and Gould's was there such a luxury as canned asparagus.	true	587.15	599.32	20
512_124520_000024_000002	Routine care was all she could devote to the house.	Routine care was all she could devote to the house.	true	599.78	602.56	19
512_124520_000024_000003	Only by such fussing as the Widow Bogart's could she make it fill her time.	Only by such fussing as the Widow Bogart's could she make it fill her time.	true	602.66	607.45	22
512_124520_000025_000000	She could not have outside employment.	She could not have outside employment.	true	608.42	610.86	22.657694
512_124520_000025_000001	To the village doctor's wife it was taboo.	To the village doctor's wife it was taboo.	true	610.86	613.6	21
512_124520_000026_000000	She was a woman with a working brain and no work.	She was a woman with a working brain and no work.	true	614	617.38	21.285685
512_124520_000027_000000	There were only three things which she could do: Have children; start her career of reforming; or become so definitely a part of the town that she would be fulfilled by the activities of church and study-club and bridge-parties.	There were only three things which she could do: Have children; start her career of reforming; or become so definitely a part of the town that she would be fulfilled by the activities of church and study club and bridge parties.	true	618.26	631.81	21.860512
512_124520_000028_000000	Children, yes, she wanted them, but----She was not quite ready.	Children, yes, she wanted them, but----She was not quite ready.	true	632.75	637.03	21.364822
512_124520_000028_000001	She had been embarrassed by Kennicott's frankness, but she agreed with him that in the insane condition of civilization, which made the rearing of citizens more costly and perilous than any other crime, it was inadvisable to have children till he had made more money.	She had been embarrassed by Kennicott's frankness, but she agreed with him that in the insane condition of civilization, which made the rearing of citizens more costly and perilous than any other crime, it was inadvisable to have children till he had made more money.	true	637.4	653.38	20.69656
512_124520_000028_000002	She was sorry----Perhaps he had made all the mystery of love a mechanical cautiousness but----She fled from the thought with a dubious, "Some day."	She was sorry----Perhaps he had made all the mystery of love a mechanical cautiousness but----She fled from the thought with a dubious, "Some day."	true	653.75	663.34	22.967691
512_124520_000029_000000	Her "reforms," her impulses toward beauty in raw Main Street, they had become indistinct.	Her "reforms," her impulses toward beauty in raw Main Street, they had become indistinct.	true	664.31	670.57	24.532238
512_124520_000029_000001	But she would set them going now.	But she would set them going now.	true	670.85	672.63	21
512_124520_000029_000002	She would!	She would!	true	672.63	673.48	19.51396
512_124520_000029_000003	She swore it with soft fist beating the edges of the radiator.	She swore it with soft fist beating the edges of the radiator.	false	673.58	677.32	19
512_124520_000029_000004	And at the end of all her vows she had no notion as to when and where the crusade was to begin.	And at the end of all her vows she had no notion as to when and where the crusade was to begin.	true	677.66	683.77	17.958214
512_124520_000030_000000	Become an authentic part of the town?	Become an authentic part of the town?	true	684.8	687.04	24
512_124520_000030_000001	She began to think with unpleasant lucidity.	She began to think with unpleasant lucidity.	true	687.5	690.43	21
512_124520_000030_000002	She reflected that she did not know whether the people liked her.	She reflected that she did not know whether the people liked her.	true	690.77	694.15	23.820333
512_124520_000030_000003	She had gone to the women at afternoon-coffees, to the merchants in their stores, with so many outpouring comments and whimsies that she hadn't given them a chance to betray their opinions of her.	She had gone to the women at afternoon coffees, to the merchants in their stores, with so many outpouring comments and whimsies that she hadn't given them a chance to betray their opinions of her.	true	694.25	704.89	17
512_124520_000030_000004	The men smiled--but did they like her?	The men smiled-but did they like her?	true	705.2	707.74	23.590593
512_124520_000030_000005	She was lively among the women--but was she one of them?	She was lively among the women-but was she one of them?	true	708.08	711.64	17.090256
512_124520_000030_000006	She could not recall many times when she had been admitted to the whispering of scandal which is the secret chamber of Gopher Prairie conversation.	She could not recall many times when she had been admitted to the whispering of scandal which is the secret chamber of Gopher Prairie conversation.	true	711.92	720.01	18
512_124520_000031_000000	She was poisoned with doubt, as she drooped up to bed.	She was poisoned with doubt, as she drooped up to bed.	true	720.11	723.49	23.385822
512_124520_000032_000000	Next day, through her shopping, her mind sat back and observed.	Next day, through her shopping, her mind sat back and observed.	true	724.25	728.68	24.710934
512_124520_000032_000001	Dave Dyer and Sam Clark were as cordial as she had been fancying; but wasn't there an impersonal abruptness in the "H' are yuh?" of Chet Dashaway? Howland the grocer was curt.	Dave Dyer and Sam Clark were as cordial as she had been fancying; but wasn't there an impersonal abruptness in the "H' are yuh?" of Chet Dashaway? Howland the grocer was curt.	false	729.08	740.38	23.49637
512_124520_000032_000002	Was that merely his usual manner?	Was that merely his usual manner?	true	740.6	742.66	20.62293
512_124520_000033_000000	"It's infuriating to have to pay attention to what people think.	"It's infuriating to have to pay attention to what people think.	true	742.79	746.77	22
512_124520_000033_000001	In St. Paul I didn't care.	In saint Paul the first didn't care.	false	746.84	748.9	24.035273
512_124520_000033_000002	But here I'm spied on.	But here I'm spied on.	true	749.09	750.855	22
512_124520_000033_000003	They're watching me.	They're watching me.	true	750.855	752.11	23.480774
512_124520_000033_000004	I mustn't let it make me self-conscious," she coaxed herself--overstimulated by the drug of thought, and offensively on the defensive.	I mustn't let it make me self conscious," she coaxed herself-overstimulated by the drug of thought, and offensively on the defensive.	false	752.27	761.94	21.56822
512_124520_000034_000000	III	three	true	761.94	762.52	20.612791
512_124520_000035_000000	A thaw which stripped the snow from the sidewalks; a ringing iron night when the lakes could be heard booming; a clear roistering morning.	A thaw which stripped the snow from the sidewalks; a ringing iron night when the lakes could be heard booming; a clear roistering morning.	true	764	772.18	22.19626
512_124520_000035_000001	In tam o'shanter and tweed skirt Carol felt herself a college junior going out to play hockey.	In tam o'shanter and tweed skirt Carol felt herself a college junior going out to play hockey.	true	772.4	778.15	22.837431
512_124520_000035_000002	She wanted to whoop, her legs ached to run.	She wanted to whoop, her legs ached to run.	true	778.49	781.51	25.449022
512_124520_000035_000003	On the way home from shopping she yielded, as a pup would have yielded.	On the way home from shopping she yielded, as a pup would have yielded.	true	781.79	785.68	17
512_124520_000035_000004	She galloped down a block and as she jumped from a curb across a welter of slush, she gave a student "Yippee!"	She galloped down a block and as she jumped from a curb across a welter of slush, she gave a student "Yippee!"	true	785.81	793.395	20.683836
512_124520_000036_000000	She saw that in a window three old women were gasping.	She saw that in a window three old women were gasping.	true	793.395	796.66	18.435421
512_124520_000036_000001	Their triple glare was paralyzing.	Their triple glare was paralyzing.	true	796.82	798.91	18
512_124520_000036_000002	Across the street, at another window, the curtain had secretively moved.	Across the street, at another window, the curtain had secretively moved.	true	799.07	803.625	21
512_124520_000036_000003	She stopped, walked on sedately, changed from the girl Carol into Mrs. Dr. Kennicott.	She stopped, walked on sedately, changed from the girl Carol into mrs dr Kennicott.	true	803.625	810.16	22.226507
512_124520_000037_000000	She never again felt quite young enough and defiant enough and free enough to run and halloo in the public streets; and it was as a Nice Married Woman that she attended the next weekly bridge of the Jolly Seventeen.	She never again felt quite young enough and defiant enough and free enough to run and halloo in the public streets; and it was as a Nice Married Woman that she attended the next weekly bridge of the Jolly Seventeen.	true	810.2	822.87	12
512_124520_000038_000000	IV	i v	false	822.87	826.08	17.744226
512_124520_000039_000000	The Jolly Seventeen (the membership of which ranged from fourteen to twenty-six) was the social cornice of Gopher Prairie.	The Jolly Seventeen (the membership of which ranged from fourteen to twenty six) was the social cornice of Gopher Prairie.	true	826.08	834.34	19
512_124520_000039_000001	It was the country club, the diplomatic set, the St. Cecilia, the Ritz oval room, the Club de Vingt.	It was the country club, the diplomatic set, the st Cecilia, the Ritz oval room, the Club de Vingt.	false	834.77	841.86	21
512_124520_000039_000002	To belong to it was to be "in." Though its membership partly coincided with that of the Thanatopsis study club, the Jolly Seventeen as a separate entity guffawed at the Thanatopsis, and considered it middle-class and even "highbrow."	To belong to it was to be "in." Though its membership partly coincided with that of the Thanatopsis study club, the Jolly Seventeen as a separate entity guffawed at the Thanatopsis, and considered it middle class and even "highbrow."	true	841.86	857.2	19
512_124520_000040_000000	Most of the Jolly Seventeen were young married women, with their husbands as associate members.	Most of the Jolly Seventeen were young married women, with their husbands as associate members.	true	858.32	863.59	11
512_124520_000040_000001	Once a week they had a women's afternoon-bridge; once a month the husbands joined them for supper and evening-bridge; twice a year they had dances at I. O. O. F. Hall.	Once a week they had a women's afternoon bridge; once a month the husbands joined them for supper and evening bridge; twice a year they had dances at i o o f Hall.	true	864.11	874.96	18
512_124520_000040_000002	Then the town exploded.	Then the town exploded.	true	875.57	877.21	22
512_124520_000040_000003	Only at the annual balls of the Firemen and of the Eastern Star was there such prodigality of chiffon scarfs and tangoing and heart-burnings, and these rival institutions were not select--hired girls attended the Firemen's Ball, with section-hands and laborers.	Only at the annual balls of the Firemen and of the Eastern Star was there such prodigality of chiffon scarfs and tangoing and heart burnings, and these rival institutions were not select-hired girls attended the Firemen's Ball, with section hands and laborers.	true	877.52	893.02	15
512_124520_000040_000004	Ella Stowbody had once gone to a Jolly Seventeen Soiree in the village hack, hitherto confined to chief mourners at funerals; and Harry Haydock and Dr. Terry Gould always appeared in the town's only specimens of evening clothes.	Ella Stowbody had once gone to a Jolly Seventeen Soiree in the village hack, hitherto confined to chief mourners at funerals; and Harry Haydock and dr Terry Gould always appeared in the town's only specimens of evening clothes.	true	893.39	907.39	14
512_124520_000041_000000	The afternoon-bridge of the Jolly Seventeen which followed Carol's lonely doubting was held at Juanita Haydock's new concrete bungalow, with its door of polished oak and beveled plate-glass, jar of ferns in the plastered hall, and in the living-room, a fumed oak Morris chair, sixteen color-prints, and a square varnished table with a mat made of cigar-ribbons on which was one Illustrated Gift Edition and one pack of cards in a burnt-leather case.	The afternoon bridge of the Jolly Seventeen which followed Carol's lonely doubting was held at Juanita Haydock's new concrete bungalow, with its door of polished oak and beveled plate glass, jar of ferns in the plastered hall, and in the living room, a fumed oak Morris chair, sixteen color prints, and a square varnished table with a mat made of cigar ribbons on which was one Illustrated Gift Edition and one pack of cards in a burnt leather case.	true	908.6	937	16
512_124520_000042_000000	Carol stepped into a sirocco of furnace heat.	Carol stepped into a sirocco of furnace heat.	true	938.18	941.38	22
512_124520_000042_000001	They were already playing. Despite her flabby resolves she had not yet learned bridge.	They were already playing. Despite her flabby resolves she had not yet learned bridge.	true	941.48	946.87	21
512_124520_000042_000002	She was winningly apologetic about it to Juanita, and ashamed that she should have to go on being apologetic.	She was winningly apologetic about it to Juanita, and ashamed that she should have to go on being apologetic.	false	947.27	953.5	12
512_124520_000043_000000	Mrs. Dave Dyer, a sallow woman with a thin prettiness devoted to experiments in religious cults, illnesses, and scandal-bearing, shook her finger at Carol and trilled, "You're a naughty one!	mrs Dave Dyer, a sallow woman with a thin prettiness devoted to experiments in religious cults, illnesses, and scandal bearing, shook her finger at Carol and trilled, "You're a naughty one!	true	954.26	966.28	17
512_124520_000043_000001	I don't believe you appreciate the honor, when you got into the Jolly Seventeen so easy!"	I don't believe you appreciate the honor, when you got into the Jolly Seventeen so easy!"	true	966.5	971.41	14
512_124520_000044_000000	Mrs. Chet Dashaway nudged her neighbor at the second table.	mrs Chet Dashaway nudged her neighbor at the second table.	true	972.86	976.3	14
512_124520_000044_000001	But Carol kept up the appealing bridal manner so far as possible.	But Carol kept up the appealing bridal manner so far as possible.	true	976.46	980.325	17
512_124520_000044_000002	She twittered, "You're perfectly right.	She twittered, "You're perfectly right.	true	980.325	982.96	23.219572
512_124520_000044_000003	I'm a lazy thing.	I'm a lazy thing.	true	983	984.49	20.811335
512_124520_000044_000004	I'll make Will start teaching me this very evening." Her supplication had all the sound of birdies in the nest, and Easter church-bells, and frosted Christmas cards. Internally she snarled, "That ought to be saccharine enough." She sat in the smallest rocking-chair, a model of Victorian modesty.	I'll make Will start teaching me this very evening." Her supplication had all the sound of birdies in the nest, and Easter church bells, and frosted Christmas cards. Internally she snarled, "That ought to be saccharine enough." She sat in the smallest rocking chair, a model of Victorian modesty.	true	984.53	1002.73	18
