3816_19585_000006_000000	CHAPTER IV.	CHAPTER four.
3816_19585_000009_000005	As to his guilt, I could scarcely bring myself to doubt that in some way or other, sooner or later, I should arrive at the knowledge of that, if it really existed.	As to his guilt, I could scarcely bring myself to doubt that in some way or other, sooner or later, I should arrive at the knowledge of that, if it really existed.
3816_19585_000010_000001	I shall come soon enough to the story of my own misery.	I shall come soon enough to the story of my own misery.
3816_19585_000010_000002	I have already said, that one of the motives which induced me to the penning of this narrative, was to console myself in my insupportable distress.	I have already said, that one of the motives which induced me to the penning of this narrative, was to console myself in my insupportable distress.
3816_19585_000010_000004	While I recollect or describe past scenes, which occurred in a more favourable period of my life, my attention is called off for a short interval, from the hopeless misfortune in which I am at present involved.	While I recollect or describe past scenes, which occurred in a more favourable period of my life, my attention is called off for a short interval, from the hopeless misfortune in which I am at present involved.
3816_19585_000010_000005	The man must indeed possess an uncommon portion of hardness of heart, who can envy me so slight a relief.--To proceed.	The man must indeed possess an uncommon portion of hardness of heart, who can envy me so slight a relief.--To proceed.
3816_19585_000011_000000	For some time after the explanation which had thus taken place between me and Mr. Falkland, his melancholy, instead of being in the slightest degree diminished by the lenient hand of time, went on perpetually to increase.	For some time after the explanation which had thus taken place between me and mr Falkland, his melancholy, instead of being in the slightest degree diminished by the lenient hand of time, went on perpetually to increase.
3816_19585_000011_000002	It was no longer practicable wholly to conceal them from the family, and even from the neighbourhood.	It was no longer practicable wholly to conceal them from the family, and even from the neighbourhood.
3816_19585_000011_000003	He would sometimes, without any previous notice, absent himself from his house for two or three days, unaccompanied by servant or attendant.	He would sometimes, without any previous notice, absent himself from his house for two or three days, unaccompanied by servant or attendant.
3816_19585_000011_000005	But it was impossible that a man of Mr. Falkland's distinction and fortune should long continue in such a practice, without its being discovered what was become of him; though a considerable part of our county was among the wildest and most desolate districts that are to be found in South Britain.	But it was impossible that a man of mr Falkland's distinction and fortune should long continue in such a practice, without its being discovered what was become of him; though a considerable part of our county was among the wildest and most desolate districts that are to be found in South Britain.
3816_19585_000011_000006	Mr. Falkland was sometimes seen climbing among the rocks, reclining motionless for hours together upon the edge of a precipice, or lulled into a kind of nameless lethargy of despair by the dashing of the torrents.	mr Falkland was sometimes seen climbing among the rocks, reclining motionless for hours together upon the edge of a precipice, or lulled into a kind of nameless lethargy of despair by the dashing of the torrents.
3816_19585_000011_000007	He would remain for whole nights together under the naked cope of heaven, inattentive to the consideration either of place or time; insensible to the variations of the weather, or rather seeming to be delighted with that uproar of the elements, which partially called off his attention from the discord and dejection that occupied his own mind.	He would remain for whole nights together under the naked cope of heaven, inattentive to the consideration either of place or time; insensible to the variations of the weather, or rather seeming to be delighted with that uproar of the elements, which partially called off his attention from the discord and dejection that occupied his own mind.
3816_19585_000012_000000	At first, when we received intelligence at any time of the place to which Mr. Falkland had withdrawn himself, some person of his household, Mr. Collins or myself, but most generally myself, as I was always at home, and always, in the received sense of the word, at leisure, went to him to persuade him to return.	At first, when we received intelligence at any time of the place to which mr Falkland had withdrawn himself, some person of his household, mr Collins or myself, but most generally myself, as I was always at home, and always, in the received sense of the word, at leisure, went to him to persuade him to return.
3816_19585_000012_000001	But, after a few experiments, we thought it advisable to desist, and leave him to prolong his absence, or to terminate it, as might happen to suit his own inclination.	But, after a few experiments, we thought it advisable to desist, and leave him to prolong his absence, or to terminate it, as might happen to suit his own inclination.
3816_19585_000012_000003	At one time he would suddenly yield to his humble, venerable friend, murmuring grievously at the constraint that was put upon him, but without spirit enough even to complain of it with energy.	At one time he would suddenly yield to his humble, venerable friend, murmuring grievously at the constraint that was put upon him, but without spirit enough even to complain of it with energy.
3816_19585_000012_000004	At another time, even though complying, he would suddenly burst out in a paroxysm of resentment.	At another time, even though complying, he would suddenly burst out in a paroxysm of resentment.
3816_19585_000012_000005	Upon these occasions there was something inconceivably, savagely terrible in his anger, that gave to the person against whom it was directed the most humiliating and insupportable sensations.	Upon these occasions there was something inconceivably, savagely terrible in his anger, that gave to the person against whom it was directed the most humiliating and insupportable sensations.
3816_19585_000012_000006	Me he always treated, at these times, with fierceness, and drove me from him with a vehemence lofty, emphatical, and sustained, beyond any thing of which I should have thought human nature to be capable.	Me he always treated, at these times, with fierceness, and drove me from him with a vehemence lofty, emphatical, and sustained, beyond any thing of which I should have thought human nature to be capable.
3816_19585_000012_000007	These sallies seemed always to constitute a sort of crisis in his indisposition; and, whenever he was induced to such a premature return, he would fall immediately after into a state of the most melancholy inactivity, in which he usually continued for two or three days.	These sallies seemed always to constitute a sort of crisis in his indisposition; and, whenever he was induced to such a premature return, he would fall immediately after into a state of the most melancholy inactivity, in which he usually continued for two or three days.
