4490_16020_000000_000000	As for his cry of Kirikikiou,--that was, doubtless, what the child had meant, when he said:--	As for his cry of Kirikikiou,--that was, doubtless, what the child had meant, when he said:--	false	0	8.46	18.97017
4490_16020_000022_000000	Lofty as it was, this wall was overtopped by a still blacker roof, which could be seen beyond.	Lofty as it was, this wall was overtopped by a still blacker roof, which could be seen beyond.	true	348.65	355	17
4490_16020_000022_000001	This was the roof of the New Building.	This was the roof of the New Building.	false	355.46	357.46	18
4490_16020_000022_000002	There one could descry four dormer-windows, guarded with bars; they were the windows of the Fine-Air.	There one could descry four dormer windows, guarded with bars; they were the windows of the Fine Air.	false	357.74	367.03	19.983921
4490_16020_000023_000000	A chimney pierced the roof; this was the chimney which traversed the dormitories.	A chimney pierced the roof; this was the chimney which traversed the dormitories.	true	367.1	371.32	18
4490_16020_000024_000000	The Bel-Air, that top story of the New Building, was a sort of large hall, with a Mansard roof, guarded with triple gratings and double doors of sheet iron, which were studded with enormous bolts.	The Bel Air, that top story of the New Building, was a sort of large hall, with a Mansard roof, guarded with triple gratings and double doors of sheet iron, which were studded with enormous bolts.	false	371.99	387.63	21.55995
4490_16020_000024_000001	When one entered from the north end, one had on one's left the four dormer-windows, on one's right, facing the windows, at regular intervals, four square, tolerably vast cages, separated by narrow passages, built of masonry to about the height of the elbow, and the rest, up to the roof, of iron bars.	When one entered from the north end, one had on one's left the four dormer windows, on one's right, facing the windows, at regular intervals, four square, tolerably vast cages, separated by narrow passages, built of masonry to about the height of the elbow, and the rest, up to the roof, of iron bars.	false	387.63	410.29	21
4490_16020_000025_000000	Thenardier had been in solitary confinement in one of these cages since the night of the 3d of February.	Thenardier had been in solitary confinement in one of these cages since the night of the three d of February.	false	411.5	418	14
4490_16020_000025_000001	No one was ever able to discover how, and by what connivance, he succeeded in procuring, and secreting a bottle of wine, invented, so it is said, by Desrues, with which a narcotic is mixed, and which the band of the Endormeurs, or Sleep-compellers, rendered famous.	No one was ever able to discover how, and by what connivance, he succeeded in procuring, and secreting a bottle of wine, invented, so it is said, by Desrues, with which a narcotic is mixed, and which the band of the Endormeurs, or Sleep compellers, rendered famous.	false	418.7	438.97	21
4490_16020_000026_000000	There are, in many prisons, treacherous employees, half-jailers, half-thieves, who assist in escapes, who sell to the police an unfaithful service, and who turn a penny whenever they can.	There are, in many prisons, treacherous employees, half jailers, half thieves, who assist in escapes, who sell to the police an unfaithful service, and who turn a penny whenever they can.	true	440.06	454.03	20
4490_16020_000027_000000	On that same night, then, when Little Gavroche picked up the two lost children, Brujon and Guelemer, who knew that Babet, who had escaped that morning, was waiting for them in the street as well as Montparnasse, rose softly, and with the nail which Brujon had found, began to pierce the chimney against which their beds stood.	On that same night, then, when Little Gavroche picked up the two lost children, Brujon and Guelemer, who knew that Babet, who had escaped that morning, was waiting for them in the street as well as Montparnasse, rose softly, and with the nail which Brujon had found, began to pierce the chimney against which their beds stood.	false	455.39	474.88	17
4490_16020_000027_000001	The rubbish fell on Brujon's bed, so that they were not heard.	The rubbish fell on Brujon's bed, so that they were not heard.	true	475.49	479.14	12
4490_16020_000027_000002	Showers mingled with thunder shook the doors on their hinges, and created in the prison a terrible and opportune uproar.	Showers mingled with thunder shook the doors on their hinges, and created in the prison a terrible and opportune uproar.	true	479.66	487.69	17
4490_16020_000027_000003	Those of the prisoners who woke, pretended to fall asleep again, and left Guelemer and Brujon to their own devices.	Those of the prisoners who woke, pretended to fall asleep again, and left Guelemer and Brujon to their own devices.	false	488.63	494.71	12
4490_16020_000027_000004	Brujon was adroit; Guelemer was vigorous.	Brujon was adroit; Guelemer was vigorous.	true	495.02	498.13	17
4490_16020_000027_000005	Before any sound had reached the watcher, who was sleeping in the grated cell which opened into the dormitory, the wall had, been pierced, the chimney scaled, the iron grating which barred the upper orifice of the flue forced, and the two redoubtable ruffians were on the roof.	Before any sound had reached the watcher, who was sleeping in the grated cell which opened into the dormitory, the wall had, been pierced, the chimney scaled, the iron grating which barred the upper orifice of the flue forced, and the two redoubtable ruffians were on the roof.	false	499.58	517.78	18
4490_16020_000027_000006	The wind and rain redoubled, the roof was slippery.	The wind and rain redoubled, the roof was slippery.	true	518.15	521.5	12
4490_16020_000028_000000	"What a good night to leg it!" said Brujon.	"What a good night to leg it!" said Brujon.	true	522.95	525.64	14
4490_16020_000029_000000	An abyss six feet broad and eighty feet deep separated them from the surrounding wall.	An abyss six feet broad and eighty feet deep separated them from the surrounding wall.	true	525.95	531.88	21
4490_16020_000029_000001	At the bottom of this abyss, they could see the musket of a sentinel gleaming through the gloom.	At the bottom of this abyss, they could see the musket of a sentinel gleaming through the gloom.	true	532.16	538.42	15
4490_16020_000029_000002	They fastened one end of the rope which Brujon had spun in his dungeon to the stumps of the iron bars which they had just wrenched off, flung the other over the outer wall, crossed the abyss at one bound, clung to the coping of the wall, got astride of it, let themselves slip, one after the other, along the rope, upon a little roof which touches the bath-house, pulled their rope after them, jumped down into the courtyard of the bath-house, traversed it, pushed open the porter's wicket, beside which hung his rope, pulled this, opened the porte-cochere, and found themselves in the street.	They fastened one end of the rope which Brujon had spun in his dungeon to the stumps of the iron bars which they had just wrenched off, flung the other over the outer wall, crossed the abyss at one bound, clung to the coping of the wall, got astride of it, let themselves slip, one after the other, along the rope, upon a little roof which touches the bath house, pulled their rope after them, jumped down into the courtyard of the bath house, traversed it, pushed open the porter's wicket, beside which hung his rope, pulled this, opened the porte cochere, and found themselves in the street.	false	539.09	576.82	20
4490_16020_000030_000000	Three-quarters of an hour had not elapsed since they had risen in bed in the dark, nail in hand, and their project in their heads.	Three quarters of an hour had not elapsed since they had risen in bed in the dark, nail in hand, and their project in their heads.	true	578.24	586.23	14
4490_16020_000031_000000	A few moments later they had joined Babet and Montparnasse, who were prowling about the neighborhood.	A few moments later they had joined Babet and Montparnasse, who were prowling about the neighborhood.	false	586.23	591.61	14
4490_16020_000032_000000	They had broken their rope in pulling it after them, and a bit of it remained attached to the chimney on the roof.	They had broken their rope in pulling it after them, and a bit of it remained attached to the chimney on the roof.	true	591.86	598.03	16
4490_16020_000032_000001	They had sustained no other damage, however, than that of scratching nearly all the skin off their hands.	They had sustained no other damage, however, than that of scratching nearly all the skin off their hands.	true	598.13	604.33	15
4490_16020_000033_000000	That night, Thenardier was warned, without any one being able to explain how, and was not asleep.	That night, Thenardier was warned, without any one being able to explain how, and was not asleep.	false	605.03	612.28	19
4490_16020_000034_000000	Towards one o'clock in the morning, the night being very dark, he saw two shadows pass along the roof, in the rain and squalls, in front of the dormer-window which was opposite his cage.	Towards one o'clock in the morning, the night being very dark, he saw two shadows pass along the roof, in the rain and squalls, in front of the dormer window which was opposite his cage.	false	612.71	624.13	19
4490_16020_000034_000001	One halted at the window, long enough to dart in a glance.	One halted at the window, long enough to dart in a glance.	true	624.56	627.885	11
4490_16020_000034_000002	This was Brujon.	This was Brujon.	true	627.885	629.1	11
4490_16020_000035_000000	Thenardier recognized him, and understood.	Thenardier recognized him, and understood.	false	629.1	632.28	18.449776
4490_16020_000035_000001	This was enough.	This was enough.	true	632.28	633.3	15
4490_16020_000036_000000	Thenardier, rated as a burglar, and detained as a measure of precaution under the charge of organizing a nocturnal ambush, with armed force, was kept in sight.	Thenardier, rated as a burglar, and detained as a measure of precaution under the charge of organizing a nocturnal ambush, with armed force, was kept in sight.	false	633.3	644.41	20.505575
4490_16020_000036_000001	The sentry, who was relieved every two hours, marched up and down in front of his cage with loaded musket.	The sentry, who was relieved every two hours, marched up and down in front of his cage with loaded musket.	false	644.84	651.34	18
4490_16020_000036_000002	The Fine-Air was lighted by a skylight.	The Fine Air was lighted by a skylight.	false	651.71	654.22	18.951355
4490_16020_000036_000003	The prisoner had on his feet fetters weighing fifty pounds.	The prisoner had on his feet fetters weighing fifty pounds.	true	654.44	658.09	15
4490_16020_000036_000004	Every day, at four o'clock in the afternoon, a jailer, escorted by two dogs,--this was still in vogue at that time,--entered his cage, deposited beside his bed a loaf of black bread weighing two pounds, a jug of water, a bowl filled with rather thin bouillon, in which swam a few Mayagan beans, inspected his irons and tapped the bars. This man and his dogs made two visits during the night.	Every day, at four o'clock in the afternoon, a jailer, escorted by two dogs,--this was still in vogue at that time,--entered his cage, deposited beside his bed a loaf of black bread weighing two pounds, a jug of water, a bowl filled with rather thin bouillon, in which swam a few Mayagan beans, inspected his irons and tapped the bars. This man and his dogs made two visits during the night.	false	658.31	684.4	20
4490_16020_000037_000000	Thenardier had obtained permission to keep a sort of iron bolt which he used to spike his bread into a crack in the wall, "in order to preserve it from the rats," as he said.	Thenardier had obtained permission to keep a sort of iron bolt which he used to spike his bread into a crack in the wall, "in order to preserve it from the rats," as he said.	false	685.52	695.29	16
4490_16020_000037_000001	As Thenardier was kept in sight, no objection had been made to this spike.	As Thenardier was kept in sight, no objection had been made to this spike.	false	695.99	700.96	18
4490_16020_000037_000002	Still, it was remembered afterwards, that one of the jailers had said: "It would be better to let him have only a wooden spike."	Still, it was remembered afterwards, that one of the jailers had said: "It would be better to let him have only a wooden spike."	true	701	708.19	15
4490_16020_000038_000000	At two o'clock in the morning, the sentinel, who was an old soldier, was relieved, and replaced by a conscript.	At two o'clock in the morning, the sentinel, who was an old soldier, was relieved, and replaced by a conscript.	true	709.25	716.11	20.414885
4490_16020_000038_000001	A few moments later, the man with the dogs paid his visit, and went off without noticing anything, except, possibly, the excessive youth and "the rustic air" of the "raw recruit." Two hours afterwards, at four o'clock, when they came to relieve the conscript, he was found asleep on the floor, lying like a log near Thenardier's cage.	A few moments later, the man with the dogs paid his visit, and went off without noticing anything, except, possibly, the excessive youth and "the rustic air" of the "raw recruit." Two hours afterwards, at four o'clock, when they came to relieve the conscript, he was found asleep on the floor, lying like a log near Thenardier's cage.	false	716.39	737.2	17
4490_16020_000038_000002	As for Thenardier, he was no longer there.	As for Thenardier, he was no longer there.	false	737.45	740.41	18.511145
4490_16020_000038_000003	There was a hole in the ceiling of his cage, and, above it, another hole in the roof.	There was a hole in the ceiling of his cage, and, above it, another hole in the roof.	true	740.78	745.93	18
4490_16020_000038_000004	One of the planks of his bed had been wrenched off, and probably carried away with him, as it was not found.	One of the planks of his bed had been wrenched off, and probably carried away with him, as it was not found.	true	746.24	752.2	15
4490_16020_000038_000005	They also seized in his cell a half-empty bottle which contained the remains of the stupefying wine with which the soldier had been drugged.	They also seized in his cell a half empty bottle which contained the remains of the stupefying wine with which the soldier had been drugged.	true	752.6	760.27	9
4490_16020_000038_000006	The soldier's bayonet had disappeared.	The soldier's bayonet had disappeared.	true	760.58	764.16	19.692966
4490_16020_000039_000000	At the moment when this discovery was made, it was assumed that Thenardier was out of reach.	At the moment when this discovery was made, it was assumed that Thenardier was out of reach.	true	764.16	769.3	16
4490_16020_000039_000001	The truth is, that he was no longer in the New Building, but that he was still in great danger.	The truth is, that he was no longer in the New Building, but that he was still in great danger.	true	770.03	775.2	15
4490_16020_000040_000000	Thenardier, on reaching the roof of the New Building, had found the remains of Brujon's rope hanging to the bars of the upper trap of the chimney, but, as this broken fragment was much too short, he had not been able to escape by the outer wall, as Brujon and Guelemer had done.	Thenardier, on reaching the roof of the New Building, had found the remains of Brujon's rope hanging to the bars of the upper trap of the chimney, but, as this broken fragment was much too short, he had not been able to escape by the outer wall, as Brujon and Guelemer had done.	false	775.2	791.44	17
4490_16020_000041_000000	When one turns from the Rue des Ballets into the Rue du Roi-de-Sicile, one almost immediately encounters a repulsive ruin.	When one turns from the Rue des Ballets into the Rue du Roi de Sicile, one almost immediately encounters a repulsive ruin.	false	792.71	800.95	18
4490_16020_000041_000001	There stood on that spot, in the last century, a house of which only the back wall now remains, a regular wall of masonry, which rises to the height of the third story between the adjoining buildings.	There stood on that spot, in the last century, a house of which only the back wall now remains, a regular wall of masonry, which rises to the height of the third story between the adjoining buildings.	true	801.8	813.22	14
4490_16020_000041_000002	This ruin can be recognized by two large square windows which are still to be seen there; the middle one, that nearest the right gable, is barred with a worm-eaten beam adjusted like a prop.	This ruin can be recognized by two large square windows which are still to be seen there; the middle one, that nearest the right gable, is barred with a worm eaten beam adjusted like a prop.	true	814.04	826.33	19
4490_16020_000041_000003	Through these windows there was formerly visible a lofty and lugubrious wall, which was a fragment of the outer wall of La Force.	Through these windows there was formerly visible a lofty and lugubrious wall, which was a fragment of the outer wall of La Force.	true	827.12	834.79	15
4490_16020_000042_000000	The empty space on the street left by the demolished house is half-filled by a fence of rotten boards, shored up by five stone posts. In this recess lies concealed a little shanty which leans against the portion of the ruin which has remained standing.	The empty space on the street left by the demolished house is half filled by a fence of rotten boards, shored up by five stone posts. In this recess lies concealed a little shanty which leans against the portion of the ruin which has remained standing.	true	835.49	850.81	16
4490_16020_000042_000001	The fence has a gate, which, a few years ago, was fastened only by a latch.	The fence has a gate, which, a few years ago, was fastened only by a latch.	true	851.24	856.03	18
4490_16020_000043_000000	It was the crest of this ruin that Thenardier had succeeded in reaching, a little after one o'clock in the morning.	It was the crest of this ruin that Thenardier had succeeded in reaching, a little after one o'clock in the morning.	false	856.64	861.82	9
4490_16020_000044_000000	How had he got there?	How had he got there?	true	862.88	864.61	21.754457
4490_16020_000044_000001	That is what no one has ever been able to explain or understand.	That is what no one has ever been able to explain or understand.	true	864.83	868.63	11
4490_16020_000044_000002	The lightning must, at the same time, have hindered and helped him.	The lightning must, at the same time, have hindered and helped him.	false	869.12	873.57	19.614338
4490_16020_000044_000003	Had he made use of the ladders and scaffoldings of the slaters to get from roof to roof, from enclosure to enclosure, from compartment to compartment, to the buildings of the Charlemagne court, then to the buildings of the Saint-Louis court, to the outer wall, and thence to the hut on the Rue du Roi-de-Sicile?	Had he made use of the ladders and scaffoldings of the slaters to get from roof to roof, from enclosure to enclosure, from compartment to compartment, to the buildings of the Charlemagne court, then to the buildings of the Saint Louis court, to the outer wall, and thence to the hut on the Rue du Roi de Sicile?	false	873.57	912.63	19.594236
4490_16020_000044_000004	But in that itinerary there existed breaks which seemed to render it an impossibility.	But in that itinerary there existed breaks which seemed to render it an impossibility.	true	912.63	917.65	13
4490_16020_000044_000005	Had he placed the plank from his bed like a bridge from the roof of the Fine-Air to the outer wall, and crawled flat, on his belly on the coping of the outer wall the whole distance round the prison as far as the hut? But the outer wall of La Force formed a crenellated and unequal line; it mounted and descended, it dropped at the firemen's barracks, it rose towards the bath-house, it was cut in twain by buildings, it was not even of the same height on the Hotel Lamoignon as on the Rue Pavee; everywhere occurred falls and right angles; and then, the sentinels must have espied the dark form of the fugitive; hence, the route taken by Thenardier still remains rather inexplicable.	Had he placed the plank from his bed like a bridge from the roof of the Fine Air to the outer wall, and crawled flat, on his belly on the coping of the outer wall the whole distance round the prison as far as the hut? But the outer wall of La Force formed a crenellated and unequal line; it mounted and descended, it dropped at the firemen's barracks, it rose towards the bath house, it was cut in twain by buildings, it was not even of the same height on the Hotel Lamoignon as on the Rue Pavee; everywhere occurred falls and right angles; and then, the sentinels must have espied the dark form of the fugitive; hence, the route taken by Thenardier still remains rather inexplicable.	false	918.08	961.96	20
4490_16020_000044_000006	In two manners, flight was impossible.	In two manners, flight was impossible.	true	962.18	964.33	13
4490_16020_000044_000007	Had Thenardier, spurred on by that thirst for liberty which changes precipices into ditches, iron bars into wattles of osier, a legless man into an athlete, a gouty man into a bird, stupidity into instinct, instinct into intelligence, and intelligence into genius, had Thenardier invented a third mode?	Had Thenardier, spurred on by that thirst for liberty which changes precipices into ditches, iron bars into wattles of osier, a legless man into an athlete, a gouty man into a bird, stupidity into instinct, instinct into intelligence, and intelligence into genius, had Thenardier invented a third mode?	false	964.82	987.07	20
4490_16020_000044_000008	No one has ever found out.	No one has ever found out.	true	987.26	989.05	15.915675
4490_16020_000045_000000	The marvels of escape cannot always be accounted for.	The marvels of escape cannot always be accounted for.	true	990.38	993.58	20
4490_16020_000045_000001	The man who makes his escape, we repeat, is inspired; there is something of the star and of the lightning in the mysterious gleam of flight; the effort towards deliverance is no less surprising than the flight towards the sublime, and one says of the escaped thief: "How did he contrive to scale that wall?" in the same way that one says of Corneille: "Where did he find the means of dying?"	The man who makes his escape, we repeat, is inspired; there is something of the star and of the lightning in the mysterious gleam of flight; the effort towards deliverance is no less surprising than the flight towards the sublime, and one says of the escaped thief: "How did he contrive to scale that wall?" in the same way that one says of Corneille: "Where did he find the means of dying?"	false	994.07	1017.64	20.014776
4490_16020_000046_000000	At all events, dripping with perspiration, drenched with rain, with his clothes hanging in ribbons, his hands flayed, his elbows bleeding, his knees torn, Thenardier had reached what children, in their figurative language, call the edge of the wall of the ruin, there he had stretched himself out at full length, and there his strength had failed him.	At all events, dripping with perspiration, drenched with rain, with his clothes hanging in ribbons, his hands flayed, his elbows bleeding, his knees torn, Thenardier had reached what children, in their figurative language, call the edge of the wall of the ruin, there he had stretched himself out at full length, and there his strength had failed him.	false	1018.4	1039.66	19.973707
4490_16020_000046_000001	A steep escarpment three stories high separated him from the pavement of the street.	A steep escarpment three stories high separated him from the pavement of the street.	true	1040.18	1046.65	21.092087
4490_16020_000047_000000	The rope which he had was too short.	The rope which he had was too short.	true	1046.72	1050.52	22.360182
4490_16020_000048_000000	There he waited, pale, exhausted, desperate with all the despair which he had undergone, still hidden by the night, but telling himself that the day was on the point of dawning, alarmed at the idea of hearing the neighboring clock of Saint-Paul strike four within a few minutes, an hour when the sentinel was relieved and when the latter would be found asleep under the pierced roof, staring in horror at a terrible depth, at the light of the street lanterns, the wet, black pavement, that pavement longed for yet frightful, which meant death, and which meant liberty.	There he waited, pale, exhausted, desperate with all the despair which he had undergone, still hidden by the night, but telling himself that the day was on the point of dawning, alarmed at the idea of hearing the neighboring clock of Saint Paul strike four within a few minutes, an hour when the sentinel was relieved and when the latter would be found asleep under the pierced roof, staring in horror at a terrible depth, at the light of the street lanterns, the wet, black pavement, that pavement longed for yet frightful, which meant death, and which meant liberty.	false	1051.52	1087.78	18
4490_16020_000049_000000	He asked himself whether his three accomplices in flight had succeeded, if they had heard him, and if they would come to his assistance.	He asked himself whether his three accomplices in flight had succeeded, if they had heard him, and if they would come to his assistance.	true	1090.16	1098.31	19.05925
4490_16020_000049_000001	He listened.	He listened.	true	1098.65	1099.6	17
4490_16020_000049_000002	With the exception of the patrol, no one had passed through the street since he had been there.	With the exception of the patrol, no one had passed through the street since he had been there.	true	1100.24	1104.85	14
