3328_168626_000000_000000	Cosette fled, dragging her pail, and taking the longest strides of which she was capable.	Cosette fled, dragging her pail, and taking the longest strides of which she was capable.	false	6.9	34.695	21.827175
3328_168626_000004_000005	"Well," said she, "it's the Lark!"	"Well," said she, "it's the Lark!"	true	105.77	108.91	22.55299
3328_168626_000005_000000	In this manner Cosette traversed the labyrinth of tortuous and deserted streets which terminate in the village of Montfermeil on the side of Chelles.	In this manner Cosette traversed the labyrinth of tortuous and deserted streets which terminate in the village of Montfermeil on the side of Chelles.	false	109.67	117.22	14
3328_168626_000005_000001	So long as she had the houses or even the walls only on both sides of her path, she proceeded with tolerable boldness.	So long as she had the houses or even the walls only on both sides of her path, she proceeded with tolerable boldness.	true	118.34	125.98	16
3328_168626_000005_000002	From time to time she caught the flicker of a candle through the crack of a shutter--this was light and life; there were people there, and it reassured her.	From time to time she caught the flicker of a candle through the crack of a shutter-this was light and life; there were people there, and it reassured her.	false	126.68	136.15	22.439775
3328_168626_000005_000003	But in proportion as she advanced, her pace slackened mechanically, as it were.	But in proportion as she advanced, her pace slackened mechanically, as it were.	true	136.34	141.94	20
3328_168626_000005_000004	When she had passed the corner of the last house, Cosette paused.	When she had passed the corner of the last house, Cosette paused.	true	142.97	147.75	22.731325
3328_168626_000005_000005	It had been hard to advance further than the last stall; it became impossible to proceed further than the last house.	It had been hard to advance further than the last stall; it became impossible to proceed further than the last house.	true	147.75	154.87	18.466936
3328_168626_000005_000006	She set her bucket on the ground, thrust her hand into her hair, and began slowly to scratch her head,--a gesture peculiar to children when terrified and undecided what to do.	She set her bucket on the ground, thrust her hand into her hair, and began slowly to scratch her head,--a gesture peculiar to children when terrified and undecided what to do.	true	155.48	166.96	18
3328_168626_000005_000007	It was no longer Montfermeil; it was the open fields.	It was no longer Montfermeil; it was the open fields.	false	167.99	172.21	21.812132
3328_168626_000005_000008	Black and desert space was before her.	Black and desert space was before her.	true	172.91	175.93	24.091675
3328_168626_000005_000009	She gazed in despair at that darkness, where there was no longer any one, where there were beasts, where there were spectres, possibly.	She gazed in despair at that darkness, where there was no longer any one, where there were beasts, where there were spectres, possibly.	true	176.84	186.91	19.603271
3328_168626_000005_000010	She took a good look, and heard the beasts walking on the grass, and she distinctly saw spectres moving in the trees.	She took a good look, and heard the beasts walking on the grass, and she distinctly saw spectres moving in the trees.	true	187.46	195.34	21.830677
3328_168626_000005_000011	Then she seized her bucket again; fear had lent her audacity.	Then she seized her bucket again; fear had lent her audacity.	true	195.86	200.2	18.944014
3328_168626_000005_000012	"Bah!" said she; "I will tell him that there was no more water!" And she resolutely re-entered Montfermeil.	"Bah!" said she; "I will tell him that there was no more water!" And she resolutely re-entered Montfermeil.	false	200.6	210.78	22.2434
3328_168626_000006_000000	Hardly had she gone a hundred paces when she paused and began to scratch her head again.	Hardly had she gone a hundred paces when she paused and began to scratch her head again.	true	210.78	215.74	12
3328_168626_000006_000001	Now it was the Thenardier who appeared to her, with her hideous, hyena mouth, and wrath flashing in her eyes.	Now it was the Thenardier who appeared to her, with her hideous, hyena mouth, and wrath flashing in her eyes.	true	216.83	223.72	15
3328_168626_000006_000002	The child cast a melancholy glance before her and behind her.	The child cast a melancholy glance before her and behind her.	true	224.27	228.76	18
3328_168626_000006_000003	What was she to do?	What was she to do?	true	229.37	230.8	20.699722
3328_168626_000006_000004	What was to become of her?	What was to become of her?	true	231.17	233.26	24.291258
3328_168626_000006_000005	Where was she to go?	Where was she to go?	true	233.39	234.73	22.37801
3328_168626_000006_000006	In front of her was the spectre of the Thenardier; behind her all the phantoms of the night and of the forest.	In front of her was the spectre of the Thenardier; behind her all the phantoms of the night and of the forest.	true	235.52	243.1	19.036118
3328_168626_000006_000007	It was before the Thenardier that she recoiled.	It was before the Thenardier that she recoiled.	true	243.53	246.64	18.909082
3328_168626_000006_000008	She resumed her path to the spring, and began to run.	She resumed her path to the spring, and began to run.	true	246.92	250.63	19.615664
3328_168626_000006_000009	She emerged from the village, she entered the forest at a run, no longer looking at or listening to anything.	She emerged from the village, she entered the forest at a run, no longer looking at or listening to anything.	true	251.45	258.73	18
3328_168626_000006_000010	She only paused in her course when her breath failed her; but she did not halt in her advance.	She only paused in her course when her breath failed her; but she did not halt in her advance.	true	258.89	264.82	21
3328_168626_000006_000011	She went straight before her in desperation.	She went straight before her in desperation.	true	265.01	267.97	19.203814
3328_168626_000007_000000	As she ran she felt like crying.	As she ran she felt like crying.	true	268.73	271.24	18.158363
3328_168626_000008_000000	The nocturnal quivering of the forest surrounded her completely.	The nocturnal quivering of the forest surrounded her completely.	true	271.85	275.62	19.09606
3328_168626_000009_000000	She no longer thought, she no longer saw.	She no longer thought, she no longer saw.	true	275.81	279.58	19.063026
3328_168626_000009_000001	The immensity of night was facing this tiny creature.	The immensity of night was facing this tiny creature.	true	280.25	283.69	19
3328_168626_000009_000002	On the one hand, all shadow; on the other, an atom.	On the one hand, all shadow; on the other, an atom.	true	284.21	289.27	22.043592
3328_168626_000010_000000	It was only seven or eight minutes' walk from the edge of the woods to the spring.	It was only seven or eight minutes' walk from the edge of the woods to the spring.	true	289.76	294.01	18
3328_168626_000010_000001	Cosette knew the way, through having gone over it many times in daylight.	Cosette knew the way, through having gone over it many times in daylight.	true	294.32	298.48	18
3328_168626_000010_000002	Strange to say, she did not get lost.	Strange to say, she did not get lost.	true	298.76	301.39	20.057095
3328_168626_000010_000003	A remnant of instinct guided her vaguely.	A remnant of instinct guided her vaguely.	true	302.03	304.99	21.932917
3328_168626_000010_000004	But she did not turn her eyes either to right or to left, for fear of seeing things in the branches and in the brushwood.	But she did not turn her eyes either to right or to left, for fear of seeing things in the branches and in the brushwood.	true	305.09	312.82	15
3328_168626_000010_000005	In this manner she reached the spring.	In this manner she reached the spring.	true	313.07	315.55	15.494535
3328_168626_000011_000000	It was a narrow, natural basin, hollowed out by the water in a clayey soil, about two feet deep, surrounded with moss and with those tall, crimped grasses which are called Henry IV.'s frills, and paved with several large stones.	It was a narrow, natural basin, hollowed out by the water in a clayey soil, about two feet deep, surrounded with moss and with those tall, crimped grasses which are called Henry the fourth's frills, and paved with several large stones.	true	317.03	331.81	18
3328_168626_000011_000001	A brook ran out of it, with a tranquil little noise.	A brook ran out of it, with a tranquil little noise.	true	332.24	336.04	23.219019
3328_168626_000012_000000	Cosette did not take time to breathe.	Cosette did not take time to breathe.	true	337.49	339.79	26.859417
3328_168626_000012_000001	It was very dark, but she was in the habit of coming to this spring.	It was very dark, but she was in the habit of coming to this spring.	true	339.89	344.17	21.417753
3328_168626_000012_000002	She felt with her left hand in the dark for a young oak which leaned over the spring, and which usually served to support her, found one of its branches, clung to it, bent down, and plunged the bucket in the water.	She felt with her left hand in the dark for a young oak which leaned over the spring, and which usually served to support her, found one of its branches, clung to it, bent down, and plunged the bucket in the water.	false	344.51	358.75	21
3328_168626_000012_000003	She was in a state of such violent excitement that her strength was trebled.	She was in a state of such violent excitement that her strength was trebled.	true	359.36	363.7	19
3328_168626_000012_000004	While thus bent over, she did not notice that the pocket of her apron had emptied itself into the spring.	While thus bent over, she did not notice that the pocket of her apron had emptied itself into the spring.	true	364.22	371.5	21.265173
3328_168626_000012_000005	The fifteen-sou piece fell into the water.	The fifteen sou piece fell into the water.	false	372.11	375.07	20
3328_168626_000012_000006	Cosette neither saw nor heard it fall.	Cosette neither saw nor heard it fall.	true	375.56	379.06	18.467768
3328_168626_000012_000007	She drew out the bucket nearly full, and set it on the grass.	She drew out the bucket nearly full, and set it on the grass.	true	379.64	383.62	22.895206
3328_168626_000013_000000	That done, she perceived that she was worn out with fatigue.	That done, she perceived that she was worn out with fatigue.	false	384.56	389.59	22.709032
3328_168626_000013_000001	She would have liked to set out again at once, but the effort required to fill the bucket had been such that she found it impossible to take a step.	She would have liked to set out again at once, but the effort required to fill the bucket had been such that she found it impossible to take a step.	true	389.81	398.11	20
3328_168626_000013_000002	She was forced to sit down.	She was forced to sit down.	true	398.39	400.36	21.66156
3328_168626_000013_000003	She dropped on the grass, and remained crouching there.	She dropped on the grass, and remained crouching there.	true	400.79	403.81	18
3328_168626_000014_000000	She shut her eyes; then she opened them again, without knowing why, but because she could not do otherwise.	She shut her eyes; then she opened them again, without knowing why, but because she could not do otherwise.	false	404.75	412.6	21
3328_168626_000014_000001	The agitated water in the bucket beside her was describing circles which resembled tin serpents.	The agitated water in the bucket beside her was describing circles which resembled tin serpents.	true	413.15	419.44	14
3328_168626_000015_000000	Overhead the sky was covered with vast black clouds, which were like masses of smoke.	Overhead the sky was covered with vast black clouds, which were like masses of smoke.	true	420.38	426.64	21.463203
3328_168626_000015_000001	The tragic mask of shadow seemed to bend vaguely over the child.	The tragic mask of shadow seemed to bend vaguely over the child.	true	426.83	431.44	19
3328_168626_000016_000000	Jupiter was setting in the depths.	Jupiter was setting in the depths.	true	431.78	433.99	20.701035
3328_168626_000017_000000	The child stared with bewildered eyes at this great star, with which she was unfamiliar, and which terrified her.	The child stared with bewildered eyes at this great star, with which she was unfamiliar, and which terrified her.	true	434.93	442.81	19.177845
3328_168626_000017_000001	The planet was, in fact, very near the horizon and was traversing a dense layer of mist which imparted to it a horrible ruddy hue.	The planet was, in fact, very near the horizon and was traversing a dense layer of mist which imparted to it a horrible ruddy hue.	true	443.36	452.44	11
3328_168626_000017_000002	The mist, gloomily empurpled, magnified the star.	The mist, gloomily empurpled, magnified the star.	false	453.11	457.48	22.180197
3328_168626_000017_000003	One would have called it a luminous wound.	One would have called it a luminous wound.	true	458.06	460.69	15
3328_168626_000018_000000	A cold wind was blowing from the plain.	A cold wind was blowing from the plain.	true	461.84	464.53	18
3328_168626_000018_000001	The forest was dark, not a leaf was moving; there were none of the vague, fresh gleams of summertide. Great boughs uplifted themselves in frightful wise.	The forest was dark, not a leaf was moving; there were none of the vague, fresh gleams of summertide. Great boughs uplifted themselves in frightful wise.	true	464.84	475.96	19.90988
3328_168626_000018_000002	Slender and misshapen bushes whistled in the clearings.	Slender and misshapen bushes whistled in the clearings.	true	476.39	479.83	15
3328_168626_000018_000003	The tall grasses undulated like eels under the north wind.	The tall grasses undulated like eels under the north wind.	true	479.9	483.91	17
3328_168626_000018_000004	The nettles seemed to twist long arms furnished with claws in search of prey.	The nettles seemed to twist long arms furnished with claws in search of prey.	true	484.07	489.25	19
3328_168626_000018_000005	Some bits of dry heather, tossed by the breeze, flew rapidly by, and had the air of fleeing in terror before something which was coming after.	Some bits of dry heather, tossed by the breeze, flew rapidly by, and had the air of fleeing in terror before something which was coming after.	true	489.65	498.85	18
3328_168626_000018_000006	On all sides there were lugubrious stretches.	On all sides there were lugubrious stretches.	true	499.37	502.48	18.787445
3328_168626_000019_000000	The darkness was bewildering.	The darkness was bewildering.	true	503.36	505.39	21.521551
3328_168626_000019_000001	Man requires light.	Man requires light.	true	505.85	507.61	24
3328_168626_000019_000002	Whoever buries himself in the opposite of day feels his heart contract.	Whoever buries himself in the opposite of day feels his heart contract.	true	508.16	512.8	20.25272
3328_168626_000019_000003	When the eye sees black, the heart sees trouble.	When the eye sees black, the heart sees trouble.	true	513.29	517.15	20.950138
3328_168626_000019_000004	In an eclipse in the night, in the sooty opacity, there is anxiety even for the stoutest of hearts.	In an eclipse in the night, in the sooty opacity, there is anxiety even for the stoutest of hearts.	true	517.82	525.01	19
3328_168626_000019_000005	No one walks alone in the forest at night without trembling.	No one walks alone in the forest at night without trembling.	true	525.38	528.64	19
3328_168626_000019_000006	Shadows and trees--two formidable densities.	Shadows and trees-two formidable densities.	true	529.22	532.99	19.472828
3328_168626_000019_000007	A chimerical reality appears in the indistinct depths.	A chimerical reality appears in the indistinct depths.	false	533.15	537.49	23.281475
3328_168626_000019_000008	The inconceivable is outlined a few paces distant from you with a spectral clearness.	The inconceivable is outlined a few paces distant from you with a spectral clearness.	true	537.89	543.61	14
3328_168626_000019_000009	One beholds floating, either in space or in one's own brain, one knows not what vague and intangible thing, like the dreams of sleeping flowers.	One beholds floating, either in space or in one's own brain, one knows not what vague and intangible thing, like the dreams of sleeping flowers.	true	543.92	556.36	19
3328_168626_000019_000010	There are fierce attitudes on the horizon. One inhales the effluvia of the great black void.	There are fierce attitudes on the horizon. One inhales the effluvia of the great black void.	false	557.12	564.31	20.421272
3328_168626_000019_000011	One is afraid to glance behind him, yet desirous of doing so.	One is afraid to glance behind him, yet desirous of doing so.	true	564.65	569.17	19.417267
3328_168626_000019_000012	The cavities of night, things grown haggard, taciturn profiles which vanish when one advances, obscure dishevelments, irritated tufts, livid pools, the lugubrious reflected in the funereal, the sepulchral immensity of silence, unknown but possible beings, bendings of mysterious branches, alarming torsos of trees, long handfuls of quivering plants,--against all this one has no protection.	The cavities of night, things grown haggard, taciturn profiles which vanish when one advances, obscure dishevelments, irritated tufts, livid pools, the lugubrious reflected in the funereal, the sepulchral immensity of silence, unknown but possible beings, bendings of mysterious branches, alarming torsos of trees, long handfuls of quivering plants,--against all this one has no protection.	true	569.63	600.46	19.699919
3328_168626_000019_000013	There is no hardihood which does not shudder and which does not feel the vicinity of anguish.	There is no hardihood which does not shudder and which does not feel the vicinity of anguish.	true	601.22	607.66	16
3328_168626_000019_000014	One is conscious of something hideous, as though one's soul were becoming amalgamated with the darkness.	One is conscious of something hideous, as though one's soul were becoming amalgamated with the darkness.	false	607.7	614.35	16
3328_168626_000019_000015	This penetration of the shadows is indescribably sinister in the case of a child.	This penetration of the shadows is indescribably sinister in the case of a child.	true	614.9	620.65	14
3328_168626_000020_000000	Forests are apocalypses, and the beating of the wings of a tiny soul produces a sound of agony beneath their monstrous vault.	Forests are apocalypses, and the beating of the wings of a tiny soul produces a sound of agony beneath their monstrous vault.	false	621.38	629.98	14
3328_168626_000021_000000	Without understanding her sensations, Cosette was conscious that she was seized upon by that black enormity of nature; it was no longer terror alone which was gaining possession of her; it was something more terrible even than terror; she shivered.	Without understanding her sensations, Cosette was conscious that she was seized upon by that black enormity of nature; it was no longer terror alone which was gaining possession of her; it was something more terrible even than terror; she shivered.	true	630.71	648.25	20.807837
3328_168626_000021_000001	There are no words to express the strangeness of that shiver which chilled her to the very bottom of her heart; her eye grew wild; she thought she felt that she should not be able to refrain from returning there at the same hour on the morrow.	There are no words to express the strangeness of that shiver which chilled her to the very bottom of her heart; her eye grew wild; she thought she felt that she should not be able to refrain from returning there at the same hour on the morrow.	false	649.31	664.21	18
3328_168626_000022_000000	Then, by a sort of instinct, she began to count aloud, one, two, three, four, and so on up to ten, in order to escape from that singular state which she did not understand, but which terrified her, and, when she had finished, she began again; this restored her to a true perception of the things about her.	Then, by a sort of instinct, she began to count aloud, one, two, three, four, and so on up to ten, in order to escape from that singular state which she did not understand, but which terrified her, and, when she had finished, she began again; this restored her to a true perception of the things about her.	true	665.42	686.8	20.485735
3328_168626_000022_000001	Her hands, which she had wet in drawing the water, felt cold; she rose; her terror, a natural and unconquerable terror, had returned: she had but one thought now,--to flee at full speed through the forest, across the fields to the houses, to the windows, to the lighted candles.	Her hands, which she had wet in drawing the water, felt cold; she rose; her terror, a natural and unconquerable terror, had returned: she had but one thought now,--to flee at full speed through the forest, across the fields to the houses, to the windows, to the lighted candles.	true	687.38	708.19	20.258974
3328_168626_000022_000002	Her glance fell upon the water which stood before her; such was the fright which the Thenardier inspired in her, that she dared not flee without that bucket of water: she seized the handle with both hands; she could hardly lift the pail.	Her glance fell upon the water which stood before her; such was the fright which the Thenardier inspired in her, that she dared not flee without that bucket of water: she seized the handle with both hands; she could hardly lift the pail.	true	708.8	724.36	20.312092
3328_168626_000023_000000	In this manner she advanced a dozen paces, but the bucket was full; it was heavy; she was forced to set it on the ground once more.	In this manner she advanced a dozen paces, but the bucket was full; it was heavy; she was forced to set it on the ground once more.	true	725.18	734.2	18.13461
3328_168626_000023_000001	She took breath for an instant, then lifted the handle of the bucket again, and resumed her march, proceeding a little further this time, but again she was obliged to pause.	She took breath for an instant, then lifted the handle of the bucket again, and resumed her march, proceeding a little further this time, but again she was obliged to pause.	false	734.9	745.87	19.9935
3328_168626_000023_000002	After some seconds of repose she set out again. She walked bent forward, with drooping head, like an old woman; the weight of the bucket strained and stiffened her thin arms.	After some seconds of repose she set out again. She walked bent forward, with drooping head, like an old woman; the weight of the bucket strained and stiffened her thin arms.	true	746.42	758.14	21.752626
3328_168626_000023_000003	The iron handle completed the benumbing and freezing of her wet and tiny hands; she was forced to halt from time to time, and each time that she did so, the cold water which splashed from the pail fell on her bare legs.	The iron handle completed the benumbing and freezing of her wet and tiny hands; she was forced to halt from time to time, and each time that she did so, the cold water which splashed from the pail fell on her bare legs.	false	758.42	773.89	20.431543
3328_168626_000023_000004	This took place in the depths of a forest, at night, in winter, far from all human sight; she was a child of eight: no one but God saw that sad thing at the moment.	This took place in the depths of a forest, at night, in winter, far from all human sight; she was a child of eight: no one but God saw that sad thing at the moment.	false	774.38	788.35	20.09345
3328_168626_000024_000000	And her mother, no doubt, alas!	And her mother, no doubt, alas!	true	788.84	791.11	19
3328_168626_000025_000000	For there are things that make the dead open their eyes in their graves.	For there are things that make the dead open their eyes in their graves.	true	791.15	795.1	17
3328_168626_000026_000000	She panted with a sort of painful rattle; sobs contracted her throat, but she dared not weep, so afraid was she of the Thenardier, even at a distance: it was her custom to imagine the Thenardier always present.	She panted with a sort of painful rattle; sobs contracted her throat, but she dared not weep, so afraid was she of the Thenardier, even at a distance: it was her custom to imagine the Thenardier always present.	false	795.65	811.21	19.919783
3328_168626_000027_000000	However, she could not make much headway in that manner, and she went on very slowly.	However, she could not make much headway in that manner, and she went on very slowly.	true	811.49	817.24	18.76659
3328_168626_000027_000001	In spite of diminishing the length of her stops, and of walking as long as possible between them, she reflected with anguish that it would take her more than an hour to return to Montfermeil in this manner, and that the Thenardier would beat her.	In spite of diminishing the length of her stops, and of walking as long as possible between them, she reflected with anguish that it would take her more than an hour to return to Montfermeil in this manner, and that the Thenardier would beat her.	false	817.37	831.28	16
3328_168626_000027_000002	This anguish was mingled with her terror at being alone in the woods at night; she was worn out with fatigue, and had not yet emerged from the forest.	This anguish was mingled with her terror at being alone in the woods at night; she was worn out with fatigue, and had not yet emerged from the forest.	true	831.44	841.39	20
3328_168626_000027_000003	On arriving near an old chestnut-tree with which she was acquainted, made a last halt, longer than the rest, in order that she might get well rested; then she summoned up all her strength, picked up her bucket again, and courageously resumed her march, but the poor little desperate creature could not refrain from crying, "O my God! my God!"	On arriving near an old chestnut tree with which she was acquainted, made a last halt, longer than the rest, in order that she might get well rested; then she summoned up all her strength, picked up her bucket again, and courageously resumed her march, but the poor little desperate creature could not refrain from crying, "O my God! my God!"	false	842	865.9	20.347378
3328_168626_000028_000000	At that moment she suddenly became conscious that her bucket no longer weighed anything at all: a hand, which seemed to her enormous, had just seized the handle, and lifted it vigorously.	At that moment she suddenly became conscious that her bucket no longer weighed anything at all: a hand, which seemed to her enormous, had just seized the handle, and lifted it vigorously.	true	866.48	877.72	20.578793
3328_168626_000028_000001	She raised her head.	She raised her head.	true	878.12	879.58	22.912779
3328_168626_000028_000002	A large black form, straight and erect, was walking beside her through the darkness; it was a man who had come up behind her, and whose approach she had not heard.	A large black form, straight and erect, was walking beside her through the darkness; it was a man who had come up behind her, and whose approach she had not heard.	true	879.68	889.51	18
3328_168626_000028_000003	This man, without uttering a word, had seized the handle of the bucket which she was carrying.	This man, without uttering a word, had seized the handle of the bucket which she was carrying.	true	889.94	895.54	16.820065
3328_168626_000029_000000	There are instincts for all the encounters of life.	There are instincts for all the encounters of life.	false	896.42	900.82	24.732153
3328_168626_000030_000000	The child was not afraid.	The child was not afraid.	false	901.04	908.22	19.988785
3328_168626_000031_000000	CHAPTER VI--WHICH POSSIBLY PROVES BOULATRUELLE'S INTELLIGENCE	CHAPTER six-WHICH POSSIBLY PROVES BOULATRUELLE'S INTELLIGENCE	false	908.22	919.11	19.544165
