716_129583_000000_000000	VII.	seven.	true	19.77	20.47	20.55163
716_129583_000012_000002	I followed him, and found myself in a small apartment, plainly but not uncomfortably furnished and with its inner door, which was slightly ajar, opening into a paved courtyard.	I followed him, and found myself in a small apartment, plainly but not uncomfortably furnished and with its inner door, which was slightly ajar, opening into a paved courtyard.	true	160.61	170.2	22.856352
716_129583_000012_000003	This inner door Montgomery at once closed. A hammock was slung across the darker corner of the room, and a small unglazed window defended by an iron bar looked out towards the sea.	This inner door Montgomery at once closed. A hammock was slung across the darker corner of the room, and a small unglazed window defended by an iron bar looked out towards the sea.	true	170.48	180.76	25.050165
716_129583_000013_000000	This the white-haired man told me was to be my apartment; and the inner door, which "for fear of accidents," he said, he would lock on the other side, was my limit inward. He called my attention to a convenient deck-chair before the window, and to an array of old books, chiefly, I found, surgical works and editions of the Latin and Greek classics (languages I cannot read with any comfort), on a shelf near the hammock. He left the room by the outer door, as if to avoid opening the inner one again.	This the white haired man told me was to be my apartment; and the inner door, which "for fear of accidents," he said, he would lock on the other side, was my limit inward. He called my attention to a convenient deck chair before the window, and to an array of old books, chiefly, I found, surgical works and editions of the Latin and Greek classics (languages I cannot read with any comfort), on a shelf near the hammock. He left the room by the outer door, as if to avoid opening the inner one again.	true	181.28	209.23	23.741652
716_129583_000014_000000	"We usually have our meals in here," said Montgomery, and then, as if in doubt, went out after the other.	"We usually have our meals in here," said Montgomery, and then, as if in doubt, went out after the other.	true	209.69	215.29	23.42698
716_129583_000014_000001	"Moreau!" I heard him call, and for the moment I do not think I noticed. Then as I handled the books on the shelf it came up in consciousness: Where had I heard the name of Moreau before?	"Moreau!" I heard him call, and for the moment I do not think I noticed. Then as I handled the books on the shelf it came up in consciousness: Where had I heard the name of Moreau before?	true	215.36	226.18	21.50814
716_129583_000014_000002	I sat down before the window, took out the biscuits that still remained to me, and ate them with an excellent appetite.	I sat down before the window, took out the biscuits that still remained to me, and ate them with an excellent appetite.	true	226.37	232.57	23.448017
716_129583_000014_000003	Moreau!	Moreau!	true	232.64	234.37	19.938025
716_129583_000015_000000	Through the window I saw one of those unaccountable men in white, lugging a packing-case along the beach.	Through the window I saw one of those unaccountable men in white, lugging a packing case along the beach.	true	234.92	240.4	21.151701
716_129583_000015_000001	Presently the window-frame hid him. Then I heard a key inserted and turned in the lock behind me. After a little while I heard through the locked door the noise of the staghounds, that had now been brought up from the beach. They were not barking, but sniffing and growling in a curious fashion. I could hear the rapid patter of their feet, and Montgomery's voice soothing them.	Presently the window frame hid him. Then I heard a key inserted and turned in the lock behind me. After a little while I heard through the locked door the noise of the staghounds, that had now been brought up from the beach. They were not barking, but sniffing and growling in a curious fashion. I could hear the rapid patter of their feet, and Montgomery's voice soothing them.	false	240.68	261.28	24.627405
716_129583_000016_000000	I was very much impressed by the elaborate secrecy of these two men regarding the contents of the place, and for some time I was thinking of that and of the unaccountable familiarity of the name of Moreau; but so odd is the human memory that I could not then recall that well-known name in its proper connection.	I was very much impressed by the elaborate secrecy of these two men regarding the contents of the place, and for some time I was thinking of that and of the unaccountable familiarity of the name of Moreau; but so odd is the human memory that I could not then recall that well-known name in its proper connection.	false	262.28	278.71	24.157835
716_129583_000016_000001	From that my thoughts went to the indefinable queerness of the deformed man on the beach. I never saw such a gait, such odd motions as he pulled at the box. I recalled that none of these men had spoken to me, though most of them I had found looking at me at one time or another in a peculiarly furtive manner, quite unlike the frank stare of your unsophisticated savage.	From that my thoughts went to the indefinable queerness of the deformed man on the beach. I never saw such a gait, such odd motions as he pulled at the box. I recalled that none of these men had spoken to me, though most of them I had found looking at me at one time or another in a peculiarly furtive manner, quite unlike the frank stare of your unsophisticated savage.	true	279.08	300.01	23.097061
716_129583_000016_000002	Indeed, they had all seemed remarkably taciturn, and when they did speak, endowed with very uncanny voices. What was wrong with them?	Indeed, they had all seemed remarkably taciturn, and when they did speak, endowed with very uncanny voices. What was wrong with them?	true	300.2	308.17	21.751762
716_129583_000016_000003	Then I recalled the eyes of Montgomery's ungainly attendant.	Then I recalled the eyes of Montgomery's ungainly attendant.	true	308.18	311.41	24.553598
716_129583_000017_000000	Just as I was thinking of him he came in.	Just as I was thinking of him he came in.	true	311.78	313.96	25.43329
716_129583_000017_000001	He was now dressed in white, and carried a little tray with some coffee and boiled vegetables thereon. I could hardly repress a shuddering recoil as he came, bending amiably, and placed the tray before me on the table.	He was now dressed in white, and carried a little tray with some coffee and boiled vegetables thereon. I could hardly repress a shuddering recoil as he came, bending amiably, and placed the tray before me on the table.	false	314.18	326.29	24.407436
716_129583_000017_000002	Then astonishment paralysed me.	Then astonishment paralysed me.	true	326.51	328.78	22.407593
716_129583_000017_000003	Under his stringy black locks I saw his ear; it jumped upon me suddenly close to my face.	Under his stringy black locks I saw his ear; it jumped upon me suddenly close to my face.	true	329.03	334.6	22.491396
716_129583_000017_000004	The man had pointed ears, covered with a fine brown fur!	The man had pointed ears, covered with a fine brown fur!	false	334.94	338.71	27.085375
716_129583_000018_000000	"Your breakfast, sair," he said.	"Your breakfast, sair," he said.	true	339.17	342.25	28.328943
716_129583_000019_000000	I stared at his face without attempting to answer him.	I stared at his face without attempting to answer him.	true	342.77	345.61	23.379877
716_129583_000019_000001	He turned and went towards the door, regarding me oddly over his shoulder. I followed him out with my eyes; and as I did so, by some odd trick of unconscious cerebration, there came surging into my head the phrase, "The Moreau Hollows"--was it?	He turned and went towards the door, regarding me oddly over his shoulder. I followed him out with my eyes; and as I did so, by some odd trick of unconscious cerebration, there came surging into my head the phrase, "The Moreau Hollows"--was it?	true	345.74	361.06	23.73845
716_129583_000019_000002	"The Moreau--" Ah!	"The Moreau-" Ah!	true	361.28	364	18.867592
716_129583_000019_000003	It sent my memory back ten years.	It sent my memory back ten years.	true	364.04	366.285	23.030455
716_129583_000019_000004	"The Moreau Horrors!"	"The Moreau Horrors!"	true	366.285	367.81	24.074963
716_129583_000019_000005	The phrase drifted loose in my mind for a moment, and then I saw it in red lettering on a little buff-coloured pamphlet, to read which made one shiver and creep. Then I remembered distinctly all about it.	The phrase drifted loose in my mind for a moment, and then I saw it in red lettering on a little buff coloured pamphlet, to read which made one shiver and creep. Then I remembered distinctly all about it.	true	368.42	379.78	22.848694
716_129583_000019_000006	That long-forgotten pamphlet came back with startling vividness to my mind. I had been a mere lad then, and Moreau was, I suppose, about fifty,--a prominent and masterful physiologist, well-known in scientific circles for his extraordinary imagination and his brutal directness in discussion.	That long forgotten pamphlet came back with startling vividness to my mind. I had been a mere lad then, and Moreau was, I suppose, about fifty,--a prominent and masterful physiologist, well-known in scientific circles for his extraordinary imagination and his brutal directness in discussion.	true	379.79	397.48	24.393188
716_129583_000020_000000	Was this the same Moreau?	Was this the same Moreau?	true	397.7	399.3	24.254652
716_129583_000020_000001	He had published some very astonishing facts in connection with the transfusion of blood, and in addition was known to be doing valuable work on morbid growths. Then suddenly his career was closed.	He had published some very astonishing facts in connection with the transfusion of blood, and in addition was known to be doing valuable work on morbid growths. Then suddenly his career was closed.	false	399.3	410.595	22.437527
716_129583_000020_000002	He had to leave England. A journalist obtained access to his laboratory in the capacity of laboratory-assistant, with the deliberate intention of making sensational exposures; and by the help of a shocking accident (if it was an accident), his gruesome pamphlet became notorious. On the day of its publication a wretched dog, flayed and otherwise mutilated, escaped from Moreau's house.	He had to leave England. A journalist obtained access to his laboratory in the capacity of laboratory assistant, with the deliberate intention of making sensational exposures; and by the help of a shocking accident (if it was an accident), his gruesome pamphlet became notorious. On the day of its publication a wretched dog, flayed and otherwise mutilated, escaped from Moreau's house.	true	410.595	433.15	23.469639
716_129583_000020_000003	It was in the silly season, and a prominent editor, a cousin of the temporary laboratory-assistant, appealed to the conscience of the nation. It was not the first time that conscience has turned against the methods of research.	It was in the silly season, and a prominent editor, a cousin of the temporary laboratory assistant, appealed to the conscience of the nation. It was not the first time that conscience has turned against the methods of research.	false	433.34	445.42	22.828346
716_129583_000020_000004	The doctor was simply howled out of the country. It may be that he deserved to be; but I still think that the tepid support of his fellow-investigators and his desertion by the great body of scientific workers was a shameful thing.	The doctor was simply howled out of the country. It may be that he deserved to be; but I still think that the tepid support of his fellow investigators and his desertion by the great body of scientific workers was a shameful thing.	true	445.64	458.68	23.668608
716_129583_000020_000005	Yet some of his experiments, by the journalist's account, were wantonly cruel. He might perhaps have purchased his social peace by abandoning his investigations; but he apparently preferred the latter, as most men would who have once fallen under the overmastering spell of research. He was unmarried, and had indeed nothing but his own interest to consider.	Yet some of his experiments, by the journalist's account, were wantonly cruel. He might perhaps have purchased his social peace by abandoning his investigations; but he apparently preferred the latter, as most men would who have once fallen under the overmastering spell of research. He was unmarried, and had indeed nothing but his own interest to consider.	true	458.87	478.39	23.15186
716_129583_000021_000000	I felt convinced that this must be the same man.	I felt convinced that this must be the same man.	true	478.91	481.635	26.275045
716_129583_000021_000001	Everything pointed to it.	Everything pointed to it.	true	481.635	483.19	28.396482
716_129583_000021_000002	It dawned upon me to what end the puma and the other animals--which had now been brought with other luggage into the enclosure behind the house--were destined; and a curious faint odour, the halitus of something familiar, an odour that had been in the background of my consciousness hitherto, suddenly came forward into the forefront of my thoughts.	It dawned upon me to what end the puma and the other animals-which had now been brought with other luggage into the enclosure behind the house-were destined; and a curious faint odour, the halitus of something familiar, an odour that had been in the background of my consciousness hitherto, suddenly came forward into the forefront of my thoughts.	true	483.38	502.24	25.841618
716_129583_000021_000003	It was the antiseptic odour of the dissecting-room.	It was the antiseptic odour of the dissecting room.	true	502.61	505.81	23.027578
716_129583_000021_000004	I heard the puma growling through the wall, and one of the dogs yelped as though it had been struck.	I heard the puma growling through the wall, and one of the dogs yelped as though it had been struck.	true	505.97	511.21	21.931704
716_129583_000022_000000	Yet surely, and especially to another scientific man, there was nothing so horrible in vivisection as to account for this secrecy; and by some odd leap in my thoughts the pointed ears and luminous eyes of Montgomery's attendant came back again before me with the sharpest definition.	Yet surely, and especially to another scientific man, there was nothing so horrible in vivisection as to account for this secrecy; and by some odd leap in my thoughts the pointed ears and luminous eyes of Montgomery's attendant came back again before me with the sharpest definition.	true	511.46	527.38	24.853327
716_129583_000022_000001	I stared before me out at the green sea, frothing under a freshening breeze, and let these and other strange memories of the last few days chase one another through my mind.	I stared before me out at the green sea, frothing under a freshening breeze, and let these and other strange memories of the last few days chase one another through my mind.	true	527.63	537.43	22.564358
716_129583_000023_000000	What could it all mean?	What could it all mean?	true	537.92	539.28	20.745111
716_129583_000023_000001	A locked enclosure on a lonely island, a notorious vivisector, and these crippled and distorted men?	A locked enclosure on a lonely island, a notorious vivisector, and these crippled and distorted men?	false	539.28	545.46	23.445248
716_129583_000024_000000	VIII.	eight.	false	545.46	545.94	-20
716_129583_000024_000001	THE CRYING OF THE PUMA.	THE CRYING OF THE PUMA.	false	545.94	547.2	23.310335
716_129583_000025_000000	MONTGOMERY interrupted my tangle of mystification and suspicion about one o'clock, and his grotesque attendant followed him with a tray bearing bread, some herbs and other eatables, a flask of whiskey, a jug of water, and three glasses and knives. I glanced askance at this strange creature, and found him watching me with his queer, restless eyes.	MONTGOMERY interrupted my tangle of mystification and suspicion about one o'clock, and his grotesque attendant followed him with a tray bearing bread, some herbs and other eatables, a flask of whiskey, a jug of water, and three glasses and knives. I glanced askance at this strange creature, and found him watching me with his queer, restless eyes.	false	547.2	552.51	15.802002
716_129583_000025_000001	Montgomery said he would lunch with me, but that Moreau was too preoccupied with some work to come.	Montgomery said he would lunch with me, but that Moreau was too preoccupied with some work to come.	false	552.51	554.22	-20
