716_129583_000000_000000	VII.	seven.
716_129583_000011_000000	"Decidedly," said I, "I should be a fool to take offence at any want of confidence."	"Decidedly," said I, "I should be a fool to take offence at any want of confidence."
716_129583_000012_000000	He twisted his heavy mouth into a faint smile--he was one of those saturnine people who smile with the corners of the mouth down,--and bowed his acknowledgment of my complaisance.	He twisted his heavy mouth into a faint smile-he was one of those saturnine people who smile with the corners of the mouth down,--and bowed his acknowledgment of my complaisance.
716_129583_000012_000002	I followed him, and found myself in a small apartment, plainly but not uncomfortably furnished and with its inner door, which was slightly ajar, opening into a paved courtyard.	I followed him, and found myself in a small apartment, plainly but not uncomfortably furnished and with its inner door, which was slightly ajar, opening into a paved courtyard.
716_129583_000012_000003	This inner door Montgomery at once closed. A hammock was slung across the darker corner of the room, and a small unglazed window defended by an iron bar looked out towards the sea.	This inner door Montgomery at once closed. A hammock was slung across the darker corner of the room, and a small unglazed window defended by an iron bar looked out towards the sea.
716_129583_000014_000000	"We usually have our meals in here," said Montgomery, and then, as if in doubt, went out after the other.	"We usually have our meals in here," said Montgomery, and then, as if in doubt, went out after the other.
716_129583_000014_000001	"Moreau!" I heard him call, and for the moment I do not think I noticed. Then as I handled the books on the shelf it came up in consciousness: Where had I heard the name of Moreau before?	"Moreau!" I heard him call, and for the moment I do not think I noticed. Then as I handled the books on the shelf it came up in consciousness: Where had I heard the name of Moreau before?
716_129583_000014_000002	I sat down before the window, took out the biscuits that still remained to me, and ate them with an excellent appetite.	I sat down before the window, took out the biscuits that still remained to me, and ate them with an excellent appetite.
716_129583_000015_000000	Through the window I saw one of those unaccountable men in white, lugging a packing-case along the beach.	Through the window I saw one of those unaccountable men in white, lugging a packing case along the beach.
716_129583_000016_000001	From that my thoughts went to the indefinable queerness of the deformed man on the beach. I never saw such a gait, such odd motions as he pulled at the box. I recalled that none of these men had spoken to me, though most of them I had found looking at me at one time or another in a peculiarly furtive manner, quite unlike the frank stare of your unsophisticated savage.	From that my thoughts went to the indefinable queerness of the deformed man on the beach. I never saw such a gait, such odd motions as he pulled at the box. I recalled that none of these men had spoken to me, though most of them I had found looking at me at one time or another in a peculiarly furtive manner, quite unlike the frank stare of your unsophisticated savage.
716_129583_000016_000002	Indeed, they had all seemed remarkably taciturn, and when they did speak, endowed with very uncanny voices. What was wrong with them?	Indeed, they had all seemed remarkably taciturn, and when they did speak, endowed with very uncanny voices. What was wrong with them?
716_129583_000016_000003	Then I recalled the eyes of Montgomery's ungainly attendant.	Then I recalled the eyes of Montgomery's ungainly attendant.
716_129583_000017_000000	Just as I was thinking of him he came in.	Just as I was thinking of him he came in.
716_129583_000017_000002	Then astonishment paralysed me.	Then astonishment paralysed me.
716_129583_000017_000003	Under his stringy black locks I saw his ear; it jumped upon me suddenly close to my face.	Under his stringy black locks I saw his ear; it jumped upon me suddenly close to my face.
716_129583_000018_000000	"Your breakfast, sair," he said.	"Your breakfast, sair," he said.
716_129583_000019_000000	I stared at his face without attempting to answer him.	I stared at his face without attempting to answer him.
716_129583_000019_000001	He turned and went towards the door, regarding me oddly over his shoulder. I followed him out with my eyes; and as I did so, by some odd trick of unconscious cerebration, there came surging into my head the phrase, "The Moreau Hollows"--was it?	He turned and went towards the door, regarding me oddly over his shoulder. I followed him out with my eyes; and as I did so, by some odd trick of unconscious cerebration, there came surging into my head the phrase, "The Moreau Hollows"--was it?
716_129583_000019_000003	It sent my memory back ten years.	It sent my memory back ten years.
716_129583_000019_000004	"The Moreau Horrors!"	"The Moreau Horrors!"
716_129583_000019_000005	The phrase drifted loose in my mind for a moment, and then I saw it in red lettering on a little buff-coloured pamphlet, to read which made one shiver and creep. Then I remembered distinctly all about it.	The phrase drifted loose in my mind for a moment, and then I saw it in red lettering on a little buff coloured pamphlet, to read which made one shiver and creep. Then I remembered distinctly all about it.
716_129583_000019_000006	That long-forgotten pamphlet came back with startling vividness to my mind. I had been a mere lad then, and Moreau was, I suppose, about fifty,--a prominent and masterful physiologist, well-known in scientific circles for his extraordinary imagination and his brutal directness in discussion.	That long forgotten pamphlet came back with startling vividness to my mind. I had been a mere lad then, and Moreau was, I suppose, about fifty,--a prominent and masterful physiologist, well-known in scientific circles for his extraordinary imagination and his brutal directness in discussion.
716_129583_000020_000000	Was this the same Moreau?	Was this the same Moreau?
716_129583_000020_000002	He had to leave England. A journalist obtained access to his laboratory in the capacity of laboratory-assistant, with the deliberate intention of making sensational exposures; and by the help of a shocking accident (if it was an accident), his gruesome pamphlet became notorious. On the day of its publication a wretched dog, flayed and otherwise mutilated, escaped from Moreau's house.	He had to leave England. A journalist obtained access to his laboratory in the capacity of laboratory assistant, with the deliberate intention of making sensational exposures; and by the help of a shocking accident (if it was an accident), his gruesome pamphlet became notorious. On the day of its publication a wretched dog, flayed and otherwise mutilated, escaped from Moreau's house.
716_129583_000020_000004	The doctor was simply howled out of the country. It may be that he deserved to be; but I still think that the tepid support of his fellow-investigators and his desertion by the great body of scientific workers was a shameful thing.	The doctor was simply howled out of the country. It may be that he deserved to be; but I still think that the tepid support of his fellow investigators and his desertion by the great body of scientific workers was a shameful thing.
716_129583_000020_000005	Yet some of his experiments, by the journalist's account, were wantonly cruel. He might perhaps have purchased his social peace by abandoning his investigations; but he apparently preferred the latter, as most men would who have once fallen under the overmastering spell of research. He was unmarried, and had indeed nothing but his own interest to consider.	Yet some of his experiments, by the journalist's account, were wantonly cruel. He might perhaps have purchased his social peace by abandoning his investigations; but he apparently preferred the latter, as most men would who have once fallen under the overmastering spell of research. He was unmarried, and had indeed nothing but his own interest to consider.
716_129583_000021_000000	I felt convinced that this must be the same man.	I felt convinced that this must be the same man.
716_129583_000021_000001	Everything pointed to it.	Everything pointed to it.
716_129583_000021_000002	It dawned upon me to what end the puma and the other animals--which had now been brought with other luggage into the enclosure behind the house--were destined; and a curious faint odour, the halitus of something familiar, an odour that had been in the background of my consciousness hitherto, suddenly came forward into the forefront of my thoughts.	It dawned upon me to what end the puma and the other animals-which had now been brought with other luggage into the enclosure behind the house-were destined; and a curious faint odour, the halitus of something familiar, an odour that had been in the background of my consciousness hitherto, suddenly came forward into the forefront of my thoughts.
716_129583_000021_000003	It was the antiseptic odour of the dissecting-room.	It was the antiseptic odour of the dissecting room.
716_129583_000021_000004	I heard the puma growling through the wall, and one of the dogs yelped as though it had been struck.	I heard the puma growling through the wall, and one of the dogs yelped as though it had been struck.
716_129583_000022_000000	Yet surely, and especially to another scientific man, there was nothing so horrible in vivisection as to account for this secrecy; and by some odd leap in my thoughts the pointed ears and luminous eyes of Montgomery's attendant came back again before me with the sharpest definition.	Yet surely, and especially to another scientific man, there was nothing so horrible in vivisection as to account for this secrecy; and by some odd leap in my thoughts the pointed ears and luminous eyes of Montgomery's attendant came back again before me with the sharpest definition.
716_129583_000022_000001	I stared before me out at the green sea, frothing under a freshening breeze, and let these and other strange memories of the last few days chase one another through my mind.	I stared before me out at the green sea, frothing under a freshening breeze, and let these and other strange memories of the last few days chase one another through my mind.
716_129583_000023_000000	What could it all mean?	What could it all mean?
