4495_18533_000000_000000	On this paper was written a single sentence, thus worded:	On this paper was written a single sentence, thus worded:	false	3.96	7.83	17
4495_18533_000013_000002	The feet of these trees were drowned in a sort of immense lagoon, kept continually full by currents of fresh and salt waters. They eagerly assimilated to themselves the carbon which they, little by little, extracted from the atmosphere, as yet unfit for the function of life, and it may be said that they were destined to store it, in the form of coal, in the very bowels of the earth.	The feet of these trees were drowned in a sort of immense lagoon, kept continually full by currents of fresh and salt waters. They eagerly assimilated to themselves the carbon which they, little by little, extracted from the atmosphere, as yet unfit for the function of life, and it may be said that they were destined to store it, in the form of coal, in the very bowels of the earth.	true	285.11	308.26	16
4495_18533_000014_000000	It was the earthquake period, caused by internal convulsions, which suddenly modified the unsettled features of the terrestrial surface. Here, an intumescence which was to become a mountain, there, an abyss which was to be filled with an ocean or a sea.	It was the earthquake period, caused by internal convulsions, which suddenly modified the unsettled features of the terrestrial surface. Here, an intumescence which was to become a mountain, there, an abyss which was to be filled with an ocean or a sea.	true	309.59	326.68	13
4495_18533_000014_000001	There, whole forests sunk through the earth's crust, below the unfixed strata, either until they found a resting-place, such as the primitive bed of granitic rock, or, settling together in a heap, they formed a solid mass.	There, whole forests sunk through the earth's crust, below the unfixed strata, either until they found a resting place, such as the primitive bed of granitic rock, or, settling together in a heap, they formed a solid mass.	false	326.93	343.51	18.051317
4495_18533_000015_000000	As the waters were contained in no bed, and were spread over every part of the globe, they rushed where they liked, tearing from the scarcely-formed rocks material with which to compose schists, sandstones, and limestones.	As the waters were contained in no bed, and were spread over every part of the globe, they rushed where they liked, tearing from the scarcely formed rocks material with which to compose schists, sandstones, and limestones.	false	344.6	360.1	17
4495_18533_000015_000001	This the roving waves bore over the submerged and now peaty forests, and deposited above them the elements of rocks which were to superpose the coal strata.	This the roving waves bore over the submerged and now peaty forests, and deposited above them the elements of rocks which were to superpose the coal strata.	true	360.5	372.13	16
4495_18533_000015_000002	In course of time, periods of which include millions of years, these earths hardened in layers, and enclosed under a thick carapace of pudding-stone, schist, compact or friable sandstone, gravel and stones, the whole of the massive forests.	In course of time, periods of which include millions of years, these earths hardened in layers, and enclosed under a thick carapace of pudding stone, schist, compact or friable sandstone, gravel and stones, the whole of the massive forests.	false	372.44	391.39	16
4495_18533_000016_000000	And what went on in this gigantic crucible, where all this vegetable matter had accumulated, sunk to various depths?	And what went on in this gigantic crucible, where all this vegetable matter had accumulated, sunk to various depths?	true	392.06	400.93	16
4495_18533_000016_000001	A regular chemical operation, a sort of distillation.	A regular chemical operation, a sort of distillation.	true	401.45	404.95	17
4495_18533_000016_000002	All the carbon contained in these vegetables had agglomerated, and little by little coal was forming under the double influence of enormous pressure and the high temperature maintained by the internal fires, at this time so close to it.	All the carbon contained in these vegetables had agglomerated, and little by little coal was forming under the double influence of enormous pressure and the high temperature maintained by the internal fires, at this time so close to it.	true	405.44	420.16	14
4495_18533_000017_000000	Thus there was one kingdom substituted for another in this slow but irresistible reaction.	Thus there was one kingdom substituted for another in this slow but irresistible reaction.	true	421.1	426.76	12
4495_18533_000017_000001	The vegetable was transformed into a mineral. Plants which had lived the vegetative life in all the vigor of first creation became petrified.	The vegetable was transformed into a mineral. Plants which had lived the vegetative life in all the vigor of first creation became petrified.	false	426.95	435.4	17
4495_18533_000017_000002	Some of the substances enclosed in this vast herbal left their impression on the other more rapidly mineralized products, which pressed them as an hydraulic press of incalculable power would have done.	Some of the substances enclosed in this vast herbal left their impression on the other more rapidly mineralized products, which pressed them as an hydraulic press of incalculable power would have done.	false	435.74	450.4	13
4495_18533_000018_000000	Thus also shells, zoophytes, star-fish, polypi, spirifores, even fish and lizards brought by the water, left on the yet soft coal their exact likeness, "admirably taken off."	Thus also shells, zoophytes, star fish, polypi, spirifores, even fish and lizards brought by the water, left on the yet soft coal their exact likeness, "admirably taken off."	false	450.77	464.35	18
4495_18533_000019_000000	Pressure seems to have played a considerable part in the formation of carboniferous strata.	Pressure seems to have played a considerable part in the formation of carboniferous strata.	true	465.83	471.16	9
4495_18533_000019_000001	In fact, it is to its degree of power that are due the different sorts of coal, of which industry makes use.	In fact, it is to its degree of power that are due the different sorts of coal, of which industry makes use.	false	471.62	480.21	13
4495_18533_000019_000002	Thus in the lowest layers of the coal ground appears the anthracite, which, being almost destitute of volatile matter, contains the greatest quantity of carbon.	Thus in the lowest layers of the coal ground appears the anthracite, which, being almost destitute of volatile matter, contains the greatest quantity of carbon.	false	480.21	492.58	13
4495_18533_000019_000003	In the higher beds are found, on the contrary, lignite and fossil wood, substances in which the quantity of carbon is infinitely less.	In the higher beds are found, on the contrary, lignite and fossil wood, substances in which the quantity of carbon is infinitely less.	true	492.8	503.44	16
4495_18533_000019_000004	Between these two beds, according to the degree of pressure to which they have been subjected, are found veins of graphite and rich or poor coal.	Between these two beds, according to the degree of pressure to which they have been subjected, are found veins of graphite and rich or poor coal.	true	504.68	514.09	14
4495_18533_000019_000005	It may be asserted that it is for want of sufficient pressure that beds of peaty bog have not been completely changed into coal.	It may be asserted that it is for want of sufficient pressure that beds of peaty bog have not been completely changed into coal.	false	514.4	522.67	14
4495_18533_000019_000006	So then, the origin of coal mines, in whatever part of the globe they have been discovered, is this: the absorption through the terrestrial crust of the great forests of the geological period; then, the mineralization of the vegetables obtained in the course of time, under the influence of pressure and heat, and under the action of carbonic acid.	So then, the origin of coal mines, in whatever part of the globe they have been discovered, is this: the absorption through the terrestrial crust of the great forests of the geological period; then, the mineralization of the vegetables obtained in the course of time, under the influence of pressure and heat, and under the action of carbonic acid.	false	523.07	544.39	16
4495_18533_000020_000000	Now, at the time when the events related in this story took place, some of the most important mines of the Scottish coal beds had been exhausted by too rapid working.	Now, at the time when the events related in this story took place, some of the most important mines of the Scottish coal beds had been exhausted by too rapid working.	true	544.61	554.98	11
4495_18533_000020_000001	In the region which extends between Edinburgh and Glasgow, for a distance of ten or twelve miles, lay the Aberfoyle colliery, of which the engineer, James Starr, had so long directed the works.	In the region which extends between Edinburgh and Glasgow, for a distance of ten or twelve miles, lay the Aberfoyle colliery, of which the engineer, james Starr, had so long directed the works.	false	555.32	568.69	18
4495_18533_000020_000002	For ten years these mines had been abandoned.	For ten years these mines had been abandoned.	true	569.12	572.17	15
4495_18533_000020_000003	No new seams had been discovered, although the soundings had been carried to a depth of fifteen hundred or even of two thousand feet, and when James Starr had retired, it was with the full conviction that even the smallest vein had been completely exhausted.	No new seams had been discovered, although the soundings had been carried to a depth of fifteen hundred or even of two thousand feet, and when james Starr had retired, it was with the full conviction that even the smallest vein had been completely exhausted.	false	572.33	588.19	15
4495_18533_000021_000000	Under these circumstances, it was plain that the discovery of a new seam of coal would be an important event.	Under these circumstances, it was plain that the discovery of a new seam of coal would be an important event.	true	588.77	596.23	15
4495_18533_000021_000001	Could Simon Ford's communication relate to a fact of this nature?	Could Simon Ford's communication relate to a fact of this nature?	true	596.48	601.72	18
4495_18533_000021_000002	This question James Starr could not cease asking himself.	This question james Starr could not cease asking himself.	true	602.06	605.47	16
4495_18533_000021_000003	Was he called to make conquest of another corner of these rich treasure fields?	Was he called to make conquest of another corner of these rich treasure fields?	true	605.81	610.78	13
4495_18533_000021_000004	Fain would he hope it was so.	Fain would he hope it was so.	true	611.24	613.69	16.63513
4495_18533_000022_000000	The second letter had for an instant checked his speculations on this subject, but now he thought of that letter no longer.	The second letter had for an instant checked his speculations on this subject, but now he thought of that letter no longer.	true	614.15	621.405	16
4495_18533_000022_000001	Besides, the son of the old overman was there, waiting at the appointed rendezvous.	Besides, the son of the old overman was there, waiting at the appointed rendezvous.	true	621.405	626.8	17
4495_18533_000022_000002	The anonymous letter was therefore worth nothing.	The anonymous letter was therefore worth nothing.	true	626.84	629.56	16
4495_18533_000023_000000	The moment the engineer set foot on the platform at the end of his journey, the young man advanced towards him.	The moment the engineer set foot on the platform at the end of his journey, the young man advanced towards him.	true	629.84	635.8	15
4495_18533_000024_000000	"Are you Harry Ford?" asked the engineer quickly.	"Are you Harry Ford?" asked the engineer quickly.	true	636.05	638.82	18
4495_18533_000025_000000	"Yes, Mr. Starr."	"Yes, mr Starr."	true	638.82	640.3	20
4495_18533_000026_000000	"I should not have known you, my lad.	"I should not have known you, my lad.	false	640.55	642.405	14.604435
4495_18533_000026_000001	Of course in ten years you have become a man!"	Of course in ten years you have become a man!"	true	642.405	644.56	10
4495_18533_000027_000000	"I knew you directly, sir," replied the young miner, cap in hand.	"I knew you directly, sir," replied the young miner, cap in hand.	true	645.35	649.48	15
4495_18533_000027_000001	"You have not changed.	"You have not changed.	true	649.73	651	18.95176
4495_18533_000027_000002	You look just as you did when you bade us good-by in the Dochart pit.	You look just as you did when you bade us good by in the Dochart pit.	true	651	654.64	13
4495_18533_000027_000003	I haven't forgotten that day."	I haven't forgotten that day."	true	654.74	656.56	19
4495_18533_000028_000000	"Put on your cap, Harry," said the engineer.	"Put on your cap, Harry," said the engineer.	true	656.96	659.5	15
4495_18533_000028_000001	"It's pouring, and politeness needn't make you catch cold."	"It's pouring, and politeness needn't make you catch cold."	true	659.57	663.1	17
4495_18533_000029_000000	"Shall we take shelter anywhere, Mr. Starr?" asked young Ford.	"Shall we take shelter anywhere, mr Starr?" asked young Ford.	false	663.68	668.02	18
4495_18533_000030_000000	"No, Harry.	"No, Harry.	true	668.39	669.405	22.690517
4495_18533_000030_000001	The weather is settled.	The weather is settled.	true	669.405	670.725	16
4495_18533_000030_000002	It will rain all day, and I am in a hurry.	It will rain all day, and I am in a hurry.	true	670.725	672.795	9
4495_18533_000030_000003	Let us go on."	Let us go on."	true	672.795	673.87	17
4495_18533_000031_000000	"I am at your orders," replied Harry.	"I am at your orders," replied Harry.	true	674.36	676.6	15
4495_18533_000032_000000	"Tell me, Harry, is your father well?"	"Tell me, Harry, is your father well?"	true	676.67	679.06	17.950647
4495_18533_000033_000000	"Very well, Mr. Starr."	"Very well, mr Starr."	true	679.55	681.37	17
4495_18533_000034_000000	"And your mother?"	"And your mother?"	true	681.44	682.54	20.413656
4495_18533_000035_000000	"She is well, too."	"She is well, too."	true	682.67	684.04	19.362333
4495_18533_000036_000000	"Was it your father who wrote telling me to come to the Yarrow shaft?"	"Was it your father who wrote telling me to come to the Yarrow shaft?"	false	684.41	688.9	16
4495_18533_000037_000000	"No, it was I."	"No, it was i"	true	688.91	690.31	15
4495_18533_000038_000000	"Then did Simon Ford send me a second letter to contradict the first?" asked the engineer quickly.	"Then did Simon Ford send me a second letter to contradict the first?" asked the engineer quickly.	true	690.83	696.4	18.522202
4495_18533_000039_000000	"No, Mr. Starr," answered the young miner.	"No, mr Starr," answered the young miner.	true	696.71	699.55	16
4495_18533_000040_000000	"Very well," said Starr, without speaking of the anonymous letter.	"Very well," said Starr, without speaking of the anonymous letter.	true	699.56	703	17
4495_18533_000040_000001	Then, continuing, "And can you tell me what you father wants with me?"	Then, continuing, "And can you tell me what you father wants with me?"	false	703.43	708.04	18
4495_18533_000041_000000	"Mr.	"mr	true	708.62	709.08	25
4495_18533_000041_000001	Starr, my father wishes to tell you himself."	Starr, my father wishes to tell you himself."	true	709.08	711.79	18.72499
4495_18533_000042_000000	"But you know what it is?"	"But you know what it is?"	false	712.04	713.8	17
4495_18533_000043_000000	"I do, sir."	"I do, sir."	true	713.96	715.03	18.074663
4495_18533_000044_000000	"Well, Harry, I will not ask you more.	"Well, Harry, I will not ask you more.	true	715.52	718.24	18
4495_18533_000044_000001	But let us get on, for I'm anxious to see Simon Ford.	But let us get on, for I'm anxious to see Simon Ford.	true	718.55	721.87	16
4495_18533_000044_000002	By-the-bye, where does he live?"	By the bye, where does he live?"	true	721.91	724.065	18.050758
4495_18533_000045_000000	"In the mine."	"In the mine."	true	724.065	725.17	18.045681
4495_18533_000046_000000	"What!	"What!	true	725.63	726.48	21.376612
4495_18533_000046_000001	In the Dochart pit?"	In the Dochart pit?"	true	726.48	728.08	21.850544
4495_18533_000047_000000	"Yes, Mr. Starr," replied Harry.	"Yes, mr Starr," replied Harry.	true	728.69	730.93	13
4495_18533_000048_000000	"Really! has your family never left the old mine since the cessation of the works?"	"Really! has your family never left the old mine since the cessation of the works?"	true	731.12	736.66	17.384018
4495_18533_000049_000000	"Not a day, Mr. Starr.	"Not a day, mr Starr.	true	738.29	740.085	13
4495_18533_000049_000001	You know my father.	You know my father.	true	740.085	741.285	16
4495_18533_000049_000002	It is there he was born, it is there he means to die!"	It is there he was born, it is there he means to die!"	false	741.285	744.88	13
4495_18533_000050_000000	"I can understand that, Harry.	"I can understand that, Harry.	true	745.31	747.225	14
4495_18533_000050_000001	I can understand that!	I can understand that!	true	747.225	748.78	18
4495_18533_000050_000002	His native mine! He did not like to abandon it!	His native mine! He did not like to abandon it!	true	749.03	752.23	17.933554
4495_18533_000050_000003	And are you happy there?"	And are you happy there?"	true	752.36	753.88	20
4495_18533_000051_000000	"Yes, Mr. Starr," replied the young miner, "for we love one another, and we have but few wants."	"Yes, mr Starr," replied the young miner, "for we love one another, and we have but few wants."	true	754.37	762.16	17.278294
4495_18533_000052_000000	"Well, Harry," said the engineer, "lead the way."	"Well, Harry," said the engineer, "lead the way."	true	762.89	766.06	17.135672
4495_18533_000053_000000	And walking rapidly through the streets of Callander, in a few minutes they had left the town behind them.	And walking rapidly through the streets of Callander, in a few minutes they had left the town behind them.	false	766.52	785.43	17.31505
