868_131296_000000_000000	VII. Tea-Masters	seven. Tea Masters	true	22.14	24.07	21.831598
868_131296_000005_000000	He only who has lived with the beautiful can die beautifully.	He only who has lived with the beautiful can die beautifully.	true	284.87	287.95	17
868_131296_000005_000001	The last moments of the great tea-masters were as full of exquisite refinement as had been their lives.	The last moments of the great tea masters were as full of exquisite refinement as had been their lives.	true	288.29	294.25	21.146273
868_131296_000005_000002	Seeking always to be in harmony with the great rhythm of the universe, they were ever prepared to enter the unknown. The "Last Tea of Rikiu" will stand forth forever as the acme of tragic grandeur.	Seeking always to be in harmony with the great rhythm of the universe, they were ever prepared to enter the unknown. The "Last Tea of Rikiu" will stand forth forever as the acme of tragic grandeur.	true	294.41	307.33	21.485462
868_131296_000006_000000	Long had been the friendship between Rikiu and the Taiko-Hideyoshi, and high the estimation in which the great warrior held the tea-master.	Long had been the friendship between Rikiu and the Taiko Hideyoshi, and high the estimation in which the great warrior held the tea master.	true	309.23	317.26	20
868_131296_000006_000001	But the friendship of a despot is ever a dangerous honour.	But the friendship of a despot is ever a dangerous honour.	true	318.65	321.88	21.694118
868_131296_000006_000002	It was an age rife with treachery, and men trusted not even their nearest kin.	It was an age rife with treachery, and men trusted not even their nearest kin.	true	322.34	326.29	17
868_131296_000006_000003	Rikiu was no servile courtier, and had often dared to differ in argument with his fierce patron.	Rikiu was no servile courtier, and had often dared to differ in argument with his fierce patron.	false	326.9	332.59	21
868_131296_000006_000004	Taking advantage of the coldness which had for some time existed between the Taiko and Rikiu, the enemies of the latter accused him of being implicated in a conspiracy to poison the despot.	Taking advantage of the coldness which had for some time existed between the Taiko and Rikiu, the enemies of the latter accused him of being implicated in a conspiracy to poison the despot.	true	333.11	343.51	20.78596
868_131296_000006_000005	It was whispered to Hideyoshi that the fatal potion was to be administered to him with a cup of the green beverage prepared by the tea-master.	It was whispered to Hideyoshi that the fatal potion was to be administered to him with a cup of the green beverage prepared by the tea master.	true	344.87	353.17	21.62716
868_131296_000006_000006	With Hideyoshi suspicion was sufficient ground for instant execution, and there was no appeal from the will of the angry ruler.	With Hideyoshi suspicion was sufficient ground for instant execution, and there was no appeal from the will of the angry ruler.	true	353.33	360.43	19
868_131296_000006_000007	One privilege alone was granted to the condemned--the honor of dying by his own hand.	One privilege alone was granted to the condemned-the honor of dying by his own hand.	true	360.98	365.95	18.77591
868_131296_000007_000000	On the day destined for his self-immolation, Rikiu invited his chief disciples to a last tea-ceremony.	On the day destined for his self immolation, Rikiu invited his chief disciples to a last tea ceremony.	true	367.7	374.08	20.318392
868_131296_000007_000001	Mournfully at the appointed time the guests met at the portico.	Mournfully at the appointed time the guests met at the portico.	true	374.6	377.77	18
868_131296_000007_000002	As they look into the garden path the trees seem to shudder, and in the rustling of their leaves are heard the whispers of homeless ghosts.	As they look into the garden path the trees seem to shudder, and in the rustling of their leaves are heard the whispers of homeless ghosts.	true	378.08	384.97	19
868_131296_000007_000003	Like solemn sentinels before the gates of Hades stand the grey stone lanterns.	Like solemn sentinels before the gates of Hades stand the grey stone lanterns.	true	385.52	390.46	19
868_131296_000007_000004	A wave of rare incense is wafted from the tea-room; it is the summons which bids the guests to enter. One by one they advance and take their places.	A wave of rare incense is wafted from the tea room; it is the summons which bids the guests to enter. One by one they advance and take their places.	true	391.01	400.06	19.62025
868_131296_000007_000005	In the tokonoma hangs a kakemon,--a wonderful writing by an ancient monk dealing with the evanescence of all earthly things.	In the tokonoma hangs a kakemon,--a wonderful writing by an ancient monk dealing with the evanescence of all earthly things.	false	400.19	407.56	20.029934
868_131296_000007_000006	The singing kettle, as it boils over the brazier, sounds like some cicada pouring forth his woes to departing summer.	The singing kettle, as it boils over the brazier, sounds like some cicada pouring forth his woes to departing summer.	true	407.99	414.01	17
868_131296_000007_000007	Soon the host enters the room.	Soon the host enters the room.	true	414.74	416.62	22.221535
868_131296_000007_000008	Each in turn is served with tea, and each in turn silently drains his cup, the host last of all. according to established etiquette, the chief guest now asks permission to examine the tea-equipage.	Each in turn is served with tea, and each in turn silently drains his cup, the host last of all. according to established etiquette, the chief guest now asks permission to examine the tea equipage.	false	416.96	430.41	22.179934
868_131296_000007_000009	Rikiu places the various articles before them, with the kakemono.	Rikiu places the various articles before them, with the kakemono.	false	430.41	434.32	21.785507
868_131296_000007_000010	After all have expressed admiration of their beauty, Rikiu presents one of them to each of the assembled company as a souvenir.	After all have expressed admiration of their beauty, Rikiu presents one of them to each of the assembled company as a souvenir.	true	435.59	442.3	19
868_131296_000007_000011	The bowl alone he keeps.	The bowl alone he keeps.	true	443.99	445.87	18.706263
868_131296_000007_000012	"Never again shall this cup, polluted by the lips of misfortune, be used by man." He speaks, and breaks the vessel into fragments.	"Never again shall this cup, polluted by the lips of misfortune, be used by man." He speaks, and breaks the vessel into fragments.	true	447.83	455.02	20.077597
868_131296_000008_000000	The ceremony is over; the guests with difficulty restraining their tears, take their last farewell and leave the room.	The ceremony is over; the guests with difficulty restraining their tears, take their last farewell and leave the room.	true	456.11	462.31	19.625458
868_131296_000008_000001	One only, the nearest and dearest, is requested to remain and witness the end.	One only, the nearest and dearest, is requested to remain and witness the end.	true	462.86	467.29	21
868_131296_000008_000002	Rikiu then removes his tea-gown and carefully folds it upon the mat, thereby disclosing the immaculate white death robe which it had hitherto concealed.	Rikiu then removes his tea gown and carefully folds it upon the mat, thereby disclosing the immaculate white death robe which it had hitherto concealed.	true	467.93	476.8	20.251205
868_131296_000008_000003	Tenderly he gazes on the shining blade of the fatal dagger, and in exquisite verse thus addresses it:	Tenderly he gazes on the shining blade of the fatal dagger, and in exquisite verse thus addresses it:	true	477.47	483.37	20.952326
868_131296_000009_000000	"Welcome to thee, O sword of eternity! Through Buddha And through Dharuma alike Thou hast cleft thy way."	"Welcome to thee, O sword of eternity! Through Buddha And through Dharuma alike Thou hast cleft thy way."	false	484.4	492.04	21.681984
868_131296_000010_000000	With a smile upon his face Rikiu passed forth into the unknown.	With a smile upon his face Rikiu passed forth into the unknown.	true	492.68	501.24	18.188185
868_131296_000011_000000	End of the Project Gutenberg EBook of The Book of Tea, by Kakuzo Okakura	End of the Project Gutenberg EBook of The Book of Tea, by Kakuzo Okakura	false	501.24	510.51	15.695759
