2427_154736_000000_000000	But what will poor Mr. Macartney think of me?	But what will poor mr Macartney think of me?	false	0	4.17	18.743362
2427_154736_000015_000000	Awake then, my dear, my deluded child, awake to the sense of your danger, and exert yourself to avoid the evils with which it threatens you:-evils which, to a mind like yours, are most to be dreaded; secret repining, and concealed, yet consuming regret!	Awake then, my dear, my deluded child, awake to the sense of your danger, and exert yourself to avoid the evils with which it threatens you:-evils which, to a mind like yours, are most to be dreaded; secret repining, and concealed, yet consuming regret!	false	300.92	318.61	22.9762
2427_154736_000015_000001	Make a noble effort for the recovery of your peace, which now, with sorrow I see it, depends wholly upon the presence of Lord Orville.	Make a noble effort for the recovery of your peace, which now, with sorrow I see it, depends wholly upon the presence of Lord Orville.	true	319.07	327.55	23.871317
2427_154736_000015_000002	This effort may indeed be painful; but trust to my experience, when I assure you it is requisite.	This effort may indeed be painful; but trust to my experience, when I assure you it is requisite.	true	327.98	334.15	20.870623
2427_154736_000016_000000	You must quit him!-his sight is baneful to your repose, his society is death to your future tranquillity!	You must quit him!-his sight is baneful to your repose, his society is death to your future tranquillity!	true	335.42	342.79	23.205046
2427_154736_000016_000001	Believe me, my beloved child, my heart aches for your suffering, while it dictates its necessity.	Believe me, my beloved child, my heart aches for your suffering, while it dictates its necessity.	true	343.01	349.39	23.347862
2427_154736_000017_000000	Could I flatter myself that Lord Orville would, indeed, be sensible of your worth, and act with a nobleness of mind which should prove it congenial to your own, then would I leave my Evelina to the unmolested enjoyment of the cheerful society, and increasing regard, of a man she so greatly admires: but this is not an age in which we may trust to appearances; and imprudence is much sooner regretted than repaired.	Could I flatter myself that Lord Orville would, indeed, be sensible of your worth, and act with a nobleness of mind which should prove it congenial to your own, then would I leave my Evelina to the unmolested enjoyment of the cheerful society, and increasing regard, of a man she so greatly admires: but this is not an age in which we may trust to appearances; and imprudence is much sooner regretted than repaired.	false	350.63	376.6	20.847002
2427_154736_000017_000001	Your health, you tell me, is much mended:-Can you then consent to leave Bristol?-not abruptly, that I do not desire, but in a few days from the time you receive this?	Your health, you tell me, is much mended:-Can you then consent to leave Bristol?-not abruptly, that I do not desire, but in a few days from the time you receive this?	true	377.12	388.06	23.760916
2427_154736_000017_000002	I will write to Mrs. Selwyn, and tell her how much I wish your return; and Mrs. Clinton can take sufficient care of you.	I will write to mrs Selwyn, and tell her how much I wish your return; and mrs Clinton can take sufficient care of you.	true	388.34	395.74	23.051903
2427_154736_000018_000000	I have meditated upon every possible expedient that might tend to your happiness, ere I fixed upon exacting from you a compliance which I am convinced will be most painful to you; but I can satisfy myself in none.	I have meditated upon every possible expedient that might tend to your happiness, ere I fixed upon exacting from you a compliance which I am convinced will be most painful to you; but I can satisfy myself in none.	true	396.8	410.47	24.206774
2427_154736_000018_000001	This will at least be safe; and as to success,-we must leave it to time.	This will at least be safe; and as to success,-we must leave it to time.	true	410.78	415.93	23.52189
2427_154736_000019_000000	I am very glad to hear of Mr. Macartney's welfare.	I am very glad to hear of mr Macartney's welfare.	true	417.05	420.3	22.205671
2427_154736_000020_000000	Adieu, my dearest child!	Adieu, my dearest child!	false	420.3	423.46	20.696306
2427_154736_000020_000001	Heaven preserve and strengthen you!	Heaven preserve and strengthen you!	true	423.56	425.89	25.300167
2427_154736_000020_000002	A.V.	a v	false	426.86	430.35	19.427868
2427_154736_000021_000000	LETTER LXVIII.	LETTER l x v i i i.	false	430.35	437.01	15.656136
