4222_12898_000002_000000	Harold remained for four months longer with his cousin.	Harold remained for four months longer with his cousin.
4222_12898_000029_000003	The alarm had evidently been given all along the line.	The alarm had evidently been given all along the line.
4222_12898_000029_000004	At every village the bells were ringing, the people were assembling in the streets, all carrying arms, while numbers were flocking in from the farmhouses around.	At every village the bells were ringing, the people were assembling in the streets, all carrying arms, while numbers were flocking in from the farmhouses around.
4222_12898_000029_000005	Once or twice Captain Wilson was stopped and asked where he was going.	Once or twice Captain Wilson was stopped and asked where he was going.
4222_12898_000030_000001	If he has orders to come at all hazards, my words will not stop him; if it is left to his discretion, possibly he may pause before he brings on so dire a calamity."	If he has orders to come at all hazards, my words will not stop him; if it is left to his discretion, possibly he may pause before he brings on so dire a calamity."
4222_12898_000032_000000	Just as Captain Wilson rode in a messenger ran up with the news that the head of the British column was close at hand.	Just as Captain Wilson rode in a messenger ran up with the news that the head of the British column was close at hand.
4222_12898_000032_000002	John Parker, who commanded them, ordered the drums to beat and the alarm-guns to be fired, and his men drew up in two ranks across the road.	john Parker, who commanded them, ordered the drums to beat and the alarm guns to be fired, and his men drew up in two ranks across the road.
4222_12898_000033_000001	"Let us get out of the line of fire."	"Let us get out of the line of fire."
4222_12898_000034_000000	The British, hearing the drums and the alarm-guns, loaded, and the advance company came on at the double.	The British, hearing the drums and the alarm guns, loaded, and the advance company came on at the double.
4222_12898_000034_000001	Major Pitcairne was at their head and shouted to the militia to lay down their arms.	Major Pitcairne was at their head and shouted to the militia to lay down their arms.
4222_12898_000035_000001	The Americans assert that it was the English; the English say that as they advanced several shots were fired at them from behind a stone wall and from some of the adjoining houses, which wounded one man and hit Major Pitcairne's horse in two places.	The Americans assert that it was the English; the English say that as they advanced several shots were fired at them from behind a stone wall and from some of the adjoining houses, which wounded one man and hit Major Pitcairne's horse in two places.
4222_12898_000037_000000	As they approached the town the militia retreated from it.	As they approached the town the militia retreated from it.
4222_12898_000037_000003	In destroying the stores by fire the court-house took flames.	In destroying the stores by fire the court house took flames.
4222_12898_000037_000004	At the sight of this fire the militia and armed countrymen advanced down the hill toward the bridge.	At the sight of this fire the militia and armed countrymen advanced down the hill toward the bridge.
4222_12898_000037_000005	The English tried to pull up the planks, but the Americans ran forward rapidly.	The English tried to pull up the planks, but the Americans ran forward rapidly.
4222_12898_000037_000007	Half an hour later Colonel Smith, having performed the duty that he was sent to do, resumed the homeward march with the whole of his troops.	Half an hour later Colonel Smith, having performed the duty that he was sent to do, resumed the homeward march with the whole of his troops.
4222_12898_000040_000000	Such was the beginning of the war of independence.	Such was the beginning of the war of independence.
4222_12898_000040_000001	Many American writers have declared that previous to that battle there was no desire for independence on the part of the colonists, but this is emphatically contradicted by the language used at the meetings and in the newspapers which have come down to us.	Many American writers have declared that previous to that battle there was no desire for independence on the part of the colonists, but this is emphatically contradicted by the language used at the meetings and in the newspapers which have come down to us.
4222_12898_000042_000006	It was but the spark in the powder.	It was but the spark in the powder.
4222_12898_000044_000000	From an eminence at some distance from the line of retreat Captain Wilson and his son watched sorrowfully the attack upon the British troops.	From an eminence at some distance from the line of retreat Captain Wilson and his son watched sorrowfully the attack upon the British troops.
4222_12898_000045_000000	"The die is cast," he said to his wife as she met him at the door. "The war has begun, and I fear it can have but one termination.	"The die is cast," he said to his wife as she met him at the door. "The war has begun, and I fear it can have but one termination.
4222_12898_000045_000007	I have pointed out to him that as he was born here he can without dishonor remain neutral in the struggle.	I have pointed out to him that as he was born here he can without dishonor remain neutral in the struggle.
4222_12898_000045_000009	To this I have agreed.	To this I have agreed.
4222_12898_000046_000005	She would, too, be living among her friends and would meet with many of the same convictions and opinions as her husband's, whereas in Concord the whole population would be hostile.	She would, too, be living among her friends and would meet with many of the same convictions and opinions as her husband's, whereas in Concord the whole population would be hostile.
