636_123163_000000_000000	A Vegetable Soup.	A Vegetable Soup.	false	1.11	1.8	7
636_123163_000037_000000	Crumb bread on the top of the oysters, and bake it with a quick heat about fifteen minutes.	Crumb bread on the top of the oysters, and bake it with a quick heat about fifteen minutes.	true	525.86	531.04	18
636_123163_000038_000000	To Fry Oysters.	To Fry Oysters.	true	532.4	533.68	18.194029
636_123163_000039_000000	Pick out the largest oysters and drain them; sprinkle them with pepper and salt; beat up an egg, and dip them first in it, and then in pounded crackers, and fry them in butter.	Pick out the largest oysters and drain them; sprinkle them with pepper and salt; beat up an egg, and dip them first in it, and then in pounded crackers, and fry them in butter.	true	533.96	546.19	18
636_123163_000039_000001	It is a plainer way to dip them in corn meal.	It is a plainer way to dip them in corn meal.	true	546.62	549.49	16
636_123163_000040_000000	Oyster Fritters.	Oyster Fritters.	true	550.76	552.01	18.772465
636_123163_000041_000000	Make a thick batter with two eggs, some crumbs of bread and flour, and a little milk; season this well with pepper and salt; have in a frying-pan equal parts of lard and butter; drop in a spoonful of the batter and put into it one large oyster, or two small ones, let them brown slowly, so as not to burn; turn them carefully.	Make a thick batter with two eggs, some crumbs of bread and flour, and a little milk; season this well with pepper and salt; have in a frying pan equal parts of lard and butter; drop in a spoonful of the batter and put into it one large oyster, or two small ones, let them brown slowly, so as not to burn; turn them carefully.	true	552.53	575.95	11
636_123163_000041_000001	This is a good way to have oysters at breakfast.	This is a good way to have oysters at breakfast.	true	576.02	578.89	18
636_123163_000042_000000	To Stew Oysters.	To Stew Oysters.	true	580.31	582.07	19.846977
636_123163_000043_000000	Open them and throw them in a stew-pan, with a lump of butter; make a thickening of flour and water, salt and pepper, and stir it in just as the oysters boil; when they are done, take them up in a deep covered dish, with buttered toast in the bottom.	Open them and throw them in a stew pan, with a lump of butter; make a thickening of flour and water, salt and pepper, and stir it in just as the oysters boil; when they are done, take them up in a deep covered dish, with buttered toast in the bottom.	true	582.35	596.95	10
636_123163_000044_000000	A Rich Oyster Pie.	A Rich Oyster Pie.	true	598.28	600.07	22
636_123163_000045_000000	Strain off the liquor from the oysters, and put it on to boil, with some butter, mace, nutmeg, pepper and salt; just as it boils, stir in a thickening of milk and flour; put in the oysters, and stir them till they are sufficiently stewed; then take them off, and put in the yelks of two eggs, well beaten; do not put this in while it is boiling, or it will curdle.	Strain off the liquor from the oysters, and put it on to boil, with some butter, mace, nutmeg, pepper and salt; just as it boils, stir in a thickening of milk and flour; put in the oysters, and stir them till they are sufficiently stewed; then take them off, and put in the yelks of two eggs, well beaten; do not put this in while it is boiling, or it will curdle.	false	600.83	622.18	5
636_123163_000045_000001	Line a dish, not very deep, with puff paste; fill it with white paper, or a clean napkin, to keep the top paste from falling in; put on a lid of paste, and bake it.	Line a dish, not very deep, with puff paste; fill it with white paper, or a clean napkin, to keep the top paste from falling in; put on a lid of paste, and bake it.	true	622.67	632.95	14
636_123163_000045_000002	When done, take off the lid carefully; take out the paper or napkin, and pour in the oysters.	When done, take off the lid carefully; take out the paper or napkin, and pour in the oysters.	true	632.99	638.7	15
636_123163_000045_000003	Send it hot to table.	Send it hot to table.	false	638.7	640.45	9
636_123163_000046_000000	A Baltimore Oyster Pie.	A Baltimore Oyster Pie.	true	641.93	643.75	18
636_123163_000047_000000	Make a crust after the directions given for puff paste; grease the bottom of a deep dish, cover it with paste; then season two quarts of raw oysters, (without the liquor,) with spices to your taste, (some preferring nutmeg, mace, cayenne pepper,--others, black pepper alone,) add butter and a heaped tea-cup of grated bread; put all together in the dish; then cover it with your paste, cut in strips, and crossed, or ornamented as your fancy dictates; a pound of butter to two quarts of oysters makes a rich pie; if the oysters are fine, less butter will answer.	Make a crust after the directions given for puff paste; grease the bottom of a deep dish, cover it with paste; then season two quarts of raw oysters, (without the liquor,) with spices to your taste, (some preferring nutmeg, mace, cayenne pepper,--others, black pepper alone,) add butter and a heaped tea cup of grated bread; put all together in the dish; then cover it with your paste, cut in strips, and crossed, or ornamented as your fancy dictates; a pound of butter to two quarts of oysters makes a rich pie; if the oysters are fine, less butter will answer.	true	644.15	682.12	-20
636_123163_000048_000000	A pie of this size will bake in three-quarters of an hour, if the oven is in good order; if the heat is not quick allow it an hour.	A pie of this size will bake in three quarters of an hour, if the oven is in good order; if the heat is not quick allow it an hour.	true	682.64	690.52	15
636_123163_000049_000000	If in baking, the crust is likely to become too brown, put a piece of paper doubled over it, and the light color will be retained; when taken from the oven, if it should look dry, pour some of the liquor that was drained from the oysters in the dish, having previously strained and boiled it.	If in baking, the crust is likely to become too brown, put a piece of paper doubled over it, and the light color will be retained; when taken from the oven, if it should look dry, pour some of the liquor that was drained from the oysters in the dish, having previously strained and boiled it.	true	691.46	708.4	4
636_123163_000050_000000	As paste always looks more beautiful when just from the oven, arrange your dinner so that the pie may be placed on the table immediately it is done.	As paste always looks more beautiful when just from the oven, arrange your dinner so that the pie may be placed on the table immediately it is done.	true	708.83	716.5	13
636_123163_000051_000000	Plain Oyster Pie.	Plain Oyster Pie.	true	717.86	719.29	20.54494
636_123163_000052_000000	Take from the shell as many oysters as you want to put in the pie; strain the liquor, put it with them over the fire and give them one boil; take off the scum, put in, if you wish to make a small pie, a quarter of a pound of butter, as much flour mixed in water as will thicken it when boiled, and mace, pepper, and salt to your taste; lay a paste in a deep dish, put in the oysters and cover them with paste; cut a hole in the middle, ornament it any way you please, and bake it.	Take from the shell as many oysters as you want to put in the pie; strain the liquor, put it with them over the fire and give them one boil; take off the scum, put in, if you wish to make a small pie, a quarter of a pound of butter, as much flour mixed in water as will thicken it when boiled, and mace, pepper, and salt to your taste; lay a paste in a deep dish, put in the oysters and cover them with paste; cut a hole in the middle, ornament it any way you please, and bake it.	false	720.14	749.53	8
636_123163_000052_000001	A shallow pie will bake in three-quarters of an hour.	A shallow pie will bake in three quarters of an hour.	true	749.75	754.24	3
636_123163_000053_000000	Oyster Sauce.	Oyster Sauce.	true	754.28	755.44	19
636_123163_000054_000000	Plump the oysters for a few minutes over the fire; take them out and stir into the liquor some flour and butter mixed together, with a little mace and whole pepper, and salt to your taste; when it has boiled long enough, throw in the oysters, and add a glass of white wine, just as you take it up.	Plump the oysters for a few minutes over the fire; take them out and stir into the liquor some flour and butter mixed together, with a little mace and whole pepper, and salt to your taste; when it has boiled long enough, throw in the oysters, and add a glass of white wine, just as you take it up.	true	755.87	771.97	9
636_123163_000054_000001	This is a suitable sauce for boiled fowls.	This is a suitable sauce for boiled fowls.	true	772.25	775.39	19
636_123163_000055_000000	To Pickle 100 Oysters.	To Pickle one hundred Oysters.	true	776.42	778.36	18
636_123163_000056_000000	Drain off the liquor from the oysters, wash them and put to them a table-spoonful of salt, and a tea-cup of vinegar; let them simmer over the fire about ten minutes, taking off the scum as it rises; then take out the oysters, and put to their own liquor a table-spoonful of whole black pepper, and a tea-spoonful of mace and cloves; let it boil five minutes, skim, and pour it over the oysters in a jar.	Drain off the liquor from the oysters, wash them and put to them a table spoonful of salt, and a tea cup of vinegar; let them simmer over the fire about ten minutes, taking off the scum as it rises; then take out the oysters, and put to their own liquor a table spoonful of whole black pepper, and a tea spoonful of mace and cloves; let it boil five minutes, skim, and pour it over the oysters in a jar.	true	779	804.85	8
636_123163_000057_000000	Oysters Pickled another way.	Oysters Pickled another way.	true	805.85	807.64	15
636_123163_000058_000000	Wash and drain the oysters, and put them in salt and water, that will bear an egg; let them scald till plump, and put them in a glass jar, with some cloves and whole peppers, and when cold cover them with vinegar.	Wash and drain the oysters, and put them in salt and water, that will bear an egg; let them scald till plump, and put them in a glass jar, with some cloves and whole peppers, and when cold cover them with vinegar.	true	808.88	823.72	20
636_123163_000059_000000	To Brown Oysters in their own Juice.	To Brown Oysters in their own Juice.	true	823.82	826.12	16
636_123163_000060_000000	Take a quart of large oysters, wash them in their own juice, drain and dip them in the yelk of eggs; heat butter in a frying-pan, and after seasoning them with pepper and salt, put them in separately; when they are brown on both sides, draw them to one side of the pan; strain the liquor, and put it in with a piece of butter and flour enough to thicken it.	Take a quart of large oysters, wash them in their own juice, drain and dip them in the yelk of eggs; heat butter in a frying pan, and after seasoning them with pepper and salt, put them in separately; when they are brown on both sides, draw them to one side of the pan; strain the liquor, and put it in with a piece of butter and flour enough to thicken it.	true	826.82	850.45	2
636_123163_000061_000000	A Dish of Poached Eggs.	A Dish of Poached Eggs.	true	851.6	853.54	21.016256
636_123163_000062_000000	Have ready a kettle of boiling water, pour it in a pan or speeder, which is set on coals; have the eggs at hand; put a little salt in the water, and break them in, one at a time, till you get all in; let them remain till the white is set, and take them out with an egg-spoon, and put on a dish that has buttered toast on it.	Have ready a kettle of boiling water, pour it in a pan or speeder, which is set on coals; have the eggs at hand; put a little salt in the water, and break them in, one at a time, till you get all in; let them remain till the white is set, and take them out with an egg spoon, and put on a dish that has buttered toast on it.	false	854.3	875.11	10
636_123163_000063_000000	Fried Eggs.	Fried Eggs.	true	876.56	877.78	8
636_123163_000064_000000	Slice and fry any kind of bacon, dish it; have the eggs ready in a dish, and pour them into the gravy; when done, take them up and lay them on the meat.	Slice and fry any kind of bacon, dish it; have the eggs ready in a dish, and pour them into the gravy; when done, take them up and lay them on the meat.	true	878.33	889.57	14
636_123163_000065_000000	Fried Eggs another way.	Fried Eggs another way.	true	890.33	891.91	13
636_123163_000066_000000	Have your lard or butter boiling hot; break in one egg at a time; throw the hot fat over them with an egg slice, until white on the top; slip the slice under and take them out whole, and lay them on the dish or meat without breaking; season with salt.	Have your lard or butter boiling hot; break in one egg at a time; throw the hot fat over them with an egg slice, until white on the top; slip the slice under and take them out whole, and lay them on the dish or meat without breaking; season with salt.	true	892.25	911.17	14
636_123163_000067_000000	Omelet.	Omelet.	true	911.18	912.645	22.859743
636_123163_000068_000000	Beat six or eight eggs, with some chopped parsley and a little salt; have the pan or speeder nicely washed; put in a quarter of a pound of butter, when it is hot, pour in the eggs; stir it with a spoon till it begins to form; when it is of a light-brown on the under side it is done; turn it out on a plate, and send to table immediately. Grated bread, soaked in cream, put in the omelet, some think an improvement.	Beat six or eight eggs, with some chopped parsley and a little salt; have the pan or speeder nicely washed; put in a quarter of a pound of butter, when it is hot, pour in the eggs; stir it with a spoon till it begins to form; when it is of a light brown on the under side it is done; turn it out on a plate, and send to table immediately. Grated bread, soaked in cream, put in the omelet, some think an improvement.	false	912.645	939.46	15
636_123163_000068_000001	The dripping of a nice ham, some persons use for omelet instead of butter.	The dripping of a nice ham, some persons use for omelet instead of butter.	true	939.62	943.93	10
636_123163_000069_000000	To Boil Eggs.	To Boil Eggs.	true	945.41	946.87	15
636_123163_000070_000000	Have the water boiling, and look at your watch as you put them in; two minutes and a half will cook them to please most persons; if you want them very soft, two minutes will be sufficient, or if less soft three minutes.	Have the water boiling, and look at your watch as you put them in; two minutes and a half will cook them to please most persons; if you want them very soft, two minutes will be sufficient, or if less soft three minutes.	true	947.45	961.54	18
636_123163_000070_000001	If you wish them hard, as for lettuce, let them boil ten minutes.	If you wish them hard, as for lettuce, let them boil ten minutes.	true	961.79	965.65	17
636_123163_000070_000002	Spoons that have been used in eating eggs should be put in water immediately, as the egg tarnishes them.	Spoons that have been used in eating eggs should be put in water immediately, as the egg tarnishes them.	false	966.02	980.31	-3
