2272_150674_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	false	7.95	10.21	21.012434
2272_150674_000009_000002	But I have reviewed, with diligence and pleasure, the objects of ecclesiastical history, by which the decline and fall of the Roman empire were materially affected, the propagation of Christianity, the constitution of the Catholic church, the ruin of Paganism, and the sects that arose from the mysterious controversies concerning the Trinity and incarnation.	But I have reviewed, with diligence and pleasure, the objects of ecclesiastical history, by which the decline and fall of the Roman empire were materially affected, the propagation of Christianity, the constitution of the Catholic church, the ruin of Paganism, and the sects that arose from the mysterious controversies concerning the Trinity and incarnation.	true	80.42	100.75	21
2272_150674_000009_000003	At the head of this class, we may justly rank the worship of images, so fiercely disputed in the eighth and ninth centuries; since a question of popular superstition produced the revolt of Italy, the temporal power of the popes, and the restoration of the Roman empire in the West.	At the head of this class, we may justly rank the worship of images, so fiercely disputed in the eighth and ninth centuries; since a question of popular superstition produced the revolt of Italy, the temporal power of the popes, and the restoration of the Roman empire in the West.	true	100.85	115.62	17
2272_150674_000010_000000	[Footnote 1: The learned Selden has given the history of transubstantiation in a comprehensive and pithy sentence: "This opinion is only rhetoric turned into logic," (his Works, vol. iii.	[Footnote one: The learned Selden has given the history of transubstantiation in a comprehensive and pithy sentence: "This opinion is only rhetoric turned into logic," (his Works, vol iii.	false	115.62	116.28	100
2272_150674_000010_000001	p. 2037, in his Table-Talk.)]	p. twenty thirty seven, in his Table Talk.)]	false	116.28	116.28	
2272_150674_000011_000000	The primitive Christians were possessed with an unconquerable repugnance to the use and abuse of images; and this aversion may be ascribed to their descent from the Jews, and their enmity to the Greeks.	The primitive Christians were possessed with an unconquerable repugnance to the use and abuse of images; and this aversion may be ascribed to their descent from the Jews, and their enmity to the Greeks.	false	116.28	126.58	15
2272_150674_000011_000001	The Mosaic law had severely proscribed all representations of the Deity; and that precept was firmly established in the principles and practice of the chosen people.	The Mosaic law had severely proscribed all representations of the Deity; and that precept was firmly established in the principles and practice of the chosen people.	false	126.77	135.37	15
2272_150674_000011_000002	The wit of the Christian apologists was pointed against the foolish idolaters, who bowed before the workmanship of their own hands; the images of brass and marble, which, had they been endowed with sense and motion, should have started rather from the pedestal to adore the creative powers of the artist.	The wit of the Christian apologists was pointed against the foolish idolaters, who bowed before the workmanship of their own hands; the images of brass and marble, which, had they been endowed with sense and motion, should have started rather from the pedestal to adore the creative powers of the artist.	true	135.47	151.14	15
2272_150674_000011_000003	[2] Perhaps some recent and imperfect converts of the Gnostic tribe might crown the statues of Christ and St. Paul with the profane honors which they paid to those of Aristotle and Pythagoras; [3] but the public religion of the Catholics was uniformly simple and spiritual; and the first notice of the use of pictures is in the censure of the council of Illiberis, three hundred years after the Christian aera.	[two] Perhaps some recent and imperfect converts of the Gnostic tribe might crown the statues of Christ and saint Paul with the profane honors which they paid to those of Aristotle and Pythagoras; [three] but the public religion of the Catholics was uniformly simple and spiritual; and the first notice of the use of pictures is in the censure of the council of Illiberis, three hundred years after the Christian aera.	false	151.14	172.45	18
2272_150674_000011_000004	Under the successors of Constantine, in the peace and luxury of the triumphant church, the more prudent bishops condescended to indulge a visible superstition, for the benefit of the multitude; and, after the ruin of Paganism, they were no longer restrained by the apprehension of an odious parallel.	Under the successors of Constantine, in the peace and luxury of the triumphant church, the more prudent bishops condescended to indulge a visible superstition, for the benefit of the multitude; and, after the ruin of Paganism, they were no longer restrained by the apprehension of an odious parallel.	false	172.79	188.68	18
2272_150674_000011_000005	The first introduction of a symbolic worship was in the veneration of the cross, and of relics.	The first introduction of a symbolic worship was in the veneration of the cross, and of relics.	true	188.87	194.29	20
2272_150674_000011_000006	The saints and martyrs, whose intercession was implored, were seated on the right hand if God; but the gracious and often supernatural favors, which, in the popular belief, were showered round their tomb, conveyed an unquestionable sanction of the devout pilgrims, who visited, and touched, and kissed these lifeless remains, the memorials of their merits and sufferings.	The saints and martyrs, whose intercession was implored, were seated on the right hand if God; but the gracious and often supernatural favors, which, in the popular belief, were showered round their tomb, conveyed an unquestionable sanction of the devout pilgrims, who visited, and touched, and kissed these lifeless remains, the memorials of their merits and sufferings.	false	194.42	214.98	19
2272_150674_000011_000007	[4] But a memorial, more interesting than the skull or the sandals of a departed worthy, is the faithful copy of his person and features, delineated by the arts of painting or sculpture. In every age, such copies, so congenial to human feelings, have been cherished by the zeal of private friendship, or public esteem: the images of the Roman emperors were adored with civil, and almost religious, honors; a reverence less ostentatious, but more sincere, was applied to the statues of sages and patriots; and these profane virtues, these splendid sins, disappeared in the presence of the holy men, who had died for their celestial and everlasting country.	[four] But a memorial, more interesting than the skull or the sandals of a departed worthy, is the faithful copy of his person and features, delineated by the arts of painting or sculpture. In every age, such copies, so congenial to human feelings, have been cherished by the zeal of private friendship, or public esteem: the images of the Roman emperors were adored with civil, and almost religious, honors; a reverence less ostentatious, but more sincere, was applied to the statues of sages and patriots; and these profane virtues, these splendid sins, disappeared in the presence of the holy men, who had died for their celestial and everlasting country.	false	214.98	252.55	19
2272_150674_000011_000008	At first, the experiment was made with caution and scruple; and the venerable pictures were discreetly allowed to instruct the ignorant, to awaken the cold, and to gratify the prejudices of the heathen proselytes.	At first, the experiment was made with caution and scruple; and the venerable pictures were discreetly allowed to instruct the ignorant, to awaken the cold, and to gratify the prejudices of the heathen proselytes.	true	252.74	264.7	20
2272_150674_000011_000009	By a slow though inevitable progression, the honors of the original were transferred to the copy: the devout Christian prayed before the image of a saint; and the Pagan rites of genuflection, luminaries, and incense, again stole into the Catholic church.	By a slow though inevitable progression, the honors of the original were transferred to the copy: the devout Christian prayed before the image of a saint; and the Pagan rites of genuflection, luminaries, and incense, again stole into the Catholic church.	true	264.83	278.59	18
2272_150674_000011_000010	The scruples of reason, or piety, were silenced by the strong evidence of visions and miracles; and the pictures which speak, and move, and bleed, must be endowed with a divine energy, and may be considered as the proper objects of religious adoration.	The scruples of reason, or piety, were silenced by the strong evidence of visions and miracles; and the pictures which speak, and move, and bleed, must be endowed with a divine energy, and may be considered as the proper objects of religious adoration.	true	278.75	292.99	17
2272_150674_000011_000011	The most audacious pencil might tremble in the rash attempt of defining, by forms and colors, the infinite Spirit, the eternal Father, who pervades and sustains the universe.	The most audacious pencil might tremble in the rash attempt of defining, by forms and colors, the infinite Spirit, the eternal Father, who pervades and sustains the universe.	true	293	303.12	20
2272_150674_000011_000012	[5] But the superstitious mind was more easily reconciled to paint and to worship the angels, and, above all, the Son of God, under the human shape, which, on earth, they have condescended to assume.	[five] But the superstitious mind was more easily reconciled to paint and to worship the angels, and, above all, the Son of God, under the human shape, which, on earth, they have condescended to assume.	false	303.12	314.5	22
2272_150674_000011_000013	The second person of the Trinity had been clothed with a real and mortal body; but that body had ascended into heaven: and, had not some similitude been presented to the eyes of his disciples, the spiritual worship of Christ might have been obliterated by the visible relics and representations of the saints.	The second person of the Trinity had been clothed with a real and mortal body; but that body had ascended into heaven: and, had not some similitude been presented to the eyes of his disciples, the spiritual worship of Christ might have been obliterated by the visible relics and representations of the saints.	true	314.69	330.7	14
2272_150674_000011_000014	A similar indulgence was requisite and propitious for the Virgin Mary: the place of her burial was unknown; and the assumption of her soul and body into heaven was adopted by the credulity of the Greeks and Latins.	A similar indulgence was requisite and propitious for the Virgin Mary: the place of her burial was unknown; and the assumption of her soul and body into heaven was adopted by the credulity of the Greeks and Latins.	true	331.01	342.58	15
2272_150674_000011_000015	The use, and even the worship, of images was firmly established before the end of the sixth century: they were fondly cherished by the warm imagination of the Greeks and Asiatics: the Pantheon and Vatican were adorned with the emblems of a new superstition; but this semblance of idolatry was more coldly entertained by the rude Barbarians and the Arian clergy of the West.	The use, and even the worship, of images was firmly established before the end of the sixth century: they were fondly cherished by the warm imagination of the Greeks and Asiatics: the Pantheon and Vatican were adorned with the emblems of a new superstition; but this semblance of idolatry was more coldly entertained by the rude Barbarians and the Arian clergy of the West.	true	342.59	363.58	14
2272_150674_000011_000016	The bolder forms of sculpture, in brass or marble, which peopled the temples of antiquity, were offensive to the fancy or conscience of the Christian Greeks: and a smooth surface of colors has ever been esteemed a more decent and harmless mode of imitation.	The bolder forms of sculpture, in brass or marble, which peopled the temples of antiquity, were offensive to the fancy or conscience of the Christian Greeks: and a smooth surface of colors has ever been esteemed a more decent and harmless mode of imitation.	true	363.62	376.74	16
2272_150674_000011_000017	[6]	[six]	false	376.74	376.74	
2272_150674_000012_000000	[Footnote 2: Nec intelligunt homines ineptissimi, quod si sentire simulacra et moveri possent, adoratura hominem fuissent a quo sunt expolita. (Divin.	[Footnote two: n e c intelligunt homines ineptissimi, quod si sentire simulacra et moveri possent, adoratura hominem fuissent a quo sunt expolita. (Divin.	false	376.74	377.22	-20
2272_150674_000012_000001	Institut. l.	Institut. l.	false	377.22	377.25	-20
2272_150674_000012_000002	ii.	ii.	false	377.25	377.28	-20
2272_150674_000012_000003	c.	c.	false	377.28	377.28	
2272_150674_000012_000004	2.) Lactantius is the last, as well as the most eloquent, of the Latin apologists.	two.) Lactantius is the last, as well as the most eloquent, of the Latin apologists.	false	377.28	377.49	100
2272_150674_000012_000005	Their raillery of idols attacks not only the object, but the form and matter.]	Their raillery of idols attacks not only the object, but the form and matter.]	false	377.49	377.49	
2272_150674_000013_000000	[Footnote 3: See Irenaeus, Epiphanius, and Augustin, (Basnage, Hist. des Eglises Reformees, tom.	[Footnote three: See Irenaeus, Epiphanius, and Augustin, (Basnage, Hist. des Eglises Reformees, tom.	false	377.49	377.49	
2272_150674_000013_000001	ii.	ii.	false	377.49	377.49	
2272_150674_000013_000002	p. 1313.) This Gnostic practice has a singular affinity with the private worship of Alexander Severus, (Lampridius, c. 29.	p. thirteen thirteen.) This Gnostic practice has a singular affinity with the private worship of Alexander Severus, (Lampridius, c. twenty nine.	false	377.49	377.49	
2272_150674_000013_000003	Lardner, Heathen Testimonies, vol. iii.	Lardner, Heathen Testimonies, vol iii.	false	377.49	377.49	
2272_150674_000013_000004	p. 34.)]	p. thirty four.)]	false	377.49	377.49	
2272_150674_000014_000000	[Footnote 4: See this History, vol. ii.	[Footnote four: See this History, vol ii.	false	377.49	377.49	
2272_150674_000014_000001	p. 261; vol. ii.	p. two hundred sixty one; vol ii.	false	377.49	377.49	
2272_150674_000014_000002	p. 434; vol. iii.	p. four hundred thirty four; vol iii.	false	377.49	377.49	
2272_150674_000014_000003	p. 158-163.]	p. one hundred fifty eight to one hundred sixty three.]	false	377.49	377.49	
2272_150674_000015_000000	[Footnote 5: (Concilium Nicenum, ii. in Collect.	[Footnote five: (Concilium Nicenum, ii. in Collect.	false	377.49	377.49	
2272_150674_000015_000001	Labb. tom.	Labb. tom.	false	377.49	377.49	
2272_150674_000015_000002	viii.	viii.	false	377.49	377.49	
2272_150674_000015_000003	p. 1025, edit.	p. ten twenty five, edit.	false	377.49	377.49	
2272_150674_000015_000004	Venet.) Il seroit peut-etre a-propos de ne point souffrir d'images de la Trinite ou de la Divinite; les defenseurs les plus zeles des images ayant condamne celles-ci, et le concile de Trente ne parlant que des images de Jesus Christ et des Saints, (Dupin, Bibliot.	Venet.) Il seroit peut etre a propos de ne point souffrir d'images de la Trinite ou de la Divinite; les defenseurs les plus zeles des images ayant condamne celles ci, et le concile de Trente ne parlant que des images de Jesus Christ et des Saints, (Dupin, Bibliot.	false	377.49	377.49	
2272_150674_000015_000005	Eccles. tom.	Eccles. tom.	false	377.49	377.49	
2272_150674_000015_000006	vi.	vi.	false	377.49	377.49	
2272_150674_000015_000007	p. 154.)]	p. one hundred fifty four.)]	false	377.49	377.49	
2272_150674_000016_000000	[Footnote 6: This general history of images is drawn from the xxiid book of the Hist. des Eglises Reformees of Basnage, tom.	[Footnote six: This general history of images is drawn from the x x i i d book of the Hist. des Eglises Reformees of Basnage, tom.	false	377.49	377.49	
2272_150674_000016_000001	ii.	ii.	false	377.49	377.49	
2272_150674_000016_000002	p. 1310-1337. He was a Protestant, but of a manly spirit; and on this head the Protestants are so notoriously in the right, that they can venture to be impartial.	p. thirteen ten to thirteen thirty seven. He was a Protestant, but of a manly spirit; and on this head the Protestants are so notoriously in the right, that they can venture to be impartial.	false	377.49	377.49	
2272_150674_000016_000003	See the perplexity of poor Friar Pagi, Critica, tom.	See the perplexity of poor Friar Pagi, Critica, tom.	false	377.49	377.49	
2272_150674_000016_000004	i.	i.	false	377.49	377.49	
2272_150674_000016_000005	p. 42.]	p. forty two.]	false	377.49	377.49	
2272_150674_000017_000000	The merit and effect of a copy depends on its resemblance with the original; but the primitive Christians were ignorant of the genuine features of the Son of God, his mother, and his apostles: the statue of Christ at Paneas in Palestine [7] was more probably that of some temporal savior; the Gnostics and their profane monuments were reprobated; and the fancy of the Christian artists could only be guided by the clandestine imitation of some heathen model.	The merit and effect of a copy depends on its resemblance with the original; but the primitive Christians were ignorant of the genuine features of the Son of God, his mother, and his apostles: the statue of Christ at Paneas in Palestine [seven] was more probably that of some temporal savior; the Gnostics and their profane monuments were reprobated; and the fancy of the Christian artists could only be guided by the clandestine imitation of some heathen model.	false	377.49	400.3	16
2272_150674_000017_000001	In this distress, a bold and dexterous invention assured at once the likeness of the image and the innocence of the worship.	In this distress, a bold and dexterous invention assured at once the likeness of the image and the innocence of the worship.	true	400.37	407.22	17
2272_150674_000017_000002	A new super structure of fable was raised on the popular basis of a Syrian legend, on the correspondence of Christ and Abgarus, so famous in the days of Eusebius, so reluctantly deserted by our modern advocates.	A new super structure of fable was raised on the popular basis of a Syrian legend, on the correspondence of Christ and Abgarus, so famous in the days of Eusebius, so reluctantly deserted by our modern advocates.	true	407.22	419.83	18
2272_150674_000017_000003	The bishop of Caesarea [8] records the epistle, [9] but he most strangely forgets the picture of Christ; [10] the perfect impression of his face on a linen, with which he gratified the faith of the royal stranger who had invoked his healing power, and offered the strong city of Edessa to protect him against the malice of the Jews.	The bishop of Caesarea [eight] records the epistle, [nine] but he most strangely forgets the picture of Christ; [ten] the perfect impression of his face on a linen, with which he gratified the faith of the royal stranger who had invoked his healing power, and offered the strong city of Edessa to protect him against the malice of the Jews.	false	419.93	436.3	20
2272_150674_000017_000004	The ignorance of the primitive church is explained by the long imprisonment of the image in a niche of the wall, from whence, after an oblivion of five hundred years, it was released by some prudent bishop, and seasonably presented to the devotion of the times.	The ignorance of the primitive church is explained by the long imprisonment of the image in a niche of the wall, from whence, after an oblivion of five hundred years, it was released by some prudent bishop, and seasonably presented to the devotion of the times.	false	436.55	450.165	17
2272_150674_000017_000005	Its first and most glorious exploit was the deliverance of the city from the arms of Chosroes Nushirvan; and it was soon revered as a pledge of the divine promise, that Edessa should never be taken by a foreign enemy.	Its first and most glorious exploit was the deliverance of the city from the arms of Chosroes Nushirvan; and it was soon revered as a pledge of the divine promise, that Edessa should never be taken by a foreign enemy.	true	450.165	461.79	15
2272_150674_000017_000006	It is true, indeed, that the text of Procopius ascribes the double deliverance of Edessa to the wealth and valor of her citizens, who purchased the absence and repelled the assaults of the Persian monarch.	It is true, indeed, that the text of Procopius ascribes the double deliverance of Edessa to the wealth and valor of her citizens, who purchased the absence and repelled the assaults of the Persian monarch.	true	461.79	472.45	17
2272_150674_000017_000007	He was ignorant, the profane historian, of the testimony which he is compelled to deliver in the ecclesiastical page of Evagrius, that the Palladium was exposed on the rampart, and that the water which had been sprinkled on the holy face, instead of quenching, added new fuel to the flames of the besieged.	He was ignorant, the profane historian, of the testimony which he is compelled to deliver in the ecclesiastical page of Evagrius, that the Palladium was exposed on the rampart, and that the water which had been sprinkled on the holy face, instead of quenching, added new fuel to the flames of the besieged.	true	472.46	488.98	18
2272_150674_000017_000008	After this important service, the image of Edessa was preserved with respect and gratitude; and if the Armenians rejected the legend, the more credulous Greeks adored the similitude, which was not the work of any mortal pencil, but the immediate creation of the divine original.	After this important service, the image of Edessa was preserved with respect and gratitude; and if the Armenians rejected the legend, the more credulous Greeks adored the similitude, which was not the work of any mortal pencil, but the immediate creation of the divine original.	true	489.05	503.53	17
2272_150674_000017_000009	The style and sentiments of a Byzantine hymn will declare how far their worship was removed from the grossest idolatry.	The style and sentiments of a Byzantine hymn will declare how far their worship was removed from the grossest idolatry.	true	503.57	509.98	14
2272_150674_000017_000010	"How can we with mortal eyes contemplate this image, whose celestial splendor the host of heaven presumes not to behold?	"How can we with mortal eyes contemplate this image, whose celestial splendor the host of heaven presumes not to behold?	true	510.14	517.155	17
2272_150674_000017_000011	He who dwells in heaven, condescends this day to visit us by his venerable image; He who is seated on the cherubim, visits us this day by a picture, which the Father has delineated with his immaculate hand, which he has formed in an ineffable manner, and which we sanctify by adoring it with fear and love." Before the end of the sixth century, these images, made without hands, (in Greek it is a single word, [11] were propagated in the camps and cities of the Eastern empire: [12] they were the objects of worship, and the instruments of miracles; and in the hour of danger or tumult, their venerable presence could revive the hope, rekindle the courage, or repress the fury, of the Roman legions.	He who dwells in heaven, condescends this day to visit us by his venerable image; He who is seated on the cherubim, visits us this day by a picture, which the Father has delineated with his immaculate hand, which he has formed in an ineffable manner, and which we sanctify by adoring it with fear and love." Before the end of the sixth century, these images, made without hands, (in Greek it is a single word, [eleven] were propagated in the camps and cities of the Eastern empire: [twelve] they were the objects of worship, and the instruments of miracles; and in the hour of danger or tumult, their venerable presence could revive the hope, rekindle the courage, or repress the fury, of the Roman legions.	false	517.155	555.46	18
2272_150674_000017_000012	Of these pictures, the far greater part, the transcripts of a human pencil, could only pretend to a secondary likeness and improper title: but there were some of higher descent, who derived their resemblance from an immediate contact with the original, endowed, for that purpose, with a miraculous and prolific virtue.	Of these pictures, the far greater part, the transcripts of a human pencil, could only pretend to a secondary likeness and improper title: but there were some of higher descent, who derived their resemblance from an immediate contact with the original, endowed, for that purpose, with a miraculous and prolific virtue.	false	555.56	573.34	20
2272_150674_000017_000013	The most ambitious aspired from a filial to a fraternal relation with the image of Edessa; and such is the veronica of Rome, or Spain, or Jerusalem, which Christ in his agony and bloody sweat applied to his face, and delivered to a holy matron.	The most ambitious aspired from a filial to a fraternal relation with the image of Edessa; and such is the veronica of Rome, or Spain, or Jerusalem, which Christ in his agony and bloody sweat applied to his face, and delivered to a holy matron.	true	573.38	587.86	15
2272_150674_000017_000014	The fruitful precedent was speedily transferred to the Virgin Mary, and the saints and martyrs.	The fruitful precedent was speedily transferred to the Virgin Mary, and the saints and martyrs.	true	588.02	593.08	17
2272_150674_000017_000015	In the church of Diospolis, in Palestine, the features of the Mother of God [13] were deeply inscribed in a marble column; the East and West have been decorated by the pencil of St. Luke; and the Evangelist, who was perhaps a physician, has been forced to exercise the occupation of a painter, so profane and odious in the eyes of the primitive Christians. The Olympian Jove, created by the muse of Homer and the chisel of Phidias, might inspire a philosophic mind with momentary devotion; but these Catholic images were faintly and flatly delineated by monkish artists in the last degeneracy of taste and genius.	In the church of Diospolis, in Palestine, the features of the Mother of God [thirteen] were deeply inscribed in a marble column; the East and West have been decorated by the pencil of saint Luke; and the Evangelist, who was perhaps a physician, has been forced to exercise the occupation of a painter, so profane and odious in the eyes of the primitive Christians. The Olympian Jove, created by the muse of Homer and the chisel of Phidias, might inspire a philosophic mind with momentary devotion; but these Catholic images were faintly and flatly delineated by monkish artists in the last degeneracy of taste and genius.	false	593.24	627.03	16
2272_150674_000017_000016	[14]	[fourteen]	false	627.03	627.33	5
2272_150674_000018_000000	[Footnote 7: After removing some rubbish of miracle and inconsistency, it may be allowed, that as late as the year 300, Paneas in Palestine was decorated with a bronze statue, representing a grave personage wrapped in a cloak, with a grateful or suppliant female kneeling before him, and that an inscription was perhaps inscribed on the pedestal.	[Footnote seven: After removing some rubbish of miracle and inconsistency, it may be allowed, that as late as the year three hundred, Paneas in Palestine was decorated with a bronze statue, representing a grave personage wrapped in a cloak, with a grateful or suppliant female kneeling before him, and that an inscription was perhaps inscribed on the pedestal.	false	627.33	645.72	21
2272_150674_000018_000001	By the Christians, this group was foolishly explained of their founder and the poor woman whom he had cured of the bloody flux, (Euseb. vii.	By the Christians, this group was foolishly explained of their founder and the poor woman whom he had cured of the bloody flux, (Euseb. vii.	false	645.72	653.61	20
2272_150674_000018_000002	18, Philostorg. vii.	eighteen, Philostorg. vii.	false	653.61	654.54	8
2272_150674_000018_000003	3, &c.) M. de Beausobre more reasonably conjectures the philosopher Apollonius, or the emperor Vespasian: in the latter supposition, the female is a city, a province, or perhaps the queen Berenice, (Bibliotheque Germanique, tom.	three, and c.) m de Beausobre more reasonably conjectures the philosopher Apollonius, or the emperor Vespasian: in the latter supposition, the female is a city, a province, or perhaps the queen Berenice, (Bibliotheque Germanique, tom.	false	654.54	664.62	16
2272_150674_000018_000004	xiii.	x i i i.	false	664.62	666.15	15
2272_150674_000018_000005	p. 1-92.)]	p. one to ninety two.)]	false	666.15	668.07	23.648346
2272_150674_000019_000000	[Footnote 8: Euseb.	[Footnote eight: Euseb.	false	668.07	669.21	17
2272_150674_000019_000001	Hist.	Hist.	false	669.21	669.6	14.948711
2272_150674_000019_000002	Eccles. l.	Eccles. l.	false	669.6	670.35	11
2272_150674_000019_000003	i.	i.	false	670.35	670.74	7
2272_150674_000019_000004	c.	c.	false	670.74	671.13	24
2272_150674_000019_000005	13.	thirteen.	false	671.13	671.505	8
2272_150674_000019_000006	The learned Assemannus has brought up the collateral aid of three Syrians, St. Ephrem, Josua Stylites, and James bishop of Sarug; but I do not find any notice of the Syriac original or the archives of Edessa, (Bibliot.	The learned Assemannus has brought up the collateral aid of three Syrians, st Ephrem, Josua Stylites, and james bishop of Sarug; but I do not find any notice of the Syriac original or the archives of Edessa, (Bibliot.	false	671.505	680.91	22
2272_150674_000019_000007	Orient.	Orient.	false	680.91	681.27	26
2272_150674_000019_000008	tom. i.	tom. i.	false	681.27	681.99	30.043695
2272_150674_000019_000009	p. 318, 420, 554;) their vague belief is probably derived from the Greeks.]	p. three hundred eighteen, four hundred twenty, five hundred fifty four winking face  their vague belief is probably derived from the Greeks.]	false	681.99	689.52	21
2272_150674_000020_000000	[Footnote 9: The evidence for these epistles is stated and rejected by the candid Lardner, (Heathen Testimonies, vol. i.	[Footnote nine: The evidence for these epistles is stated and rejected by the candid Lardner, (Heathen Testimonies, vol i.	false	689.52	695.67	14
2272_150674_000020_000001	p. 297-309.) Among the herd of bigots who are forcibly driven from this convenient, but untenable, post, I am ashamed, with the Grabes, Caves, Tillemonts, &c., to discover Mr. Addison, an English gentleman, (his Works, vol. i.	p. two hundred ninety seven to three hundred nine.) Among the herd of bigots who are forcibly driven from this convenient, but untenable, post, I am ashamed, with the Grabes, Caves, Tillemonts, and c., to discover mr Addison, an English gentleman, (his Works, vol i.	false	695.67	709.14	19.973131
2272_150674_000020_000002	p. 528, Baskerville's edition;) but his superficial tract on the Christian religion owes its credit to his name, his style, and the interested applause of our clergy.]	p. five hundred twenty eight, Baskerville's edition winking face  but his superficial tract on the Christian religion owes its credit to his name, his style, and the interested applause of our clergy.]	false	709.14	716.73	16
2272_150674_000021_000000	[Footnote 10: From the silence of James of Sarug, (Asseman.	[Footnote ten: From the silence of james of Sarug, (Asseman.	false	716.73	719.91	21
2272_150674_000021_000001	Bibliot. Orient.	Bibliot. Orient.	false	719.91	720.57	100
2272_150674_000021_000002	p. 289, 318,) and the testimony of Evagrius, (Hist.	p. two hundred eighty nine, three hundred eighteen,) and the testimony of Evagrius, (Hist.	false	720.57	724.95	17
2272_150674_000021_000003	Eccles.	Eccles.	false	724.95	725.28	-20
2272_150674_000021_000004	l. iv.	l. i v.	false	725.28	726.27	10
2272_150674_000021_000005	c.	c.	false	726.27	726.6	9
2272_150674_000021_000006	27,) I conclude that this fable was invented between the years 521 and 594, most probably after the siege of Edessa in 540, (Asseman. tom.	twenty seven,) I conclude that this fable was invented between the years five hundred twenty one and five hundred ninety four, most probably after the siege of Edessa in five hundred forty, (Asseman. tom.	false	726.6	735.09	17
2272_150674_000021_000007	i.	i.	false	735.09	735.21	16
2272_150674_000021_000008	p. 416.	p. four hundred sixteen.	false	735.21	735.69	7
2272_150674_000021_000009	Procopius, de Bell.	Procopius, de Bell.	false	735.69	736.05	25.308393
2272_150674_000021_000010	Persic. l.	Persic. l.	false	736.05	736.29	16
2272_150674_000021_000011	ii.) It is the sword and buckler of, Gregory II., (in Epist. i.	ii.) It is the sword and buckler of, Gregory the second., (in Epist. i.	false	736.29	739.17	14
2272_150674_000021_000012	ad.	ad.	false	739.17	739.38	23
2272_150674_000021_000013	Leon.	Leon.	false	739.38	739.62	7
2272_150674_000021_000014	Isaur.	Isaur.	false	739.62	739.83	9
2272_150674_000021_000015	Concil.	Concil.	false	739.83	740.07	-4
2272_150674_000021_000016	tom. viii.	tom. viii.	false	740.07	740.52	21.230505
2272_150674_000021_000017	p. 656, 657,) of John Damascenus, (Opera, tom.	p. six hundred fifty six, six hundred fifty seven,) of john Damascenus, (Opera, tom.	false	740.52	744.15	13
2272_150674_000021_000018	i.	i.	false	744.15	744.54	11
2272_150674_000021_000019	p. 281, edit. Lequien,) and of the second Nicene Council, (Actio v.	p. two hundred eighty one, edit. Lequien,) and of the second Nicene Council, (Actio v.	false	744.54	750.18	22.995306
2272_150674_000021_000020	p. 1030.) The most perfect edition may be found in Cedrenus, (Compend.	p. ten thirty.) The most perfect edition may be found in Cedrenus, (Compend.	false	750.18	754.38	16
