7910_80534_000003_000000	CHAPTER XXVII	CHAPTER twenty seven
7910_80534_000031_000000	'Well, well; it do want to cool a bit.	'Well, well; it do want to cool a bit.
7910_80534_000031_000001	Do you feel able to sit up?'	Do you feel able to sit up?'
7910_80534_000032_000000	'Yes.	'Yes.
7910_80534_000032_000001	Don't take so much trouble, father.	Don't take so much trouble, father.
7910_80534_000032_000002	I'd rather you left me alone.'	I'd rather you left me alone.'
7910_80534_000033_000000	The tone was not exactly impatient; it spoke a weary indifference to everything and every person.	The tone was not exactly impatient; it spoke a weary indifference to everything and every person.
7910_80534_000034_000000	'Yes, I'll go away, dear.	'Yes, I'll go away, dear.
7910_80534_000034_000001	But you'll eat just a bit?	But you'll eat just a bit?
7910_80534_000034_000002	If you don't like this, you must tell me, and I'll get something you could fancy.'	If you don't like this, you must tell me, and I'll get something you could fancy.'
7910_80534_000035_000000	'It'll do well enough.	'It'll do well enough.
7910_80534_000035_000001	I'll eat it presently; I promise you.'	I'll eat it presently; I promise you.'
7910_80534_000036_000000	John hesitated before going.	john hesitated before going.
7910_80534_000037_000000	'Clara--shall you mind Amy and Annie comin' to sleep here?	'Clara-shall you mind Amy and Annie comin' to sleep here?
7910_80534_000037_000001	If you'd rather, we'll manage it somehow else.'	If you'd rather, we'll manage it somehow else.'
7910_80534_000038_000000	'No.	'no
7910_80534_000038_000001	What does it matter?	What does it matter?
7910_80534_000038_000002	They can come when they like, only they mustn't want me to talk to them.'	They can come when they like, only they mustn't want me to talk to them.'
7910_80534_000039_000000	He went softly from the room, and joined the children at their tea.	He went softly from the room, and joined the children at their tea.
7910_80534_000039_000003	Overcome at first by the dark aspect of this home-coming, he now began to taste the joy of having Clara under his roof, rescued alike from those vague dangers of the past and from the recent peril.	Overcome at first by the dark aspect of this home coming, he now began to taste the joy of having Clara under his roof, rescued alike from those vague dangers of the past and from the recent peril.
7910_80534_000039_000004	Impossible to separate the sorrow he felt for her blighted life, her broken spirit, and the solace lurking in the thought that henceforth she could not abandon him.	Impossible to separate the sorrow he felt for her blighted life, her broken spirit, and the solace lurking in the thought that henceforth she could not abandon him.
7910_80534_000039_000005	Never a word to reproach her for the unalterable; it should be as though there were no gap between the old love and its renewal in the present.	Never a word to reproach her for the unalterable; it should be as though there were no gap between the old love and its renewal in the present.
7910_80534_000039_000006	For Clara used to love him, and already she had shown that his tenderness did not appeal to her in vain; during the journey she had once or twice pressed his hand in gratitude.	For Clara used to love him, and already she had shown that his tenderness did not appeal to her in vain; during the journey she had once or twice pressed his hand in gratitude.
7910_80534_000039_000007	How well it was that he had this home in which to receive her!	How well it was that he had this home in which to receive her!
7910_80534_000039_000008	Half a year ago, and what should he have done?	Half a year ago, and what should he have done?
7910_80534_000039_000009	He would not admit to himself that there were any difficulties ahead; if it came to that, he would manage to get some extra work in the evening and on Saturday afternoons.	He would not admit to himself that there were any difficulties ahead; if it came to that, he would manage to get some extra work in the evening and on Saturday afternoons.
7910_80534_000039_000010	He would take Sidney into council.	He would take Sidney into council.
7910_80534_000039_000011	But thereupon his face darkened again, and he lost himself in troubled musing.	But thereupon his face darkened again, and he lost himself in troubled musing.
7910_80534_000040_000002	Clara sat by the fireside, in her attitude of last night, hiding her face as far as she was able.	Clara sat by the fireside, in her attitude of last night, hiding her face as far as she was able.
7910_80534_000040_000003	The beauty of her form would have impressed anyone who approached her, the grace of her bent head; but the countenance was no longer that of Clara Hewett; none must now look at her, unless to pity. Feeling herself thus utterly changed, she could not speak in her former natural voice; her utterance was oppressed, unmusical, monotonous.	The beauty of her form would have impressed anyone who approached her, the grace of her bent head; but the countenance was no longer that of Clara Hewett; none must now look at her, unless to pity. Feeling herself thus utterly changed, she could not speak in her former natural voice; her utterance was oppressed, unmusical, monotonous.
7910_80534_000041_000000	When her father had taken a place near her she asked him, 'Have you got that piece of newspaper still?'	When her father had taken a place near her she asked him, 'Have you got that piece of newspaper still?'
7910_80534_000042_000000	He had, and at her wish produced it.	He had, and at her wish produced it.
7910_80534_000042_000001	Clara held it in the light of the fire, and regarded the pencilled words closely.	Clara held it in the light of the fire, and regarded the pencilled words closely.
7910_80534_000042_000003	Hewett took her hand, and for a while they kept silence.	Hewett took her hand, and for a while they kept silence.
7910_80534_000043_000000	'Do you live comfortably here, father?' she said presently.	'Do you live comfortably here, father?' she said presently.
7910_80534_000044_000000	'We do, Clara.	'We do, Clara.
7910_80534_000044_000001	It's a bit high up, but that don't matter much.'	It's a bit high up, but that don't matter much.'
7910_80534_000045_000000	'You've got new furniture.'	'You've got new furniture.'
7910_80534_000046_000000	'Yes, some new things.	'Yes, some new things.
7910_80534_000046_000001	The old was all done for, you know.'	The old was all done for, you know.'
7910_80534_000047_000000	'And where did you live before you came here?'	'And where did you live before you came here?'
7910_80534_000048_000000	'Oh, we had a place in King's Cross Road--it wasn't much of a place, but I suppose it might a' been worse.'	'Oh, we had a place in King's Cross Road-it wasn't much of a place, but I suppose it might a' been worse.'
7910_80534_000049_000000	'And that was where--?'	'And that was where-?'
7910_80534_000050_000000	'Yes--yes--it was there.'	'Yes-yes-it was there.'
7910_80534_000051_000000	'And how did you manage to buy this furniture?' Clara asked, after a pause.	'And how did you manage to buy this furniture?' Clara asked, after a pause.
7910_80534_000052_000000	'Well, my dear, to tell you the truth--it was a friend as--an old friend helped us a bit.'	'Well, my dear, to tell you the truth-it was a friend as-an old friend helped us a bit.'
7910_80534_000053_000000	'You wouldn't care to say who it was?'	'You wouldn't care to say who it was?'
7910_80534_000054_000000	John was gravely embarrassed.	john was gravely embarrassed.
7910_80534_000054_000001	Clara moved her head a little, so as to regard him, but at once turned away, shrinkingly, when she met his eyes.	Clara moved her head a little, so as to regard him, but at once turned away, shrinkingly, when she met his eyes.
7910_80534_000055_000000	'Why don't you like to tell me, father?	'Why don't you like to tell me, father?
7910_80534_000055_000001	Was it Mr. Kirkwood?'	Was it mr Kirkwood?'
7910_80534_000056_000000	'Yes, my dear, it was.'	'Yes, my dear, it was.'
7910_80534_000057_000000	Neither spoke for a long time.	Neither spoke for a long time.
7910_80534_000057_000001	Clara's head sank lower; she drew her hand away from her father's, and used it to shield her face.	Clara's head sank lower; she drew her hand away from her father's, and used it to shield her face.
7910_80534_000057_000002	When she spoke, it was as if to herself.	When she spoke, it was as if to herself.
7910_80534_000058_000000	'I suppose he's altered in some ways?'	'I suppose he's altered in some ways?'
7910_80534_000059_000000	'Not much; I don't see much change, myself, but then of course-- No, he's pretty much the same.'	'Not much; I don't see much change, myself, but then of course- No, he's pretty much the same.'
7910_80534_000060_000000	'He's married, isn't he?	'He's married, isn't he?
7910_80534_000061_000001	Why, what made you think that.	Why, what made you think that.
7910_80534_000061_000002	Clara?	Clara?
7910_80534_000061_000003	No, not he.	No, not he.
7910_80534_000061_000004	He had to move not long ago; his lodgin's is in Red Lion Street now.'	He had to move not long ago; his lodgin's is in Red Lion Street now.'
7910_80534_000062_000000	'And does he ever come here?'	'And does he ever come here?'
7910_80534_000063_000000	'He has been--just now an' then.'	'He has been-just now an' then.'
7910_80534_000064_000000	'Have you told him?'	'Have you told him?'
7910_80534_000065_000000	'Why--yes, dear--I felt I had to.'	'Why-yes, dear-I felt I had to.'
7910_80534_000066_000000	'There's no harm.	'There's no harm.
7910_80534_000066_000001	You couldn't keep it a secret.	You couldn't keep it a secret.
7910_80534_000066_000002	But he mustn't come whilst I'm here; you understand that, father?'	But he mustn't come whilst I'm here; you understand that, father?'
7910_80534_000067_000001	He shall never come, if you don't wish it.'	He shall never come, if you don't wish it.'
7910_80534_000068_000000	'Only whilst I'm here.'	'Only whilst I'm here.'
7910_80534_000070_000000	'Oh no! Do you think I'm going to burden you all the rest of my life?	'Oh no! Do you think I'm going to burden you all the rest of my life?
7910_80534_000070_000001	I shall find some way of earning a living, and then I shall go and get a room for myself.'	I shall find some way of earning a living, and then I shall go and get a room for myself.'
7910_80534_000071_000000	'Now don't--now don't talk like that!' exclaimed her father, putting his hand on her.	'Now don't-now don't talk like that!' exclaimed her father, putting his hand on her.
7910_80534_000071_000001	'You shall do what else you like, my girl, but don't talk about goin' away from me.	'You shall do what else you like, my girl, but don't talk about goin' away from me.
7910_80534_000071_000002	That's the one thing as I couldn't bear. I ain't so young as I was, and I've had things as was hard to go through--I mean when the mother died and--and other things at that time.	That's the one thing as I couldn't bear. I ain't so young as I was, and I've had things as was hard to go through-I mean when the mother died and-and other things at that time.
7910_80534_000071_000003	Let you an' me stay by each other whilst we may, my girl.	Let you an' me stay by each other whilst we may, my girl.
7910_80534_000071_000005	You won't speak about goin' away?'	You won't speak about goin' away?'
7910_80534_000072_000000	She remained mute.	She remained mute.
7910_80534_000072_000001	Shadows from the firelight rose and fell upon the walls of the half-darkened room.	Shadows from the firelight rose and fell upon the walls of the half darkened room.
7910_80534_000073_000000	'If you went,' he continued, huskily, 'I should be afraid myself.	'If you went,' he continued, huskily, 'I should be afraid myself.
7910_80534_000073_000001	I haven't told you.	I haven't told you.
7910_80534_000073_000003	I've broke myself off that; but if you was to leave me--I've had hard things to go through.	I've broke myself off that; but if you was to leave me-I've had hard things to go through.
7910_80534_000073_000004	Do you know the Burial Club broke up just before she died?	Do you know the Burial Club broke up just before she died?
7910_80534_000073_000005	I couldn't get not a ha'penny!	I couldn't get not a ha'penny!
7910_80534_000073_000007	You may think how I felt, Clara, with her lyin' there, and I hadn't got as much as would pay for a coffin.	You may think how I felt, Clara, with her lyin' there, and I hadn't got as much as would pay for a coffin.
7910_80534_000073_000008	It was Sidney Kirkwood found the money--he did!	It was Sidney Kirkwood found the money-he did!
7910_80534_000073_000010	Things is better with me now, but I'd rather beg my bread in the streets than you should go away.	Things is better with me now, but I'd rather beg my bread in the streets than you should go away.
7910_80534_000073_000011	Don't be afraid, my dearest.	Don't be afraid, my dearest.
7910_80534_000073_000012	I promise you nobody shan't come near.	I promise you nobody shan't come near.
7910_80534_000073_000013	You won't mind Mrs. Eagles; she's very good to the children.	You won't mind mrs Eagles; she's very good to the children.
