6550_53320_000005_000001	BURTON'S ANATOMY OF MELANCHOLY.	BURTON'S ANATOMY OF MELANCHOLY.
6550_53320_000012_000004	What was formerly a ponderous history, revives in the shape of a romance--an old legend changes into a modern play--and a sober philosophical treatise furnishes the body for a whole series of bouncing and sparkling essays.	What was formerly a ponderous history, revives in the shape of a romance-an old legend changes into a modern play-and a sober philosophical treatise furnishes the body for a whole series of bouncing and sparkling essays.
6550_53320_000012_000005	Thus it is in the clearing of our American woodlands; where we burn down a forest of stately pines, a progeny of dwarf oaks start up in their place; and we never see the prostrate trunk of a tree mouldering into soil, but it gives birth to a whole tribe of fungi.	Thus it is in the clearing of our American woodlands; where we burn down a forest of stately pines, a progeny of dwarf oaks start up in their place; and we never see the prostrate trunk of a tree mouldering into soil, but it gives birth to a whole tribe of fungi.
6550_53320_000013_000000	Let us not then, lament over the decay and oblivion into which ancient writers descend; they do but submit to the great law of Nature, which declares that all sublunary shapes of matter shall be limited in their duration, but which decrees, also, that their element shall never perish.	Let us not then, lament over the decay and oblivion into which ancient writers descend; they do but submit to the great law of Nature, which declares that all sublunary shapes of matter shall be limited in their duration, but which decrees, also, that their element shall never perish.
6550_53320_000013_000001	Generation after generation, both in animal and vegetable life, passes away, but the vital principle is transmitted to posterity, and the species continue to flourish.	Generation after generation, both in animal and vegetable life, passes away, but the vital principle is transmitted to posterity, and the species continue to flourish.
6550_53320_000013_000002	Thus, also, do authors beget authors, and having produced a numerous progeny, in a good old age they sleep with their fathers, that is to say, with the authors who preceded them--and from whom they had stolen.	Thus, also, do authors beget authors, and having produced a numerous progeny, in a good old age they sleep with their fathers, that is to say, with the authors who preceded them-and from whom they had stolen.
6550_53320_000014_000003	I dreamt that the chamber was still decorated with the portraits of ancient authors, but that the number was increased.	I dreamt that the chamber was still decorated with the portraits of ancient authors, but that the number was increased.
6550_53320_000014_000004	The long tables had disappeared, and, in place of the sage magi, I beheld a ragged, threadbare throng, such as may be seen plying about the great repository of cast-off clothes, Monmouth Street.	The long tables had disappeared, and, in place of the sage magi, I beheld a ragged, threadbare throng, such as may be seen plying about the great repository of cast off clothes, Monmouth Street.
6550_53320_000014_000005	Whenever they seized upon a book, by one of those incongruities common to dreams, methought it turned into a garment of foreign or antique fashion, with which they proceeded to equip themselves.	Whenever they seized upon a book, by one of those incongruities common to dreams, methought it turned into a garment of foreign or antique fashion, with which they proceeded to equip themselves.
6550_53320_000014_000006	I noticed, however, that no one pretended to clothe himself from any particular suit, but took a sleeve from one, a cape from another, a skirt from a third, thus decking himself out piecemeal, while some of his original rags would peep out from among his borrowed finery.	I noticed, however, that no one pretended to clothe himself from any particular suit, but took a sleeve from one, a cape from another, a skirt from a third, thus decking himself out piecemeal, while some of his original rags would peep out from among his borrowed finery.
6550_53320_000015_000000	There was a portly, rosy, well-fed parson, whom I observed ogling several mouldy polemical writers through an eyeglass.	There was a portly, rosy, well fed parson, whom I observed ogling several mouldy polemical writers through an eyeglass.
6550_53320_000016_000001	Some, too, seemed to contemplate the costumes of the old writers, merely to imbibe their principles of taste, and to catch their air and spirit; but I grieve to say, that too many were apt to array themselves, from top to toe, in the patchwork manner I have mentioned.	Some, too, seemed to contemplate the costumes of the old writers, merely to imbibe their principles of taste, and to catch their air and spirit; but I grieve to say, that too many were apt to array themselves, from top to toe, in the patchwork manner I have mentioned.
6550_53320_000016_000003	He had decked himself in wreaths and ribbons from all the old pastoral poets, and, hanging his head on one side, went about with a fantastical, lackadaisical air, "babbling about green field." But the personage that most struck my attention was a pragmatical old gentleman in clerical robes, with a remarkably large and square but bald head.	He had decked himself in wreaths and ribbons from all the old pastoral poets, and, hanging his head on one side, went about with a fantastical, lackadaisical air, "babbling about green field." But the personage that most struck my attention was a pragmatical old gentleman in clerical robes, with a remarkably large and square but bald head.
6550_53320_000016_000004	He entered the room wheezing and puffing, elbowed his way through the throng with a look of sturdy self-confidence, and, having laid hands upon a thick Greek quarto, clapped it upon his head, and swept majestically away in a formidable frizzled wig.	He entered the room wheezing and puffing, elbowed his way through the throng with a look of sturdy self confidence, and, having laid hands upon a thick Greek quarto, clapped it upon his head, and swept majestically away in a formidable frizzled wig.
6550_53320_000017_000000	In the height of this literary masquerade, a cry suddenly resounded from every side, of "Thieves! thieves!" I looked, and lo! the portraits about the walls became animated!	In the height of this literary masquerade, a cry suddenly resounded from every side, of "Thieves! thieves!" I looked, and lo! the portraits about the walls became animated!
6550_53320_000017_000001	The old authors thrust out, first a head, then a shoulder, from the canvas, looked down curiously for an instant upon the motley throng, and then descended, with fury in their eyes, to claim their rifled property.	The old authors thrust out, first a head, then a shoulder, from the canvas, looked down curiously for an instant upon the motley throng, and then descended, with fury in their eyes, to claim their rifled property.
6550_53320_000017_000002	The scene of scampering and hubbub that ensued baffles all description.	The scene of scampering and hubbub that ensued baffles all description.
6550_53320_000017_000003	The unhappy culprits endeavored in vain to escape with their plunder.	The unhappy culprits endeavored in vain to escape with their plunder.
6550_53320_000017_000004	On one side might be seen half a dozen old monks, stripping a modern professor; on another, there was sad devastation carried into the ranks of modern dramatic writers.	On one side might be seen half a dozen old monks, stripping a modern professor; on another, there was sad devastation carried into the ranks of modern dramatic writers.
6550_53320_000017_000005	Beaumont and Fletcher, side by side, raged round the field like Castor and Pollux, and sturdy Ben Jonson enacted more wonders than when a volunteer with the army in Flanders.	Beaumont and Fletcher, side by side, raged round the field like Castor and Pollux, and sturdy Ben Jonson enacted more wonders than when a volunteer with the army in Flanders.
6550_53320_000017_000006	As to the dapper little compiler of farragos mentioned some time since, he had arrayed himself in as many patches and colors as harlequin, and there was as fierce a contention of claimants about him, as about the dead body of Patroclus.	As to the dapper little compiler of farragos mentioned some time since, he had arrayed himself in as many patches and colors as harlequin, and there was as fierce a contention of claimants about him, as about the dead body of Patroclus.
6550_53320_000017_000008	They were close upon his haunches; in a twinkling off went his wig; at every turn some strip of raiment was peeled away, until in a few moments, from his domineering pomp, he shrunk into a little, pursy, "chopp'd bald shot," and made his exit with only a few tags and rags fluttering at his back.	They were close upon his haunches; in a twinkling off went his wig; at every turn some strip of raiment was peeled away, until in a few moments, from his domineering pomp, he shrunk into a little, pursy, "chopp'd bald shot," and made his exit with only a few tags and rags fluttering at his back.
6550_53320_000018_000000	There was something so ludicrous in the catastrophe of this learned Theban that I burst into an immoderate fit of laughter, which broke the whole illusion.	There was something so ludicrous in the catastrophe of this learned Theban that I burst into an immoderate fit of laughter, which broke the whole illusion.
6550_53320_000018_000001	The tumult and the scuffle were at an end.	The tumult and the scuffle were at an end.
6550_53320_000018_000003	The old authors shrunk back into their picture-frames, and hung in shadowy solemnity along the walls.	The old authors shrunk back into their picture frames, and hung in shadowy solemnity along the walls.
6550_53320_000018_000004	In short, I found myself wide awake in my corner, with the whole assemblage of hookworms gazing at me with astonishment.	In short, I found myself wide awake in my corner, with the whole assemblage of hookworms gazing at me with astonishment.
6550_53320_000018_000005	Nothing of the dream had been real but my burst of laughter, a sound never before heard in that grave sanctuary, and so abhorrent to the ears of wisdom, as to electrify the fraternity.	Nothing of the dream had been real but my burst of laughter, a sound never before heard in that grave sanctuary, and so abhorrent to the ears of wisdom, as to electrify the fraternity.
6550_53320_000019_000001	At first I did not comprehend him, but I soon found that the library was a kind of literary "preserve," subject to game-laws, and that no one must presume to hunt there without special license and permission.	At first I did not comprehend him, but I soon found that the library was a kind of literary "preserve," subject to game laws, and that no one must presume to hunt there without special license and permission.
