7011_66622_000000_000000	CHAPTER VIII	CHAPTER eight	true	19.695	20.71	29.301453
7011_66622_000012_000003	More swiftly than Mukoki the Indian youth sped across the lake and to the summit of the hill.	More swiftly than Mukoki the Indian youth sped across the lake and to the summit of the hill.	true	155.33	160.3	16
7011_66622_000012_000004	Mukoki had completely disappeared in the white, brilliant vastness of the wilderness that stretched away at his feet.	Mukoki had completely disappeared in the white, brilliant vastness of the wilderness that stretched away at his feet.	true	160.61	166.87	18
7011_66622_000013_000000	When Wabi returned to the cabin Rod had a fire roaring in the stove.	When w a b i returned to the cabin Rod had a fire roaring in the stove.	false	167.45	171.36	20
7011_66622_000013_000001	He seated himself beside it, holding out a pair of hands blue with cold.	He seated himself beside it, holding out a pair of hands blue with cold.	false	171.36	175.83	21.64518
7011_66622_000014_000000	"Ugh!	"Ugh!	false	175.83	177.24	15.641487
7011_66622_000014_000001	It's an awful night!" he shivered.	It's an awful night!" he shivered.	true	177.24	178.96	19
7011_66622_000015_000000	He laughed across at Rod, a little uneasily, but with the old light back in his eyes.	He laughed across at Rod, a little uneasily, but with the old light back in his eyes.	true	179.6	184.39	19.456135
7011_66622_000015_000001	Suddenly he asked:	Suddenly he asked:	true	184.67	186.07	17.611765
7011_66622_000016_000000	"Did Minnetaki ever tell you--anything--queer--about Mukoki, Rod?"	"Did Minnetaki ever tell you-anything-queer-about Mukoki, Rod?"	true	186.44	191.53	20.025124
7011_66622_000017_000000	"Nothing more than you have told me yourself."	"Nothing more than you have told me yourself."	true	192.62	195.01	18
7011_66622_000018_000000	"Well, once in a great while Mukoki has--not exactly a fit, but a little mad spell!	"Well, once in a great while Mukoki has-not exactly a fit, but a little mad spell!	true	195.83	202.51	21.634563
7011_66622_000018_000001	I have never determined to my own satisfaction whether he is really out of his head or not.	I have never determined to my own satisfaction whether he is really out of his head or not.	true	202.61	207.22	16
7011_66622_000018_000002	Sometimes I think he is and sometimes I think he is not.	Sometimes I think he is and sometimes I think he is not.	true	207.44	210.55	18
7011_66622_000018_000003	But the Indians at the Post believe that at certain times he goes crazy over wolves."	But the Indians at the Post believe that at certain times he goes crazy over wolves."	true	210.83	215.95	20
7011_66622_000019_000000	"Wolves!" exclaimed Rod.	"Wolves!" exclaimed Rod.	true	216.5	218.95	22.880384
7011_66622_000020_000000	"Yes, wolves.	"Yes, wolves.	true	219.14	220.245	22.21372
7011_66622_000020_000001	And he has good reason.	And he has good reason.	true	220.245	221.5	21.901793
7011_66622_000020_000002	A good many years ago, just about when you and I were born, Mukoki had a wife and child.	A good many years ago, just about when you and I were born, Mukoki had a wife and child.	true	221.78	226.57	18
7011_66622_000020_000003	My mother and others at the Post say that he was especially gone over the kid.	My mother and others at the Post say that he was especially gone over the kid.	false	226.61	230.34	19
7011_66622_000020_000004	He wouldn't hunt like other Indians, but would spend whole days at his shack playing with it and teaching it to do things; and when he did go hunting he would often tote it on his back, even when it wasn't much more than a squalling papoose.	He wouldn't hunt like other Indians, but would spend whole days at his shack playing with it and teaching it to do things; and when he did go hunting he would often tote it on his back, even when it wasn't much more than a squalling papoose.	false	230.34	242.8	20.34744
7011_66622_000020_000005	He was the happiest Indian at the Post, and one of the poorest.	He was the happiest Indian at the Post, and one of the poorest.	true	243.44	246.67	22.290272
7011_66622_000020_000006	One day Mukoki came to the Post with a little bundle of fur, and most of the things he got in exchange for it, mother says, were for the kid.	One day Mukoki came to the Post with a little bundle of fur, and most of the things he got in exchange for it, mother says, were for the kid.	true	247.04	254.23	24
7011_66622_000020_000007	He reached the store at night and expected to leave for home the next noon, which would bring him to his camp before dark.	He reached the store at night and expected to leave for home the next noon, which would bring him to his camp before dark.	true	254.51	259.84	22
7011_66622_000020_000008	But something delayed him and he didn't get started until the morning after.	But something delayed him and he didn't get started until the morning after.	true	259.97	263.53	18
7011_66622_000020_000009	Meanwhile, late in the afternoon of the day when he was to have been home, his wife bundled up the kid and they set out to meet him.	Meanwhile, late in the afternoon of the day when he was to have been home, his wife bundled up the kid and they set out to meet him.	true	263.9	270.16	19
7011_66622_000020_000010	Well--"	Well-"	true	270.35	270.97	21.794735
7011_66622_000021_000000	A weird howl from the captive wolf interrupted Wabi for a moment.	A weird howl from the captive wolf interrupted w a b i for a moment.	false	271.16	275.14	21
7011_66622_000022_000000	"Well, they went on and on, and of course did not meet him.	"Well, they went on and on, and of course did not meet him.	true	275.42	278.83	18.223295
7011_66622_000022_000001	And then, the people at the Post say, the mother must have slipped and hurt herself.	And then, the people at the Post say, the mother must have slipped and hurt herself.	true	279.29	283.87	21
7011_66622_000022_000002	Anyway, when Mukoki came over the trail the next day he found them half eaten by wolves.	Anyway, when Mukoki came over the trail the next day he found them half eaten by wolves.	true	283.94	288.79	17
7011_66622_000022_000003	From that day on Mukoki was a different Indian.	From that day on Mukoki was a different Indian.	true	289.04	291.49	17
7011_66622_000022_000004	He became the greatest wolf hunter in all these regions.	He became the greatest wolf hunter in all these regions.	true	291.8	294.7	17
7011_66622_000022_000005	Soon after the tragedy he came to the Post to live and since then he has not left Minnetaki and me.	Soon after the tragedy he came to the Post to live and since then he has not left Minnetaki and me.	true	294.92	300.34	15
7011_66622_000022_000006	Once in a great while when the night is just right, when the moon is shining and it is bitter cold, Mukoki seems to go a little mad.	Once in a great while when the night is just right, when the moon is shining and it is bitter cold, Mukoki seems to go a little mad.	false	301.07	308.89	16
7011_66622_000022_000007	He calls this a 'wolf night.' No one can stop him from going out; no one can get him to talk; he will allow no one to accompany him when in such a mood.	He calls this a 'wolf night.' No one can stop him from going out; no one can get him to talk; he will allow no one to accompany him when in such a mood.	true	309.11	318.13	20.500458
7011_66622_000022_000008	He will walk miles and miles to-night.	He will walk miles and miles to night.	true	318.38	320.715	19
7011_66622_000022_000009	But he will come back.	But he will come back.	true	320.715	322.03	27.152887
7011_66622_000022_000010	And when he returns he will be as sane as you and I, and if you ask him where he has been he will say that he went out to see if he could get a shot at something."	And when he returns he will be as sane as you and I, and if you ask him where he has been he will say that he went out to see if he could get a shot at something."	false	322.28	329.59	17
7011_66622_000023_000000	Rod had listened in rapt attention.	Rod had listened in rapt attention.	true	330.8	332.98	18
7011_66622_000023_000001	To him, as Wabi proceeded with his story of the tragedy in Mukoki's life, the old Indian was transformed into another being.	To him, as w a b i proceeded with his story of the tragedy in Mukoki's life, the old Indian was transformed into another being.	false	333.32	340.84	17
7011_66622_000023_000002	No longer was he a mere savage reclaimed a little from the wilderness.	No longer was he a mere savage reclaimed a little from the wilderness.	true	341.27	345.19	16
7011_66622_000023_000003	There had sprung up in Rod's breast a great, human, throbbing sympathy for him, and in the dim candle-glow his eyes glistened with a dampness which he made no attempt to conceal.	There had sprung up in Rod's breast a great, human, throbbing sympathy for him, and in the dim candle glow his eyes glistened with a dampness which he made no attempt to conceal.	true	345.62	355.48	18
7011_66622_000024_000000	"What does Mukoki mean by 'wolf night'?" he asked.	"What does Mukoki mean by 'wolf night'?" he asked.	true	356.36	359.92	24.078571
7011_66622_000025_000000	"Muky is a wizard when it comes to hunting wolves," Wabi went on.	"Muky is a wizard when it comes to hunting wolves," w a b i went on.	false	360.8	364.42	17
7011_66622_000025_000001	"He has studied them and thought of them every day of his life for nearly twenty years.	"He has studied them and thought of them every day of his life for nearly twenty years.	true	364.88	369.46	17
7011_66622_000025_000002	He knows more about wolves than all the rest of the hunters in this country together.	He knows more about wolves than all the rest of the hunters in this country together.	true	369.74	373.87	19
7011_66622_000025_000003	He can catch them in every trap he sets, which no other trapper in the world can do; he can tell you a hundred different things about a certain wolf simply by its track, and because of his wonderful knowledge he can tell, by some instinct that is almost supernatural, when a 'wolf night' comes.	He can catch them in every trap he sets, which no other trapper in the world can do; he can tell you a hundred different things about a certain wolf simply by its track, and because of his wonderful knowledge he can tell, by some instinct that is almost supernatural, when a 'wolf night' comes.	true	374.06	390.94	20
7011_66622_000025_000004	Something in the air to-night, something in the sky--in the moon--in the very way the wilderness looks, tells him that stray wolves in the plains and hills are 'packing' or banding together to-night, and that in the morning the sun will be shining, and they will be on the sunny sides of the mountains.	Something in the air to night, something in the sky-in the moon-in the very way the wilderness looks, tells him that stray wolves in the plains and hills are 'packing' or banding together to night, and that in the morning the sun will be shining, and they will be on the sunny sides of the mountains.	true	391.28	406.93	20
7011_66622_000025_000005	See if I am not right.	See if I am not right.	false	407.03	408.46	21.391092
7011_66622_000025_000006	To-morrow night, if Mukoki comes back by then, we shall have some exciting sport with the wolves, and then you will see how Wolf out there does his work!"	To morrow night, if Mukoki comes back by then, we shall have some exciting sport with the wolves, and then you will see how Wolf out there does his work!"	true	408.77	416.86	23
7011_66622_000026_000000	There followed several minutes of silence.	There followed several minutes of silence.	true	418.37	420.79	21.026909
7011_66622_000026_000001	The fire roared up the chimney, the stove glowed red hot and the boys sat and looked and listened.	The fire roared up the chimney, the stove glowed red hot and the boys sat and looked and listened.	false	421.1	426.91	21.079683
7011_66622_000026_000002	Rod took out his watch.	Rod took out his watch.	true	427.25	428.79	22.667631
7011_66622_000026_000003	It lacked only ten minutes of midnight.	It lacked only ten minutes of midnight.	true	428.79	430.93	23
7011_66622_000026_000004	Yet neither seemed possessed with a desire to return to their interrupted sleep.	Yet neither seemed possessed with a desire to return to their interrupted sleep.	true	431	436.06	21.314789
7011_66622_000027_000000	"Wolf is a curious beast," mused Wabi softly.	"Wolf is a curious beast," mused w a b i softly.	false	436.28	439.39	19.933805
7011_66622_000027_000001	"You might think he was a sneaking, traitorous cur of a wolf to turn against his own breed and lure them to death.	"You might think he was a sneaking, traitorous cur of a wolf to turn against his own breed and lure them to death.	true	439.85	445.87	18
7011_66622_000027_000002	But he isn't.	But he isn't.	true	446.06	447.07	18.812214
7011_66622_000027_000003	Wolf, as well as Mukoki, has good cause for what he does.	Wolf, as well as Mukoki, has good cause for what he does.	true	447.41	450.64	20
7011_66622_000027_000004	You might call it animal vengeance.	You might call it animal vengeance.	true	450.8	452.92	21.211527
7011_66622_000027_000005	Did you ever notice that a half of one of his ears is gone?	Did you ever notice that a half of one of his ears is gone?	false	453.29	456.13	17
7011_66622_000027_000006	And if you thrust back his head you will find a terrible sear in his throat, and from his left side just back of the fore leg a chunk of flesh half as big as my hand has been torn away.	And if you thrust back his head you will find a terrible sear in his throat, and from his left side just back of the fore leg a chunk of flesh half as big as my hand has been torn away.	true	456.32	465.55	17
7011_66622_000027_000007	We caught Wolf in a lynx trap, Mukoki and I. He wasn't much more than a whelp then--about six months old, Mukoki said. And while he was in the trap, helpless and unable to defend himself, three or four of his lovely tribe jumped upon him and tried to kill him for breakfast.	We caught Wolf in a lynx trap, Mukoki and i He wasn't much more than a whelp then-about six months old, Mukoki said. And while he was in the trap, helpless and unable to defend himself, three or four of his lovely tribe jumped upon him and tried to kill him for breakfast.	true	466.01	481.99	22.577898
7011_66622_000027_000008	We hove in sight just in time to drive the cannibals off. We kept Wolf, sewed up his side and throat, tamed him--and to-morrow night you will see how Mukoki has taught him to get even with his people."	We hove in sight just in time to drive the cannibals off. We kept Wolf, sewed up his side and throat, tamed him-and to morrow night you will see how Mukoki has taught him to get even with his people."	true	482.12	492.94	23.832989
7011_66622_000028_000000	It was two hours later when Rod and Wabigoon extinguished the candles and returned to their blankets.	It was two hours later when Rod and Wabigoon extinguished the candles and returned to their blankets.	true	494.48	499.69	21
7011_66622_000028_000001	And for another hour after that the former found it impossible to sleep.	And for another hour after that the former found it impossible to sleep.	true	499.76	503.86	23.597952
7011_66622_000028_000002	He wondered where Mukoki was--wondered what he was doing, and how in his strange madness he found his way in the trackless wilderness.	He wondered where Mukoki was-wondered what he was doing, and how in his strange madness he found his way in the trackless wilderness.	false	504.08	511.33	21.527636
7011_66622_000029_000000	When he finally fell asleep it was to dream of the Indian mother and her child; only after a little there was no child, and the woman changed into Minnetaki, and the ravenous wolves into men.	When he finally fell asleep it was to dream of the Indian mother and her child; only after a little there was no child, and the woman changed into Minnetaki, and the ravenous wolves into men.	true	511.94	522.85	21.429659
7011_66622_000029_000001	From this unpleasant picture he was aroused by a series of prods in his side, and opening his eyes he beheld Wabi in his blankets a yard away, pointing over and beyond him and nodding his head.	From this unpleasant picture he was aroused by a series of prods in his side, and opening his eyes he beheld w a b i in his blankets a yard away, pointing over and beyond him and nodding his head.	false	523.34	533.77	22.691105
7011_66622_000029_000002	Rod looked, and caught his breath.	Rod looked, and caught his breath.	true	534.11	536.05	25.169899
7011_66622_000030_000000	There was Mukoki--peeling potatoes!	There was Mukoki-peeling potatoes!	true	536.18	538.48	28.12302
7011_66622_000031_000000	"Hello, Muky!" he shouted.	"Hello, Muky!" he shouted.	true	539.39	541.48	30.653519
7011_66622_000032_000000	The old Indian looked up with a grin.	The old Indian looked up with a grin.	true	542.3	544.36	23.521835
7011_66622_000032_000001	His face bore no signs of his mad night on the trail.	His face bore no signs of his mad night on the trail.	true	544.55	547.54	23
7011_66622_000032_000002	He nodded cheerfully and proceeded with the preparation of breakfast as though he had just risen from his blankets after a long night's rest.	He nodded cheerfully and proceeded with the preparation of breakfast as though he had just risen from his blankets after a long night's rest.	true	547.76	554.47	21.219334
7011_66622_000033_000000	"Better get up," he advised.	"Better get up," he advised.	true	555.56	557.145	25.754755
7011_66622_000033_000001	"Big day's hunt.	"Big day's hunt.	true	557.145	558.22	20.631933
7011_66622_000033_000002	Much fine sunshine to-day. Find wolves on mountain--plenty wolves!"	Much fine sunshine to day. Find wolves on mountain-plenty wolves!"	true	558.26	562.3	21.515942
7011_66622_000034_000000	The boys tumbled from their blankets and began dressing.	The boys tumbled from their blankets and began dressing.	true	562.79	565.48	21.828104
7011_66622_000035_000000	"What time did you get in?" asked Wabi.	"What time did you get in?" asked w a b i.	false	565.94	568.47	20.78677
7011_66622_000036_000000	"Now," replied Mukoki, pointing to the hot stove and the peeled potatoes.	"Now," replied Mukoki, pointing to the hot stove and the peeled potatoes.	false	568.47	572.89	25.252361
7011_66622_000036_000001	"Just make fire good."	"Just make fire good."	true	573.17	574.59	18.26569
7011_66622_000037_000000	Wabi gave Rod a suggestive look as the old Indian bent over the stove.	w a b i gave Rod a suggestive look as the old Indian bent over the stove.	false	574.59	579.58	19.93518
7011_66622_000038_000000	"What were you doing last night?" he questioned.	"What were you doing last night?" he questioned.	true	580.1	582.52	21.368624
7011_66622_000039_000000	"Big moon--might get shot," grunted Mukoki.	"Big moon-might get shot," grunted Mukoki.	true	582.89	585.76	23.197662
7011_66622_000039_000001	"See lynx on hill.	"See lynx on hill.	true	586.22	587.55	19.634722
7011_66622_000039_000002	See wolf-tracks on red deer trail.	See wolf tracks on red deer trail.	true	587.55	589.62	24.1233
7011_66622_000039_000003	No shot."	No shot."	true	589.62	590.5	23.625488
7011_66622_000040_000000	This was as much of the history of Mukoki's night on the trail as the boys could secure, but during their breakfast Wabi shot another glance at Rod, and as Mukoki left the table for a moment to close the damper in the stove he found an opportunity to whisper:	This was as much of the history of Mukoki's night on the trail as the boys could secure, but during their breakfast w a b i shot another glance at Rod, and as Mukoki left the table for a moment to close the damper in the stove he found an opportunity to whisper:	false	591.56	604.99	25.255545
7011_66622_000041_000000	"See if I'm not right.	"See if I'm not right.	true	605.36	606.96	25.179836
7011_66622_000041_000001	He will choose the mountain trail." When their companion returned, he said: "We had better split up this morning, hadn't we, Muky?	He will choose the mountain trail." When their companion returned, he said: "We had better split up this morning, hadn't we, Muky?	true	606.96	613.75	25.67391
7011_66622_000041_000002	It looks to me as though there are two mighty good lines for traps--one over the hill, where that creek leads off through the range of ridges to the east, and the other along the creek which runs through the hilly plains to the north.	It looks to me as though there are two mighty good lines for traps-one over the hill, where that creek leads off through the range of ridges to the east, and the other along the creek which runs through the hilly plains to the north.	false	613.82	624.67	22.082605
7011_66622_000041_000003	What do you think of it?"	What do you think of it?"	true	624.68	625.78	20.506907
7011_66622_000042_000000	"Good" agreed the old hunter.	"Good" agreed the old hunter.	false	627.08	628.11	20.004072
7011_66622_000042_000001	"You two go north--I take ridges."	"You two go north-I take ridges."	true	628.11	630.22	21.780207
7011_66622_000043_000000	"No, you and I will take the ridges and Wabi will go north alone," amended Rod quickly.	"No, you and I will take the ridges and w a b i will go north alone," amended Rod quickly.	false	630.89	635.26	17
7011_66622_000043_000001	"I'm going with you, Mukoki!"	"I'm going with you, Mukoki!"	true	635.39	636.94	20.484974
7011_66622_000044_000000	Mukoki, who was somewhat flattered by this preference of the white youth, grinned and chuckled and began to talk more volubly about the plans which were in his head.	Mukoki, who was somewhat flattered by this preference of the white youth, grinned and chuckled and began to talk more volubly about the plans which were in his head.	true	637.4	645.34	19
7011_66622_000044_000001	It was agreed that they all would return to the cabin at an early hour in the afternoon, for the old Indian seemed positive that they would have their first wolf hunt that night.	It was agreed that they all would return to the cabin at an early hour in the afternoon, for the old Indian seemed positive that they would have their first wolf hunt that night.	false	645.59	653.86	17
7011_66622_000045_000000	Rod noticed that the captive wolf received no breakfast that morning, and he easily guessed the reason.	Rod noticed that the captive wolf received no breakfast that morning, and he easily guessed the reason.	true	653.9	659.47	22
7011_66622_000046_000000	The traps were now divided.	The traps were now divided.	true	659.9	661.72	19.569397
7011_66622_000046_000001	Three different sizes had been brought from the Post--fifty small ones for mink, marten and other small fur animals; fifteen fox traps, and as many larger ones for lynx and wolves.	Three different sizes had been brought from the Post-fifty small ones for mink, marten and other small fur animals; fifteen fox traps, and as many larger ones for lynx and wolves.	false	661.82	672	19
7011_66622_000046_000002	Wabi equipped himself with twenty of the small traps and four each of fox and lynx traps, while Rod and Mukoki took about forty in all.	w a b i equipped himself with twenty of the small traps and four each of fox and lynx traps, while Rod and Mukoki took about forty in all.	false	672	679.62	22.906878
7011_66622_000046_000003	The remainder of the caribou meat was then cut into chunks and divided equally among them for bait.	The remainder of the caribou meat was then cut into chunks and divided equally among them for bait.	true	679.62	684.55	16
7011_66622_000047_000000	The sun was just beginning to show itself above the wilderness when the hunters left camp.	The sun was just beginning to show itself above the wilderness when the hunters left camp.	true	685.25	689.71	20
7011_66622_000047_000001	As Mukoki had predicted, it was a glorious day, one of those bitterly cold, cloudless days when, as the Indians believe, the great Creator robs the rest of the world of the sun that it may shine in all its glory upon their own savage land.	As Mukoki had predicted, it was a glorious day, one of those bitterly cold, cloudless days when, as the Indians believe, the great Creator robs the rest of the world of the sun that it may shine in all its glory upon their own savage land.	true	689.75	702.7	17
7011_66622_000047_000002	From the top of the hill that sheltered their home Rod looked out over the glistening forests and lakes in rapt and speechless admiration; but only for a few moments did the three pause, then took up their different trails.	From the top of the hill that sheltered their home Rod looked out over the glistening forests and lakes in rapt and speechless admiration; but only for a few moments did the three pause, then took up their different trails.	false	702.98	714.7	20
7011_66622_000048_000000	At the foot of this hill Mukoki and his companion struck the creek.	At the foot of this hill Mukoki and his companion struck the creek.	true	715.34	718.785	20.99229
7011_66622_000048_000001	They had not progressed more than fifty rods when the old Indian stopped and pointed at a fallen log which spanned the stream.	They had not progressed more than fifty rods when the old Indian stopped and pointed at a fallen log which spanned the stream.	true	718.785	724.995	17
7011_66622_000048_000002	The snow on this log was beaten by tiny footprints.	The snow on this log was beaten by tiny footprints.	true	724.995	728.23	20
7011_66622_000048_000003	Mukoki gazed a moment, cast an observant eye along the trail, and at once threw off his pack.	Mukoki gazed a moment, cast an observant eye along the trail, and at once threw off his pack.	true	728.63	734.14	21
7011_66622_000049_000000	"Mink!" he explained.	"Mink!" he explained.	true	734.33	735.69	25.222937
7011_66622_000049_000001	He crossed the frozen creek, taking care not to touch the log.	He crossed the frozen creek, taking care not to touch the log.	false	735.69	739.63	19.511063
7011_66622_000049_000002	On the opposite side the tracks spread out over a windfall of trees.	On the opposite side the tracks spread out over a windfall of trees.	true	739.76	743.32	14
7011_66622_000049_000003	"Whole family mink live here," continued Mukoki. "T'ree--mebby four--mebby five.	"Whole family mink live here," continued Mukoki. "T'ree-mebby four-mebby five.	false	743.69	748.96	19.738182
7011_66622_000049_000004	Build trap-house right here!"	Build trap house right here!"	true	749.27	751.05	20.95219
7011_66622_000050_000000	Never before had Rod seen a trap set as the old Indian now set his.	Never before had Rod seen a trap set as the old Indian now set his.	true	751.05	755.2	13
7011_66622_000050_000001	Very near the end of the log over which the mink made their trail he quickly built a shelter of sticks which when completed was in the form of a tiny wigwam.	Very near the end of the log over which the mink made their trail he quickly built a shelter of sticks which when completed was in the form of a tiny wigwam.	false	755.48	763.74	18
7011_66622_000050_000002	At the back of this was placed a chunk of the caribou meat, and in front of this bait, so that an animal would have to spring it in passing, was set a trap, carefully covered with snow and a few leaves. Within twenty minutes Mukoki had built two of these shelters and had set two traps.	At the back of this was placed a chunk of the caribou meat, and in front of this bait, so that an animal would have to spring it in passing, was set a trap, carefully covered with snow and a few leaves. Within twenty minutes Mukoki had built two of these shelters and had set two traps.	false	763.74	778.57	19
7011_66622_000051_000000	"Why do you build those little houses?" asked Rod, as they again took up their trail.	"Why do you build those little houses?" asked Rod, as they again took up their trail.	true	779.66	783.88	19.542349
7011_66622_000052_000000	"Much snow come in winter," elucidated the Indian.	"Much snow come in winter," elucidated the Indian.	true	783.98	786.82	19
7011_66622_000052_000001	"Build house to keep snow off traps.	"Build house to keep snow off traps.	true	787.19	789.27	26.206526
7011_66622_000052_000002	No do that, be digging out traps all winter.	No do that, be digging out traps all winter.	true	789.27	791.68	23.40623
7011_66622_000052_000003	When mink--heem smell meat--go in house he got to go over trap.	When mink-heem smell meat-go in house he got to go over trap.	false	792.35	796.215	21.671598
7011_66622_000052_000004	Make house for all small animal like heem.	Make house for all small animal like heem.	false	796.215	798.87	24.022123
7011_66622_000052_000005	No good for lynx.	No good for lynx.	true	798.87	799.8	17.35545
7011_66622_000052_000006	He see house--walk roun' 'n' roun' 'n' roun'--and then go 'way.	He see house-walk roun' 'n' roun' 'n' roun'--and then go 'way.	false	799.8	803.61	18.688402
7011_66622_000052_000007	Smart fellow--lynx.	Smart fellow-lynx.	true	803.61	804.82	20.365889
7011_66622_000052_000008	Wolf and fox, too."	Wolf and fox, too."	true	805.25	806.44	23.694284
7011_66622_000053_000000	"Is a mink worth much?"	"Is a mink worth much?"	true	807.05	808.51	22.97693
7011_66622_000054_000000	"Fi' dollar--no less that.	"Fi' dollar-no less that.	false	809.21	811.18	23.11818
7011_66622_000054_000001	Seven--eight dollar for good one."	Seven-eight dollar for good one."	true	811.22	813.1	24.091307
7011_66622_000055_000000	During the next mile six other mink traps were set.	During the next mile six other mink traps were set.	true	813.92	817.03	22.085114
7011_66622_000055_000001	The creek now ran along the edge of a high rocky ridge and Mukoki's eyes began to shine with a new interest.	The creek now ran along the edge of a high rocky ridge and Mukoki's eyes began to shine with a new interest.	false	817.4	823.15	17
7011_66622_000055_000002	No longer did he seem entirely absorbed in the discovery of signs of fur animals.	No longer did he seem entirely absorbed in the discovery of signs of fur animals.	true	823.34	827.74	16
7011_66622_000055_000003	His eyes were constantly scanning the sun-bathed side of the ridge ahead and his progress was slow and cautious.	His eyes were constantly scanning the sun bathed side of the ridge ahead and his progress was slow and cautious.	true	827.99	833.98	17
7011_66622_000055_000004	He spoke in whispers, and Rod followed his example.	He spoke in whispers, and Rod followed his example.	true	834.35	837.34	20.30223
