7011_66622_000000_000000	CHAPTER VIII	CHAPTER eight
7011_66622_000029_000000	When he finally fell asleep it was to dream of the Indian mother and her child; only after a little there was no child, and the woman changed into Minnetaki, and the ravenous wolves into men.	When he finally fell asleep it was to dream of the Indian mother and her child; only after a little there was no child, and the woman changed into Minnetaki, and the ravenous wolves into men.
7011_66622_000029_000002	Rod looked, and caught his breath.	Rod looked, and caught his breath.
7011_66622_000030_000000	There was Mukoki--peeling potatoes!	There was Mukoki-peeling potatoes!
7011_66622_000031_000000	"Hello, Muky!" he shouted.	"Hello, Muky!" he shouted.
7011_66622_000032_000000	The old Indian looked up with a grin.	The old Indian looked up with a grin.
7011_66622_000032_000001	His face bore no signs of his mad night on the trail.	His face bore no signs of his mad night on the trail.
7011_66622_000032_000002	He nodded cheerfully and proceeded with the preparation of breakfast as though he had just risen from his blankets after a long night's rest.	He nodded cheerfully and proceeded with the preparation of breakfast as though he had just risen from his blankets after a long night's rest.
7011_66622_000033_000000	"Better get up," he advised.	"Better get up," he advised.
7011_66622_000033_000001	"Big day's hunt.	"Big day's hunt.
7011_66622_000033_000002	Much fine sunshine to-day. Find wolves on mountain--plenty wolves!"	Much fine sunshine to day. Find wolves on mountain-plenty wolves!"
7011_66622_000034_000000	The boys tumbled from their blankets and began dressing.	The boys tumbled from their blankets and began dressing.
7011_66622_000038_000000	"What were you doing last night?" he questioned.	"What were you doing last night?" he questioned.
7011_66622_000039_000000	"Big moon--might get shot," grunted Mukoki.	"Big moon-might get shot," grunted Mukoki.
7011_66622_000039_000002	See wolf-tracks on red deer trail.	See wolf tracks on red deer trail.
7011_66622_000039_000003	No shot."	No shot."
7011_66622_000041_000000	"See if I'm not right.	"See if I'm not right.
7011_66622_000041_000001	He will choose the mountain trail." When their companion returned, he said: "We had better split up this morning, hadn't we, Muky?	He will choose the mountain trail." When their companion returned, he said: "We had better split up this morning, hadn't we, Muky?
7011_66622_000041_000003	What do you think of it?"	What do you think of it?"
7011_66622_000042_000001	"You two go north--I take ridges."	"You two go north-I take ridges."
7011_66622_000043_000001	"I'm going with you, Mukoki!"	"I'm going with you, Mukoki!"
7011_66622_000045_000000	Rod noticed that the captive wolf received no breakfast that morning, and he easily guessed the reason.	Rod noticed that the captive wolf received no breakfast that morning, and he easily guessed the reason.
7011_66622_000047_000000	The sun was just beginning to show itself above the wilderness when the hunters left camp.	The sun was just beginning to show itself above the wilderness when the hunters left camp.
7011_66622_000048_000000	At the foot of this hill Mukoki and his companion struck the creek.	At the foot of this hill Mukoki and his companion struck the creek.
7011_66622_000048_000002	The snow on this log was beaten by tiny footprints.	The snow on this log was beaten by tiny footprints.
7011_66622_000048_000003	Mukoki gazed a moment, cast an observant eye along the trail, and at once threw off his pack.	Mukoki gazed a moment, cast an observant eye along the trail, and at once threw off his pack.
7011_66622_000049_000000	"Mink!" he explained.	"Mink!" he explained.
7011_66622_000049_000004	Build trap-house right here!"	Build trap house right here!"
7011_66622_000052_000001	"Build house to keep snow off traps.	"Build house to keep snow off traps.
7011_66622_000052_000002	No do that, be digging out traps all winter.	No do that, be digging out traps all winter.
7011_66622_000052_000007	Smart fellow--lynx.	Smart fellow-lynx.
7011_66622_000052_000008	Wolf and fox, too."	Wolf and fox, too."
7011_66622_000053_000000	"Is a mink worth much?"	"Is a mink worth much?"
7011_66622_000054_000001	Seven--eight dollar for good one."	Seven-eight dollar for good one."
7011_66622_000055_000000	During the next mile six other mink traps were set.	During the next mile six other mink traps were set.
7011_66622_000055_000004	He spoke in whispers, and Rod followed his example.	He spoke in whispers, and Rod followed his example.
7011_66622_000055_000005	Frequently the two would stop and scan the openings for signs of life.	Frequently the two would stop and scan the openings for signs of life.
7011_66622_000058_000000	"T'ree wolf!" continued the Indian jubilantly.	"T'ree wolf!" continued the Indian jubilantly.
7011_66622_000058_000001	"Travel early this morning.	"Travel early this morning.
7011_66622_000059_000000	They followed now in the wolf trail.	They followed now in the wolf trail.
7011_66622_000059_000002	Here Mukoki set another trap.	Here Mukoki set another trap.
7011_66622_000059_000003	A little farther still they came across a fisher trail and another trap was laid.	A little farther still they came across a fisher trail and another trap was laid.
7011_66622_000059_000004	Caribou and deer tracks crossed and recrossed the creek, but the Indian paid little attention to them.	Caribou and deer tracks crossed and recrossed the creek, but the Indian paid little attention to them.
7011_66622_000059_000005	A fourth wolf joined the pack, and a fifth, and half an hour later the trail of three other wolves cut at right angles across the one they were following and disappeared in the direction of the thickly timbered plains.	A fourth wolf joined the pack, and a fifth, and half an hour later the trail of three other wolves cut at right angles across the one they were following and disappeared in the direction of the thickly timbered plains.
7011_66622_000059_000006	Mukoki's face was crinkled with joy.	Mukoki's face was crinkled with joy.
7011_66622_000060_000000	"Many wolf near," he exclaimed.	"Many wolf near," he exclaimed.
7011_66622_000060_000002	Good place for night hunt."	Good place for night hunt."
7011_66622_000061_000000	Soon the creek swung out from the ridge and cut a circuitous channel through a small swamp.	Soon the creek swung out from the ridge and cut a circuitous channel through a small swamp.
7011_66622_000061_000002	In places the snow was literally packed with deer tracks.	In places the snow was literally packed with deer tracks.
7011_66622_000061_000003	Trails ran in every direction, the bark had been rubbed from scores of saplings, and every step gave fresh evidence of the near presence of game.	Trails ran in every direction, the bark had been rubbed from scores of saplings, and every step gave fresh evidence of the near presence of game.
7011_66622_000061_000004	The stealth with which Mukoki now advanced was almost painful.	The stealth with which Mukoki now advanced was almost painful.
7011_66622_000061_000005	Every twig was pressed behind him noiselessly, and once when Rod struck his snow-shoe against the butt of a small tree the old Indian held up his hands in mock horror.	Every twig was pressed behind him noiselessly, and once when Rod struck his snow shoe against the butt of a small tree the old Indian held up his hands in mock horror.
7011_66622_000061_000006	Ten minutes, fifteen--twenty of them passed in this cautious, breathless trailing of the swamp.	Ten minutes, fifteen-twenty of them passed in this cautious, breathless trailing of the swamp.
7011_66622_000062_000000	Suddenly Mukoki stopped, and a hand was held out behind him warningly. He turned his face back, and Rod knew that he saw game.	Suddenly Mukoki stopped, and a hand was held out behind him warningly. He turned his face back, and Rod knew that he saw game.
7011_66622_000062_000001	Inch by inch he crouched upon his snow-shoes, and beckoned for Rod to approach, slowly, quietly.	Inch by inch he crouched upon his snow shoes, and beckoned for Rod to approach, slowly, quietly.
7011_66622_000062_000002	When the boy had come near enough he passed back his rifle, and his lips formed the almost noiseless word, "Shoot!"	When the boy had come near enough he passed back his rifle, and his lips formed the almost noiseless word, "Shoot!"
7011_66622_000063_000003	With a powerful effort Rod steadied himself.	With a powerful effort Rod steadied himself.
7011_66622_000063_000004	The buck was standing broadside, his head and neck stretched up, offering a beautiful shot at the vital spot behind his fore leg.	The buck was standing broadside, his head and neck stretched up, offering a beautiful shot at the vital spot behind his fore leg.
7011_66622_000063_000005	At this the young hunter aimed and fired.	At this the young hunter aimed and fired.
7011_66622_000063_000006	With one spasmodic bound the animal dropped dead.	With one spasmodic bound the animal dropped dead.
7011_66622_000064_000000	Hardly had Rod seen the effect of his shot before Mukoki was traveling swiftly toward the fallen game, unstrapping his pack as he ran.	Hardly had Rod seen the effect of his shot before Mukoki was traveling swiftly toward the fallen game, unstrapping his pack as he ran.
7011_66622_000064_000003	When he had finished his task he held it up with an air of unbounded satisfaction.	When he had finished his task he held it up with an air of unbounded satisfaction.
7011_66622_000065_000001	Heem like blood.	Heem like blood.
7011_66622_000065_000002	Smell um--come make big shoot to-night.	Smell um-come make big shoot to night.
7011_66622_000066_000000	Mukoki no longer maintained his usual quiet, and it was evident to Rod that the Indian considered his mission for that day practically accomplished.	Mukoki no longer maintained his usual quiet, and it was evident to Rod that the Indian considered his mission for that day practically accomplished.
7011_66622_000066_000001	After taking the heart, liver and one of the hind quarters of the buck Mukoki drew a long rope of babeesh from his pack, tied one end of it around the animal's neck, flung the other end over a near limb, and with his companion's assistance hoisted the carcass until it was clear of the ground.	After taking the heart, liver and one of the hind quarters of the buck Mukoki drew a long rope of babeesh from his pack, tied one end of it around the animal's neck, flung the other end over a near limb, and with his companion's assistance hoisted the carcass until it was clear of the ground.
7011_66622_000067_000000	"If somethin' happen we no come back to-night heem safe from wolf," he explained.	"If somethin' happen we no come back to night heem safe from wolf," he explained.
7011_66622_000068_000000	The two now continued through the swamp.	The two now continued through the swamp.
7011_66622_000068_000001	At its farther edge the ground rose gently from the creek toward the hills, and this sloping plain was covered with huge boulders and a thin growth of large spruce and birch. Just beyond the creek was a gigantic rock which immediately caught Mukoki's attention.	At its farther edge the ground rose gently from the creek toward the hills, and this sloping plain was covered with huge boulders and a thin growth of large spruce and birch. Just beyond the creek was a gigantic rock which immediately caught Mukoki's attention.
7011_66622_000068_000003	They could see, however, that the top of the, rock was flat, and Mukoki called attention to this fact with an exultant chuckle.	They could see, however, that the top of the, rock was flat, and Mukoki called attention to this fact with an exultant chuckle.
7011_66622_000069_000002	We call heem here.	We call heem here.
7011_66622_000069_000003	Shoot from there!" He pointed to a clump of spruce a dozen rods away.	Shoot from there!" He pointed to a clump of spruce a dozen rods away.
7011_66622_000070_000000	By Rod's watch it was now nearly noon and the two sat down to eat the sandwiches they had brought with them.	By Rod's watch it was now nearly noon and the two sat down to eat the sandwiches they had brought with them.
7011_66622_000070_000005	Several times Mukoki stopped and leaned perilously close to the dizzy edge of the mountain, peering down with critical eyes, and once when he pulled himself back cautiously by means of a small sapling he explained his interest by saying:	Several times Mukoki stopped and leaned perilously close to the dizzy edge of the mountain, peering down with critical eyes, and once when he pulled himself back cautiously by means of a small sapling he explained his interest by saying:
7011_66622_000071_000000	"Plenty bear there in spring!"	"Plenty bear there in spring!"
7011_66622_000072_000000	But Rod was not thinking of bears.	But Rod was not thinking of bears.
7011_66622_000072_000002	Perhaps that very chasm held the priceless secret that had died with its owners half a century ago.	Perhaps that very chasm held the priceless secret that had died with its owners half a century ago.
7011_66622_000072_000003	The dark and gloomy silence that hung between those two walls of rock, the death-like desolation, the stealthy windings of the creek--everything in that dim and mysterious world between the two mountains, unshattered by sound and impenetrable to the winter sun, seemed in his mind to link itself with the tragedy of long ago.	The dark and gloomy silence that hung between those two walls of rock, the death like desolation, the stealthy windings of the creek-everything in that dim and mysterious world between the two mountains, unshattered by sound and impenetrable to the winter sun, seemed in his mind to link itself with the tragedy of long ago.
7011_66622_000073_000000	Did that chasm hold the secret of the dead men?	Did that chasm hold the secret of the dead men?
7011_66622_000075_000000	"Mukoki--the gold was found between those mountains!"	"Mukoki-the gold was found between those mountains!"
