6690_73075_000000_000000	"That is addressed to a child six years of age.	"That is addressed to a child six years of age.	false	0	3.75	17.476147
6690_73075_000006_000005	Or if by some menial treachery, through some prowling priest, the whisper of Old Bogey reaches our children, then we may set their minds at ease by the assurance of his limitless charity. . . .	Or if by some menial treachery, through some prowling priest, the whisper of Old Bogey reaches our children, then we may set their minds at ease by the assurance of his limitless charity. . . .	true	136.7	148.15	16
6690_73075_000007_000000	With adolescence comes the desire for God and to know more of God, and that is the most suitable time for religious talk and teaching.	With adolescence comes the desire for God and to know more of God, and that is the most suitable time for religious talk and teaching.	false	148.61	159.51	17.216179
6690_73075_000008_000000	9.	nine.	true	159.51	160.27	18
6690_73075_000008_000001	GOD IS NOT SEXUAL	GOD IS NOT SEXUAL	true	160.58	162.79	18.751362
6690_73075_000009_000000	In the last two or three hundred years there has been a very considerable disentanglement of the idea of God from the complex of sexual thought and feeling.	In the last two or three hundred years there has been a very considerable disentanglement of the idea of God from the complex of sexual thought and feeling.	true	164.06	173.77	17.925663
6690_73075_000009_000001	But in the early days of religion the two things were inseparably bound together; the fury of the Hebrew prophets, for example, is continually proclaiming the extraordinary "wrath" of their God at this or that little dirtiness or irregularity or breach of the sexual tabus.	But in the early days of religion the two things were inseparably bound together; the fury of the Hebrew prophets, for example, is continually proclaiming the extraordinary "wrath" of their God at this or that little dirtiness or irregularity or breach of the sexual tabus.	false	174.02	191.835	16.856197
6690_73075_000009_000002	The ceremony of circumcision is clearly indicative of the original nature of the Semitic deity who developed into the Trinitarian God.	The ceremony of circumcision is clearly indicative of the original nature of the Semitic deity who developed into the Trinitarian God.	true	191.835	200.29	15
6690_73075_000009_000003	So far as Christianity dropped this rite, so far Christianity disavowed the old associations.	So far as Christianity dropped this rite, so far Christianity disavowed the old associations.	true	200.48	207.55	17.068605
6690_73075_000009_000004	But to this day the representative Christian churches still make marriage into a mystical sacrament, and, with some exceptions, the Roman communion exacts the sacrifice of celibacy from its priesthood, regardless of the mischievousness and maliciousness that so often ensue.	But to this day the representative Christian churches still make marriage into a mystical sacrament, and, with some exceptions, the Roman communion exacts the sacrifice of celibacy from its priesthood, regardless of the mischievousness and maliciousness that so often ensue.	true	207.86	225.49	17
6690_73075_000009_000005	Nearly every Christian church inflicts as much discredit and injustice as it can contrive upon the illegitimate child.	Nearly every Christian church inflicts as much discredit and injustice as it can contrive upon the illegitimate child.	true	226.31	233.8	17.846611
6690_73075_000009_000006	They do not treat illegitimate children as unfortunate children, but as children with a mystical and an incurable taint of SIN.	They do not treat illegitimate children as unfortunate children, but as children with a mystical and an incurable taint of SIN.	true	233.93	242.59	16.974611
6690_73075_000009_000007	Kindly easy-going Christians may resent this statement because it does not tally with their own attitudes, but let them consult their orthodox authorities.	Kindly easy going Christians may resent this statement because it does not tally with their own attitudes, but let them consult their orthodox authorities.	true	242.9	252.46	17.602804
6690_73075_000010_000000	One must distinguish clearly here between what is held to be sacred or sinful in itself and what is held to be one's duty or a nation's duty because it is in itself the wisest, cleanest, clearest, best thing to do.	One must distinguish clearly here between what is held to be sacred or sinful in itself and what is held to be one's duty or a nation's duty because it is in itself the wisest, cleanest, clearest, best thing to do.	true	253.31	267.58	13
6690_73075_000010_000001	By the latter tests and reasonable arguments most or all of our institutions regulating the relations of the sexes may be justifiable. But my case is not whether they can be justified by these tests but that it is not by these tests that they are judged even to-day, by the professors of the chief religions of the world.	By the latter tests and reasonable arguments most or all of our institutions regulating the relations of the sexes may be justifiable. But my case is not whether they can be justified by these tests but that it is not by these tests that they are judged even to day, by the professors of the chief religions of the world.	true	268.07	288.52	17.394194
6690_73075_000010_000002	It is the temper and not the conclusions of the religious bodies that I would criticise.	It is the temper and not the conclusions of the religious bodies that I would criticise.	true	289.1	294.52	17
6690_73075_000010_000003	These sexual questions are guarded by a holy irascibility, and the most violent efforts are made--with a sense of complete righteousness--to prohibit their discussion.	These sexual questions are guarded by a holy irascibility, and the most violent efforts are made-with a sense of complete righteousness-to prohibit their discussion.	true	294.71	305.32	16
6690_73075_000010_000004	That fury about sexual things is only to be explained on the hypothesis that the Christian God remains a sex God in the minds of great numbers of his exponents.	That fury about sexual things is only to be explained on the hypothesis that the Christian God remains a sex God in the minds of great numbers of his exponents.	true	305.66	316.06	17
6690_73075_000010_000005	His disentanglement from that plexus is incomplete.	His disentanglement from that plexus is incomplete.	true	316.61	320.56	18.514967
6690_73075_000010_000006	Sexual things are still to the orthodox Christian, sacred things.	Sexual things are still to the orthodox Christian, sacred things.	true	320.75	325.57	19
6690_73075_000011_000000	Now the God whom those of the new faith are finding is only mediately concerned with the relations of men and women.	Now the God whom those of the new faith are finding is only mediately concerned with the relations of men and women.	true	326.87	333.67	16.626432
6690_73075_000011_000001	He is no more sexual essentially than he is essentially dietetic or hygienic.	He is no more sexual essentially than he is essentially dietetic or hygienic.	true	333.95	339.97	16.253094
6690_73075_000011_000002	The God of Leviticus was all these things.	The God of leviticus was all these things.	true	340.19	343.54	18.786688
6690_73075_000011_000003	He is represented as prescribing the most petty and intimate of observances--many of which are now habitually disregarded by the Christians who profess him. . . .	He is represented as prescribing the most petty and intimate of observances-many of which are now habitually disregarded by the Christians who profess him. . . .	true	343.55	353.56	17.426
6690_73075_000011_000004	It is part of the evolution of the idea of God that we have now so largely disentangled our conception of him from the dietary and regimen and meticulous sexual rules that were once inseparably bound up with his majesty.	It is part of the evolution of the idea of God that we have now so largely disentangled our conception of him from the dietary and regimen and meticulous sexual rules that were once inseparably bound up with his majesty.	true	353.93	367.96	11
6690_73075_000011_000005	Christ himself was one of the chief forces in this disentanglement, there is the clearest evidence in several instances of his disregard of the rule and his insistence that his disciples should seek for the spirit underlying and often masked by the rule.	Christ himself was one of the chief forces in this disentanglement, there is the clearest evidence in several instances of his disregard of the rule and his insistence that his disciples should seek for the spirit underlying and often masked by the rule.	true	368.45	385	15.538543
6690_73075_000011_000006	His Church, being made of baser matter, has followed him as reluctantly as possible and no further than it was obliged.	His Church, being made of baser matter, has followed him as reluctantly as possible and no further than it was obliged.	true	385.37	393.22	12
6690_73075_000011_000007	But it has followed him far enough to admit his principle that in all these matters there is no need for superstitious fear, that the interpretation of the divine purpose is left to the unembarrassed intelligence of men.	But it has followed him far enough to admit his principle that in all these matters there is no need for superstitious fear, that the interpretation of the divine purpose is left to the unembarrassed intelligence of men.	false	393.35	405.97	15
6690_73075_000011_000008	The church has followed him far enough to make the harsh threatenings of priests and ecclesiastics against what they are pleased to consider impurity or sexual impiety, a profound inconsistency.	The church has followed him far enough to make the harsh threatenings of priests and ecclesiastics against what they are pleased to consider impurity or sexual impiety, a profound inconsistency.	true	406.46	418.96	13
6690_73075_000011_000009	One seems to hear their distant protests when one reads of Christ and the Magdalen, or of Christ eating with publicans and sinners.	One seems to hear their distant protests when one reads of Christ and the Magdalen, or of Christ eating with publicans and sinners.	true	419.21	427.96	15
6690_73075_000011_000010	The clergy of our own days play the part of the New Testament Pharisees with the utmost exactness and complete unconsciousness.	The clergy of our own days play the part of the New Testament Pharisees with the utmost exactness and complete unconsciousness.	true	428.36	436.72	16.999321
6690_73075_000011_000011	One cannot imagine a modern ecclesiastic conversing with a Magdalen in terms of ordinary civility, unless she was in a very high social position indeed, or blending with disreputable characters without a dramatic sense of condescension and much explanatory by-play. Those who profess modern religion do but follow in these matters a course entirely compatible with what has survived of the authentic teachings of Christ, when they declare that God is not sexual, and that religious passion and insult and persecution upon the score of sexual things are a barbaric inheritance.	One cannot imagine a modern ecclesiastic conversing with a Magdalen in terms of ordinary civility, unless she was in a very high social position indeed, or blending with disreputable characters without a dramatic sense of condescension and much explanatory by play. Those who profess modern religion do but follow in these matters a course entirely compatible with what has survived of the authentic teachings of Christ, when they declare that God is not sexual, and that religious passion and insult and persecution upon the score of sexual things are a barbaric inheritance.	true	437.36	475	14
6690_73075_000012_000000	But lest anyone should fling off here with some hasty assumption that those who profess the religion of the true God are sexually anarchistic, let stress be laid at once upon the opening sentence of the preceding paragraph, and let me a little anticipate a section which follows. We would free men and women from exact and superstitious rules and observances, not to make them less the instruments of God but more wholly his.	But lest anyone should fling off here with some hasty assumption that those who profess the religion of the true God are sexually anarchistic, let stress be laid at once upon the opening sentence of the preceding paragraph, and let me a little anticipate a section which follows. We would free men and women from exact and superstitious rules and observances, not to make them less the instruments of God but more wholly his.	true	475.4	502.87	17.078686
6690_73075_000012_000001	The claim of modern religion is that one should give oneself unreservedly to God, that there is no other salvation.	The claim of modern religion is that one should give oneself unreservedly to God, that there is no other salvation.	true	503.15	510.94	16
6690_73075_000012_000002	The believer owes all his being and every moment of his life to God, to keep mind and body as clean, fine, wholesome, active and completely at God's service as he can.	The believer owes all his being and every moment of his life to God, to keep mind and body as clean, fine, wholesome, active and completely at God's service as he can.	true	511.37	523.03	17.855946
6690_73075_000012_000003	There is no scope for indulgence or dissipation in such a consecrated life.	There is no scope for indulgence or dissipation in such a consecrated life.	true	523.49	528.7	17.429604
6690_73075_000012_000004	It is a matter between the individual and his conscience or his doctor or his social understanding what exactly he may do or not do, what he may eat or drink or so forth, upon any occasion. Nothing can exonerate him from doing his utmost to determine and perform the right act.	It is a matter between the individual and his conscience or his doctor or his social understanding what exactly he may do or not do, what he may eat or drink or so forth, upon any occasion. Nothing can exonerate him from doing his utmost to determine and perform the right act.	true	529.37	548.895	18
6690_73075_000012_000005	Nothing can excuse his failure to do so.	Nothing can excuse his failure to do so.	true	548.895	551.89	19.1833
6690_73075_000012_000006	But what is here being insisted upon is that none of these things has immediately to do with God or religious emotion, except only the general will to do right in God's service.	But what is here being insisted upon is that none of these things has immediately to do with God or religious emotion, except only the general will to do right in God's service.	true	552.32	563.86	17.830288
6690_73075_000012_000007	The detailed interpretation of that "right" is for the dispassionate consideration of the human intelligence.	The detailed interpretation of that "right" is for the dispassionate consideration of the human intelligence.	true	564.17	570.79	18.829758
6690_73075_000013_000000	All this is set down here as distinctly as possible.	All this is set down here as distinctly as possible.	true	571.19	575.17	19.497648
6690_73075_000013_000001	Because of the emotional reservoirs of sex, sexual dogmas are among the most obstinately recurrent of all heresies, and sexual excitement is always tending to leak back into religious feeling.	Because of the emotional reservoirs of sex, sexual dogmas are among the most obstinately recurrent of all heresies, and sexual excitement is always tending to leak back into religious feeling.	false	575.33	588.25	15
6690_73075_000013_000002	Amongst the sex-tormented priesthood of the Roman communion in particular, ignorant of the extreme practices of the Essenes and of the Orphic cult and suchlike predecessors of Christianity, there seems to be an extraordinary belief that chastity was not invented until Christianity came, and that the religious life is largely the propitiation of God by feats of sexual abstinence.	Amongst the sex tormented priesthood of the Roman communion in particular, ignorant of the extreme practices of the Essenes and of the Orphic cult and suchlike predecessors of Christianity, there seems to be an extraordinary belief that chastity was not invented until Christianity came, and that the religious life is largely the propitiation of God by feats of sexual abstinence.	false	588.92	612.79	15
6690_73075_000013_000003	But a superstitious abstinence that scars and embitters the mind, distorts the imagination, makes the body gross and keeps it unclean, is just as offensive to God as any positive depravity.	But a superstitious abstinence that scars and embitters the mind, distorts the imagination, makes the body gross and keeps it unclean, is just as offensive to God as any positive depravity.	false	613.13	635.79	17.17678
