3185_163507_000001_000000	NOT A PIN TO CHOOSE BETWEEN THEM	NOT A PIN TO CHOOSE BETWEEN THEM
3185_163507_000015_000000	So she crept up on the roof of the safe and began to flap her arms, as if they had been wings, and was just going to fly off.	So she crept up on the roof of the safe and began to flap her arms, as if they had been wings, and was just going to fly off.
3185_163507_000018_000000	'If it's you', said her husband, 'don't stand up there like a goat on a house-top, but come down and let me hear what you have to say for yourself.'	'If it's you', said her husband, 'don't stand up there like a goat on a house top, but come down and let me hear what you have to say for yourself.'
3185_163507_000019_000000	So she crawled down again, but she hadn't a shilling to shew, for the crown she had got from the butcher she had thrown away in her drunkenness.	So she crawled down again, but she hadn't a shilling to shew, for the crown she had got from the butcher she had thrown away in her drunkenness.
3185_163507_000020_000000	So he toddled off, and when he had walked a little way he saw a Goody, who was running in and out of a newly-built wooden cottage with an empty sieve, and every time she ran in, she threw her apron over the sieve just as if she had something in it, and when she got in she turned it upside down on the floor.	So he toddled off, and when he had walked a little way he saw a Goody, who was running in and out of a newly built wooden cottage with an empty sieve, and every time she ran in, she threw her apron over the sieve just as if she had something in it, and when she got in she turned it upside down on the floor.
3185_163507_000021_000000	'Why, Goody!' he asked, 'what are you doing?'	'Why, Goody!' he asked, 'what are you doing?'
3185_163507_000022_000000	'Oh', she answered, 'I'm only carrying in a little sun; but I don't know how it is, when I'm outside, I have the sun in my sieve, but when I get inside, somehow or other I've thrown it away.	'Oh', she answered, 'I'm only carrying in a little sun; but I don't know how it is, when I'm outside, I have the sun in my sieve, but when I get inside, somehow or other I've thrown it away.
3185_163507_000022_000001	But in my old cottage I had plenty of sun, though I never carried in the least bit.	But in my old cottage I had plenty of sun, though I never carried in the least bit.
3185_163507_000022_000002	I only wish I knew some one who would bring the sun inside; I'd give him three hundred dollars and welcome.'	I only wish I knew some one who would bring the sun inside; I'd give him three hundred dollars and welcome.'
3185_163507_000023_000000	'Have you got an axe?' asked the man.	'Have you got an axe?' asked the man.
3185_163507_000024_000000	So he got an axe and cut windows in the cottage, for the carpenters had forgotten them; then the sun shone in, and he got his three hundred dollars.	So he got an axe and cut windows in the cottage, for the carpenters had forgotten them; then the sun shone in, and he got his three hundred dollars.
3185_163507_000025_000000	'That was one of them', said the man to himself, as he went on his way.	'That was one of them', said the man to himself, as he went on his way.
3185_163507_000026_000000	After a while he passed by a house, out of which came an awful screaming and bellowing; so he turned in and saw a Goody, who was hard at work banging her husband across the head with a beetle, and over his head she had drawn a shirt without any slit for the neck.	After a while he passed by a house, out of which came an awful screaming and bellowing; so he turned in and saw a Goody, who was hard at work banging her husband across the head with a beetle, and over his head she had drawn a shirt without any slit for the neck.
3185_163507_000028_000000	'No', she said, 'I only must have a hole in this shirt for his neck to come through.'	'No', she said, 'I only must have a hole in this shirt for his neck to come through.'
3185_163507_000029_000000	All the while the husband kept on screaming and calling out:	All the while the husband kept on screaming and calling out:
3185_163507_000032_000000	So he got a pair of scissors, and snipped a hole in the neck, and went off with his three hundred dollars.	So he got a pair of scissors, and snipped a hole in the neck, and went off with his three hundred dollars.
3185_163507_000033_000000	'That was another of them', he said to himself, as he walked along.	'That was another of them', he said to himself, as he walked along.
3185_163507_000034_000000	Last of all, he came to a farm, where he made up his mind to rest a bit.	Last of all, he came to a farm, where he made up his mind to rest a bit.
3185_163507_000034_000001	So when he went in, the mistress asked him:	So when he went in, the mistress asked him:
3185_163507_000035_000000	'Whence do you come, master?'	'Whence do you come, master?'
3185_163507_000036_000000	'Oh!' said he, 'I come from Paradise Place', for that was the name of his farm.	'Oh!' said he, 'I come from Paradise Place', for that was the name of his farm.
3185_163507_000037_000000	'From Paradise Place!' she cried, 'you don't say so!	'From Paradise Place!' she cried, 'you don't say so!
3185_163507_000037_000001	Why, then, you must know my second husband Peter, who is dead and gone, God rest his soul.'	Why, then, you must know my second husband peter, who is dead and gone, God rest his soul.'
3185_163507_000038_000000	For you must know this Goody had been married three times, and as her first and last husbands had been bad, she had made up her mind that the second only was gone to heaven.	For you must know this Goody had been married three times, and as her first and last husbands had been bad, she had made up her mind that the second only was gone to heaven.
3185_163507_000040_000000	'Well', asked the Goody, 'how do things go with him, poor dear soul?'	'Well', asked the Goody, 'how do things go with him, poor dear soul?'
3185_163507_000041_000001	As for money, he hasn't a sixpence to bless himself with.'	As for money, he hasn't a sixpence to bless himself with.'
3185_163507_000042_000000	'Mercy on me', cried out the Goody; 'he never ought to go about such a figure when he left so much behind him.	'Mercy on me', cried out the Goody; 'he never ought to go about such a figure when he left so much behind him.
3185_163507_000042_000001	Why, there's a whole cupboard full of old clothes up-stairs which belonged to him, besides a great chest full of money yonder.	Why, there's a whole cupboard full of old clothes up stairs which belonged to him, besides a great chest full of money yonder.
3185_163507_000042_000002	Now, if you will take them with you, you shall have a horse and cart to carry them.	Now, if you will take them with you, you shall have a horse and cart to carry them.
3185_163507_000042_000003	As for the horse, he can keep it, and sit on the cart, and drive about from house to house, and then he needn't trudge on foot.'	As for the horse, he can keep it, and sit on the cart, and drive about from house to house, and then he needn't trudge on foot.'
3185_163507_000043_000000	So the man got a whole cart-load of clothes, and a chest full of shining dollars, and as much meat and drink as he would; and when he had got all he wanted, he jumped into the cart and drove off.	So the man got a whole cart load of clothes, and a chest full of shining dollars, and as much meat and drink as he would; and when he had got all he wanted, he jumped into the cart and drove off.
3185_163507_000044_000000	'That was the third', he said to himself, as he went along.	'That was the third', he said to himself, as he went along.
3185_163507_000046_000000	'Well, well, if I ever!' he said, as Peter the third came riding up. 'No!	'Well, well, if I ever!' he said, as peter the third came riding up. 'No!
3185_163507_000047_000000	Then Peter stood and looked at him for some time, wondering what had come over him; but at last he asked:	Then peter stood and looked at him for some time, wondering what had come over him; but at last he asked:
3185_163507_000048_000000	'What do you lie there staring at?'	'What do you lie there staring at?'
3185_163507_000049_000000	'No', kept on the man, 'I never did see anything like it!--here is a man going straight up to heaven on a black horse, and here you see his horse's tail still hanging in this birch; and yonder up in the sky you see the black horse.'	'No', kept on the man, 'I never did see anything like it!--here is a man going straight up to heaven on a black horse, and here you see his horse's tail still hanging in this birch; and yonder up in the sky you see the black horse.'
3185_163507_000050_000000	Peter looked first at the man, and then at the sky, and said:	peter looked first at the man, and then at the sky, and said:
3185_163507_000051_000000	'I see nothing but the horse hair in the birch; that's all I see!'	'I see nothing but the horse hair in the birch; that's all I see!'
3185_163507_000052_000000	'Of course you can't where you stand', said the man; 'but just come and lie down here, and stare straight up, and mind you don't take your eyes off the sky; and then you shall see what you shall see.'	'Of course you can't where you stand', said the man; 'but just come and lie down here, and stare straight up, and mind you don't take your eyes off the sky; and then you shall see what you shall see.'
3185_163507_000053_000000	But while Peter the third lay and stared up at the sky till his eyes filled with tears, the man from Paradise Place took his horse and jumped on its back and rode off both with it and the cart and horse.	But while peter the third lay and stared up at the sky till his eyes filled with tears, the man from Paradise Place took his horse and jumped on its back and rode off both with it and the cart and horse.
3185_163507_000054_000000	When the hoofs thundered along the road, Peter the third jumped up; but he was so taken aback when he found the man had gone off with his horse that he hadn't the sense to run after him till it was too late.	When the hoofs thundered along the road, peter the third jumped up; but he was so taken aback when he found the man had gone off with his horse that he hadn't the sense to run after him till it was too late.
3185_163507_000055_000000	He was rather down in the mouth when he got home to his Goody; but when she asked him what he had done with the horse, he said,	He was rather down in the mouth when he got home to his Goody; but when she asked him what he had done with the horse, he said,
3185_163507_000056_000000	'I gave it to the man too for Peter the second, for I thought it wasn't right he should sit in a cart, and scramble about from house to house; so now he can sell the cart and buy himself a coach to drive about in.'	'I gave it to the man too for peter the second, for I thought it wasn't right he should sit in a cart, and scramble about from house to house; so now he can sell the cart and buy himself a coach to drive about in.'
3185_163507_000057_000000	'Thank you heartily!' said his wife; 'I never thought you could be so kind.'	'Thank you heartily!' said his wife; 'I never thought you could be so kind.'
3185_163507_000058_000000	Well, when the man reached home, who had got the six hundred dollars and the cart-load of clothes and money, he saw that all his fields were ploughed and sown, and the first thing he asked his wife was, where she had got the seed-corn from.	Well, when the man reached home, who had got the six hundred dollars and the cart load of clothes and money, he saw that all his fields were ploughed and sown, and the first thing he asked his wife was, where she had got the seed corn from.
