8142_3967_000002_000000	CHAPTER XV	CHAPTER fifteen
8142_3967_000022_000002	A sigh of the evening breeze shook them as they hung in the silver moonlight, and scattered their rich fragrance towards the wayfarer.	A sigh of the evening breeze shook them as they hung in the silver moonlight, and scattered their rich fragrance towards the wayfarer.
8142_3967_000023_000001	He stopped his carriage, and said to Koremitz, who was with him as usual--	He stopped his carriage, and said to Koremitz, who was with him as usual-
8142_3967_000024_000000	"Is this not the mansion of the Princess Hitachi?"	"Is this not the mansion of the Princess Hitachi?"
8142_3967_000028_000001	He then asked her about the Princess, and told her of Genji's intention.	He then asked her about the Princess, and told her of Genji's intention.
8142_3967_000028_000002	To his inquiries he soon obtained a satisfactory answer, and duly reported it to Genji, who now felt a pang of remorse for his long negligence of one so badly circumstanced.	To his inquiries he soon obtained a satisfactory answer, and duly reported it to Genji, who now felt a pang of remorse for his long negligence of one so badly circumstanced.
8142_3967_000029_000000	Inside, meanwhile, the Princess, though she felt very pleased, experienced a feeling of shyness.	Inside, meanwhile, the Princess, though she felt very pleased, experienced a feeling of shyness.
8142_3967_000029_000002	She now took this out and put it on.	She now took this out and put it on.
8142_3967_000029_000003	Genji was presently shown into the room.	Genji was presently shown into the room.
8142_3967_000031_000000	The Princess, as usual, said very little, only thanking him for his visit.	The Princess, as usual, said very little, only thanking him for his visit.
8142_3967_000032_000000	This was about the time of the feast in the Temple of Kamo, and Genji received several presents under various pretexts.	This was about the time of the feast in the Temple of Kamo, and Genji received several presents under various pretexts.
8142_3967_000032_000001	He distributed these presents among his friends, such as those in the villa of "the falling flowers," and to the Princess.	He distributed these presents among his friends, such as those in the villa of "the falling flowers," and to the Princess.
8142_3967_000032_000002	He also sent his servant to the mansion of the latter to cut down the rampant mugwort, and he restored the grounds to proper order.	He also sent his servant to the mansion of the latter to cut down the rampant mugwort, and he restored the grounds to proper order.
8142_3967_000032_000003	Moreover, he had a wooden enclosure placed all round the garden.	Moreover, he had a wooden enclosure placed all round the garden.
8142_3967_000033_000002	How was this?	How was this?
8142_3967_000033_000003	it might have been preordained to be so.	it might have been preordained to be so.
