8142_3967_000000_000000	FOOTNOTES:	FOOTNOTES:	false	0	0.21	-20
8142_3967_000009_000000	Now a sister of the Princess's mother had married a Durio, and had already borne him a daughter.	Now a sister of the Princess's mother had married a Durio, and had already borne him a daughter.	false	214.94	220.3	20.101082
8142_3967_000009_000001	This marriage had been considered an unequal match by the father of the Princess, and for this reason she was not very friendly with the family.	This marriage had been considered an unequal match by the father of the Princess, and for this reason she was not very friendly with the family.	true	220.4	228.19	24.179087
8142_3967_000009_000002	Jijiu, however, who was a daughter of the Princess's nurse, and who still remained with the Princess, used to go to her.	Jijiu, however, who was a daughter of the Princess's nurse, and who still remained with the Princess, used to go to her.	true	228.35	235.42	22.71804
8142_3967_000009_000003	This aunt was influenced by a secret feeling of spite, and when Jijiu visited her she often whispered to her many things which did not become her as a lady.	This aunt was influenced by a secret feeling of spite, and when Jijiu visited her she often whispered to her many things which did not become her as a lady.	false	235.49	244.39	22.970226
8142_3967_000009_000004	It seems to me that where a lady of ordinary degree is elevated to a higher position, she often acquires a refinement like one originally belonging to it; but there are other women, who when degraded from their rank spoil their taste and habits just like the lady in question.	It seems to me that where a lady of ordinary degree is elevated to a higher position, she often acquires a refinement like one originally belonging to it; but there are other women, who when degraded from their rank spoil their taste and habits just like the lady in question.	true	244.61	262.48	23.43275
8142_3967_000009_000005	She fondly hoped to revenge herself for having been formerly looked down upon, by showing an apparent kindness to the Princess Hitachi, and by wishing to take her into her home, and make her wait upon her daughters.	She fondly hoped to revenge herself for having been formerly looked down upon, by showing an apparent kindness to the Princess Hitachi, and by wishing to take her into her home, and make her wait upon her daughters.	true	262.82	274.3	26.020016
8142_3967_000009_000006	With this view she told Jijiu to tell her mistress to come to her, and Jijiu did so; but the Princess did not comply with this request.	With this view she told Jijiu to tell her mistress to come to her, and Jijiu did so; but the Princess did not comply with this request.	true	274.85	282.64	23.58704
8142_3967_000010_000000	In the meantime the lady's husband was appointed Daini (Senior Secretary to the Lord-Lieutenant), and they were to go down to Tzkushi (modern Kiusiu).	In the meantime the lady's husband was appointed Daini (Senior Secretary to the Lord Lieutenant), and they were to go down to t z kushi (modern Kiusiu).	false	282.68	292.53	21.856552
8142_3967_000010_000001	She wished to take the Princess with her, and told her that she felt sorry to go to such a far-off locality, leaving her in her present circumstances; but the latter still unhesitatingly replied in the negative, and declined the offer; whereupon her aunt tauntingly remarked that she was too proud, and that, however exalted she might think herself, no one, not even Genji, would show her any further attention.	She wished to take the Princess with her, and told her that she felt sorry to go to such a far off locality, leaving her in her present circumstances; but the latter still unhesitatingly replied in the negative, and declined the offer; whereupon her aunt tauntingly remarked that she was too proud, and that, however exalted she might think herself, no one, not even Genji, would show her any further attention.	false	292.53	314.95	24.018438
8142_3967_000011_000000	About this time Genji returned, but for some while she heard nothing from him, and only the public rejoicing of many people, and the news about him from the outside world reached her ears.	About this time Genji returned, but for some while she heard nothing from him, and only the public rejoicing of many people, and the news about him from the outside world reached her ears.	true	316.01	325.96	24.129627
8142_3967_000011_000001	This gave her aunt a further opportunity of repeating the same taunts.	This gave her aunt a further opportunity of repeating the same taunts.	false	326.18	330.4	29.17257
8142_3967_000011_000002	She said, "See now who cares for you in your present circumstances.	She said, "See now who cares for you in your present circumstances.	true	330.56	334.29	19.635674
8142_3967_000011_000003	It is not praiseworthy to display such self-importance as you did in the lifetime of your father." And again she pressed her to go with her, but the Princess still clung to the hope that the time would come when Genji would remember her and renew his kindness.	It is not praiseworthy to display such self importance as you did in the lifetime of your father." And again she pressed her to go with her, but the Princess still clung to the hope that the time would come when Genji would remember her and renew his kindness.	true	334.29	347.83	24.332914
8142_3967_000012_000000	Winter came!	Winter came!	true	348.65	349.87	26.153751
8142_3967_000012_000001	One day, quite unexpectedly, the aunt arrived at the mansion, bringing as a present a dress for the Princess.	One day, quite unexpectedly, the aunt arrived at the mansion, bringing as a present a dress for the Princess.	true	350.3	357.01	25.200699
8142_3967_000012_000002	Her carriage dashed into the garden in a most pompous style, and drove right up to the southern front of the building.	Her carriage dashed into the garden in a most pompous style, and drove right up to the southern front of the building.	true	357.17	363.75	26.94868
8142_3967_000012_000003	Jijiu went to meet her, and conducted her into the Princess's apartment.	Jijiu went to meet her, and conducted her into the Princess's apartment.	false	363.75	369.28	21.4674
8142_3967_000013_000000	"I must soon be leaving the capital," said the visitor.	"I must soon be leaving the capital," said the visitor.	true	369.89	372.64	22.725588
8142_3967_000013_000001	"It is not my wish to leave you behind, but you would not listen to me, and now there is no help.	"It is not my wish to leave you behind, but you would not listen to me, and now there is no help.	true	372.71	378.19	23.04378
8142_3967_000013_000002	But this one, this Jijiu at least, I wish to take with me.	But this one, this Jijiu at least, I wish to take with me.	true	378.32	382.21	22.494019
8142_3967_000013_000003	I have come to-day to fetch her.	I have come to day to fetch her.	true	382.37	384.25	34.63189
8142_3967_000013_000004	I cannot understand how you can be content with your present condition."	I cannot understand how you can be content with your present condition."	true	384.26	388.15	23.39619
8142_3967_000014_000000	Here she manifested a certain sadness, but her delight at her husband's promotion was unmistakable, and she continued:--	Here she manifested a certain sadness, but her delight at her husband's promotion was unmistakable, and she continued:--	true	388.7	395.65	25.828949
8142_3967_000015_000000	"When your father was alive, I was looked down upon by him, which caused a coolness between us.	"When your father was alive, I was looked down upon by him, which caused a coolness between us.	true	396.05	401.44	26.604422
8142_3967_000015_000001	But nevertheless I at no time entertained any ill-will towards you, only you were much favored by Prince Genji, as I heard, which made me abstain from visiting you often; but fortune is fickle, for those in a humble position often enjoy comfort, and those that are higher in station are not quite so well circumstanced.	But nevertheless I at no time entertained any ill will towards you, only you were much favored by Prince Genji, as I heard, which made me abstain from visiting you often; but fortune is fickle, for those in a humble position often enjoy comfort, and those that are higher in station are not quite so well circumstanced.	true	401.69	420.765	24.411345
8142_3967_000015_000002	I do really feel sorry to leave you behind."	I do really feel sorry to leave you behind."	true	420.765	423.58	23.556807
8142_3967_000016_000000	The Princess said very little, but her answer was, "I really thank you for your kind attention, but I do not think I am now fit to move about in the world.	The Princess said very little, but her answer was, "I really thank you for your kind attention, but I do not think I am now fit to move about in the world.	true	423.98	433.695	24.217405
8142_3967_000016_000001	I shall be quite happy to bury myself under this roof."	I shall be quite happy to bury myself under this roof."	true	433.695	436.75	27.654932
8142_3967_000017_000000	"Well, you may think so, but it is simply foolish to abandon one's self, and to bury one's life under such a mass of dilapidation.	"Well, you may think so, but it is simply foolish to abandon one's self, and to bury one's life under such a mass of dilapidation.	true	437	445.18	23.405636
8142_3967_000017_000001	Had Prince Genji been kind enough to repair the place, it might have become transformed into a golden palace, and how joyous would it not be?	Had Prince Genji been kind enough to repair the place, it might have become transformed into a golden palace, and how joyous would it not be?	true	445.46	453.37	25.623629
8142_3967_000017_000002	but this you cannot expect.	but this you cannot expect.	true	453.47	455.265	29.373955
8142_3967_000017_000003	As far as I am informed the daughter of Prince Hiob-Kio is the only favorite of the Prince, and no one else shares his attention, all his old favorites being now abandoned.	As far as I am informed the daughter of Prince h i o b Kio is the only favorite of the Prince, and no one else shares his attention, all his old favorites being now abandoned.	false	455.265	466.36	22.867197
8142_3967_000017_000004	How, then, can you expect him to say that, because you have been faithful to him, he will therefore come to you again?"	How, then, can you expect him to say that, because you have been faithful to him, he will therefore come to you again?"	true	466.4	472.36	25.88827
8142_3967_000018_000000	These words touched the Princess, but she gave no vent to her feelings.	These words touched the Princess, but she gave no vent to her feelings.	true	472.97	477.105	25.589397
8142_3967_000018_000001	The visitor, therefore, hurried Jijiu to get ready, saying that they must leave before the dusk.	The visitor, therefore, hurried Jijiu to get ready, saying that they must leave before the dusk.	true	477.105	482.65	23.72514
8142_3967_000019_000000	"When I hear what the lady says," said Jijiu, "it sounds to me very reasonable; but when I see how anxious the Princess is, that also seems natural.	"When I hear what the lady says," said Jijiu, "it sounds to me very reasonable; but when I see how anxious the Princess is, that also seems natural.	false	482.72	492.31	22.740456
8142_3967_000019_000001	Thus I am puzzled between the two.	Thus I am puzzled between the two.	true	492.86	495.07	22.98286
8142_3967_000019_000002	Let me, however, say this, I will only see the lady off to-day."	Let me, however, say this, I will only see the lady off to day."	true	495.92	499.96	24.078737
8142_3967_000020_000000	Nevertheless, the Princess foresaw that Jijiu was going to leave her, and she thought of giving her some souvenir.	Nevertheless, the Princess foresaw that Jijiu was going to leave her, and she thought of giving her some souvenir.	false	500.93	506.65	23.197693
8142_3967_000020_000001	Her own dress was not to be thought of, as it was too old; fortunately she had a long tress of false hair, about nine feet long, made of the hair which had fallen from her own head.	Her own dress was not to be thought of, as it was too old; fortunately she had a long tress of false hair, about nine feet long, made of the hair which had fallen from her own head.	false	506.9	518.35	24.967379
8142_3967_000020_000002	This she put into an old casket, and gave it to Jijiu, with a jar of rare perfume.	This she put into an old casket, and gave it to Jijiu, with a jar of rare perfume.	false	518.66	524.44	25.077003
8142_3967_000021_000000	Jijiu had been an attendant on the Princess for a very long time, besides, her mother (the nurse), before she died, told the Princess and her daughter that she hoped they might be long together; so the parting with Jijiu was very trying to the Princess who said to her that though she could not blame her for leaving, she still felt sorry to lose her.	Jijiu had been an attendant on the Princess for a very long time, besides, her mother (the nurse), before she died, told the Princess and her daughter that she hoped they might be long together; so the parting with Jijiu was very trying to the Princess who said to her that though she could not blame her for leaving, she still felt sorry to lose her.	true	524.78	545.56	24.892363
8142_3967_000021_000001	To this Jijiu replied, that she never forgot the wishes of her mother, and was only too happy to share joy and sorrow with the Princess; yet she was sorry to say that circumstances obliged her to leave her for some time; but before she could say much, she was hurried away by the visitor.	To this Jijiu replied, that she never forgot the wishes of her mother, and was only too happy to share joy and sorrow with the Princess; yet she was sorry to say that circumstances obliged her to leave her for some time; but before she could say much, she was hurried away by the visitor.	true	545.72	562.39	24.16355
8142_3967_000022_000000	It was one evening in April of the following year that Genji happened to be going to the villa of "the falling flowers," and passed by the mansion of the Princess.	It was one evening in April of the following year that Genji happened to be going to the villa of "the falling flowers," and passed by the mansion of the Princess.	true	562.67	571.57	25.37516
8142_3967_000022_000001	There was in the garden a large pine-tree, from whose branches the beautiful clusters of a wistaria hung in rich profusion.	There was in the garden a large pine tree, from whose branches the beautiful clusters of a wistaria hung in rich profusion.	false	572.18	579.34	24.268747
8142_3967_000022_000002	A sigh of the evening breeze shook them as they hung in the silver moonlight, and scattered their rich fragrance towards the wayfarer.	A sigh of the evening breeze shook them as they hung in the silver moonlight, and scattered their rich fragrance towards the wayfarer.	true	579.62	586.81	21.031416
8142_3967_000022_000003	There was also a weeping willow close by, whose pensile tresses of new verdure touched the half-broken walls of earth underneath.	There was also a weeping willow close by, whose pensile tresses of new verdure touched the half broken walls of earth underneath.	false	587.18	595.03	25.460493
8142_3967_000023_000000	When Genji beheld this beautiful scene from his carriage, he at once remembered it was a place he had seen before.	When Genji beheld this beautiful scene from his carriage, he at once remembered it was a place he had seen before.	false	595.67	602.56	24.347347
8142_3967_000023_000001	He stopped his carriage, and said to Koremitz, who was with him as usual--	He stopped his carriage, and said to Koremitz, who was with him as usual-	true	602.6	606.34	26.046207
8142_3967_000024_000000	"Is this not the mansion of the Princess Hitachi?"	"Is this not the mansion of the Princess Hitachi?"	true	606.77	609.85	25.815845
8142_3967_000025_000000	"Yes, it is," replied Koremitz.	"Yes, it is," replied Koremitz.	false	610.31	613.11	21.468128
8142_3967_000026_000000	"Do ask if she is still here," said Genji; "this is a good chance; I will see her if she is at home--ask!"	"Do ask if she is still here," said Genji; "this is a good chance; I will see her if she is at home-ask!"	false	613.11	620.16	21.801662
8142_3967_000027_000000	Koremitz entered, and proceeding to the door, called out.	Koremitz entered, and proceeding to the door, called out.	false	620.16	623.05	28.820023
8142_3967_000027_000001	An old woman from the inside demanded to know who he was.	An old woman from the inside demanded to know who he was.	false	623.75	627.07	20.749569
8142_3967_000027_000002	Koremitz announced himself, and asked if Jijiu was within.	Koremitz announced himself, and asked if Jijiu was within.	false	627.35	630.88	27.756763
8142_3967_000027_000003	The old women replied that she was not, but that she herself was the same as Jijiu.	The old women replied that she was not, but that she herself was the same as Jijiu.	false	631.22	636.03	23.95893
8142_3967_000028_000000	Koremitz recognized her as an aunt of the latter.	Koremitz recognized her as an aunt of the latter.	false	636.03	639.76	29.303427
8142_3967_000028_000001	He then asked her about the Princess, and told her of Genji's intention.	He then asked her about the Princess, and told her of Genji's intention.	true	639.77	643.87	23.84324
8142_3967_000028_000002	To his inquiries he soon obtained a satisfactory answer, and duly reported it to Genji, who now felt a pang of remorse for his long negligence of one so badly circumstanced.	To his inquiries he soon obtained a satisfactory answer, and duly reported it to Genji, who now felt a pang of remorse for his long negligence of one so badly circumstanced.	true	644.9	655.75	25.020744
8142_3967_000028_000003	He descended from his carriage, but the pathway was all but overgrown with tall mugwort, which was wet with a passing shower; so Koremitz whisked them with his whip, and led him in.	He descended from his carriage, but the pathway was all but overgrown with tall mugwort, which was wet with a passing shower; so Koremitz whisked them with his whip, and led him in.	false	656.24	667.18	25.331963
8142_3967_000029_000000	Inside, meanwhile, the Princess, though she felt very pleased, experienced a feeling of shyness.	Inside, meanwhile, the Princess, though she felt very pleased, experienced a feeling of shyness.	true	667.61	673.93	24.58851
8142_3967_000029_000001	Her aunt, it will be remembered, had presented her with a suitable dress, which she had hitherto had no pleasure in wearing, and had kept it in a box which had originally contained perfume.	Her aunt, it will be remembered, had presented her with a suitable dress, which she had hitherto had no pleasure in wearing, and had kept it in a box which had originally contained perfume.	false	674.15	684.88	23.441437
8142_3967_000029_000002	She now took this out and put it on.	She now took this out and put it on.	true	685.19	687.25	27.556707
8142_3967_000029_000003	Genji was presently shown into the room.	Genji was presently shown into the room.	true	687.47	689.8	24.69177
8142_3967_000030_000000	"It is a long time since I saw you last," said Genji, "but still I have never forgotten you, only I heard nothing from you; so I waited till now, and here I find myself once more."	"It is a long time since I saw you last," said Genji, "but still I have never forgotten you, only I heard nothing from you; so I waited till now, and here I find myself once more."	false	690.2	702.04	20.6729
8142_3967_000031_000000	The Princess, as usual, said very little, only thanking him for his visit.	The Princess, as usual, said very little, only thanking him for his visit.	true	702.77	707.62	21.235744
8142_3967_000031_000001	He then addressed her in many kind and affectionate words, many of which he might not really have meant, and after a considerable stay he at last took his departure.	He then addressed her in many kind and affectionate words, many of which he might not really have meant, and after a considerable stay he at last took his departure.	false	707.81	718.12	25.600632
8142_3967_000032_000000	This was about the time of the feast in the Temple of Kamo, and Genji received several presents under various pretexts.	This was about the time of the feast in the Temple of Kamo, and Genji received several presents under various pretexts.	true	718.76	726.64	24.836878
8142_3967_000032_000001	He distributed these presents among his friends, such as those in the villa of "the falling flowers," and to the Princess.	He distributed these presents among his friends, such as those in the villa of "the falling flowers," and to the Princess.	true	726.95	733.3	23.835438
8142_3967_000032_000002	He also sent his servant to the mansion of the latter to cut down the rampant mugwort, and he restored the grounds to proper order.	He also sent his servant to the mansion of the latter to cut down the rampant mugwort, and he restored the grounds to proper order.	true	734.69	741.67	23.777039
8142_3967_000032_000003	Moreover, he had a wooden enclosure placed all round the garden.	Moreover, he had a wooden enclosure placed all round the garden.	true	741.86	746.74	24.065191
8142_3967_000033_000000	So far as the world hitherto knew about Genji, he was supposed only to cast his eyes on extraordinary and pre-eminent beauties; but we see in him a very different character in the present instance.	So far as the world hitherto knew about Genji, he was supposed only to cast his eyes on extraordinary and pre-eminent beauties; but we see in him a very different character in the present instance.	false	747.23	759.85	23.903112
8142_3967_000033_000001	He showed so much kindness to the Princess Hitachi, who was by no means distinguished for her beauty, and who still bore a mark on her nose which might remind one of a well-ripened fruit carried by mountaineers.	He showed so much kindness to the Princess Hitachi, who was by no means distinguished for her beauty, and who still bore a mark on her nose which might remind one of a well ripened fruit carried by mountaineers.	false	759.98	772.66	22.993992
8142_3967_000033_000002	How was this?	How was this?	true	773.03	774.31	23.24263
8142_3967_000033_000003	it might have been preordained to be so.	it might have been preordained to be so.	true	775.1	777.85	26.624987
8142_3967_000034_000000	The Princess continued to live in the mansion for two years, and then she removed to a part of a newly built "eastern mansion" belonging to Genji, where she lived happily under the kind care of the Prince, though he had much difficulty in coming often to see her.	The Princess continued to live in the mansion for two years, and then she removed to a part of a newly built "eastern mansion" belonging to Genji, where she lived happily under the kind care of the Prince, though he had much difficulty in coming often to see her.	false	778.22	792.94	23.21838
8142_3967_000034_000001	I would fain describe the astonishment of her aunt when she returned from the Western Island and saw the Princess's happy condition, and how Jijiu regretted having left her too hastily; but my head is aching and my fingers are tired, so I shall wait for some future opportunity when I may again take up the thread of my story.	I would fain describe the astonishment of her aunt when she returned from the Western Island and saw the Princess's happy condition, and how Jijiu regretted having left her too hastily; but my head is aching and my fingers are tired, so I shall wait for some future opportunity when I may again take up the thread of my story.	false	793.1	825.42	21.665642
