5002_70998_000002_000000	CHAPTER XXXIV	CHAPTER thirty four
5002_70998_000021_000001	Seize this woman, some of you, and take her without. I will deal with her later." He imperiously signed to his guards, and at once the demoiselle was gripped harshly by both arms.	Seize this woman, some of you, and take her without. I will deal with her later." He imperiously signed to his guards, and at once the demoiselle was gripped harshly by both arms.
5002_70998_000023_000002	At the door of the church she turned once as though to renew her preposterous charges, but contented herself merely with a single glance towards them of malignant hate.	At the door of the church she turned once as though to renew her preposterous charges, but contented herself merely with a single glance towards them of malignant hate.
5002_70998_000023_000003	Then she was gone; and people stirred themselves uneasily, as folks do when having been within touch of the plague.	Then she was gone; and people stirred themselves uneasily, as folks do when having been within touch of the plague.
5002_70998_000024_000001	When he saw that she was gone, that the dreadful episode was done, he gasped hurriedly and sat down.	When he saw that she was gone, that the dreadful episode was done, he gasped hurriedly and sat down.
5002_70998_000025_000001	Then all signed their names in the church books, and the trumpeters and heralds made music for them.	Then all signed their names in the church books, and the trumpeters and heralds made music for them.
5002_70998_000026_000000	They returned through the streets of Nottingham, gay now with flags and merry with a joyful populace.	They returned through the streets of Nottingham, gay now with flags and merry with a joyful populace.
5002_70998_000026_000003	All the treasure that they had accumulated in their caves at Barnesdale the King's bowmen freely distributed this day.	All the treasure that they had accumulated in their caves at Barnesdale the King's bowmen freely distributed this day.
5002_70998_000026_000004	All were happy--the nightmare of unjust dealings, of Norman oppression, of laws for the poor and none for the rich, was ended.	All were happy-the nightmare of unjust dealings, of Norman oppression, of laws for the poor and none for the rich, was ended.
5002_70998_000026_000005	The King had said it, and the King had already made good the promise in his words.	The King had said it, and the King had already made good the promise in his words.
5002_70998_000027_000001	Sir Richard of the Lee and his son became members of the Star Chamber, with grants of land in perpetuity.	Sir Richard of the Lee and his son became members of the Star Chamber, with grants of land in perpetuity.
5002_70998_000028_000000	Turning to Marian, the King wished her every joy that she could wish herself, and gave to her the lands of Broadweald in Lancashire to hold in her own right for ever.	Turning to Marian, the King wished her every joy that she could wish herself, and gave to her the lands of Broadweald in Lancashire to hold in her own right for ever.
5002_70998_000028_000001	"Thus you shall have wealth to share with your Robin; and I counsel you both to make good use of your days.	"Thus you shall have wealth to share with your Robin; and I counsel you both to make good use of your days.
5002_70998_000028_000002	My subjects who are loyal to me shall have no cause to regret it.	My subjects who are loyal to me shall have no cause to regret it.
5002_70998_000028_000005	Help her to administer her riches, Geoffrey, wisely and well; and be you all ready when I shall call upon you.	Help her to administer her riches, Geoffrey, wisely and well; and be you all ready when I shall call upon you.
