6865_95963_000000_000000	The Master exclaimed, "What a work for philanthropy!	The Master exclaimed, "What a work for philanthropy!	false	0	0.12	-20
6865_95963_000007_000000	"What find you indeed in me?--a quiet brooder and memorizer; a student never satiated with learning; an unwearied monitor of others!	"What find you indeed in me?--a quiet brooder and memorizer; a student never satiated with learning; an unwearied monitor of others!	false	35.19	45.34	19
6865_95963_000008_000000	"The things which weigh heavily upon my mind are these--failure to improve in the virtues, failure in discussion of what is learnt, inability to walk according to knowledge received as to what is right and just, inability also to reform what has been amiss."	"The things which weigh heavily upon my mind are these-failure to improve in the virtues, failure in discussion of what is learnt, inability to walk according to knowledge received as to what is right and just, inability also to reform what has been amiss."	true	46.58	63.82	17
6865_95963_000009_000000	In his hours of recreation and refreshment the Master's manner was easy and unconstrained, affable and winning.	In his hours of recreation and refreshment the Master's manner was easy and unconstrained, affable and winning.	true	64.88	72.4	15
6865_95963_000010_000000	Once he exclaimed, "Alas!	Once he exclaimed, "Alas!	true	73.13	75.81	21.03817
6865_95963_000010_000001	I must be getting very feeble; 'tis long since I have had a repetition of the dreams in which I used to see the Duke of Chow. [17]	I must be getting very feeble; 'tis long since I have had a repetition of the dreams in which I used to see the Duke of Chow. [seventeen]	false	75.81	107.28	21.00759
6865_95963_000011_000000	"Concentrate the mind," said he, "upon the Good Way.	"Concentrate the mind," said he, "upon the Good Way.	true	107.28	110.71	21
6865_95963_000012_000000	"Maintain firm hold upon Virtue.	"Maintain firm hold upon Virtue.	true	111.2	113.95	21.10228
6865_95963_000013_000000	"Rely upon Philanthropy.	"Rely upon Philanthropy.	true	114.11	116.08	24.961435
6865_95963_000014_000000	"Find recreation in the Arts.	"Find recreation in the Arts.	false	116.18	120.3	20.46962
6865_95963_000014_000001	[18]	[eighteen]	false	120.3	131.19	20.889982
6865_95963_000015_000000	"I have never withheld instruction from any, even from those who have come for it with the smallest offering.	"I have never withheld instruction from any, even from those who have come for it with the smallest offering.	false	131.19	137.95	17
6865_95963_000016_000000	"No subject do I broach, however, to those who have no eager desire to learn; no encouraging hint do I give to those who show no anxiety to speak out their ideas; nor have I anything more to say to those who, after I have made clear one corner of the subject, cannot from that give me the other three."	"No subject do I broach, however, to those who have no eager desire to learn; no encouraging hint do I give to those who show no anxiety to speak out their ideas; nor have I anything more to say to those who, after I have made clear one corner of the subject, cannot from that give me the other three."	false	139.01	158.89	19
6865_95963_000017_000000	If the Master was taking a meal, and there were any in mourning beside him, he would not eat to the full.	If the Master was taking a meal, and there were any in mourning beside him, he would not eat to the full.	true	159.95	166.45	18
6865_95963_000018_000000	On one day on which he had wept, on that day he would not sing.	On one day on which he had wept, on that day he would not sing.	true	167.42	171.76	21
6865_95963_000019_000000	Addressing his favorite disciple, he said, "To you only and myself it has been given to do this--to go when called to serve, and to go back into quiet retirement when released from office."	Addressing his favorite disciple, he said, "To you only and myself it has been given to do this-to go when called to serve, and to go back into quiet retirement when released from office."	true	172.73	186.09	21.163103
6865_95963_000020_000000	Tsz-lu, hearing the remark said, "But if, sir, you had the handling of the army of one of the greater States,[19] whom would you have associated with you in that case?"	t s z lu, hearing the remark said, "But if, sir, you had the handling of the army of one of the greater States,[nineteen] whom would you have associated with you in that case?"	false	186.09	197.47	21.881033
6865_95963_000021_000000	The Master answered:--	The Master answered:--	true	197.96	199.26	26.304796
6865_95963_000022_000000	"Not the one 'who'll rouse the tiger,' Not the one 'who'll wade the Ho;'	"Not the one 'who'll rouse the tiger,' Not the one 'who'll wade the Ho;'	false	199.26	203.7	21.503378
6865_95963_000023_000000	not the man who can die with no regret.	not the man who can die with no regret.	true	203.7	206.35	16
6865_95963_000023_000001	He must be one who should watch over affairs with apprehensive caution, a man fond of strategy, and of perfect skill and effectiveness in it."	He must be one who should watch over affairs with apprehensive caution, a man fond of strategy, and of perfect skill and effectiveness in it."	false	206.69	232.575	21.881607
6865_95963_000024_000000	As to wealth, he remarked, "If wealth were an object that I could go in quest of, I should do so even if I had to take a whip and do grooms' work.	As to wealth, he remarked, "If wealth were an object that I could go in quest of, I should do so even if I had to take a whip and do grooms' work.	true	232.575	241.63	21
6865_95963_000024_000001	But seeing that it is not, I go after those objects for which I have a liking."	But seeing that it is not, I go after those objects for which I have a liking."	true	241.76	246.73	22
6865_95963_000025_000000	Among matters over which he exercised great caution were times of fasting, war, and sickness.	Among matters over which he exercised great caution were times of fasting, war, and sickness.	false	247.67	254.44	24
6865_95963_000026_000000	When he was in the State of Ts'i, and had heard the ancient Shau music, he lost all perception of the taste of his meat.	When he was in the State of Ts'i, and had heard the ancient Shau music, he lost all perception of the taste of his meat.	false	255.98	263.56	19
6865_95963_000026_000001	"I had no idea," said he, "that music could have been brought to this pitch."	"I had no idea," said he, "that music could have been brought to this pitch."	false	263.81	269.26	23.053152
6865_95963_000027_000000	In the course of conversation Yen Yu said, "Does the Master take the part of the Prince of Wei?" "Ah yes!" said Tsz-kung, "I will go and ask him that."	In the course of conversation Yen Yu said, "Does the Master take the part of the Prince of Wei?" "Ah yes!" said t s z kung, "I will go and ask him that."	false	270.35	280.45	20.869663
6865_95963_000028_000000	On going in to him, that disciple began, "What sort of men were Peh-I and Shuh Ts'i?" "Worthies of the olden time," the Master replied.	On going in to him, that disciple began, "What sort of men were p e h I and Shuh Ts'i?" "Worthies of the olden time," the Master replied.	false	281	290.47	22.343061
6865_95963_000028_000001	"Had they any feelings of resentment?" was the next question.	"Had they any feelings of resentment?" was the next question.	true	290.51	294.61	20.529146
6865_95963_000028_000002	"Their aim and object," he answered, "was that of doing the duty which every man owes to his fellows, and they succeeded in doing it;--what room further for feelings of resentment?"	"Their aim and object," he answered, "was that of doing the duty which every man owes to his fellows, and they succeeded in doing it;--what room further for feelings of resentment?"	true	295.1	306.25	20
6865_95963_000028_000003	The questioner on coming out said, "The Master does not take his part."	The questioner on coming out said, "The Master does not take his part."	true	307.04	311.53	23.428236
6865_95963_000029_000000	"With a meal of coarse rice," said the Master, "and with water to drink, and my bent arm for my pillow--even thus I can find happiness.	"With a meal of coarse rice," said the Master, "and with water to drink, and my bent arm for my pillow-even thus I can find happiness.	true	312.95	321.88	21
6865_95963_000029_000001	Riches and honors without righteousness are to me as fleeting clouds."	Riches and honors without righteousness are to me as fleeting clouds."	true	322.1	326.77	16
6865_95963_000030_000000	"Give me several years more to live," said he, "and after fifty years' study of the 'Book of Changes' I might come to be free from serious error."	"Give me several years more to live," said he, "and after fifty years' study of the 'Book of Changes' I might come to be free from serious error."	false	328.28	336.49	20
6865_95963_000031_000000	The Master's regular subjects of discourse were the "Books of the Odes" and "History," and the up-keeping of the Rules of Propriety.	The Master's regular subjects of discourse were the "Books of the Odes" and "History," and the up keeping of the Rules of Propriety.	true	337.7	345.52	23
6865_95963_000031_000001	On all of these he regularly discoursed.	On all of these he regularly discoursed.	false	345.74	348.55	20
6865_95963_000032_000000	The Duke of Shih questioned Tsz-lu about Confucius, and the latter did not answer.	The Duke of Shih questioned t s z lu about Confucius, and the latter did not answer.	false	349.79	354.97	20
6865_95963_000033_000000	Hearing of this, the Master said, "Why did you not say, He is a man with a mind so intent on his pursuits that he forgets his food, and finds such pleasure in them that he forgets his troubles, and does not know that old age is coming upon him?"	Hearing of this, the Master said, "Why did you not say, He is a man with a mind so intent on his pursuits that he forgets his food, and finds such pleasure in them that he forgets his troubles, and does not know that old age is coming upon him?"	true	355.07	369.94	19
6865_95963_000034_000000	"As I came not into life with any knowledge of it," he said, "and as my likings are for what is old, I busy myself in seeking knowledge there."	"As I came not into life with any knowledge of it," he said, "and as my likings are for what is old, I busy myself in seeking knowledge there."	true	371.33	381.25	20
6865_95963_000035_000000	Strange occurrences, exploits of strength, deeds of lawlessness, references to spiritual beings--such-like matters the Master avoided in conversation.	Strange occurrences, exploits of strength, deeds of lawlessness, references to spiritual beings-such like matters the Master avoided in conversation.	true	382.37	394	22
6865_95963_000036_000000	"Let there," he said, "be three men walking together: from that number I should be sure to find my instructors; for what is good in them I should choose out and follow, and what is not good I should modify."	"Let there," he said, "be three men walking together: from that number I should be sure to find my instructors; for what is good in them I should choose out and follow, and what is not good I should modify."	true	394.76	408.19	21
6865_95963_000037_000000	On one occasion he exclaimed, "Heaven begat Virtue in me; what can man do unto me?"	On one occasion he exclaimed, "Heaven begat Virtue in me; what can man do unto me?"	true	409.22	415.93	22
6865_95963_000038_000000	To his disciples he once said, "Do you look upon me, my sons, as keeping anything secret from you?	To his disciples he once said, "Do you look upon me, my sons, as keeping anything secret from you?	true	417.11	423.34	20
6865_95963_000038_000001	I hide nothing from you.	I hide nothing from you.	true	423.59	425.77	19.690731
6865_95963_000038_000002	I do nothing that is not manifest to your eyes, my disciples.	I do nothing that is not manifest to your eyes, my disciples.	true	425.9	430.33	19
6865_95963_000038_000003	That is so with me."	That is so with me."	true	430.43	432.46	20.918152
6865_95963_000039_000000	Four things there were which he kept in view in his teaching--scholarliness, conduct of life, honesty, faithfulness.	Four things there were which he kept in view in his teaching-scholarliness, conduct of life, honesty, faithfulness.	true	433.46	442.27	22.121246
6865_95963_000040_000000	"It is not given to me," he said, "to meet with a sage; let me but behold a man of superior mind, and that will suffice.	"It is not given to me," he said, "to meet with a sage; let me but behold a man of superior mind, and that will suffice.	true	443.6	452.08	22
6865_95963_000040_000001	Neither is it given to me to meet with a good man; let me but see a man of constancy, and it will suffice.	Neither is it given to me to meet with a good man; let me but see a man of constancy, and it will suffice.	true	452.24	459.88	20
6865_95963_000040_000002	It is difficult for persons to have constancy, when they pretend to have that which they are destitute of, to be full when they are empty, to do things on a grand scale when their means are contracted!"	It is difficult for persons to have constancy, when they pretend to have that which they are destitute of, to be full when they are empty, to do things on a grand scale when their means are contracted!"	false	460.25	472.54	18
6865_95963_000041_000000	When the Master fished with hook and line, he did not also use a net. When out with his bow, he would never shoot at game in cover.	When the Master fished with hook and line, he did not also use a net. When out with his bow, he would never shoot at game in cover.	true	473.18	481.93	22.925558
6865_95963_000042_000000	"Some there may be," said he, "who do things in ignorance of what they do.	"Some there may be," said he, "who do things in ignorance of what they do.	true	482.87	487.57	18
6865_95963_000042_000001	I am not of these.	I am not of these.	true	487.88	489.79	22
6865_95963_000042_000002	There is an alternative way of knowing things, viz.--to sift out the good from the many things one hears, and follow it; and to keep in memory the many things one sees."	There is an alternative way of knowing things, viz.--to sift out the good from the many things one hears, and follow it; and to keep in memory the many things one sees."	false	490.1	500.92	19
6865_95963_000043_000000	Pupils from Hu-hiang were difficult to speak with.	Pupils from Hu hiang were difficult to speak with.	false	503.12	506.44	24.353334
6865_95963_000043_000001	One youth came to interview the Master, and the disciples were in doubt whether he ought to have been seen.	One youth came to interview the Master, and the disciples were in doubt whether he ought to have been seen.	true	506.45	512.2	17
6865_95963_000043_000002	"Why so much ado," said the Master, "at my merely permitting his approach, and not rather at my allowing him to draw back? If a man have cleansed himself in order to come and see me, I receive him as such; but I do not undertake for what he will do when he goes away."	"Why so much ado," said the Master, "at my merely permitting his approach, and not rather at my allowing him to draw back? If a man have cleansed himself in order to come and see me, I receive him as such; but I do not undertake for what he will do when he goes away."	true	512.84	529.63	21
6865_95963_000044_000000	"Is the philanthropic spirit far to seek, indeed?" the Master exclaimed; "I wish for it, and it is with me!"	"Is the philanthropic spirit far to seek, indeed?" the Master exclaimed; "I wish for it, and it is with me!"	false	531.08	539.05	23.487938
6865_95963_000045_000000	The Minister of Crime in the State of Ch'in asked Confucius whether Duke Ch'an, of Lu was acquainted with the Proprieties; and he answered, "Yes, he knows them."	The Minister of Crime in the State of Ch'in asked Confucius whether Duke Ch'an, of Lu was acquainted with the Proprieties; and he answered, "Yes, he knows them."	false	539.96	550.78	23.436388
6865_95963_000046_000000	When Confucius had withdrawn, the minister bowed to Wu-ma K'i, a disciple, and motioned to him to come forward.	When Confucius had withdrawn, the minister bowed to Wu ma K'i, a disciple, and motioned to him to come forward.	false	551.36	558.49	22.748783
6865_95963_000046_000001	He said, "I have heard that superior men show no partiality; are they, too, then, partial?	He said, "I have heard that superior men show no partiality; are they, too, then, partial?	true	558.65	565.39	22.417622
6865_95963_000046_000002	That prince took for his wife a lady of the Wu family, having the same surname as himself, and had her named 'Lady Tsz of Wu, the elder,' If he knows the Proprieties, then who does not?"	That prince took for his wife a lady of the Wu family, having the same surname as himself, and had her named 'Lady t s z of Wu, the elder,' If he knows the Proprieties, then who does not?"	false	565.52	578.14	21
6865_95963_000047_000000	The disciple reported this to the Master, who thereupon remarked, "Well for me!	The disciple reported this to the Master, who thereupon remarked, "Well for me!	false	578.93	584.61	23.643997
6865_95963_000047_000001	If I err in any way, others are sure to know of it."	If I err in any way, others are sure to know of it."	false	584.61	588.37	22
6865_95963_000048_000000	When the Master was in company with any one who sang, and who sang well, he must needs have the song over again, and after that would join in it.	When the Master was in company with any one who sang, and who sang well, he must needs have the song over again, and after that would join in it.	true	590.45	599.74	16
6865_95963_000049_000000	"Although in letters," he said, "I may have none to compare with me, yet in my personification of the 'superior man' I have not as yet been successful."	"Although in letters," he said, "I may have none to compare with me, yet in my personification of the 'superior man' I have not as yet been successful."	true	600.92	610.48	20
6865_95963_000050_000000	"'A Sage and a Philanthropist?' How should I have the ambition?" said he.	"'A Sage and a Philanthropist?' How should I have the ambition?" said he.	true	611.6	616.69	21.308409
6865_95963_000050_000001	"All that I can well be called is this--An insatiable student, an unwearied teacher;--this, and no more."--"Exactly what we, your disciples, cannot by any learning manage to be," said Kung-si Hwa.	"All that I can well be called is this-An insatiable student, an unwearied teacher;--this, and no more."--"Exactly what we, your disciples, cannot by any learning manage to be," said Kung si Hwa.	false	616.82	631.36	25
6865_95963_000051_000000	Once when the Master was seriously ill, Tsz-lu requested to be allowed to say prayers for him.	Once when the Master was seriously ill, t s z lu requested to be allowed to say prayers for him.	false	632.54	638.53	22
6865_95963_000051_000001	"Are such available?" asked the Master.	"Are such available?" asked the Master.	true	638.99	641.71	20.839989
6865_95963_000051_000002	"Yes," said he; "and the Manual of Prayers says, 'Pray to the spirits above and to those here below,'"	"Yes," said he; "and the Manual of Prayers says, 'Pray to the spirits above and to those here below,'"	false	641.9	648.76	25.579357
6865_95963_000052_000000	"My praying has been going on a long while," said the Master.	"My praying has been going on a long while," said the Master.	true	649.61	653.56	16
6865_95963_000053_000000	"Lavish living," he said, "renders men disorderly; miserliness makes them hard.	"Lavish living," he said, "renders men disorderly; miserliness makes them hard.	true	655.07	661.66	19.665327
6865_95963_000053_000001	Better, however, the hard than the disorderly."	Better, however, the hard than the disorderly."	true	661.73	665.02	23.417532
6865_95963_000054_000000	Again, "The man of superior mind is placidly composed; the small-minded man is in a constant state of perturbation."	Again, "The man of superior mind is placidly composed; the small minded man is in a constant state of perturbation."	true	665.99	673.9	22
6865_95963_000055_000000	The Master was gentle, yet could be severe; had an over-awing presence, yet was not violent; was deferential, yet easy.	The Master was gentle, yet could be severe; had an over awing presence, yet was not violent; was deferential, yet easy.	false	675.95	696.75	21.288645
