6620_283138_000000_000000	APPENDIX IV.	APPENDIX i v.	false	23.1	24.72	25.513954
6620_283138_000003_000001	It seems indeed certain, that the SENTIMENT of conscious worth, the self-satisfaction proceeding from a review of a man's own conduct and character; it seems certain, I say, that this sentiment, which, though the most common of all others, has no proper name in our language,	It seems indeed certain, that the SENTIMENT of conscious worth, the self satisfaction proceeding from a review of a man's own conduct and character; it seems certain, I say, that this sentiment, which, though the most common of all others, has no proper name in our language,	false	280.88	303.24	20.983637
6620_283138_000004_000000	[Footnote: The term, pride, is commonly taken in a bad sense; but this sentiment seems indifferent, and may be either good or bad, according as it is well or ill founded, and according to the other circumstances which accompany it.	[Footnote: The term, pride, is commonly taken in a bad sense; but this sentiment seems indifferent, and may be either good or bad, according as it is well or ill founded, and according to the other circumstances which accompany it.	false	303.24	316.3	22.239727
6620_283138_000004_000001	The French express this sentiment by the term, AMOUR PROPRE, but as they also express self-love as well as vanity by the same term, there arises thence a great confusion in Rochefoucault, and many of their moral writers.]	The French express this sentiment by the term, AMOUR p r o p r e, but as they also express self love as well as vanity by the same term, there arises thence a great confusion in Rochefoucault, and many of their moral writers.]	false	316.88	329.67	22.263584
6620_283138_000005_000000	arises from the endowments of courage and capacity, industry and ingenuity, as well as from any other mental excellencies.	arises from the endowments of courage and capacity, industry and ingenuity, as well as from any other mental excellencies.	false	329.67	332.64	17.406834
6620_283138_000005_000001	Who, on the other hand, is not deeply mortified with reflecting on his own folly and dissoluteness, and feels not a secret sting or compunction whenever his memory presents any past occurrence, where he behaved with stupidity of ill-manners?	Who, on the other hand, is not deeply mortified with reflecting on his own folly and dissoluteness, and feels not a secret sting or compunction whenever his memory presents any past occurrence, where he behaved with stupidity of ill manners?	false	332.64	344.86	18
6620_283138_000005_000002	No time can efface the cruel ideas of a man's own foolish conduct, or of affronts, which cowardice or impudence has brought upon him.	No time can efface the cruel ideas of a man's own foolish conduct, or of affronts, which cowardice or impudence has brought upon him.	true	345.29	353.38	22.895985
6620_283138_000005_000003	They still haunt his solitary hours, damp his most aspiring thoughts, and show him, even to himself, in the most contemptible and most odious colours imaginable.	They still haunt his solitary hours, damp his most aspiring thoughts, and show him, even to himself, in the most contemptible and most odious colours imaginable.	true	353.75	363.73	21.539848
6620_283138_000006_000000	What is there too we are more anxious to conceal from others than such blunders, infirmities, and meannesses, or more dread to have exposed by raillery and satire?	What is there too we are more anxious to conceal from others than such blunders, infirmities, and meannesses, or more dread to have exposed by raillery and satire?	false	364.82	374.29	17.971413
6620_283138_000006_000001	And is not the chief object of vanity, our bravery or learning, our wit or breeding, our eloquence or address, our taste or abilities?	And is not the chief object of vanity, our bravery or learning, our wit or breeding, our eloquence or address, our taste or abilities?	false	375.08	382.12	16
6620_283138_000006_000002	These we display with care, if not with ostentation; and we commonly show more ambition of excelling in them, than even in the social virtues themselves, which are, in reality, of such superior excellence.	These we display with care, if not with ostentation; and we commonly show more ambition of excelling in them, than even in the social virtues themselves, which are, in reality, of such superior excellence.	true	383.27	394.78	20.377668
6620_283138_000006_000003	Good-nature and honesty, especially the latter, are so indispensably required, that, though the greatest censure attends any violation of these duties, no eminent praise follows such common instances of them, as seem essential to the support of human society. And hence the reason, in my opinion, why, though men often extol so liberally the qualities of their heart, they are shy in commending the endowments of their head: because the latter virtues, being supposed more rare and extraordinary, are observed to be the more usual objects of pride and self-conceit; and when boasted of, beget a strong suspicion of these sentiments.	Good nature and honesty, especially the latter, are so indispensably required, that, though the greatest censure attends any violation of these duties, no eminent praise follows such common instances of them, as seem essential to the support of human society. And hence the reason, in my opinion, why, though men often extol so liberally the qualities of their heart, they are shy in commending the endowments of their head: because the latter virtues, being supposed more rare and extraordinary, are observed to be the more usual objects of pride and self conceit; and when boasted of, beget a strong suspicion of these sentiments.	false	395.3	429.91	22.249304
6620_283138_000007_000000	It is hard to tell, whether you hurt a man's character most by calling him a knave or a coward, and whether a beastly glutton or drunkard be not as odious and contemptible, as a selfish, ungenerous miser.	It is hard to tell, whether you hurt a man's character most by calling him a knave or a coward, and whether a beastly glutton or drunkard be not as odious and contemptible, as a selfish, ungenerous miser.	true	431.51	442.66	22.645308
6620_283138_000007_000001	Give me my choice, and I would rather, for my own happiness and self-enjoyment, have a friendly, humane heart, than possess all the other virtues of Demosthenes and Philip united: but I would rather pass with the world for one endowed with extensive genius and intrepid courage, and should thence expect stronger instances of general applause and admiration.	Give me my choice, and I would rather, for my own happiness and self enjoyment, have a friendly, humane heart, than possess all the other virtues of Demosthenes and Philip united: but I would rather pass with the world for one endowed with extensive genius and intrepid courage, and should thence expect stronger instances of general applause and admiration.	false	443.06	461.77	21.307718
6620_283138_000007_000002	The figure which a man makes in life, the reception which he meets with in company, the esteem paid him by his acquaintance; all these advantages depend as much upon his good sense and judgement, as upon any other part of his character.	The figure which a man makes in life, the reception which he meets with in company, the esteem paid him by his acquaintance; all these advantages depend as much upon his good sense and judgement, as upon any other part of his character.	true	462.29	475.33	22.351028
6620_283138_000007_000003	Had a man the best intentions in the world, and were the farthest removed from all injustice and violence, he would never be able to make himself be much regarded, without a moderate share, at least, of parts and understanding.	Had a man the best intentions in the world, and were the farthest removed from all injustice and violence, he would never be able to make himself be much regarded, without a moderate share, at least, of parts and understanding.	true	475.79	486.76	19.578234
6620_283138_000008_000000	What is it then we can here dispute about?	What is it then we can here dispute about?	true	487.7	489.79	24.346806
6620_283138_000008_000001	If sense and courage, temperance and industry, wisdom and knowledge confessedly form a considerable part of PERSONAL MERIT: if a man, possessed of these qualities, is both better satisfied with himself, and better entitled to the good-will, esteem, and services of others, than one entirely destitute of them; if, in short, the SENTIMENTS are similar which arise from these endowments and from the social virtues; is there any reason for being so extremely scrupulous about a WORD, or disputing whether they be entitled to the denomination of virtues?	If sense and courage, temperance and industry, wisdom and knowledge confessedly form a considerable part of PERSONAL MERIT: if a man, possessed of these qualities, is both better satisfied with himself, and better entitled to the good will, esteem, and services of others, than one entirely destitute of them; if, in short, the SENTIMENTS are similar which arise from these endowments and from the social virtues; is there any reason for being so extremely scrupulous about a WORD, or disputing whether they be entitled to the denomination of virtues?	false	489.92	518.32	21.858965
6620_283138_000008_000002	It may, indeed, be pretended, that the sentiment of approbation, which those accomplishments produce, besides its being INFERIOR, is also somewhat DIFFERENT from that which attends the virtues of justice and humanity. But this seems not a sufficient reason for ranking them entirely under different classes and appellations.	It may, indeed, be pretended, that the sentiment of approbation, which those accomplishments produce, besides its being INFERIOR, is also somewhat DIFFERENT from that which attends the virtues of justice and humanity. But this seems not a sufficient reason for ranking them entirely under different classes and appellations.	false	518.99	535.48	18.674742
6620_283138_000008_000003	The character of Caesar and that of Cato, as drawn by Sallust, are both of them virtuous, in the strictest and most limited sense of the word; but in a different way: nor are the sentiments entirely the same which arise from them.	The character of Caesar and that of Cato, as drawn by Sallust, are both of them virtuous, in the strictest and most limited sense of the word; but in a different way: nor are the sentiments entirely the same which arise from them.	false	535.94	548.47	20.005396
6620_283138_000008_000004	The one produces love, the other esteem: the one is amiable, the other awful: we should wish to meet the one character in a friend; the other we should be ambitious of in ourselves.	The one produces love, the other esteem: the one is amiable, the other awful: we should wish to meet the one character in a friend; the other we should be ambitious of in ourselves.	true	549.02	559.33	20.658255
6620_283138_000008_000005	In like manner the approbation, which attends temperance or industry or frugality, may be somewhat different from that which is paid to the social virtues, without making them entirely of a different species.	In like manner the approbation, which attends temperance or industry or frugality, may be somewhat different from that which is paid to the social virtues, without making them entirely of a different species.	false	559.94	569.92	21.78837
6620_283138_000008_000006	And, indeed, we may observe, that these endowments, more than the other virtues, produce not, all of them, the same kind of approbation.	And, indeed, we may observe, that these endowments, more than the other virtues, produce not, all of them, the same kind of approbation.	true	570.38	577.21	19.421179
6620_283138_000008_000007	Good sense and genius beget esteem and regard: wit and humour excite love and affection.	Good sense and genius beget esteem and regard: wit and humour excite love and affection.	false	577.7	583.12	20.748142
6620_283138_000009_000000	[Footnote: Love and esteem are nearly the same passion, and arise from similar causes.	[Footnote: Love and esteem are nearly the same passion, and arise from similar causes.	true	584.09	589.48	19.446436
6620_283138_000009_000001	The qualities, which produce both, are such as communicate pleasures.	The qualities, which produce both, are such as communicate pleasures.	true	589.88	593.17	23.810131
6620_283138_000009_000002	But where this pleasure is severe and serious; or where its object is great, and makes a strong impression, or where it produces any degree of humility and awe; in all these cases, the passion, which arises from the pleasure, is more properly denominated esteem than love.	But where this pleasure is severe and serious; or where its object is great, and makes a strong impression, or where it produces any degree of humility and awe; in all these cases, the passion, which arises from the pleasure, is more properly denominated esteem than love.	true	593.99	608.62	22.103855
6620_283138_000009_000003	Benevolence attends both; but is connected with love in a more eminent degree.	Benevolence attends both; but is connected with love in a more eminent degree.	true	609.38	613.87	22.965488
6620_283138_000009_000004	There seems to be still a stronger mixture of pride in contempt than of humility in esteem; and the reason would not be difficulty to one, who studied accurately the passions.	There seems to be still a stronger mixture of pride in contempt than of humility in esteem; and the reason would not be difficulty to one, who studied accurately the passions.	false	614.69	624.4	24.167778
6620_283138_000009_000005	All these various mixtures and compositions and appearances of sentiment from a very curious subject of speculation, but are wide for our present purpose.	All these various mixtures and compositions and appearances of sentiment from a very curious subject of speculation, but are wide for our present purpose.	false	625.25	633.25	20.579304
6620_283138_000009_000006	Throughout this enquiry, we always consider in general, what qualities are a subject of praise or of censure, without entering into all the minute differences of sentiment, which they excite.	Throughout this enquiry, we always consider in general, what qualities are a subject of praise or of censure, without entering into all the minute differences of sentiment, which they excite.	false	634.28	643.77	23.33635
6620_283138_000009_000007	It is evident, that whatever is contemned, is also disliked, as well as what is hated; and we here endeavour to take objects, according to their most simple views and appearances.	It is evident, that whatever is contemned, is also disliked, as well as what is hated; and we here endeavour to take objects, according to their most simple views and appearances.	false	643.77	653.32	18.407621
6620_283138_000009_000008	These sciences are but too apt to appear abstract to common readers, even with all the precautions which we can take to clear them from superfluous speculations, and bring them down to every capacity.]	These sciences are but too apt to appear abstract to common readers, even with all the precautions which we can take to clear them from superfluous speculations, and bring them down to every capacity.]	false	653.66	666.63	22.536142
6620_283138_000010_000000	Most people, I believe, will naturally, without premeditation, assent to the definition of the elegant and judicious poet:	Most people, I believe, will naturally, without premeditation, assent to the definition of the elegant and judicious poet:	true	666.63	673.24	21
6620_283138_000011_000000	Virtue (for mere good-nature is a fool) Is sense and spirit with humanity.	Virtue (for mere good nature is a fool) Is sense and spirit with humanity.	true	673.58	678.24	21.009985
6620_283138_000012_000000	[Footnote: The Art of preserving Health.	[Footnote: The Art of preserving Health.	false	678.24	679.05	-20
6620_283138_000012_000001	Book 4]	Book four]	false	679.05	679.35	-20
6620_283138_000013_000000	What pretensions has a man to our generous assistance or good offices, who has dissipated his wealth in profuse expenses, idle vanities, chimerical projects, dissolute pleasures or extravagant gaming?	What pretensions has a man to our generous assistance or good offices, who has dissipated his wealth in profuse expenses, idle vanities, chimerical projects, dissolute pleasures or extravagant gaming?	true	679.35	691.03	22
6620_283138_000013_000001	These vices (for we scruple not to call them such) bring misery unpitied, and contempt on every one addicted to them.	These vices (for we scruple not to call them such) bring misery unpitied, and contempt on every one addicted to them.	true	691.31	698.56	20.107151
6620_283138_000014_000000	Achaeus, a wise and prudent prince, fell into a fatal snare, which cost him his crown and life, after having used every reasonable precaution to guard himself against it.	Achaeus, a wise and prudent prince, fell into a fatal snare, which cost him his crown and life, after having used every reasonable precaution to guard himself against it.	true	699.5	709.27	22.455618
6620_283138_000014_000001	On that account, says the historian, he is a just object of regard and compassion: his betrayers alone of hatred and contempt [Footnote: Polybius, lib.	On that account, says the historian, he is a just object of regard and compassion: his betrayers alone of hatred and contempt [Footnote: Polybius, lib.	false	709.7	717.42	23.727722
6620_283138_000014_000002	iii. cap.	iii. cap.	false	717.42	717.81	-20
6620_283138_000014_000003	2].	two].	false	717.81	718.02	-20
6620_283138_000015_000000	The precipitate flight and improvident negligence of Pompey, at the beginning of the civil wars, appeared such notorious blunders to Cicero, as quite palled his friendship towards that great man.	The precipitate flight and improvident negligence of Pompey, at the beginning of the civil wars, appeared such notorious blunders to Cicero, as quite palled his friendship towards that great man.	false	718.02	728.29	22.552914
6620_283138_000015_000001	In the same manner, says he, as want of cleanliness, decency, or discretion in a mistress are found to alienate our affections.	In the same manner, says he, as want of cleanliness, decency, or discretion in a mistress are found to alienate our affections.	true	729.17	735.91	20.391129
6620_283138_000015_000002	For so he expresses himself, where he talks, not in the character of a philosopher, but in that of a statesman and man of the world, to his friend Atticus. [Lib. ix.	For so he expresses himself, where he talks, not in the character of a philosopher, but in that of a statesman and man of the world, to his friend Atticus. [Lib. ix.	false	736.37	744.54	24.866634
6620_283138_000015_000003	epist. 10].	epist. ten].	false	744.54	745.05	-20
6620_283138_000015_000004	But the same Cicero, in imitation of all the ancient moralists, when he reasons as a philosopher, enlarges very much his ideas of virtue, and comprehends every laudable quality or endowment of the mind, under that honourable appellation.	But the same Cicero, in imitation of all the ancient moralists, when he reasons as a philosopher, enlarges very much his ideas of virtue, and comprehends every laudable quality or endowment of the mind, under that honourable appellation.	true	745.05	757.78	18.880806
6620_283138_000015_000005	This leads to the THIRD reflection, which we proposed to make, to wit, that the ancient moralists, the best models, made no material distinction among the different species of mental endowments and defects, but treated all alike under the appellation of virtues and vices, and made them indiscriminately the object of their moral reasonings.	This leads to the THIRD reflection, which we proposed to make, to wit, that the ancient moralists, the best models, made no material distinction among the different species of mental endowments and defects, but treated all alike under the appellation of virtues and vices, and made them indiscriminately the object of their moral reasonings.	false	758.54	777.46	22.612099
6620_283138_000015_000006	The prudence explained in Cicero's Offices [Footnote: Lib.	The prudence explained in Cicero's Offices [Footnote: Lib.	false	778.16	780.6	22
6620_283138_000015_000007	i.	i.	false	780.6	780.6	
6620_283138_000015_000008	cap.	cap.	false	780.6	780.6	
6620_283138_000015_000009	6.] is that sagacity, which leads to the discovery of truth, and preserves us from error and mistake.	six.] is that sagacity, which leads to the discovery of truth, and preserves us from error and mistake.	false	780.6	786.16	20.667679
6620_283138_000015_000010	MAGNANIMITY, TEMPERANCE, DECENCY, are there also at large discoursed of.	MAGNANIMITY, TEMPERANCE, DECENCY, are there also at large discoursed of.	false	786.8	792.03	18.606083
6620_283138_000015_000011	And as that eloquent moralist followed the common received division of the four cardinal virtues, our social duties form but one head, in the general distribution of his subject.	And as that eloquent moralist followed the common received division of the four cardinal virtues, our social duties form but one head, in the general distribution of his subject.	false	792.03	801.19	21.661469
6620_283138_000016_000000	[Footnote: The following passage of Cicero is worth quoting, as being the most clear and express to our purpose, that any thing can be imagined, and, in a dispute, which is chiefly verbal, must, on account of the author, carry an authority, from which there can be no appeal.	[Footnote: The following passage of Cicero is worth quoting, as being the most clear and express to our purpose, that any thing can be imagined, and, in a dispute, which is chiefly verbal, must, on account of the author, carry an authority, from which there can be no appeal.	false	802.61	817.8	23.264536
6620_283138_000017_000000	'Virtus autem, quae est per se ipsa laudabilis, et sine qua nihil laudari potest, tamen habet plures partes, quarum alia est alia ad laudationem aptior.	'Virtus autem, quae est per se ipsa laudabilis, et sine qua nihil laudari potest, tamen habet plures partes, quarum alia est alia ad laudationem aptior.	false	817.8	829.815	24.434166
6620_283138_000017_000001	Sunt enim aliae virtutes, quae videntur in moribus hominum, et quadam comitate ac beneficentia positae: aliae quae in ingenii aliqua facultate, aut animi magnitudine ac robore.	Sunt enim aliae virtutes, quae videntur in moribus hominum, et quadam comitate a c beneficentia positae: aliae quae in ingenii aliqua facultate, a u t animi magnitudine a c robore.	false	829.815	844.23	26.131079
6620_283138_000017_000002	Nam clementia, justitia, benignitas, fides, fortitudo in periculis communibus, jucunda est auditu in laudationibus.	Nam clementia, justitia, benignitas, fides, fortitudo in periculis communibus, jucunda est auditu in laudationibus.	false	844.23	853.47	23.133295
6620_283138_000017_000003	Omnes enim hae virtutes non tam ipsis, qui eas in se habent, quam generi hominum fructuosae putantur.	Omnes enim hae virtutes non tam ipsis, qui e a s in se habent, quam generi hominum fructuosae putantur.	false	853.47	862.36	21.242575
6620_283138_000017_000004	Sapientia et magnitude animi, qua omnes res humanae tenues et pro nihilo putantur, et in cogitando vis quaedam ingenii, et ipsa eloquentia admirationis habet non minus, jucunditatis minus.	Sapientia et magnitude animi, qua omnes res humanae tenues et pro nihilo putantur, et in cogitando vis quaedam ingenii, et ipsa eloquentia admirationis habet non minus, jucunditatis minus.	false	862.37	878.16	22.07446
6620_283138_000017_000005	Ipsos enim magis videntur, quos laudamus, quam illos, apud quos laudamus ornare ac tueri: sed tamen in laudenda jungenda sunt eliam haec genera virtutum. Ferunt enim aures bominum, cum ilia quae jucunda et grata, tum etiam ilia, quae mirabilia sunt in virtute, laudari.' De orat.	Ipsos enim magis videntur, quos laudamus, quam illos, apud quos laudamus ornare a c tueri: s e d tamen in laudenda jungenda sunt eliam h a e c genera virtutum. Ferunt enim aures bominum, cum ilia quae jucunda et grata, tum etiam ilia, quae mirabilia sunt in virtute, laudari.' De orat.	false	878.16	899.55	20.925934
6620_283138_000017_000006	lib. ii.	lib. ii.	false	899.55	900.09	10
6620_283138_000017_000007	cap. 84.	cap. eighty four.	false	900.09	901.36	24.52267
6620_283138_000018_000000	I suppose, if Cicero were now alive, it would be found difficult to fetter his moral sentiments by narrow systems; or persuade him, that no qualities were to be admitted as virtues, or acknowledged to be a part of PERSONAL MERIT, but what were recommended by The Whole Duty of Man.]	I suppose, if Cicero were now alive, it would be found difficult to fetter his moral sentiments by narrow systems; or persuade him, that no qualities were to be admitted as virtues, or acknowledged to be a part of PERSONAL MERIT, but what were recommended by The Whole Duty of Man.]	false	902.42	918.525	22.373327
6620_283138_000019_000000	We need only peruse the titles of chapters in Aristotle's Ethics to be convinced that he ranks courage, temperance, magnificence, magnanimity, modesty, prudence, and a manly openness, among the virtues, as well as justice and friendship.	We need only peruse the titles of chapters in Aristotle's Ethics to be convinced that he ranks courage, temperance, magnificence, magnanimity, modesty, prudence, and a manly openness, among the virtues, as well as justice and friendship.	true	918.525	931.57	22.683155
6620_283138_000020_000000	To SUSTAIN and to ABSTAIN, that is, to be patient and continent, appeared to some of the ancients a summary comprehension of all morals.	To SUSTAIN and to ABSTAIN, that is, to be patient and continent, appeared to some of the ancients a summary comprehension of all morals.	true	932.21	939.7	19.899622
6620_283138_000021_000000	Epictetus has scarcely ever mentioned the sentiment of humanity and compassion, but in order to put his disciples on their guard against it. The virtue of the Stoics seems to consist chiefly in a firm temper and a sound understanding.	Epictetus has scarcely ever mentioned the sentiment of humanity and compassion, but in order to put his disciples on their guard against it. The virtue of the Stoics seems to consist chiefly in a firm temper and a sound understanding.	true	940.67	952.87	21.34443
6620_283138_000021_000001	With them, as with Solomon and the eastern moralists, folly and wisdom are equivalent to vice and virtue.	With them, as with Solomon and the eastern moralists, folly and wisdom are equivalent to vice and virtue.	true	953.24	959.53	18.84262
6620_283138_000022_000000	Men will praise thee, says David, [Footnote: Psalm 49th.] when thou dost well unto thyself.	Men will praise thee, says David, [Footnote: psalm forty ninth.] when thou dost well unto thyself.	false	960.23	964.21	22.843552
6620_283138_000022_000001	I hate a wise man, says the Greek poet, who is not wise to himself [Footnote: Here, Hume quotes Euripedes in Greek]. Plutarch is no more cramped by systems in his philosophy than in his history.	I hate a wise man, says the Greek poet, who is not wise to himself [Footnote: Here, Hume quotes Euripedes in Greek]. Plutarch is no more cramped by systems in his philosophy than in his history.	false	964.58	973.69	22.575935
6620_283138_000022_000002	Where he compares the great men of Greece and Rome, he fairly sets in opposition all their blemishes and accomplishments of whatever kind, and omits nothing considerable, which can either depress or exalt their characters.	Where he compares the great men of Greece and Rome, he fairly sets in opposition all their blemishes and accomplishments of whatever kind, and omits nothing considerable, which can either depress or exalt their characters.	true	974.15	985.3	21.221224
6620_283138_000022_000003	His moral discourses contain the same free and natural censure of men and manners.	His moral discourses contain the same free and natural censure of men and manners.	true	985.64	990.25	18.886648
6620_283138_000023_000000	The character of Hannibal, as drawn by Livy, [Footnote: Lib. xxi.	The character of Hannibal, as drawn by Livy, [Footnote: Lib. x x i.	false	991.43	993.93	21.900782
6620_283138_000023_000001	cap. 4] is esteemed partial, but allows him many eminent virtues.	cap. four] is esteemed partial, but allows him many eminent virtues.	false	993.93	997.6	22
6620_283138_000023_000002	Never was there a genius, says the historian, more equally fitted for those opposite offices of commanding and obeying; and it were, therefore, difficult to determine whether he rendered himself DEARER to the general or to the army.	Never was there a genius, says the historian, more equally fitted for those opposite offices of commanding and obeying; and it were, therefore, difficult to determine whether he rendered himself DEARER to the general or to the army.	true	998.12	1010.38	18.104393
6620_283138_000023_000003	To none would Hasdrubal entrust more willingly the conduct of any dangerous enterprize; under none did the soldiers discover more courage and confidence.	To none would Hasdrubal entrust more willingly the conduct of any dangerous enterprize; under none did the soldiers discover more courage and confidence.	true	1010.75	1019.68	21.451132
6620_283138_000023_000004	Great boldness in facing danger; great prudence in the midst of it.	Great boldness in facing danger; great prudence in the midst of it.	true	1020.32	1024.27	22.22526
6620_283138_000023_000005	No labour could fatigue his body or subdue his mind.	No labour could fatigue his body or subdue his mind.	true	1024.67	1027.99	23.905897
6620_283138_000023_000006	Cold and heat were indifferent to him: meat and drink he sought as supplies to the necessities of nature, not as gratifications of his voluptuous appetites.	Cold and heat were indifferent to him: meat and drink he sought as supplies to the necessities of nature, not as gratifications of his voluptuous appetites.	true	1028.36	1036.84	26.234516
