6620_283138_000000_000001	OF SOME VERBAL DISPUTES.	OF SOME VERBAL DISPUTES.
6620_283138_000008_000004	The one produces love, the other esteem: the one is amiable, the other awful: we should wish to meet the one character in a friend; the other we should be ambitious of in ourselves.	The one produces love, the other esteem: the one is amiable, the other awful: we should wish to meet the one character in a friend; the other we should be ambitious of in ourselves.
6620_283138_000009_000001	The qualities, which produce both, are such as communicate pleasures.	The qualities, which produce both, are such as communicate pleasures.
6620_283138_000009_000002	But where this pleasure is severe and serious; or where its object is great, and makes a strong impression, or where it produces any degree of humility and awe; in all these cases, the passion, which arises from the pleasure, is more properly denominated esteem than love.	But where this pleasure is severe and serious; or where its object is great, and makes a strong impression, or where it produces any degree of humility and awe; in all these cases, the passion, which arises from the pleasure, is more properly denominated esteem than love.
6620_283138_000009_000003	Benevolence attends both; but is connected with love in a more eminent degree.	Benevolence attends both; but is connected with love in a more eminent degree.
6620_283138_000010_000000	Most people, I believe, will naturally, without premeditation, assent to the definition of the elegant and judicious poet:	Most people, I believe, will naturally, without premeditation, assent to the definition of the elegant and judicious poet:
6620_283138_000011_000000	Virtue (for mere good-nature is a fool) Is sense and spirit with humanity.	Virtue (for mere good nature is a fool) Is sense and spirit with humanity.
6620_283138_000013_000000	What pretensions has a man to our generous assistance or good offices, who has dissipated his wealth in profuse expenses, idle vanities, chimerical projects, dissolute pleasures or extravagant gaming?	What pretensions has a man to our generous assistance or good offices, who has dissipated his wealth in profuse expenses, idle vanities, chimerical projects, dissolute pleasures or extravagant gaming?
6620_283138_000013_000001	These vices (for we scruple not to call them such) bring misery unpitied, and contempt on every one addicted to them.	These vices (for we scruple not to call them such) bring misery unpitied, and contempt on every one addicted to them.
6620_283138_000014_000000	Achaeus, a wise and prudent prince, fell into a fatal snare, which cost him his crown and life, after having used every reasonable precaution to guard himself against it.	Achaeus, a wise and prudent prince, fell into a fatal snare, which cost him his crown and life, after having used every reasonable precaution to guard himself against it.
6620_283138_000015_000001	In the same manner, says he, as want of cleanliness, decency, or discretion in a mistress are found to alienate our affections.	In the same manner, says he, as want of cleanliness, decency, or discretion in a mistress are found to alienate our affections.
6620_283138_000019_000000	We need only peruse the titles of chapters in Aristotle's Ethics to be convinced that he ranks courage, temperance, magnificence, magnanimity, modesty, prudence, and a manly openness, among the virtues, as well as justice and friendship.	We need only peruse the titles of chapters in Aristotle's Ethics to be convinced that he ranks courage, temperance, magnificence, magnanimity, modesty, prudence, and a manly openness, among the virtues, as well as justice and friendship.
6620_283138_000021_000000	Epictetus has scarcely ever mentioned the sentiment of humanity and compassion, but in order to put his disciples on their guard against it. The virtue of the Stoics seems to consist chiefly in a firm temper and a sound understanding.	Epictetus has scarcely ever mentioned the sentiment of humanity and compassion, but in order to put his disciples on their guard against it. The virtue of the Stoics seems to consist chiefly in a firm temper and a sound understanding.
6620_283138_000022_000002	Where he compares the great men of Greece and Rome, he fairly sets in opposition all their blemishes and accomplishments of whatever kind, and omits nothing considerable, which can either depress or exalt their characters.	Where he compares the great men of Greece and Rome, he fairly sets in opposition all their blemishes and accomplishments of whatever kind, and omits nothing considerable, which can either depress or exalt their characters.
6620_283138_000023_000003	To none would Hasdrubal entrust more willingly the conduct of any dangerous enterprize; under none did the soldiers discover more courage and confidence.	To none would Hasdrubal entrust more willingly the conduct of any dangerous enterprize; under none did the soldiers discover more courage and confidence.
6620_283138_000023_000004	Great boldness in facing danger; great prudence in the midst of it.	Great boldness in facing danger; great prudence in the midst of it.
6620_283138_000023_000005	No labour could fatigue his body or subdue his mind.	No labour could fatigue his body or subdue his mind.
6620_283138_000023_000006	Cold and heat were indifferent to him: meat and drink he sought as supplies to the necessities of nature, not as gratifications of his voluptuous appetites.	Cold and heat were indifferent to him: meat and drink he sought as supplies to the necessities of nature, not as gratifications of his voluptuous appetites.
6620_283138_000023_000007	Waking or rest he used indiscriminately, by night or by day.--These great Virtues were balanced by great Vices; inhuman cruelty; perfidy more than punic; no truth, no faith, no regard to oaths, promises, or religion.	Waking or rest he used indiscriminately, by night or by day.--These great Virtues were balanced by great Vices; inhuman cruelty; perfidy more than punic; no truth, no faith, no regard to oaths, promises, or religion.
6620_283138_000024_000001	In this pope, says he, there was a singular capacity and judgement: admirable prudence; a wonderful talent of persuasion; and in all momentous enterprizes a diligence and dexterity incredible.	In this pope, says he, there was a singular capacity and judgement: admirable prudence; a wonderful talent of persuasion; and in all momentous enterprizes a diligence and dexterity incredible.
6620_283138_000024_000002	But these VIRTUES were infinitely overbalanced by his VICES; no faith, no religion, insatiable avarice, exorbitant ambition, and a more than barbarous cruelty.	But these VIRTUES were infinitely overbalanced by his VICES; no faith, no religion, insatiable avarice, exorbitant ambition, and a more than barbarous cruelty.
6620_283138_000026_000007	They justly considered that cowardice, meanness, levity, anxiety, impatience, folly, and many other qualities of the mind, might appear ridiculous and deformed, contemptible and odious, though independent of the will.	They justly considered that cowardice, meanness, levity, anxiety, impatience, folly, and many other qualities of the mind, might appear ridiculous and deformed, contemptible and odious, though independent of the will.
6620_283138_000026_000008	Nor could it be supposed, at all times, in every man's power to attain every kind of mental more than of exterior beauty.	Nor could it be supposed, at all times, in every man's power to attain every kind of mental more than of exterior beauty.
6620_283138_000027_000002	Every one may employ TERMS in what sense he pleases: but this, in the mean time, must be allowed, that SENTIMENTS are every day experienced of blame and praise, which have objects beyond the dominion of the will or choice, and of which it behoves us, if not as moralists, as speculative philosophers at least, to give some satisfactory theory and explication.	Every one may employ TERMS in what sense he pleases: but this, in the mean time, must be allowed, that SENTIMENTS are every day experienced of blame and praise, which have objects beyond the dominion of the will or choice, and of which it behoves us, if not as moralists, as speculative philosophers at least, to give some satisfactory theory and explication.
6620_283138_000028_000001	The explication of one will easily lead us into a just conception of the others; and it is of greater consequence to attend to things than to verbal appellations.	The explication of one will easily lead us into a just conception of the others; and it is of greater consequence to attend to things than to verbal appellations.
6620_283138_000028_000002	That we owe a duty to ourselves is confessed even in the most vulgar system of morals; and it must be of consequence to examine that duty, in order to see whether it bears any affinity to that which we owe to society.	That we owe a duty to ourselves is confessed even in the most vulgar system of morals; and it must be of consequence to examine that duty, in order to see whether it bears any affinity to that which we owe to society.
