54_121079_000000_000000	Chapter 61.	Chapter sixty one.	true	17.34	18.73	18
54_121079_000003_000002	And yet it was not because the damp had been excluded from the garden; the earth, black as soot, the thick foliage of the trees betrayed its presence; besides, had natural humidity been wanting, it could have been immediately supplied by artificial means, thanks to a tank of water, sunk in one of the corners of the garden, and upon which were stationed a frog and a toad, who, from antipathy, no doubt, always remained on the two opposite sides of the basin.	And yet it was not because the damp had been excluded from the garden; the earth, black as soot, the thick foliage of the trees betrayed its presence; besides, had natural humidity been wanting, it could have been immediately supplied by artificial means, thanks to a tank of water, sunk in one of the corners of the garden, and upon which were stationed a frog and a toad, who, from antipathy, no doubt, always remained on the two opposite sides of the basin.	true	177.71	210.58	21.96466
54_121079_000003_000003	There was not a blade of grass to be seen in the paths, or a weed in the flower-beds; no fine lady ever trained and watered her geraniums, her cacti, and her rhododendrons, with more pains than this hitherto unseen gardener bestowed upon his little enclosure.	There was not a blade of grass to be seen in the paths, or a weed in the flower beds; no fine lady ever trained and watered her geraniums, her cacti, and her rhododendrons, with more pains than this hitherto unseen gardener bestowed upon his little enclosure.	true	210.92	228.91	18
54_121079_000003_000004	Monte Cristo stopped after having closed the gate and fastened the string to the nail, and cast a look around.	Monte Cristo stopped after having closed the gate and fastened the string to the nail, and cast a look around.	false	229.19	236.59	22.79903
54_121079_000004_000000	"The man at the telegraph," said he, "must either engage a gardener or devote himself passionately to agriculture." Suddenly he struck against something crouching behind a wheelbarrow filled with leaves; the something rose, uttering an exclamation of astonishment, and Monte Cristo found himself facing a man about fifty years old, who was plucking strawberries, which he was placing upon grape leaves.	"The man at the telegraph," said he, "must either engage a gardener or devote himself passionately to agriculture." Suddenly he struck against something crouching behind a wheelbarrow filled with leaves; the something rose, uttering an exclamation of astonishment, and Monte Cristo found himself facing a man about fifty years old, who was plucking strawberries, which he was placing upon grape leaves.	false	237.65	264.04	21.676678
54_121079_000004_000001	He had twelve leaves and about as many strawberries, which, on rising suddenly, he let fall from his hand.	He had twelve leaves and about as many strawberries, which, on rising suddenly, he let fall from his hand.	true	264.41	271.72	21.605947
54_121079_000004_000002	"You are gathering your crop, sir?" said Monte Cristo, smiling.	"You are gathering your crop, sir?" said Monte Cristo, smiling.	true	272.15	275.71	24
54_121079_000005_000000	"Excuse me, sir," replied the man, raising his hand to his cap; "I am not up there, I know, but I have only just come down."	"Excuse me, sir," replied the man, raising his hand to his cap; "I am not up there, I know, but I have only just come down."	true	276.14	284.92	22.59062
54_121079_000006_000000	"Do not let me interfere with you in anything, my friend," said the count; "gather your strawberries, if, indeed, there are any left."	"Do not let me interfere with you in anything, my friend," said the count; "gather your strawberries, if, indeed, there are any left."	true	285.38	293.32	19
54_121079_000007_000000	"I have ten left," said the man, "for here are eleven, and I had twenty-one, five more than last year.	"I have ten left," said the man, "for here are eleven, and I had twenty one, five more than last year.	true	294.35	302.08	18.490746
54_121079_000007_000001	But I am not surprised; the spring has been warm this year, and strawberries require heat, sir.	But I am not surprised; the spring has been warm this year, and strawberries require heat, sir.	true	302.36	308.59	16
54_121079_000007_000002	This is the reason that, instead of the sixteen I had last year, I have this year, you see, eleven, already plucked--twelve, thirteen, fourteen, fifteen, sixteen, seventeen, eighteen.	This is the reason that, instead of the sixteen I had last year, I have this year, you see, eleven, already plucked-twelve, thirteen, fourteen, fifteen, sixteen, seventeen, eighteen.	true	308.99	321.55	20
54_121079_000007_000003	Ah, I miss three, they were here last night, sir--I am sure they were here--I counted them.	Ah, I miss three, they were here last night, sir-I am sure they were here-I counted them.	true	321.86	329.83	19.212608
54_121079_000007_000004	It must be the Mere Simon's son who has stolen them; I saw him strolling about here this morning.	It must be the Mere Simon's son who has stolen them; I saw him strolling about here this morning.	true	329.87	336.49	16
54_121079_000007_000005	Ah, the young rascal--stealing in a garden--he does not know where that may lead him to."	Ah, the young rascal-stealing in a garden-he does not know where that may lead him to."	true	336.59	342.79	19.205357
54_121079_000008_000000	"Certainly, it is wrong," said Monte Cristo, "but you should take into consideration the youth and greediness of the delinquent."	"Certainly, it is wrong," said Monte Cristo, "but you should take into consideration the youth and greediness of the delinquent."	false	344.39	352.06	18.466776
54_121079_000009_000000	"Of course," said the gardener, "but that does not make it the less unpleasant.	"Of course," said the gardener, "but that does not make it the less unpleasant.	true	352.46	357.28	22.431393
54_121079_000009_000001	But, sir, once more I beg pardon; perhaps you are an officer that I am detaining here." And he glanced timidly at the count's blue coat.	But, sir, once more I beg pardon; perhaps you are an officer that I am detaining here." And he glanced timidly at the count's blue coat.	true	357.44	367.18	22.82813
54_121079_000010_000000	"Calm yourself, my friend," said the count, with the smile which he made at will either terrible or benevolent, and which now expressed only the kindliest feeling; "I am not an inspector, but a traveller, brought here by a curiosity he half repents of, since he causes you to lose your time."	"Calm yourself, my friend," said the count, with the smile which he made at will either terrible or benevolent, and which now expressed only the kindliest feeling; "I am not an inspector, but a traveller, brought here by a curiosity he half repents of, since he causes you to lose your time."	true	367.46	386.32	20
54_121079_000011_000000	"Ah, my time is not valuable," replied the man with a melancholy smile. "Still it belongs to government, and I ought not to waste it; but, having received the signal that I might rest for an hour" (here he glanced at the sun-dial, for there was everything in the enclosure of Montlhery, even a sun-dial), "and having ten minutes before me, and my strawberries being ripe, when a day longer--by-the-by, sir, do you think dormice eat them?"	"Ah, my time is not valuable," replied the man with a melancholy smile. "Still it belongs to government, and I ought not to waste it; but, having received the signal that I might rest for an hour" (here he glanced at the sun dial, for there was everything in the enclosure of Montlhery, even a sun dial), "and having ten minutes before me, and my strawberries being ripe, when a day longer-by the by, sir, do you think dormice eat them?"	false	388.16	419.11	21.029675
54_121079_000012_000000	"Indeed, I should think not," replied Monte Cristo; "dormice are bad neighbors for us who do not eat them preserved, as the Romans did."	"Indeed, I should think not," replied Monte Cristo; "dormice are bad neighbors for us who do not eat them preserved, as the romans did."	true	419.48	428.71	22.079903
54_121079_000013_000000	"What?	"What?	true	428.81	429.49	28.676931
54_121079_000013_000001	Did the Romans eat them?" said the gardener--"ate dormice?"	Did the romans eat them?" said the gardener-"ate dormice?"	true	429.5	433.47	20.593351
54_121079_000014_000000	"I have read so in Petronius," said the count.	"I have read so in Petronius," said the count.	false	433.47	437.97	18.613382
54_121079_000015_000000	"Really?	"Really?	false	437.97	439.08	7
54_121079_000015_000001	They can't be nice, though they do say 'as fat as a dormouse.' It is not a wonder they are fat, sleeping all day, and only waking to eat all night.	They can't be nice, though they do say 'as fat as a dormouse.' It is not a wonder they are fat, sleeping all day, and only waking to eat all night.	true	439.08	449.83	21.659573
54_121079_000015_000002	Listen.	Listen.	true	450.08	450.88	22.771723
54_121079_000015_000003	Last year I had four apricots--they stole one, I had one nectarine, only one--well, sir, they ate half of it on the wall; a splendid nectarine--I never ate a better."	Last year I had four apricots-they stole one, I had one nectarine, only one-well, sir, they ate half of it on the wall; a splendid nectarine-I never ate a better."	true	450.92	464.77	23.240265
54_121079_000016_000000	"You ate it?"	"You ate it?"	true	465.08	466.33	25.53485
54_121079_000017_000000	"That is to say, the half that was left--you understand; it was exquisite, sir.	"That is to say, the half that was left-you understand; it was exquisite, sir.	true	466.73	472.51	23.374992
54_121079_000017_000001	Ah, those gentlemen never choose the worst morsels; like Mere Simon's son, who has not chosen the worst strawberries.	Ah, those gentlemen never choose the worst morsels; like Mere Simon's son, who has not chosen the worst strawberries.	false	472.76	481.36	20.818245
54_121079_000017_000002	But this year," continued the horticulturist, "I'll take care it shall not happen, even if I should be forced to sit by the whole night to watch when the strawberries are ripe." Monte Cristo had seen enough.	But this year," continued the horticulturist, "I'll take care it shall not happen, even if I should be forced to sit by the whole night to watch when the strawberries are ripe." Monte Cristo had seen enough.	true	481.67	494.355	22
54_121079_000017_000003	Every man has a devouring passion in his heart, as every fruit has its worm; that of the telegraph man was horticulture.	Every man has a devouring passion in his heart, as every fruit has its worm; that of the telegraph man was horticulture.	true	494.355	502.12	14
54_121079_000017_000004	He began gathering the grape-leaves which screened the sun from the grapes, and won the heart of the gardener.	He began gathering the grape leaves which screened the sun from the grapes, and won the heart of the gardener.	true	502.37	509.29	19
54_121079_000017_000005	"Did you come here, sir, to see the telegraph?" he said.	"Did you come here, sir, to see the telegraph?" he said.	true	509.72	513.1	26.432571
54_121079_000018_000000	"Yes, if it isn't contrary to the rules."	"Yes, if it isn't contrary to the rules."	true	513.35	516.22	21.94388
54_121079_000019_000000	"Oh, no," said the gardener; "not in the least, since there is no danger that anyone can possibly understand what we are saying."	"Oh, no," said the gardener; "not in the least, since there is no danger that anyone can possibly understand what we are saying."	true	517.64	525.19	20
54_121079_000020_000000	"I have been told," said the count, "that you do not always yourselves understand the signals you repeat."	"I have been told," said the count, "that you do not always yourselves understand the signals you repeat."	true	525.5	531.79	20
54_121079_000021_000000	"That is true, sir, and that is what I like best," said the man, smiling.	"That is true, sir, and that is what I like best," said the man, smiling.	true	532.1	537.28	21.677732
54_121079_000022_000000	"Why do you like that best?"	"Why do you like that best?"	true	537.56	539.4	25.502695
54_121079_000023_000000	"Because then I have no responsibility.	"Because then I have no responsibility.	true	539.4	541.78	16
54_121079_000023_000001	I am a machine then, and nothing else, and so long as I work, nothing more is required of me."	I am a machine then, and nothing else, and so long as I work, nothing more is required of me."	true	541.88	548.38	17.125288
54_121079_000024_000000	"Is it possible," said Monte Cristo to himself, "that I can have met with a man that has no ambition?	"Is it possible," said Monte Cristo to himself, "that I can have met with a man that has no ambition?	true	549.74	556.66	20
54_121079_000024_000001	That would spoil my plans."	That would spoil my plans."	true	556.85	558.91	22.65232
54_121079_000025_000000	"Sir," said the gardener, glancing at the sun-dial, "the ten minutes are almost up; I must return to my post.	"Sir," said the gardener, glancing at the sun dial, "the ten minutes are almost up; I must return to my post.	true	559.25	566.295	20.618546
54_121079_000025_000001	Will you go up with me?"	Will you go up with me?"	true	566.295	567.61	25.248251
54_121079_000026_000000	"I follow you." Monte Cristo entered the tower, which was divided into three stories.	"I follow you." Monte Cristo entered the tower, which was divided into three stories.	true	568.34	573.85	20.85911
54_121079_000026_000001	The tower contained implements, such as spades, rakes, watering-pots, hung against the wall; this was all the furniture.	The tower contained implements, such as spades, rakes, watering pots, hung against the wall; this was all the furniture.	true	573.98	583.21	22.348608
54_121079_000026_000002	The second was the man's conventional abode, or rather sleeping-place; it contained a few poor articles of household furniture--a bed, a table, two chairs, a stone pitcher--and some dry herbs, hung up to the ceiling, which the count recognized as sweet pease, and of which the good man was preserving the seeds; he had labelled them with as much care as if he had been master botanist in the Jardin des Plantes.	The second was the man's conventional abode, or rather sleeping place; it contained a few poor articles of household furniture-a bed, a table, two chairs, a stone pitcher-and some dry herbs, hung up to the ceiling, which the count recognized as sweet pease, and of which the good man was preserving the seeds; he had labelled them with as much care as if he had been master botanist in the Jardin des Plantes.	true	583.85	612.94	22
54_121079_000027_000000	"Does it require much study to learn the art of telegraphing?" asked Monte Cristo.	"Does it require much study to learn the art of telegraphing?" asked Monte Cristo.	true	613.94	618.91	22.693995
54_121079_000028_000000	"The study does not take long; it was acting as a supernumerary that was so tedious."	"The study does not take long; it was acting as a supernumerary that was so tedious."	true	619.61	625.24	20
54_121079_000029_000000	"And what is the pay?"	"And what is the pay?"	true	626.15	627.46	22.350098
54_121079_000030_000000	"A thousand francs, sir."	"A thousand francs, sir."	true	627.95	629.35	20.342236
54_121079_000031_000000	"It is nothing."	"It is nothing."	true	629.84	630.94	21.048523
54_121079_000032_000000	"No; but then we are lodged, as you perceive."	"No; but then we are lodged, as you perceive."	true	631.49	634.99	22.038118
54_121079_000033_000000	Monte Cristo looked at the room.	Monte Cristo looked at the room.	true	635.42	637.45	26.272131
54_121079_000033_000001	They passed to the third story; it was the telegraph room.	They passed to the third story; it was the telegraph room.	true	638.12	641.8	22.380882
54_121079_000033_000002	Monte Cristo looked in turn at the two iron handles by which the machine was worked.	Monte Cristo looked in turn at the two iron handles by which the machine was worked.	true	642.11	647.68	20.119375
54_121079_000033_000003	"It is very interesting," he said, "but it must be very tedious for a lifetime."	"It is very interesting," he said, "but it must be very tedious for a lifetime."	true	648.14	653.68	22.833872
54_121079_000034_000000	"Yes.	"Yes.	true	654.02	654.76	28.326544
54_121079_000034_000001	At first my neck was cramped with looking at it, but at the end of a year I became used to it; and then we have our hours of recreation, and our holidays."	At first my neck was cramped with looking at it, but at the end of a year I became used to it; and then we have our hours of recreation, and our holidays."	true	655.22	666.01	21.771399
54_121079_000035_000000	"Holidays?"	"Holidays?"	true	666.5	667.45	23.125818
54_121079_000036_000000	"Yes."	"Yes."	true	667.82	668.53	21.97583
54_121079_000037_000000	"When?"	"When?"	true	668.96	669.64	18.050545
54_121079_000038_000000	"When we have a fog."	"When we have a fog."	true	670.22	671.86	20.68447
54_121079_000039_000000	"Ah, to be sure."	"Ah, to be sure."	true	671.9	673.66	19.19737
54_121079_000040_000000	"Those are indeed holidays to me; I go into the garden, I plant, I prune, I trim, I kill the insects all day long."	"Those are indeed holidays to me; I go into the garden, I plant, I prune, I trim, I kill the insects all day long."	true	674.03	683.17	20.956432
54_121079_000041_000000	"How long have you been here?"	"How long have you been here?"	true	683.54	685.15	20.480318
54_121079_000042_000000	"Ten years, and five as a supernumerary make fifteen."	"Ten years, and five as a supernumerary make fifteen."	true	685.58	690.16	23.405787
54_121079_000043_000000	"You are--"	"You are-"	true	690.83	691.99	21.603745
54_121079_000044_000000	"Fifty-five years old."	"Fifty five years old."	true	692.78	694.42	21.879568
54_121079_000045_000000	"How long must you have served to claim the pension?"	"How long must you have served to claim the pension?"	true	694.43	697.24	19
54_121079_000046_000000	"Oh, sir, twenty-five years."	"Oh, sir, twenty five years."	true	697.73	699.88	20.907482
54_121079_000047_000000	"And how much is the pension?"	"And how much is the pension?"	true	700.22	701.83	25.443207
54_121079_000048_000000	"A hundred crowns."	"A hundred crowns."	true	702.41	703.78	23.079428
54_121079_000049_000000	"Poor humanity!" murmured Monte Cristo.	"Poor humanity!" murmured Monte Cristo.	false	704.48	707.86	21.443832
54_121079_000050_000000	"What did you say, sir?" asked the man.	"What did you say, sir?" asked the man.	true	708.35	710.83	20.348995
54_121079_000051_000000	"I was saying it was very interesting."	"I was saying it was very interesting."	true	711.11	713.35	18.109503
54_121079_000052_000000	"What was?"	"What was?"	true	714.29	715.24	22.68801
54_121079_000053_000000	"All you were showing me.	"All you were showing me.	true	715.91	717.37	20.782236
54_121079_000053_000001	And you really understand none of these signals?"	And you really understand none of these signals?"	true	717.56	720.37	16
54_121079_000054_000000	"None at all."	"None at all."	true	720.83	721.87	21.610003
54_121079_000055_000000	"And have you never tried to understand them?"	"And have you never tried to understand them?"	false	723.2	725.92	24
54_121079_000056_000000	"Never.	"Never.	true	726.29	727.08	25.139036
54_121079_000056_000001	Why should I?"	Why should I?"	true	727.08	727.96	21.114363
54_121079_000057_000000	"But still there are some signals only addressed to you."	"But still there are some signals only addressed to you."	true	728.63	732.07	19
54_121079_000058_000000	"Certainly."	"Certainly."	true	732.53	733.51	23.414467
54_121079_000059_000000	"And do you understand them?"	"And do you understand them?"	true	734.18	736.18	22.270166
54_121079_000060_000000	"They are always the same."	"They are always the same."	true	736.76	738.46	22.884605
54_121079_000061_000000	"And they mean--"	"And they mean-"	true	739.01	740.38	18.638332
54_121079_000062_000000	"Nothing new; You have an hour; or To-morrow."	"Nothing new; You have an hour; or To morrow."	true	740.72	744.82	22.35894
54_121079_000063_000000	"This is simple enough," said the count; "but look, is not your correspondent putting itself in motion?"	"This is simple enough," said the count; "but look, is not your correspondent putting itself in motion?"	true	745.37	752.07	22.48818
54_121079_000064_000000	"Ah, yes; thank you, sir."	"Ah, yes; thank you, sir."	false	752.07	755.44	21.016743
54_121079_000065_000000	"And what is it saying--anything you understand?"	"And what is it saying-anything you understand?"	true	756.17	759.46	21.91272
54_121079_000066_000000	"Yes; it asks if I am ready."	"Yes; it asks if I am ready."	true	759.68	761.92	22.907001
54_121079_000067_000000	"And you reply?"	"And you reply?"	true	762.35	763.51	21.312077
54_121079_000068_000000	"By the same sign, which, at the same time, tells my right-hand correspondent that I am ready, while it gives notice to my left-hand correspondent to prepare in his turn."	"By the same sign, which, at the same time, tells my right-hand correspondent that I am ready, while it gives notice to my left hand correspondent to prepare in his turn."	true	764.51	775.72	19.787733
54_121079_000069_000000	"It is very ingenious," said the count.	"It is very ingenious," said the count.	true	776.21	778.69	18.199177
54_121079_000070_000000	"You will see," said the man proudly; "in five minutes he will speak."	"You will see," said the man proudly; "in five minutes he will speak."	false	778.85	783.4	25.22996
54_121079_000071_000000	"I have, then, five minutes," said Monte Cristo to himself; "it is more time than I require.	"I have, then, five minutes," said Monte Cristo to himself; "it is more time than I require.	true	783.77	789.37	19.395105
54_121079_000071_000001	My dear sir, will you allow me to ask you a question?"	My dear sir, will you allow me to ask you a question?"	true	789.53	793.33	18.707645
54_121079_000072_000000	"What is it, sir?"	"What is it, sir?"	true	793.91	794.95	28
54_121079_000073_000000	"You are fond of gardening?"	"You are fond of gardening?"	true	795.98	797.59	18.401333
54_121079_000074_000000	"Passionately."	"Passionately."	true	797.87	799.09	16.727531
54_121079_000075_000000	"And you would be pleased to have, instead of this terrace of twenty feet, an enclosure of two acres?"	"And you would be pleased to have, instead of this terrace of twenty feet, an enclosure of two acres?"	true	799.55	806.2	20.91133
54_121079_000076_000000	"Sir, I should make a terrestrial paradise of it."	"Sir, I should make a terrestrial paradise of it."	true	806.48	810.16	22.781874
54_121079_000077_000000	"You live badly on your thousand francs?"	"You live badly on your thousand francs?"	true	811.88	814.21	21
54_121079_000078_000000	"Badly enough; but yet I do live."	"Badly enough; but yet I do live."	true	814.7	817.6	22.358965
54_121079_000079_000000	"Yes; but you have a wretchedly small garden."	"Yes; but you have a wretchedly small garden."	true	818	821.44	22.317427
54_121079_000080_000000	"True, the garden is not large."	"True, the garden is not large."	true	821.99	824.29	24.081434
54_121079_000081_000000	"And, then, such as it is, it is filled with dormice, who eat everything."	"And, then, such as it is, it is filled with dormice, who eat everything."	true	824.84	830.44	18
54_121079_000082_000000	"Ah, they are my scourges."	"Ah, they are my scourges."	true	830.93	833.14	21.442783
54_121079_000083_000000	"Tell me, should you have the misfortune to turn your head while your right-hand correspondent was telegraphing"--	"Tell me, should you have the misfortune to turn your head while your right-hand correspondent was telegraphing"--	false	833.93	840.43	20.434942
54_121079_000084_000000	"I should not see him."	"I should not see him."	true	840.77	842.47	25.678444
54_121079_000085_000000	"Then what would happen?"	"Then what would happen?"	true	842.66	843.91	24.667133
54_121079_000086_000000	"I could not repeat the signals."	"I could not repeat the signals."	true	844.91	847	24.297638
54_121079_000087_000000	"And then?"	"And then?"	true	847.58	848.59	21.027292
54_121079_000088_000000	"Not having repeated them, through negligence, I should be fined."	"Not having repeated them, through negligence, I should be fined."	true	848.99	854.14	22.425835
54_121079_000089_000000	"How much?"	"How much?"	true	854.39	855.34	23.450369
54_121079_000090_000000	"A hundred francs."	"A hundred francs."	true	855.5	856.81	23.644701
54_121079_000091_000000	"The tenth of your income--that would be fine work."	"The tenth of your income-that would be fine work."	true	858.05	861.49	20.10022
54_121079_000092_000000	"Ah," said the man.	"Ah," said the man.	true	861.86	863.47	19.483793
54_121079_000093_000000	"Has it ever happened to you?" said Monte Cristo.	"Has it ever happened to you?" said Monte Cristo.	true	864.14	866.98	22.486843
54_121079_000094_000000	"Once, sir, when I was grafting a rose-tree."	"Once, sir, when I was grafting a rose tree."	true	867.2	870.37	22.161922
54_121079_000095_000000	"Well, suppose you were to alter a signal, and substitute another?"	"Well, suppose you were to alter a signal, and substitute another?"	true	871.49	876.01	21.484684
54_121079_000096_000000	"Ah, that is another case; I should be turned off, and lose my pension."	"Ah, that is another case; I should be turned off, and lose my pension."	true	876.53	882.16	21.396862
54_121079_000097_000000	"Three hundred francs?"	"Three hundred francs?"	true	882.71	884.2	26.939133
54_121079_000098_000000	"A hundred crowns, yes, sir; so you see that I am not likely to do any of these things."	"A hundred crowns, yes, sir; so you see that I am not likely to do any of these things."	true	884.72	890.68	18
54_121079_000099_000000	"Not even for fifteen years' wages?	"Not even for fifteen years' wages?	true	891.2	893.56	18
54_121079_000099_000001	Come, it is worth thinking about?"	Come, it is worth thinking about?"	true	893.69	896.29	16.995308
54_121079_000100_000000	"For fifteen thousand francs?"	"For fifteen thousand francs?"	true	897.11	899.5	19.03186
54_121079_000101_000000	"Yes."	"Yes."	true	899.78	900.49	21.775122
54_121079_000102_000000	"Sir, you alarm me."	"Sir, you alarm me."	true	900.68	902.47	23.361568
54_121079_000103_000000	"Nonsense."	"Nonsense."	true	902.81	903.85	17.903597
54_121079_000104_000000	"Sir, you are tempting me?"	"Sir, you are tempting me?"	false	904.01	906.52	22.891768
54_121079_000105_000000	"Just so; fifteen thousand francs, do you understand?"	"Just so; fifteen thousand francs, do you understand?"	true	907.25	911.59	22.46852
54_121079_000106_000000	"Sir, let me see my right-hand correspondent."	"Sir, let me see my right-hand correspondent."	true	912.2	915.55	19.322594
54_121079_000107_000000	"On the contrary, do not look at him, but at this."	"On the contrary, do not look at him, but at this."	true	916.1	919.87	23.47699
54_121079_000108_000000	"What is it?"	"What is it?"	true	920.48	921.43	21.788452
54_121079_000109_000000	"What?	"What?	true	921.89	922.57	25.921394
54_121079_000109_000001	Do you not know these bits of paper?"	Do you not know these bits of paper?"	false	922.97	925.33	23
54_121079_000110_000000	"Bank-notes!"	"Bank notes!"	true	926.21	927.37	21.103912
54_121079_000111_000000	"Exactly; there are fifteen of them."	"Exactly; there are fifteen of them."	true	927.53	930.46	22.717873
54_121079_000112_000000	"And whose are they?"	"And whose are they?"	true	931.43	933.04	25.990946
54_121079_000113_000000	"Yours, if you like."	"Yours, if you like."	true	933.56	935.17	20.146349
54_121079_000114_000000	"Mine?" exclaimed the man, half-suffocated.	"Mine?" exclaimed the man, half suffocated.	true	935.78	939.25	21.218088
54_121079_000115_000000	"Yes; yours--your own property."	"Yes; yours-your own property."	true	939.8	943.15	25.16791
54_121079_000116_000000	"Sir, my right-hand correspondent is signalling."	"Sir, my right-hand correspondent is signalling."	true	943.82	947.32	19.841543
54_121079_000117_000000	"Let him signal."	"Let him signal."	true	947.9	949	21.086382
54_121079_000118_000000	"Sir, you have distracted me; I shall be fined."	"Sir, you have distracted me; I shall be fined."	true	949.49	953.23	23.8687
54_121079_000119_000000	"That will cost you a hundred francs; you see it is your interest to take my bank-notes."	"That will cost you a hundred francs; you see it is your interest to take my bank notes."	true	954.44	960.49	23.88938
54_121079_000120_000000	"Sir, my right-hand correspondent redoubles his signals; he is impatient."	"Sir, my right-hand correspondent redoubles his signals; he is impatient."	true	961.67	967.06	23.380775
54_121079_000121_000000	"Never mind--take these;" and the count placed the packet in the man's hands.	"Never mind-take these;" and the count placed the packet in the man's hands.	true	967.49	972.97	21.178864
54_121079_000121_000001	"Now this is not all," he said; "you cannot live upon your fifteen thousand francs."	"Now this is not all," he said; "you cannot live upon your fifteen thousand francs."	true	973.28	978.58	21.534105
54_121079_000122_000000	"I shall still have my place."	"I shall still have my place."	true	979.13	980.95	26.495707
54_121079_000123_000000	"No, you will lose it, for you are going to alter your correspondent's message."	"No, you will lose it, for you are going to alter your correspondent's message."	true	981.32	986.44	26.70849
54_121079_000124_000000	"Oh, sir, what are you proposing?"	"Oh, sir, what are you proposing?"	true	986.87	989.98	20.001614
54_121079_000125_000000	"A jest."	"A jest."	false	990.35	992.16	23.072388
54_121079_000126_000000	"Sir, unless you force me"--	"Sir, unless you force me"--	true	992.16	994.33	19
54_121079_000127_000000	"I think I can effectually force you;" and Monte Cristo drew another packet from his pocket.	"I think I can effectually force you;" and Monte Cristo drew another packet from his pocket.	true	995.39	1000.9	22
54_121079_000127_000001	"Here are ten thousand more francs," he said, "with the fifteen thousand already in your pocket, they will make twenty-five thousand.	"Here are ten thousand more francs," he said, "with the fifteen thousand already in your pocket, they will make twenty five thousand.	true	1001.15	1009.84	21.97767
54_121079_000127_000002	With five thousand you can buy a pretty little house with two acres of land; the remaining twenty thousand will bring you in a thousand francs a year."	With five thousand you can buy a pretty little house with two acres of land; the remaining twenty thousand will bring you in a thousand francs a year."	false	1009.97	1018.54	16
54_121079_000128_000000	"A garden with two acres of land!"	"A garden with two acres of land!"	true	1019.27	1021.96	21
