666_11243_000001_000000	THE BAZAAR	THE BAZAAR
666_11243_000064_000001	She prayed wildly that he might never learn the full depth of his father's fall.	She prayed wildly that he might never learn the full depth of his father's fall.
666_11243_000064_000002	The miserable robbery of Sarah's wages was buried for evermore, and this new delinquency, which all would regard as flagrant sacrilege, must be buried also.	The miserable robbery of Sarah's wages was buried for evermore, and this new delinquency, which all would regard as flagrant sacrilege, must be buried also.
666_11243_000065_000000	It was characteristic of Mynors' cautious prudence that, the first intoxication having passed, he made no further reference of any kind to Anna's fortune.	It was characteristic of Mynors' cautious prudence that, the first intoxication having passed, he made no further reference of any kind to Anna's fortune.
666_11243_000065_000001	The arrangements for their married life were planned on a scale which ignored the fifty thousand pounds.	The arrangements for their married life were planned on a scale which ignored the fifty thousand pounds.
666_11243_000065_000002	For both their sakes he wished to avoid all friction with the miser, at any rate until his status as Anna's husband would enable him to enforce her rights, if that should be necessary, with dignity and effectiveness.	For both their sakes he wished to avoid all friction with the miser, at any rate until his status as Anna's husband would enable him to enforce her rights, if that should be necessary, with dignity and effectiveness.
666_11243_000065_000003	He did not precisely anticipate trouble, but the fact had not escaped him that Ephraim still held the whole of Anna's securities.	He did not precisely anticipate trouble, but the fact had not escaped him that Ephraim still held the whole of Anna's securities.
666_11243_000065_000005	He knew that there were twenty-four hours in every day, three hundred and sixty-five days in every year, and thirty good years in life still left to him; and therefore that there would be ample time, after the wedding, for the execution of his purposes in regard to that fifty thousand pounds.	He knew that there were twenty four hours in every day, three hundred and sixty five days in every year, and thirty good years in life still left to him; and therefore that there would be ample time, after the wedding, for the execution of his purposes in regard to that fifty thousand pounds.
666_11243_000065_000007	His method was to buy a piece at a time, always second-hand, but always good.	His method was to buy a piece at a time, always second-hand, but always good.
666_11243_000065_000009	It was decided between them that every article should be bought ready-made and seamed, and that the first week of the New Year, if indeed Mrs. Sutton survived the bazaar, should be entirely and absolutely devoted to Anna's business.	It was decided between them that every article should be bought ready made and seamed, and that the first week of the New Year, if indeed mrs Sutton survived the bazaar, should be entirely and absolutely devoted to Anna's business.
666_11243_000066_000001	But she never slept without thinking of Willie Price, and hoping that no further disaster might overtake him.	But she never slept without thinking of Willie Price, and hoping that no further disaster might overtake him.
666_11243_000066_000002	The incident of the embezzled fifty pounds had been closed, and she had given a cheque for twenty-five pounds to Mynors.	The incident of the embezzled fifty pounds had been closed, and she had given a cheque for twenty five pounds to Mynors.
666_11243_000066_000003	He had acquainted the minister with the facts, and Mr. Banks had decided that the two circuit stewards must be informed.	He had acquainted the minister with the facts, and mr Banks had decided that the two circuit stewards must be informed.
666_11243_000066_000004	Beyond these the scandalous secret was not to go.	Beyond these the scandalous secret was not to go.
666_11243_000066_000005	But Anna wondered whether a secret shared by five persons could long remain a secret.	But Anna wondered whether a secret shared by five persons could long remain a secret.
666_11243_000067_000000	The bazaar was a triumphant and unparalleled success, and, of the seven stalls, the Sunday-school stall stood first each night in the nightly returns.	The bazaar was a triumphant and unparalleled success, and, of the seven stalls, the Sunday school stall stood first each night in the nightly returns.
666_11243_000067_000001	The scene in the town-hall, on the fourth and final night, a Saturday, was as delirious and gay as a carnival.	The scene in the town hall, on the fourth and final night, a Saturday, was as delirious and gay as a carnival.
666_11243_000067_000002	Four hundred and twenty pounds had been raised up to tea-time, and it was the impassioned desire of everyone to achieve five hundred.	Four hundred and twenty pounds had been raised up to tea time, and it was the impassioned desire of everyone to achieve five hundred.
666_11243_000067_000003	The price of admission had been reduced to threepence, in order that the artisan might enter and spend his wages in an excellent cause.	The price of admission had been reduced to threepence, in order that the artisan might enter and spend his wages in an excellent cause.
666_11243_000067_000005	Bouquets were sold at a shilling each, and at the refreshment stall a glass of milk cost sixpence.	Bouquets were sold at a shilling each, and at the refreshment stall a glass of milk cost sixpence.
666_11243_000067_000006	The noise rivalled that of a fair; there was no quiet anywhere, save in the farthest recess of each stall, where the lady in supreme charge of it, like a spider in the middle of its web, watched customers and cash-box with equal cupidity.	The noise rivalled that of a fair; there was no quiet anywhere, save in the farthest recess of each stall, where the lady in supreme charge of it, like a spider in the middle of its web, watched customers and cash box with equal cupidity.
666_11243_000068_000001	But shortly afterwards she hurried back breathless to her place.	But shortly afterwards she hurried back breathless to her place.
666_11243_000069_000000	'See that, Anna?	'See that, Anna?
666_11243_000069_000001	It will be reckoned in our returns,' she said, exhibiting a piece of paper.	It will be reckoned in our returns,' she said, exhibiting a piece of paper.
666_11243_000070_000000	'She has the secret of persuading him,' thought Anna.	'She has the secret of persuading him,' thought Anna.
666_11243_000070_000001	'Why have I never found it?'	'Why have I never found it?'
666_11243_000071_000000	Then Agnes, in a new white frock, came up with three shillings, proceeds of bouquets.	Then Agnes, in a new white frock, came up with three shillings, proceeds of bouquets.
666_11243_000072_000000	'But you must take that to the flower-stall, my pet,' said Mrs. Sutton.	'But you must take that to the flower stall, my pet,' said mrs Sutton.
666_11243_000073_000000	'Can't I give it to you?' the child pleaded.	'Can't I give it to you?' the child pleaded.
666_11243_000073_000001	'I want your stall to be the best.'	'I want your stall to be the best.'
666_11243_000074_000000	Mynors arrived next, with something concealed in tissue-paper.	Mynors arrived next, with something concealed in tissue paper.
666_11243_000076_000000	'I'll try to,' said Mrs. Sutton doubtfully--not in the secret.	'I'll try to,' said mrs Sutton doubtfully-not in the secret.
666_11243_000076_000001	'What's it meant for?'	'What's it meant for?'
666_11243_000078_000000	'Well,' she laughed, 'what will you give?'	'Well,' she laughed, 'what will you give?'
666_11243_000079_000000	'A couple of sovereigns.'	'A couple of sovereigns.'
666_11243_000080_000000	'Make it guineas.'	'Make it guineas.'
666_11243_000081_000000	He paid the money, and requested Anna to keep the plate for him.	He paid the money, and requested Anna to keep the plate for him.
666_11243_000082_000000	At nine o'clock it was announced that, though raffling was forbidden, the bazaar would be enlivened by an auction.	At nine o'clock it was announced that, though raffling was forbidden, the bazaar would be enlivened by an auction.
666_11243_000082_000001	A licensed auctioneer was brought, and the sale commenced.	A licensed auctioneer was brought, and the sale commenced.
666_11243_000082_000003	During this episode Anna, who had been left alone in the stall, first noticed Willie Price in the room.	During this episode Anna, who had been left alone in the stall, first noticed Willie Price in the room.
666_11243_000082_000004	His ship sailed on the Monday, but steerage passengers had to be aboard on Sunday, and he was saying good-bye to a few acquaintances.	His ship sailed on the Monday, but steerage passengers had to be aboard on Sunday, and he was saying good bye to a few acquaintances.
666_11243_000082_000005	He seemed quite cheerful, as he walked about with his hands in his pockets, chatting with this one and that; it was the false and hysterical gaiety that precedes a final separation.	He seemed quite cheerful, as he walked about with his hands in his pockets, chatting with this one and that; it was the false and hysterical gaiety that precedes a final separation.
666_11243_000082_000006	As soon as he saw Anna he came towards her.	As soon as he saw Anna he came towards her.
666_11243_000083_000000	'Well, good-bye, Miss Tellwright,' he said jauntily.	'Well, good bye, Miss Tellwright,' he said jauntily.
666_11243_000083_000002	Wish me luck.'	Wish me luck.'
666_11243_000084_000000	Nothing more; no word, no accent, to recall the terrible but sublime past.	Nothing more; no word, no accent, to recall the terrible but sublime past.
666_11243_000085_000000	'I do,' she answered.	'I do,' she answered.
666_11243_000085_000001	They shook hands.	They shook hands.
666_11243_000085_000002	Others approaching, he drifted away.	Others approaching, he drifted away.
666_11243_000085_000003	Her glance followed him like a beneficent influence.	Her glance followed him like a beneficent influence.
666_11243_000086_000000	For three days she had carried in her pocket an envelope containing a bank-note for a hundred pounds, intending by some device to force it on him as a parting gift.	For three days she had carried in her pocket an envelope containing a bank note for a hundred pounds, intending by some device to force it on him as a parting gift.
666_11243_000086_000001	Now the last chance was lost, and she had not even attempted this difficult feat of charity.	Now the last chance was lost, and she had not even attempted this difficult feat of charity.
666_11243_000086_000002	Such futility, she reflected, self-scorning, was of a piece with her life.	Such futility, she reflected, self scorning, was of a piece with her life.
666_11243_000086_000004	He hasn't really gone,' she kept repeating, and yet knew well that he had gone.	He hasn't really gone,' she kept repeating, and yet knew well that he had gone.
666_11243_000087_000000	'Do you know what they are saying, Anna?' said Beatrice, when, after eleven o'clock, the bazaar was closed to the public, and the stall-holders and their assistants were preparing to depart, their movements hastened by the stern aspect of the town-hall keeper.	'Do you know what they are saying, Anna?' said Beatrice, when, after eleven o'clock, the bazaar was closed to the public, and the stall holders and their assistants were preparing to depart, their movements hastened by the stern aspect of the town hall keeper.
666_11243_000088_000000	'No. What?' said Anna; and in the same moment guessed.	'no What?' said Anna; and in the same moment guessed.
666_11243_000089_000000	'They say old Titus Price embezzled fifty pounds from the building fund, and Henry made it up, privately, so that there shouldn't be a scandal.	'They say old titus Price embezzled fifty pounds from the building fund, and Henry made it up, privately, so that there shouldn't be a scandal.
666_11243_000089_000001	Just fancy!	Just fancy!
666_11243_000089_000002	Do you believe it?'	Do you believe it?'
666_11243_000090_000000	The secret was abroad.	The secret was abroad.
666_11243_000090_000001	She looked round the room, and saw it in every face.	She looked round the room, and saw it in every face.
666_11243_000091_000000	'Who says?' Anna demanded fiercely.	'Who says?' Anna demanded fiercely.
666_11243_000092_000001	Miss Dickinson told me.'	Miss Dickinson told me.'
666_11243_000094_000000	There was clapping of hands, which died out suddenly.	There was clapping of hands, which died out suddenly.
666_11243_000095_000000	'Now Agnes,' Anna called, 'come along, quick; you're as white as a sheet.	'Now Agnes,' Anna called, 'come along, quick; you're as white as a sheet.
666_11243_000095_000001	Good-night, Mrs. Sutton; good-night, Bee.'	Good night, mrs Sutton; good night, Bee.'
666_11243_000096_000000	Mynors was still occupied on the platform.	Mynors was still occupied on the platform.
666_11243_000097_000000	The town-hall keeper extinguished some of the lights.	The town hall keeper extinguished some of the lights.
