1401_14358_000000_000000	Charles and his warriors went after the Saracens into Spain.	Charles and his warriors went after the Saracens into Spain.	false	0	4.35	21.623758
1401_14358_000006_000005	I thought to rescue them by means of my horse Bayard, but while I slept some thief has stolen him." The old man replied, "I will remember you and your brothers in my prayers.	I thought to rescue them by means of my horse Bayard, but while I slept some thief has stolen him." The old man replied, "I will remember you and your brothers in my prayers.	true	208.52	218.83	20.627857
1401_14358_000006_000006	I am a poor man, have you not something to give me?" Rinaldo said, "I have nothing to give," but then he recollected his spurs.	I am a poor man, have you not something to give me?" Rinaldo said, "I have nothing to give," but then he recollected his spurs.	true	218.99	226.66	21.958635
1401_14358_000006_000007	He gave them to the beggar, and said, "Here, take my spurs.	He gave them to the beggar, and said, "Here, take my spurs.	true	226.91	230.05	21.686089
1401_14358_000006_000008	They are the first present my mother gave me when my father, Count Aymon, dubbed me knight.	They are the first present my mother gave me when my father, Count Aymon, dubbed me knight.	true	230.24	234.49	24.321354
1401_14358_000006_000009	They ought to bring you ten pounds."	They ought to bring you ten pounds."	true	234.83	236.56	23.037348
1401_14358_000007_000000	The old man took the spurs, and put them into his sack, and said, "Noble sir, have you nothing else you can give me?" Rinaldo replied, "Are you making sport of me?	The old man took the spurs, and put them into his sack, and said, "Noble sir, have you nothing else you can give me?" Rinaldo replied, "Are you making sport of me?	true	237.5	246.61	21.026073
1401_14358_000007_000001	I tell you truly if it were not for shame to beat one so helpless, I would teach you better manners." The old man said, "Of a truth, sir, if you did so you would do a great sin.	I tell you truly if it were not for shame to beat one so helpless, I would teach you better manners." The old man said, "Of a truth, sir, if you did so you would do a great sin.	true	246.89	257.08	22.349594
1401_14358_000007_000002	If all had beaten me of whom I have begged I should have been killed long ago, for I ask alms in churches and convents, and wherever I can." "You say true," replied Rinaldo, "if you did not ask, none would relieve you." The old man said, "True, noble sir, therefore I pray if you have anything more to spare, give it me." Rinaldo gave him his mantle, and said, "Take it, pilgrim.	If all had beaten me of whom I have begged I should have been killed long ago, for I ask alms in churches and convents, and wherever I can." "You say true," replied Rinaldo, "if you did not ask, none would relieve you." The old man said, "True, noble sir, therefore I pray if you have anything more to spare, give it me." Rinaldo gave him his mantle, and said, "Take it, pilgrim.	false	257.39	280.78	21.601595
1401_14358_000007_000003	I give it you for the love of Christ, that God would save my brothers from a shameful death, and help me to escape out of King Charles's power."	I give it you for the love of Christ, that God would save my brothers from a shameful death, and help me to escape out of King Charles's power."	false	280.97	288.31	20.529673
1401_14358_000008_000000	The pilgrim took the mantle, folded it up, and put it into his bag. Then a third time he said to Rinaldo, "Sir, have you nothing left to give me that I may remember you in my prayers?"	The pilgrim took the mantle, folded it up, and put it into his bag. Then a third time he said to Rinaldo, "Sir, have you nothing left to give me that I may remember you in my prayers?"	true	289.34	299.35	22.034122
1401_14358_000008_000001	"Wretch!" exclaimed Rinaldo, "do you make me your sport?" and he drew his sword, and struck at him; but the old man warded off the blow with his staff, and said, "Rinaldo, would you slay your cousin, Malagigi?"	"Wretch!" exclaimed Rinaldo, "do you make me your sport?" and he drew his sword, and struck at him; but the old man warded off the blow with his staff, and said, "Rinaldo, would you slay your cousin, Malagigi?"	false	299.81	314.91	21.42329
1401_14358_000008_000002	When Rinaldo heard that he stayed his hand, and gazed doubtingly on the old man, who now threw aside his disguise, and appeared to be indeed Malagigi.	When Rinaldo heard that he stayed his hand, and gazed doubtingly on the old man, who now threw aside his disguise, and appeared to be indeed Malagigi.	true	314.91	323.86	20.734339
1401_14358_000008_000003	"Dear cousin," said Rinaldo, "pray forgive me.	"Dear cousin," said Rinaldo, "pray forgive me.	true	324.23	326.83	21.28655
1401_14358_000008_000004	I did not know you.	I did not know you.	true	326.93	328.21	20.324104
1401_14358_000008_000005	Next to God, my trust is in you.	Next to God, my trust is in you.	true	328.46	330.49	20.566826
1401_14358_000008_000006	Help my brothers to escape out of prison, I entreat you.	Help my brothers to escape out of prison, I entreat you.	true	330.86	333.85	21.009098
1401_14358_000008_000007	I have lost my horse, and therefore cannot render them any assistance." Malagigi answered, "Cousin Rinaldo, I will enable you to recover your horse.	I have lost my horse, and therefore cannot render them any assistance." Malagigi answered, "Cousin Rinaldo, I will enable you to recover your horse.	false	334.28	343.57	19.857721
1401_14358_000008_000008	Meanwhile, you must do as I say."	Meanwhile, you must do as I say."	true	343.67	345.67	18.069464
1401_14358_000009_000000	Then Malagigi took from his sack a gown, and gave it to Rinaldo to put on over his armor, and a hat that was full of holes, and an old pair of shoes to put on.	Then Malagigi took from his sack a gown, and gave it to Rinaldo to put on over his armor, and a hat that was full of holes, and an old pair of shoes to put on.	false	346.52	355.63	22.910593
1401_14358_000009_000001	They looked like two pilgrims, very old and poor.	They looked like two pilgrims, very old and poor.	true	356.15	359.01	23.558327
1401_14358_000009_000002	Then they went forth from the wood, and after a little while saw four monks riding along the road.	Then they went forth from the wood, and after a little while saw four monks riding along the road.	false	359.01	364.75	20.352947
1401_14358_000009_000003	Malagigi said to Rinaldo, "I will go meet the monks, and see what news I can learn."	Malagigi said to Rinaldo, "I will go meet the monks, and see what news I can learn."	true	365.18	369.88	20.07691
1401_14358_000010_000000	Malagigi learned from the monks that on the approaching festival there would be a great crowd of people at court, for the prince was going to show the ladies the famous horse Bayard that used to belong to Rinaldo. "What!" said the pilgrim; "is Bayard there?" "Yes," answered the monks; "the king has given him to Charlot, and, after the prince has ridden him the king means to pass sentence on the brothers of Rinaldo, and have them hanged." Then Malagigi asked alms of the monks, but they would give him none, till he threw aside his pilgrim garb, and let them see his armor, when, partly for charity and partly for terror, they gave him a golden cup, adorned with precious stones that sparkled in the sunshine.	Malagigi learned from the monks that on the approaching festival there would be a great crowd of people at court, for the prince was going to show the ladies the famous horse Bayard that used to belong to Rinaldo. "What!" said the pilgrim; "is Bayard there?" "Yes," answered the monks; "the king has given him to Charlot, and, after the prince has ridden him the king means to pass sentence on the brothers of Rinaldo, and have them hanged." Then Malagigi asked alms of the monks, but they would give him none, till he threw aside his pilgrim garb, and let them see his armor, when, partly for charity and partly for terror, they gave him a golden cup, adorned with precious stones that sparkled in the sunshine.	true	371.03	409.06	21.705769
1401_14358_000011_000000	Malagigi then hastened back to Rinaldo, and told him what he had learned.	Malagigi then hastened back to Rinaldo, and told him what he had learned.	true	410.18	414.37	21.16629
1401_14358_000012_000000	The morning of the feast-day Rinaldo and Malagigi came to the place where the sports were to be held.	The morning of the feast day Rinaldo and Malagigi came to the place where the sports were to be held.	true	415.16	420.19	20.652353
1401_14358_000012_000001	Malagigi gave Rinaldo his spurs back again, and said, "Cousin, put on your spurs, for you will need them." "How shall I need them," said Rinaldo, "since I have lost my horse?" Yet he did as Malagigi directed him.	Malagigi gave Rinaldo his spurs back again, and said, "Cousin, put on your spurs, for you will need them." "How shall I need them," said Rinaldo, "since I have lost my horse?" Yet he did as Malagigi directed him.	true	420.59	433.12	20.348003
1401_14358_000013_000000	When the two had taken their stand on the border of the field among the crowd the princes and ladies of the court began to assemble.	When the two had taken their stand on the border of the field among the crowd the princes and ladies of the court began to assemble.	true	433.61	440.35	21.112917
1401_14358_000013_000001	When they were all assembled the king came also, and Charlot with him, near whom the horse Bayard was led, in the charge of grooms, who were expressly enjoined to guard him safely.	When they were all assembled the king came also, and Charlot with him, near whom the horse Bayard was led, in the charge of grooms, who were expressly enjoined to guard him safely.	true	440.87	452.02	21.853313
1401_14358_000013_000002	The king, looking round on the circle of spectators, saw Malagigi and Rinaldo, and observed the splendid cup that they had, and said to Charlot, "See, my son, what a brilliant cup those two pilgrims have got.	The king, looking round on the circle of spectators, saw Malagigi and Rinaldo, and observed the splendid cup that they had, and said to Charlot, "See, my son, what a brilliant cup those two pilgrims have got.	false	452.51	465.48	21.849207
1401_14358_000013_000003	It seems to be worth a hundred ducats." "That is true," said Charlot; "Let us go and ask where they got it." So they rode to the place where the pilgrims stood, and Charlot stopped Bayard close to them.	It seems to be worth a hundred ducats." "That is true," said Charlot; "Let us go and ask where they got it." So they rode to the place where the pilgrims stood, and Charlot stopped Bayard close to them.	true	465.48	476.8	23.52001
1401_14358_000014_000000	The horse snuffed at the pilgrims, knew Rinaldo, and caressed his master.	The horse snuffed at the pilgrims, knew Rinaldo, and caressed his master.	false	477.47	481.42	21.191309
1401_14358_000014_000001	The king said to Malagigi, "Friend, where did you get that beautiful cup?" Malagigi replied, "Honorable sir, I paid for it all the money I have saved from eleven years' begging in churches and convents. The Pope himself has blessed it, and given it the power that whosoever eats or drinks out of it shall be pardoned of all his sins." Then said the king to Charlot, "My son, these are right holy men; see how the dumb beast worships them."	The king said to Malagigi, "Friend, where did you get that beautiful cup?" Malagigi replied, "Honorable sir, I paid for it all the money I have saved from eleven years' begging in churches and convents. The Pope himself has blessed it, and given it the power that whosoever eats or drinks out of it shall be pardoned of all his sins." Then said the king to Charlot, "My son, these are right holy men; see how the dumb beast worships them."	true	481.85	508.09	20.873884
1401_14358_000015_000000	Then the king said to Malagigi, "Give me a morsel from your cup, that I may be cleared of my sins." Malagigi answered, "Illustrious lord, I dare not do it, unless you will forgive all who have at any time offended you.	Then the king said to Malagigi, "Give me a morsel from your cup, that I may be cleared of my sins." Malagigi answered, "Illustrious lord, I dare not do it, unless you will forgive all who have at any time offended you.	true	509.15	522.64	22.274603
1401_14358_000015_000001	You know that Christ forgave all those who had betrayed and crucified him." The king replied, "Friend, that is true; but Rinaldo has so grievously offended me, that I cannot forgive him, nor that other man, Malagigi, the magician.	You know that Christ forgave all those who had betrayed and crucified him." The king replied, "Friend, that is true; but Rinaldo has so grievously offended me, that I cannot forgive him, nor that other man, Malagigi, the magician.	false	523.1	536.74	21.584057
1401_14358_000015_000002	These two shall never live in my kingdom again.	These two shall never live in my kingdom again.	true	537.2	539.74	21.857521
1401_14358_000015_000003	If I catch them I will certainly have them hanged. But tell me, pilgrim, who is that man who stands beside you?" "He is deaf, dumb, and blind," said Malagigi.	If I catch them I will certainly have them hanged. But tell me, pilgrim, who is that man who stands beside you?" "He is deaf, dumb, and blind," said Malagigi.	true	540.02	549.54	21.330297
1401_14358_000015_000004	Then the king said again, "Give me to drink of your cup, to take away my sins." Malagigi answered, "My lord king, here is my poor brother, who for fifty days has not heard, spoken, nor seen.	Then the king said again, "Give me to drink of your cup, to take away my sins." Malagigi answered, "My lord king, here is my poor brother, who for fifty days has not heard, spoken, nor seen.	false	549.54	561.94	22.40449
1401_14358_000015_000005	This misfortune befell him in a house where we found shelter, and the day before yesterday we met with a wise woman, who told him the only hope of a cure for him was to come to some place where Bayard was to be ridden, and to mount and ride him; that would do him more good than anything else." Then said the king, "Friend, you have come to the right place, for Bayard is to be ridden here to-day. Give me a draught from your cup, and your companion shall ride upon Bayard." Malagigi, hearing these words, said, "Be it so." Then the king, with great devotion, took a spoon, and dipped a portion from the pilgrim's cup, believing that his sins should be thereby forgiven.	This misfortune befell him in a house where we found shelter, and the day before yesterday we met with a wise woman, who told him the only hope of a cure for him was to come to some place where Bayard was to be ridden, and to mount and ride him; that would do him more good than anything else." Then said the king, "Friend, you have come to the right place, for Bayard is to be ridden here to day. Give me a draught from your cup, and your companion shall ride upon Bayard." Malagigi, hearing these words, said, "Be it so." Then the king, with great devotion, took a spoon, and dipped a portion from the pilgrim's cup, believing that his sins should be thereby forgiven.	true	562.34	601.12	21.304684
1401_14358_000016_000000	When this was done, the king said to Charlot, "Son, I request that you will let this sick pilgrim sit on your horse, and ride if he can, for by so doing he will be healed of all his infirmities." Charlot replied, "That will I gladly do." So saying, he dismounted, and the servants took the pilgrim in their arms, and helped him on the horse.	When this was done, the king said to Charlot, "Son, I request that you will let this sick pilgrim sit on your horse, and ride if he can, for by so doing he will be healed of all his infirmities." Charlot replied, "That will I gladly do." So saying, he dismounted, and the servants took the pilgrim in their arms, and helped him on the horse.	true	602	621.09	21.266644
1401_14358_000017_000000	Wher Rinaldo was mounted, he put his feet in the stirrups, and said, "I would like to ride a little." Malagigi, hearing him speak, seemed delighted, and asked him whether he could see and hear also.	Wher Rinaldo was mounted, he put his feet in the stirrups, and said, "I would like to ride a little." Malagigi, hearing him speak, seemed delighted, and asked him whether he could see and hear also.	false	621.09	632.95	21.51053
1401_14358_000017_000001	"Yes," said Rinaldo, "I am healed of all my infirmities." When the king heard it he said to Bishop Turpin, "My lord bishop, we must celebrate this with a procession, with crosses and banners, for it is a great miracle."	"Yes," said Rinaldo, "I am healed of all my infirmities." When the king heard it he said to Bishop Turpin, "My lord bishop, we must celebrate this with a procession, with crosses and banners, for it is a great miracle."	true	633.47	645.79	20.23759
1401_14358_000018_000000	When Rinaldo remarked that he was not carefully watched, he spoke to the horse, and touched him with the spurs.	When Rinaldo remarked that he was not carefully watched, he spoke to the horse, and touched him with the spurs.	false	647.03	652.71	20.062653
1401_14358_000018_000001	Bayard knew that his master was upon him, and he started off upon a rapid pace, and in a few moments was a good way off.	Bayard knew that his master was upon him, and he started off upon a rapid pace, and in a few moments was a good way off.	false	652.71	659.17	23.631418
1401_14358_000018_000002	Malagigi pretended to be in great alarm.	Malagigi pretended to be in great alarm.	true	659.78	661.84	20.127457
1401_14358_000018_000003	"O noble king and master," he cried, "my poor companion is run away with; he will fall and break his neck." The king ordered his knights to ride after the pilgrim, and bring him back, or help him if need were.	"O noble king and master," he cried, "my poor companion is run away with; he will fall and break his neck." The king ordered his knights to ride after the pilgrim, and bring him back, or help him if need were.	true	662.36	673.69	20.836592
1401_14358_000018_000004	They did so, but it was in vain.	They did so, but it was in vain.	true	674.21	676.06	21.501205
1401_14358_000018_000005	Rinaldo left them all behind him, and kept on his way till he reached Montalban.	Rinaldo left them all behind him, and kept on his way till he reached Montalban.	true	676.25	680.56	21.56049
1401_14358_000018_000006	Malagigi was suffered to depart, unsuspected, and he went his way, making sad lamentation for the fate of his comrade, who he pretended to think must surely be dashed to pieces.	Malagigi was suffered to depart, unsuspected, and he went his way, making sad lamentation for the fate of his comrade, who he pretended to think must surely be dashed to pieces.	true	681.26	691.36	21.265446
1401_14358_000019_000000	Malagigi did not go far, but having changed his disguise, returned to where the king was, and employed his best art in getting the brothers of Rinaldo out of prison.	Malagigi did not go far, but having changed his disguise, returned to where the king was, and employed his best art in getting the brothers of Rinaldo out of prison.	true	692.45	701.14	20.235554
1401_14358_000019_000001	He succeeded; and all three got safely to Montalban, where Rinaldo's joy at the rescue of his brothers and the recovery of Bayard was more than tongue can tell.	He succeeded; and all three got safely to Montalban, where Rinaldo's joy at the rescue of his brothers and the recovery of Bayard was more than tongue can tell.	false	701.48	710.7	21.610893
1401_14358_000020_000000	DEATH OF RINALDO	DEATH OF RINALDO	false	710.7	710.79	1
1401_14358_000021_000000	THE distress in Rinaldo's castle for want of food grew more severe every day, under the pressure of the siege.	THE distress in Rinaldo's castle for want of food grew more severe every day, under the pressure of the siege.	false	710.79	711.42	2
1401_14358_000021_000001	The garrison were forced to kill their horses, both to save the provision they would consume, and to make food of their flesh.	The garrison were forced to kill their horses, both to save the provision they would consume, and to make food of their flesh.	false	711.42	712.35	15.6463375
1401_14358_000021_000002	At last all the horses were killed except Bayard, and Rinaldo said to his brothers, "Bayard must die, for we have nothing else to eat." So they went to the stable and brought out Bayard to kill him.	At last all the horses were killed except Bayard, and Rinaldo said to his brothers, "Bayard must die, for we have nothing else to eat." So they went to the stable and brought out Bayard to kill him.	false	712.35	715.08	23.164074
1401_14358_000021_000003	But Alardo said, "Brother, let Bayard live a little longer; who knows what God may do for us?"	But Alardo said, "Brother, let Bayard live a little longer; who knows what God may do for us?"	false	715.08	715.08	
