1401_14358_000001_000000	RINALDO AND BAYARD	RINALDO AND BAYARD
1401_14358_000006_000000	When Rinaldo woke he looked round for his horse, and, finding him not, he groaned, and said, "O unlucky hour that I was born! how fortune persecutes me!" So desperate was he that he took off his armor and his spurs, saying, "What need have I of these, since Bayard is lost?" While he stood thus lamenting, a man came from the thicket, seemingly bent with age.	When Rinaldo woke he looked round for his horse, and, finding him not, he groaned, and said, "O unlucky hour that I was born! how fortune persecutes me!" So desperate was he that he took off his armor and his spurs, saying, "What need have I of these, since Bayard is lost?" While he stood thus lamenting, a man came from the thicket, seemingly bent with age.
1401_14358_000006_000001	He had a long beard hanging over his breast, and eyebrows that almost covered his eyes.	He had a long beard hanging over his breast, and eyebrows that almost covered his eyes.
1401_14358_000006_000002	He bade Rinaldo good day.	He bade Rinaldo good day.
1401_14358_000006_000003	Rinaldo thanked him, and said, "A good day I have hardly had since I was born." Then said the old man, "Signor Rinaldo, you must not despair, for God will make all things turn to the best." Rinaldo answered, "My trouble is too heavy for me to hope relief.	Rinaldo thanked him, and said, "A good day I have hardly had since I was born." Then said the old man, "Signor Rinaldo, you must not despair, for God will make all things turn to the best." Rinaldo answered, "My trouble is too heavy for me to hope relief.
1401_14358_000006_000004	The king has taken my brothers, and means to put them to death.	The king has taken my brothers, and means to put them to death.
1401_14358_000006_000005	I thought to rescue them by means of my horse Bayard, but while I slept some thief has stolen him." The old man replied, "I will remember you and your brothers in my prayers.	I thought to rescue them by means of my horse Bayard, but while I slept some thief has stolen him." The old man replied, "I will remember you and your brothers in my prayers.
1401_14358_000006_000006	I am a poor man, have you not something to give me?" Rinaldo said, "I have nothing to give," but then he recollected his spurs.	I am a poor man, have you not something to give me?" Rinaldo said, "I have nothing to give," but then he recollected his spurs.
1401_14358_000006_000007	He gave them to the beggar, and said, "Here, take my spurs.	He gave them to the beggar, and said, "Here, take my spurs.
1401_14358_000006_000008	They are the first present my mother gave me when my father, Count Aymon, dubbed me knight.	They are the first present my mother gave me when my father, Count Aymon, dubbed me knight.
1401_14358_000006_000009	They ought to bring you ten pounds."	They ought to bring you ten pounds."
1401_14358_000007_000000	The old man took the spurs, and put them into his sack, and said, "Noble sir, have you nothing else you can give me?" Rinaldo replied, "Are you making sport of me?	The old man took the spurs, and put them into his sack, and said, "Noble sir, have you nothing else you can give me?" Rinaldo replied, "Are you making sport of me?
1401_14358_000007_000001	I tell you truly if it were not for shame to beat one so helpless, I would teach you better manners." The old man said, "Of a truth, sir, if you did so you would do a great sin.	I tell you truly if it were not for shame to beat one so helpless, I would teach you better manners." The old man said, "Of a truth, sir, if you did so you would do a great sin.
1401_14358_000008_000000	The pilgrim took the mantle, folded it up, and put it into his bag. Then a third time he said to Rinaldo, "Sir, have you nothing left to give me that I may remember you in my prayers?"	The pilgrim took the mantle, folded it up, and put it into his bag. Then a third time he said to Rinaldo, "Sir, have you nothing left to give me that I may remember you in my prayers?"
1401_14358_000008_000002	When Rinaldo heard that he stayed his hand, and gazed doubtingly on the old man, who now threw aside his disguise, and appeared to be indeed Malagigi.	When Rinaldo heard that he stayed his hand, and gazed doubtingly on the old man, who now threw aside his disguise, and appeared to be indeed Malagigi.
1401_14358_000008_000003	"Dear cousin," said Rinaldo, "pray forgive me.	"Dear cousin," said Rinaldo, "pray forgive me.
1401_14358_000008_000004	I did not know you.	I did not know you.
1401_14358_000008_000005	Next to God, my trust is in you.	Next to God, my trust is in you.
1401_14358_000008_000006	Help my brothers to escape out of prison, I entreat you.	Help my brothers to escape out of prison, I entreat you.
1401_14358_000009_000001	They looked like two pilgrims, very old and poor.	They looked like two pilgrims, very old and poor.
1401_14358_000009_000003	Malagigi said to Rinaldo, "I will go meet the monks, and see what news I can learn."	Malagigi said to Rinaldo, "I will go meet the monks, and see what news I can learn."
1401_14358_000011_000000	Malagigi then hastened back to Rinaldo, and told him what he had learned.	Malagigi then hastened back to Rinaldo, and told him what he had learned.
1401_14358_000012_000000	The morning of the feast-day Rinaldo and Malagigi came to the place where the sports were to be held.	The morning of the feast day Rinaldo and Malagigi came to the place where the sports were to be held.
1401_14358_000012_000001	Malagigi gave Rinaldo his spurs back again, and said, "Cousin, put on your spurs, for you will need them." "How shall I need them," said Rinaldo, "since I have lost my horse?" Yet he did as Malagigi directed him.	Malagigi gave Rinaldo his spurs back again, and said, "Cousin, put on your spurs, for you will need them." "How shall I need them," said Rinaldo, "since I have lost my horse?" Yet he did as Malagigi directed him.
1401_14358_000013_000000	When the two had taken their stand on the border of the field among the crowd the princes and ladies of the court began to assemble.	When the two had taken their stand on the border of the field among the crowd the princes and ladies of the court began to assemble.
1401_14358_000013_000001	When they were all assembled the king came also, and Charlot with him, near whom the horse Bayard was led, in the charge of grooms, who were expressly enjoined to guard him safely.	When they were all assembled the king came also, and Charlot with him, near whom the horse Bayard was led, in the charge of grooms, who were expressly enjoined to guard him safely.
1401_14358_000013_000003	It seems to be worth a hundred ducats." "That is true," said Charlot; "Let us go and ask where they got it." So they rode to the place where the pilgrims stood, and Charlot stopped Bayard close to them.	It seems to be worth a hundred ducats." "That is true," said Charlot; "Let us go and ask where they got it." So they rode to the place where the pilgrims stood, and Charlot stopped Bayard close to them.
1401_14358_000015_000000	Then the king said to Malagigi, "Give me a morsel from your cup, that I may be cleared of my sins." Malagigi answered, "Illustrious lord, I dare not do it, unless you will forgive all who have at any time offended you.	Then the king said to Malagigi, "Give me a morsel from your cup, that I may be cleared of my sins." Malagigi answered, "Illustrious lord, I dare not do it, unless you will forgive all who have at any time offended you.
1401_14358_000015_000002	These two shall never live in my kingdom again.	These two shall never live in my kingdom again.
1401_14358_000015_000003	If I catch them I will certainly have them hanged. But tell me, pilgrim, who is that man who stands beside you?" "He is deaf, dumb, and blind," said Malagigi.	If I catch them I will certainly have them hanged. But tell me, pilgrim, who is that man who stands beside you?" "He is deaf, dumb, and blind," said Malagigi.
1401_14358_000016_000000	When this was done, the king said to Charlot, "Son, I request that you will let this sick pilgrim sit on your horse, and ride if he can, for by so doing he will be healed of all his infirmities." Charlot replied, "That will I gladly do." So saying, he dismounted, and the servants took the pilgrim in their arms, and helped him on the horse.	When this was done, the king said to Charlot, "Son, I request that you will let this sick pilgrim sit on your horse, and ride if he can, for by so doing he will be healed of all his infirmities." Charlot replied, "That will I gladly do." So saying, he dismounted, and the servants took the pilgrim in their arms, and helped him on the horse.
1401_14358_000017_000001	"Yes," said Rinaldo, "I am healed of all my infirmities." When the king heard it he said to Bishop Turpin, "My lord bishop, we must celebrate this with a procession, with crosses and banners, for it is a great miracle."	"Yes," said Rinaldo, "I am healed of all my infirmities." When the king heard it he said to Bishop Turpin, "My lord bishop, we must celebrate this with a procession, with crosses and banners, for it is a great miracle."
1401_14358_000018_000002	Malagigi pretended to be in great alarm.	Malagigi pretended to be in great alarm.
1401_14358_000018_000003	"O noble king and master," he cried, "my poor companion is run away with; he will fall and break his neck." The king ordered his knights to ride after the pilgrim, and bring him back, or help him if need were.	"O noble king and master," he cried, "my poor companion is run away with; he will fall and break his neck." The king ordered his knights to ride after the pilgrim, and bring him back, or help him if need were.
1401_14358_000018_000004	They did so, but it was in vain.	They did so, but it was in vain.
1401_14358_000018_000005	Rinaldo left them all behind him, and kept on his way till he reached Montalban.	Rinaldo left them all behind him, and kept on his way till he reached Montalban.
1401_14358_000018_000006	Malagigi was suffered to depart, unsuspected, and he went his way, making sad lamentation for the fate of his comrade, who he pretended to think must surely be dashed to pieces.	Malagigi was suffered to depart, unsuspected, and he went his way, making sad lamentation for the fate of his comrade, who he pretended to think must surely be dashed to pieces.
1401_14358_000019_000000	Malagigi did not go far, but having changed his disguise, returned to where the king was, and employed his best art in getting the brothers of Rinaldo out of prison.	Malagigi did not go far, but having changed his disguise, returned to where the king was, and employed his best art in getting the brothers of Rinaldo out of prison.
