8183_118119_000000_000000	FROM VIRGINIA, MARYLAND AND DELAWARE.	FROM VIRGINIA, MARYLAND AND DELAWARE.	true	23.22	26.53	21.289776
8183_118119_000007_000000	These individuals escaped from the eastern shore of Maryland, in the Spring of 1853, but were led to conclude that they could enjoy the freedom they had aimed to find, in New Jersey.	These individuals escaped from the eastern shore of Maryland, in the Spring of eighteen fifty three, but were led to conclude that they could enjoy the freedom they had aimed to find, in New Jersey.	true	230.18	241.72	22.314808
8183_118119_000007_000001	They procured employment in the neighborhood of Haddonfield, some six or eight miles from Camden, New Jersey, and were succeeding, as they thought, very well.	They procured employment in the neighborhood of Haddonfield, some six or eight miles from camden new jersey, and were succeeding, as they thought, very well.	true	242.12	251.32	23.132917
8183_118119_000008_000000	Things went on favorably for about three months, when to their alarm "slave-hunters were discovered in the neighborhood," and sufficient evidence was obtained to make it quite plain that, John, William and James were the identical persons, for whom the hunters were in "hot pursuit." When brought to the Committee, they were pretty thoroughly alarmed and felt very anxious to be safely off to Canada.	Things went on favorably for about three months, when to their alarm "slave hunters were discovered in the neighborhood," and sufficient evidence was obtained to make it quite plain that, john, William and james were the identical persons, for whom the hunters were in "hot pursuit." When brought to the Committee, they were pretty thoroughly alarmed and felt very anxious to be safely off to Canada.	true	251.99	276.16	23.351454
8183_118119_000008_000001	While the Committee always rendered in such cases immediate protection and aid, they nevertheless, felt, in view of the imminent dangers existing under the fugitive slave law, that persons disposed to thus stop by the way, should be very plainly given to understand, that if they were captured they would have themselves the most to blame.	While the Committee always rendered in such cases immediate protection and aid, they nevertheless, felt, in view of the imminent dangers existing under the fugitive slave law, that persons disposed to thus stop by the way, should be very plainly given to understand, that if they were captured they would have themselves the most to blame.	true	276.5	297.28	23.26291
8183_118119_000008_000002	But the dread of Slavery was strong in the minds of these fugitives, and they very fully realized their folly in stopping in New Jersey.	But the dread of Slavery was strong in the minds of these fugitives, and they very fully realized their folly in stopping in New Jersey.	true	297.47	305.5	22
8183_118119_000008_000003	The Committee procured their tickets, helped them to disguise themselves as much as possible, and admonished them not to stop short of Canada.	The Committee procured their tickets, helped them to disguise themselves as much as possible, and admonished them not to stop short of Canada.	true	305.81	314.32	23.306747
8183_118119_000009_000000	HETTY SCOTT ALIAS MARGARET DUNCANS AND DAUGHTER PRISCILLA.	HETTY SCOTT ALIAS MARGARET DUNCANS AND DAUGHTER PRISCILLA.	true	314.99	319.48	25.266895
8183_118119_000010_000000	This mother and daughter had been the "chattels personal" of Daniel Coolby of Harvard, Md.	This mother and daughter had been the "chattels personal" of Daniel Coolby of Harvard, m d.	false	319.97	325.77	22.378126
8183_118119_000010_000001	Their lot had been that of ordinary slaves in the country, on farms, &c.	Their lot had been that of ordinary slaves in the country, on farms, and c.	false	325.77	331.815	26.022108
8183_118119_000010_000002	The motive which prompted them to escape was the fact that their master had "threatened to sell" them.	The motive which prompted them to escape was the fact that their master had "threatened to sell" them.	true	331.815	337.21	26.501919
8183_118119_000010_000003	He had a right to do so; but Hetty was a little squeamish on this point and took great umbrage at her "kind master." In this "disobedient" state of mind, she determined, if hard struggling would enable her, to defeat the threats of Mr. Daniel Coolby, that he should not much longer have the satisfaction of enjoying the fruit of the toil of herself and offspring. She at once began to prepare for her journey.	He had a right to do so; but Hetty was a little squeamish on this point and took great umbrage at her "kind master." In this "disobedient" state of mind, she determined, if hard struggling would enable her, to defeat the threats of mr Daniel Coolby, that he should not much longer have the satisfaction of enjoying the fruit of the toil of herself and offspring. She at once began to prepare for her journey.	true	337.58	364.03	24.40472
8183_118119_000011_000000	She had three children of her own to bring, besides she was intimately acquainted with a young man and a young woman, both slaves, to whom she felt that it would be safe to confide her plans with a view of inviting them to accompany her.	She had three children of her own to bring, besides she was intimately acquainted with a young man and a young woman, both slaves, to whom she felt that it would be safe to confide her plans with a view of inviting them to accompany her.	true	364.22	378.16	21.64366
8183_118119_000011_000001	The young couple were ready converts to the eloquent speech delivered to them by Hetty on Freedom, and were quite willing to accept her as their leader in the emergency.	The young couple were ready converts to the eloquent speech delivered to them by Hetty on Freedom, and were quite willing to accept her as their leader in the emergency.	true	378.62	388.39	26.72433
8183_118119_000011_000002	Up to the hour of setting out on their lonely and fatiguing journey, arrangements were being carefully completed, so that there should be no delay of any kind. At the appointed hour they were all moving northward in good order.	Up to the hour of setting out on their lonely and fatiguing journey, arrangements were being carefully completed, so that there should be no delay of any kind. At the appointed hour they were all moving northward in good order.	false	388.94	402.73	24.251066
8183_118119_000012_000000	Arriving at Quakertown, Pa., they found friends of the slave, who welcomed them to their homes and sympathy, gladdening the hearts of all concerned.	Arriving at Quakertown, Pa., they found friends of the slave, who welcomed them to their homes and sympathy, gladdening the hearts of all concerned.	false	403.28	413.68	25.53716
8183_118119_000012_000001	For prudential reasons it was deemed desirable to separate the party, to send some one way and some another.	For prudential reasons it was deemed desirable to separate the party, to send some one way and some another.	true	414.08	421.21	23.25283
8183_118119_000012_000002	Thus safely, through the kind offices and aid of the friends at Quakertown, they were duly forwarded on to the Committee in Philadelphia.	Thus safely, through the kind offices and aid of the friends at Quakertown, they were duly forwarded on to the Committee in Philadelphia.	true	421.52	430.57	23.617945
8183_118119_000012_000003	Here similar acts of charity were extended to them, and they were directed on to Canada.	Here similar acts of charity were extended to them, and they were directed on to Canada.	true	430.76	437.02	26.931904
8183_118119_000013_000000	ROBERT FISHER.	ROBERT FISHER.	true	437.6	438.94	29.865149
8183_118119_000014_000000	THIS PASSENGER AVAILS HIMSELF OF HOLIDAY WEEK, BETWEEN CHRISTMAS AND NEW YEAR'S, TO MAKE HIS NORTHERN TRIP.	THIS PASSENGER AVAILS HIMSELF OF HOLIDAY WEEK, BETWEEN CHRISTMAS AND NEW YEAR'S, TO MAKE HIS NORTHERN TRIP.	true	439.43	446.35	22.769835
8183_118119_000014_000001	Robert was about thirty years of age, dark color, quite tall, and in talking with him a little while, it was soon discovered that Slavery had not crushed all the brains out of his head by a good deal.	Robert was about thirty years of age, dark color, quite tall, and in talking with him a little while, it was soon discovered that Slavery had not crushed all the brains out of his head by a good deal.	true	446.87	459.4	26.689772
8183_118119_000014_000002	Nor was he so much attached to his "kind-hearted master," John Edward Jackson, of Anne Arundel, Md., or his old fiddle, that he was contented and happy while in bondage.	Nor was he so much attached to his "kind hearted master," john Edward Jackson, of Anne Arundel, m d., or his old fiddle, that he was contented and happy while in bondage.	false	459.83	470.53	24.173306
8183_118119_000014_000003	Far from it.	Far from it.	true	470.75	471.88	22.15147
8183_118119_000014_000004	The fact was, that he hated Slavery so decidedly and had such a clear common sense-like view of the evils and misery of the system, that he declared he had as a matter of principle refrained from marrying, in order that he might have no reason to grieve over having added to the woes of slaves.	The fact was, that he hated Slavery so decidedly and had such a clear common sense like view of the evils and misery of the system, that he declared he had as a matter of principle refrained from marrying, in order that he might have no reason to grieve over having added to the woes of slaves.	true	472.04	491.74	24.099197
8183_118119_000014_000005	Nor did he wish to be encumbered, if the opportunity offered to escape.	Nor did he wish to be encumbered, if the opportunity offered to escape.	true	491.99	496.84	25.93057
8183_118119_000014_000006	According to law he was entitled to his freedom at the age of twenty-five.	According to law he was entitled to his freedom at the age of twenty five.	true	497.09	502.21	24.039423
8183_118119_000015_000000	But what right had a negro, which white slave-holders were "bound to respect?" Many who had been willed free, were held just as firmly in Slavery, as if no will had ever been made.	But what right had a negro, which white slave holders were "bound to respect?" Many who had been willed free, were held just as firmly in Slavery, as if no will had ever been made.	true	502.76	514.6	27.416674
8183_118119_000015_000001	Robert had too much sense to suppose that he could gain anything by seeking legal redress.	Robert had too much sense to suppose that he could gain anything by seeking legal redress.	true	515.06	520.51	24.47374
8183_118119_000015_000002	This method, therefore, was considered out of the question.	This method, therefore, was considered out of the question.	true	521.18	524.41	26.271774
8183_118119_000015_000003	But in the meantime he was growing very naturally in favor of the Underground Rail Road.	But in the meantime he was growing very naturally in favor of the Underground Rail Road.	true	524.57	529.48	21.87729
8183_118119_000015_000004	From his experience Robert did not hesitate to say that his master was "mean," "a very hard man," who would work his servants early and late, without allowing them food and clothing sufficient to shield them from the cold and hunger.	From his experience Robert did not hesitate to say that his master was "mean," "a very hard man," who would work his servants early and late, without allowing them food and clothing sufficient to shield them from the cold and hunger.	true	529.82	543.4	24.025934
8183_118119_000015_000005	Robert certainly had unmistakable marks about him, of having been used roughly.	Robert certainly had unmistakable marks about him, of having been used roughly.	true	544.07	549.07	24.547234
8183_118119_000015_000006	He thought very well of Nathan Harris, a fellow-servant belonging to the same owner, and he made up his mind, if Nathan would join him, neither the length of the journey, the loneliness of night travel, the coldness of the weather, the fear of the slave-hunter, nor the scantiness of their means should deter him from making his way to freedom.	He thought very well of Nathan Harris, a fellow servant belonging to the same owner, and he made up his mind, if Nathan would join him, neither the length of the journey, the loneliness of night travel, the coldness of the weather, the fear of the slave hunter, nor the scantiness of their means should deter him from making his way to freedom.	false	549.71	570.46	25.086802
8183_118119_000015_000007	Nathan listened to the proposal, and was suddenly converted to freedom, and the two united during Christmas week, 1854, and set out on the Underground Rail Road.	Nathan listened to the proposal, and was suddenly converted to freedom, and the two united during Christmas week, eighteen fifty four, and set out on the Underground Rail Road.	true	570.77	581.35	27.592407
8183_118119_000015_000008	It is needless to say that they had trying difficulties to encounter.	It is needless to say that they had trying difficulties to encounter.	true	581.57	585.73	24.971174
8183_118119_000015_000009	These they expected, but all were overcome, and they reached the Vigilance Committee, in Philadelphia safely, and were cordially welcomed.	These they expected, but all were overcome, and they reached the Vigilance Committee, in Philadelphia safely, and were cordially welcomed.	true	586.4	594.94	25.63314
8183_118119_000015_000010	During the interview, a full interchange of thought resulted, the fugitives were well cared for, and in due time both were forwarded on, free of cost.	During the interview, a full interchange of thought resulted, the fugitives were well cared for, and in due time both were forwarded on, free of cost.	true	595.13	605.05	24.774195
8183_118119_000016_000000	HANSEL WAPLES.	HANSEL WAPLES.	true	605.6	607.15	24.054703
8183_118119_000017_000000	This traveler arrived from Millsboro, Indian River, Delaware, where he was owned by Wm. E. Burton.	This traveler arrived from Millsboro, Indian River, Delaware, where he was owned by w m. e Burton.	false	607.76	614.05	24.047382
8183_118119_000017_000001	While Hansel did not really own himself, he had the reputation of having a wife and six children.	While Hansel did not really own himself, he had the reputation of having a wife and six children.	true	614.57	620.89	22.012154
8183_118119_000017_000002	In June, some six months prior to her husband's arrival, Hansel's wife had been allowed by her mistress to go out on a begging expedition, to raise money to buy herself; but contrary to the expectation of her mistress she never returned.	In June, some six months prior to her husband's arrival, Hansel's wife had been allowed by her mistress to go out on a begging expedition, to raise money to buy herself; but contrary to the expectation of her mistress she never returned.	true	621.32	636.13	25.836424
8183_118119_000017_000003	Doubtless the mistress looked upon this course as a piece of the most highhanded stealing.	Doubtless the mistress looked upon this course as a piece of the most highhanded stealing.	true	636.56	641.71	24.92527
8183_118119_000017_000004	Hansel did not speak of his owner as being a hard man, but on the contrary he thought that he was about as "good" as the best that he was acquainted with.	Hansel did not speak of his owner as being a hard man, but on the contrary he thought that he was about as "good" as the best that he was acquainted with.	true	641.9	651.58	24.632097
8183_118119_000017_000005	While this was true, however, Hansel had quite good ground for believing that his master was about to sell him.	While this was true, however, Hansel had quite good ground for believing that his master was about to sell him.	true	652.01	658.39	26.691196
8183_118119_000017_000006	Dreading this fate he made up his mind to go in pursuit of his wife to a Free state.	Dreading this fate he made up his mind to go in pursuit of his wife to a Free state.	true	658.7	664.12	23.38759
8183_118119_000017_000007	Exactly where to look or how to find her he could not tell.	Exactly where to look or how to find her he could not tell.	true	664.4	668.17	29.320675
8183_118119_000018_000000	The Committee advised him to "search in Canada." And in order to enable him to get on quickly and safely, the Committee aided him with money, &c., in 1853.	The Committee advised him to "search in Canada." And in order to enable him to get on quickly and safely, the Committee aided him with money, and c., in eighteen fifty three.	false	668.57	678.88	25.309538
8183_118119_000019_000000	ROSE ANNA TONNELL ALIAS MARIA HYDE.	ROSE ANNA t o n n e l l ALIAS MARIA HYDE.	false	680.06	683.59	26
8183_118119_000020_000000	She fled from Isaac Tonnell of Georgetown, Delaware, in Christmas week, 1853.	She fled from Isaac Tonnell of Georgetown, Delaware, in Christmas week, eighteen fifty three.	true	684.02	689.74	24.011396
8183_118119_000020_000001	A young woman with a little boy of seven years of age accompanied Rose Anna.	A young woman with a little boy of seven years of age accompanied Rose Anna.	true	690.2	694.81	21.772873
8183_118119_000020_000002	Further than the simple fact of their having thus safely arrived, except the expense incurred by the Committee, no other particulars appear on the records.	Further than the simple fact of their having thus safely arrived, except the expense incurred by the Committee, no other particulars appear on the records.	true	695.3	704.86	25.880882
8183_118119_000021_000000	MARY ENNIS ALIAS LICIA HEMMIN.	MARY ENNIS ALIAS LICIA h e m m i n.	false	705.05	708.84	19.660904
8183_118119_000022_000000	Mary arrived with her two children in the early Spring of 1854.	Mary arrived with her two children in the early Spring of eighteen fifty four.	true	708.84	713.2	25
8183_118119_000023_000000	The mother was a woman of about thirty-three years of age, quite tall, with a countenance and general appearance well fitted to awaken sympathy at first sight.	The mother was a woman of about thirty three years of age, quite tall, with a countenance and general appearance well fitted to awaken sympathy at first sight.	true	713.69	723.58	25.592735
8183_118119_000023_000001	Her oldest child was a little girl seven years of age, named Lydia; the other was named Louisa Caroline, three years of age, both promising in appearance.	Her oldest child was a little girl seven years of age, named Lydia; the other was named Louisa Caroline, three years of age, both promising in appearance.	true	723.98	734.02	23.09129
8183_118119_000023_000002	They were the so called property of John Ennis, of Georgetown, Delaware.	They were the so called property of john Ennis, of Georgetown, Delaware.	true	734.45	738.61	23.906311
8183_118119_000023_000003	For their flight they chose the dead of Winter.	For their flight they chose the dead of Winter.	true	739.16	741.97	25.899685
8183_118119_000023_000004	After leaving they made their way to West Chester, and there found friends and security for several weeks, up to the time they reached Philadelphia.	After leaving they made their way to West Chester, and there found friends and security for several weeks, up to the time they reached Philadelphia.	true	742.34	750.88	23.766804
8183_118119_000023_000005	Probably the friends with whom they stopped thought the weather too inclement for a woman with children dependent on her support to travel.	Probably the friends with whom they stopped thought the weather too inclement for a woman with children dependent on her support to travel.	true	751.31	758.47	25.563686
8183_118119_000023_000006	Long before this mother escaped, thoughts of liberty filled her heart.	Long before this mother escaped, thoughts of liberty filled her heart.	true	758.57	762.73	23.214441
8183_118119_000023_000007	She was ever watching for an opportunity, that would encourage her to hope for safety, when once the attempt should be made.	She was ever watching for an opportunity, that would encourage her to hope for safety, when once the attempt should be made.	true	762.83	769.57	23.75353
8183_118119_000023_000008	Until, however, she was convinced that her two children were to be sold, she could not quite muster courage to set out on the journey.	Until, however, she was convinced that her two children were to be sold, she could not quite muster courage to set out on the journey.	true	769.76	777.19	25.068338
8183_118119_000023_000009	This threat to sell proved in multitudes of instances, "the last straw on the camel's back." When nothing else would start them this would.	This threat to sell proved in multitudes of instances, "the last straw on the camel's back." When nothing else would start them this would.	true	777.62	786.37	23.327934
8183_118119_000023_000010	Mary and her children were the only slaves owned by this Ennis, consequently her duties were that of "Jack of all trades;" sometimes in the field and sometimes in the barn, as well as in the kitchen, by which, it is needless to say, that her life was rendered servile to the last degree.	Mary and her children were the only slaves owned by this Ennis, consequently her duties were that of "Jack of all trades;" sometimes in the field and sometimes in the barn, as well as in the kitchen, by which, it is needless to say, that her life was rendered servile to the last degree.	true	786.56	804.43	23.993296
8183_118119_000024_000000	To bind up the broken heart of such a poor slave mother, and to aid such tender plants as were these little girls, from such a wretched state of barbarism as existed in poor little Delaware, was doubly gratifying to the Committee.	To bind up the broken heart of such a poor slave mother, and to aid such tender plants as were these little girls, from such a wretched state of barbarism as existed in poor little Delaware, was doubly gratifying to the Committee.	false	805.16	825.21	24.466093
