6235_36641_000007_000000	A Pearl Worth Ten Million	A Pearl Worth Ten Million
6235_36641_000074_000003	Pierced to the heart, it was struggling with dreadful spasms whose aftershocks knocked Conseil off his feet.	Pierced to the heart, it was struggling with dreadful spasms whose aftershocks knocked Conseil off his feet.
6235_36641_000075_000000	Meanwhile Ned Land pulled the captain clear.	Meanwhile Ned Land pulled the captain clear.
6235_36641_000076_000000	The three of us followed him, and a few moments later, miraculously safe, we reached the fisherman's longboat.	The three of us followed him, and a few moments later, miraculously safe, we reached the fisherman's longboat.
6235_36641_000077_000000	Captain Nemo's first concern was to revive this unfortunate man. I wasn't sure he would succeed.	Captain Nemo's first concern was to revive this unfortunate man. I wasn't sure he would succeed.
6235_36641_000077_000001	I hoped so, since the poor devil hadn't been under very long.	I hoped so, since the poor devil hadn't been under very long.
6235_36641_000077_000002	But that stroke from the shark's tail could have been his deathblow.	But that stroke from the shark's tail could have been his deathblow.
6235_36641_000078_000001	How startled he must have felt, how frightened even, at seeing four huge, copper craniums leaning over him!	How startled he must have felt, how frightened even, at seeing four huge, copper craniums leaning over him!
6235_36641_000079_000002	His bewildered eyes indicated that he didn't know to what superhuman creatures he owed both his life and his fortune.	His bewildered eyes indicated that he didn't know to what superhuman creatures he owed both his life and his fortune.
6235_36641_000081_000000	Back on board, the sailors helped divest us of our heavy copper carapaces.	Back on board, the sailors helped divest us of our heavy copper carapaces.
6235_36641_000082_000000	Captain Nemo's first words were spoken to the Canadian.	Captain Nemo's first words were spoken to the Canadian.
6235_36641_000083_000000	"Thank you, Mr. Land," he told him.	"Thank you, mr Land," he told him.
6235_36641_000084_000000	"Tit for tat, captain," Ned Land replied.	"Tit for tat, captain," Ned Land replied.
6235_36641_000084_000001	"I owed it to you."	"I owed it to you."
6235_36641_000085_000000	The ghost of a smile glided across the captain's lips, and that was all.	The ghost of a smile glided across the captain's lips, and that was all.
6235_36641_000086_000000	"To the Nautilus," he said.	"To the Nautilus," he said.
6235_36641_000087_000000	The longboat flew over the waves.	The longboat flew over the waves.
6235_36641_000087_000001	A few minutes later we encountered the shark's corpse again, floating.	A few minutes later we encountered the shark's corpse again, floating.
6235_36641_000088_000001	It was more than twenty-five feet long; its enormous mouth occupied a third of its body. It was an adult, as could be seen from the six rows of teeth forming an isosceles triangle in its upper jaw.	It was more than twenty five feet long; its enormous mouth occupied a third of its body. It was an adult, as could be seen from the six rows of teeth forming an isosceles triangle in its upper jaw.
6235_36641_000092_000000	There I fell to thinking about the incidents that marked our excursion over the Mannar oysterbank.	There I fell to thinking about the incidents that marked our excursion over the Mannar oysterbank.
6235_36641_000092_000002	In spite of everything, this strange man hadn't yet succeeded in completely stifling his heart.	In spite of everything, this strange man hadn't yet succeeded in completely stifling his heart.
6235_36641_000093_000000	When I shared these impressions with him, he answered me in a tone touched with emotion:	When I shared these impressions with him, he answered me in a tone touched with emotion:
