1160_139727_000000_000000	"Look round the habitable world, how few Know their own good, or, knowing it, pursue!"	"Look round the habitable world, how few Know their own good, or, knowing it, pursue!"	false	0	3.87	15.700449
1160_139727_000005_000005	He had been brought up to it from a boy, his father, as I have heard, accustoming his children to dispute with one another for his diversion, while sitting at table after dinner; but I think the practice was not wise; for, in the course of my observation, these disputing, contradicting, and confuting people are generally unfortunate in their affairs.	He had been brought up to it from a boy, his father, as I have heard, accustoming his children to dispute with one another for his diversion, while sitting at table after dinner; but I think the practice was not wise; for, in the course of my observation, these disputing, contradicting, and confuting people are generally unfortunate in their affairs.	true	88.73	112.39	20.198605
1160_139727_000005_000006	They get victory sometimes, but they never get good will, which would be of more use to them.	They get victory sometimes, but they never get good will, which would be of more use to them.	true	112.61	119.32	18.938501
1160_139727_000005_000007	We parted, he going to Philadelphia, and I to Boston.	We parted, he going to Philadelphia, and I to Boston.	true	119.36	122.62	19.971931
1160_139727_000006_000000	In returning, I met at New York with the votes of the Assembly, by which it appear'd that, notwithstanding his promise to me, he and the House were already in high contention; and it was a continual battle between them as long as he retain'd the government.	In returning, I met at New York with the votes of the Assembly, by which it appear'd that, notwithstanding his promise to me, he and the House were already in high contention; and it was a continual battle between them as long as he retain'd the government.	true	123.05	137.71	19
1160_139727_000006_000001	I had my share of it; for, as soon as I got back to my seat in the Assembly, I was put on every committee for answering his speeches and messages, and by the committees always desired to make the drafts.	I had my share of it; for, as soon as I got back to my seat in the Assembly, I was put on every committee for answering his speeches and messages, and by the committees always desired to make the drafts.	true	137.93	151.75	20
1160_139727_000006_000002	Our answers, as well as his messages, were often tart, and sometimes indecently abusive; and, as he knew I wrote for the Assembly, one might have imagined that, when we met, we could hardly avoid cutting throats; but he was so good-natur'd a man that no personal difference between him and me was occasion'd by the contest, and we often din'd together.	Our answers, as well as his messages, were often tart, and sometimes indecently abusive; and, as he knew I wrote for the Assembly, one might have imagined that, when we met, we could hardly avoid cutting throats; but he was so good natur'd a man that no personal difference between him and me was occasion'd by the contest, and we often din'd together.	false	152.36	175.35	20.408846
1160_139727_000007_000000	[Illustration: "One afternoon, in the height of this public quarrel, we met in the street"]	[Illustration: "One afternoon, in the height of this public quarrel, we met in the street"]	false	175.35	176.895	20.547544
1160_139727_000008_000000	One afternoon, in the height of this public quarrel, we met in the street.	One afternoon, in the height of this public quarrel, we met in the street.	true	176.895	181.575	22
1160_139727_000008_000001	"Franklin," says he, "you must go home with me and spend the evening; I am to have some company that you will like;" and, taking me by the arm, he led me to his house.	"Franklin," says he, "you must go home with me and spend the evening; I am to have some company that you will like;" and, taking me by the arm, he led me to his house.	true	181.575	190.99	20.8652
1160_139727_000008_000002	In gay conversation over our wine, after supper, he told us, jokingly, that he much admir'd the idea of Sancho Panza,[93] who, when it was proposed to give him a government, requested it might be a government of _blacks_, as then, if he could not agree with his people, he might sell them.	In gay conversation over our wine, after supper, he told us, jokingly, that he much admir'd the idea of Sancho Panza,[ninety three] who, when it was proposed to give him a government, requested it might be a government of underscore blacks underscore, as then, if he could not agree with his people, he might sell them.	false	191.15	211.45	20.596657
1160_139727_000008_000003	One of his friends, who sat next to me, says, "Franklin, why do you continue to side with these damn'd Quakers?	One of his friends, who sat next to me, says, "Franklin, why do you continue to side with these damn'd Quakers?	true	211.94	218.65	19.582127
1160_139727_000008_000004	Had not you better sell them?	Had not you better sell them?	true	218.99	221.05	17.377785
1160_139727_000008_000005	The proprietor would give you a good price." "The governor," says I, "has not yet _blacked_ them enough." He, indeed, had laboured hard to blacken the Assembly in all his messages, but they wip'd off his colouring as fast as he laid it on, and plac'd it, in return, thick upon his own face; so that, finding he was likely to be negrofied himself, he, as well as Mr. Hamilton, grew tir'd of the contest, and quitted the government.	The proprietor would give you a good price." "The governor," says I, "has not yet underscore blacked underscore them enough." He, indeed, had laboured hard to blacken the Assembly in all his messages, but they wip'd off his colouring as fast as he laid it on, and plac'd it, in return, thick upon his own face; so that, finding he was likely to be negrofied himself, he, as well as mr Hamilton, grew tir'd of the contest, and quitted the government.	false	221.06	250.42	18.964281
1160_139727_000009_000000	These public quarrels[94] were all at bottom owing to the proprietaries, our hereditary governors, who, when any expense was to be incurred for the defense of their province, with incredible meanness instructed their deputies to pass no act for levying the necessary taxes, unless their vast estates were in the same act expressly excused; and they had even taken bonds of these deputies to observe such instructions.	These public quarrels[ninety four] were all at bottom owing to the proprietaries, our hereditary governors, who, when any expense was to be incurred for the defense of their province, with incredible meanness instructed their deputies to pass no act for levying the necessary taxes, unless their vast estates were in the same act expressly excused; and they had even taken bonds of these deputies to observe such instructions.	false	250.58	280.06	21
1160_139727_000009_000001	The Assemblies for three years held out against this injustice, tho' constrained to bend at last.	The Assemblies for three years held out against this injustice, tho' constrained to bend at last.	true	280.28	286.87	19
1160_139727_000009_000002	At length Captain Denny, who was Governor Morris's successor, ventured to disobey those instructions; how that was brought about I shall show hereafter.	At length Captain Denny, who was Governor Morris's successor, ventured to disobey those instructions; how that was brought about I shall show hereafter.	false	287.03	298.14	20.215925
1160_139727_000010_000000	[93] The "round, selfish, and self-important" squire of Don Quixote in Cervantes' romance of that name.	[ninety three] The "round, selfish, and self important" squire of Don Quixote in Cervantes' romance of that name.	false	298.14	298.32	-20
1160_139727_000011_000000	[94] My acts in Morris's time, military, etc.--_Marg. note_.	[ninety four] My acts in Morris's time, military, etc--underscore Marg. note underscore.	false	298.32	298.485	-20
1160_139727_000012_000000	But I am got forward too fast with my story: there are still some transactions to be mention'd that happened during the administration of Governor Morris.	But I am got forward too fast with my story: there are still some transactions to be mention'd that happened during the administration of Governor Morris.	true	298.485	307.78	17
1160_139727_000013_000000	War being in a manner commenced with France, the government of Massachusetts Bay projected an attack upon Crown Point,[95] and sent Mr. Quincy to Pennsylvania, and Mr. Pownall, afterward Governor Pownall, to New York, to solicit assistance.	War being in a manner commenced with France, the government of Massachusetts Bay projected an attack upon Crown Point,[ninety five] and sent mr Quincy to Pennsylvania, and mr Pownall, afterward Governor Pownall, to New York, to solicit assistance.	false	308.54	324.1	19.361662
1160_139727_000013_000001	As I was in the Assembly, knew its temper, and was Mr. Quincy's countryman, he appli'd to me for my influence and assistance.	As I was in the Assembly, knew its temper, and was mr Quincy's countryman, he appli'd to me for my influence and assistance.	false	324.11	333.76	20.91294
1160_139727_000013_000002	I dictated his address to them, which was well received.	I dictated his address to them, which was well received.	true	334.04	338.1	18.338964
1160_139727_000013_000003	They voted an aid of ten thousand pounds, to be laid out in provisions.	They voted an aid of ten thousand pounds, to be laid out in provisions.	true	338.1	342.67	20
1160_139727_000013_000004	But the governor refusing his assent to their bill (which included this with other sums granted for the use of the crown), unless a clause were inserted exempting the proprietary estate from bearing any part of the tax that would be necessary, the Assembly, tho' very desirous of making their grant to New England effectual, were at a loss how to accomplish it.	But the governor refusing his assent to their bill (which included this with other sums granted for the use of the crown), unless a clause were inserted exempting the proprietary estate from bearing any part of the tax that would be necessary, the Assembly, tho' very desirous of making their grant to New England effectual, were at a loss how to accomplish it.	false	342.74	367.03	19.301527
1160_139727_000013_000005	Mr. Quincy labored hard with the governor to obtain his assent, but he was obstinate.	mr Quincy labored hard with the governor to obtain his assent, but he was obstinate.	true	367.19	372.81	19.99355
1160_139727_000014_000000	[95] On Lake Champlain, ninety miles north of Albany.	[ninety five] On Lake Champlain, ninety miles north of Albany.	false	372.81	372.9	-3
1160_139727_000014_000001	It was captured by the French in 1731, attacked by the English in 1755 and 1756, and abandoned by the French in 1759.	It was captured by the French in seventeen thirty one, attacked by the English in seventeen fifty five and seventeen fifty six, and abandoned by the French in seventeen fifty nine.	false	372.9	373.17	-20
1160_139727_000014_000002	It was finally captured from the English by the Americans in 1775.	It was finally captured from the English by the Americans in seventeen seventy five.	false	373.17	373.32	-20
1160_139727_000015_000000	I then suggested a method of doing the business without the governor, by orders on the trustees of the Loan office, which, by law, the Assembly had the right of drawing.	I then suggested a method of doing the business without the governor, by orders on the trustees of the Loan office, which, by law, the Assembly had the right of drawing.	false	373.32	382.45	17
1160_139727_000015_000001	There was, indeed, little or no money at that time in the office, and therefore I propos'd that the orders should be payable in a year, and to bear an interest of five per cent.	There was, indeed, little or no money at that time in the office, and therefore I propos'd that the orders should be payable in a year, and to bear an interest of five per cent.	false	382.64	393.01	19.689684
1160_139727_000015_000002	With these orders I suppos'd the provisions might easily be purchas'd.	With these orders I suppos'd the provisions might easily be purchas'd.	true	393.02	396.82	17
1160_139727_000015_000003	The Assembly, with very little hesitation, adopted the proposal.	The Assembly, with very little hesitation, adopted the proposal.	true	397.25	401.32	19.803015
1160_139727_000015_000004	The orders were immediately printed, and I was one of the committee directed to sign and dispose of them.	The orders were immediately printed, and I was one of the committee directed to sign and dispose of them.	true	401.39	407.41	18
1160_139727_000015_000005	The fund for paying them was the interest of all the paper currency then extant in the province upon loan, together with the revenue arising from the excise, which being known to be more than sufficient, they obtain'd instant credit, and were not only receiv'd in payment for the provisions, but many money'd people, who had cash lying by them, vested it in those orders, which they found advantageous, as they bore interest while upon hand, and might on any occasion be used as money; so that they were eagerly all bought up, and in a few weeks none of them were to be seen.	The fund for paying them was the interest of all the paper currency then extant in the province upon loan, together with the revenue arising from the excise, which being known to be more than sufficient, they obtain'd instant credit, and were not only receiv'd in payment for the provisions, but many money'd people, who had cash lying by them, vested it in those orders, which they found advantageous, as they bore interest while upon hand, and might on any occasion be used as money; so that they were eagerly all bought up, and in a few weeks none of them were to be seen.	false	407.6	447.82	19.554256
1160_139727_000015_000006	Thus this important affair was by my means completed.	Thus this important affair was by my means completed.	false	448.16	452.5	18
1160_139727_000015_000007	Mr. Quincy return'd thanks to the Assembly in a handsome memorial, went home highly pleas'd with this success of his embassy, and ever after bore for me the most cordial and affectionate friendship.	mr Quincy return'd thanks to the Assembly in a handsome memorial, went home highly pleas'd with this success of his embassy, and ever after bore for me the most cordial and affectionate friendship.	false	452.78	469.02	19.560143
