246_122825_000000_000000	XV	fifteen	true	21.9	22.93	22.315796
246_122825_000004_000003	And look, teacher, I'm going to put this bunch of white roses beside Grandpa's grave in memory of my little mother. . . because I can't go to her grave to put it there.	And look, teacher, I'm going to put this bunch of white roses beside Grandpa's grave in memory of my little mother. . . because I can't go to her grave to put it there.	true	121.94	131.26	19
246_122825_000004_000004	But don't you think she'll know all about it, just the same?"	But don't you think she'll know all about it, just the same?"	true	131.75	134.86	17
246_122825_000005_000000	"Yes, I am sure she will, Paul."	"Yes, I am sure she will, Paul."	true	135.92	138.22	18
246_122825_000006_000000	"You see, teacher, it's just three years today since my little mother died.	"You see, teacher, it's just three years today since my little mother died.	true	139.19	143.95	15
246_122825_000006_000001	It's such a long, long time but it hurts just as much as ever . . . and I miss her just as much as ever.	It's such a long, long time but it hurts just as much as ever . . . and I miss her just as much as ever.	true	144.08	150.52	19
246_122825_000006_000002	Sometimes it seems to me that I just can't bear it, it hurts so."	Sometimes it seems to me that I just can't bear it, it hurts so."	true	150.68	154.72	15
246_122825_000007_000000	Paul's voice quivered and his lip trembled.	Paul's voice quivered and his lip trembled.	true	155.6	158.8	23
246_122825_000007_000001	He looked down at his roses, hoping that his teacher would not notice the tears in his eyes.	He looked down at his roses, hoping that his teacher would not notice the tears in his eyes.	true	158.87	163.99	14
246_122825_000008_000000	"And yet," said Anne, very softly, "you wouldn't want it to stop hurting . . . you wouldn't want to forget your little mother even if you could."	"And yet," said Anne, very softly, "you wouldn't want it to stop hurting . . . you wouldn't want to forget your little mother even if you could."	false	164.9	174.31	21
246_122825_000009_000000	"No, indeed, I wouldn't . . . that's just the way I feel.	"No, indeed, I wouldn't . . . that's just the way I feel.	true	175.31	179.16	21
246_122825_000009_000001	You're so good at understanding, teacher.	You're so good at understanding, teacher.	false	179.16	181.99	19.1343
246_122825_000009_000002	Nobody else understands so well . . . not even grandma, although she's so good to me.	Nobody else understands so well . . . not even grandma, although she's so good to me.	true	182.24	187.81	20.485123
246_122825_000009_000003	Father understood pretty well, but still I couldn't talk much to him about mother, because it made him feel so bad.	Father understood pretty well, but still I couldn't talk much to him about mother, because it made him feel so bad.	true	188.48	195.28	20
246_122825_000009_000004	When he put his hand over his face I always knew it was time to stop.	When he put his hand over his face I always knew it was time to stop.	true	195.77	199.81	18
246_122825_000009_000005	Poor father, he must be dreadfully lonesome without me; but you see he has nobody but a housekeeper now and he thinks housekeepers are no good to bring up little boys, especially when he has to be away from home so much on business.	Poor father, he must be dreadfully lonesome without me; but you see he has nobody but a housekeeper now and he thinks housekeepers are no good to bring up little boys, especially when he has to be away from home so much on business.	true	200.21	214.09	17
246_122825_000009_000006	Grandmothers are better, next to mothers.	Grandmothers are better, next to mothers.	true	214.55	217.12	21.243898
246_122825_000009_000007	Someday, when I'm brought up, I'll go back to father and we're never going to be parted again."	Someday, when I'm brought up, I'll go back to father and we're never going to be parted again."	true	217.4	222.91	19.75544
246_122825_000010_000000	Paul had talked so much to Anne about his mother and father that she felt as if she had known them.	Paul had talked so much to Anne about his mother and father that she felt as if she had known them.	true	224.15	229.72	16
246_122825_000010_000001	She thought his mother must have been very like what he was himself, in temperament and disposition; and she had an idea that Stephen Irving was a rather reserved man with a deep and tender nature which he kept hidden scrupulously from the world.	She thought his mother must have been very like what he was himself, in temperament and disposition; and she had an idea that Stephen Irving was a rather reserved man with a deep and tender nature which he kept hidden scrupulously from the world.	true	229.79	244.57	16
246_122825_000011_000000	"Father's not very easy to get acquainted with," Paul had said once.	"Father's not very easy to get acquainted with," Paul had said once.	true	245.51	249.61	20
246_122825_000011_000001	"I never got really acquainted with him until after my little mother died. But he's splendid when you do get to know him.	"I never got really acquainted with him until after my little mother died. But he's splendid when you do get to know him.	true	249.83	256.51	20
246_122825_000011_000002	I love him the best in all the world, and Grandma Irving next, and then you, teacher.	I love him the best in all the world, and Grandma Irving next, and then you, teacher.	true	256.64	262.09	19.609701
246_122825_000011_000003	I'd love you next to father if it wasn't my DUTY to love Grandma Irving best, because she's doing so much for me.	I'd love you next to father if it wasn't my DUTY to love Grandma Irving best, because she's doing so much for me.	true	262.34	268.96	17
246_122825_000011_000004	YOU know, teacher.	YOU know, teacher.	true	269.45	270.94	18.78176
246_122825_000011_000005	I wish she would leave the lamp in my room till I go to sleep, though.	I wish she would leave the lamp in my room till I go to sleep, though.	true	271.7	275.44	17
246_122825_000011_000006	She takes it right out as soon as she tucks me up because she says I mustn't be a coward. I'm NOT scared, but I'd RATHER have the light.	She takes it right out as soon as she tucks me up because she says I mustn't be a coward. I'm NOT scared, but I'd RATHER have the light.	true	275.45	284.05	21
246_122825_000011_000007	My little mother used always to sit beside me and hold my hand till I went to sleep.	My little mother used always to sit beside me and hold my hand till I went to sleep.	true	284.36	289.39	18
246_122825_000011_000008	I expect she spoiled me.	I expect she spoiled me.	true	289.58	291.4	24.24264
246_122825_000011_000009	Mothers do sometimes, you know."	Mothers do sometimes, you know."	true	291.47	293.53	19
246_122825_000012_000000	No, Anne did not know this, although she might imagine it.	No, Anne did not know this, although she might imagine it.	true	294.5	297.97	16
246_122825_000012_000001	She thought sadly of HER "little mother," the mother who had thought her so "perfectly beautiful" and who had died so long ago and was buried beside her boyish husband in that unvisited grave far away.	She thought sadly of HER "little mother," the mother who had thought her so "perfectly beautiful" and who had died so long ago and was buried beside her boyish husband in that unvisited grave far away.	true	298.07	311.19	17
246_122825_000012_000002	Anne could not remember her mother and for this reason she almost envied Paul.	Anne could not remember her mother and for this reason she almost envied Paul.	false	311.19	317.17	19.647125
246_122825_000013_000000	"My birthday is next week," said Paul, as they walked up the long red hill, basking in the June sunshine, "and father wrote me that he is sending me something that he thinks I'll like better than anything else he could send.	"My birthday is next week," said Paul, as they walked up the long red hill, basking in the June sunshine, "and father wrote me that he is sending me something that he thinks I'll like better than anything else he could send.	true	317.93	330.31	17
246_122825_000013_000001	I believe it has come already, for Grandma is keeping the bookcase drawer locked and that is something new.	I believe it has come already, for Grandma is keeping the bookcase drawer locked and that is something new.	true	330.74	336.19	19
246_122825_000013_000002	And when I asked her why, she just looked mysterious and said little boys mustn't be too curious.	And when I asked her why, she just looked mysterious and said little boys mustn't be too curious.	true	336.38	341.65	15
246_122825_000013_000003	It's very exciting to have a birthday, isn't it?	It's very exciting to have a birthday, isn't it?	true	342.47	345.13	23
246_122825_000013_000004	I'll be eleven.	I'll be eleven.	true	345.41	346.57	18.9286
246_122825_000013_000005	You'd never think it to look at me, would you?	You'd never think it to look at me, would you?	true	346.76	348.97	20
246_122825_000013_000006	Grandma says I'm very small for my age and that it's all because I don't eat enough porridge.	Grandma says I'm very small for my age and that it's all because I don't eat enough porridge.	true	349.37	354.28	17
246_122825_000013_000007	I do my very best, but Grandma gives such generous platefuls . . . there's nothing mean about Grandma, I can tell you.	I do my very best, but Grandma gives such generous platefuls . . . there's nothing mean about Grandma, I can tell you.	true	354.56	361.51	18
246_122825_000013_000008	Ever since you and I had that talk about praying going home from Sunday School that day, teacher . . . when you said we ought to pray about all our difficulties . . .	Ever since you and I had that talk about praying going home from Sunday School that day, teacher . . . when you said we ought to pray about all our difficulties . . .	true	361.88	371.11	18
246_122825_000013_000009	I've prayed every night that God would give me enough grace to enable me to eat every bit of my porridge in the mornings.	I've prayed every night that God would give me enough grace to enable me to eat every bit of my porridge in the mornings.	true	371.45	378.79	18
246_122825_000013_000010	But I've never been able to do it yet, and whether it's because I have too little grace or too much porridge I really can't decide.	But I've never been able to do it yet, and whether it's because I have too little grace or too much porridge I really can't decide.	true	379.25	386.83	19
246_122825_000013_000011	Grandma says father was brought up on porridge, and it certainly did work well in his case, for you ought to see the shoulders he has.	Grandma says father was brought up on porridge, and it certainly did work well in his case, for you ought to see the shoulders he has.	true	387.32	394.96	17
246_122825_000013_000012	But sometimes," concluded Paul with a sigh and a meditative air "I really think porridge will be the death of me."	But sometimes," concluded Paul with a sigh and a meditative air "I really think porridge will be the death of me."	true	395.45	403.18	19.228
246_122825_000014_000000	Anne permitted herself a smile, since Paul was not looking at her. All Avonlea knew that old Mrs. Irving was bringing her grandson up in accordance with the good, old-fashioned methods of diet and morals.	Anne permitted herself a smile, since Paul was not looking at her. All Avonlea knew that old mrs Irving was bringing her grandson up in accordance with the good, old-fashioned methods of diet and morals.	true	403.76	416.17	16
246_122825_000015_000000	"Let us hope not, dear," she said cheerfully.	"Let us hope not, dear," she said cheerfully.	true	417.44	420.31	17
246_122825_000015_000001	"How are your rock people coming on?	"How are your rock people coming on?	true	420.35	422.4	22.733206
246_122825_000015_000002	Does the oldest Twin still continue to behave himself?"	Does the oldest Twin still continue to behave himself?"	true	422.4	425.71	16
246_122825_000016_000000	"He HAS to," said Paul emphatically.	"He HAS to," said Paul emphatically.	true	426.26	428.8	18
246_122825_000016_000001	"He knows I won't associate with him if he doesn't.	"He knows I won't associate with him if he doesn't.	true	428.81	431.685	18
246_122825_000016_000002	He is really full of wickedness, I think."	He is really full of wickedness, I think."	true	431.685	434.11	21.032003
246_122825_000017_000000	"And has Nora found out about the Golden Lady yet?"	"And has Nora found out about the Golden Lady yet?"	true	434.78	437.83	19
246_122825_000018_000000	"No; but I think she suspects.	"No; but I think she suspects.	true	438.53	440.62	22.441772
246_122825_000018_000001	I'm almost sure she watched me the last time I went to the cave.	I'm almost sure she watched me the last time I went to the cave.	true	440.63	444.12	17
246_122825_000018_000002	_I_ don't mind if she finds out . . . it is only for HER sake I don't want her to . . . so that her feelings won't be hurt. But if she is DETERMINED to have her feelings hurt it can't be helped."	underscore I underscore don't mind if she finds out . . . it is only for HER sake I don't want her to . . . so that her feelings won't be hurt. But if she is DETERMINED to have her feelings hurt it can't be helped."	false	444.12	454.9	20.804836
246_122825_000019_000000	"If I were to go to the shore some night with you do you think I could see your rock people too?"	"If I were to go to the shore some night with you do you think I could see your rock people too?"	true	455.93	460.69	18
246_122825_000020_000000	Paul shook his head gravely.	Paul shook his head gravely.	true	461.48	463.45	21.606194
246_122825_000021_000000	"No, I don't think you could see MY rock people.	"No, I don't think you could see MY rock people.	true	463.94	466.905	19
246_122825_000021_000001	I'm the only person who can see them.	I'm the only person who can see them.	true	466.905	469.03	18
246_122825_000021_000002	But you could see rock people of your own.	But you could see rock people of your own.	true	469.1	471.43	21
246_122825_000021_000003	You're one of the kind that can.	You're one of the kind that can.	true	471.62	473.31	19
246_122825_000021_000004	We're both that kind.	We're both that kind.	false	473.31	475.06	23.027822
246_122825_000021_000005	YOU know, teacher," he added, squeezing her hand chummily.	YOU know, teacher," he added, squeezing her hand chummily.	true	475.28	479.11	15
246_122825_000021_000006	"Isn't it splendid to be that kind, teacher?"	"Isn't it splendid to be that kind, teacher?"	true	479.33	482.2	22.884356
246_122825_000022_000000	"Splendid," Anne agreed, gray shining eyes looking down into blue shining ones.	"Splendid," Anne agreed, gray shining eyes looking down into blue shining ones.	true	482.51	487.98	13
246_122825_000022_000001	Anne and Paul both knew	Anne and Paul both knew	false	487.98	490.15	19.394684
246_122825_000023_000000	"How fair the realm Imagination opens to the view,"	"How fair the realm Imagination opens to the view,"	true	491.75	495.64	14
246_122825_000024_000000	and both knew the way to that happy land.	and both knew the way to that happy land.	true	496.16	498.85	20
246_122825_000024_000001	There the rose of joy bloomed immortal by dale and stream; clouds never darkened the sunny sky; sweet bells never jangled out of tune; and kindred spirits abounded.	There the rose of joy bloomed immortal by dale and stream; clouds never darkened the sunny sky; sweet bells never jangled out of tune; and kindred spirits abounded.	true	499.28	511	18
246_122825_000024_000002	The knowledge of that land's geography . . .	The knowledge of that land's geography . . .	true	511.25	513.67	20.782276
246_122825_000024_000003	"east o' the sun, west o' the moon" . . . is priceless lore, not to be bought in any market place.	"east o' the sun, west o' the moon" . . . is priceless lore, not to be bought in any market place.	false	513.77	519.79	18
246_122825_000024_000004	It must be the gift of the good fairies at birth and the years can never deface it or take it away.	It must be the gift of the good fairies at birth and the years can never deface it or take it away.	true	520.1	525.82	18
246_122825_000024_000005	It is better to possess it, living in a garret, than to be the inhabitant of palaces without it.	It is better to possess it, living in a garret, than to be the inhabitant of palaces without it.	true	526.19	531.85	20
246_122825_000025_000000	The Avonlea graveyard was as yet the grass-grown solitude it had always been.	The Avonlea graveyard was as yet the grass grown solitude it had always been.	true	532.79	537.7	16
246_122825_000025_000001	To be sure, the Improvers had an eye on it, and Priscilla Grant had read a paper on cemeteries before the last meeting of the Society. At some future time the Improvers meant to have the lichened, wayward old board fence replaced by a neat wire railing, the grass mown and the leaning monuments straightened up.	To be sure, the Improvers had an eye on it, and Priscilla Grant had read a paper on cemeteries before the last meeting of the Society. At some future time the Improvers meant to have the lichened, wayward old board fence replaced by a neat wire railing, the grass mown and the leaning monuments straightened up.	false	538.19	558.12	17
246_122825_000026_000000	Anne put on Matthew's grave the flowers she had brought for it, and then went over to the little poplar shaded corner where Hester Gray slept. Ever since the day of the spring picnic Anne had put flowers on Hester's grave when she visited Matthew's.	Anne put on Matthew's grave the flowers she had brought for it, and then went over to the little poplar shaded corner where Hester Gray slept. Ever since the day of the spring picnic Anne had put flowers on Hester's grave when she visited Matthew's.	false	558.12	573.88	19
246_122825_000026_000001	The evening before she had made a pilgrimage back to the little deserted garden in the woods and brought therefrom some of Hester's own white roses.	The evening before she had made a pilgrimage back to the little deserted garden in the woods and brought therefrom some of Hester's own white roses.	true	574.31	582.52	14
246_122825_000027_000000	"I thought you would like them better than any others, dear," she said softly.	"I thought you would like them better than any others, dear," she said softly.	true	583.31	587.46	14
246_122825_000028_000000	Anne was still sitting there when a shadow fell over the grass and she looked up to see Mrs. Allan.	Anne was still sitting there when a shadow fell over the grass and she looked up to see mrs Allan.	false	587.46	594.22	19.783466
246_122825_000028_000001	They walked home together.	They walked home together.	true	594.44	595.96	21.373087
246_122825_000029_000000	Mrs. Allan's face was not the face of the girlbride whom the minister had brought to Avonlea five years before.	mrs Allan's face was not the face of the girlbride whom the minister had brought to Avonlea five years before.	true	596.45	603.01	14
246_122825_000029_000001	It had lost some of its bloom and youthful curves, and there were fine, patient lines about eyes and mouth.	It had lost some of its bloom and youthful curves, and there were fine, patient lines about eyes and mouth.	true	603.44	609.88	15
246_122825_000029_000002	A tiny grave in that very cemetery accounted for some of them; and some new ones had come during the recent illness, now happily over, of her little son.	A tiny grave in that very cemetery accounted for some of them; and some new ones had come during the recent illness, now happily over, of her little son.	true	610.13	620.14	15
246_122825_000029_000003	But Mrs. Allan's dimples were as sweet and sudden as ever, her eyes as clear and bright and true; and what her face lacked of girlish beauty was now more than atoned for in added tenderness and strength.	But mrs Allan's dimples were as sweet and sudden as ever, her eyes as clear and bright and true; and what her face lacked of girlish beauty was now more than atoned for in added tenderness and strength.	false	620.54	633.25	15
246_122825_000030_000000	"I suppose you are looking forward to your vacation, Anne?" she said, as they left the graveyard.	"I suppose you are looking forward to your vacation, Anne?" she said, as they left the graveyard.	false	633.92	639.27	16
246_122825_000031_000000	Anne nodded.	Anne nodded.	false	639.27	641.08	18.026918
246_122825_000032_000000	"Yes. . . .	"Yes. . . .	true	641.51	642.165	25.73436
246_122825_000032_000001	I could roll the word as a sweet morsel under my tongue.	I could roll the word as a sweet morsel under my tongue.	true	642.165	646.06	17
246_122825_000032_000002	I think the summer is going to be lovely.	I think the summer is going to be lovely.	true	646.07	648.4	18
246_122825_000032_000003	For one thing, Mrs. Morgan is coming to the Island in July and Priscilla is going to bring her up.	For one thing, mrs Morgan is coming to the Island in July and Priscilla is going to bring her up.	true	648.62	654.43	16
246_122825_000032_000004	I feel one of my old 'thrills' at the mere thought."	I feel one of my old 'thrills' at the mere thought."	true	654.68	658.09	21
246_122825_000033_000000	"I hope you'll have a good time, Anne.	"I hope you'll have a good time, Anne.	false	658.88	660.96	20.430048
246_122825_000033_000001	You've worked very hard this past year and you have succeeded."	You've worked very hard this past year and you have succeeded."	true	660.96	664.21	17
246_122825_000034_000000	"Oh, I don't know.	"Oh, I don't know.	true	665.12	666.61	15.670228
246_122825_000034_000001	I've come so far short in so many things.	I've come so far short in so many things.	true	666.62	669.61	19
246_122825_000034_000002	I haven't done what I meant to do when I began to teach last fall.	I haven't done what I meant to do when I began to teach last fall.	true	669.8	673.66	15
246_122825_000034_000003	I haven't lived up to my ideals."	I haven't lived up to my ideals."	true	673.73	676	17
246_122825_000035_000000	"None of us ever do," said Mrs. Allan with a sigh.	"None of us ever do," said mrs Allan with a sigh.	true	677.48	681.1	12
246_122825_000035_000001	"But then, Anne, you know what Lowell says, 'Not failure but low aim is crime.' We must have ideals and try to live up to them, even if we never quite succeed.	"But then, Anne, you know what Lowell says, 'Not failure but low aim is crime.' We must have ideals and try to live up to them, even if we never quite succeed.	false	681.32	692.14	20.213396
246_122825_000035_000002	Life would be a sorry business without them.	Life would be a sorry business without them.	true	692.36	694.84	20.524277
246_122825_000035_000003	With them it's grand and great. Hold fast to your ideals, Anne."	With them it's grand and great. Hold fast to your ideals, Anne."	false	695.06	700.65	20.111504
246_122825_000036_000000	"I shall try.	"I shall try.	true	700.65	701.685	20
246_122825_000036_000001	But I have to let go most of my theories," said Anne, laughing a little.	But I have to let go most of my theories," said Anne, laughing a little.	true	701.685	705.7	14
246_122825_000036_000002	"I had the most beautiful set of theories you ever knew when I started out as a schoolma'am, but every one of them has failed me at some pinch or another."	"I had the most beautiful set of theories you ever knew when I started out as a schoolma'am, but every one of them has failed me at some pinch or another."	true	705.98	714.49	14
246_122825_000037_000000	"Even the theory on corporal punishment," teased Mrs. Allan.	"Even the theory on corporal punishment," teased mrs Allan.	false	715.31	718.87	18
246_122825_000038_000000	But Anne flushed.	But Anne flushed.	true	719.27	720.85	19.740387
246_122825_000039_000000	"I shall never forgive myself for whipping Anthony."	"I shall never forgive myself for whipping Anthony."	true	721.13	724.09	17
246_122825_000040_000000	"Nonsense, dear, he deserved it.	"Nonsense, dear, he deserved it.	true	724.64	726.945	22.130165
246_122825_000040_000001	And it agreed with him.	And it agreed with him.	true	726.945	728.29	19
246_122825_000040_000002	You have had no trouble with him since and he has come to think there's nobody like you. Your kindness won his love after the idea that a 'girl was no good' was rooted out of his stubborn mind."	You have had no trouble with him since and he has come to think there's nobody like you. Your kindness won his love after the idea that a 'girl was no good' was rooted out of his stubborn mind."	true	728.39	739.03	16
246_122825_000041_000000	"He may have deserved it, but that is not the point.	"He may have deserved it, but that is not the point.	true	739.88	742.57	21.27772
246_122825_000041_000001	If I had calmly and deliberately decided to whip him because I thought it a just punishment for him I would not feel over it as I do.	If I had calmly and deliberately decided to whip him because I thought it a just punishment for him I would not feel over it as I do.	true	742.7	750.25	17
246_122825_000041_000002	But the truth is, Mrs. Allan, that I just flew into a temper and whipped him because of that.	But the truth is, mrs Allan, that I just flew into a temper and whipped him because of that.	true	750.59	755.56	18
246_122825_000041_000003	I wasn't thinking whether it was just or unjust . . . even if he hadn't deserved it I'd have done it just the same.	I wasn't thinking whether it was just or unjust . . . even if he hadn't deserved it I'd have done it just the same.	true	756.14	762.58	18
246_122825_000041_000004	That is what humiliates me."	That is what humiliates me."	true	762.68	764.47	20.900278
246_122825_000042_000000	"Well, we all make mistakes, dear, so just put it behind you.	"Well, we all make mistakes, dear, so just put it behind you.	true	765.38	768.91	19
246_122825_000042_000001	We should regret our mistakes and learn from them, but never carry them forward into the future with us.	We should regret our mistakes and learn from them, but never carry them forward into the future with us.	true	769.07	774.61	17
246_122825_000042_000002	There goes Gilbert Blythe on his wheel . . . home for his vacation too, I suppose.	There goes Gilbert Blythe on his wheel . . . home for his vacation too, I suppose.	true	775.07	779.92	22.207603
246_122825_000042_000003	How are you and he getting on with your studies?"	How are you and he getting on with your studies?"	true	780.26	782.77	15
246_122825_000043_000000	"Pretty well.	"Pretty well.	true	783.62	784.65	16.985952
246_122825_000043_000001	We plan to finish the Virgil tonight . . . there are only twenty lines to do.	We plan to finish the Virgil tonight . . . there are only twenty lines to do.	true	784.65	789.07	18
246_122825_000043_000002	Then we are not going to study any more until September."	Then we are not going to study any more until September."	true	789.23	792.25	18
246_122825_000044_000000	"Do you think you will ever get to college?"	"Do you think you will ever get to college?"	true	792.86	794.98	21.058197
246_122825_000045_000000	"Oh, I don't know." Anne looked dreamily afar to the opal-tinted horizon.	"Oh, I don't know." Anne looked dreamily afar to the opal tinted horizon.	true	795.74	800.74	19
246_122825_000045_000001	"Marilla's eyes will never be much better than they are now, although we are so thankful to think that they will not get worse.	"Marilla's eyes will never be much better than they are now, although we are so thankful to think that they will not get worse.	true	801.29	808.56	20
246_122825_000045_000002	And then there are the twins . . . somehow I don't believe their uncle will ever really send for them.	And then there are the twins . . . somehow I don't believe their uncle will ever really send for them.	true	808.56	813.82	17
246_122825_000045_000003	Perhaps college may be around the bend in the road, but I haven't got to the bend yet and I don't think much about it lest I might grow discontented."	Perhaps college may be around the bend in the road, but I haven't got to the bend yet and I don't think much about it lest I might grow discontented."	true	814.13	822.55	18
246_122825_000046_000000	"Well, I should like to see you go to college, Anne; but if you never do, don't be discontented about it.	"Well, I should like to see you go to college, Anne; but if you never do, don't be discontented about it.	true	823.16	829	18
246_122825_000046_000001	We make our own lives wherever we are, after all . . . college can only help us to do it more easily.	We make our own lives wherever we are, after all . . . college can only help us to do it more easily.	false	829.19	835.99	19
246_122825_000046_000002	They are broad or narrow according to what we put into them, not what we get out.	They are broad or narrow according to what we put into them, not what we get out.	true	836.54	841.36	18
246_122825_000046_000003	Life is rich and full here . . . everywhere . . . if we can only learn how to open our whole hearts to its richness and fulness."	Life is rich and full here . . . everywhere . . . if we can only learn how to open our whole hearts to its richness and fulness."	true	841.91	850.48	19.42679
246_122825_000047_000000	"I think I understand what you mean," said Anne thoughtfully, "and I know I have so much to feel thankful for . . . oh, so much . . . my work, and Paul Irving, and the dear twins, and all my friends.	"I think I understand what you mean," said Anne thoughtfully, "and I know I have so much to feel thankful for . . . oh, so much . . . my work, and Paul Irving, and the dear twins, and all my friends.	true	851.09	863.32	14
246_122825_000047_000001	Do you know, Mrs. Allan, I'm so thankful for friendship.	Do you know, mrs Allan, I'm so thankful for friendship.	true	863.6	866.955	15
246_122825_000047_000002	It beautifies life so much."	It beautifies life so much."	true	866.955	869.29	17
246_122825_000048_000000	"True friendship is a very helpful thing indeed," said Mrs. Allan, "and we should have a very high ideal of it, and never sully it by any failure in truth and sincerity.	"True friendship is a very helpful thing indeed," said mrs Allan, "and we should have a very high ideal of it, and never sully it by any failure in truth and sincerity.	true	869.9	879.79	14
246_122825_000048_000001	I fear the name of friendship is often degraded to a kind of intimacy that has nothing of real friendship in it."	I fear the name of friendship is often degraded to a kind of intimacy that has nothing of real friendship in it."	true	880.13	886.12	15
246_122825_000049_000000	"Yes . . . like Gertie Pye's and Julia Bell's.	"Yes . . . like Gertie Pye's and Julia Bell's.	true	886.73	889.83	17
246_122825_000049_000001	They are very intimate and go everywhere together; but Gertie is always saying nasty things of Julia behind her back and everybody thinks she is jealous of her because she is always so pleased when anybody criticizes Julia.	They are very intimate and go everywhere together; but Gertie is always saying nasty things of Julia behind her back and everybody thinks she is jealous of her because she is always so pleased when anybody criticizes Julia.	false	889.83	902.14	16
246_122825_000049_000002	I think it is desecration to call that friendship.	I think it is desecration to call that friendship.	true	902.39	905.23	24
246_122825_000049_000003	If we have friends we should look only for the best in them and give them the best that is in us, don't you think?	If we have friends we should look only for the best in them and give them the best that is in us, don't you think?	true	905.33	911.14	16
246_122825_000049_000004	Then friendship would be the most beautiful thing in the world."	Then friendship would be the most beautiful thing in the world."	true	911.42	914.5	19
246_122825_000050_000000	"Friendship IS very beautiful," smiled Mrs. Allan, "but some day . . ."	"Friendship IS very beautiful," smiled mrs Allan, "but some day . . ."	true	915.05	920.29	20.839998
246_122825_000051_000000	Then she paused abruptly.	Then she paused abruptly.	true	920.72	922.545	23.694143
246_122825_000051_000001	In the delicate, white-browed face beside her, with its candid eyes and mobile features, there was still far more of the child than of the woman.	In the delicate, white browed face beside her, with its candid eyes and mobile features, there was still far more of the child than of the woman.	true	922.545	931.36	17
246_122825_000051_000002	Anne's heart so far harbored only dreams of friendship and ambition, and Mrs. Allan did not wish to brush the bloom from her sweet unconsciousness.	Anne's heart so far harbored only dreams of friendship and ambition, and mrs Allan did not wish to brush the bloom from her sweet unconsciousness.	true	931.67	940.51	11
246_122825_000051_000003	So she left her sentence for the future years to finish.	So she left her sentence for the future years to finish.	true	940.91	944.37	14
246_122825_000052_000000	XVI	sixteen	false	944.37	944.88	-20
246_122825_000053_000000	The Substance of Things Hoped For	The Substance of Things Hoped For	false	944.88	946.32	19.944994
246_122825_000054_000000	"Anne," said Davy appealingly, scrambling up on the shiny, leather-covered sofa in the Green Gables kitchen, where Anne sat, reading a letter, "Anne, I'm AWFUL hungry.	"Anne," said Davy appealingly, scrambling up on the shiny, leather covered sofa in the Green Gables kitchen, where Anne sat, reading a letter, "Anne, I'm AWFUL hungry.	false	946.32	948.36	16.474964
246_122825_000054_000001	You've no idea."	You've no idea."	false	948.36	948.6	-2
