764_132272_000002_000000	Of Revenge	Of Revenge
764_132272_000011_000000	For the second, which is dissimulation; it followeth many times upon secrecy, by a necessity; so that he that will be secret, must be a dissembler in some degree.	For the second, which is dissimulation; it followeth many times upon secrecy, by a necessity; so that he that will be secret, must be a dissembler in some degree.
764_132272_000011_000003	As for equivocations, or oraculous speeches, they cannot hold out long.	As for equivocations, or oraculous speeches, they cannot hold out long.
764_132272_000011_000004	So that no man can be secret, except he give himself a little scope of dissimulation; which is, as it were, but the skirts or train of secrecy.	So that no man can be secret, except he give himself a little scope of dissimulation; which is, as it were, but the skirts or train of secrecy.
764_132272_000012_000000	But for the third degree, which is simulation, and false profession; that I hold more culpable, and less politic; except it be in great and rare matters.	But for the third degree, which is simulation, and false profession; that I hold more culpable, and less politic; except it be in great and rare matters.
764_132272_000013_000001	First, to lay asleep opposition, and to surprise.	First, to lay asleep opposition, and to surprise.
764_132272_000013_000002	For where a man's intentions are published, it is an alarum, to call up all that are against them. The second is, to reserve to a man's self a fair retreat.	For where a man's intentions are published, it is an alarum, to call up all that are against them. The second is, to reserve to a man's self a fair retreat.
764_132272_000013_000003	For if a man engage himself by a manifest declaration, he must go through or take a fall.	For if a man engage himself by a manifest declaration, he must go through or take a fall.
764_132272_000013_000004	The third is, the better to discover the mind of another.	The third is, the better to discover the mind of another.
764_132272_000013_000007	As if there were no way of discovery, but by simulation.	As if there were no way of discovery, but by simulation.
764_132272_000013_000009	The first, that simulation and dissimulation commonly carry with them a show of fearfulness, which in any business, doth spoil the feathers, of round flying up to the mark.	The first, that simulation and dissimulation commonly carry with them a show of fearfulness, which in any business, doth spoil the feathers, of round flying up to the mark.
764_132272_000013_000010	The second, that it puzzleth and perplexeth the conceits of many, that perhaps would otherwise co-operate with him; and makes a man walk almost alone, to his own ends.	The second, that it puzzleth and perplexeth the conceits of many, that perhaps would otherwise co-operate with him; and makes a man walk almost alone, to his own ends.
764_132272_000013_000011	The third and greatest is, that it depriveth a man of one of the most principal instruments for action; which is trust and belief.	The third and greatest is, that it depriveth a man of one of the most principal instruments for action; which is trust and belief.
764_132272_000014_000000	Of Parents And Children	Of Parents And Children
764_132272_000015_000001	Children sweeten labors; but they make misfortunes more bitter.	Children sweeten labors; but they make misfortunes more bitter.
764_132272_000015_000002	They increase the cares of life; but they mitigate the remembrance of death.	They increase the cares of life; but they mitigate the remembrance of death.
764_132272_000015_000003	The perpetuity by generation is common to beasts; but memory, merit, and noble works, are proper to men.	The perpetuity by generation is common to beasts; but memory, merit, and noble works, are proper to men.
764_132272_000015_000005	So the care of posterity is most in them, that have no posterity.	So the care of posterity is most in them, that have no posterity.
764_132272_000015_000006	They that are the first raisers of their houses, are most indulgent towards their children; beholding them as the continuance, not only of their kind, but of their work; and so both children and creatures.	They that are the first raisers of their houses, are most indulgent towards their children; beholding them as the continuance, not only of their kind, but of their work; and so both children and creatures.
764_132272_000016_000001	A man shall see, where there is a house full of children, one or two of the eldest respected, and the youngest made wantons; but in the midst, some that are as it were forgotten, who many times, nevertheless, prove the best.	A man shall see, where there is a house full of children, one or two of the eldest respected, and the youngest made wantons; but in the midst, some that are as it were forgotten, who many times, nevertheless, prove the best.
764_132272_000016_000002	The illiberality of parents, in allowance towards their children, is an harmful error; makes them base; acquaints them with shifts; makes them sort with mean company; and makes them surfeit more when they come to plenty.	The illiberality of parents, in allowance towards their children, is an harmful error; makes them base; acquaints them with shifts; makes them sort with mean company; and makes them surfeit more when they come to plenty.
764_132272_000016_000003	And therefore the proof is best, when men keep their authority towards the children, but not their purse.	And therefore the proof is best, when men keep their authority towards the children, but not their purse.
764_132272_000018_000001	Yet it were great reason that those that have children, should have greatest care of future times; unto which they know they must transmit their dearest pledges. Some there are, who though they lead a single life, yet their thoughts do end with themselves, and account future times impertinences.	Yet it were great reason that those that have children, should have greatest care of future times; unto which they know they must transmit their dearest pledges. Some there are, who though they lead a single life, yet their thoughts do end with themselves, and account future times impertinences.
764_132272_000018_000002	Nay, there are some other, that account wife and children, but as bills of charges.	Nay, there are some other, that account wife and children, but as bills of charges.
764_132272_000018_000003	Nay more, there are some foolish rich covetous men, that take a pride, in having no children, because they may be thought so much the richer.	Nay more, there are some foolish rich covetous men, that take a pride, in having no children, because they may be thought so much the richer.
764_132272_000018_000005	But the most ordinary cause of a single life, is liberty, especially in certain self-pleasing and humorous minds, which are so sensible of every restraint, as they will go near to think their girdles and garters, to be bonds and shackles.	But the most ordinary cause of a single life, is liberty, especially in certain self pleasing and humorous minds, which are so sensible of every restraint, as they will go near to think their girdles and garters, to be bonds and shackles.
764_132272_000018_000006	Unmarried men are best friends, best masters, best servants; but not always best subjects; for they are light to run away; and almost all fugitives, are of that condition.	Unmarried men are best friends, best masters, best servants; but not always best subjects; for they are light to run away; and almost all fugitives, are of that condition.
764_132272_000018_000007	A single life doth well with churchmen; for charity will hardly water the ground, where it must first fill a pool.	A single life doth well with churchmen; for charity will hardly water the ground, where it must first fill a pool.
764_132272_000018_000008	It is indifferent for judges and magistrates; for if they be facile and corrupt, you shall have a servant, five times worse than a wife.	It is indifferent for judges and magistrates; for if they be facile and corrupt, you shall have a servant, five times worse than a wife.
764_132272_000018_000009	For soldiers, I find the generals commonly in their hortatives, put men in mind of their wives and children; and I think the despising of marriage amongst the Turks, maketh the vulgar soldier more base.	For soldiers, I find the generals commonly in their hortatives, put men in mind of their wives and children; and I think the despising of marriage amongst the Turks, maketh the vulgar soldier more base.
764_132272_000018_000011	Grave natures, led by custom, and therefore constant, are commonly loving husbands, as was said of Ulysses, vetulam suam praetulit immortalitati. Chaste women are often proud and froward, as presuming upon the merit of their chastity.	Grave natures, led by custom, and therefore constant, are commonly loving husbands, as was said of Ulysses, vetulam suam praetulit immortalitati. Chaste women are often proud and froward, as presuming upon the merit of their chastity.
764_132272_000018_000016	It is often seen that bad husbands, have very good wives; whether it be, that it raiseth the price of their husband's kindness, when it comes; or that the wives take a pride in their patience.	It is often seen that bad husbands, have very good wives; whether it be, that it raiseth the price of their husband's kindness, when it comes; or that the wives take a pride in their patience.
