1473_135657_000000_000000	OF LIBERTY AND NECESSITY.	OF LIBERTY AND NECESSITY.	true	26.46	28.48	22.547062
1473_135657_000004_000000	I hope, therefore, to make it appear that all men have ever agreed in the doctrine both of necessity and of liberty, according to any reasonable sense, which can be put on these terms; and that the whole controversy has hitherto turned merely upon words.	I hope, therefore, to make it appear that all men have ever agreed in the doctrine both of necessity and of liberty, according to any reasonable sense, which can be put on these terms; and that the whole controversy has hitherto turned merely upon words.	true	218.81	236.5	19.773026
1473_135657_000004_000001	We shall begin with examining the doctrine of necessity.	We shall begin with examining the doctrine of necessity.	true	236.99	240.45	12
1473_135657_000005_000000	64.	sixty four.	false	240.45	241.14	0
1473_135657_000005_000001	It is universally allowed that matter, in all its operations, is actuated by a necessary force, and that every natural effect is so precisely determined by the energy of its cause that no other effect, in such particular circumstances, could possibly have resulted from it.	It is universally allowed that matter, in all its operations, is actuated by a necessary force, and that every natural effect is so precisely determined by the energy of its cause that no other effect, in such particular circumstances, could possibly have resulted from it.	false	241.14	257.5	18
1473_135657_000005_000002	The degree and direction of every motion is, by the laws of nature, prescribed with such exactness that a living creature may as soon arise from the shock of two bodies as motion in any other degree or direction than what is actually produced by it.	The degree and direction of every motion is, by the laws of nature, prescribed with such exactness that a living creature may as soon arise from the shock of two bodies as motion in any other degree or direction than what is actually produced by it.	false	257.9	271.84	17
1473_135657_000005_000003	Would we, therefore, form a just and precise idea of _necessity_, we must consider whence that idea arises when we apply it to the operation of bodies.	Would we, therefore, form a just and precise idea of underscore necessity underscore, we must consider whence that idea arises when we apply it to the operation of bodies.	false	272.84	282.76	19
1473_135657_000006_000000	It seems evident that, if all the scenes of nature were continually shifted in such a manner that no two events bore any resemblance to each other, but every object was entirely new, without any similitude to whatever had been seen before, we should never, in that case, have attained the least idea of necessity, or of a connexion among these objects.	It seems evident that, if all the scenes of nature were continually shifted in such a manner that no two events bore any resemblance to each other, but every object was entirely new, without any similitude to whatever had been seen before, we should never, in that case, have attained the least idea of necessity, or of a connexion among these objects.	false	283.94	304.72	18
1473_135657_000006_000001	We might say, upon such a supposition, that one object or event has followed another; not that one was produced by the other.	We might say, upon such a supposition, that one object or event has followed another; not that one was produced by the other.	true	305.48	313.12	19.794634
1473_135657_000006_000002	The relation of cause and effect must be utterly unknown to mankind. Inference and reasoning concerning the operations of nature would, from that moment, be at an end; and the memory and senses remain the only canals, by which the knowledge of any real existence could possibly have access to the mind.	The relation of cause and effect must be utterly unknown to mankind. Inference and reasoning concerning the operations of nature would, from that moment, be at an end; and the memory and senses remain the only canals, by which the knowledge of any real existence could possibly have access to the mind.	true	314.09	331.84	15
1473_135657_000006_000003	Our idea, therefore, of necessity and causation arises entirely from the uniformity observable in the operations of nature, where similar objects are constantly conjoined together, and the mind is determined by custom to infer the one from the appearance of the other.	Our idea, therefore, of necessity and causation arises entirely from the uniformity observable in the operations of nature, where similar objects are constantly conjoined together, and the mind is determined by custom to infer the one from the appearance of the other.	false	332.54	348.67	16
1473_135657_000006_000004	These two circumstances form the whole of that necessity, which we ascribe to matter.	These two circumstances form the whole of that necessity, which we ascribe to matter.	false	349.4	354.01	16
1473_135657_000006_000005	Beyond the constant _conjunction_ of similar objects, and the consequent _inference_ from one to the other, we have no notion of any necessity or connexion.	Beyond the constant underscore conjunction underscore of similar objects, and the consequent underscore inference underscore from one to the other, we have no notion of any necessity or connexion.	false	354.29	362.98	15
1473_135657_000007_000000	If it appear, therefore, that all mankind have ever allowed, without any doubt or hesitation, that these two circumstances take place in the voluntary actions of men, and in the operations of mind; it must follow, that all mankind have ever agreed in the doctrine of necessity, and that they have hitherto disputed, merely for not understanding each other.	If it appear, therefore, that all mankind have ever allowed, without any doubt or hesitation, that these two circumstances take place in the voluntary actions of men, and in the operations of mind; it must follow, that all mankind have ever agreed in the doctrine of necessity, and that they have hitherto disputed, merely for not understanding each other.	true	363.23	384.24	18
1473_135657_000008_000000	65.	sixty five.	false	384.24	384.96	2
1473_135657_000008_000001	As to the first circumstance, the constant and regular conjunction of similar events, we may possibly satisfy ourselves by the following considerations.	As to the first circumstance, the constant and regular conjunction of similar events, we may possibly satisfy ourselves by the following considerations.	true	384.96	393.22	19
1473_135657_000008_000002	It is universally acknowledged that there is a great uniformity among the actions of men, in all nations and ages, and that human nature remains still the same, in its principles and operations. The same motives always produce the same actions.	It is universally acknowledged that there is a great uniformity among the actions of men, in all nations and ages, and that human nature remains still the same, in its principles and operations. The same motives always produce the same actions.	false	393.8	408.76	20
1473_135657_000008_000003	The same events follow from the same causes.	The same events follow from the same causes.	true	409.34	412.42	19.20623
1473_135657_000008_000004	Ambition, avarice, self-love, vanity, friendship, generosity, public spirit: these passions, mixed in various degrees, and distributed through society, have been, from the beginning of the world, and still are, the source of all the actions and enterprises, which have ever been observed among mankind.	Ambition, avarice, self love, vanity, friendship, generosity, public spirit: these passions, mixed in various degrees, and distributed through society, have been, from the beginning of the world, and still are, the source of all the actions and enterprises, which have ever been observed among mankind.	true	413.06	436.03	19.235273
1473_135657_000008_000005	Would you know the sentiments, inclinations, and course of life of the Greeks and Romans?	Would you know the sentiments, inclinations, and course of life of the Greeks and romans?	true	436.1	441.43	15
1473_135657_000008_000006	Study well the temper and actions of the French and English: You cannot be much mistaken in transferring to the former _most_ of the observations which you have made with regard to the latter.	Study well the temper and actions of the French and English: You cannot be much mistaken in transferring to the former underscore most underscore of the observations which you have made with regard to the latter.	false	441.77	452.68	16
1473_135657_000008_000007	Mankind are so much the same, in all times and places, that history informs us of nothing new or strange in this particular.	Mankind are so much the same, in all times and places, that history informs us of nothing new or strange in this particular.	true	453.05	461.14	14
1473_135657_000008_000008	Its chief use is only to discover the constant and universal principles of human nature, by showing men in all varieties of circumstances and situations, and furnishing us with materials from which we may form our observations and become acquainted with the regular springs of human action and behaviour.	Its chief use is only to discover the constant and universal principles of human nature, by showing men in all varieties of circumstances and situations, and furnishing us with materials from which we may form our observations and become acquainted with the regular springs of human action and behaviour.	true	461.18	478.9	14
1473_135657_000008_000009	These records of wars, intrigues, factions, and revolutions, are so many collections of experiments, by which the politician or moral philosopher fixes the principles of his science, in the same manner as the physician or natural philosopher becomes acquainted with the nature of plants, minerals, and other external objects, by the experiments which he forms concerning them.	These records of wars, intrigues, factions, and revolutions, are so many collections of experiments, by which the politician or moral philosopher fixes the principles of his science, in the same manner as the physician or natural philosopher becomes acquainted with the nature of plants, minerals, and other external objects, by the experiments which he forms concerning them.	false	479.36	503.13	19
1473_135657_000008_000010	Nor are the earth, water, and other elements, examined by Aristotle, and Hippocrates, more like to those which at present lie under our observation than the men described by Polybius and Tacitus are to those who now govern the world.	Nor are the earth, water, and other elements, examined by Aristotle, and Hippocrates, more like to those which at present lie under our observation than the men described by Polybius and Tacitus are to those who now govern the world.	false	503.13	517.63	17
1473_135657_000009_000000	Should a traveller, returning from a far country, bring us an account of men, wholly different from any with whom we were ever acquainted; men, who were entirely divested of avarice, ambition, or revenge; who knew no pleasure but friendship, generosity, and public spirit; we should immediately, from these circumstances, detect the falsehood, and prove him a liar, with the same certainty as if he had stuffed his narration with stories of centaurs and dragons, miracles and prodigies.	Should a traveller, returning from a far country, bring us an account of men, wholly different from any with whom we were ever acquainted; men, who were entirely divested of avarice, ambition, or revenge; who knew no pleasure but friendship, generosity, and public spirit; we should immediately, from these circumstances, detect the falsehood, and prove him a liar, with the same certainty as if he had stuffed his narration with stories of centaurs and dragons, miracles and prodigies.	true	517.7	546.31	20.133005
1473_135657_000009_000001	And if we would explode any forgery in history, we cannot make use of a more convincing argument, than to prove, that the actions ascribed to any person are directly contrary to the course of nature, and that no human motives, in such circumstances, could ever induce him to such a conduct. The veracity of Quintus Curtius is as much to be suspected, when he describes the supernatural courage of Alexander, by which he was hurried on singly to attack multitudes, as when he describes his supernatural force and activity, by which he was able to resist them.	And if we would explode any forgery in history, we cannot make use of a more convincing argument, than to prove, that the actions ascribed to any person are directly contrary to the course of nature, and that no human motives, in such circumstances, could ever induce him to such a conduct. The veracity of Quintus Curtius is as much to be suspected, when he describes the supernatural courage of Alexander, by which he was hurried on singly to attack multitudes, as when he describes his supernatural force and activity, by which he was able to resist them.	false	546.71	577.09	17
1473_135657_000009_000002	So readily and universally do we acknowledge a uniformity in human motives and actions as well as in the operations of body.	So readily and universally do we acknowledge a uniformity in human motives and actions as well as in the operations of body.	true	577.76	584.71	13
1473_135657_000010_000000	Hence likewise the benefit of that experience, acquired by long life and a variety of business and company, in order to instruct us in the principles of human nature, and regulate our future conduct, as well as speculation.	Hence likewise the benefit of that experience, acquired by long life and a variety of business and company, in order to instruct us in the principles of human nature, and regulate our future conduct, as well as speculation.	true	584.78	597.07	18
1473_135657_000010_000001	By means of this guide, we mount up to the knowledge of men's inclinations and motives, from their actions, expressions, and even gestures; and again descend to the interpretation of their actions from our knowledge of their motives and inclinations.	By means of this guide, we mount up to the knowledge of men's inclinations and motives, from their actions, expressions, and even gestures; and again descend to the interpretation of their actions from our knowledge of their motives and inclinations.	true	597.47	611.29	17
1473_135657_000010_000002	The general observations treasured up by a course of experience, give us the clue of human nature, and teach us to unravel all its intricacies.	The general observations treasured up by a course of experience, give us the clue of human nature, and teach us to unravel all its intricacies.	true	611.45	619.33	19
1473_135657_000010_000003	Pretexts and appearances no longer deceive us.	Pretexts and appearances no longer deceive us.	true	619.55	622.45	16
1473_135657_000010_000004	Public declarations pass for the specious colouring of a cause.	Public declarations pass for the specious colouring of a cause.	true	622.79	626.41	19
1473_135657_000010_000005	And though virtue and honour be allowed their proper weight and authority, that perfect disinterestedness, so often pretended to, is never expected in multitudes and parties; seldom in their leaders; and scarcely even in individuals of any rank or station.	And though virtue and honour be allowed their proper weight and authority, that perfect disinterestedness, so often pretended to, is never expected in multitudes and parties; seldom in their leaders; and scarcely even in individuals of any rank or station.	true	626.42	641.44	19.18327
1473_135657_000010_000006	But were there no uniformity in human actions, and were every experiment which we could form of this kind irregular and anomalous, it were impossible to collect any general observations concerning mankind; and no experience, however accurately digested by reflection, would ever serve to any purpose.	But were there no uniformity in human actions, and were every experiment which we could form of this kind irregular and anomalous, it were impossible to collect any general observations concerning mankind; and no experience, however accurately digested by reflection, would ever serve to any purpose.	true	642.11	660.04	17
1473_135657_000010_000007	Why is the aged husbandman more skilful in his calling than the young beginner but because there is a certain uniformity in the operation of the sun, rain, and earth towards the production of vegetables; and experience teaches the old practitioner the rules by which this operation is governed and directed.	Why is the aged husbandman more skilful in his calling than the young beginner but because there is a certain uniformity in the operation of the sun, rain, and earth towards the production of vegetables; and experience teaches the old practitioner the rules by which this operation is governed and directed.	true	660.65	678.03	17
1473_135657_000011_000000	66.	sixty six.	false	678.03	678.39	-20
1473_135657_000011_000001	We must not, however, expect that this uniformity of human actions should be carried to such a length as that all men, in the same circumstances, will always act precisely in the same manner, without making any allowance for the diversity of characters, prejudices, and opinions.	We must not, however, expect that this uniformity of human actions should be carried to such a length as that all men, in the same circumstances, will always act precisely in the same manner, without making any allowance for the diversity of characters, prejudices, and opinions.	true	678.39	694.42	17
1473_135657_000011_000002	Such a uniformity in every particular, is found in no part of nature.	Such a uniformity in every particular, is found in no part of nature.	true	694.55	699.16	20.994194
1473_135657_000011_000003	On the contrary, from observing the variety of conduct in different men, we are enabled to form a greater variety of maxims, which still suppose a degree of uniformity and regularity.	On the contrary, from observing the variety of conduct in different men, we are enabled to form a greater variety of maxims, which still suppose a degree of uniformity and regularity.	false	699.92	711.37	18
1473_135657_000012_000000	Are the manners of men different in different ages and countries?	Are the manners of men different in different ages and countries?	true	711.53	715	14
1473_135657_000012_000001	We learn thence the great force of custom and education, which mould the human mind from its infancy and form it into a fixed and established character.	We learn thence the great force of custom and education, which mould the human mind from its infancy and form it into a fixed and established character.	true	715.16	724.02	17
1473_135657_000012_000002	Is the behaviour and conduct of the one sex very unlike that of the other?	Is the behaviour and conduct of the one sex very unlike that of the other?	true	724.02	728.44	19
1473_135657_000012_000003	Is it thence we become acquainted with the different characters which nature has impressed upon the sexes, and which she preserves with constancy and regularity?	Is it thence we become acquainted with the different characters which nature has impressed upon the sexes, and which she preserves with constancy and regularity?	true	728.6	736.8	19
1473_135657_000012_000004	Are the actions of the same person much diversified in the different periods of his life, from infancy to old age?	Are the actions of the same person much diversified in the different periods of his life, from infancy to old age?	true	736.8	743.35	18
1473_135657_000012_000005	This affords room for many general observations concerning the gradual change of our sentiments and inclinations, and the different maxims which prevail in the different ages of human creatures.	This affords room for many general observations concerning the gradual change of our sentiments and inclinations, and the different maxims which prevail in the different ages of human creatures.	true	743.75	754.33	15
1473_135657_000012_000006	Even the characters, which are peculiar to each individual, have a uniformity in their influence; otherwise our acquaintance with the persons and our observation of their conduct could never teach us their dispositions, or serve to direct our behaviour with regard to them.	Even the characters, which are peculiar to each individual, have a uniformity in their influence; otherwise our acquaintance with the persons and our observation of their conduct could never teach us their dispositions, or serve to direct our behaviour with regard to them.	false	754.67	769.05	19
1473_135657_000013_000000	67.	sixty seven.	false	769.05	769.41	-4
1473_135657_000013_000001	I grant it possible to find some actions, which seem to have no regular connexion with any known motives, and are exceptions to all the measures of conduct which have ever been established for the government of men.	I grant it possible to find some actions, which seem to have no regular connexion with any known motives, and are exceptions to all the measures of conduct which have ever been established for the government of men.	false	769.41	780.67	17
1473_135657_000013_000002	But if we would willingly know what judgement should be formed of such irregular and extraordinary actions, we may consider the sentiments commonly entertained with regard to those irregular events which appear in the course of nature, and the operations of external objects.	But if we would willingly know what judgement should be formed of such irregular and extraordinary actions, we may consider the sentiments commonly entertained with regard to those irregular events which appear in the course of nature, and the operations of external objects.	true	780.92	794.92	16
1473_135657_000013_000003	All causes are not conjoined to their usual effects with like uniformity.	All causes are not conjoined to their usual effects with like uniformity.	false	795.02	799.21	18
1473_135657_000013_000004	An artificer, who handles only dead matter, may be disappointed of his aim, as well as the politician, who directs the conduct of sensible and intelligent agents.	An artificer, who handles only dead matter, may be disappointed of his aim, as well as the politician, who directs the conduct of sensible and intelligent agents.	true	800.12	810.07	18
1473_135657_000014_000000	The vulgar, who take things according to their first appearance, attribute the uncertainty of events to such an uncertainty in the causes as makes the latter often fail of their usual influence; though they meet with no impediment in their operation.	The vulgar, who take things according to their first appearance, attribute the uncertainty of events to such an uncertainty in the causes as makes the latter often fail of their usual influence; though they meet with no impediment in their operation.	false	810.38	823.6	17
1473_135657_000014_000001	But philosophers, observing that, almost in every part of nature, there is contained a vast variety of springs and principles, which are hid, by reason of their minuteness or remoteness, find, that it is at least possible the contrariety of events may not proceed from any contingency in the cause, but from the secret operation of contrary causes.	But philosophers, observing that, almost in every part of nature, there is contained a vast variety of springs and principles, which are hid, by reason of their minuteness or remoteness, find, that it is at least possible the contrariety of events may not proceed from any contingency in the cause, but from the secret operation of contrary causes.	false	823.76	845.92	18
1473_135657_000014_000002	This possibility is converted into certainty by farther observation, when they remark that, upon an exact scrutiny, a contrariety of effects always betrays a contrariety of causes, and proceeds from their mutual opposition.	This possibility is converted into certainty by farther observation, when they remark that, upon an exact scrutiny, a contrariety of effects always betrays a contrariety of causes, and proceeds from their mutual opposition.	true	846.11	859.57	19.164673
1473_135657_000014_000003	A peasant can give no better reason for the stopping of any clock or watch than to say that it does not commonly go right: But an artist easily perceives that the same force in the spring or pendulum has always the same influence on the wheels; but fails of its usual effect, perhaps by reason of a grain of dust, which puts a stop to the whole movement.	A peasant can give no better reason for the stopping of any clock or watch than to say that it does not commonly go right: But an artist easily perceives that the same force in the spring or pendulum has always the same influence on the wheels; but fails of its usual effect, perhaps by reason of a grain of dust, which puts a stop to the whole movement.	true	860.06	880.06	19
1473_135657_000014_000004	From the observation of several parallel instances, philosophers form a maxim that the connexion between all causes and effects is equally necessary, and that its seeming uncertainty in some instances proceeds from the secret opposition of contrary causes.	From the observation of several parallel instances, philosophers form a maxim that the connexion between all causes and effects is equally necessary, and that its seeming uncertainty in some instances proceeds from the secret opposition of contrary causes.	true	880.19	895.75	15
1473_135657_000015_000000	Thus, for instance, in the human body, when the usual symptoms of health or sickness disappoint our expectation; when medicines operate not with their wonted powers; when irregular events follow from any particular cause; the philosopher and physician are not surprised at the matter, nor are ever tempted to deny, in general, the necessity and uniformity of those principles by which the animal economy is conducted.	Thus, for instance, in the human body, when the usual symptoms of health or sickness disappoint our expectation; when medicines operate not with their wonted powers; when irregular events follow from any particular cause; the philosopher and physician are not surprised at the matter, nor are ever tempted to deny, in general, the necessity and uniformity of those principles by which the animal economy is conducted.	false	896.27	920.08	18
1473_135657_000015_000001	They know that a human body is a mighty complicated machine: That many secret powers lurk in it, which are altogether beyond our comprehension: That to us it must often appear very uncertain in its operations: And that therefore the irregular events, which outwardly discover themselves, can be no proof that the laws of nature are not observed with the greatest regularity in its internal operations and government.	They know that a human body is a mighty complicated machine: That many secret powers lurk in it, which are altogether beyond our comprehension: That to us it must often appear very uncertain in its operations: And that therefore the irregular events, which outwardly discover themselves, can be no proof that the laws of nature are not observed with the greatest regularity in its internal operations and government.	false	920.36	946.65	18
1473_135657_000016_000000	68.	sixty eight.	false	946.65	946.95	-20
1473_135657_000016_000001	The philosopher, if he be consistent, must apply the same reasoning to the actions and volitions of intelligent agents.	The philosopher, if he be consistent, must apply the same reasoning to the actions and volitions of intelligent agents.	true	946.95	954.49	15
1473_135657_000016_000002	The most irregular and unexpected resolutions of men may frequently be accounted for by those who know every particular circumstance of their character and situation.	The most irregular and unexpected resolutions of men may frequently be accounted for by those who know every particular circumstance of their character and situation.	true	955.01	964.09	16
1473_135657_000016_000003	A person of an obliging disposition gives a peevish answer: But he has the toothache, or has not dined.	A person of an obliging disposition gives a peevish answer: But he has the toothache, or has not dined.	true	964.22	971.68	19.989965
1473_135657_000016_000004	A stupid fellow discovers an uncommon alacrity in his carriage: But he has met with a sudden piece of good fortune.	A stupid fellow discovers an uncommon alacrity in his carriage: But he has met with a sudden piece of good fortune.	true	971.84	978.22	17
1473_135657_000016_000005	Or even when an action, as sometimes happens, cannot be particularly accounted for, either by the person himself or by others; we know, in general, that the characters of men are, to a certain degree, inconstant and irregular.	Or even when an action, as sometimes happens, cannot be particularly accounted for, either by the person himself or by others; we know, in general, that the characters of men are, to a certain degree, inconstant and irregular.	true	978.53	991.15	18
1473_135657_000016_000006	This is, in a manner, the constant character of human nature; though it be applicable, in a more particular manner, to some persons who have no fixed rule for their conduct, but proceed in a continued course of caprice and inconstancy.	This is, in a manner, the constant character of human nature; though it be applicable, in a more particular manner, to some persons who have no fixed rule for their conduct, but proceed in a continued course of caprice and inconstancy.	false	991.4	1004.62	18.875854
1473_135657_000016_000007	The internal principles and motives may operate in a uniform manner, notwithstanding these seeming irregularities; in the same manner as the winds, rain, clouds, and other variations of the weather are supposed to be governed by steady principles; though not easily discoverable by human sagacity and enquiry.	The internal principles and motives may operate in a uniform manner, notwithstanding these seeming irregularities; in the same manner as the winds, rain, clouds, and other variations of the weather are supposed to be governed by steady principles; though not easily discoverable by human sagacity and enquiry.	false	1005.11	1023.21	17
1473_135657_000017_000000	69.	sixty nine.	false	1023.21	1023.6	-6
1473_135657_000017_000001	Thus it appears, not only that the conjunction between motives and voluntary actions is as regular and uniform as that between the cause and effect in any part of nature; but also that this regular conjunction has been universally acknowledged among mankind, and has never been the subject of dispute, either in philosophy or common life.	Thus it appears, not only that the conjunction between motives and voluntary actions is as regular and uniform as that between the cause and effect in any part of nature; but also that this regular conjunction has been universally acknowledged among mankind, and has never been the subject of dispute, either in philosophy or common life.	true	1023.6	1042.54	17
1473_135657_000017_000002	Now, as it is from past experience that we draw all inferences concerning the future, and as we conclude that objects will always be conjoined together which we find to have always been conjoined; it may seem superfluous to prove that this experienced uniformity in human actions is a source whence we draw _inferences_ concerning them.	Now, as it is from past experience that we draw all inferences concerning the future, and as we conclude that objects will always be conjoined together which we find to have always been conjoined; it may seem superfluous to prove that this experienced uniformity in human actions is a source whence we draw underscore inferences underscore concerning them.	false	1042.64	1060.63	14
1473_135657_000017_000003	But in order to throw the argument into a greater variety of lights we shall also insist, though briefly, on this latter topic.	But in order to throw the argument into a greater variety of lights we shall also insist, though briefly, on this latter topic.	true	1061.3	1068.55	19
1473_135657_000018_000000	The mutual dependence of men is so great in all societies that scarce any human action is entirely complete in itself, or is performed without some reference to the actions of others, which are requisite to make it answer fully the intention of the agent.	The mutual dependence of men is so great in all societies that scarce any human action is entirely complete in itself, or is performed without some reference to the actions of others, which are requisite to make it answer fully the intention of the agent.	true	1068.95	1082.56	14
1473_135657_000018_000001	The poorest artificer, who labours alone, expects at least the protection of the magistrate, to ensure him the enjoyment of the fruits of his labour.	The poorest artificer, who labours alone, expects at least the protection of the magistrate, to ensure him the enjoyment of the fruits of his labour.	true	1082.75	1090.21	19
1473_135657_000018_000002	He also expects that, when he carries his goods to market, and offers them at a reasonable price, he shall find purchasers, and shall be able, by the money he acquires, to engage others to supply him with those commodities which are requisite for his subsistence.	He also expects that, when he carries his goods to market, and offers them at a reasonable price, he shall find purchasers, and shall be able, by the money he acquires, to engage others to supply him with those commodities which are requisite for his subsistence.	true	1090.61	1105.03	20
1473_135657_000018_000003	In proportion as men extend their dealings, and render their intercourse with others more complicated, they always comprehend, in their schemes of life, a greater variety of voluntary actions, which they expect, from the proper motives, to co-operate with their own.	In proportion as men extend their dealings, and render their intercourse with others more complicated, they always comprehend, in their schemes of life, a greater variety of voluntary actions, which they expect, from the proper motives, to co-operate with their own.	true	1105.25	1119.96	18
1473_135657_000018_000004	In all these conclusions they take their measures from past experience, in the same manner as in their reasonings concerning external objects; and firmly believe that men, as well as all the elements, are to continue, in their operations, the same that they have ever found them.	In all these conclusions they take their measures from past experience, in the same manner as in their reasonings concerning external objects; and firmly believe that men, as well as all the elements, are to continue, in their operations, the same that they have ever found them.	false	1119.96	1135.33	17
1473_135657_000018_000005	A manufacturer reckons upon the labour of his servants for the execution of any work as much as upon the tools which he employs, and would be equally surprised were his expectations disappointed.	A manufacturer reckons upon the labour of his servants for the execution of any work as much as upon the tools which he employs, and would be equally surprised were his expectations disappointed.	false	1136.06	1146.4	15
1473_135657_000018_000006	In short, this experimental inference and reasoning concerning the actions of others enters so much into human life that no man, while awake, is ever a moment without employing it.	In short, this experimental inference and reasoning concerning the actions of others enters so much into human life that no man, while awake, is ever a moment without employing it.	true	1147.25	1158.01	18
1473_135657_000018_000007	Have we not reason, therefore, to affirm that all mankind have always agreed in the doctrine of necessity according to the foregoing definition and explication of it?	Have we not reason, therefore, to affirm that all mankind have always agreed in the doctrine of necessity according to the foregoing definition and explication of it?	true	1158.74	1167.9	13
1473_135657_000019_000000	70.	seventy.	false	1167.9	1168.47	-20
1473_135657_000019_000001	Nor have philosophers ever entertained a different opinion from the people in this particular.	Nor have philosophers ever entertained a different opinion from the people in this particular.	true	1168.47	1173.4	16
1473_135657_000019_000002	For, not to mention that almost every action of their life supposes that opinion, there are even few of the speculative parts of learning to which it is not essential.	For, not to mention that almost every action of their life supposes that opinion, there are even few of the speculative parts of learning to which it is not essential.	true	1173.65	1183.21	17
1473_135657_000019_000003	What would become of _history,_ had we not a dependence on the veracity of the historian according to the experience which we have had of mankind?	What would become of underscore history,underscore had we not a dependence on the veracity of the historian according to the experience which we have had of mankind?	false	1183.46	1191.22	15
1473_135657_000019_000004	How could _politics_ be a science, if laws and forms of goverment had not a uniform influence upon society?	How could underscore politics underscore be a science, if laws and forms of goverment had not a uniform influence upon society?	false	1191.53	1197.82	18
