479_134717_000000_000000	BOOK XXII.	BOOK twenty two.	false	14.67	20.23	19.616693
479_134717_000025_000000	And the singer so shy to the rest receiv'd me, The gray-brown bird I know receiv'd us comrades three, And he sang the carol of death, and a verse for him I love.	And the singer so shy to the rest receiv'd me, The gray brown bird I know receiv'd us comrades three, And he sang the carol of death, and a verse for him I love.	true	516.02	525.88	16
479_134717_000026_000000	From deep secluded recesses, From the fragrant cedars and the ghostly pines so still, Came the carol of the bird.	From deep secluded recesses, From the fragrant cedars and the ghostly pines so still, Came the carol of the bird.	true	526.25	532.42	12
479_134717_000027_000000	And the charm of the carol rapt me, As I held as if by their hands my comrades in the night, And the voice of my spirit tallied the song of the bird.	And the charm of the carol rapt me, As I held as if by their hands my comrades in the night, And the voice of my spirit tallied the song of the bird.	false	532.76	541.99	18
479_134717_000028_000000	Come lovely and soothing death, Undulate round the world, serenely arriving, arriving, In the day, in the night, to all, to each, Sooner or later delicate death.	Come lovely and soothing death, Undulate round the world, serenely arriving, arriving, In the day, in the night, to all, to each, Sooner or later delicate death.	true	542.39	553.08	15
479_134717_000029_000000	Prais'd be the fathomless universe, For life and joy, and for objects and knowledge curious, And for love, sweet love--but praise!	Prais'd be the fathomless universe, For life and joy, and for objects and knowledge curious, And for love, sweet love-but praise!	false	553.08	562.5	19.285242
479_134717_000029_000001	praise!	praise!	true	562.5	563.1	13.871881
479_134717_000029_000002	praise! For the sure-enwinding arms of cool-enfolding death.	praise! For the sure enwinding arms of cool enfolding death.	false	563.1	568.09	15.381587
479_134717_000030_000000	Dark mother always gliding near with soft feet, Have none chanted for thee a chant of fullest welcome? Then I chant it for thee, I glorify thee above all, I bring thee a song that when thou must indeed come, come unfalteringly.	Dark mother always gliding near with soft feet, Have none chanted for thee a chant of fullest welcome? Then I chant it for thee, I glorify thee above all, I bring thee a song that when thou must indeed come, come unfalteringly.	false	568.79	582.79	17
479_134717_000031_000000	Approach strong deliveress, When it is so, when thou hast taken them I joyously sing the dead, Lost in the loving floating ocean of thee, Laved in the flood of thy bliss O death.	Approach strong deliveress, When it is so, when thou hast taken them I joyously sing the dead, Lost in the loving floating ocean of thee, Laved in the flood of thy bliss O death.	false	583.07	594.34	17
479_134717_000032_000000	From me to thee glad serenades, Dances for thee I propose saluting thee, adornments and feastings for thee, And the sights of the open landscape and the high-spread shy are fitting, And life and the fields, and the huge and thoughtful night.	From me to thee glad serenades, Dances for thee I propose saluting thee, adornments and feastings for thee, And the sights of the open landscape and the high spread shy are fitting, And life and the fields, and the huge and thoughtful night.	false	594.68	609.55	17
479_134717_000033_000000	The night in silence under many a star, The ocean shore and the husky whispering wave whose voice I know, And the soul turning to thee O vast and well-veil'd death, And the body gratefully nestling close to thee.	The night in silence under many a star, The ocean shore and the husky whispering wave whose voice I know, And the soul turning to thee O vast and well veil'd death, And the body gratefully nestling close to thee.	false	609.89	622.21	16
479_134717_000034_000000	Over the tree-tops I float thee a song, Over the rising and sinking waves, over the myriad fields and the prairies wide, Over the dense-pack'd cities all and the teeming wharves and ways, I float this carol with joy, with joy to thee O death.	Over the tree tops I float thee a song, Over the rising and sinking waves, over the myriad fields and the prairies wide, Over the dense pack'd cities all and the teeming wharves and ways, I float this carol with joy, with joy to thee O death.	false	622.76	637.81	17
479_134717_000035_000000	15 To the tally of my soul, Loud and strong kept up the gray-brown bird, With pure deliberate notes spreading filling the night.	fifteen To the tally of my soul, Loud and strong kept up the gray brown bird, With pure deliberate notes spreading filling the night.	true	638.27	646.6	21.37747
479_134717_000036_000000	Loud in the pines and cedars dim, Clear in the freshness moist and the swamp-perfume, And I with my comrades there in the night.	Loud in the pines and cedars dim, Clear in the freshness moist and the swamp perfume, And I with my comrades there in the night.	true	646.91	654.55	20.608643
479_134717_000037_000000	While my sight that was bound in my eyes unclosed, As to long panoramas of visions.	While my sight that was bound in my eyes unclosed, As to long panoramas of visions.	true	655.01	660.46	19
479_134717_000038_000000	And I saw askant the armies, I saw as in noiseless dreams hundreds of battle-flags, Borne through the smoke of the battles and pierc'd with missiles I saw them, And carried hither and yon through the smoke, and torn and bloody, And at last but a few shreds left on the staffs, (and all in silence,) And the staffs all splinter'd and broken.	And I saw askant the armies, I saw as in noiseless dreams hundreds of battle flags, Borne through the smoke of the battles and pierc'd with missiles I saw them, And carried hither and yon through the smoke, and torn and bloody, And at last but a few shreds left on the staffs, (and all in silence,) And the staffs all splinter'd and broken.	true	661.1	681.07	18.873533
479_134717_000039_000000	I saw battle-corpses, myriads of them, And the white skeletons of young men, I saw them, I saw the debris and debris of all the slain soldiers of the war, But I saw they were not as was thought, They themselves were fully at rest, they suffer'd not, The living remain'd and suffer'd, the mother suffer'd, And the wife and the child and the musing comrade suffer'd, And the armies that remain'd suffer'd.	I saw battle corpses, myriads of them, And the white skeletons of young men, I saw them, I saw the debris and debris of all the slain soldiers of the war, But I saw they were not as was thought, They themselves were fully at rest, they suffer'd not, The living remain'd and suffer'd, the mother suffer'd, And the wife and the child and the musing comrade suffer'd, And the armies that remain'd suffer'd.	false	681.56	705.43	20.015285
479_134717_000040_000000	16 Passing the visions, passing the night, Passing, unloosing the hold of my comrades' hands, Passing the song of the hermit bird and the tallying song of my soul, Victorious song, death's outlet song, yet varying ever-altering song, As low and wailing, yet clear the notes, rising and falling, flooding the night, Sadly sinking and fainting, as warning and warning, and yet again bursting with joy, Covering the earth and filling the spread of the heaven, As that powerful psalm in the night I heard from recesses, Passing, I leave thee lilac with heart-shaped leaves, I leave thee there in the door-yard, blooming, returning with spring.	sixteen Passing the visions, passing the night, Passing, unloosing the hold of my comrades' hands, Passing the song of the hermit bird and the tallying song of my soul, Victorious song, death's outlet song, yet varying ever altering song, As low and wailing, yet clear the notes, rising and falling, flooding the night, Sadly sinking and fainting, as warning and warning, and yet again bursting with joy, Covering the earth and filling the spread of the heaven, As that powerful psalm in the night I heard from recesses, Passing, I leave thee lilac with heart shaped leaves, I leave thee there in the door yard, blooming, returning with spring.	false	706.76	746.74	18.486738
479_134717_000041_000000	I cease from my song for thee, From my gaze on thee in the west, fronting the west, communing with thee, O comrade lustrous with silver face in the night.	I cease from my song for thee, From my gaze on thee in the west, fronting the west, communing with thee, O comrade lustrous with silver face in the night.	false	746.84	756.31	17
479_134717_000042_000000	Yet each to keep and all, retrievements out of the night, The song, the wondrous chant of the gray-brown bird, And the tallying chant, the echo arous'd in my soul, With the lustrous and drooping star with the countenance full of woe, With the holders holding my hand nearing the call of the bird, Comrades mine and I in the midst, and their memory ever to keep, for the dead I loved so well, For the sweetest, wisest soul of all my days and lands--and this for his dear sake, Lilac and star and bird twined with the chant of my soul, There in the fragrant pines and the cedars dusk and dim.	Yet each to keep and all, retrievements out of the night, The song, the wondrous chant of the gray brown bird, And the tallying chant, the echo arous'd in my soul, With the lustrous and drooping star with the countenance full of woe, With the holders holding my hand nearing the call of the bird, Comrades mine and I in the midst, and their memory ever to keep, for the dead I loved so well, For the sweetest, wisest soul of all my days and lands-and this for his dear sake, Lilac and star and bird twined with the chant of my soul, There in the fragrant pines and the cedars dusk and dim.	false	756.68	793	19
479_134717_000043_000000	O Captain!	O Captain!	true	794.54	795.48	22.220602
479_134717_000043_000001	My Captain!	My Captain!	true	795.48	796.51	14
479_134717_000044_000000	O Captain! my Captain! our fearful trip is done, The ship has weather'd every rack, the prize we sought is won, The port is near, the bells I hear, the people all exulting, While follow eyes the steady keel, the vessel grim and daring; But O heart! heart!	O Captain! my Captain! our fearful trip is done, The ship has weather'd every rack, the prize we sought is won, The port is near, the bells I hear, the people all exulting, While follow eyes the steady keel, the vessel grim and daring; But O heart! heart!	false	797	812.04	20.312769
479_134717_000044_000001	heart! O the bleeding drops of red, Where on the deck my Captain lies, Fallen cold and dead.	heart! O the bleeding drops of red, Where on the deck my Captain lies, Fallen cold and dead.	false	812.04	818.38	20
479_134717_000045_000000	O Captain! my Captain! rise up and hear the bells; Rise up--for you the flag is flung--for you the bugle trills, For you bouquets and ribbon'd wreaths--for you the shores a-crowding, For you they call, the swaying mass, their eager faces turning; Here Captain! dear father! This arm beneath your head! It is some dream that on the deck, You've fallen cold and dead.	O Captain! my Captain! rise up and hear the bells; Rise up-for you the flag is flung-for you the bugle trills, For you bouquets and ribbon'd wreaths-for you the shores a crowding, For you they call, the swaying mass, their eager faces turning; Here Captain! dear father! This arm beneath your head! It is some dream that on the deck, You've fallen cold and dead.	false	818.81	840.1	18
479_134717_000046_000000	My Captain does not answer, his lips are pale and still, My father does not feel my arm, he has no pulse nor will, The ship is anchor'd safe and sound, its voyage closed and done, From fearful trip the victor ship comes in with object won; Exult O shores, and ring O bells! But I with mournful tread, Walk the deck my Captain lies, Fallen cold and dead.	My Captain does not answer, his lips are pale and still, My father does not feel my arm, he has no pulse nor will, The ship is anchor'd safe and sound, its voyage closed and done, From fearful trip the victor ship comes in with object won; Exult O shores, and ring O bells! But I with mournful tread, Walk the deck my Captain lies, Fallen cold and dead.	false	840.92	863.47	19.796392
479_134717_000047_000000	Hush'd Be the Camps To-Day [May 4, 1865	Hush'd Be the Camps To Day [may fourth eighteen sixty five	false	864.35	867.85	16
479_134717_000048_000000	Hush'd be the camps to-day, And soldiers let us drape our war-worn weapons, And each with musing soul retire to celebrate, Our dear commander's death.	Hush'd be the camps to day, And soldiers let us drape our war worn weapons, And each with musing soul retire to celebrate, Our dear commander's death.	true	868.85	878.62	19.580444
479_134717_000049_000000	No more for him life's stormy conflicts, Nor victory, nor defeat--no more time's dark events, Charging like ceaseless clouds across the sky. But sing poet in our name,	No more for him life's stormy conflicts, Nor victory, nor defeat-no more time's dark events, Charging like ceaseless clouds across the sky. But sing poet in our name,	true	878.96	888.91	18
479_134717_000050_000000	Sing of the love we bore him--because you, dweller in camps, know it truly.	Sing of the love we bore him-because you, dweller in camps, know it truly.	true	889.16	893.41	19
479_134717_000051_000000	As they invault the coffin there, Sing--as they close the doors of earth upon him--one verse, For the heavy hearts of soldiers.	As they invault the coffin there, Sing-as they close the doors of earth upon him-one verse, For the heavy hearts of soldiers.	false	894.2	902.44	21
479_134717_000052_000000	This Dust Was Once the Man	This Dust Was Once the Man	true	903.71	905.56	20
479_134717_000053_000000	This dust was once the man, Gentle, plain, just and resolute, under whose cautious hand, Against the foulest crime in history known in any land or age, Was saved the Union of these States.	This dust was once the man, Gentle, plain, just and resolute, under whose cautious hand, Against the foulest crime in history known in any land or age, Was saved the Union of these States.	false	906.14	919.56	18.582169
479_134717_000054_000000	BOOK XXIII	BOOK twenty three	false	919.56	920.28	16
479_134717_000055_000000	By Blue Ontario's Shore	By Blue Ontario's Shore	false	920.28	920.31	13
479_134717_000056_000000	By blue Ontario's shore, As I mused of these warlike days and of peace return'd, and the dead that return no more, A Phantom gigantic superb, with stern visage accosted me, Chant me the poem, it said, that comes from the soul of America, chant me the carol of victory, And strike up the marches of Libertad, marches more powerful yet, And sing me before you go the song of the throes of Democracy.	By blue Ontario's shore, As I mused of these warlike days and of peace return'd, and the dead that return no more, A Phantom gigantic superb, with stern visage accosted me, Chant me the poem, it said, that comes from the soul of America, chant me the carol of victory, And strike up the marches of Libertad, marches more powerful yet, And sing me before you go the song of the throes of Democracy.	false	920.31	921.15	15.678902
