949_134657_000000_000000	[Footnote 67: See Ammian. xxii.	[Footnote sixty seven: See Ammian. x x i i.	false	0	2.58	21.432308
949_134657_000004_000000	[Footnote 69: The clemency of Julian, and the conspiracy which was formed against his life at Antioch, are described by Ammianus (xxii. 9, 10, and Vales, ad loc.) and Libanius, (Orat.	[Footnote sixty nine: The clemency of Julian, and the conspiracy which was formed against his life at Antioch, are described by Ammianus (x x i i. nine, ten, and Vales, ad loc.) and Libanius, (Orat.	false	149.67	150.36	37
949_134657_000004_000001	Parent. c.	Parent. c.	false	150.36	150.36	
949_134657_000004_000002	99, p. 323.)]	ninety nine, p. three hundred twenty three.)]	false	150.36	150.36	
949_134657_000005_000000	Julian was not insensible of the advantages of freedom.	Julian was not insensible of the advantages of freedom.	false	150.36	152.7	19.47673
949_134657_000005_000001	[70] From his studies he had imbibed the spirit of ancient sages and heroes; his life and fortunes had depended on the caprice of a tyrant; and when he ascended the throne, his pride was sometimes mortified by the reflection, that the slaves who would not dare to censure his defects were not worthy to applaud his virtues.	[seventy] From his studies he had imbibed the spirit of ancient sages and heroes; his life and fortunes had depended on the caprice of a tyrant; and when he ascended the throne, his pride was sometimes mortified by the reflection, that the slaves who would not dare to censure his defects were not worthy to applaud his virtues.	false	152.7	169.5	20.921494
949_134657_000005_000002	[71] He sincerely abhorred the system of Oriental despotism, which Diocletian, Constantine, and the patient habits of fourscore years, had established in the empire.	[seventy one] He sincerely abhorred the system of Oriental despotism, which Diocletian, Constantine, and the patient habits of fourscore years, had established in the empire.	false	169.5	179.71	20.122313
949_134657_000005_000003	A motive of superstition prevented the execution of the design, which Julian had frequently meditated, of relieving his head from the weight of a costly diadem; [72] but he absolutely refused the title of Dominus, or Lord, [73] a word which was grown so familiar to the ears of the Romans, that they no longer remembered its servile and humiliating origin.	A motive of superstition prevented the execution of the design, which Julian had frequently meditated, of relieving his head from the weight of a costly diadem; [seventy two] but he absolutely refused the title of Dominus, or Lord, [seventy three] a word which was grown so familiar to the ears of the romans, that they no longer remembered its servile and humiliating origin.	false	180.17	199.18	19.338585
949_134657_000005_000004	The office, or rather the name, of consul, was cherished by a prince who contemplated with reverence the ruins of the republic; and the same behavior which had been assumed by the prudence of Augustus was adopted by Julian from choice and inclination.	The office, or rather the name, of consul, was cherished by a prince who contemplated with reverence the ruins of the republic; and the same behavior which had been assumed by the prudence of Augustus was adopted by Julian from choice and inclination.	true	199.85	213.25	21.21604
949_134657_000005_000005	On the calends of January, at break of day, the new consuls, Mamertinus and Nevitta, hastened to the palace to salute the emperor.	On the calends of January, at break of day, the new consuls, Mamertinus and Nevitta, hastened to the palace to salute the emperor.	true	214.13	222.22	21.003347
949_134657_000005_000006	As soon as he was informed of their approach, he leaped from his throne, eagerly advanced to meet them, and compelled the blushing magistrates to receive the demonstrations of his affected humility.	As soon as he was informed of their approach, he leaped from his throne, eagerly advanced to meet them, and compelled the blushing magistrates to receive the demonstrations of his affected humility.	true	222.65	232.87	20.382124
949_134657_000005_000007	From the palace they proceeded to the senate.	From the palace they proceeded to the senate.	true	233.69	235.87	21.717764
949_134657_000005_000008	The emperor, on foot, marched before their litters; and the gazing multitude admired the image of ancient times, or secretly blamed a conduct, which, in their eyes, degraded the majesty of the purple.	The emperor, on foot, marched before their litters; and the gazing multitude admired the image of ancient times, or secretly blamed a conduct, which, in their eyes, degraded the majesty of the purple.	true	236.03	247.56	19.871557
949_134657_000005_000009	[74] But the behavior of Julian was uniformly supported.	[seventy four] But the behavior of Julian was uniformly supported.	false	247.56	250.45	18.26828
949_134657_000005_000010	During the games of the Circus, he had, imprudently or designedly, performed the manumission of a slave in the presence of the consul.	During the games of the Circus, he had, imprudently or designedly, performed the manumission of a slave in the presence of the consul.	true	250.79	258.19	19.251783
949_134657_000005_000011	The moment he was reminded that he had trespassed on the jurisdiction of another magistrate, he condemned himself to pay a fine of ten pounds of gold; and embraced this public occasion of declaring to the world, that he was subject, like the rest of his fellow-citizens, to the laws, [75] and even to the forms, of the republic.	The moment he was reminded that he had trespassed on the jurisdiction of another magistrate, he condemned himself to pay a fine of ten pounds of gold; and embraced this public occasion of declaring to the world, that he was subject, like the rest of his fellow citizens, to the laws, [seventy five] and even to the forms, of the republic.	false	258.5	274.96	19.96755
949_134657_000005_000012	The spirit of his administration, and his regard for the place of his nativity, induced Julian to confer on the senate of Constantinople the same honors, privileges, and authority, which were still enjoyed by the senate of ancient Rome.	The spirit of his administration, and his regard for the place of his nativity, induced Julian to confer on the senate of Constantinople the same honors, privileges, and authority, which were still enjoyed by the senate of ancient Rome.	false	275.78	289.26	20.70639
949_134657_000005_000013	[76] A legal fiction was introduced, and gradually established, that one half of the national council had migrated into the East; and the despotic successors of Julian, accepting the title of Senators, acknowledged themselves the members of a respectable body, which was permitted to represent the majesty of the Roman name.	[seventy six] A legal fiction was introduced, and gradually established, that one half of the national council had migrated into the East; and the despotic successors of Julian, accepting the title of Senators, acknowledged themselves the members of a respectable body, which was permitted to represent the majesty of the Roman name.	false	289.26	308.2	20.398544
949_134657_000005_000014	From Constantinople, the attention of the monarch was extended to the municipal senates of the provinces.	From Constantinople, the attention of the monarch was extended to the municipal senates of the provinces.	false	308.69	314.44	19.999052
949_134657_000005_000015	He abolished, by repeated edicts, the unjust and pernicious exemptions which had withdrawn so many idle citizens from the services of their country; and by imposing an equal distribution of public duties, he restored the strength, the splendor, or, according to the glowing expression of Libanius, [77] the soul of the expiring cities of his empire.	He abolished, by repeated edicts, the unjust and pernicious exemptions which had withdrawn so many idle citizens from the services of their country; and by imposing an equal distribution of public duties, he restored the strength, the splendor, or, according to the glowing expression of Libanius, [seventy seven] the soul of the expiring cities of his empire.	false	315.08	337.42	20.0937
949_134657_000005_000016	The venerable age of Greece excited the most tender compassion in the mind of Julian, which kindled into rapture when he recollected the gods, the heroes, and the men superior to heroes and to gods, who have bequeathed to the latest posterity the monuments of their genius, or the example of their virtues.	The venerable age of Greece excited the most tender compassion in the mind of Julian, which kindled into rapture when he recollected the gods, the heroes, and the men superior to heroes and to gods, who have bequeathed to the latest posterity the monuments of their genius, or the example of their virtues.	false	338.75	355.12	20
949_134657_000005_000017	He relieved the distress, and restored the beauty, of the cities of Epirus and Peloponnesus. [78] Athens acknowledged him for her benefactor; Argos, for her deliverer. The pride of Corinth, again rising from her ruins with the honors of a Roman colony, exacted a tribute from the adjacent republics, for the purpose of defraying the games of the Isthmus, which were celebrated in the amphitheatre with the hunting of bears and panthers.	He relieved the distress, and restored the beauty, of the cities of Epirus and Peloponnesus. [seventy eight] Athens acknowledged him for her benefactor; Argos, for her deliverer. The pride of Corinth, again rising from her ruins with the honors of a Roman colony, exacted a tribute from the adjacent republics, for the purpose of defraying the games of the Isthmus, which were celebrated in the amphitheatre with the hunting of bears and panthers.	false	355.61	380.35	20.404427
949_134657_000005_000018	From this tribute the cities of Elis, of Delphi, and of Argos, which had inherited from their remote ancestors the sacred office of perpetuating the Olympic, the Pythian, and the Nemean games, claimed a just exemption. The immunity of Elis and Delphi was respected by the Corinthians; but the poverty of Argos tempted the insolence of oppression; and the feeble complaints of its deputies were silenced by the decree of a provincial magistrate, who seems to have consulted only the interest of the capital in which he resided.	From this tribute the cities of Elis, of Delphi, and of Argos, which had inherited from their remote ancestors the sacred office of perpetuating the Olympic, the Pythian, and the Nemean games, claimed a just exemption. The immunity of Elis and Delphi was respected by the Corinthians; but the poverty of Argos tempted the insolence of oppression; and the feeble complaints of its deputies were silenced by the decree of a provincial magistrate, who seems to have consulted only the interest of the capital in which he resided.	false	380.9	411.49	20.794529
949_134657_000005_000019	Seven years after this sentence, Julian [79] allowed the cause to be referred to a superior tribunal; and his eloquence was interposed, most probably with success, in the defence of a city, which had been the royal seat of Agamemnon, [80] and had given to Macedonia a race of kings and conquerors.	Seven years after this sentence, Julian [seventy nine] allowed the cause to be referred to a superior tribunal; and his eloquence was interposed, most probably with success, in the defence of a city, which had been the royal seat of Agamemnon, [eighty] and had given to Macedonia a race of kings and conquerors.	false	412.31	428.85	20.84583
949_134657_000005_000020	[81]	[eighty one]	false	428.85	429.6	-20
949_134657_000006_000000	[Footnote 70: According to some, says Aristotle, (as he is quoted by Julian ad Themist.	[Footnote seventy: According to some, says Aristotle, (as he is quoted by Julian ad Themist.	false	429.6	435.42	18.986147
949_134657_000006_000001	p. 261,) the form of absolute government is contrary to nature.	p. two hundred sixty one,) the form of absolute government is contrary to nature.	false	435.42	439.77	23.08809
949_134657_000006_000002	Both the prince and the philosopher choose, how ever to involve this eternal truth in artful and labored obscurity.]	Both the prince and the philosopher choose, how ever to involve this eternal truth in artful and labored obscurity.]	false	439.77	447.24	20.56094
949_134657_000007_000000	[Footnote 71: That sentiment is expressed almost in the words of Julian himself.	[Footnote seventy one: That sentiment is expressed almost in the words of Julian himself.	false	447.24	453.78	14
949_134657_000007_000001	Ammian.	Ammian.	false	453.78	454.17	22.600595
949_134657_000007_000002	xxii. 10.]	x x i i. ten.]	false	454.17	456.21	16.637642
949_134657_000008_000000	[Footnote 72: Libanius, (Orat.	[Footnote seventy two: Libanius, (Orat.	false	456.21	458.22	19.128786
949_134657_000008_000001	Parent. c.	Parent. c.	false	458.22	459.03	7
949_134657_000008_000002	95, p. 320,) who mentions the wish and design of Julian, insinuates, in mysterious language that the emperor was restrained by some particular revelation.]	ninety five, p. three hundred twenty,) who mentions the wish and design of Julian, insinuates, in mysterious language that the emperor was restrained by some particular revelation.]	false	459.03	464.85	17.518843
949_134657_000009_000000	[Footnote 73: Julian in Misopogon, p. 343.	[Footnote seventy three: Julian in Misopogon, p. three hundred forty three.	false	464.85	468.24	22.31479
949_134657_000009_000001	As he never abolished, by any public law, the proud appellations of Despot, or Dominus, they are still extant on his medals, (Ducange, Fam.	As he never abolished, by any public law, the proud appellations of Despot, or Dominus, they are still extant on his medals, (Ducange, Fam.	false	468.24	477.33	23.340433
949_134657_000009_000002	Byzantin.	Byzantin.	false	477.33	477.78	14
949_134657_000009_000003	p. 38, 39;) and the private displeasure which he affected to express, only gave a different tone to the servility of the court.	p. thirty eight, thirty nine winking face  and the private displeasure which he affected to express, only gave a different tone to the servility of the court.	false	477.78	489.09	22.690237
949_134657_000009_000004	The Abbe de la Bleterie (Hist.	The Abbe de la Bleterie (Hist.	false	489.09	490.53	20.238052
949_134657_000009_000005	de Jovien, tom.	de Jovien, tom.	false	490.53	491.31	14.815839
949_134657_000009_000006	ii.	ii.	false	491.31	491.58	13
949_134657_000009_000007	p. 99-102) has curiously traced the origin and progress of the word Dominus under the Imperial government.]	p. ninety nine to one hundred two) has curiously traced the origin and progress of the word Dominus under the Imperial government.]	false	491.58	498.18	19.721733
949_134657_000010_000000	[Footnote 74: Ammian. xxii.	[Footnote seventy four: Ammian. x x i i.	false	498.18	498.21	-5
949_134657_000010_000001	7.	seven.	false	498.21	498.24	-5
949_134657_000010_000002	The consul Mamertinus (in Panegyr.	The consul Mamertinus (in Panegyr.	false	498.24	498.24	
949_134657_000010_000003	Vet. xi.	Vet. xi.	false	498.24	498.27	2
949_134657_000010_000004	28, 29, 30) celebrates the auspicious day, like an elegant slave, astonished and intoxicated by the condescension of his master.]	twenty eight, twenty nine, thirty) celebrates the auspicious day, like an elegant slave, astonished and intoxicated by the condescension of his master.]	false	498.27	498.36	-20
949_134657_000011_000000	[Footnote 75: Personal satire was condemned by the laws of the twelve tables: Si male condiderit in quem quis carmina, jus est Judiciumque--Horat.	[Footnote seventy five: Personal satire was condemned by the laws of the twelve tables: Si male condiderit in q u e m quis carmina, jus est Judiciumque-Horat.	false	498.36	498.48	-20
949_134657_000011_000001	Sat. ii.	sat ii.	false	498.48	498.48	
949_134657_000011_000002	1.	one.	false	498.48	498.48	
949_134657_000011_000003	82.	eighty two.	false	498.48	498.48	
949_134657_000011_000004	-----Julian (in Misopogon, p. 337) owns himself subject to the law; and the Abbe de la Bleterie (Hist. de Jovien, tom.	-----Julian (in Misopogon, p. three hundred thirty seven) owns himself subject to the law; and the Abbe de la Bleterie (Hist. de Jovien, tom.	false	498.48	498.6	6
949_134657_000011_000005	ii.	ii.	false	498.6	498.6	
949_134657_000011_000006	p. 92) has eagerly embraced a declaration so agreeable to his own system, and, indeed, to the true spirit of the Imperial constitution.]	p. ninety two) has eagerly embraced a declaration so agreeable to his own system, and, indeed, to the true spirit of the Imperial constitution.]	false	498.6	498.69	8
949_134657_000012_000000	[Footnote 76: Zosimus, l.	[Footnote seventy six: Zosimus, l.	false	498.69	498.72	-20
949_134657_000012_000001	iii.	iii.	false	498.72	498.72	
949_134657_000012_000002	p. 158.]	p. one hundred fifty eight.]	false	498.72	498.75	-5
949_134657_000013_000000	[Footnote 77: See Libanius, (Orat.	[Footnote seventy seven: See Libanius, (Orat.	false	498.75	498.78	-3
949_134657_000013_000001	Parent. c.	Parent. c.	false	498.78	498.78	
949_134657_000013_000002	71, p. 296,) Ammianus, (xxii.	seventy one, p. two hundred ninety six,) Ammianus, (x x i i.	false	498.78	498.84	18
949_134657_000013_000003	9,) and the Theodosian Code (l.	nine,) and the Theodosian Code (l.	false	498.84	498.87	9
949_134657_000013_000004	xii.	x i i.	false	498.87	498.87	
949_134657_000013_000005	tit. i.	tit. i.	false	498.87	498.87	
949_134657_000013_000006	leg.	leg.	false	498.87	498.9	6
949_134657_000013_000007	50-55.) with Godefroy's Commentary, (tom. iv.	fifty to fifty five.) with Godefroy's Commentary, (tom. i v.	false	498.9	498.93	-20
949_134657_000013_000008	p. 390-402.) Yet the whole subject of the Curia, notwithstanding very ample materials, still remains the most obscure in the legal history of the empire.]	p. three hundred ninety to four hundred two.) Yet the whole subject of the Curia, notwithstanding very ample materials, still remains the most obscure in the legal history of the empire.]	false	498.93	499.05	-20
949_134657_000014_000000	[Footnote 78: Quae paulo ante arida et siti anhelantia visebantur, ea nunc perlui, mundari, madere; Fora, Deambulacra, Gymnasia, laetis et gaudentibus populis frequentari; dies festos, et celebrari veteres, et novos in honorem principis consecrari, (Mamertin. xi.	[Footnote seventy eight: Quae paulo ante arida et siti anhelantia visebantur, ea nunc perlui, mundari, madere; Fora, Deambulacra, Gymnasia, laetis et gaudentibus populis frequentari; dies festos, et celebrari veteres, et novos in honorem principis consecrari, (Mamertin. xi.	false	499.05	499.23	11
949_134657_000014_000001	9.) He particularly restored the city of Nicopolis and the Actiac games, which had been instituted by Augustus.]	nine.) He particularly restored the city of Nicopolis and the Actiac games, which had been instituted by Augustus.]	false	499.23	499.47	37
949_134657_000015_000000	[Footnote 79: Julian.	[Footnote seventy nine: Julian.	false	499.47	499.47	
949_134657_000015_000001	Epist. xxxv.	Epist. x x x v.	false	499.47	499.47	
949_134657_000015_000002	p. 407-411.	p. four hundred seven to four hundred eleven.	false	499.47	499.47	
949_134657_000015_000003	This epistle, which illustrates the declining age of Greece, is omitted by the Abbe de la Bleterie, and strangely disfigured by the Latin translator, who, by rendering tributum, and populus, directly contradicts the sense of the original.]	This epistle, which illustrates the declining age of Greece, is omitted by the Abbe de la Bleterie, and strangely disfigured by the Latin translator, who, by rendering tributum, and populus, directly contradicts the sense of the original.]	false	499.47	499.47	
949_134657_000016_000000	[Footnote 80: He reigned in Mycenae at the distance of fifty stadia, or six miles from Argos: but these cities, which alternately flourished, are confounded by the Greek poets.	[Footnote eighty: He reigned in Mycenae at the distance of fifty stadia, or six miles from Argos: but these cities, which alternately flourished, are confounded by the Greek poets.	false	499.47	499.53	-1
949_134657_000016_000001	Strabo, l.	Strabo, l.	false	499.53	499.53	
949_134657_000016_000002	viii.	viii.	false	499.53	499.53	
949_134657_000016_000003	p. 579, edit. Amstel. 1707.]	p. five hundred seventy nine, edit. Amstel. seventeen o seven.]	false	499.53	499.53	
949_134657_000017_000000	[Footnote 81: Marsham, Canon.	[Footnote eighty one: Marsham, Canon.	false	499.53	499.53	
949_134657_000017_000001	Chron.	Chron.	false	499.53	499.53	
949_134657_000017_000002	p. 421.	p. four hundred twenty one.	false	499.53	499.53	
949_134657_000017_000003	This pedigree from Temenus and Hercules may be suspicious; yet it was allowed, after a strict inquiry, by the judges of the Olympic games, (Herodot. l.	This pedigree from Temenus and Hercules may be suspicious; yet it was allowed, after a strict inquiry, by the judges of the Olympic games, (Herodot. l.	false	499.53	499.53	
949_134657_000017_000004	v.	v.	false	499.53	499.53	
949_134657_000017_000005	c.	c.	false	499.53	499.53	
949_134657_000017_000006	22,) at a time when the Macedonian kings were obscure and unpopular in Greece. When the Achaean league declared against Philip, it was thought decent that the deputies of Argos should retire, (T.	twenty two,) at a time when the Macedonian kings were obscure and unpopular in Greece. When the Achaean league declared against Philip, it was thought decent that the deputies of Argos should retire, (T.	false	499.53	499.53	
949_134657_000017_000007	Liv. xxxii.	Liv. x x x i i.	false	499.53	499.53	
949_134657_000017_000008	22.)]	twenty two.)]	false	499.53	499.53	
949_134657_000018_000000	The laborious administration of military and civil affairs, which were multiplied in proportion to the extent of the empire, exercised the abilities of Julian; but he frequently assumed the two characters of Orator [82] and of Judge, [83] which are almost unknown to the modern sovereigns of Europe.	The laborious administration of military and civil affairs, which were multiplied in proportion to the extent of the empire, exercised the abilities of Julian; but he frequently assumed the two characters of Orator [eighty two] and of Judge, [eighty three] which are almost unknown to the modern sovereigns of Europe.	false	499.53	499.53	
949_134657_000018_000001	The arts of persuasion, so diligently cultivated by the first Caesars, were neglected by the military ignorance and Asiatic pride of their successors; and if they condescended to harangue the soldiers, whom they feared, they treated with silent disdain the senators, whom they despised.	The arts of persuasion, so diligently cultivated by the first Caesars, were neglected by the military ignorance and Asiatic pride of their successors; and if they condescended to harangue the soldiers, whom they feared, they treated with silent disdain the senators, whom they despised.	false	499.53	499.53	
949_134657_000018_000002	The assemblies of the senate, which Constantius had avoided, were considered by Julian as the place where he could exhibit, with the most propriety, the maxims of a republican, and the talents of a rhetorician.	The assemblies of the senate, which Constantius had avoided, were considered by Julian as the place where he could exhibit, with the most propriety, the maxims of a republican, and the talents of a rhetorician.	false	499.53	499.53	
949_134657_000018_000003	He alternately practised, as in a school of declamation, the several modes of praise, of censure, of exhortation; and his friend Libanius has remarked, that the study of Homer taught him to imitate the simple, concise style of Menelaus, the copiousness of Nestor, whose words descended like the flakes of a winter's snow, or the pathetic and forcible eloquence of Ulysses.	He alternately practised, as in a school of declamation, the several modes of praise, of censure, of exhortation; and his friend Libanius has remarked, that the study of Homer taught him to imitate the simple, concise style of Menelaus, the copiousness of Nestor, whose words descended like the flakes of a winter's snow, or the pathetic and forcible eloquence of Ulysses.	false	499.53	499.53	
949_134657_000018_000004	The functions of a judge, which are sometimes incompatible with those of a prince, were exercised by Julian, not only as a duty, but as an amusement; and although he might have trusted the integrity and discernment of his Praetorian praefects, he often placed himself by their side on the seat of judgment.	The functions of a judge, which are sometimes incompatible with those of a prince, were exercised by Julian, not only as a duty, but as an amusement; and although he might have trusted the integrity and discernment of his Praetorian praefects, he often placed himself by their side on the seat of judgment.	false	499.53	513.79	19.66724
949_134657_000018_000005	The acute penetration of his mind was agreeably occupied in detecting and defeating the chicanery of the advocates, who labored to disguise the truths of facts, and to pervert the sense of the laws. He sometimes forgot the gravity of his station, asked indiscreet or unseasonable questions, and betrayed, by the loudness of his voice, and the agitation of his body, the earnest vehemence with which he maintained his opinion against the judges, the advocates, and their clients.	The acute penetration of his mind was agreeably occupied in detecting and defeating the chicanery of the advocates, who labored to disguise the truths of facts, and to pervert the sense of the laws. He sometimes forgot the gravity of his station, asked indiscreet or unseasonable questions, and betrayed, by the loudness of his voice, and the agitation of his body, the earnest vehemence with which he maintained his opinion against the judges, the advocates, and their clients.	false	514.19	541.24	21.467773
949_134657_000018_000006	But his knowledge of his own temper prompted him to encourage, and even to solicit, the reproof of his friends and ministers; and whenever they ventured to oppose the irregular sallies of his passions, the spectators could observe the shame, as well as the gratitude, of their monarch.	But his knowledge of his own temper prompted him to encourage, and even to solicit, the reproof of his friends and ministers; and whenever they ventured to oppose the irregular sallies of his passions, the spectators could observe the shame, as well as the gratitude, of their monarch.	false	541.91	556.66	21.472622
949_134657_000018_000007	The decrees of Julian were almost always founded on the principles of justice; and he had the firmness to resist the two most dangerous temptations, which assault the tribunal of a sovereign, under the specious forms of compassion and equity.	The decrees of Julian were almost always founded on the principles of justice; and he had the firmness to resist the two most dangerous temptations, which assault the tribunal of a sovereign, under the specious forms of compassion and equity.	false	557.18	569.56	22
949_134657_000018_000008	He decided the merits of the cause without weighing the circumstances of the parties; and the poor, whom he wished to relieve, were condemned to satisfy the just demands of a wealthy and noble adversary.	He decided the merits of the cause without weighing the circumstances of the parties; and the poor, whom he wished to relieve, were condemned to satisfy the just demands of a wealthy and noble adversary.	false	570.26	580.9	21.1658
949_134657_000018_000009	He carefully distinguished the judge from the legislator; [84] and though he meditated a necessary reformation of the Roman jurisprudence, he pronounced sentence according to the strict and literal interpretation of those laws, which the magistrates were bound to execute, and the subjects to obey.	He carefully distinguished the judge from the legislator; [eighty four] and though he meditated a necessary reformation of the Roman jurisprudence, he pronounced sentence according to the strict and literal interpretation of those laws, which the magistrates were bound to execute, and the subjects to obey.	false	581.42	718.89	20.666939
