303_123507_000000_000000	CHAPTER IX	CHAPTER nine	true	17.055	18.22	22.759247
303_123507_000007_000004	In one respect at least the Martians are a happy people; they have no lawyers.	In one respect at least the Martians are a happy people; they have no lawyers.	true	148.4	153.16	25.24817
303_123507_000008_000000	I did not see the prisoner again for several days subsequent to our first encounter, and then only to catch a fleeting glimpse of her as she was being conducted to the great audience chamber where I had had my first meeting with Lorquas Ptomel.	I did not see the prisoner again for several days subsequent to our first encounter, and then only to catch a fleeting glimpse of her as she was being conducted to the great audience chamber where I had had my first meeting with Lorquas Ptomel.	true	154.85	165.31	16
303_123507_000008_000001	I could not but note the unnecessary harshness and brutality with which her guards treated her; so different from the almost maternal kindliness which Sola manifested toward me, and the respectful attitude of the few green Martians who took the trouble to notice me at all.	I could not but note the unnecessary harshness and brutality with which her guards treated her; so different from the almost maternal kindliness which Sola manifested toward me, and the respectful attitude of the few green Martians who took the trouble to notice me at all.	false	166.16	179.32	17
303_123507_000009_000000	I had observed on the two occasions when I had seen her that the prisoner exchanged words with her guards, and this convinced me that they spoke, or at least could make themselves understood by a common language.	I had observed on the two occasions when I had seen her that the prisoner exchanged words with her guards, and this convinced me that they spoke, or at least could make themselves understood by a common language.	true	180.68	189.97	19
303_123507_000009_000001	With this added incentive I nearly drove Sola distracted by my importunities to hasten on my education and within a few more days I had mastered the Martian tongue sufficiently well to enable me to carry on a passable conversation and to fully understand practically all that I heard.	With this added incentive I nearly drove Sola distracted by my importunities to hasten on my education and within a few more days I had mastered the Martian tongue sufficiently well to enable me to carry on a passable conversation and to fully understand practically all that I heard.	false	191.54	206.41	18
303_123507_000010_000000	At this time our sleeping quarters were occupied by three or four females and a couple of the recently hatched young, beside Sola and her youthful ward, myself, and Woola the hound.	At this time our sleeping quarters were occupied by three or four females and a couple of the recently hatched young, beside Sola and her youthful ward, myself, and Woola the hound.	false	207.68	217.45	22.859129
303_123507_000010_000001	After they had retired for the night it was customary for the adults to carry on a desultory conversation for a short time before lapsing into sleep, and now that I could understand their language I was always a keen listener, although I never proffered any remarks myself.	After they had retired for the night it was customary for the adults to carry on a desultory conversation for a short time before lapsing into sleep, and now that I could understand their language I was always a keen listener, although I never proffered any remarks myself.	true	218.45	233.38	22.061983
303_123507_000011_000000	On the night following the prisoner's visit to the audience chamber the conversation finally fell upon this subject, and I was all ears on the instant.	On the night following the prisoner's visit to the audience chamber the conversation finally fell upon this subject, and I was all ears on the instant.	true	233.87	242.05	23.937849
303_123507_000011_000001	I had feared to question Sola relative to the beautiful captive, as I could not but recall the strange expression I had noted upon her face after my first encounter with the prisoner.	I had feared to question Sola relative to the beautiful captive, as I could not but recall the strange expression I had noted upon her face after my first encounter with the prisoner.	true	242.3	251.08	23.716425
303_123507_000011_000002	That it denoted jealousy I could not say, and yet, judging all things by mundane standards as I still did, I felt it safer to affect indifference in the matter until I learned more surely Sola's attitude toward the object of my solicitude.	That it denoted jealousy I could not say, and yet, judging all things by mundane standards as I still did, I felt it safer to affect indifference in the matter until I learned more surely Sola's attitude toward the object of my solicitude.	true	251.51	264.61	21.908947
303_123507_000012_000000	Sarkoja, one of the older women who shared our domicile, had been present at the audience as one of the captive's guards, and it was toward her the question turned.	Sarkoja, one of the older women who shared our domicile, had been present at the audience as one of the captive's guards, and it was toward her the question turned.	true	266.06	275.5	22.145218
303_123507_000013_000000	"When," asked one of the women, "will we enjoy the death throes of the red one? or does Lorquas Ptomel, Jed, intend holding her for ransom?"	"When," asked one of the women, "will we enjoy the death throes of the red one? or does Lorquas Ptomel, Jed, intend holding her for ransom?"	true	276.41	285.28	21.826578
303_123507_000014_000000	"They have decided to carry her with us back to Thark, and exhibit her last agonies at the great games before Tal Hajus," replied Sarkoja.	"They have decided to carry her with us back to Thark, and exhibit her last agonies at the great games before Tal Hajus," replied Sarkoja.	false	286.28	294.79	23.101954
303_123507_000015_000000	"What will be the manner of her going out?" inquired Sola.	"What will be the manner of her going out?" inquired Sola.	true	296.36	299.74	23.950872
303_123507_000015_000001	"She is very small and very beautiful; I had hoped that they would hold her for ransom."	"She is very small and very beautiful; I had hoped that they would hold her for ransom."	true	299.93	304.15	23.022245
303_123507_000016_000000	Sarkoja and the other women grunted angrily at this evidence of weakness on the part of Sola.	Sarkoja and the other women grunted angrily at this evidence of weakness on the part of Sola.	true	304.97	310.96	19.943592
303_123507_000017_000000	"It is sad, Sola, that you were not born a million years ago," snapped Sarkoja, "when all the hollows of the land were filled with water, and the peoples were as soft as the stuff they sailed upon.	"It is sad, Sola, that you were not born a million years ago," snapped Sarkoja, "when all the hollows of the land were filled with water, and the peoples were as soft as the stuff they sailed upon.	true	311.57	321.61	20.222734
303_123507_000017_000001	In our day we have progressed to a point where such sentiments mark weakness and atavism.	In our day we have progressed to a point where such sentiments mark weakness and atavism.	true	321.98	326.38	23.1113
303_123507_000017_000002	It will not be well for you to permit Tars Tarkas to learn that you hold such degenerate sentiments, as I doubt that he would care to entrust such as you with the grave responsibilities of maternity."	It will not be well for you to permit Tars Tarkas to learn that you hold such degenerate sentiments, as I doubt that he would care to entrust such as you with the grave responsibilities of maternity."	true	326.81	335.95	18
303_123507_000018_000000	"I see nothing wrong with my expression of interest in this red woman," retorted Sola.	"I see nothing wrong with my expression of interest in this red woman," retorted Sola.	true	338.15	342.49	22.252815
303_123507_000018_000001	"She has never harmed us, nor would she should we have fallen into her hands.	"She has never harmed us, nor would she should we have fallen into her hands.	true	342.62	346.51	20.530453
303_123507_000018_000002	It is only the men of her kind who war upon us, and I have ever thought that their attitude toward us is but the reflection of ours toward them.	It is only the men of her kind who war upon us, and I have ever thought that their attitude toward us is but the reflection of ours toward them.	true	346.55	353.65	22
303_123507_000018_000003	They live at peace with all their fellows, except when duty calls upon them to make war, while we are at peace with none; forever warring among our own kind as well as upon the red men, and even in our own communities the individuals fight amongst themselves.	They live at peace with all their fellows, except when duty calls upon them to make war, while we are at peace with none; forever warring among our own kind as well as upon the red men, and even in our own communities the individuals fight amongst themselves.	true	354.2	367.03	22
303_123507_000018_000004	Oh, it is one continual, awful period of bloodshed from the time we break the shell until we gladly embrace the bosom of the river of mystery, the dark and ancient Iss which carries us to an unknown, but at least no more frightful and terrible existence! Fortunate indeed is he who meets his end in an early death.	Oh, it is one continual, awful period of bloodshed from the time we break the shell until we gladly embrace the bosom of the river of mystery, the dark and ancient i s's which carries us to an unknown, but at least no more frightful and terrible existence! Fortunate indeed is he who meets his end in an early death.	false	367.4	385.36	21
303_123507_000018_000005	Say what you please to Tars Tarkas, he can mete out no worse fate to me than a continuation of the horrible existence we are forced to lead in this life."	Say what you please to Tars Tarkas, he can mete out no worse fate to me than a continuation of the horrible existence we are forced to lead in this life."	true	385.4	393.7	18
303_123507_000019_000000	This wild outbreak on the part of Sola so greatly surprised and shocked the other women, that, after a few words of general reprimand, they all lapsed into silence and were soon asleep.	This wild outbreak on the part of Sola so greatly surprised and shocked the other women, that, after a few words of general reprimand, they all lapsed into silence and were soon asleep.	true	395.75	405.43	21
303_123507_000019_000001	One thing the episode had accomplished was to assure me of Sola's friendliness toward the poor girl, and also to convince me that I had been extremely fortunate in falling into her hands rather than those of some of the other females. I knew that she was fond of me, and now that I had discovered that she hated cruelty and barbarity I was confident that I could depend upon her to aid me and the girl captive to escape, provided of course that such a thing was within the range of possibilities.	One thing the episode had accomplished was to assure me of Sola's friendliness toward the poor girl, and also to convince me that I had been extremely fortunate in falling into her hands rather than those of some of the other females. I knew that she was fond of me, and now that I had discovered that she hated cruelty and barbarity I was confident that I could depend upon her to aid me and the girl captive to escape, provided of course that such a thing was within the range of possibilities.	true	406.46	431.44	21.672247
303_123507_000020_000000	I did not even know that there were any better conditions to escape to, but I was more than willing to take my chances among people fashioned after my own mold rather than to remain longer among the hideous and bloodthirsty green men of Mars.	I did not even know that there were any better conditions to escape to, but I was more than willing to take my chances among people fashioned after my own mold rather than to remain longer among the hideous and bloodthirsty green men of Mars.	true	433.46	445.87	19
303_123507_000020_000001	But where to go, and how, was as much of a puzzle to me as the age-old search for the spring of eternal life has been to earthly men since the beginning of time.	But where to go, and how, was as much of a puzzle to me as the age old search for the spring of eternal life has been to earthly men since the beginning of time.	true	446.69	455.26	20
303_123507_000021_000000	I decided that at the first opportunity I would take Sola into my confidence and openly ask her to aid me, and with this resolution strong upon me I turned among my silks and furs and slept the dreamless and refreshing sleep of Mars.	I decided that at the first opportunity I would take Sola into my confidence and openly ask her to aid me, and with this resolution strong upon me I turned among my silks and furs and slept the dreamless and refreshing sleep of Mars.	true	456.8	470.52	21.900433
303_123507_000022_000000	CHAPTER X	CHAPTER ten	false	470.52	470.58	-20
303_123507_000023_000000	CHAMPION AND CHIEF	CHAMPION AND CHIEF	false	470.58	470.67	7
303_123507_000024_000000	Early the next morning I was astir.	Early the next morning I was astir.	false	470.67	470.88	-20
303_123507_000024_000001	Considerable freedom was allowed me, as Sola had informed me that so long as I did not attempt to leave the city I was free to go and come as I pleased.	Considerable freedom was allowed me, as Sola had informed me that so long as I did not attempt to leave the city I was free to go and come as I pleased.	false	470.88	471.9	5
303_123507_000024_000002	She had warned me, however, against venturing forth unarmed, as this city, like all other deserted metropolises of an ancient Martian civilization, was peopled by the great white apes of my second day's adventure.	She had warned me, however, against venturing forth unarmed, as this city, like all other deserted metropolises of an ancient Martian civilization, was peopled by the great white apes of my second day's adventure.	false	471.9	475.98	21.25666
