5868_54659_000000_000000	III.	three.	false	15.075	20.295	15.132185
5868_54659_000003_000000	Among a host of instances of this peculiar pride of his which I could cite, I remember one, characteristic enough to be taken as a sample of all the rest.	Among a host of instances of this peculiar pride of his which I could cite, I remember one, characteristic enough to be taken as a sample of all the rest.	true	159.11	168.7	22.101973
5868_54659_000003_000001	It happened when I was quite a child, and was told me by one of my uncles now dead--who witnessed the circumstance himself, and always made a good story of it to the end of his life.	It happened when I was quite a child, and was told me by one of my uncles now dead-who witnessed the circumstance himself, and always made a good story of it to the end of his life.	false	169.31	179.47	22.716572
5868_54659_000004_000000	A merchant of enormous wealth, who had recently been raised to the peerage, was staying at one of our country houses.	A merchant of enormous wealth, who had recently been raised to the peerage, was staying at one of our country houses.	true	180.92	188.65	21.413662
5868_54659_000004_000001	His daughter, my uncle, and an Italian Abbe were the only guests besides.	His daughter, my uncle, and an Italian Abbe were the only guests besides.	true	188.84	194.32	24.153742
5868_54659_000004_000002	The merchant was a portly, purple-faced man, who bore his new honours with a curious mixture of assumed pomposity and natural good-humour.	The merchant was a portly, purple faced man, who bore his new honours with a curious mixture of assumed pomposity and natural good humour.	true	195.11	203.65	22
5868_54659_000004_000003	The Abbe was dwarfish and deformed, lean, sallow, sharp-featured, with bright bird-like eyes, and a low, liquid voice.	The Abbe was dwarfish and deformed, lean, sallow, sharp featured, with bright bird like eyes, and a low, liquid voice.	false	204.44	213.19	21.811653
5868_54659_000004_000004	He was a political refugee, dependent for the bread he ate, on the money he received for teaching languages.	He was a political refugee, dependent for the bread he ate, on the money he received for teaching languages.	true	213.5	220.09	20.111292
5868_54659_000004_000005	He might have been a beggar from the streets; and still my father would have treated him as the principal guest in the house, for this all-sufficient reason--he was a direct descendant of one of the oldest of those famous Roman families whose names are part of the history of the Civil Wars in Italy.	He might have been a beggar from the streets; and still my father would have treated him as the principal guest in the house, for this all sufficient reason-he was a direct descendant of one of the oldest of those famous Roman families whose names are part of the history of the Civil Wars in Italy.	false	220.55	238.03	20.296923
5868_54659_000005_000000	On the first day, the party assembled for dinner comprised the merchant's daughter, my mother, an old lady who had once been her governess, and had always lived with her since her marriage, the new Lord, the Abbe, my father, and my uncle.	On the first day, the party assembled for dinner comprised the merchant's daughter, my mother, an old lady who had once been her governess, and had always lived with her since her marriage, the new Lord, the Abbe, my father, and my uncle.	true	239.84	254.92	21.062082
5868_54659_000005_000001	When dinner was announced, the peer advanced in new-blown dignity, to offer his arm as a matter of course to my mother.	When dinner was announced, the peer advanced in new blown dignity, to offer his arm as a matter of course to my mother.	true	255.95	262.06	17.546452
5868_54659_000005_000002	My father's pale face flushed crimson in a moment. He touched the magnificent merchant-lord on the arm, and pointed significantly, with a low bow, towards the decrepit old lady who had once been my mother's governess.	My father's pale face flushed crimson in a moment. He touched the magnificent merchant lord on the arm, and pointed significantly, with a low bow, towards the decrepit old lady who had once been my mother's governess.	true	262.82	274.96	21.988762
5868_54659_000005_000003	Then walking to the other end of the room, where the penniless Abbe was looking over a book in a corner, he gravely and courteously led the little, deformed, limping language-master, clad in a long, threadbare, black coat, up to my mother (whose shoulder the Abbe's head hardly reached), held the door open for them to pass out first, with his own hand; politely invited the new nobleman, who stood half-paralysed between confusion and astonishment, to follow with the tottering old lady on his arm; and then returned to lead the peer's daughter down to dinner himself.	Then walking to the other end of the room, where the penniless Abbe was looking over a book in a corner, he gravely and courteously led the little, deformed, limping language master, clad in a long, threadbare, black coat, up to my mother (whose shoulder the Abbe's head hardly reached), held the door open for them to pass out first, with his own hand; politely invited the new nobleman, who stood half paralysed between confusion and astonishment, to follow with the tottering old lady on his arm; and then returned to lead the peer's daughter down to dinner himself.	false	275.72	308.17	21.12703
5868_54659_000005_000004	He only resumed his wonted expression and manner, when he had seen the little Abbe--the squalid, half-starved representative of mighty barons of the olden time--seated at the highest place of the table by my mother's side.	He only resumed his wonted expression and manner, when he had seen the little Abbe-the squalid, half starved representative of mighty barons of the olden time-seated at the highest place of the table by my mother's side.	true	309.23	322.84	19.411947
5868_54659_000006_000000	It was by such accidental circumstances as these that you discovered how far he was proud.	It was by such accidental circumstances as these that you discovered how far he was proud.	true	324.59	330.37	23
5868_54659_000006_000001	He never boasted of his ancestors; he never even spoke of them, except when he was questioned on the subject; but he never forgot them.	He never boasted of his ancestors; he never even spoke of them, except when he was questioned on the subject; but he never forgot them.	true	330.53	338.17	23
5868_54659_000006_000002	They were the very breath of his life; the deities of his social worship: the family treasures to be held precious beyond all lands and all wealth, all ambitions and all glories, by his children and his children's children to the end of their race.	They were the very breath of his life; the deities of his social worship: the family treasures to be held precious beyond all lands and all wealth, all ambitions and all glories, by his children and his children's children to the end of their race.	true	338.51	353.5	20.489185
5868_54659_000007_000000	In home-life he performed his duties towards his family honourably, delicately, and kindly.	In home life he performed his duties towards his family honourably, delicately, and kindly.	false	355.49	361.3	24
5868_54659_000007_000001	I believe in his own way he loved us all; but we, his descendants, had to share his heart with his ancestors--we were his household property as well as his children.	I believe in his own way he loved us all; but we, his descendants, had to share his heart with his ancestors-we were his household property as well as his children.	true	361.73	372.19	19.60825
5868_54659_000007_000002	Every fair liberty was given to us; every fair indulgence was granted to us.	Every fair liberty was given to us; every fair indulgence was granted to us.	true	373.52	378.64	21
5868_54659_000007_000003	He never displayed any suspicion, or any undue severity.	He never displayed any suspicion, or any undue severity.	true	379.01	382.84	18
5868_54659_000007_000004	We were taught by his direction, that to disgrace our family, either by word or action, was the one fatal crime which could never be forgotten and never be pardoned.	We were taught by his direction, that to disgrace our family, either by word or action, was the one fatal crime which could never be forgotten and never be pardoned.	false	383.54	394.2	22.792957
5868_54659_000007_000005	We were formed, under his superintendence, in principles of religion, honour, and industry; and the rest was left to our own moral sense, to our own comprehension of the duties and privileges of our station.	We were formed, under his superintendence, in principles of religion, honour, and industry; and the rest was left to our own moral sense, to our own comprehension of the duties and privileges of our station.	true	394.2	408.07	22.631641
5868_54659_000007_000006	There was no one point in his conduct towards any of us that we could complain of; and yet there was something always incomplete in our domestic relations.	There was no one point in his conduct towards any of us that we could complain of; and yet there was something always incomplete in our domestic relations.	false	409.07	419.41	22.160336
5868_54659_000008_000000	It may seem incomprehensible, even ridiculous, to some persons, but it is nevertheless true, that we were none of us ever on intimate terms with him.	It may seem incomprehensible, even ridiculous, to some persons, but it is nevertheless true, that we were none of us ever on intimate terms with him.	true	421.31	430.66	22.093063
5868_54659_000008_000001	I mean by this, that he was a father to us, but never a companion.	I mean by this, that he was a father to us, but never a companion.	true	431.42	435.91	23.113174
5868_54659_000008_000002	There was something in his manner, his quiet and unchanging manner, which kept us almost unconsciously restrained.	There was something in his manner, his quiet and unchanging manner, which kept us almost unconsciously restrained.	true	436.61	443.92	20.758963
5868_54659_000008_000003	I never in my life felt less at my ease--I knew not why at the time--than when I occasionally dined alone with him.	I never in my life felt less at my ease-I knew not why at the time-than when I occasionally dined alone with him.	false	445.13	452.44	24.435461
5868_54659_000008_000004	I never confided to him my schemes for amusement as a boy, or mentioned more than generally my ambitious hopes, as a young man.	I never confided to him my schemes for amusement as a boy, or mentioned more than generally my ambitious hopes, as a young man.	true	453.02	461.2	20
5868_54659_000008_000005	It was not that he would have received such confidences with ridicule or severity, he was incapable of it; but that he seemed above them, unfitted to enter into them, too far removed by his own thoughts from such thoughts as ours.	It was not that he would have received such confidences with ridicule or severity, he was incapable of it; but that he seemed above them, unfitted to enter into them, too far removed by his own thoughts from such thoughts as ours.	false	461.93	477.64	21.216421
5868_54659_000008_000006	Thus, all holiday councils were held with old servants; thus, my first pages of manuscript, when I first tried authorship, were read by my sister, and never penetrated into my father's study.	Thus, all holiday councils were held with old servants; thus, my first pages of manuscript, when I first tried authorship, were read by my sister, and never penetrated into my father's study.	true	478.43	492.01	20.984884
5868_54659_000009_000000	Again, his mode of testifying displeasure towards my brother or myself, had something terrible in its calmness, something that we never forgot, and always dreaded as the worst calamity that could befall us.	Again, his mode of testifying displeasure towards my brother or myself, had something terrible in its calmness, something that we never forgot, and always dreaded as the worst calamity that could befall us.	true	493.55	507.76	21.936026
5868_54659_000010_000000	Whenever, as boys, we committed some boyish fault, he never displayed outwardly any irritation--he simply altered his manner towards us altogether.	Whenever, as boys, we committed some boyish fault, he never displayed outwardly any irritation-he simply altered his manner towards us altogether.	true	508.7	518.8	21.747927
5868_54659_000010_000001	We were not soundly lectured, or vehemently threatened, or positively punished in anyway; but, when we came in contact with him, we were treated with a cold, contemptuous politeness (especially if our fault showed a tendency to anything mean or ungentlemanlike) which cut us to the heart.	We were not soundly lectured, or vehemently threatened, or positively punished in anyway; but, when we came in contact with him, we were treated with a cold, contemptuous politeness (especially if our fault showed a tendency to anything mean or ungentlemanlike) which cut us to the heart.	false	519.5	537.58	22.358543
5868_54659_000010_000002	On these occasions, we were not addressed by our Christian names; if we accidentally met him out of doors, he was sure to turn aside and avoid us; if we asked a question, it was answered in the briefest possible manner, as if we had been strangers.	On these occasions, we were not addressed by our Christian names; if we accidentally met him out of doors, he was sure to turn aside and avoid us; if we asked a question, it was answered in the briefest possible manner, as if we had been strangers.	true	538.1	552.88	22.983715
5868_54659_000010_000003	His whole course of conduct said, as though in so many words--You have rendered yourselves unfit to associate with your father; and he is now making you feel that unfitness as deeply as he does.	His whole course of conduct said, as though in so many words-You have rendered yourselves unfit to associate with your father; and he is now making you feel that unfitness as deeply as he does.	true	553.55	567.07	21.210802
5868_54659_000010_000004	We were left in this domestic purgatory for days, sometimes for weeks together.	We were left in this domestic purgatory for days, sometimes for weeks together.	true	568.79	573.52	20
5868_54659_000010_000005	To our boyish feelings (to mine especially) there was no ignominy like it, while it lasted.	To our boyish feelings (to mine especially) there was no ignominy like it, while it lasted.	true	574.07	580.66	22.59307
5868_54659_000011_000000	I know not on what terms my father lived with my mother.	I know not on what terms my father lived with my mother.	true	583.04	586.78	22.495066
5868_54659_000011_000001	Towards my sister, his demeanour always exhibited something of the old-fashioned, affectionate gallantry of a former age.	Towards my sister, his demeanour always exhibited something of the old-fashioned, affectionate gallantry of a former age.	true	587.18	594.64	20
5868_54659_000011_000002	He paid her the same attention that he would have paid to the highest lady in the land.	He paid her the same attention that he would have paid to the highest lady in the land.	true	595.1	599.35	20
5868_54659_000011_000003	He led her into the dining-room, when we were alone, exactly as he would have led a duchess into a banqueting-hall.	He led her into the dining room, when we were alone, exactly as he would have led a duchess into a banqueting hall.	true	599.81	606.61	21
5868_54659_000011_000004	He would allow us, as boys, to quit the breakfast-table before he had risen himself; but never before she had left it.	He would allow us, as boys, to quit the breakfast table before he had risen himself; but never before she had left it.	true	607.31	614.11	22.079603
5868_54659_000011_000005	If a servant failed in duty towards _him,_ the servant was often forgiven; if towards _her,_ the servant was sent away on the spot.	If a servant failed in duty towards underscore him,underscore the servant was often forgiven; if towards underscore her,underscore the servant was sent away on the spot.	false	615.11	623.71	20.113153
5868_54659_000011_000006	His daughter was in his eyes the representative of her mother: the mistress of his house, as well as his child.	His daughter was in his eyes the representative of her mother: the mistress of his house, as well as his child.	true	624.53	631.6	20.485567
5868_54659_000011_000007	It was curious to see the mixture of high-bred courtesy and fatherly love in his manner, as he just gently touched her forehead with his lips, when he first saw her in the morning.	It was curious to see the mixture of high bred courtesy and fatherly love in his manner, as he just gently touched her forehead with his lips, when he first saw her in the morning.	true	632	643.21	20.297842
5868_54659_000012_000000	In person, my father was of not more than middle height.	In person, my father was of not more than middle height.	true	644.72	648.27	19.186436
5868_54659_000012_000001	He was very slenderly and delicately made; his head small, and well set on his shoulders--his forehead more broad than lofty--his complexion singularly pale, except in moments of agitation, when I have already noticed its tendency to flush all over in an instant.	He was very slenderly and delicately made; his head small, and well set on his shoulders-his forehead more broad than lofty-his complexion singularly pale, except in moments of agitation, when I have already noticed its tendency to flush all over in an instant.	false	648.27	666.25	20.333336
5868_54659_000012_000002	His eyes, large and gray, had something commanding in their look; they gave a certain unchanging firmness and dignity to his expression, not often met with.	His eyes, large and gray, had something commanding in their look; they gave a certain unchanging firmness and dignity to his expression, not often met with.	true	666.86	676.78	17.677008
5868_54659_000012_000003	They betrayed his birth and breeding, his old ancestral prejudices, his chivalrous sense of honour, in every glance.	They betrayed his birth and breeding, his old ancestral prejudices, his chivalrous sense of honour, in every glance.	true	677.3	684.64	19
5868_54659_000012_000004	It required, indeed, all the masculine energy of look about the upper part of his face, to redeem the lower part from an appearance of effeminacy, so delicately was it moulded in its fine Norman outline.	It required, indeed, all the masculine energy of look about the upper part of his face, to redeem the lower part from an appearance of effeminacy, so delicately was it moulded in its fine Norman outline.	true	685.76	698.02	22.707882
5868_54659_000012_000005	His smile was remarkable for its sweetness--it was almost like a woman's smile.	His smile was remarkable for its sweetness-it was almost like a woman's smile.	true	698.99	705.13	18.157906
5868_54659_000012_000006	In speaking, too, his lips often trembled as women's do.	In speaking, too, his lips often trembled as women's do.	true	705.71	709.15	19
5868_54659_000012_000007	If he ever laughed, as a young man, his laugh must have been very clear and musical; but since I can recollect him, I never heard it.	If he ever laughed, as a young man, his laugh must have been very clear and musical; but since I can recollect him, I never heard it.	true	709.67	717.55	23.272179
5868_54659_000012_000008	In his happiest moments, in the gayest society, I have only seen him smile.	In his happiest moments, in the gayest society, I have only seen him smile.	true	718.46	724.24	21.32521
5868_54659_000013_000000	There were other characteristics of my father's disposition and manner, which I might mention; but they will appear to greater advantage, perhaps, hereafter, connected with circumstances which especially called them forth.	There were other characteristics of my father's disposition and manner, which I might mention; but they will appear to greater advantage, perhaps, hereafter, connected with circumstances which especially called them forth.	true	726.89	742.5	24.48189
5868_54659_000014_000000	IV.	i v.	false	742.5	742.5	
5868_54659_000015_000000	When a family is possessed of large landed property, the individual of that family who shows least interest in its welfare; who is least fond of home, least connected by his own sympathies with his relatives, least ready to learn his duties or admit his responsibilities, is often that very individual who is to succeed to the family inheritance--the eldest son.	When a family is possessed of large landed property, the individual of that family who shows least interest in its welfare; who is least fond of home, least connected by his own sympathies with his relatives, least ready to learn his duties or admit his responsibilities, is often that very individual who is to succeed to the family inheritance-the eldest son.	false	742.5	755.94	16.31875
