5868_54659_000001_000002	My father's pride had nothing of this about it.	My father's pride had nothing of this about it.
5868_54659_000008_000004	I never confided to him my schemes for amusement as a boy, or mentioned more than generally my ambitious hopes, as a young man.	I never confided to him my schemes for amusement as a boy, or mentioned more than generally my ambitious hopes, as a young man.
5868_54659_000008_000006	Thus, all holiday councils were held with old servants; thus, my first pages of manuscript, when I first tried authorship, were read by my sister, and never penetrated into my father's study.	Thus, all holiday councils were held with old servants; thus, my first pages of manuscript, when I first tried authorship, were read by my sister, and never penetrated into my father's study.
5868_54659_000009_000000	Again, his mode of testifying displeasure towards my brother or myself, had something terrible in its calmness, something that we never forgot, and always dreaded as the worst calamity that could befall us.	Again, his mode of testifying displeasure towards my brother or myself, had something terrible in its calmness, something that we never forgot, and always dreaded as the worst calamity that could befall us.
5868_54659_000010_000000	Whenever, as boys, we committed some boyish fault, he never displayed outwardly any irritation--he simply altered his manner towards us altogether.	Whenever, as boys, we committed some boyish fault, he never displayed outwardly any irritation-he simply altered his manner towards us altogether.
5868_54659_000010_000002	On these occasions, we were not addressed by our Christian names; if we accidentally met him out of doors, he was sure to turn aside and avoid us; if we asked a question, it was answered in the briefest possible manner, as if we had been strangers.	On these occasions, we were not addressed by our Christian names; if we accidentally met him out of doors, he was sure to turn aside and avoid us; if we asked a question, it was answered in the briefest possible manner, as if we had been strangers.
5868_54659_000010_000003	His whole course of conduct said, as though in so many words--You have rendered yourselves unfit to associate with your father; and he is now making you feel that unfitness as deeply as he does.	His whole course of conduct said, as though in so many words-You have rendered yourselves unfit to associate with your father; and he is now making you feel that unfitness as deeply as he does.
5868_54659_000010_000004	We were left in this domestic purgatory for days, sometimes for weeks together.	We were left in this domestic purgatory for days, sometimes for weeks together.
5868_54659_000010_000005	To our boyish feelings (to mine especially) there was no ignominy like it, while it lasted.	To our boyish feelings (to mine especially) there was no ignominy like it, while it lasted.
5868_54659_000011_000000	I know not on what terms my father lived with my mother.	I know not on what terms my father lived with my mother.
5868_54659_000011_000001	Towards my sister, his demeanour always exhibited something of the old-fashioned, affectionate gallantry of a former age.	Towards my sister, his demeanour always exhibited something of the old-fashioned, affectionate gallantry of a former age.
5868_54659_000011_000002	He paid her the same attention that he would have paid to the highest lady in the land.	He paid her the same attention that he would have paid to the highest lady in the land.
5868_54659_000011_000003	He led her into the dining-room, when we were alone, exactly as he would have led a duchess into a banqueting-hall.	He led her into the dining room, when we were alone, exactly as he would have led a duchess into a banqueting hall.
5868_54659_000011_000004	He would allow us, as boys, to quit the breakfast-table before he had risen himself; but never before she had left it.	He would allow us, as boys, to quit the breakfast table before he had risen himself; but never before she had left it.
5868_54659_000011_000006	His daughter was in his eyes the representative of her mother: the mistress of his house, as well as his child.	His daughter was in his eyes the representative of her mother: the mistress of his house, as well as his child.
5868_54659_000011_000007	It was curious to see the mixture of high-bred courtesy and fatherly love in his manner, as he just gently touched her forehead with his lips, when he first saw her in the morning.	It was curious to see the mixture of high bred courtesy and fatherly love in his manner, as he just gently touched her forehead with his lips, when he first saw her in the morning.
5868_54659_000012_000004	It required, indeed, all the masculine energy of look about the upper part of his face, to redeem the lower part from an appearance of effeminacy, so delicately was it moulded in its fine Norman outline.	It required, indeed, all the masculine energy of look about the upper part of his face, to redeem the lower part from an appearance of effeminacy, so delicately was it moulded in its fine Norman outline.
5868_54659_000012_000007	If he ever laughed, as a young man, his laugh must have been very clear and musical; but since I can recollect him, I never heard it.	If he ever laughed, as a young man, his laugh must have been very clear and musical; but since I can recollect him, I never heard it.
5868_54659_000012_000008	In his happiest moments, in the gayest society, I have only seen him smile.	In his happiest moments, in the gayest society, I have only seen him smile.
5868_54659_000013_000000	There were other characteristics of my father's disposition and manner, which I might mention; but they will appear to greater advantage, perhaps, hereafter, connected with circumstances which especially called them forth.	There were other characteristics of my father's disposition and manner, which I might mention; but they will appear to greater advantage, perhaps, hereafter, connected with circumstances which especially called them forth.
