4848_101836_000000_000000	VI.	VI.	false	7.71	8.55	5
4848_101836_000014_000000	So 'Mvoo Laana took him out of the trap and let him go.	So 'm v o o Laana took him out of the trap and let him go.	false	151.58	155.38	17
4848_101836_000015_000000	When Neeanee had climbed up in a tree, he sat on a branch and said to the youth: "For your kindness I will give you a piece of advice: Believe me, men are all bad.	When Neeanee had climbed up in a tree, he sat on a branch and said to the youth: "For your kindness I will give you a piece of advice: Believe me, men are all bad.	false	155.9	167.53	21.144361
4848_101836_000015_000001	Never do a good turn for a man; if you do, he will do you harm at the first opportunity."	Never do a good turn for a man; if you do, he will do you harm at the first opportunity."	false	167.54	173.83	19.412533
4848_101836_000016_000000	The second day, 'Mvoo Laana found a snake in the same trap.	The second day, 'm v o o Laana found a snake in the same trap.	false	174.77	179.65	22.345057
4848_101836_000016_000001	He started to the village to give the alarm, but the snake shouted: "Come back, son of Adam; don't call the people from the village to come and kill me.	He started to the village to give the alarm, but the snake shouted: "Come back, son of Adam; don't call the people from the village to come and kill me.	true	179.93	189.82	20.981373
4848_101836_000016_000002	I am Neeo'ka, the snake.	I am Neeo'ka, the snake.	true	189.86	191.95	26.177523
4848_101836_000016_000003	Let me out of this trap, I pray you.	Let me out of this trap, I pray you.	true	191.99	194.475	21.477873
4848_101836_000016_000004	Save me from the rain to-day, that I may be able to save you from the sun to-morrow, if you should be in need of help."	Save me from the rain to day, that I may be able to save you from the sun to morrow, if you should be in need of help."	true	194.475	202.69	20.848022
4848_101836_000017_000000	So the youth let him go; and as he went he said, "I will return your kindness if I can, but do not trust any man; if you do him a kindness he will do you an injury in return at the first opportunity."	So the youth let him go; and as he went he said, "I will return your kindness if I can, but do not trust any man; if you do him a kindness he will do you an injury in return at the first opportunity."	false	202.73	218.26	19.894209
4848_101836_000018_000000	The third day, 'Mvoo Laana found a lion in the same trap that had caught the ape and the snake, and he was afraid to go near it.	The third day, 'm v o o Laana found a lion in the same trap that had caught the ape and the snake, and he was afraid to go near it.	false	218.54	226.87	18
4848_101836_000018_000001	But the lion said: "Don't run away; I am Sim'ba Kong'way, the very old lion.	But the lion said: "Don't run away; I am Sim'ba Kong'way, the very old lion.	true	227.42	233.29	17.615662
4848_101836_000018_000002	Let me out of this trap, and I will not hurt you.	Let me out of this trap, and I will not hurt you.	true	233.3	236.22	18
4848_101836_000018_000003	Save me from the rain, that I may save you from the sun if you should need help."	Save me from the rain, that I may save you from the sun if you should need help."	true	236.22	241.515	19.559574
4848_101836_000019_000000	So 'Mvoo Laana believed him and let him out of the trap, and Simba Kongway, before going his way, said: "Son of Adam, you have been kind to me, and I will repay you with kindness if I can; but never do a kindness to a man, or he will pay you back with unkindness."	So 'm v o o Laana believed him and let him out of the trap, and Simba Kongway, before going his way, said: "Son of Adam, you have been kind to me, and I will repay you with kindness if I can; but never do a kindness to a man, or he will pay you back with unkindness."	false	241.515	260.19	19.575508
4848_101836_000020_000000	The next day a man was caught in the same trap, and when the youth released him, he repeatedly assured him that he would never forget the service he had done him in restoring his liberty and saving his life.	The next day a man was caught in the same trap, and when the youth released him, he repeatedly assured him that he would never forget the service he had done him in restoring his liberty and saving his life.	true	260.19	273.52	16
4848_101836_000021_000000	Well, it seemed that he had caught all the game that could be taken in traps, and 'Mvoo Laana and his mother were hungry every day, with nothing to satisfy them, as they had been before.	Well, it seemed that he had caught all the game that could be taken in traps, and 'm v o o Laana and his mother were hungry every day, with nothing to satisfy them, as they had been before.	false	273.89	286.03	17
4848_101836_000021_000001	At last he said to his mother, one day: "Mother, make me seven cakes of the little meal we have left, and I will go hunting with my bow and arrows." So she baked him the cakes, and he took them and his bow and arrows and went into the forest.	At last he said to his mother, one day: "Mother, make me seven cakes of the little meal we have left, and I will go hunting with my bow and arrows." So she baked him the cakes, and he took them and his bow and arrows and went into the forest.	true	286.55	303.25	16
4848_101836_000022_000000	The youth walked and walked, but could see no game, and finally he found that he had lost his way, and had eaten all his cakes but one.	The youth walked and walked, but could see no game, and finally he found that he had lost his way, and had eaten all his cakes but one.	false	303.77	313.54	22.127415
4848_101836_000023_000000	And he went on and on, not knowing whether he was going away from his home or toward it, until he came to the wildest and most desolate looking wood he had ever seen.	And he went on and on, not knowing whether he was going away from his home or toward it, until he came to the wildest and most desolate looking wood he had ever seen.	true	313.64	324.97	16
4848_101836_000023_000001	He was so wretched and tired that he felt he must lie down and die, when suddenly he heard some one calling him, and looking up he saw Neeanee, the ape, who said, "Son of Adam, where are you going?"	He was so wretched and tired that he felt he must lie down and die, when suddenly he heard some one calling him, and looking up he saw Neeanee, the ape, who said, "Son of Adam, where are you going?"	true	325.34	339.46	20.252623
4848_101836_000024_000000	"I don't know," replied 'Mvoo Laana, sadly; "I'm lost."	"I don't know," replied 'm v o o Laana, sadly; "I'm lost."	false	339.65	344.02	22.7437
4848_101836_000025_000000	"Well, well," said the ape; "don't worry.	"Well, well," said the ape; "don't worry.	true	344.45	348.07	22.478493
4848_101836_000025_000001	Just sit down here and rest yourself until I come back, and I will repay with kindness the kindness you once showed me."	Just sit down here and rest yourself until I come back, and I will repay with kindness the kindness you once showed me."	false	348.26	356.74	20
4848_101836_000026_000000	Then Neeanee went away off to some gardens and stole a whole lot of ripe paw-paws and bananas, and brought them to 'Mvoo Laana, and said: "Here's plenty of food for you.	Then Neeanee went away off to some gardens and stole a whole lot of ripe paw paws and bananas, and brought them to 'm v o o Laana, and said: "Here's plenty of food for you.	false	357.44	370.3	20.951368
4848_101836_000026_000001	Is there anything else you want?	Is there anything else you want?	true	370.31	372.52	22
4848_101836_000026_000002	Would you like a drink?" And before the youth could answer he ran off with a calabash and brought it back full of water.	Would you like a drink?" And before the youth could answer he ran off with a calabash and brought it back full of water.	false	372.62	380.44	22.871967
4848_101836_000026_000003	So the youth ate heartily, and drank all the water he needed, and then each said to the other, "Good-bye, till we meet again," and went their separate ways.	So the youth ate heartily, and drank all the water he needed, and then each said to the other, "Good bye, till we meet again," and went their separate ways.	false	380.57	391.42	21.749983
4848_101836_000027_000000	When 'Mvoo Laana had walked a great deal farther without finding which way he should go, he met Simba Kongway, who asked, "Where are you going, son of Adam?"	When 'm v o o Laana had walked a great deal farther without finding which way he should go, he met Simba Kongway, who asked, "Where are you going, son of Adam?"	false	392.24	403.81	19.507555
4848_101836_000028_000000	And the youth answered, as dolefully as before, "I don't know; I'm lost."	And the youth answered, as dolefully as before, "I don't know; I'm lost."	true	403.94	409.66	21.6553
4848_101836_000029_000000	"Come, cheer up," said the very old lion, "and rest yourself here a little.	"Come, cheer up," said the very old lion, "and rest yourself here a little.	true	409.85	415.6	20.938515
4848_101836_000029_000001	I want to repay with kindness to-day the kindness you showed me on a former day."	I want to repay with kindness to day the kindness you showed me on a former day."	true	415.64	421.75	21.780567
4848_101836_000030_000000	So 'Mvoo Laana sat down.	So 'm v o o Laana sat down.	false	421.88	424.33	17.277645
4848_101836_000030_000001	Simba Kongway went away, but soon returned with some game he had caught, and then he brought some fire, and the young man cooked the game and ate it.	Simba Kongway went away, but soon returned with some game he had caught, and then he brought some fire, and the young man cooked the game and ate it.	true	424.4	434.29	21.856108
4848_101836_000030_000002	When he had finished he felt a great deal better, and they bade each other good-bye for the present, and each went his way.	When he had finished he felt a great deal better, and they bade each other good bye for the present, and each went his way.	true	434.87	442.75	19.267714
4848_101836_000031_000000	After he had traveled another very long distance the youth came to a farm, and was met by a very, very old woman, who said to him: "Stranger, my husband has been taken very sick, and I am looking for some one to make him some medicine.	After he had traveled another very long distance the youth came to a farm, and was met by a very, very old woman, who said to him: "Stranger, my husband has been taken very sick, and I am looking for some one to make him some medicine.	false	443.27	460.45	20.585327
4848_101836_000031_000001	Won't you make it?" But he answered: "My good woman, I am not a doctor, I am a hunter, and never used medicine in my life.	Won't you make it?" But he answered: "My good woman, I am not a doctor, I am a hunter, and never used medicine in my life.	true	460.61	469.44	20.75528
4848_101836_000031_000002	I can not help you."	I can not help you."	true	469.44	470.86	21.23888
4848_101836_000032_000000	When he came to the road leading to the principal city he saw a well, with a bucket standing near it, and he said to himself: "That's just what I want.	When he came to the road leading to the principal city he saw a well, with a bucket standing near it, and he said to himself: "That's just what I want.	true	471.56	481.6	22.179565
4848_101836_000032_000001	I'll take a drink of nice well-water.	I'll take a drink of nice well water.	true	481.76	484.39	25.825575
4848_101836_000032_000002	Let me see if the water can be reached."	Let me see if the water can be reached."	true	484.4	487.09	27.997627
4848_101836_000033_000000	As he peeped over the edge of the well, to see if the water was high enough, what should he behold but a great big snake, which, directly it saw him, said, "Son of Adam, wait a moment." Then it came out of the well and said: "How?	As he peeped over the edge of the well, to see if the water was high enough, what should he behold but a great big snake, which, directly it saw him, said, "Son of Adam, wait a moment." Then it came out of the well and said: "How?	true	487.61	504.54	20.779778
4848_101836_000033_000001	Don't you know me?"	Don't you know me?"	true	504.54	505.72	22.972986
4848_101836_000034_000000	"I certainly do not," said the youth, stepping back a little.	"I certainly do not," said the youth, stepping back a little.	true	506.42	510.25	18
4848_101836_000035_000000	"Well, well!" said the snake; "I could never forget you.	"Well, well!" said the snake; "I could never forget you.	true	510.65	515.38	20.432652
4848_101836_000035_000001	I am Neeoka, whom you released from the trap.	I am Neeoka, whom you released from the trap.	true	515.54	519.1	23.131462
4848_101836_000035_000002	You know I said, 'Save me from the rain, and I will save you from the sun.' Now, you are a stranger in the town to which you are going; therefore hand me your little bag, and I will place in it the things that will be of use to you when you arrive there."	You know I said, 'Save me from the rain, and I will save you from the sun' Now, you are a stranger in the town to which you are going; therefore hand me your little bag, and I will place in it the things that will be of use to you when you arrive there."	false	519.47	536.56	19.288248
4848_101836_000036_000000	So 'Mvoo Laana gave Neeoka the little bag, and he filled it with chains of gold and silver, and told him to use them freely for his own benefit.	So 'm v o o Laana gave Neeoka the little bag, and he filled it with chains of gold and silver, and told him to use them freely for his own benefit.	false	537.14	547.81	20
4848_101836_000036_000001	Then they parted very cordially.	Then they parted very cordially.	true	547.94	550.36	20.422657
4848_101836_000037_000000	When the youth reached the city, the first man he met was he whom he had released from the trap, who invited him to go home with him, which he did, and the man's wife made him supper.	When the youth reached the city, the first man he met was he whom he had released from the trap, who invited him to go home with him, which he did, and the man's wife made him supper.	false	550.73	562.42	22
4848_101836_000038_000000	As soon as he could get away unobserved, the man went to the sultan and said: "There is a stranger come to my house with a bag full of chains of silver and gold, which he says he got from a snake that lives in a well.	As soon as he could get away unobserved, the man went to the sultan and said: "There is a stranger come to my house with a bag full of chains of silver and gold, which he says he got from a snake that lives in a well.	false	562.61	577.09	21
4848_101836_000038_000001	But although he pretends to be a man, I know that he is a snake who has power to look like a man."	But although he pretends to be a man, I know that he is a snake who has power to look like a man."	true	577.28	583.75	21
4848_101836_000039_000000	When the sultan heard this he sent some soldiers who brought 'Mvoo Laana and his little bag before him.	When the sultan heard this he sent some soldiers who brought 'm v o o Laana and his little bag before him.	true	584.15	590.98	17
4848_101836_000039_000001	When they opened the little bag, the man who was released from the trap persuaded the people that some evil would come out of it, and affect the children of the sultan and the children of the vizir.	When they opened the little bag, the man who was released from the trap persuaded the people that some evil would come out of it, and affect the children of the sultan and the children of the vizir.	true	591.32	603.25	18
4848_101836_000040_000000	Then the people became excited, and tied the hands of 'Mvoo Laana behind him.	Then the people became excited, and tied the hands of 'm v o o Laana behind him.	false	603.65	609.25	16
4848_101836_000041_000000	But the great snake had come out of the well and arrived at the town just about this time, and he went and lay at the feet of the man who had said all those bad things about 'Mvoo Laana, and when the people saw this they said to that man: "How is this?	But the great snake had come out of the well and arrived at the town just about this time, and he went and lay at the feet of the man who had said all those bad things about 'm v o o Laana, and when the people saw this they said to that man: "How is this?	false	609.56	626.62	19
4848_101836_000041_000001	There is the great snake that lives in the well, and he stays by you.	There is the great snake that lives in the well, and he stays by you.	true	626.81	631	21
4848_101836_000041_000002	Tell him to go away."	Tell him to go away."	true	631.01	632.56	21.244776
4848_101836_000042_000000	But Neeoka would not stir.	But Neeoka would not stir.	true	632.81	634.86	25.535492
4848_101836_000042_000001	So they untied the young man's hands, and tried in every way to make amends for having suspected him of being a wizard.	So they untied the young man's hands, and tried in every way to make amends for having suspected him of being a wizard.	true	634.86	643.3	18
4848_101836_000043_000000	Then the sultan asked him, "Why should this man invite you to his home and then speak ill of you?"	Then the sultan asked him, "Why should this man invite you to his home and then speak ill of you?"	true	643.55	650.26	20
4848_101836_000044_000000	And 'Mvoo Laana related all that had happened to him, and how the ape, the snake, and the lion had cautioned him about the results of doing any kindness for a man.	And 'm v o o Laana related all that had happened to him, and how the ape, the snake, and the lion had cautioned him about the results of doing any kindness for a man.	false	650.6	662.17	20.803566
4848_101836_000045_000000	And the sultan said: "Although men are often ungrateful, they are not always so; only the bad ones.	And the sultan said: "Although men are often ungrateful, they are not always so; only the bad ones.	true	662.39	669.91	21.771662
4848_101836_000045_000001	As for this fellow, he deserves to be put in a sack and drowned in the sea.	As for this fellow, he deserves to be put in a sack and drowned in the sea.	true	670.04	675.31	22
4848_101836_000045_000002	He was treated kindly, and returned evil for good."	He was treated kindly, and returned evil for good."	false	675.44	682.14	21.736855
