7051_259009_000000_000000	CHAPTER 57	CHAPTER fifty seven	false	0.75	29.97	22.113935
7051_259009_000006_000006	The results of the earnest pursuit of economic inquiry in the universities and outside of them are already appearing, not in dramatic ways, but in the more subtle, surer form of an intelligent public opinion.	The results of the earnest pursuit of economic inquiry in the universities and outside of them are already appearing, not in dramatic ways, but in the more subtle, surer form of an intelligent public opinion.	false	122.45	136.56	21.316021
7051_259009_000007_000000	[Sidenote: Examples of mistaken social prophecy]	[Sidenote: Examples of mistaken social prophecy]	false	136.56	137.73	17.18885
7051_259009_000008_000000	2.	two.	false	137.73	137.94	-20
7051_259009_000008_000001	_Economic science has not reached a stage that permits of much prophecy._ Prediction is sometimes given as the test of science.	underscore Economic science has not reached a stage that permits of much prophecy.underscore Prediction is sometimes given as the test of science.	false	137.94	145.99	20.541853
7051_259009_000008_000002	This test, however, is one that only astronomy can meet in any remarkable degree.	This test, however, is one that only astronomy can meet in any remarkable degree.	true	146.33	151.87	22.593555
7051_259009_000008_000003	Chemistry can tell much of what will happen in the laboratory, but nothing of the date of future powder-mill explosions.	Chemistry can tell much of what will happen in the laboratory, but nothing of the date of future powder mill explosions.	true	152.42	160.03	19.597862
7051_259009_000008_000004	Geology answers the question "What?" with surmises, and "When?" with an estimate of a few million years more or less.	Geology answers the question "What?" with surmises, and "When?" with an estimate of a few million years more or less.	true	160.4	168.58	19.206291
7051_259009_000008_000005	Is it surprising that in human affairs still less prediction is possible?	Is it surprising that in human affairs still less prediction is possible?	true	168.74	173.23	16
7051_259009_000008_000006	There are countless unmeasured factors in human action.	There are countless unmeasured factors in human action.	true	173.54	176.98	24
7051_259009_000008_000007	Such generalizations as are possible must be based on actions that appear and reappear with practical constancy.	Such generalizations as are possible must be based on actions that appear and reappear with practical constancy.	true	177.26	185.29	21.357048
7051_259009_000008_000008	Though a number of facts unite to suggest some conclusions as to the immediate future, the experience of the last century bids one beware of sweeping predictions.	Though a number of facts unite to suggest some conclusions as to the immediate future, the experience of the last century bids one beware of sweeping predictions.	true	185.84	196.72	20.71226
7051_259009_000008_000009	The close of the French Revolution was a period marked by much speculation regarding the future of society.	The close of the French Revolution was a period marked by much speculation regarding the future of society.	true	197.21	203.95	18
7051_259009_000008_000010	The optimists, with faith in the perfectability of human nature and of society, believed that all social ills were due to bad government; if despotism were but overthrown, man's nature would develop, untrammeled, to perfection.	The optimists, with faith in the perfectability of human nature and of society, believed that all social ills were due to bad government; if despotism were but overthrown, man's nature would develop, untrammeled, to perfection.	true	204.2	221.23	21.895239
7051_259009_000008_000011	The economists of that day were sceptical, because, looking deeper, they saw sources of misery in the scantiness of man's environment, and in the sloth, ignorance, and incapacity of human nature.	The economists of that day were sceptical, because, looking deeper, they saw sources of misery in the scantiness of man's environment, and in the sloth, ignorance, and incapacity of human nature.	true	221.57	234.91	18.615139
7051_259009_000008_000012	The pessimists--the communists, and socialists of that day--seeing the same evils, had other explanations to offer.	The pessimists-the communists, and socialists of that day-seeing the same evils, had other explanations to offer.	true	234.98	243.01	20.517288
7051_259009_000008_000013	While the economists of that day believed the conditions of poverty and misery to be inevitable, the pessimists pronounced them unendurable, and advocated a radical social change as the only hope of saving the masses from starvation.	While the economists of that day believed the conditions of poverty and misery to be inevitable, the pessimists pronounced them unendurable, and advocated a radical social change as the only hope of saving the masses from starvation.	true	243.5	258.46	21.358139
7051_259009_000008_000014	In such a variety of mutually contradictory views there must have been much error, but likewise much truth if it could be disentangled.	In such a variety of mutually contradictory views there must have been much error, but likewise much truth if it could be disentangled.	true	258.98	268.89	20.348179
7051_259009_000009_000000	[Sidenote: Economic prophecies of the nineteenth century]	[Sidenote: Economic prophecies of the nineteenth century]	false	268.89	269.49	-20
7051_259009_000010_000000	3.	three.	true	269.49	270.06	22.811134
7051_259009_000010_000001	_The unexpected changes in transportation and in industry altered the course of economic development in the last century._ Much of the economic theory of that day appears absurd in the light of history.	underscore The unexpected changes in transportation and in industry altered the course of economic development in the last century.underscore Much of the economic theory of that day appears absurd in the light of history.	false	270.06	283.69	20.964561
7051_259009_000010_000002	The inventions of the period, from Adam Smith's writings to Ricardo's (1776 to 1820), were mostly for use in manufacturing.	The inventions of the period, from Adam Smith's writings to Ricardo's (seventeen seventy six to eighteen twenty), were mostly for use in manufacturing.	true	283.88	294.28	19.514923
7051_259009_000010_000003	This suggested to the minds of that time the progressive cheapening of cloth, iron, pottery, and of all other products of machinery, but not the cheapening of food. Indeed, the situation in western Europe then suggested strongly the opinion that the products of the soil would steadily become more difficult to get.	This suggested to the minds of that time the progressive cheapening of cloth, iron, pottery, and of all other products of machinery, but not the cheapening of food. Indeed, the situation in western Europe then suggested strongly the opinion that the products of the soil would steadily become more difficult to get.	false	294.74	314.95	21.478214
7051_259009_000010_000004	The railroad was not of practical importance until after 1830; the steamboat was not applied to ocean travel until 1837. The opening of a rich continent and its annexation, by these new agencies, to the available resources of the older countries were not dreamed of.	The railroad was not of practical importance until after eighteen thirty; the steamboat was not applied to ocean travel until eighteen thirty seven. The opening of a rich continent and its annexation, by these new agencies, to the available resources of the older countries were not dreamed of.	true	315.29	335.44	19.85971
7051_259009_000010_000005	It was not fully appreciated that a great change in social standards, controlling the growth of population, was in progress.	It was not fully appreciated that a great change in social standards, controlling the growth of population, was in progress.	true	335.66	343.87	20.829824
7051_259009_000010_000006	This was the panorama of the progress of society as seen by both the conservative economists and the socialists of less than a century ago: continued invention, an increasing population, low wages, scanty food, growing wealth for the few, and growing poverty and misery for the masses.	This was the panorama of the progress of society as seen by both the conservative economists and the socialists of less than a century ago: continued invention, an increasing population, low wages, scanty food, growing wealth for the few, and growing poverty and misery for the masses.	true	344.24	364.98	20.74182
7051_259009_000011_000000	[Sidenote: Unexpected course of development in the nineteenth century]	[Sidenote: Unexpected course of development in the nineteenth century]	false	364.98	366.93	21.42771
7051_259009_000012_000000	4.	four.	false	366.93	366.93	
7051_259009_000012_000001	_The actual course of economic development in the nineteenth century falsified the predictions alike of optimists, economists, and pessimists._ Not foreseeing the great supplies of natural resources soon to be made available for the older countries, the men of that day naturally thought of the supply of land as limited and fixed.	underscore The actual course of economic development in the nineteenth century falsified the predictions alike of optimists, economists, and pessimists.underscore Not foreseeing the great supplies of natural resources soon to be made available for the older countries, the men of that day naturally thought of the supply of land as limited and fixed.	false	366.93	387.76	19.906141
7051_259009_000012_000002	Supply in the economic sense means the amount available at the given time in the market; but despite the great areas since brought into the world-markets, the false idea of a century ago still persists in the text-books, and shapes economic reasoning.	Supply in the economic sense means the amount available at the given time in the market; but despite the great areas since brought into the world markets, the false idea of a century ago still persists in the text books, and shapes economic reasoning.	true	388.04	404.65	23.014914
7051_259009_000012_000003	It is vain to say that the circumstances have been unique and that the general principle is still valid.	It is vain to say that the circumstances have been unique and that the general principle is still valid.	true	405.23	411.46	21
7051_259009_000012_000004	Much of the so-called orthodox economic analysis was essentially erroneous as applied to the conditions of the past century; it is erroneous to-day and will be so for years to come, if it ever fits the facts.	Much of the so-called orthodox economic analysis was essentially erroneous as applied to the conditions of the past century; it is erroneous to day and will be so for years to come, if it ever fits the facts.	true	411.86	426.34	20.80359
7051_259009_000012_000005	New continents are about to be opened.	New continents are about to be opened.	true	426.89	429.34	22.27497
7051_259009_000012_000006	The building of railroads the length of South America and to the center of Africa will make available new mineral wealth, rare woods, enormous forests, and some of the greatest food-producing areas on the globe.	The building of railroads the length of South America and to the center of Africa will make available new mineral wealth, rare woods, enormous forests, and some of the greatest food producing areas on the globe.	true	429.59	444.465	18.984072
7051_259009_000012_000007	Population in Christendom has increased more rapidly than ever before in the history of the world, but it has not overtaken the progress in resources.	Population in Christendom has increased more rapidly than ever before in the history of the world, but it has not overtaken the progress in resources.	true	444.465	453.4	20.798012
7051_259009_000012_000008	The rate of increase of population is slackening.	The rate of increase of population is slackening.	true	453.86	456.67	25.293913
7051_259009_000012_000009	The result of this combination of events has been a general rise of the conditions making for popular welfare.	The result of this combination of events has been a general rise of the conditions making for popular welfare.	true	457.1	463.9	17
7051_259009_000012_000010	Despite the problems and the abuses that every new change brings, the civilized world undoubtedly is more prosperous to-day than ever before.	Despite the problems and the abuses that every new change brings, the civilized world undoubtedly is more prosperous to day than ever before.	true	464.3	474.43	20.429209
7051_259009_000012_000011	The greatest misery and discontent is in the more backward communities.	The greatest misery and discontent is in the more backward communities.	true	474.92	479.68	22.107275
7051_259009_000012_000012	This is past and present; what of the economic future?	This is past and present; what of the economic future?	true	480.05	484.21	26.041052
7051_259009_000012_000013	Is the present condition a normal one--is this prosperity likely to grow or to decline?	Is the present condition a normal one-is this prosperity likely to grow or to decline?	true	484.49	490.84	23.359613
7051_259009_000012_000014	Thus far, surely, the economic student may question the oracles; for though the distant future is veiled from man's view, the role of economic theory is to show causal relations, to convert mystery into reason, and thus to give a lamp to the feet of the present.	Thus far, surely, the economic student may question the oracles; for though the distant future is veiled from man's view, the role of economic theory is to show causal relations, to convert mystery into reason, and thus to give a lamp to the feet of the present.	true	491.18	509.7	20.339539
7051_259009_000013_000000	Sec.	Sec.	false	509.7	510.6	18.683098
7051_259009_000013_000001	II.	two.	false	510.6	511.5	19.114038
7051_259009_000013_000002	THE ECONOMIC FUTURE OF SOCIETY	THE ECONOMIC FUTURE OF SOCIETY	true	511.5	513.81	19
7051_259009_000014_000000	[Sidenote: Exhaustion of certain natural resources]	[Sidenote: Exhaustion of certain natural resources]	false	513.81	514.41	-3
7051_259009_000015_000000	1.	one.	true	514.41	514.92	23.161299
7051_259009_000015_000001	_Present industrial progress is largely due to material conditions, temporarily favorable._ Many of the materials now being destroyed in immense quantities have been slowly stored up through the ages and are not renewable.[4] Till modern times man knew little of the world beneath its crust.	underscore Present industrial progress is largely due to material conditions, temporarily favorable.underscore Many of the materials now being destroyed in immense quantities have been slowly stored up through the ages and are not renewable.[four] Till modern times man knew little of the world beneath its crust.	false	514.92	535.3	19.946432
7051_259009_000015_000002	Living, he scratched the earth's surface, and dying, left his bones to fertilize the soil.	Living, he scratched the earth's surface, and dying, left his bones to fertilize the soil.	true	535.55	542.29	23.69082
7051_259009_000015_000003	But to-day, man exhausts the stores in the interior of the earth, burns the treasures of the carboniferous age, casts the fertilizing elements into the ocean, and leaves the world an empty shell.	But to day, man exhausts the stores in the interior of the earth, burns the treasures of the carboniferous age, casts the fertilizing elements into the ocean, and leaves the world an empty shell.	true	542.33	557.11	21.722633
7051_259009_000015_000004	Forests are being so rapidly cut off that the price of fuel-wood and lumber in many parts of the United States has, within twenty years, been multiplied by three.	Forests are being so rapidly cut off that the price of fuel wood and lumber in many parts of the United States has, within twenty years, been multiplied by three.	true	557.57	569.05	21.68213
7051_259009_000015_000005	The world's store of iron ore is not yet fully known, but much of it has been measured, and of the deposits known to be within the United States over one half are said to be owned by one corporation, and they are enough to continue its present output no more than sixty years.	The world's store of iron ore is not yet fully known, but much of it has been measured, and of the deposits known to be within the United States over one half are said to be owned by one corporation, and they are enough to continue its present output no more than sixty years.	true	569.45	588.43	21.722315
7051_259009_000015_000006	Many other natural products are in like manner gathered by civilized man from a stock created long ago.	Many other natural products are in like manner gathered by civilized man from a stock created long ago.	true	588.71	596.5	22
7051_259009_000015_000007	While the supply of vegetable food promises to be ample, the supply of meat will be maintained with difficulty as population becomes denser.	While the supply of vegetable food promises to be ample, the supply of meat will be maintained with difficulty as population becomes denser.	true	596.66	606.51	20.848671
7051_259009_000016_000000	[Footnote 4: Though at first glance this may seem contradictory to the statement in the foregoing paragraph regarding the nature of supply, it will not be found so on closer examination.]	[Footnote four: Though at first glance this may seem contradictory to the statement in the foregoing paragraph regarding the nature of supply, it will not be found so on closer examination.]	false	606.51	607.68	26.379704
7051_259009_000017_000000	[Sidenote: Possibilities of other resources]	[Sidenote: Possibilities of other resources]	false	607.68	607.71	-20
7051_259009_000018_000000	2.	two.	false	607.71	607.71	
7051_259009_000018_000001	_Many other inexhaustible sources of essential materials have not yet been developed._ What has just been said is the darker side.	underscore Many other inexhaustible sources of essential materials have not yet been developed.underscore What has just been said is the darker side.	false	607.71	616.45	22.228264
7051_259009_000018_000002	The coal-mines can be emptied, but so long as the sun shines and the rains fall, Niagara will remain as a source of light, heat, and power.	The coal mines can be emptied, but so long as the sun shines and the rains fall, Niagara will remain as a source of light, heat, and power.	true	616.49	627.46	20.71703
7051_259009_000018_000003	The tides flow on forever.	The tides flow on forever.	true	627.56	629.83	21.881697
7051_259009_000018_000004	In every thunder-storm enough force is dissipated to run thousands of factories.	In every thunder storm enough force is dissipated to run thousands of factories.	true	629.96	635.26	20
7051_259009_000018_000005	The heat in the center of the globe, though not inexhaustible, would suffice for man's needs for many centuries.	The heat in the center of the globe, though not inexhaustible, would suffice for man's needs for many centuries.	true	635.63	643.24	19.086472
7051_259009_000018_000006	The force in Mount Pelee, if chained and utilized, would run a million factories a million years.	The force in Mount Pelee, if chained and utilized, would run a million factories a million years.	true	643.61	650.77	21.135082
7051_259009_000018_000007	It is not too much to hope that engineering skill will some day reach and utilize these sources.	It is not too much to hope that engineering skill will some day reach and utilize these sources.	true	651.26	657.13	16
7051_259009_000018_000008	Such a cheapening and diffusion of power would put a new face on many of the problems of industry.	Such a cheapening and diffusion of power would put a new face on many of the problems of industry.	true	657.47	663.16	20.78374
7051_259009_000018_000009	New sources of materials undoubtedly will be developed.	New sources of materials undoubtedly will be developed.	true	663.29	667.03	18.090094
7051_259009_000018_000010	It is reasonable to hope that before iron ore has become extremely scarce, a cheap and practicable method of extracting aluminium from clay will have been perfected.	It is reasonable to hope that before iron ore has become extremely scarce, a cheap and practicable method of extracting aluminium from clay will have been perfected.	true	667.25	678.64	22.176783
7051_259009_000018_000011	Secure of these permanent sources, civilization will stand on a firmer foundation.	Secure of these permanent sources, civilization will stand on a firmer foundation.	true	678.89	685.05	21.517935
7051_259009_000019_000000	[Sidenote: Effect on values of shifting centers of power and materials]	[Sidenote: Effect on values of shifting centers of power and materials]	false	685.05	685.53	-20
7051_259009_000020_000000	A great displacement of local values must accompany this shifting of the centers of power and materials.	A great displacement of local values must accompany this shifting of the centers of power and materials.	true	685.53	692.44	15
7051_259009_000020_000001	When the coal districts are heaps of slag and cinders, industry will be found near the water-power.	When the coal districts are heaps of slag and cinders, industry will be found near the water power.	true	692.63	699.91	20.616983
7051_259009_000020_000002	Because of distance from raw materials, New England even now finds herself hard pushed in her rivalry with the Southern states in the manufacture of textiles.	Because of distance from raw materials, New England even now finds herself hard pushed in her rivalry with the Southern states in the manufacture of textiles.	true	700.04	710.68	21.414974
7051_259009_000020_000003	The industrial map of our country will be greatly altered a hundred years hence.	The industrial map of our country will be greatly altered a hundred years hence.	true	711.17	716.65	22
7051_259009_000020_000004	The possession of rich natural resources to-day does not insure a community enduring prosperity.	The possession of rich natural resources to day does not insure a community enduring prosperity.	true	716.99	723.72	17
7051_259009_000021_000000	[Sidenote: Effect of accumulating wealth]	[Sidenote: Effect of accumulating wealth]	false	723.72	724.335	-20
7051_259009_000022_000000	3.	three.	true	724.335	724.83	25.887106
7051_259009_000022_000001	_The mass and quality of wealth will increase rapidly if social and political conditions remain stable._ The main method of increasing wealth must be the putting of energies and resources into more abiding forms.	underscore The mass and quality of wealth will increase rapidly if social and political conditions remain stable.underscore The main method of increasing wealth must be the putting of energies and resources into more abiding forms.	false	724.83	738.58	20.009115
7051_259009_000022_000002	In order that a motive for saving may be present, there must be stable conditions.	In order that a motive for saving may be present, there must be stable conditions.	true	738.98	744.52	20.2521
7051_259009_000022_000003	Increasing subordination of present to future will be accompanied by a fall in the rate of interest.	Increasing subordination of present to future will be accompanied by a fall in the rate of interest.	true	744.8	750.91	19.754587
7051_259009_000022_000004	The growth of wealth means a higher quality of all artificial productive agents.	The growth of wealth means a higher quality of all artificial productive agents.	true	751.34	756.19	17
7051_259009_000022_000005	A larger part of the energies of men will then be directed merely to supervising the developed machinery.	A larger part of the energies of men will then be directed merely to supervising the developed machinery.	false	756.65	762.94	16
7051_259009_000022_000006	Man will live in a better environment, in a better and richer world.	Man will live in a better environment, in a better and richer world.	true	763.34	768.22	19.5831
7051_259009_000022_000007	Wages must rise as the quality of tools and machinery improves.	Wages must rise as the quality of tools and machinery improves.	true	768.26	772.72	18
7051_259009_000022_000008	Population most probably will not increase proportionately and the relation of the labor-supply to the resources with which it works should be more and more in favor of the laboring classes.	Population most probably will not increase proportionately and the relation of the labor supply to the resources with which it works should be more and more in favor of the laboring classes.	true	773.15	785.59	19.687855
7051_259009_000022_000009	The difficult problems of the concentrated control of industry and of the control of wealth must be solved in the interests of all.	The difficult problems of the concentrated control of industry and of the control of wealth must be solved in the interests of all.	true	786.14	794.55	20
7051_259009_000023_000000	[Sidenote: Social progress vs. race progress]	[Sidenote: Social progress vs race progress]	false	794.55	795.51	24.936302
7051_259009_000024_000000	4.	four.	false	795.51	795.66	-20
7051_259009_000024_000001	_Improvement of the race biologically, through selection of the ablest individuals, has been a great factor in human progress._ Social progress is not necessarily the steady biological betterment of the native ability of men.	underscore Improvement of the race biologically, through selection of the ablest individuals, has been a great factor in human progress.underscore Social progress is not necessarily the steady biological betterment of the native ability of men.	false	795.66	810.91	21.570938
7051_259009_000024_000002	The education of the average member of society is becoming yearly better; it is doubtful whether the innate capacity of a new-born babe in Europe and America to-day is greater than it was among our Germanic ancestors in Roman times.	The education of the average member of society is becoming yearly better; it is doubtful whether the innate capacity of a new born babe in Europe and America to day is greater than it was among our Germanic ancestors in Roman times.	true	811.22	827.89	19.94629
7051_259009_000024_000003	Indeed, the progress of the past two thousand years has been in social organization, in the enlargement and simplifying of the mass of knowledge which has to be reappropriated by each new individual, rather than in race-breeding and in quality.	Indeed, the progress of the past two thousand years has been in social organization, in the enlargement and simplifying of the mass of knowledge which has to be reappropriated by each new individual, rather than in race breeding and in quality.	true	828.05	845.64	18.536385
7051_259009_000025_000000	[Sidenote: Nature vs. culture]	[Sidenote: Nature vs culture]	false	845.64	846.12	-20
7051_259009_000026_000000	Few thoughtful persons now hold the view that the race can be rapidly improved biologically by the process of educating the individual. Education is cumulative in so far as it builds up a better environment into which other children will be born, but the betterment is not due to the inheritance by the child of the acquired knowledge and skill of the parent.	Few thoughtful persons now hold the view that the race can be rapidly improved biologically by the process of educating the individual. Education is cumulative in so far as it builds up a better environment into which other children will be born, but the betterment is not due to the inheritance by the child of the acquired knowledge and skill of the parent.	true	846.12	870.07	21.372559
7051_259009_000026_000001	If this question is open to dispute among biologists, it is only as regards a minute increment of improvement.	If this question is open to dispute among biologists, it is only as regards a minute increment of improvement.	false	870.5	879.34	22.703035
7051_259009_000026_000002	Practically, selection is the only means of improving the innate capacity of any species in any large measure.	Practically, selection is the only means of improving the innate capacity of any species in any large measure.	true	879.56	888.07	22.647524
7051_259009_000026_000003	Many forces were at work in the past to lift man above the brute, and especially to increase the average brain-power of the human race.	Many forces were at work in the past to lift man above the brute, and especially to increase the average brain power of the human race.	true	888.38	896.77	19
7051_259009_000026_000004	The weak, the ignorant, the incapable in primitive societies were ruthlessly killed off.	The weak, the ignorant, the incapable in primitive societies were ruthlessly killed off.	true	897.17	904	22.470385
7051_259009_000026_000005	The strong, the sagacious, and the enterprising left the largest numbers of descendants.	The strong, the sagacious, and the enterprising left the largest numbers of descendants.	true	904.22	910.68	20.78607
7051_259009_000027_000000	[Sidenote: Decrease of the successful elements]	[Sidenote: Decrease of the successful elements]	false	910.68	911.055	-20
7051_259009_000028_000000	5.	five.	true	911.055	911.88	21.404408
7051_259009_000028_000001	_Progress will be checked if the native quality of the race declines._ Under modern conditions, especially within the last quarter of a century, the successful elements of society are becoming less fertile.	underscore Progress will be checked if the native quality of the race declines.underscore Under modern conditions, especially within the last quarter of a century, the successful elements of society are becoming less fertile.	false	911.88	925.93	19.007328
7051_259009_000028_000002	Large families were the rule among the capable pioneers of America; now they are rare except in the lower industrial ranks. Democracy and opportunity are favoring this process of increasing the mediocre and reducing the excellent strains of stock.	Large families were the rule among the capable pioneers of America; now they are rare except in the lower industrial ranks. Democracy and opportunity are favoring this process of increasing the mediocre and reducing the excellent strains of stock.	true	926.45	943.63	20.132948
7051_259009_000028_000003	Caste and status kept successful generations of capable men in humble social ranks from which only by chance some remarkable individual could rise.	Caste and status kept successful generations of capable men in humble social ranks from which only by chance some remarkable individual could rise.	true	943.97	955.21	18
7051_259009_000028_000004	In a democracy, those of marked ability can more easily move into the better-paid callings and professions.	In a democracy, those of marked ability can more easily move into the better paid callings and professions.	true	955.64	963.01	20
7051_259009_000028_000005	This individual good fortune, however, reduces the probability of offspring.	This individual good fortune, however, reduces the probability of offspring.	true	963.32	968.74	18.473814
7051_259009_000028_000006	In the higher social ranks are more bachelors and old maids than in the lower ranks, and fewer children are born to each marriage.	In the higher social ranks are more bachelors and old maids than in the lower ranks, and fewer children are born to each marriage.	false	969.11	978.46	18.991549
7051_259009_000028_000007	The president of our oldest university has shown that one fourth of the graduates of the last generation have remained single, and that the average number of children of the married graduate is two.	The president of our oldest university has shown that one fourth of the graduates of the last generation have remained single, and that the average number of children of the married graduate is two.	true	978.98	991.84	19.612982
7051_259009_000028_000008	That group of men, therefore, has left only three fourths enough descendants to maintain its numbers, and as the population has doubled within the same generation, that class represents only three eighths as large a proportion of the American stock as formerly.	That group of men, therefore, has left only three fourths enough descendants to maintain its numbers, and as the population has doubled within the same generation, that class represents only three eighths as large a proportion of the American stock as formerly.	true	992.3	1009.92	20.33872
7051_259009_000029_000000	[Sidenote: The menace to progress]	[Sidenote: The menace to progress]	false	1009.92	1010.49	-4
7051_259009_000030_000000	This sterilization of ability has cumulative results.	This sterilization of ability has cumulative results.	true	1010.49	1014.25	17
7051_259009_000030_000001	If society were composed in equal parts of two distinct strains of stock, not intermarrying; if the total population kept intact from one generation to another (say each period of thirty years), but the superior strain contributed only three fourths of its own number, at the end of five generations it would have sunk from one half to a little more than one eighth of the population.	If society were composed in equal parts of two distinct strains of stock, not intermarrying; if the total population kept intact from one generation to another (say each period of thirty years), but the superior strain contributed only three fourths of its own number, at the end of five generations it would have sunk from one half to a little more than one eighth of the population.	true	1014.62	1042.69	21.82229
7051_259009_000030_000002	A period brief in the life of nations would serve to leave it an almost negligible factor in social life.	A period brief in the life of nations would serve to leave it an almost negligible factor in social life.	true	1043.03	1050.34	19.92551
7051_259009_000030_000003	There can hardly be a doubt that at present our society is on the average increasing far more from the less provident, less enterprising, less intelligent classes.	There can hardly be a doubt that at present our society is on the average increasing far more from the less provident, less enterprising, less intelligent classes.	true	1050.44	1062.22	19.431597
7051_259009_000030_000004	There has not yet been time for many of the cumulative effects of this process to appear.	There has not yet been time for many of the cumulative effects of this process to appear.	true	1062.68	1067.77	18
7051_259009_000030_000005	Progress is threatened unless social institutions can be so adjusted as to reverse the present process of multiplying the poorest, and of extinguishing the most capable families.	Progress is threatened unless social institutions can be so adjusted as to reverse the present process of multiplying the poorest, and of extinguishing the most capable families.	true	1068.05	1080.54	20.593994
7051_259009_000031_000000	[Sidenote: Sympathy and selfishness in relation to progress]	[Sidenote: Sympathy and selfishness in relation to progress]	false	1080.54	1080.87	-20
7051_259009_000032_000000	6.	six.	true	1080.87	1081.53	28
7051_259009_000032_000001	_If progress is to continue, there must be left a wide field for the ambitions and for the competition of individuals._ The results of any given ability are dependent upon the energy with which it is used.	underscore If progress is to continue, there must be left a wide field for the ambitions and for the competition of individuals.underscore The results of any given ability are dependent upon the energy with which it is used.	false	1081.53	1096.12	21.339792
7051_259009_000032_000002	The social machinery finds its motive force in the nature of men.	The social machinery finds its motive force in the nature of men.	true	1096.34	1100.38	14
7051_259009_000032_000003	In taking economic wants as the starting point of our study, it was not implied that men were entirely selfish.	In taking economic wants as the starting point of our study, it was not implied that men were entirely selfish.	true	1100.96	1108.66	22.120617
7051_259009_000032_000004	Sympathy widens; economic wants include family, friends, and, in a growing measure, humanity.	Sympathy widens; economic wants include family, friends, and, in a growing measure, humanity.	true	1108.79	1116.37	22.051048
7051_259009_000032_000005	The happiness of a truly socialized man consists in part in the happiness of his fellows. As social sympathy broadens, the sense of duty becomes a stronger economic force.	The happiness of a truly socialized man consists in part in the happiness of his fellows. As social sympathy broadens, the sense of duty becomes a stronger economic force.	true	1116.8	1129.23	21.126461
7051_259009_000032_000006	Men change, but not rapidly, and not always for the better.	Men change, but not rapidly, and not always for the better.	false	1129.23	1134.49	22.088825
7051_259009_000032_000007	It is unsafe to overestimate the generosity of men.	It is unsafe to overestimate the generosity of men.	true	1134.83	1138.33	18
7051_259009_000032_000008	Individual wants and interests must, so far as can now be seen, continue to be among the stronger forces that move society.	Individual wants and interests must, so far as can now be seen, continue to be among the stronger forces that move society.	true	1138.82	1147.45	20.757877
7051_259009_000032_000009	Progress is made because to exceptional ability in general is now presented the hope of large rewards.	Progress is made because to exceptional ability in general is now presented the hope of large rewards.	true	1147.7	1155.06	21
7051_259009_000033_000000	[Sidenote: Status endangering progress]	[Sidenote: Status endangering progress]	false	1155.06	1155.48	-20
7051_259009_000034_000000	[Sidenote: Envy endangering progress]	[Sidenote: Envy endangering progress]	false	1155.48	1155.93	-20
7051_259009_000035_000000	These dynamic forces making for progress are at present, however, threatened from two sides.	These dynamic forces making for progress are at present, however, threatened from two sides.	true	1155.93	1161.94	22
