4860_13185_000000_000000	THE ISLE OF BLASTED HOPES.	THE ISLE OF BLASTED HOPES.	true	23.7	25.81	27.095686
4860_13185_000002_000008	But by this time a lighthouse had been erected, and Watts the keeper of it had a boat, and was, moreover, fond of liquor.	But by this time a lighthouse had been erected, and Watts the keeper of it had a boat, and was, moreover, fond of liquor.	true	114.435	121.36	24.985474
4860_13185_000002_000009	The two men soon became firm friends, and often found it necessary to make voyages to Port Albert for flour, or tea, or sugar.	The two men soon became firm friends, and often found it necessary to make voyages to Port Albert for flour, or tea, or sugar.	true	121.64	130.36	23.897247
4860_13185_000002_000010	The last time they sailed together the barometer was low, and a gale was brewing.	The last time they sailed together the barometer was low, and a gale was brewing.	true	130.46	135.28	22.319778
4860_13185_000002_000011	When they left the wharf they had taken on board all the stores they required, and more; they were happy and glorious.	When they left the wharf they had taken on board all the stores they required, and more; they were happy and glorious.	true	135.83	142.84	24.407988
4860_13185_000002_000012	Next day the masthead of their boat was seen sticking out of the water near Sunday Island. The pilot schooner went down and hauled the boat to the surface, but nothing was found in her except the sand-ballast and a bottle of rum. Her sheet was made fast, and when the squall struck her she had gone down like a stone.	Next day the masthead of their boat was seen sticking out of the water near Sunday Island. The pilot schooner went down and hauled the boat to the surface, but nothing was found in her except the sand ballast and a bottle of rum. Her sheet was made fast, and when the squall struck her she had gone down like a stone.	true	143.18	161.11	23.235754
4860_13185_000002_000013	The Isle of Blasted Hopes was useless even as an asylum for inebriates.	The Isle of Blasted Hopes was useless even as an asylum for inebriates.	true	161.45	166.27	24.329872
4860_13185_000003_000000	The 'Ecliptic' was carrying coals from Newcastle.	The 'Ecliptic' was carrying coals from Newcastle.	true	166.64	169.62	28.012417
4860_13185_000003_000001	The time was midnight, the sky was misty, and the gale was from the south-east, when the watch reported a light ahead.	The time was midnight, the sky was misty, and the gale was from the south-east, when the watch reported a light ahead.	true	169.62	177.015	20.63719
4860_13185_000003_000002	The cabin boy was standing on deck near the captain, when he held a consultation with his mate, who was also his son.	The cabin boy was standing on deck near the captain, when he held a consultation with his mate, who was also his son.	true	177.015	183.82	25.94436
4860_13185_000003_000003	Father and son agreed; they said the light ahead was the one on Kent's Group, and then the vessel grounded amongst the breakers.	Father and son agreed; they said the light ahead was the one on Kent's Group, and then the vessel grounded amongst the breakers.	true	184.25	192.7	22.081987
4860_13185_000003_000004	The seamen stripped off their heavy clothing, and went overboard; the captain and his son plunged in together and swam out of sight.	The seamen stripped off their heavy clothing, and went overboard; the captain and his son plunged in together and swam out of sight.	true	192.83	200.145	23.75008
4860_13185_000003_000005	There were nine men in the water, while the cabin boy stood shivering on deck.	There were nine men in the water, while the cabin boy stood shivering on deck.	true	200.145	204.405	23.12483
4860_13185_000003_000006	He, too, had thrown away his clothes, all but the wrist-bands of his shirt, which in his flurry he could not unbutton.	He, too, had thrown away his clothes, all but the wrist bands of his shirt, which in his flurry he could not unbutton.	false	204.405	210.135	21
4860_13185_000003_000007	He could not make up his mind to jump overboard.	He could not make up his mind to jump overboard.	true	210.135	212.625	23.334162
4860_13185_000003_000008	He heard the men in the water shouting to one another, "Make for the light." That course led them away from the nearest land, which they could not see.	He heard the men in the water shouting to one another, "Make for the light." That course led them away from the nearest land, which they could not see.	true	212.625	221.17	24.925877
4860_13185_000003_000009	At length a great sea swept the boy among the breakers, but his good angel pushed a piece of timber within reach, and he held on to it until he could feel the ground with his feet; he then let the timber go, and scrambled out of reach of the angry surge; but when he came to the dry sand he fainted and fell down.	At length a great sea swept the boy among the breakers, but his good angel pushed a piece of timber within reach, and he held on to it until he could feel the ground with his feet; he then let the timber go, and scrambled out of reach of the angry surge; but when he came to the dry sand he fainted and fell down.	true	221.27	240.07	22.804298
4860_13185_000003_000010	When he recovered his senses he began to look for shelter; there was a signal station not far off, but he could not see it.	When he recovered his senses he began to look for shelter; there was a signal station not far off, but he could not see it.	true	240.59	247.81	23.239109
4860_13185_000003_000011	He went away from the pitiless sea through an opening between low conical hills, covered with dark scrub, over a pathway composed of drift sand and broken shells.	He went away from the pitiless sea through an opening between low conical hills, covered with dark scrub, over a pathway composed of drift sand and broken shells.	true	248.27	258.19	26.09942
4860_13185_000003_000012	He found an old hut without a door.	He found an old hut without a door.	true	258.86	261.6	23.3913
4860_13185_000003_000013	There was no one in it; he went inside, and lay down shivering.	There was no one in it; he went inside, and lay down shivering.	true	261.6	266.29	23.6367
4860_13185_000004_000000	At daybreak a boy, the son of Ratcliff, the signal man, started out to look for his goats, and as they sometimes passed the night in the old fowlhouse, he looked in for them.	At daybreak a boy, the son of Ratcliff, the signal man, started out to look for his goats, and as they sometimes passed the night in the old fowlhouse, he looked in for them.	true	266.75	277.12	24.35487
4860_13185_000004_000001	But instead of the goats, he saw the naked cabin boy.	But instead of the goats, he saw the naked cabin boy.	true	277.16	281.26	23.948011
4860_13185_000004_000002	"Who are you?" he said, "and what are you doing here, and where did you come from?"	"Who are you?" he said, "and what are you doing here, and where did you come from?"	true	281.51	287.14	24.889425
4860_13185_000005_000000	"I have been shipwrecked," replied the cabin boy; and then he sat up and began to cry.	"I have been shipwrecked," replied the cabin boy; and then he sat up and began to cry.	true	287.3	293.2	24.366268
4860_13185_000006_000000	Young Ratcliff ran off to tell his father what he had found; and the boy was brought to the cottage, put to bed, and supplied with food and drink.	Young Ratcliff ran off to tell his father what he had found; and the boy was brought to the cottage, put to bed, and supplied with food and drink.	true	293.75	301.75	22.800035
4860_13185_000006_000001	The signal for a wreck was hoisted at the flagstaff, but when the signallman went to look for a wreck he could not find one. He searched along the shore and found the dead body of the captain, and a piece of splintered spar seven or eight feet long, on which the cabin boy had come ashore.	The signal for a wreck was hoisted at the flagstaff, but when the signallman went to look for a wreck he could not find one. He searched along the shore and found the dead body of the captain, and a piece of splintered spar seven or eight feet long, on which the cabin boy had come ashore.	true	302.3	318.43	24.764038
4860_13185_000006_000002	The 'Ecliptic', with her cargo and crew, had completely disappeared, while the signalman, near at hand, slept peacefully, undisturbed by her crashing timbers, or the shouts of the drowning seamen.	The 'Ecliptic', with her cargo and crew, had completely disappeared, while the signalman, near at hand, slept peacefully, undisturbed by her crashing timbers, or the shouts of the drowning seamen.	true	318.59	330.28	23.906837
4860_13185_000006_000003	Ratcliff was not a seer, and had no mystical lore. He was a runaway sailor, who had, in the forties, travelled daily over the Egerton run, unconscious of the tons of gold beneath his feet.	Ratcliff was not a seer, and had no mystical lore. He was a runaway sailor, who had, in the forties, travelled daily over the Egerton run, unconscious of the tons of gold beneath his feet.	true	331.07	343.24	22.913893
4860_13185_000007_000000	There was a fair wind and a smooth sea when the 'Clonmel' went ashore at three o'clock in the morning of the second day of January, 1841. Eighteen hours before she had taken a fresh departure from Ram's Head to Wilson's Promontory.	There was a fair wind and a smooth sea when the 'Clonmel' went ashore at three o'clock in the morning of the second day of January, eighteen forty one. Eighteen hours before she had taken a fresh departure from Ram's Head to Wilson's Promontory.	true	344.33	359.35	24.075377
4860_13185_000007_000001	The anchors were let go, she swung to wind, and at the fall of the tide she bedded herself securely in the sand, her hull, machinery, and cargo uninjured.	The anchors were let go, she swung to wind, and at the fall of the tide she bedded herself securely in the sand, her hull, machinery, and cargo uninjured.	true	359.69	370.15	20.897589
4860_13185_000007_000002	The seventy-five passengers and crew were safely landed; sails, lumber, and provisions were taken ashore in the whaleboats and quarter-boats; tents were erected; the food supplies were stowed away under a capsized boat, and a guard set over them by Captain Tollervey.	The seventy five passengers and crew were safely landed; sails, lumber, and provisions were taken ashore in the whaleboats and quarter boats; tents were erected; the food supplies were stowed away under a capsized boat, and a guard set over them by Captain Tollervey.	true	370.34	386.44	23.37522
4860_13185_000008_000000	Next morning seven volunteers launched one of the whaleboats, boarded the steamer, took in provisions, made a lug out of a piece of canvas, hoisted the Union Jack to the mainmast upside down, and pulled safely away from the 'Clonmel' against a head wind.	Next morning seven volunteers launched one of the whaleboats, boarded the steamer, took in provisions, made a lug out of a piece of canvas, hoisted the Union Jack to the mainmast upside down, and pulled safely away from the 'Clonmel' against a head wind.	true	386.6	402.57	22.195597
4860_13185_000008_000001	They hoisted the lug and ran for one of the Seal Islands, where they found a snug little cove, ate a hearty meal, and rested for three hours.	They hoisted the lug and ran for one of the Seal Islands, where they found a snug little cove, ate a hearty meal, and rested for three hours.	true	402.57	410.59	21.562689
4860_13185_000008_000002	They then pulled for the mainland, and reached Sealer's Cove about midnight, where they landed, cooked supper, and passed the rest of the night in the boat for fear of the blacks.	They then pulled for the mainland, and reached Sealer's Cove about midnight, where they landed, cooked supper, and passed the rest of the night in the boat for fear of the blacks.	true	410.75	421.51	25.03867
4860_13185_000009_000000	Next morning three men went ashore for water and filled the breaker, when they saw three blacks coming down towards them; so they hurried on board, and the anchor was hauled up.	Next morning three men went ashore for water and filled the breaker, when they saw three blacks coming down towards them; so they hurried on board, and the anchor was hauled up.	true	421.94	432.25	23.095387
4860_13185_000010_000000	As the wind was coming from the east, they had to pull for four hours before they weathered the southern point of the cove; they then hoisted sail and ran for Wilson's Promentory, which they rounded at ten o'clock a.m.	As the wind was coming from the east, they had to pull for four hours before they weathered the southern point of the cove; they then hoisted sail and ran for Wilson's Promentory, which they rounded at ten o'clock a.m.	false	432.74	445.78	23.681145
4860_13185_000010_000001	At eight o'clock in the evening they brought up in a small bay at the eastern extremity of Western Port, glad to get ashore and stretch their weary limbs.	At eight o'clock in the evening they brought up in a small bay at the eastern extremity of Western Port, glad to get ashore and stretch their weary limbs.	true	446.42	456.15	25.597776
4860_13185_000010_000002	After a night's refreshing repose on the sandy beach, they started at break of day, sailing along very fast with a strong and steady breeze from the east, although they were in danger of being swamped, as the sea broke over the boat repeatedly.	After a night's refreshing repose on the sandy beach, they started at break of day, sailing along very fast with a strong and steady breeze from the east, although they were in danger of being swamped, as the sea broke over the boat repeatedly.	true	456.15	470.23	23.315632
4860_13185_000010_000003	At two o'clock p.m. they were abreast of Port Philip Heads; but they found a strong ebb tide, with such a ripple and broken water that they did not consider it prudent to run over it.	At two o'clock p.m. they were abreast of Port Philip Heads; but they found a strong ebb tide, with such a ripple and broken water that they did not consider it prudent to run over it.	true	470.36	481.245	26.409386
4860_13185_000010_000004	They therefore put the boat's head to windward and waited for four hours, when they saw a cutter bearing down on them, which proved to be 'The Sisters', Captain Mulholland, who took the boat in tow and landed them at Williamstown at eleven o'clock p.m., sixty-three hours from the time they left the 'Clonmel'.	They therefore put the boat's head to windward and waited for four hours, when they saw a cutter bearing down on them, which proved to be 'The Sisters', Captain Mulholland, who took the boat in tow and landed them at Williamstown at eleven o'clock p.m., sixty three hours from the time they left the 'Clonmel'.	false	481.245	499.66	22.4119
4860_13185_000011_000000	Captain Lewis, the harbour master, went to rescue the crew and passengers and brought them all to Melbourne, together with the mails, which had been landed on the island since known by the name of the 'Clonmel'.	Captain Lewis, the harbour master, went to rescue the crew and passengers and brought them all to Melbourne, together with the mails, which had been landed on the island since known by the name of the 'Clonmel'.	true	499.79	510.34	21
4860_13185_000012_000000	For fifty-two years the black boilers of the 'Clonmel' have lain half buried in the sandspit, and they may still be seen among the breakers from the deck of every vessel sailing up the channel to Port Albert.	For fifty two years the black boilers of the 'Clonmel' have lain half buried in the sandspit, and they may still be seen among the breakers from the deck of every vessel sailing up the channel to Port Albert.	true	510.44	521.745	23.20847
4860_13185_000013_000000	The 'Clonmel', with her valuable cargo, was sold in Sydney, and the purchaser, Mr. Grose, set about the business of making his fortune out of her.	The 'Clonmel', with her valuable cargo, was sold in Sydney, and the purchaser, mr Grose, set about the business of making his fortune out of her.	true	521.745	529.38	21.088778
4860_13185_000013_000001	He sent a party of wreckers who pitched their camps on Snake Island, where they had plenty of grass, scrub, and timber.	He sent a party of wreckers who pitched their camps on Snake Island, where they had plenty of grass, scrub, and timber.	true	529.38	536.055	23.1352
4860_13185_000013_000002	The work of taking out the cargo was continued under various captains for six years, and then Mr. Grose lost a schooner and was himself landed in the Court of Insolvency.	The work of taking out the cargo was continued under various captains for six years, and then mr Grose lost a schooner and was himself landed in the Court of Insolvency.	true	536.055	545.62	24
4860_13185_000014_000000	While the pioneers at the Old Port were on the verge of starvation, the 'Clonmel' men were living in luxury.	While the pioneers at the Old Port were on the verge of starvation, the 'Clonmel' men were living in luxury.	true	545.69	552.78	19.956797
4860_13185_000014_000001	They had all the blessings both of land and sea--corned beef, salt pork, potatoes, plum-duff, tea, sugar, coffee, wine, beer, spirits, and tobacco from the cargo of the 'Clonmel', and oysters without end from a neighbouring lagoon. They constructed a large square punt, which they filled with cargo daily, wind and weather permitting; at other times they rested from their labours, or roamed about the island shooting birds or hunting kangaroo.	They had all the blessings both of land and sea-corned beef, salt pork, potatoes, plum duff, tea, sugar, coffee, wine, beer, spirits, and tobacco from the cargo of the 'Clonmel', and oysters without end from a neighbouring lagoon. They constructed a large square punt, which they filled with cargo daily, wind and weather permitting; at other times they rested from their labours, or roamed about the island shooting birds or hunting kangaroo.	false	552.78	580.33	22.330336
4860_13185_000014_000002	They saw no other inhabitants, and believed that no black lucifer had as yet entered their island garden; but, though unseen, he was watching them and all their works.	They saw no other inhabitants, and believed that no black lucifer had as yet entered their island garden; but, though unseen, he was watching them and all their works.	false	580.58	593.29	21.409952
4860_13185_000015_000000	One morning the wreckers had gone to the wreck; a man named Kennedy was left in charge of the camp; Sambo, the black cook, was attending to his duties at the fire; and Mrs. Kennedy, the only lady of the party, was at the water hole washing clothes.	One morning the wreckers had gone to the wreck; a man named Kennedy was left in charge of the camp; Sambo, the black cook, was attending to his duties at the fire; and mrs Kennedy, the only lady of the party, was at the water hole washing clothes.	true	593.36	609.01	24.045292
4860_13185_000015_000001	Her husband had left the camp with his gun in the hope of shooting some wattle birds, which were then fat with feeding on the sweet blossoms of the honeysuckle.	Her husband had left the camp with his gun in the hope of shooting some wattle birds, which were then fat with feeding on the sweet blossoms of the honeysuckle.	true	609.44	617.71	24.567148
4860_13185_000015_000002	He was sitting on a log near the water-hole talking to his wife, who had just laid out to dry on the bushes three coloured shirts and a lilac dress.	He was sitting on a log near the water hole talking to his wife, who had just laid out to dry on the bushes three coloured shirts and a lilac dress.	false	618.05	626.38	23.562193
4860_13185_000015_000003	She stood with her hands on her hips, pensively contemplating the garments.	She stood with her hands on her hips, pensively contemplating the garments.	true	626.93	630.94	21.306665
4860_13185_000015_000004	She had her troubles, and was turning them over in her mind, while her husband was thinking of something else quite different.	She had her troubles, and was turning them over in her mind, while her husband was thinking of something else quite different.	true	631.07	638.28	24.708057
4860_13185_000015_000005	It is, I believe, a thing that often happens.	It is, I believe, a thing that often happens.	true	638.28	640.815	26.661663
4860_13185_000016_000000	"I am thinking, Flora," he said, "that this would be a grand island to live on--far better than Skye, because it has no rocks on it.	"I am thinking, Flora," he said, "that this would be a grand island to live on-far better than Skye, because it has no rocks on it.	true	640.815	649.38	27.280813
4860_13185_000016_000001	I would like to haf it for a station.	I would like to haf it for a station.	false	649.38	651.31	25.188828
4860_13185_000016_000002	I could put sheep and cattle on it, and they could not go away nor be lifted, because there is deep water all round it; and we would haf plenty of beef, and mutton, and wool, and game, and fish, and oysters.	I could put sheep and cattle on it, and they could not go away nor be lifted, because there is deep water all round it; and we would haf plenty of beef, and mutton, and wool, and game, and fish, and oysters.	false	651.32	664.51	23.631685
4860_13185_000016_000003	We could make a garden and haf plenty of kail, and potatoes, and apples."	We could make a garden and haf plenty of kail, and potatoes, and apples."	false	664.52	668.64	24.209112
4860_13185_000017_000000	"It's all ferry well, Donald," she replied, "for you to be talking about sheep, and cattle, and apples; but I'd like to know wherefer we would be getting the money to buy the sheep and cattle?	"It's all ferry well, Donald," she replied, "for you to be talking about sheep, and cattle, and apples; but I'd like to know wherefer we would be getting the money to buy the sheep and cattle?	false	668.64	678.1	28.345995
4860_13185_000017_000001	And who would like to live here for efer a thousand miles from decent neebors?	And who would like to live here for efer a thousand miles from decent neebors?	false	678.11	682.02	22.447412
4860_13185_000017_000002	And that's my best goon, and it's getting fery shabby; and wherefer I'm to get another goon in a country like this I'm thinking I don't know."	And that's my best goon, and it's getting fery shabby; and wherefer I'm to get another goon in a country like this I'm thinking I don't know."	false	682.02	690.07	27.803654
4860_13185_000018_000000	Donald thought his wife was troubling herself about mere trifles, but before he had time to say so, a blackfellow snatched his gun from across his knees, another hit him on the head with a waddy, and a third did the same to Flora and the unfortunate couple lay senseless on the ground.	Donald thought his wife was troubling herself about mere trifles, but before he had time to say so, a blackfellow snatched his gun from across his knees, another hit him on the head with a waddy, and a third did the same to Flora and the unfortunate couple lay senseless on the ground.	false	690.53	708.1	22.317822
4860_13185_000018_000001	Their hopes and troubles had come to a sudden end.	Their hopes and troubles had come to a sudden end.	true	708.47	712.12	23.826866
4860_13185_000019_000000	This onslaught had been made by four blacks, who now made a bundle of the clothes, and carried them and the gun away, going towards the camp in search of more plunder.	This onslaught had been made by four blacks, who now made a bundle of the clothes, and carried them and the gun away, going towards the camp in search of more plunder.	false	712.52	721.75	21.157228
4860_13185_000019_000001	The tents occupied by the wreckers had been enclosed in a thick hedge of scrub to protect them from the drifting sand.	The tents occupied by the wreckers had been enclosed in a thick hedge of scrub to protect them from the drifting sand.	true	722.15	728.05	23.4829
4860_13185_000019_000002	There was only one opening in the hedge, through which the blacks could see Sambo cooking the wreckers' dinner before a fire.	There was only one opening in the hedge, through which the blacks could see Sambo cooking the wreckers' dinner before a fire.	true	728.27	734.89	24.23847
4860_13185_000019_000003	His head was bare, and he was enjoying the genial heat of early summer, singing snatches of the melodies of Old Virginny.	His head was bare, and he was enjoying the genial heat of early summer, singing snatches of the melodies of Old Virginny.	true	735.23	743.68	19.890396
4860_13185_000020_000000	The hearing of the Australian aboriginal is acute, and his talent for mimicry astonishing; he can imitate the notes of every bird and the call of every animal with perfect accuracy.	The hearing of the Australian aboriginal is acute, and his talent for mimicry astonishing; he can imitate the notes of every bird and the call of every animal with perfect accuracy.	true	743.81	755.17	25.539377
4860_13185_000021_000000	Sambo's senseless song enchanted the four blacks.	Sambo's senseless song enchanted the four blacks.	true	755.24	758.56	19.81989
4860_13185_000021_000001	It was first heard with tremendous applause in New Orleans, it was received with enthusiasm by every audience in the Great Republic, and it had been the delight of every theatre in the British Empire.	It was first heard with tremendous applause in New Orleans, it was received with enthusiasm by every audience in the Great Republic, and it had been the delight of every theatre in the British Empire.	true	758.84	770.83	21.571764
4860_13185_000021_000002	It may be said that "jim Crow" buried the legitimate drama and danced on its grave.	It may be said that "jim Crow" buried the legitimate drama and danced on its grave.	true	770.96	777.04	17.92485
4860_13185_000021_000003	It really seemed to justify the severe judgment passed on us by the sage of Chelsea, that we were "sixteen millions, mostly fools." No air was ever at the same time so silly and so successful as "Jim Crow." But there was life in it, and it certainly prolonged that of Sambo, for as the four savages crouched behind the hedge listening to the	It really seemed to justify the severe judgment passed on us by the sage of Chelsea, that we were "sixteen millions, mostly fools." No air was ever at the same time so silly and so successful as "Jim Crow." But there was life in it, and it certainly prolonged that of Sambo, for as the four savages crouched behind the hedge listening to the	false	777.23	800.07	20.856783
4860_13185_000022_000000	"Turn about and wheel about, and do just so, And ebery time I turn about I jump Jim Crow,"	"Turn about and wheel about, and do just so, And ebery time I turn about I jump Jim Crow,"	false	800.07	809.16	21.236006
4860_13185_000023_000000	they forgot their murderous errand.	they forgot their murderous errand.	true	809.16	811.33	23.740133
4860_13185_000024_000000	At last there was an echo of the closing words which seemed to come from a large gum tree beyond the tents, against which a ladder had been reared to the forks, used for the purpose of a look-out by Captain Leebrace.	At last there was an echo of the closing words which seemed to come from a large gum tree beyond the tents, against which a ladder had been reared to the forks, used for the purpose of a look out by Captain Leebrace.	true	812.15	823.99	23
4860_13185_000025_000000	Sambo paused, looked up to the gum tree, and said, "By golly, who's dere?"	Sambo paused, looked up to the gum tree, and said, "By golly, who's dere?"	false	824.33	830.71	21.056604
4860_13185_000025_000001	The echo was repeated, and then he wheeled about in real earnest, transfixed with horror, unable to move a limb.	The echo was repeated, and then he wheeled about in real earnest, transfixed with horror, unable to move a limb.	true	831.14	838.75	24.153708
4860_13185_000025_000002	The blacks were close to him now, but even their colour could not restore his courage.	The blacks were close to him now, but even their colour could not restore his courage.	true	838.76	843.465	30.613876
4860_13185_000025_000003	They were cannibals, and were preparing to kill and eat him.	They were cannibals, and were preparing to kill and eat him.	false	843.465	846.81	25.972801
4860_13185_000025_000004	But first they examined their game critically, poking their fingers about him, pinching him in various parts of the body, stroking his broad nose and ample lips with evident admiration, and trying to pull out the curls on his woolly head.	But first they examined their game critically, poking their fingers about him, pinching him in various parts of the body, stroking his broad nose and ample lips with evident admiration, and trying to pull out the curls on his woolly head.	true	846.81	860.89	23.583466
4860_13185_000026_000000	Sambo was usually proud of his personal appearance, but just now fear prevented him from enjoying the applause of the strangers.	Sambo was usually proud of his personal appearance, but just now fear prevented him from enjoying the applause of the strangers.	true	860.96	868.81	22.675175
4860_13185_000027_000000	At length he recovered his presence of mind sufficiently to make an effort to avert his impending doom.	At length he recovered his presence of mind sufficiently to make an effort to avert his impending doom.	true	869.33	874.93	25.474625
4860_13185_000027_000001	If the blacks could be induced to eat the dinner he was cooking their attention to himself might be diverted, and their appetites appeased, so he pointed towards the pots, saying, "Plenty beef, pork, plum duff."	If the blacks could be induced to eat the dinner he was cooking their attention to himself might be diverted, and their appetites appeased, so he pointed towards the pots, saying, "Plenty beef, pork, plum duff."	true	875.3	888.07	24.506636
4860_13185_000028_000000	The blacks seemed to understand his meaning, and they began to inspect the dinner; so instead of taking the food like sensible men, they upset all the pots with their waddies, and scattered the beef, pork, plum duff and potatoes, so that they were covered with sand and completely spoiled.	The blacks seemed to understand his meaning, and they began to inspect the dinner; so instead of taking the food like sensible men, they upset all the pots with their waddies, and scattered the beef, pork, plum duff and potatoes, so that they were covered with sand and completely spoiled.	true	888.14	903.84	22.3707
4860_13185_000029_000000	Two of the blacks next peered into the nearest tent, and seeing some knives and forks, took possession of them.	Two of the blacks next peered into the nearest tent, and seeing some knives and forks, took possession of them.	false	903.84	910.365	23.162167
4860_13185_000029_000001	But there was a sound of voices from the waterhole, and they quickly gathered together their stolen goods and disappeared.	But there was a sound of voices from the waterhole, and they quickly gathered together their stolen goods and disappeared.	true	910.365	916.36	21.211699
4860_13185_000029_000002	In a few minutes Captain Leebrace and the wreckers arrived at the camp, bringing with them Kennedy and his wife, who had recovered their senses, and were able to tell what had happened.	In a few minutes Captain Leebrace and the wreckers arrived at the camp, bringing with them Kennedy and his wife, who had recovered their senses, and were able to tell what had happened.	true	916.67	926.68	21.549232
4860_13185_000030_000000	"Black debbils been heah, cappen, done spoil all de dinner, and run away wid de knives and forks," Sambo said.	"Black debbils been heah, cappen, done spoil all de dinner, and run away wid de knives and forks," Sambo said.	false	926.69	934.78	21.942924
4860_13185_000031_000000	Captain Leebrace soon resolved on a course of reprisals.	Captain Leebrace soon resolved on a course of reprisals.	true	935.15	939.07	20.17906
4860_13185_000031_000001	He went up the ladder to the forks of the gum tree with his telescope, and soon obtained a view of the retreating thieves, appearing occasionally and disappearing among the long grass and timber; and after observing the course they were taking he came down the ladder.	He went up the ladder to the forks of the gum tree with his telescope, and soon obtained a view of the retreating thieves, appearing occasionally and disappearing among the long grass and timber; and after observing the course they were taking he came down the ladder.	true	939.23	953.86	23.769941
4860_13185_000031_000002	He selected two of his most trustworthy men, and armed them and himself with double-barrelled guns, one barrel being smooth bore and the other rifled, weapons suitable for game both large and small.	He selected two of his most trustworthy men, and armed them and himself with double barrelled guns, one barrel being smooth bore and the other rifled, weapons suitable for game both large and small.	true	953.99	966.79	21.593481
4860_13185_000031_000003	During the pursuit the captain every now and then, from behind a tree, searched for the enemy with his telescope, until at last he could see that they had halted, and had joined a number of their tribe.	During the pursuit the captain every now and then, from behind a tree, searched for the enemy with his telescope, until at last he could see that they had halted, and had joined a number of their tribe.	true	966.89	978.18	23.30181
4860_13185_000031_000004	He judged that the blacks, if they suspected that the white men would follow them, would direct their looks principally towards the tents, so he made a wide circuit to the left.	He judged that the blacks, if they suspected that the white men would follow them, would direct their looks principally towards the tents, so he made a wide circuit to the left.	false	978.18	987.76	22.790522
4860_13185_000031_000005	Then he and his men crept slowly along the ground until they arrived within short range of the natives.	Then he and his men crept slowly along the ground until they arrived within short range of the natives.	false	987.98	994.69	20.95799
4860_13185_000032_000000	Three of the blacks were wearing the stolen shirts, a fourth had put on the lilac dress, and they were strutting around to display their brave apparel just like white folks.	Three of the blacks were wearing the stolen shirts, a fourth had put on the lilac dress, and they were strutting around to display their brave apparel just like white folks.	true	995.21	1004.68	21.483427
4860_13185_000032_000001	The savage man retains all finery for his own personal adornment, and never wastes any of it on his despicable wife, but still Captain Leebrace had some doubt in the matter.	The savage man retains all finery for his own personal adornment, and never wastes any of it on his despicable wife, but still Captain Leebrace had some doubt in the matter.	false	1005.02	1016.53	23.358505
4860_13185_000032_000002	He whispered to his men, "I don't like to shoot at a gown; there may be a lubra in it, but I'll take the middle fellow in the shirt, and you take the other two, one to the right, the other to the left; when I say one, two, three, fire."	He whispered to his men, "I don't like to shoot at a gown; there may be a lubra in it, but I'll take the middle fellow in the shirt, and you take the other two, one to the right, the other to the left; when I say one, two, three, fire."	true	1016.66	1035.82	23.233614
