4860_13185_000000_000000	THE ISLE OF BLASTED HOPES.	THE ISLE OF BLASTED HOPES.
4860_13185_000031_000002	He selected two of his most trustworthy men, and armed them and himself with double-barrelled guns, one barrel being smooth bore and the other rifled, weapons suitable for game both large and small.	He selected two of his most trustworthy men, and armed them and himself with double barrelled guns, one barrel being smooth bore and the other rifled, weapons suitable for game both large and small.
4860_13185_000031_000003	During the pursuit the captain every now and then, from behind a tree, searched for the enemy with his telescope, until at last he could see that they had halted, and had joined a number of their tribe.	During the pursuit the captain every now and then, from behind a tree, searched for the enemy with his telescope, until at last he could see that they had halted, and had joined a number of their tribe.
4860_13185_000032_000000	Three of the blacks were wearing the stolen shirts, a fourth had put on the lilac dress, and they were strutting around to display their brave apparel just like white folks.	Three of the blacks were wearing the stolen shirts, a fourth had put on the lilac dress, and they were strutting around to display their brave apparel just like white folks.
4860_13185_000032_000002	He whispered to his men, "I don't like to shoot at a gown; there may be a lubra in it, but I'll take the middle fellow in the shirt, and you take the other two, one to the right, the other to the left; when I say one, two, three, fire."	He whispered to his men, "I don't like to shoot at a gown; there may be a lubra in it, but I'll take the middle fellow in the shirt, and you take the other two, one to the right, the other to the left; when I say one, two, three, fire."
4860_13185_000035_000000	The men who had guns--Campbell, Shay, and Davy--fetched them out of their huts and stood ready to receive the enemy; even McClure, although very weak, left his bed and came outside to assist in the fight.	The men who had guns-Campbell, Shay, and Davy-fetched them out of their huts and stood ready to receive the enemy; even McClure, although very weak, left his bed and came outside to assist in the fight.
4860_13185_000035_000002	They were not in hundreds, as the boys imagined, their number apparently not exceeding forty; but it was evident that they were threatening death and destruction to the invaders of their territory.	They were not in hundreds, as the boys imagined, their number apparently not exceeding forty; but it was evident that they were threatening death and destruction to the invaders of their territory.
4860_13185_000035_000003	None, however, but the very bravest ventured far into the cleared space, and they showed no disposition to make a rush or anything like a concerted attack.	None, however, but the very bravest ventured far into the cleared space, and they showed no disposition to make a rush or anything like a concerted attack.
4860_13185_000037_000000	He went into his store to get the charge ready.	He went into his store to get the charge ready.
4860_13185_000037_000001	He tied some powder tightly in a piece of calico and rammed it home.	He tied some powder tightly in a piece of calico and rammed it home.
4860_13185_000037_000002	On this he put a nine-pound shot; but, reflecting that the aim at the dancing savages would be uncertain, he put in a double charge, consisting of some broken glass and a handful of nails.	On this he put a nine pound shot; but, reflecting that the aim at the dancing savages would be uncertain, he put in a double charge, consisting of some broken glass and a handful of nails.
4860_13185_000038_000000	He then thrust a wooden skewer down the touch-hole into the powder bag below, primed and directed the piece towards the scrub, giving it, as he judged, sufficient elevation to send the charge among the thickest of the foe.	He then thrust a wooden skewer down the touch hole into the powder bag below, primed and directed the piece towards the scrub, giving it, as he judged, sufficient elevation to send the charge among the thickest of the foe.
4860_13185_000038_000002	He then selected a long piece of bark, which he lighted at the fire, and, standing behind an angle of the building, he applied the light to the touch-hole.	He then selected a long piece of bark, which he lighted at the fire, and, standing behind an angle of the building, he applied the light to the touch hole.
4860_13185_000038_000003	Every man was watching the scrub to see the effect of the discharge.	Every man was watching the scrub to see the effect of the discharge.
4860_13185_000038_000004	There was a fearful explosion, succeeded by shrieks of horror and fear from the blacks, as the ball and nails and broken glass went whistling over their heads through the trees.	There was a fearful explosion, succeeded by shrieks of horror and fear from the blacks, as the ball and nails and broken glass went whistling over their heads through the trees.
4860_13185_000038_000005	Then there was a moment of complete silence.	Then there was a moment of complete silence.
4860_13185_000038_000006	Campbell, like a skilful general, ordered his men to pursue at once the flying foe, in order to reap to the full the fruits of victory, and they ran across the open ground to deliver a volley; but on arriving at the scrub no foe was to be seen, either dead or alive.	Campbell, like a skilful general, ordered his men to pursue at once the flying foe, in order to reap to the full the fruits of victory, and they ran across the open ground to deliver a volley; but on arriving at the scrub no foe was to be seen, either dead or alive.
4860_13185_000038_000007	The elevation of the artillery had been too great, and the missiles had passed overhead; but the result was all that could be hoped for, for two months afterwards not a single native was visible.	The elevation of the artillery had been too great, and the missiles had passed overhead; but the result was all that could be hoped for, for two months afterwards not a single native was visible.
4860_13185_000039_000000	Two victories had been gained by the pioneers, and it was felt that they deserved some commemoration.	Two victories had been gained by the pioneers, and it was felt that they deserved some commemoration.
4860_13185_000039_000002	The twelve canoes, the spoils of victory, were of little value; they were placed on the camp fire one after another, and reduced to ashes.	The twelve canoes, the spoils of victory, were of little value; they were placed on the camp fire one after another, and reduced to ashes.
4860_13185_000040_000001	They dipped pannikins of tea out of the iron pot.	They dipped pannikins of tea out of the iron pot.
4860_13185_000041_000000	When Burke and Wills were starving at Cooper's Creek on a diet of nardoo, the latter recorded in his diary that what the food wanted was sugar; he believed that nardoo and sugar would keep him alive. The pioneers at the Old Port were convinced that their great want was fat; with that their supper would have been perfect.	When Burke and Wills were starving at Cooper's Creek on a diet of nardoo, the latter recorded in his diary that what the food wanted was sugar; he believed that nardoo and sugar would keep him alive. The pioneers at the Old Port were convinced that their great want was fat; with that their supper would have been perfect.
4860_13185_000042_000000	McClure was dying of consumption as everybody knew but himself; he could not believe that he had come so far from home only to die, and he joined the revellers at the camp fire.	McClure was dying of consumption as everybody knew but himself; he could not believe that he had come so far from home only to die, and he joined the revellers at the camp fire.
4860_13185_000042_000001	He said to kindly enquirers that he felt quite well, and would soon regain his strength.	He said to kindly enquirers that he felt quite well, and would soon regain his strength.
4860_13185_000042_000002	Before that terrible journey over the mountains he had been the life and soul of the Port.	Before that terrible journey over the mountains he had been the life and soul of the Port.
4860_13185_000042_000003	He could play on the violin, on the bagpipes--both Scotch and Irish--and he was always so pleasant and cheerful, looking as innocent as a child, that no one could be long dispirited in his company, and the most impatient growler became ashamed of himself.	He could play on the violin, on the bagpipes-both Scotch and Irish-and he was always so pleasant and cheerful, looking as innocent as a child, that no one could be long dispirited in his company, and the most impatient growler became ashamed of himself.
4860_13185_000044_000000	But by degrees the musician grew weary, and began to play odds and ends of old tunes, sacred and profane.	But by degrees the musician grew weary, and began to play odds and ends of old tunes, sacred and profane.
4860_13185_000048_000000	He went into his tent.	He went into his tent.
4860_13185_000048_000001	It was high tide, and there was a gentle swish of long low waves lapping the sandy beach.	It was high tide, and there was a gentle swish of long low waves lapping the sandy beach.
4860_13185_000048_000002	The night wind sighed a soothing lullaby through the spines of the she-oak, and his spirit passed peacefully away with the ebb.	The night wind sighed a soothing lullaby through the spines of the she oak, and his spirit passed peacefully away with the ebb.
4860_13185_000048_000003	He was the first man who died at the Old Port, and he was buried on the bank of the river where Friday first saw its waters flowing towards the mountain.	He was the first man who died at the Old Port, and he was buried on the bank of the river where Friday first saw its waters flowing towards the mountain.
