5606_54666_000000_000000	Everything was oppressively new.	Everything was oppressively new.	true	25.155	27.765	19.898106
5606_54666_000002_000006	Had I seen him under ordinary circumstances, I should have set him down as a little-minded man; a small tyrant in his own way over those dependent on him; a pompous parasite to those above him--a great stickler for the conventional respectabilities of life, and a great believer in his own infallibility.	Had I seen him under ordinary circumstances, I should have set him down as a little minded man; a small tyrant in his own way over those dependent on him; a pompous parasite to those above him-a great stickler for the conventional respectabilities of life, and a great believer in his own infallibility.	false	193.67	212.59	20.187635
5606_54666_000002_000007	But he was Margaret's father; and I was determined to be pleased with him.	But he was Margaret's father; and I was determined to be pleased with him.	true	212.81	217.78	21.324528
5606_54666_000003_000000	He made me a low and rather a cringing bow--then looked to the window, and seeing the carriage waiting for me at his door, made another bow, and insisted on relieving me of my hat with his own hand.	He made me a low and rather a cringing bow-then looked to the window, and seeing the carriage waiting for me at his door, made another bow, and insisted on relieving me of my hat with his own hand.	true	217.91	230.08	16
5606_54666_000003_000001	This done, he coughed, and begged to know what he could do for me.	This done, he coughed, and begged to know what he could do for me.	true	230.36	234.43	22.81021
5606_54666_000004_000000	I felt some difficulty in opening my business to him.	I felt some difficulty in opening my business to him.	true	234.92	238.18	19.651672
5606_54666_000004_000001	It was necessary to speak, however, at once--I began with an apology.	It was necessary to speak, however, at once-I began with an apology.	true	238.37	242.71	19.85457
5606_54666_000005_000000	"I am afraid, Mr. Sherwin, that this intrusion on the part of a perfect stranger--"	"I am afraid, mr Sherwin, that this intrusion on the part of a perfect stranger-"	true	243.02	247.78	19
5606_54666_000006_000000	"Not entirely a stranger, Sir, if I may be allowed to say so."	"Not entirely a stranger, Sir, if I may be allowed to say so."	true	247.94	251.65	18
5606_54666_000007_000000	"Indeed!"	"Indeed!"	true	252.05	253.45	21.977903
5606_54666_000008_000000	"I had the great pleasure, Sir, and profit, and--and, indeed, advantage--of being shown over your town residence last year, when the family were absent from London.	"I had the great pleasure, Sir, and profit, and-and, indeed, advantage-of being shown over your town residence last year, when the family were absent from London.	true	254.06	263.58	17
5606_54666_000008_000001	A very beautiful house--I happen to be acquainted with the steward of your respected father: he was kind enough to allow me to walk through the rooms.	A very beautiful house-I happen to be acquainted with the steward of your respected father: he was kind enough to allow me to walk through the rooms.	false	263.58	272.2	20.496126
5606_54666_000008_000002	A treat; quite an intellectual treat--the furniture and hangings, and so on, arranged in such a chaste style--and the pictures, some of the finest pieces I ever saw--I was delighted--quite delighted, indeed."	A treat; quite an intellectual treat-the furniture and hangings, and so on, arranged in such a chaste style-and the pictures, some of the finest pieces I ever saw-I was delighted-quite delighted, indeed."	false	272.33	286.21	21.148188
5606_54666_000009_000000	He spoke in under-tones, laying great stress upon particular words that were evidently favourites with him--such as, "indeed." Not only his eyes, but his whole face, seemed to be nervously blinking and winking all the time he was addressing me, In the embarrassment and anxiety which I then felt, this peculiarity fidgetted and bewildered me more than I can describe.	He spoke in under tones, laying great stress upon particular words that were evidently favourites with him-such as, "indeed." Not only his eyes, but his whole face, seemed to be nervously blinking and winking all the time he was addressing me, In the embarrassment and anxiety which I then felt, this peculiarity fidgetted and bewildered me more than I can describe.	true	287.18	310.69	18.544546
5606_54666_000009_000001	I would have given the world to have had his back turned, before I spoke to him again.	I would have given the world to have had his back turned, before I spoke to him again.	true	310.85	315.28	18
5606_54666_000010_000000	"I am delighted to hear that my family and my name are not unknown to you, Mr. Sherwin," I resumed.	"I am delighted to hear that my family and my name are not unknown to you, mr Sherwin," I resumed.	false	315.92	321.73	14
5606_54666_000010_000001	"Under those circumstances, I shall feel less hesitation and difficulty in making you acquainted with the object of my visit."	"Under those circumstances, I shall feel less hesitation and difficulty in making you acquainted with the object of my visit."	true	321.86	328.12	14
5606_54666_000011_000000	"Just so.	"Just so.	true	328.52	329.34	13.674984
5606_54666_000011_000001	May I offer you anything?--a glass of sherry, a--"	May I offer you anything?--a glass of sherry, a-"	false	329.34	332.67	10
5606_54666_000012_000000	"Nothing, thank you.	"Nothing, thank you.	true	332.67	334.18	19.171947
5606_54666_000012_000001	In the first place, Mr. Sherwin, I have reasons for wishing that this interview, whatever results it may lead to, may be considered strictly confidential.	In the first place, mr Sherwin, I have reasons for wishing that this interview, whatever results it may lead to, may be considered strictly confidential.	false	334.67	343.56	13
5606_54666_000012_000002	I am sure I can depend on your favouring me thus far?"	I am sure I can depend on your favouring me thus far?"	true	343.56	346.42	11
5606_54666_000013_000000	"Certainly--most certainly--the strictest secrecy of course--pray go on."	"Certainly-most certainly-the strictest secrecy of course-pray go on."	true	347.33	352.24	19.393894
5606_54666_000014_000000	He drew his chair a little nearer to me.	He drew his chair a little nearer to me.	true	352.64	355	14
5606_54666_000014_000001	Through all his blinking and winking, I could see a latent expression of cunning and curiosity in his eyes.	Through all his blinking and winking, I could see a latent expression of cunning and curiosity in his eyes.	true	355.19	361.18	14
5606_54666_000014_000002	My card was in his hand: he was nervously rolling and unrolling it, without a moment's cessation, in his anxiety to hear what I had to say.	My card was in his hand: he was nervously rolling and unrolling it, without a moment's cessation, in his anxiety to hear what I had to say.	true	361.43	370.42	16
5606_54666_000015_000000	"I must also beg you to suspend your judgment until you have heard me to the end.	"I must also beg you to suspend your judgment until you have heard me to the end.	true	371	375.31	16
5606_54666_000015_000001	You may be disposed to view--to view, I say, unfavourably at first--in short, Mr. Sherwin, without further preface, the object of my visit is connected with your daughter, with Miss Margaret Sherwin--"	You may be disposed to view-to view, I say, unfavourably at first-in short, mr Sherwin, without further preface, the object of my visit is connected with your daughter, with Miss Margaret Sherwin-"	false	375.56	388.21	18
5606_54666_000016_000000	"My daughter!	"My daughter!	true	388.64	389.895	22.098907
5606_54666_000016_000001	Bless my soul--God bless my soul, I really can't imagine--"	Bless my soul-God bless my soul, I really can't imagine-"	false	389.895	394.51	18
5606_54666_000017_000000	He stopped, half-breathless, bending forward towards me, and crumpling my card between his fingers into the smallest possible dimensions.	He stopped, half breathless, bending forward towards me, and crumpling my card between his fingers into the smallest possible dimensions.	true	394.73	403.09	19.099585
5606_54666_000018_000000	"Rather more than a week ago," I continued, "I accidentally met Miss Sherwin in an omnibus, accompanied by a lady older than herself--"	"Rather more than a week ago," I continued, "I accidentally met Miss Sherwin in an omnibus, accompanied by a lady older than herself-"	true	403.97	411.525	14
5606_54666_000019_000000	"My wife; Mrs. Sherwin," he said, impatiently motioning with his hand, as if "Mrs. Sherwin" were some insignificant obstacle to the conversation, which he wished to clear out of the way as fast as possible.	"My wife; mrs Sherwin," he said, impatiently motioning with his hand, as if "mrs Sherwin" were some insignificant obstacle to the conversation, which he wished to clear out of the way as fast as possible.	true	411.525	423.82	18
5606_54666_000020_000000	"You will not probably be surprised to hear that I was struck by Miss Sherwin's extreme beauty.	"You will not probably be surprised to hear that I was struck by Miss Sherwin's extreme beauty.	false	424.34	429.43	13
5606_54666_000020_000001	The impression she made on me was something more, however, than a mere momentary feeling of admiration.	The impression she made on me was something more, however, than a mere momentary feeling of admiration.	true	429.71	435.19	8
5606_54666_000020_000002	To speak candidly, I felt--You have heard of such a thing as love at first sight, Mr. Sherwin?"	To speak candidly, I felt-You have heard of such a thing as love at first sight, mr Sherwin?"	true	435.59	442.69	19.4093
5606_54666_000021_000000	"In books, Sir." He tapped one of the morocco-bound volumes on the table, and smiled--a curious smile, partly deferential and partly sarcastic.	"In books, Sir." He tapped one of the morocco bound volumes on the table, and smiled-a curious smile, partly deferential and partly sarcastic.	true	443.21	454.3	19.658186
5606_54666_000022_000000	"You would be inclined to laugh, I dare say, if I asked you to believe that there is such a thing as love at first sight, _out_ of books.	"You would be inclined to laugh, I dare say, if I asked you to believe that there is such a thing as love at first sight, underscore out underscore of books.	false	455.36	463	21.12122
5606_54666_000022_000001	But, without dwelling further on that, it is my duty to confess to you, in all candour and honesty, that the impression Miss Sherwin produced on me was such as to make me desire the privilege of becoming acquainted with her.	But, without dwelling further on that, it is my duty to confess to you, in all candour and honesty, that the impression Miss Sherwin produced on me was such as to make me desire the privilege of becoming acquainted with her.	true	463.31	475.66	15
5606_54666_000022_000002	In plain words, I discovered her place of residence by following her to this house."	In plain words, I discovered her place of residence by following her to this house."	true	476.21	480.34	15
5606_54666_000023_000000	"Upon my soul this is the most extraordinary proceeding----!"	"Upon my soul this is the most extraordinary proceeding----!"	true	481.1	484.81	18.031122
5606_54666_000024_000000	"Pray hear me out, Mr. Sherwin: you will not condemn my conduct, I think, if you hear all I have to say."	"Pray hear me out, mr Sherwin: you will not condemn my conduct, I think, if you hear all I have to say."	true	484.94	491.53	20.863262
5606_54666_000025_000000	He muttered something unintelligible; his complexion turned yellower; he dropped my card, which he had by this time crushed into fragments; and ran his hand rapidly through his hair until he had stretched it out like a penthouse over his forehead--blinking all the time, and regarding me with a lowering, sinister expression of countenance.	He muttered something unintelligible; his complexion turned yellower; he dropped my card, which he had by this time crushed into fragments; and ran his hand rapidly through his hair until he had stretched it out like a penthouse over his forehead-blinking all the time, and regarding me with a lowering, sinister expression of countenance.	true	493.07	512.95	17.856838
5606_54666_000025_000001	I saw that it was useless to treat him as I should have treated a gentleman.	I saw that it was useless to treat him as I should have treated a gentleman.	true	513.47	517.27	16
5606_54666_000025_000002	He had evidently put the meanest and the foulest construction upon my delicacy and hesitation in speaking to him: so I altered my plan, and came to the point abruptly--"came to business," as he would have called it.	He had evidently put the meanest and the foulest construction upon my delicacy and hesitation in speaking to him: so I altered my plan, and came to the point abruptly-"came to business," as he would have called it.	true	517.52	529.63	17
5606_54666_000026_000000	"I ought to have been plainer, Mr. Sherwin; I ought perhaps to have told you at the outset, in so many words, that I came to--" (I was about to say, "to ask your daughter's hand in marriage;" but a thought of my father moved darkly over my mind at that moment, and the words would not pass my lips).	"I ought to have been plainer, mr Sherwin; I ought perhaps to have told you at the outset, in so many words, that I came to-" (I was about to say, "to ask your daughter's hand in marriage;" but a thought of my father moved darkly over my mind at that moment, and the words would not pass my lips).	false	530.03	547.75	17
5606_54666_000027_000000	"Well, Sir! to what?"	"Well, Sir! to what?"	false	548.27	550.03	23.420391
5606_54666_000028_000000	The tone in which he said this was harsh enough to rouse me.	The tone in which he said this was harsh enough to rouse me.	true	550.52	553.48	19.571678
5606_54666_000028_000001	It gave me back my self-possession immediately.	It gave me back my self possession immediately.	true	553.67	556.48	18
5606_54666_000029_000000	"To ask your permission to pay my addresses to Miss Sherwin--or, to be plainer still, if you like, to ask of you her hand in marriage."	"To ask your permission to pay my addresses to Miss Sherwin-or, to be plainer still, if you like, to ask of you her hand in marriage."	false	558.05	566.8	18
5606_54666_000030_000000	The words were spoken.	The words were spoken.	true	567.35	569.02	19.17652
5606_54666_000030_000001	Even if I could have done so, I would not have recalled what I had just said; but still, I trembled in spite of myself as I expressed in plain, blunt words what I had only rapturously thought over, or delicately hinted at to Margaret, up to this time.	Even if I could have done so, I would not have recalled what I had just said; but still, I trembled in spite of myself as I expressed in plain, blunt words what I had only rapturously thought over, or delicately hinted at to Margaret, up to this time.	true	569.69	584.92	17.952219
5606_54666_000031_000000	"God bless me!" cried Mr. Sherwin, suddenly sitting back bolt upright in his chair, and staring at me in such surprise, that his restless features were actually struck with immobility for the moment--"God bless me, this is quite another story.	"God bless me!" cried mr Sherwin, suddenly sitting back bolt upright in his chair, and staring at me in such surprise, that his restless features were actually struck with immobility for the moment-"God bless me, this is quite another story.	false	585.5	601.69	19.690073
5606_54666_000031_000001	Most gratifying, most astonishing--highly flattered I am sure; highly indeed, my dear Sir! Don't suppose, for one moment, I ever doubted your honourable feeling. Young gentlemen in your station of life do sometimes fail in respect towards the wives and daughters of their--in short, of those who are not in their rank exactly.	Most gratifying, most astonishing-highly flattered I am sure; highly indeed, my dear Sir! Don't suppose, for one moment, I ever doubted your honourable feeling. Young gentlemen in your station of life do sometimes fail in respect towards the wives and daughters of their-in short, of those who are not in their rank exactly.	false	601.79	621.49	20.837276
5606_54666_000031_000002	But that's not the question--quite a misunderstanding--extremely stupid of me, to be sure.	But that's not the question-quite a misunderstanding-extremely stupid of me, to be sure.	false	621.59	627.03	19
5606_54666_000031_000003	_Pray_ let me offer you a glass of wine!"	underscore Pray underscore let me offer you a glass of wine!"	false	627.03	630.04	21.623098
5606_54666_000032_000000	"No wine, thank you, Mr. Sherwin.	"No wine, thank you, mr Sherwin.	false	630.41	632.94	13
5606_54666_000032_000001	I must beg your attention a little longer, while I state to you, in confidence, how I am situated with regard to the proposals I have made.	I must beg your attention a little longer, while I state to you, in confidence, how I am situated with regard to the proposals I have made.	true	632.94	641.05	18
5606_54666_000032_000002	There are certain circumstances--"	There are certain circumstances-"	true	641.09	643.635	19.680819
5606_54666_000033_000000	"Yes--yes?"	"Yes-yes?"	true	643.635	645.465	19.569378
5606_54666_000034_000000	He bent forward again eagerly towards me, as he spoke; looking more inquisitive and more cunning than ever.	He bent forward again eagerly towards me, as he spoke; looking more inquisitive and more cunning than ever.	true	645.465	652.3	17
5606_54666_000035_000000	"I have acknowledged to you, Mr. Sherwin, that I have found means to speak to your daughter--to speak to her twice.	"I have acknowledged to you, mr Sherwin, that I have found means to speak to your daughter-to speak to her twice.	false	652.85	660	19.721493
5606_54666_000035_000001	I made my advances honourably.	I made my advances honourably.	false	660	661.9	14
5606_54666_000035_000002	She received them with a modesty and a reluctance worthy of herself, worthy of any lady, the highest lady in the land." (Mr.	She received them with a modesty and a reluctance worthy of herself, worthy of any lady, the highest lady in the land." (mr	false	661.97	669.93	20.055199
5606_54666_000035_000003	Sherwin looked round reverentially to his print of the Queen; then looked back at me, and bowed solemnly.) "Now, although in so many words she directly discouraged me--it is her due that I should say this--still, I think I may without vanity venture to hope that she did so as a matter of duty, more than as a matter of inclination."	Sherwin looked round reverentially to his print of the Queen; then looked back at me, and bowed solemnly.) "Now, although in so many words she directly discouraged me-it is her due that I should say this-still, I think I may without vanity venture to hope that she did so as a matter of duty, more than as a matter of inclination."	false	669.93	689.5	15
5606_54666_000036_000000	"Ah--yes, yes!	"Ah-yes, yes!	true	689.75	691.41	15.398627
5606_54666_000036_000001	I understand.	I understand.	true	691.41	692.04	9
5606_54666_000036_000002	She would do nothing without my authority, of course?"	She would do nothing without my authority, of course?"	true	692.04	694.87	20
5606_54666_000037_000000	"No doubt that was one reason why she received me as she did; but she had another, which she communicated to me in the plainest terms--the difference in our rank of life."	"No doubt that was one reason why she received me as she did; but she had another, which she communicated to me in the plainest terms-the difference in our rank of life."	true	695.15	705.525	20
5606_54666_000038_000000	"Ah! she said that, did she?	"Ah! she said that, did she?	true	705.525	707.98	23.211666
5606_54666_000038_000001	Exactly so--she saw a difficulty there? Yes--yes! high principles, Sir--high principles, thank God!"	Exactly so-she saw a difficulty there? Yes-yes! high principles, Sir-high principles, thank God!"	false	708.02	715.18	19.51664
5606_54666_000039_000000	"I need hardly tell you, Mr. Sherwin, how deeply I feel the delicate sense of honour which this objection shows on your daughter's part.	"I need hardly tell you, mr Sherwin, how deeply I feel the delicate sense of honour which this objection shows on your daughter's part.	true	715.97	723.67	17
5606_54666_000039_000001	You will easily imagine that it is no objection to _me,_ personally.	You will easily imagine that it is no objection to underscore me,underscore personally.	false	723.74	728.17	17
5606_54666_000039_000002	The happiness of my whole life depends on Miss Sherwin; I desire no higher honour, as I can conceive no greater happiness, than to be your daughter's husband.	The happiness of my whole life depends on Miss Sherwin; I desire no higher honour, as I can conceive no greater happiness, than to be your daughter's husband.	true	728.63	738.22	18.78592
5606_54666_000039_000003	I told her this: I also told her that I would explain myself on the subject to you.	I told her this: I also told her that I would explain myself on the subject to you.	true	738.5	743.74	19.426193
5606_54666_000039_000004	She made no objection; and I am, therefore, I think, justified in considering that if you authorised the removal of scruples which do her honour at present, she would not feel the delicacy she does now at sanctioning my addresses."	She made no objection; and I am, therefore, I think, justified in considering that if you authorised the removal of scruples which do her honour at present, she would not feel the delicacy she does now at sanctioning my addresses."	false	743.99	756.94	18
5606_54666_000040_000000	"Very proper--a very proper way of putting it.	"Very proper-a very proper way of putting it.	true	758.12	761.2	22.92843
5606_54666_000040_000001	Practical, if I may be allowed to say so.	Practical, if I may be allowed to say so.	true	761.42	763.66	17.830494
5606_54666_000040_000002	And now, my dear Sir, the next point is: how about your own honoured family--eh?"	And now, my dear Sir, the next point is: how about your own honoured family-eh?"	false	764.06	770.46	16.463339
5606_54666_000041_000000	"It is exactly there that the difficulty lies.	"It is exactly there that the difficulty lies.	true	770.46	773.53	18
5606_54666_000041_000001	My father, on whom I am dependent as the younger son, has very strong prejudices--convictions I ought perhaps to call them--on the subject of social inequalities."	My father, on whom I am dependent as the younger son, has very strong prejudices-convictions I ought perhaps to call them-on the subject of social inequalities."	true	773.93	783.61	17
5606_54666_000042_000000	"Quite so--most natural; most becoming, indeed, on the part of your respected father.	"Quite so-most natural; most becoming, indeed, on the part of your respected father.	true	783.68	789.19	21.298426
5606_54666_000042_000001	I honour his convictions, sir.	I honour his convictions, sir.	true	789.47	791.205	19.555473
5606_54666_000042_000002	Such estates, such houses, such a family as his--connected, I believe, with the nobility, especially on your late lamented mother's side.	Such estates, such houses, such a family as his-connected, I believe, with the nobility, especially on your late lamented mother's side.	true	791.205	799.6	17
5606_54666_000042_000003	My dear Sir, I emphatically repeat it, your father's convictions do him honour; I respect them as much as I respect him; I do, indeed."	My dear Sir, I emphatically repeat it, your father's convictions do him honour; I respect them as much as I respect him; I do, indeed."	true	799.67	808.72	20.936483
5606_54666_000043_000000	"I am glad you can view my father's ideas on social subjects in so favourable a light, Mr. Sherwin.	"I am glad you can view my father's ideas on social subjects in so favourable a light, mr Sherwin.	true	808.97	815.05	15
5606_54666_000043_000001	You will be less surprised to hear how they are likely to affect me in the step I am now taking."	You will be less surprised to hear how they are likely to affect me in the step I am now taking."	true	815.39	820.72	19.73908
5606_54666_000044_000000	"He disapproves of it, of course--strongly, perhaps.	"He disapproves of it, of course-strongly, perhaps.	true	821.69	825.13	21.25
5606_54666_000044_000001	Well, though my dear girl is worthy of any station; and a man like me, devoted to mercantile interests, may hold his head up anywhere as one of the props of this commercial country," (he ran his fingers rapidly through his hair, and tried to look independent), "still I am prepared to admit, under all the circumstances--I say under all the circumstances--that his disapproval is very natural, and was very much to be expected--very much indeed."	Well, though my dear girl is worthy of any station; and a man like me, devoted to mercantile interests, may hold his head up anywhere as one of the props of this commercial country," (he ran his fingers rapidly through his hair, and tried to look independent), "still I am prepared to admit, under all the circumstances-I say under all the circumstances-that his disapproval is very natural, and was very much to be expected-very much indeed."	false	825.38	852.31	18.738403
5606_54666_000045_000000	"He has expressed no disapproval, Mr. Sherwin."	"He has expressed no disapproval, mr Sherwin."	true	852.92	856.96	21.176159
5606_54666_000046_000000	"You don't say so!"	"You don't say so!"	true	857.18	858.61	18.520376
5606_54666_000047_000000	"I have not given him an opportunity.	"I have not given him an opportunity.	true	860.21	862.96	22.077398
5606_54666_000047_000001	My meeting with your daughter has been kept a profound secret from him, and from every member of my family; and a secret it must remain.	My meeting with your daughter has been kept a profound secret from him, and from every member of my family; and a secret it must remain.	false	863.27	870.34	15
5606_54666_000047_000002	I speak from my intimate knowledge of my father, when I say that I hardly know of any means that he would not be capable of employing to frustrate the purpose of this visit, if I had mentioned it to him.	I speak from my intimate knowledge of my father, when I say that I hardly know of any means that he would not be capable of employing to frustrate the purpose of this visit, if I had mentioned it to him.	true	870.89	881.68	17
5606_54666_000047_000003	He has been the kindest and best of fathers to me; but I firmly believe, that if I waited for his consent, no entreaties of mine, or of any one belonging to me, would induce him to give his sanction to the marriage I have come to you to propose."	He has been the kindest and best of fathers to me; but I firmly believe, that if I waited for his consent, no entreaties of mine, or of any one belonging to me, would induce him to give his sanction to the marriage I have come to you to propose."	true	882.08	896.7	19.442564
5606_54666_000048_000000	"Bless my soul!	"Bless my soul!	false	896.7	898.53	20.093273
5606_54666_000048_000001	this is carrying things rather far, though--dependent as you are on him, and all that.	this is carrying things rather far, though-dependent as you are on him, and all that.	false	898.53	903.84	19.444973
5606_54666_000048_000002	Why, what on earth can we do--eh?"	Why, what on earth can we do-eh?"	false	903.84	906.12	19
5606_54666_000049_000000	"We must keep both the courtship and the marriage secret."	"We must keep both the courtship and the marriage secret."	true	906.12	909.58	19.736446
5606_54666_000050_000000	"Secret!	"Secret!	true	909.86	910.89	19.96923
5606_54666_000050_000001	Good gracious, I don't at all see my way--"	Good gracious, I don't at all see my way-"	true	910.89	913.87	21.56813
5606_54666_000051_000000	"Yes, secret--a profound secret among ourselves, until I can divulge my marriage to my father, with the best chance of--"	"Yes, secret-a profound secret among ourselves, until I can divulge my marriage to my father, with the best chance of-"	true	914.12	921.93	20.497158
5606_54666_000052_000000	"But I tell you, Sir, I can't see my way through it at all.	"But I tell you, Sir, I can't see my way through it at all.	true	921.93	926.19	20.182129
5606_54666_000052_000001	Chance! what chance would there be, after what you have told me?"	Chance! what chance would there be, after what you have told me?"	true	926.19	930.01	21.469986
5606_54666_000053_000000	"There might be many chances.	"There might be many chances.	true	931.4	933.1	24.61071
5606_54666_000053_000001	For instance, when the marriage was solemnised, I might introduce your daughter to my father's notice--without disclosing who she was--and leave her, gradually and unsuspectedly, to win his affection and respect (as with her beauty, elegance, and amiability, she could not fail to do), while I waited until the occasion was ripe for confessing everything.	For instance, when the marriage was solemnised, I might introduce your daughter to my father's notice-without disclosing who she was-and leave her, gradually and unsuspectedly, to win his affection and respect (as with her beauty, elegance, and amiability, she could not fail to do), while I waited until the occasion was ripe for confessing everything.	true	933.23	953.92	18
5606_54666_000053_000002	Then if I said to him, 'This young lady, who has so interested and delighted you, is my wife;' do you think, with that powerful argument in my favour, he could fail to give us his pardon?	Then if I said to him, 'This young lady, who has so interested and delighted you, is my wife;' do you think, with that powerful argument in my favour, he could fail to give us his pardon?	false	954.23	966.37	19.446001
5606_54666_000053_000003	If, on the other hand, I could only say, 'This young lady is about to become my wife,' his prejudices would assuredly induce him to recall his most favourable impressions, and refuse his consent.	If, on the other hand, I could only say, 'This young lady is about to become my wife,' his prejudices would assuredly induce him to recall his most favourable impressions, and refuse his consent.	true	966.65	978.975	19
5606_54666_000053_000004	In short, Mr. Sherwin, before marriage, it would be impossible to move him--after marriage, when opposition could no longer be of any avail, it would be quite a different thing: we might be sure of producing, sooner or later, the most favourable results.	In short, mr Sherwin, before marriage, it would be impossible to move him-after marriage, when opposition could no longer be of any avail, it would be quite a different thing: we might be sure of producing, sooner or later, the most favourable results.	false	978.975	995.08	20.869177
5606_54666_000053_000005	This is why it would be absolutely necessary to keep our union secret at first."	This is why it would be absolutely necessary to keep our union secret at first."	true	995.27	1000.06	19.171543
5606_54666_000054_000000	I wondered then--I have since wondered more--how it was that I contrived to speak thus, so smoothly and so unhesitatingly, when my conscience was giving the lie all the while to every word I uttered.	I wondered then-I have since wondered more-how it was that I contrived to speak thus, so smoothly and so unhesitatingly, when my conscience was giving the lie all the while to every word I uttered.	false	1001.3	1014.97	18.361368
5606_54666_000055_000000	"Yes, yes; I see--oh, yes, I see!" said Mr. Sherwin, rattling a bunch of keys in his pocket, with an expression of considerable perplexity; "but this is a ticklish business, you know--a very queer and ticklish business indeed.	"Yes, yes; I see-oh, yes, I see!" said mr Sherwin, rattling a bunch of keys in his pocket, with an expression of considerable perplexity; "but this is a ticklish business, you know-a very queer and ticklish business indeed.	false	1015.34	1029.97	20.531921
