3003_12539_000000_000000	[Illustration: A hop field with the hops ready for picking.]	[Illustration: A hop field with the hops ready for picking.]	false	3.54	24.675	22.454365
3003_12539_000006_000001	John V. Meeker, my brother, passed by my cabin when he carried the sack of roots on his back from Steilacoom to my father's home, a distance of about twenty miles, and from the sack I took roots enough to plant six hills of hops.	john the fifth Meeker, my brother, passed by my cabin when he carried the sack of roots on his back from Steilacoom to my father's home, a distance of about twenty miles, and from the sack I took roots enough to plant six hills of hops.	false	116.15	131.74	22.393227
3003_12539_000006_000002	As far as I know those were the first hops planted in the Puyallup valley.	As far as I know those were the first hops planted in the Puyallup valley.	false	131.87	135.97	20.187462
3003_12539_000006_000003	My father planted the remainder, and in the following September harvested the equivalent of one bale of hops, 180 pounds.	My father planted the remainder, and in the following September harvested the equivalent of one bale of hops, one hundred eighty pounds.	false	136.49	145.66	21.502428
3003_12539_000006_000004	This was sold for eighty-five cents a pound, or a little more than a hundred and fifty dollars for the bale.	This was sold for eighty five cents a pound, or a little more than a hundred and fifty dollars for the bale.	true	145.94	152.29	20
3003_12539_000007_000000	This sum was more money than had been received by any of the settlers in the Puyallup valley, except perhaps two, from the products of their farms for that year.	This sum was more money than had been received by any of the settlers in the Puyallup valley, except perhaps two, from the products of their farms for that year.	true	152.69	163	20
3003_12539_000007_000001	My father's near neighbors obtained a barrel of hop roots from California the next year, and planted them the following spring--four acres.	My father's near neighbors obtained a barrel of hop roots from California the next year, and planted them the following spring-four acres.	true	163.91	172.84	22.09699
3003_12539_000007_000002	I obtained what roots I could get that year, but not enough to plant an acre.	I obtained what roots I could get that year, but not enough to plant an acre.	true	173.15	177.76	23.997786
3003_12539_000007_000003	The following year (1867) I planted four acres, and for twenty-six successive years thereafter we added to the area planted, until our holdings reached past the five-hundred-acre mark and our production was more than four hundred tons a year.	The following year (eighteen sixty seven) I planted four acres, and for twenty six successive years thereafter we added to the area planted, until our holdings reached past the five hundred acre mark and our production was more than four hundred tons a year.	true	178.19	196.33	22.70267
3003_12539_000008_000000	None of us knew anything about the hop business, and it was entirely by accident that we engaged in it.	None of us knew anything about the hop business, and it was entirely by accident that we engaged in it.	true	197.12	203.32	20
3003_12539_000008_000001	But seeing that there were possibilities of great gain, I took pains to study hop culture, and found that by allowing our hops to mature thoroughly, curing them at a low temperature, and baling them while hot, we could produce hops that would compete with any product in the world.	But seeing that there were possibilities of great gain, I took pains to study hop culture, and found that by allowing our hops to mature thoroughly, curing them at a low temperature, and baling them while hot, we could produce hops that would compete with any product in the world.	true	203.63	222.37	21.590937
3003_12539_000008_000002	Others of my neighbors planted them, and so did many people in Oregon, until soon there came to be a field for purchasing and shipping hops.	Others of my neighbors planted them, and so did many people in Oregon, until soon there came to be a field for purchasing and shipping hops.	true	223.01	232.09	20.084316
3003_12539_000008_000003	But the fluctuations in price were so great that in a few years many growers became discouraged and lost their holdings.	But the fluctuations in price were so great that in a few years many growers became discouraged and lost their holdings.	true	232.55	239.85	19
3003_12539_000009_000000	[Illustration: The site of the cabin home in Puyallup is now Pioneer Park, Ezra Meeker's gift to the city that he founded.	[Illustration: The site of the cabin home in Puyallup is now Pioneer Park, ezra Meeker's gift to the city that he founded.	false	239.85	240.51	-20
3003_12539_000009_000001	In it still stands the ivy vine that for fifty years grew over the cabin.]	In it still stands the ivy vine that for fifty years grew over the cabin.]	false	240.51	240.975	-20
3003_12539_000010_000000	Finally, during the failure of the world's hop crop in the year 1882, there came to be unheard-of prices for hops, and fully one third of the crop of the Puyallup valley was sold for a dollar a pound.	Finally, during the failure of the world's hop crop in the year eighteen eighty two, there came to be unheard of prices for hops, and fully one third of the crop of the Puyallup valley was sold for a dollar a pound.	true	240.975	255.04	22.257566
3003_12539_000010_000001	I had that year nearly one hundred thousand pounds, which brought an average of seventy cents a pound.	I had that year nearly one hundred thousand pounds, which brought an average of seventy cents a pound.	true	255.26	262.24	18
3003_12539_000011_000000	My first hop house was built in 1868--a log house.	My first hop house was built in eighteen sixty eight--a log house.	false	262.79	267.52	21.484213
3003_12539_000011_000001	It still stands in Pioneer Park in Puyallup.	It still stands in Pioneer Park in Puyallup.	true	267.65	270.67	22.76643
3003_12539_000011_000002	We frequently employed more than a thousand people during harvest time.	We frequently employed more than a thousand people during harvest time.	true	271.16	275.74	20
3003_12539_000011_000003	Many of these were Indians, some of whom would come for a thousand miles down the coast from British Columbia and even the confines of Alaska; they came in the great cedar-log canoes manned with twenty paddlers or more.	Many of these were Indians, some of whom would come for a thousand miles down the coast from British Columbia and even the confines of Alaska; they came in the great cedar log canoes manned with twenty paddlers or more.	true	276.08	289.96	21
3003_12539_000011_000004	For the most part I managed my Indian workers very easily.	For the most part one managed my Indian workers very easily.	false	290.6	294.07	18
3003_12539_000011_000005	Once I had to tie up two of them to a tree for getting drunk; their friends came and stole away the prisoners--which was what I intended they should do.	Once I had to tie up two of them to a tree for getting drunk; their friends came and stole away the prisoners-which was what I intended they should do.	true	294.44	303.49	21.317513
3003_12539_000012_000000	It was in 1870, eighteen years after my arrival from across the Plains, that I made my first return journey to the States.	It was in eighteen seventy, eighteen years after my arrival from across the Plains, that I made my first return journey to the States.	false	304.46	312.97	20.479216
3003_12539_000012_000001	I had to go through the mud to the Columbia River, then out over the bar to the Pacific Ocean, and down to San Francisco.	I had to go through the mud to the Columbia River, then out over the bar to the Pacific Ocean, and down to San Francisco.	true	313.34	320.71	21.683584
3003_12539_000012_000002	Then there was the seven days' journey over the Central and Union Pacific and connecting lines; this meant sitting bolt upright all the way, for there were no sleeping cars then, and no diners either.	Then there was the seven days' journey over the Central and Union Pacific and connecting lines; this meant sitting bolt upright all the way, for there were no sleeping cars then, and no diners either.	true	321.11	334.63	22
3003_12539_000013_000000	About 1882 I had come to realize that the important market for hops was in England, and E. Meeker & Co. began sending trial shipments, first seven bales, then the following year five hundred bales, then fifteen hundred.	About one eight eight two i had come to realize that the important market for hops was in England, and e Meeker and Co. began sending trial shipments, first seven bales, then the following year five hundred bales, then fifteen hundred.	false	335.66	352.21	21.926838
3003_12539_000013_000001	Finally our annual shipments reached eleven thousand bales a year, or the equivalent in value of half a million dollars--said at that time to be the largest export hop business of any one concern in the United States.	Finally our annual shipments reached eleven thousand bales a year, or the equivalent in value of half a million dollars-said at that time to be the largest export hop business of any one concern in the United States.	true	352.46	368.32	22
3003_12539_000013_000002	At one time I had two full trainloads between the Pacific and the Atlantic, on their way to London.	At one time I had two full trainloads between the Pacific and the Atlantic, on their way to London.	true	368.99	375.25	21
3003_12539_000013_000003	I spent four winters in London dealing in the hop market.	I spent four winters in London dealing in the hop market.	true	375.68	379.3	20.43629
3003_12539_000014_000000	Little as I had thought ever to handle an international business, still less had I thought ever to write a book.	Little as I had thought ever to handle an international business, still less had I thought ever to write a book.	true	380.06	387.43	21
3003_12539_000014_000001	My first publication was an eighty-page pamphlet descriptive of Washington Territory, printed in 1870.	My first publication was an eighty page pamphlet descriptive of Washington Territory, printed in eighteen seventy.	true	387.74	394.99	21
3003_12539_000014_000002	My first real book, _Hop Culture in the United States_, was published in 1883.	My first real book, underscore Hop Culture in the United States underscore, was published in eighteen eighty three.	false	395.54	401.8	22.363829
3003_12539_000014_000003	I mention this fact simply as one instance out of the many that could be given of the unexpected lines of development that life in the new land opened out to the pioneers.	I mention this fact simply as one instance out of the many that could be given of the unexpected lines of development that life in the new land opened out to the pioneers.	true	402.35	413.38	21
3003_12539_000015_000000	The hop business could not be called a venture; it was simply a growth. The conditions were favorable to us in that we could produce hops for the world's market at the lowest prices.	The hop business could not be called a venture; it was simply a growth. The conditions were favorable to us in that we could produce hops for the world's market at the lowest prices.	false	414.86	426.34	20.881655
3003_12539_000015_000001	We actually pressed the English growers so closely that more than fifteen thousand acres of hops were destroyed in that country.	We actually pressed the English growers so closely that more than fifteen thousand acres of hops were destroyed in that country.	true	426.56	435.49	22.498383
3003_12539_000016_000000	Our great prosperity was not to last.	Our great prosperity was not to last.	true	436.19	439.57	22.501637
3003_12539_000016_000001	One evening in 1892, as I stepped out of my office and cast my eyes toward one group of hop houses, it struck me that the hop foliage of a field near by was off color--did not look natural.	One evening in eighteen ninety two, as I stepped out of my office and cast my eyes toward one group of hop houses, it struck me that the hop foliage of a field near by was off color-did not look natural.	true	439.82	454.63	21.966347
3003_12539_000016_000002	One of my clerks from the office said the same thing--the vines did not look natural.	One of my clerks from the office said the same thing-the vines did not look natural.	true	455.06	460.6	21
3003_12539_000016_000003	I walked down to the yards, a quarter of a mile away, and there first saw the hop louse.	I walked down to the yards, a quarter of a mile away, and there first saw the hop louse.	true	461	467.53	22.349707
3003_12539_000016_000004	The yard was literally alive with lice, and they were destroying at least the quality of the hops.	The yard was literally alive with lice, and they were destroying at least the quality of the hops.	true	467.9	474.64	18
3003_12539_000016_000005	I issued a hop circular, sending it to more than six hundred correspondents all along the coast in California, Oregon, Washington, and British Columbia, and before the week was out I began to receive samples from them, and letters asking what was the matter with the hops.	I issued a hop circular, sending it to more than six hundred correspondents all along the coast in California, Oregon, Washington, and British Columbia, and before the week was out I began to receive samples from them, and letters asking what was the matter with the hops.	true	475.16	493.36	22.074764
3003_12539_000017_000000	It appeared that the attack of lice was simultaneous in Oregon, Washington, and British Columbia, extending over a distance coastwise of more than five hundred miles, and even inland up the Skagit River, where there was an isolated yard.	It appeared that the attack of lice was simultaneous in Oregon, Washington, and British Columbia, extending over a distance coastwise of more than five hundred miles, and even inland up the Skagit River, where there was an isolated yard.	true	494.3	511.15	20.74008
3003_12539_000017_000001	This plague was like a clap of thunder out of a clear sky to us.	This plague was like a clap of thunder out of a clear sky to us.	true	511.76	516.55	23
3003_12539_000018_000000	I sent my second son, Fred Meeker, to London to learn the English methods of fighting the pest and to import some spraying machinery.	I sent my second son, Fred Meeker, to London to learn the English methods of fighting the pest and to import some spraying machinery.	true	517.4	525.76	21
3003_12539_000018_000001	We found to our cost, however, in the course of time, that the English methods did not suit our different conditions; for while we could kill the lice, we had to use so much spraying material on the dense foliage that, in killing them, we virtually destroyed the hops.	We found to our cost, however, in the course of time, that the English methods did not suit our different conditions; for while we could kill the lice, we had to use so much spraying material on the dense foliage that, in killing them, we virtually destroyed the hops.	true	526.4	543.07	22
3003_12539_000018_000002	Instead of being able to sell our hops at the top price of the market, we saw our product fall to the foot of the list.	Instead of being able to sell our hops at the top price of the market, we saw our product fall to the foot of the list.	true	543.47	550.9	20.877853
3003_12539_000018_000003	The last crop I raised cost me eleven cents a pound and sold for three under the hammer at sheriff's sale.	The last crop I raised cost me eleven cents a pound and sold for three under the hammer at sheriff's sale.	true	551.18	560.05	20.615973
3003_12539_000019_000000	At that time I had advanced to my neighbors and others upon their hop crops more than a hundred thousand dollars, which was lost.	At that time I had advanced to my neighbors and others upon their hop crops more than a hundred thousand dollars, which was lost.	true	560.75	570.37	20.517002
3003_12539_000019_000001	These people simply could not pay, and I forgave the debt, taking no judgments against them, and I have never regretted the action.	These people simply could not pay, and I forgave the debt, taking no judgments against them, and I have never regretted the action.	true	570.59	579.31	21.502615
3003_12539_000019_000002	All my accumulations were swept away, and I quit the business--or, rather, the business quit me.	All my accumulations were swept away, and I quit the business-or, rather, the business quit me.	true	579.74	587.29	20.49232
3003_12539_000020_000000	After a long struggle with the hop plague, nearly all the hops were plowed up and the land in the Puyallup valley and elsewhere was used for dairy farming, fruit growing, and general crops.	After a long struggle with the hop plague, nearly all the hops were plowed up and the land in the Puyallup valley and elsewhere was used for dairy farming, fruit growing, and general crops.	false	587.96	600.16	22.245865
3003_12539_000020_000001	It is actually of a higher value now than when it was bearing hops.	It is actually of a higher value now than when it was bearing hops.	false	600.71	612	19.02017
