203_126577_000000_000000	"Then come along," said the policeman.	"Then come along," said the policeman.	false	0	3.39	11
203_126577_000004_000006	He sat at a worm-eaten desk, covered with files of waiters' checks so old that I was sure the bottomest one was for clams that Hendrik Hudson had eaten and paid for. Cypher had the power, in common with Napoleon III. and the goggle-eyed perch, of throwing a film over his eyes, rendering opaque the windows of his soul.	He sat at a worm eaten desk, covered with files of waiters' checks so old that I was sure the bottomest one was for clams that Hendrik Hudson had eaten and paid for. Cypher had the power, in common with Napoleon the third. and the goggle eyed perch, of throwing a film over his eyes, rendering opaque the windows of his soul.	false	87.74	108.04	19
203_126577_000004_000007	Once when we left him unpaid, with egregious excuses, I looked back and saw him shaking with inaudible laughter behind his film.	Once when we left him unpaid, with egregious excuses, I looked back and saw him shaking with inaudible laughter behind his film.	false	108.53	117.49	21.967606
203_126577_000004_000008	Now and then we paid up back scores.	Now and then we paid up back scores.	true	117.65	120.31	23
203_126577_000005_000000	But the chief thing at Cypher's was Milly.	But the chief thing at Cypher's was Milly.	true	121.31	123.67	21.601315
203_126577_000005_000001	Milly was a waitress.	Milly was a waitress.	true	123.89	125.41	19.391514
203_126577_000005_000002	She was a grand example of Kraft's theory of the artistic adjustment of nature.	She was a grand example of Kraft's theory of the artistic adjustment of nature.	false	125.54	130.51	20
203_126577_000005_000003	She belonged, largely, to waiting, as Minerva did to the art of scrapping, or Venus to the science of serious flirtation.	She belonged, largely, to waiting, as Minerva did to the art of scrapping, or Venus to the science of serious flirtation.	true	130.7	138.96	19
203_126577_000005_000004	Pedestalled and in bronze she might have stood with the noblest of her heroic sisters as "Liver-and-Bacon Enlivening the World." She belonged to Cypher's.	Pedestalled and in bronze she might have stood with the noblest of her heroic sisters as "Liver and Bacon Enlivening the World." She belonged to Cypher's.	false	138.96	150.01	21.813673
203_126577_000005_000005	You expected to see her colossal figure loom through that reeking blue cloud of smoke from frying fat just as you expect the Palisades to appear through a drifting Hudson River fog.	You expected to see her colossal figure loom through that reeking blue cloud of smoke from frying fat just as you expect the Palisades to appear through a drifting Hudson River fog.	true	150.56	162.43	21
203_126577_000005_000006	There amid the steam of vegetables and the vapours of acres of "ham and," the crash of crockery, the clatter of steel, the screaming of "short orders," the cries of the hungering and all the horrid tumult of feeding man, surrounded by swarms of the buzzing winged beasts bequeathed us by Pharaoh, Milly steered her magnificent way like some great liner cleaving among the canoes of howling savages.	There amid the steam of vegetables and the vapours of acres of "ham and," the crash of crockery, the clatter of steel, the screaming of "short orders," the cries of the hungering and all the horrid tumult of feeding man, surrounded by swarms of the buzzing winged beasts bequeathed us by Pharaoh, Milly steered her magnificent way like some great liner cleaving among the canoes of howling savages.	true	162.68	187.63	18
203_126577_000006_000000	Our Goddess of Grub was built on lines so majestic that they could be followed only with awe.	Our Goddess of Grub was built on lines so majestic that they could be followed only with awe.	true	188.42	194.44	21
203_126577_000006_000001	Her sleeves were always rolled above her elbows. She could have taken us three musketeers in her two hands and dropped us out of the window.	Her sleeves were always rolled above her elbows. She could have taken us three musketeers in her two hands and dropped us out of the window.	true	194.72	201.97	16
203_126577_000006_000002	She had seen fewer years than any of us, but she was of such superb Evehood and simplicity that she mothered us from the beginning.	She had seen fewer years than any of us, but she was of such superb Evehood and simplicity that she mothered us from the beginning.	true	202.46	210.3	19.81593
203_126577_000006_000003	Cypher's store of eatables she poured out upon us with royal indifference to price and quantity, as from a cornucopia that knew no exhaustion.	Cypher's store of eatables she poured out upon us with royal indifference to price and quantity, as from a cornucopia that knew no exhaustion.	true	210.3	219.7	20
203_126577_000006_000004	Her voice rang like a great silver bell; her smile was many-toothed and frequent; she seemed like a yellow sunrise on mountain tops.	Her voice rang like a great silver bell; her smile was many toothed and frequent; she seemed like a yellow sunrise on mountain tops.	true	220.04	229.18	20.41054
203_126577_000006_000005	I never saw her but I thought of the Yosemite.	I never saw her but I thought of the Yosemite.	true	229.34	232.18	17
203_126577_000006_000006	And yet, somehow, I could never think of her as existing outside of Cypher's.	And yet, somehow, I could never think of her as existing outside of Cypher's.	true	232.82	237.46	18
203_126577_000006_000007	There nature had placed her, and she had taken root and grown mightily.	There nature had placed her, and she had taken root and grown mightily.	true	237.92	242.23	16
203_126577_000006_000008	She seemed happy, and took her few poor dollars on Saturday nights with the flushed pleasure of a child that receives an unexpected donation.	She seemed happy, and took her few poor dollars on Saturday nights with the flushed pleasure of a child that receives an unexpected donation.	true	242.6	250.51	17
203_126577_000007_000000	It was Kraft who first voiced the fear that each of us must have held latently.	It was Kraft who first voiced the fear that each of us must have held latently.	true	251.33	256.03	21
203_126577_000007_000001	It came up apropos, of course, of certain questions of art at which we were hammering.	It came up apropos, of course, of certain questions of art at which we were hammering.	true	256.22	261.64	21
203_126577_000007_000002	One of us compared the harmony existing between a Haydn symphony and pistache ice cream to the exquisite congruity between Milly and Cypher's.	One of us compared the harmony existing between a Haydn symphony and pistache ice cream to the exquisite congruity between Milly and Cypher's.	true	262.13	272.35	18
203_126577_000008_000000	"There is a certain fate hanging over Milly," said Kraft, "and if it overtakes her she is lost to Cypher's and to us."	"There is a certain fate hanging over Milly," said Kraft, "and if it overtakes her she is lost to Cypher's and to us."	true	272.96	281.62	20.629639
203_126577_000009_000000	"She will grow fat?" asked Judkins, fearsomely.	"She will grow fat?" asked Judkins, fearsomely.	true	282.02	285.64	22.37347
203_126577_000010_000000	"She will go to night school and become refined?" I ventured anxiously.	"She will go to night school and become refined?" I ventured anxiously.	true	285.98	290.47	20
203_126577_000011_000000	"It is this," said Kraft, punctuating in a puddle of spilled coffee with a stiff forefinger.	"It is this," said Kraft, punctuating in a puddle of spilled coffee with a stiff forefinger.	true	290.75	297.16	20.252268
203_126577_000011_000001	"Caesar had his Brutus--the cotton has its bollworm, the chorus girl has her Pittsburger, the summer boarder has his poison ivy, the hero has his Carnegie medal, art has its Morgan, the rose has its--"	"Caesar had his Brutus-the cotton has its bollworm, the chorus girl has her Pittsburger, the summer boarder has his poison ivy, the hero has his Carnegie medal, art has its Morgan, the rose has its-"	true	297.38	312.85	20.465734
203_126577_000012_000000	"Speak," I interrupted, much perturbed.	"Speak," I interrupted, much perturbed.	true	313.25	315.91	21.419252
203_126577_000012_000001	"You do not think that Milly will begin to lace?"	"You do not think that Milly will begin to lace?"	true	316.07	318.88	20
203_126577_000013_000000	"One day," concluded Kraft, solemnly, "there will come to Cypher's for a plate of beans a millionaire lumberman from Wisconsin, and he will marry Milly."	"One day," concluded Kraft, solemnly, "there will come to Cypher's for a plate of beans a millionaire lumberman from Wisconsin, and he will marry Milly."	true	319.64	330.04	19
203_126577_000014_000000	"Never!" exclaimed Judkins and I, in horror.	"Never!" exclaimed Judkins and I, in horror.	true	330.41	333.015	17
203_126577_000015_000000	"A lumberman," repeated Kraft, hoarsely.	"A lumberman," repeated Kraft, hoarsely.	true	333.015	335.62	19.473082
203_126577_000016_000000	"And a millionaire lumberman!" I sighed, despairingly.	"And a millionaire lumberman!" I sighed, despairingly.	true	335.84	338.985	13
203_126577_000017_000000	"From Wisconsin!" groaned Judkins.	"From Wisconsin!" groaned Judkins.	true	338.985	341.59	18.206118
203_126577_000018_000000	We agreed that the awful fate seemed to menace her.	We agreed that the awful fate seemed to menace her.	true	342.17	345.19	20
203_126577_000018_000001	Few things were less improbable.	Few things were less improbable.	true	345.38	347.44	20.28495
203_126577_000018_000002	Milly, like some vast virgin stretch of pine woods, was made to catch the lumberman's eye.	Milly, like some vast virgin stretch of pine woods, was made to catch the lumberman's eye.	true	347.81	354.28	23
203_126577_000018_000003	And well we knew the habits of the Badgers, once fortune smiled upon them.	And well we knew the habits of the Badgers, once fortune smiled upon them.	true	354.29	359.2	18.900904
203_126577_000018_000004	Straight to New York they hie, and lay their goods at the feet of the girl who serves them beans in a beanery.	Straight to New York they h i e, and lay their goods at the feet of the girl who serves them beans in a beanery.	false	359.6	365.62	15
203_126577_000018_000005	Why, the alphabet itself connives.	Why, the alphabet itself connives.	true	365.99	368.355	22.54062
203_126577_000018_000006	The Sunday newspaper's headliner's work is cut for him.	The Sunday newspaper's headliner's work is cut for him.	true	368.355	371.98	18
203_126577_000019_000000	"Winsome Waitress Wins Wealthy Wisconsin Woodsman."	"Winsome Waitress Wins Wealthy Wisconsin Woodsman."	true	372.53	376.24	18.88612
203_126577_000020_000000	For a while we felt that Milly was on the verge of being lost to us.	For a while we felt that Milly was on the verge of being lost to us.	true	376.61	380.47	17
203_126577_000021_000000	It was our love of the Unerring Artistic Adjustment of Nature that inspired us.	It was our love of the Unerring Artistic Adjustment of Nature that inspired us.	true	381.26	386.32	21.96701
203_126577_000021_000001	We could not give her over to a lumberman, doubly accursed by wealth and provincialism.	We could not give her over to a lumberman, doubly accursed by wealth and provincialism.	true	386.87	392.08	22
203_126577_000021_000002	We shuddered to think of Milly, with her voice modulated and her elbows covered, pouring tea in the marble teepee of a tree murderer.	We shuddered to think of Milly, with her voice modulated and her elbows covered, pouring tea in the marble teepee of a tree murderer.	true	392.39	400.51	17
203_126577_000021_000003	No!	No!	true	400.88	401.535	19.284925
203_126577_000021_000004	In Cypher's she belonged--in the bacon smoke, the cabbage perfume, the grand, Wagnerian chorus of hurled ironstone china and rattling casters.	In Cypher's she belonged-in the bacon smoke, the cabbage perfume, the grand, Wagnerian chorus of hurled ironstone china and rattling casters.	true	401.535	411.58	21.496891
203_126577_000022_000000	Our fears must have been prophetic, for on that same evening the wildwood discharged upon us Milly's preordained confiscator--our fee to adjustment and order.	Our fears must have been prophetic, for on that same evening the wildwood discharged upon us Milly's preordained confiscator-our fee to adjustment and order.	false	412.49	422.68	21
203_126577_000022_000001	But Alaska and not Wisconsin bore the burden of the visitation.	But Alaska and not Wisconsin bore the burden of the visitation.	true	422.81	427.24	20.68216
203_126577_000023_000000	We were at our supper of beef stew and dried apples when he trotted in as if on the heels of a dog team, and made one of the mess at our table. With the freedom of the camps he assaulted our ears and claimed the fellowship of men lost in the wilds of a hash house.	We were at our supper of beef stew and dried apples when he trotted in as if on the heels of a dog team, and made one of the mess at our table. With the freedom of the camps he assaulted our ears and claimed the fellowship of men lost in the wilds of a hash house.	false	428.51	444.01	19
203_126577_000023_000001	We embraced him as a specimen, and in three minutes we had all but died for one another as friends.	We embraced him as a specimen, and in three minutes we had all but died for one another as friends.	true	444.23	450.4	20
203_126577_000024_000000	He was rugged and bearded and wind-dried.	He was rugged and bearded and wind dried.	true	451.04	454.035	19
203_126577_000024_000001	He had just come off the "trail," he said, at one of the North River ferries.	He had just come off the "trail," he said, at one of the North River ferries.	true	454.035	458.59	21.66708
203_126577_000024_000002	I fancied I could see the snow dust of Chilcoot yet powdering his shoulders.	I fancied I could see the snow dust of Chilcoot yet powdering his shoulders.	true	458.9	463.33	18
203_126577_000024_000003	And then he strewed the table with the nuggets, stuffed ptarmigans, bead work and seal pelts of the returned Klondiker, and began to prate to us of his millions.	And then he strewed the table with the nuggets, stuffed ptarmigans, bead work and seal pelts of the returned Klondiker, and began to prate to us of his millions.	false	463.55	473.89	23.562346
203_126577_000025_000000	"Bank drafts for two millions," was his summing up, "and a thousand a day piling up from my claims.	"Bank drafts for two millions," was his summing up, "and a thousand a day piling up from my claims.	true	474.26	479.97	19.893463
203_126577_000025_000001	And now I want some beef stew and canned peaches.	And now I want some beef stew and canned peaches.	false	479.97	483.1	20.48919
203_126577_000025_000002	I never got off the train since I mushed out of Seattle, and I'm hungry.	I never got off the train since I mushed out of Seattle, and I'm hungry.	true	483.26	487.15	17
203_126577_000025_000003	The stuff the niggers feed you on Pullmans don't count.	The stuff the niggers feed you on Pullmans don't count.	true	488.15	491.16	24
203_126577_000025_000004	You gentlemen order what you want."	You gentlemen order what you want."	true	491.16	493.12	17
203_126577_000026_000000	And then Milly loomed up with a thousand dishes on her bare arm--loomed up big and white and pink and awful as Mount Saint Elias--with a smile like day breaking in a gulch.	And then Milly loomed up with a thousand dishes on her bare arm-loomed up big and white and pink and awful as Mount Saint Elias-with a smile like day breaking in a gulch.	true	493.7	504.55	21
203_126577_000026_000001	And the Klondiker threw down his pelts and nuggets as dross, and let his jaw fall half-way, and stared at her.	And the Klondiker threw down his pelts and nuggets as dross, and let his jaw fall half-way, and stared at her.	true	504.98	510.97	18
203_126577_000026_000002	You could almost see the diamond tiaras on Milly's brow and the hand-embroidered silk Paris gowns that he meant to buy for her.	You could almost see the diamond tiaras on Milly's brow and the hand embroidered silk Paris gowns that he meant to buy for her.	true	511.46	518.32	18
203_126577_000027_000000	At last the bollworm had attacked the cotton--the poison ivy was reaching out its tendrils to entwine the summer boarder--the millionaire lumberman, thinly disguised as the Alaskan miner, was about to engulf our Milly and upset Nature's adjustment.	At last the bollworm had attacked the cotton-the poison ivy was reaching out its tendrils to entwine the summer boarder-the millionaire lumberman, thinly disguised as the Alaskan miner, was about to engulf our Milly and upset Nature's adjustment.	true	519.35	534.43	20.369028
203_126577_000028_000000	Kraft was the first to act.	Kraft was the first to act.	true	535.4	537.195	25.922848
203_126577_000028_000001	He leaped up and pounded the Klondiker's back.	He leaped up and pounded the Klondiker's back.	true	537.195	539.745	23
203_126577_000028_000002	"Come out and drink," he shouted.	"Come out and drink," he shouted.	true	539.745	541.36	20
203_126577_000028_000003	"Drink first and eat afterward." Judkins seized one arm and I the other.	"Drink first and eat afterward." Judkins seized one arm and I the other.	true	541.46	545.77	20.40567
203_126577_000028_000004	Gaily, roaringly, irresistibly, in jolly-good-fellow style, we dragged him from the restaurant to a cafe, stuffing his pockets with his embalmed birds and indigestible nuggets.	Gaily, roaringly, irresistibly, in jolly good fellow style, we dragged him from the restaurant to a cafe, stuffing his pockets with his embalmed birds and indigestible nuggets.	true	545.78	556.9	18
203_126577_000029_000000	There he rumbled a roughly good-humoured protest.	There he rumbled a roughly good humoured protest.	true	557.51	560.35	21
203_126577_000029_000001	"That's the girl for my money," he declared.	"That's the girl for my money," he declared.	true	560.54	562.9	21.03778
203_126577_000029_000002	"She can eat out of my skillet the rest of her life.	"She can eat out of my skillet the rest of her life.	true	563.15	566.2	22
203_126577_000029_000003	Why, I never see such a fine girl.	Why, I never see such a fine girl.	true	566.36	568.635	17.926077
203_126577_000029_000004	I'm going back there and ask her to marry me.	I'm going back there and ask her to marry me.	true	568.635	570.85	16
203_126577_000029_000005	I guess she won't want to sling hash any more when she sees the pile of dust I've got."	I guess she won't want to sling hash any more when she sees the pile of dust I've got."	true	571.04	576.21	20.824892
203_126577_000030_000000	"You'll take another whiskey and milk now," Kraft persuaded, with Satan's smile.	"You'll take another whiskey and milk now," Kraft persuaded, with Satan's smile.	true	576.21	580.33	16
203_126577_000030_000001	"I thought you up-country fellows were better sports."	"I thought you up country fellows were better sports."	true	580.46	583.24	23.034693
203_126577_000031_000000	Kraft spent his puny store of coin at the bar and then gave Judkins and me such an appealing look that we went down to the last dime we had in toasting our guest.	Kraft spent his puny store of coin at the bar and then gave Judkins and me such an appealing look that we went down to the last dime we had in toasting our guest.	false	584.21	593.53	19
203_126577_000032_000000	Then, when our ammunition was gone and the Klondiker, still somewhat sober, began to babble again of Milly, Kraft whispered into his ear such a polite, barbed insult relating to people who were miserly with their funds, that the miner crashed down handful after handful of silver and notes, calling for all the fluids in the world to drown the imputation.	Then, when our ammunition was gone and the Klondiker, still somewhat sober, began to babble again of Milly, Kraft whispered into his ear such a polite, barbed insult relating to people who were miserly with their funds, that the miner crashed down handful after handful of silver and notes, calling for all the fluids in the world to drown the imputation.	false	594.08	614.41	19
203_126577_000033_000000	Thus the work was accomplished.	Thus the work was accomplished.	true	614.99	616.87	23.599012
203_126577_000033_000001	With his own guns we drove him from the field.	With his own guns we drove him from the field.	true	617.15	619.83	21.030504
203_126577_000033_000002	And then we had him carted to a distant small hotel and put to bed with his nuggets and baby seal-skins stuffed around him.	And then we had him carted to a distant small hotel and put to bed with his nuggets and baby seal skins stuffed around him.	true	619.83	627.13	20.750738
203_126577_000034_000000	"He will never find Cypher's again," said Kraft.	"He will never find Cypher's again," said Kraft.	true	627.65	630.28	20.995523
203_126577_000034_000001	"He will propose to the first white apron he sees in a dairy restaurant to-morrow.	"He will propose to the first white apron he sees in a dairy restaurant to morrow.	true	630.29	634.72	18
203_126577_000034_000002	And Milly--I mean the Natural Adjustment--is saved!"	And Milly-I mean the Natural Adjustment-is saved!"	true	635.06	638.53	22.549658
203_126577_000035_000000	And back to Cypher's went we three, and, finding customers scarce, we joined hands and did an Indian dance with Milly in the centre.	And back to Cypher's went we three, and, finding customers scarce, we joined hands and did an Indian dance with Milly in the centre.	true	638.99	646.69	20
203_126577_000036_000000	This, I say, happened three years ago.	This, I say, happened three years ago.	true	648.59	650.8	21
203_126577_000036_000001	And about that time a little luck descended upon us three, and we were enabled to buy costlier and less wholesome food than Cypher's.	And about that time a little luck descended upon us three, and we were enabled to buy costlier and less wholesome food than Cypher's.	true	650.84	658.42	20
203_126577_000036_000002	Our paths separated, and I saw Kraft no more and Judkins seldom.	Our paths separated, and I saw Kraft no more and Judkins seldom.	true	658.61	664.605	22.836771
203_126577_000037_000000	But, as I said, I saw a painting the other day that was sold for $5,000.	But, as I said, I saw a painting the other day that was sold for five thousand dollars.	true	664.605	669.4	12
203_126577_000037_000001	The title was "Boadicea," and the figure seemed to fill all out-of-doors.	The title was "Boadicea," and the figure seemed to fill all out of doors.	true	669.83	675.52	22.705172
203_126577_000037_000002	But of all the picture's admirers who stood before it, I believe I was the only one who longed for Boadicea to stalk from her frame, bringing me corned-beef hash with poached egg.	But of all the picture's admirers who stood before it, I believe I was the only one who longed for Boadicea to stalk from her frame, bringing me corned beef hash with poached egg.	true	675.8	687.3	22
203_126577_000038_000000	I hurried away to see Kraft.	I hurried away to see Kraft.	false	687.3	690.01	22.23014
203_126577_000038_000001	His satanic eyes were the same, his hair was worse tangled, but his clothes had been made by a tailor.	His satanic eyes were the same, his hair was worse tangled, but his clothes had been made by a tailor.	false	690.02	696.4	21.10256
203_126577_000039_000000	"I didn't know," I said to him.	"I didn't know," I said to him.	true	696.71	698.8	21.835554
203_126577_000040_000000	"We've bought a cottage in the Bronx with the money," said he.	"We've bought a cottage in the Bronx with the money," said he.	true	699.59	702.55	24
203_126577_000040_000001	"Any evening at 7."	"Any evening at seven."	true	702.59	704.11	18.809362
203_126577_000041_000000	"Then," said I, "when you led us against the lumberman--the--Klondiker --it wasn't altogether on account of the Unerring Artistic Adjustment of Nature?"	"Then," said I, "when you led us against the lumberman-the-Klondiker --it wasn't altogether on account of the Unerring Artistic Adjustment of Nature?"	true	704.84	714.16	23.115358
203_126577_000042_000000	"Well, not altogether," said Kraft, with a grin.	"Well, not altogether," said Kraft, with a grin.	true	714.86	720.06	21.338917
203_126577_000043_000000	MEMOIRS OF A YELLOW DOG	MEMOIRS OF A YELLOW DOG	false	720.06	721.65	19.205412
203_126577_000044_000000	I don't suppose it will knock any of you people off your perch to read a contribution from an animal.	I don't suppose it will knock any of you people off your perch to read a contribution from an animal.	false	721.65	722.91	22.95752
203_126577_000044_000001	Mr. Kipling and a good many others have demonstrated the fact that animals can express themselves in remunerative English, and no magazine goes to press nowadays without an animal story in it, except the old-style monthlies that are still running pictures of Bryan and the Mont Pelee horror.	mr Kipling and a good many others have demonstrated the fact that animals can express themselves in remunerative English, and no magazine goes to press nowadays without an animal story in it, except the old style monthlies that are still running pictures of Bryan and the Mont Pelee horror.	false	722.91	725.37	1
