1323_138617_000000_000000	PART 9	PART nine	false	0.48	22.15	19.240833
1323_138617_000003_000007	Chance is a word without a meaning.	Chance is a word without a meaning.	true	215.63	218.11	14
1323_138617_000003_000008	Was it Nothing?	Was it Nothing?	true	218.24	219.49	19
1323_138617_000003_000009	But that can never produce any thing.	But that can never produce any thing.	false	219.92	222.12	23.184237
1323_138617_000003_000010	We must, therefore, have recourse to a necessarily existent Being, who carries the REASON of his existence in himself, and who cannot be supposed not to exist, without an express contradiction.	We must, therefore, have recourse to a necessarily existent Being, who carries the REASON of his existence in himself, and who cannot be supposed not to exist, without an express contradiction.	true	222.12	235.66	17
1323_138617_000003_000011	There is, consequently, such a Being; that is, there is a Deity.	There is, consequently, such a Being; that is, there is a Deity.	true	235.91	240.13	20.652267
1323_138617_000004_000000	I shall not leave it to PHILO, said CLEANTHES, though I know that the starting objections is his chief delight, to point out the weakness of this metaphysical reasoning.	I shall not leave it to PHILO, said c l e a n t h e s, though I know that the starting objections is his chief delight, to point out the weakness of this metaphysical reasoning.	false	242.03	252.22	18.903568
1323_138617_000004_000001	It seems to me so obviously ill-grounded, and at the same time of so little consequence to the cause of true piety and religion, that I shall myself venture to show the fallacy of it.	It seems to me so obviously ill grounded, and at the same time of so little consequence to the cause of true piety and religion, that I shall myself venture to show the fallacy of it.	true	252.56	263.65	16
1323_138617_000005_000000	I shall begin with observing, that there is an evident absurdity in pretending to demonstrate a matter of fact, or to prove it by any arguments a priori.	I shall begin with observing, that there is an evident absurdity in pretending to demonstrate a matter of fact, or to prove it by any arguments a priori.	false	264.41	274.03	17
1323_138617_000005_000001	Nothing is demonstrable, unless the contrary implies a contradiction.	Nothing is demonstrable, unless the contrary implies a contradiction.	true	274.46	278.5	18
1323_138617_000005_000002	Nothing, that is distinctly conceivable, implies a contradiction.	Nothing, that is distinctly conceivable, implies a contradiction.	true	278.96	283.18	15
1323_138617_000005_000003	Whatever we conceive as existent, we can also conceive as non-existent.	Whatever we conceive as existent, we can also conceive as non-existent.	true	283.67	288.34	15
1323_138617_000005_000004	There is no being, therefore, whose non-existence implies a contradiction.	There is no being, therefore, whose non existence implies a contradiction.	true	288.65	293.29	12
1323_138617_000005_000005	Consequently there is no being, whose existence is demonstrable.	Consequently there is no being, whose existence is demonstrable.	true	293.57	297.43	15
1323_138617_000005_000006	I propose this argument as entirely decisive, and am willing to rest the whole controversy upon it.	I propose this argument as entirely decisive, and am willing to rest the whole controversy upon it.	true	298.01	303.91	16
1323_138617_000006_000000	It is pretended that the Deity is a necessarily existent being; and this necessity of his existence is attempted to be explained by asserting, that if we knew his whole essence or nature, we should perceive it to be as impossible for him not to exist, as for twice two not to be four.	It is pretended that the Deity is a necessarily existent being; and this necessity of his existence is attempted to be explained by asserting, that if we knew his whole essence or nature, we should perceive it to be as impossible for him not to exist, as for twice two not to be four.	false	304.67	322.96	15
1323_138617_000006_000001	But it is evident that this can never happen, while our faculties remain the same as at present.	But it is evident that this can never happen, while our faculties remain the same as at present.	true	323.36	329.29	19.712149
1323_138617_000006_000002	It will still be possible for us, at any time, to conceive the non-existence of what we formerly conceived to exist; nor can the mind ever lie under a necessity of supposing any object to remain always in being; in the same manner as we lie under a necessity of always conceiving twice two to be four.	It will still be possible for us, at any time, to conceive the non existence of what we formerly conceived to exist; nor can the mind ever lie under a necessity of supposing any object to remain always in being; in the same manner as we lie under a necessity of always conceiving twice two to be four.	true	329.81	349.39	14
1323_138617_000006_000003	The words, therefore, necessary existence, have no meaning; or, which is the same thing, none that is consistent.	The words, therefore, necessary existence, have no meaning; or, which is the same thing, none that is consistent.	true	350.15	358.45	19
1323_138617_000007_000000	But further, why may not the material universe be the necessarily existent Being, according to this pretended explication of necessity?	But further, why may not the material universe be the necessarily existent Being, according to this pretended explication of necessity?	true	359.3	368.17	16
1323_138617_000007_000001	We dare not affirm that we know all the qualities of matter; and for aught we can determine, it may contain some qualities, which, were they known, would make its non-existence appear as great a contradiction as that twice two is five.	We dare not affirm that we know all the qualities of matter; and for aught we can determine, it may contain some qualities, which, were they known, would make its non existence appear as great a contradiction as that twice two is five.	true	368.81	383.59	16
1323_138617_000007_000002	I find only one argument employed to prove, that the material world is not the necessarily existent Being: and this argument is derived from the contingency both of the matter and the form of the world.	I find only one argument employed to prove, that the material world is not the necessarily existent Being: and this argument is derived from the contingency both of the matter and the form of the world.	false	384.08	396.58	16
1323_138617_000007_000003	"Any particle of matter," it is said[]Dr.	"Any particle of matter," it is said[]dr	false	397.58	400.26	15
1323_138617_000007_000004	Clarke, "may be conceived to be annihilated; and any form may be conceived to be altered.	Clarke, "may be conceived to be annihilated; and any form may be conceived to be altered.	false	400.26	405.73	19.553532
1323_138617_000007_000005	Such an annihilation or alteration, therefore, is not impossible." But it seems a great partiality not to perceive, that the same argument extends equally to the Deity, so far as we have any conception of him; and that the mind can at least imagine him to be non-existent, or his attributes to be altered.	Such an annihilation or alteration, therefore, is not impossible." But it seems a great partiality not to perceive, that the same argument extends equally to the Deity, so far as we have any conception of him; and that the mind can at least imagine him to be non-existent, or his attributes to be altered.	false	405.92	427.45	19.818644
1323_138617_000007_000006	It must be some unknown, inconceivable qualities, which can make his non-existence appear impossible, or his attributes unalterable: And no reason can be assigned, why these qualities may not belong to matter.	It must be some unknown, inconceivable qualities, which can make his non existence appear impossible, or his attributes unalterable: And no reason can be assigned, why these qualities may not belong to matter.	true	427.82	441.4	18
1323_138617_000007_000007	As they are altogether unknown and inconceivable, they can never be proved incompatible with it.	As they are altogether unknown and inconceivable, they can never be proved incompatible with it.	true	442.04	448.45	18
1323_138617_000008_000000	Add to this, that in tracing an eternal succession of objects, it seems absurd to inquire for a general cause or first author.	Add to this, that in tracing an eternal succession of objects, it seems absurd to inquire for a general cause or first author.	true	449.57	457.81	17
1323_138617_000008_000001	How can any thing, that exists from eternity, have a cause, since that relation implies a priority in time, and a beginning of existence?	How can any thing, that exists from eternity, have a cause, since that relation implies a priority in time, and a beginning of existence?	true	458.3	468.07	18
1323_138617_000009_000000	In such a chain, too, or succession of objects, each part is caused by that which preceded it, and causes that which succeeds it.	In such a chain, too, or succession of objects, each part is caused by that which preceded it, and causes that which succeeds it.	true	468.92	478.12	20
1323_138617_000009_000001	Where then is the difficulty?	Where then is the difficulty?	true	478.37	480.25	19.918606
1323_138617_000009_000002	But the whole, you say, wants a cause.	But the whole, you say, wants a cause.	false	480.62	483.55	18
1323_138617_000009_000003	I answer, that the uniting of these parts into a whole, like the uniting of several distinct countries into one kingdom, or several distinct members into one body, is performed merely by an arbitrary act of the mind, and has no influence on the nature of things.	I answer, that the uniting of these parts into a whole, like the uniting of several distinct countries into one kingdom, or several distinct members into one body, is performed merely by an arbitrary act of the mind, and has no influence on the nature of things.	true	483.83	500.95	17
1323_138617_000009_000004	Did I show you the particular causes of each individual in a collection of twenty particles of matter, I should think it very unreasonable, should you afterwards ask me, what was the cause of the whole twenty.	Did I show you the particular causes of each individual in a collection of twenty particles of matter, I should think it very unreasonable, should you afterwards ask me, what was the cause of the whole twenty.	true	501.74	514.42	20.389708
1323_138617_000009_000005	This is sufficiently explained in explaining the cause of the parts.	This is sufficiently explained in explaining the cause of the parts.	true	514.46	518.62	18
1323_138617_000010_000000	Though the reasonings which you have urged, CLEANTHES, may well excuse me, said PHILO, from starting any further difficulties, yet I cannot forbear insisting still upon another topic.	Though the reasonings which you have urged, c l e a n t h e s, may well excuse me, said PHILO, from starting any further difficulties, yet I cannot forbear insisting still upon another topic.	false	520.13	532.75	20
1323_138617_000010_000001	It is observed by arithmeticians, that the products of 9, compose always either 9, or some lesser product of 9, if you add together all the characters of which any of the former products is composed.	It is observed by arithmeticians, that the products of nine, compose always either nine, or some lesser product of nine, if you add together all the characters of which any of the former products is composed.	true	533.54	547	20
1323_138617_000010_000002	Thus, of 18, 27, 36, which are products of 9, you make 9 by adding 1 to 8, 2 to 7, 3 to 6.	Thus, of eighteen, twenty seven, thirty six, which are products of nine, you make nine by adding one to eight, two to seven, three to six.	true	547.55	557.77	18
1323_138617_000010_000003	Thus, 369 is a product also of 9; and if you add 3, 6, and 9, you make 18, a lesser product of 9.	Thus, three hundred sixty nine is a product also of nine; and if you add three, six, and nine, you make eighteen, a lesser product of nine.	false	558.23	567.31	19
1323_138617_000010_000004	To a superficial observer, so wonderful a regularity may be admired as the effect either of chance or design: but a skilful algebraist immediately concludes it to be the work of necessity, and demonstrates, that it must for ever result from the nature of these numbers.	To a superficial observer, so wonderful a regularity may be admired as the effect either of chance or design: but a skilful algebraist immediately concludes it to be the work of necessity, and demonstrates, that it must for ever result from the nature of these numbers.	true	568.13	585.28	16
1323_138617_000010_000005	Is it not probable, I ask, that the whole economy of the universe is conducted by a like necessity, though no human algebra can furnish a key which solves the difficulty?	Is it not probable, I ask, that the whole economy of the universe is conducted by a like necessity, though no human algebra can furnish a key which solves the difficulty?	true	585.95	596.38	16
1323_138617_000010_000006	And instead of admiring the order of natural beings, may it not happen, that, could we penetrate into the intimate nature of bodies, we should clearly see why it was absolutely impossible they could ever admit of any other disposition?	And instead of admiring the order of natural beings, may it not happen, that, could we penetrate into the intimate nature of bodies, we should clearly see why it was absolutely impossible they could ever admit of any other disposition?	false	596.99	611.05	17
1323_138617_000010_000007	So dangerous is it to introduce this idea of necessity into the present question! and so naturally does it afford an inference directly opposite to the religious hypothesis!	So dangerous is it to introduce this idea of necessity into the present question! and so naturally does it afford an inference directly opposite to the religious hypothesis!	true	611.75	622.57	18
1323_138617_000011_000000	But dropping all these abstractions, continued PHILO, and confining ourselves to more familiar topics, I shall venture to add an observation, that the argument a priori has seldom been found very convincing, except to people of a metaphysical head, who have accustomed themselves to abstract reasoning, and who, finding from mathematics, that the understanding frequently leads to truth through obscurity, and, contrary to first appearances, have transferred the same habit of thinking to subjects where it ought not to have place.	But dropping all these abstractions, continued PHILO, and confining ourselves to more familiar topics, I shall venture to add an observation, that the argument a priori has seldom been found very convincing, except to people of a metaphysical head, who have accustomed themselves to abstract reasoning, and who, finding from mathematics, that the understanding frequently leads to truth through obscurity, and, contrary to first appearances, have transferred the same habit of thinking to subjects where it ought not to have place.	true	624.23	657.94	20
1323_138617_000011_000001	Other people, even of good sense and the best inclined to religion, feel always some deficiency in such arguments, though they are not perhaps able to explain distinctly where it lies; a certain proof that men ever did, and ever will derive their religion from other sources than from this species of reasoning.	Other people, even of good sense and the best inclined to religion, feel always some deficiency in such arguments, though they are not perhaps able to explain distinctly where it lies; a certain proof that men ever did, and ever will derive their religion from other sources than from this species of reasoning.	true	658.55	679.08	18
1323_138617_000012_000000	PART 10	PART ten	false	679.08	679.2	2
1323_138617_000013_000000	It is my opinion, I own, replied DEMEA, that each man feels, in a manner, the truth of religion within his own breast, and, from a consciousness of his imbecility and misery, rather than from any reasoning, is led to seek protection from that Being, on whom he and all nature is dependent.	It is my opinion, I own, replied d e m e a, that each man feels, in a manner, the truth of religion within his own breast, and, from a consciousness of his imbecility and misery, rather than from any reasoning, is led to seek protection from that Being, on whom he and all nature is dependent.	false	679.2	682.32	16.799082
1323_138617_000013_000001	So anxious or so tedious are even the best scenes of life, that futurity is still the object of all our hopes and fears.	So anxious or so tedious are even the best scenes of life, that futurity is still the object of all our hopes and fears.	false	682.32	684.9	10
1323_138617_000013_000002	We incessantly look forward, and endeavour, by prayers, adoration, and sacrifice, to appease those unknown powers, whom we find, by experience, so able to afflict and oppress us.	We incessantly look forward, and endeavour, by prayers, adoration, and sacrifice, to appease those unknown powers, whom we find, by experience, so able to afflict and oppress us.	false	684.9	685.98	21.257858
1323_138617_000013_000003	Wretched creatures that we are!	Wretched creatures that we are!	false	685.98	685.98	
1323_138617_000013_000004	what resource for us amidst the innumerable ills of life, did not religion suggest some methods of atonement, and appease those terrors with which we are incessantly agitated and tormented?	what resource for us amidst the innumerable ills of life, did not religion suggest some methods of atonement, and appease those terrors with which we are incessantly agitated and tormented?	false	685.98	691.95	11.087329
