3340_169293_000000_000000	Chapter XIV.	Chapter fourteen.	false	0.12	20.235	20.05164
3340_169293_000005_000000	Not only this, but the opportunity here afforded will awaken among us a new era of industrial progress.	Not only this, but the opportunity here afforded will awaken among us a new era of industrial progress.	true	124.56	130.69	11
3340_169293_000005_000001	Ignorant and inexperienced, it is not strange that in the first years of our new life we began at the top instead of at the bottom; that a seat in Congress or the state legislature was more sought than real estate or industrial skill; that the political convention or stump speaking had more attractions than starting a dairy farm or truck garden.	Ignorant and inexperienced, it is not strange that in the first years of our new life we began at the top instead of at the bottom; that a seat in Congress or the state legislature was more sought than real estate or industrial skill; that the political convention or stump speaking had more attractions than starting a dairy farm or truck garden.	true	131.09	151.15	18
3340_169293_000006_000000	A ship lost at sea for many days suddenly sighted a friendly vessel. From the mast of the unfortunate vessel was seen a signal, "Water, water; we die of thirst!"	A ship lost at sea for many days suddenly sighted a friendly vessel. From the mast of the unfortunate vessel was seen a signal, "Water, water; we die of thirst!"	true	151.67	162.19	19
3340_169293_000006_000001	The answer from the friendly vessel at once came back, "Cast down your bucket where you are." A second time the signal, "Water, water; send us water!" ran up from the distressed vessel, and was answered, "Cast down your bucket where you are." And a third and fourth signal for water was answered, "Cast down your bucket where you are." The captain of the distressed vessel, at last heading the injunction, cast down his bucket, and it came up full of fresh, sparkling water from the mouth of the Amazon River.	The answer from the friendly vessel at once came back, "Cast down your bucket where you are." A second time the signal, "Water, water; send us water!" ran up from the distressed vessel, and was answered, "Cast down your bucket where you are." And a third and fourth signal for water was answered, "Cast down your bucket where you are." The captain of the distressed vessel, at last heading the injunction, cast down his bucket, and it came up full of fresh, sparkling water from the mouth of the Amazon River.	true	162.5	190.21	15
3340_169293_000006_000002	To those of my race who depend on bettering their condition in a foreign land or who underestimate the importance of cultivating friendly relations with the Southern white man, who is their next-door neighbour, I would say: "Cast down your bucket where you are"--cast it down in making friends in every manly way of the people of all races by whom we are surrounded.	To those of my race who depend on bettering their condition in a foreign land or who underestimate the importance of cultivating friendly relations with the Southern white man, who is their next door neighbour, I would say: "Cast down your bucket where you are"--cast it down in making friends in every manly way of the people of all races by whom we are surrounded.	true	190.55	209.175	11
3340_169293_000007_000000	Cast it down in agriculture, mechanics, in commerce, in domestic service, and in the professions.	Cast it down in agriculture, mechanics, in commerce, in domestic service, and in the professions.	true	209.175	214.605	13
3340_169293_000007_000001	And in this connection it is well to bear in mind that whatever other sins the South may be called to bear, when it comes to business, pure and simple, it is in the South that the Negro is given a man's chance in the commercial world, and in nothing is this Exposition more eloquent than in emphasizing this chance.	And in this connection it is well to bear in mind that whatever other sins the South may be called to bear, when it comes to business, pure and simple, it is in the South that the Negro is given a man's chance in the commercial world, and in nothing is this Exposition more eloquent than in emphasizing this chance.	true	214.605	230.01	10
3340_169293_000007_000002	Our greatest danger is that in the great leap from slavery to freedom we may overlook the fact that the masses of us are to live by the productions of our hands, and fail to keep in mind that we shall prosper in proportion as we learn to dignify and glorify common labour and put brains and skill into the common occupations of life; shall prosper in proportion as we learn to draw the line between the superficial and the substantial, the ornamental gewgaws of life and the useful.	Our greatest danger is that in the great leap from slavery to freedom we may overlook the fact that the masses of us are to live by the productions of our hands, and fail to keep in mind that we shall prosper in proportion as we learn to dignify and glorify common labour and put brains and skill into the common occupations of life; shall prosper in proportion as we learn to draw the line between the superficial and the substantial, the ornamental gewgaws of life and the useful.	false	230.01	255.55	10
3340_169293_000007_000003	No race can prosper till it learns that there is as much dignity in tilling a field as in writing a poem.	No race can prosper till it learns that there is as much dignity in tilling a field as in writing a poem.	true	255.68	261.81	16
3340_169293_000007_000004	It is at the bottom of life we must begin, and not at the top.	It is at the bottom of life we must begin, and not at the top.	true	261.81	265.575	17
3340_169293_000007_000005	Nor should we permit our grievances to overshadow our opportunities.	Nor should we permit our grievances to overshadow our opportunities.	true	265.575	269.31	12
3340_169293_000008_000000	To those of the white race who look to the incoming of those of foreign birth and strange tongue and habits of the prosperity of the South, were I permitted I would repeat what I say to my own race: "Cast down your bucket where you are." Cast it down among the eight millions of Negroes whose habits you know, whose fidelity and love you have tested in days when to have proved treacherous meant the ruin of your firesides.	To those of the white race who look to the incoming of those of foreign birth and strange tongue and habits of the prosperity of the South, were I permitted I would repeat what I say to my own race: "Cast down your bucket where you are." Cast it down among the eight millions of Negroes whose habits you know, whose fidelity and love you have tested in days when to have proved treacherous meant the ruin of your firesides.	true	269.31	292.62	13
3340_169293_000008_000001	Cast down your bucket among these people who have, without strikes and labour wars, tilled your fields, cleared your forests, builded your railroads and cities, and brought forth treasures from the bowels of the earth, and helped make possible this magnificent representation of the progress of the South.	Cast down your bucket among these people who have, without strikes and labour wars, tilled your fields, cleared your forests, builded your railroads and cities, and brought forth treasures from the bowels of the earth, and helped make possible this magnificent representation of the progress of the South.	true	292.62	308.2	12
3340_169293_000008_000002	Casting down your bucket among my people, helping and encouraging them as you are doing on these grounds, and to education of head, hand, and heart, you will find that they will buy your surplus land, make blossom the waste places in your fields, and run your factories.	Casting down your bucket among my people, helping and encouraging them as you are doing on these grounds, and to education of head, hand, and heart, you will find that they will buy your surplus land, make blossom the waste places in your fields, and run your factories.	true	308.3	323.05	12
3340_169293_000008_000003	While doing this, you can be sure in the future, as in the past, that you and your families will be surrounded by the most patient, faithful, law-abiding, and unresentful people that the world has seen. As we have proved our loyalty to you in the past, nursing your children, watching by the sick-bed of your mothers and fathers, and often following them with tear-dimmed eyes to their graves, so in the future, in our humble way, we shall stand by you with a devotion that no foreigner can approach, ready to lay down our lives, if need be, in defence of yours, interlacing our industrial, commercial, civil, and religious life with yours in a way that shall make the interests of both races one.	While doing this, you can be sure in the future, as in the past, that you and your families will be surrounded by the most patient, faithful, law abiding, and unresentful people that the world has seen. As we have proved our loyalty to you in the past, nursing your children, watching by the sick bed of your mothers and fathers, and often following them with tear dimmed eyes to their graves, so in the future, in our humble way, we shall stand by you with a devotion that no foreigner can approach, ready to lay down our lives, if need be, in defence of yours, interlacing our industrial, commercial, civil, and religious life with yours in a way that shall make the interests of both races one.	true	323.63	359.35	11
3340_169293_000008_000004	In all things that are purely social we can be as separate as the fingers, yet one as the hand in all things essential to mutual progress.	In all things that are purely social we can be as separate as the fingers, yet one as the hand in all things essential to mutual progress.	false	359.54	367.84	16
3340_169293_000009_000000	There is no defence or security for any of us except in the highest intelligence and development of all.	There is no defence or security for any of us except in the highest intelligence and development of all.	true	368.3	373.875	12
3340_169293_000009_000001	If anywhere there are efforts tending to curtail the fullest growth of the Negro, let these efforts be turned into stimulating, encouraging, and making him the most useful and intelligent citizen.	If anywhere there are efforts tending to curtail the fullest growth of the Negro, let these efforts be turned into stimulating, encouraging, and making him the most useful and intelligent citizen.	true	373.875	383.64	10
3340_169293_000009_000002	Effort or means so invested will pay a thousand per cent interest.	Effort or means so invested will pay a thousand per cent interest.	false	383.64	387.225	12
3340_169293_000009_000003	These efforts will be twice blessed--"blessing him that gives and him that takes."	These efforts will be twice blessed-"blessing him that gives and him that takes."	false	387.225	391.84	16
3340_169293_000010_000000	There is no escape through law of man or God from the inevitable:--	There is no escape through law of man or God from the inevitable:--	true	392.06	395.65	18
3340_169293_000011_000000	The laws of changeless justice bind Oppressor with oppressed; And close as sin and suffering joined We march to fate abreast.	The laws of changeless justice bind Oppressor with oppressed; And close as sin and suffering joined We march to fate abreast.	true	395.87	403.93	19.284824
3340_169293_000012_000000	Nearly sixteen millions of hands will aid you in pulling the load upward, or they will pull against you the load downward.	Nearly sixteen millions of hands will aid you in pulling the load upward, or they will pull against you the load downward.	true	404.09	410.445	15
3340_169293_000012_000001	We shall constitute one-third and more of the ignorance and crime of the South, or one-third its intelligence and progress; we shall contribute one-third to the business and industrial prosperity of the South, or we shall prove a veritable body of death, stagnating, depressing, retarding every effort to advance the body politic.	We shall constitute one third and more of the ignorance and crime of the South, or one third its intelligence and progress; we shall contribute one third to the business and industrial prosperity of the South, or we shall prove a veritable body of death, stagnating, depressing, retarding every effort to advance the body politic.	true	410.445	426.79	13
3340_169293_000013_000000	Gentlemen of the Exposition, as we present to you our humble effort at an exhibition of our progress, you must not expect overmuch.	Gentlemen of the Exposition, as we present to you our humble effort at an exhibition of our progress, you must not expect overmuch.	false	427.16	434.56	15
3340_169293_000013_000001	Starting thirty years ago with ownership here and there in a few quilts and pumpkins and chickens (gathered from miscellaneous sources), remember the path that has led from these to the inventions and production of agricultural implements, buggies, steam-engines, newspapers, books, statuary, carving, paintings, the management of drug-stores and banks, has not been trodden without contact with thorns and thistles.	Starting thirty years ago with ownership here and there in a few quilts and pumpkins and chickens (gathered from miscellaneous sources), remember the path that has led from these to the inventions and production of agricultural implements, buggies, steam engines, newspapers, books, statuary, carving, paintings, the management of drug stores and banks, has not been trodden without contact with thorns and thistles.	true	434.63	456.885	11
3340_169293_000013_000002	While we take pride in what we exhibit as a result of our independent efforts, we do not for a moment forget that our part in this exhibition would fall far short of your expectations but for the constant help that has come to our education life, not only from the Southern states, but especially from Northern philanthropists, who have made their gifts a constant stream of blessing and encouragement.	While we take pride in what we exhibit as a result of our independent efforts, we do not for a moment forget that our part in this exhibition would fall far short of your expectations but for the constant help that has come to our education life, not only from the Southern states, but especially from Northern philanthropists, who have made their gifts a constant stream of blessing and encouragement.	true	456.885	477.48	11
3340_169293_000014_000000	The wisest among my race understand that the agitation of questions of social equality is the extremest folly, and that progress in the enjoyment of all the privileges that will come to us must be the result of severe and constant struggle rather than of artificial forcing.	The wisest among my race understand that the agitation of questions of social equality is the extremest folly, and that progress in the enjoyment of all the privileges that will come to us must be the result of severe and constant struggle rather than of artificial forcing.	true	477.48	492.585	12
3340_169293_000014_000001	No race that has anything to contribute to the markets of the world is long in any degree ostracized.	No race that has anything to contribute to the markets of the world is long in any degree ostracized.	true	492.585	498.43	11
3340_169293_000014_000002	It is important and right that all privileges of the law be ours, but it is vastly more important that we be prepared for the exercises of these privileges.	It is important and right that all privileges of the law be ours, but it is vastly more important that we be prepared for the exercises of these privileges.	true	498.65	507.495	14
3340_169293_000014_000003	The opportunity to earn a dollar in a factory just now is worth infinitely more than the opportunity to spend a dollar in an opera-house.	The opportunity to earn a dollar in a factory just now is worth infinitely more than the opportunity to spend a dollar in an opera house.	true	507.495	515.14	13
3340_169293_000015_000000	In conclusion, may I repeat that nothing in thirty years has given us more hope and encouragement, and drawn us so near to you of the white race, as this opportunity offered by the Exposition; and here bending, as it were, over the altar that represents the results of the struggles of your race and mine, both starting practically empty-handed three decades ago, I pledge that in your effort to work out the great and intricate problem which God has laid at the doors of the South, you shall have at all times the patient, sympathetic help of my race; only let this be constantly in mind, that, while from representations in these buildings of the product of field, of forest, of mine, of factory, letters, and art, much good will come, yet far above and beyond material benefits will be that higher good, that, let us pray God, will come, in a blotting out of sectional differences and racial animosities and suspicions, in a determination to administer absolute justice, in a willing obedience among all classes to the mandates of law.	In conclusion, may I repeat that nothing in thirty years has given us more hope and encouragement, and drawn us so near to you of the white race, as this opportunity offered by the Exposition; and here bending, as it were, over the altar that represents the results of the struggles of your race and mine, both starting practically empty handed three decades ago, I pledge that in your effort to work out the great and intricate problem which God has laid at the doors of the South, you shall have at all times the patient, sympathetic help of my race; only let this be constantly in mind, that, while from representations in these buildings of the product of field, of forest, of mine, of factory, letters, and art, much good will come, yet far above and beyond material benefits will be that higher good, that, let us pray God, will come, in a blotting out of sectional differences and racial animosities and suspicions, in a determination to administer absolute justice, in a willing obedience among all classes to the mandates of law.	false	515.93	571.77	12
3340_169293_000015_000001	This, this, coupled with our material prosperity, will bring into our beloved South a new heaven and a new earth.	This, this, coupled with our material prosperity, will bring into our beloved South a new heaven and a new earth.	true	571.77	579.19	20.536417
3340_169293_000016_000000	The first thing that I remember, after I had finished speaking, was that Governor Bullock rushed across the platform and took me by the hand, and that others did the same.	The first thing that I remember, after I had finished speaking, was that Governor Bullock rushed across the platform and took me by the hand, and that others did the same.	true	580.46	588.465	14
3340_169293_000016_000001	I received so many and such hearty congratulations that I found it difficult to get out of the building. I did not appreciate to any degree, however, the impression which my address seemed to have made, until the next morning, when I went into the business part of the city.	I received so many and such hearty congratulations that I found it difficult to get out of the building. I did not appreciate to any degree, however, the impression which my address seemed to have made, until the next morning, when I went into the business part of the city.	false	588.465	601.545	12
3340_169293_000016_000002	As soon as I was recognized, I was surprised to find myself pointed out and surrounded by a crowd of men who wished to shake hands with me.	As soon as I was recognized, I was surprised to find myself pointed out and surrounded by a crowd of men who wished to shake hands with me.	true	601.545	608.13	15
3340_169293_000016_000003	This was kept up on every street on to which I went, to an extent which embarrassed me so much that I went back to my boarding-place.	This was kept up on every street on to which I went, to an extent which embarrassed me so much that I went back to my boarding place.	true	608.13	614.67	14
3340_169293_000016_000004	The next morning I returned to Tuskegee.	The next morning I returned to Tuskegee.	true	614.67	616.725	17
3340_169293_000016_000005	At the station in Atlanta, and at almost all of the stations at which the train stopped between that city and Tuskegee, I found a crowd of people anxious to shake hands with me.	At the station in Atlanta, and at almost all of the stations at which the train stopped between that city and Tuskegee, I found a crowd of people anxious to shake hands with me.	true	616.725	624.585	11
3340_169293_000017_000000	The papers in all parts of the United States published the address in full, and for months afterward there were complimentary editorial references to it.	The papers in all parts of the United States published the address in full, and for months afterward there were complimentary editorial references to it.	true	624.585	631.695	11
3340_169293_000017_000001	Mr. Clark Howell, the editor of the Atlanta Constitution, telegraphed to a New York paper, among other words, the following, "I do not exaggerate when I say that Professor Booker T. Washington's address yesterday was one of the most notable speeches, both as to character and as to the warmth of its reception, ever delivered to a Southern audience.	mr Clark Howell, the editor of the Atlanta Constitution, telegraphed to a New York paper, among other words, the following, "I do not exaggerate when I say that Professor Booker t Washington's address yesterday was one of the most notable speeches, both as to character and as to the warmth of its reception, ever delivered to a Southern audience.	true	631.695	650.595	18
3340_169293_000017_000002	The address was a revelation.	The address was a revelation.	true	650.595	652.275	11
3340_169293_000017_000003	The whole speech is a platform upon which blacks and whites can stand with full justice to each other."	The whole speech is a platform upon which blacks and whites can stand with full justice to each other."	true	652.275	658.06	16
3340_169293_000018_000000	The Boston Transcript said editorially: "The speech of Booker T. Washington at the Atlanta Exposition, this week, seems to have dwarfed all the other proceedings and the Exposition itself.	The Boston Transcript said editorially: "The speech of Booker t Washington at the Atlanta Exposition, this week, seems to have dwarfed all the other proceedings and the Exposition itself.	false	658.67	668.685	17
3340_169293_000018_000001	The sensation that it has caused in the press has never been equalled."	The sensation that it has caused in the press has never been equalled."	true	668.685	672.28	19
3340_169293_000019_000000	I very soon began receiving all kinds of propositions from lecture bureaus, and editors of magazines and papers, to take the lecture platform, and to write articles.	I very soon began receiving all kinds of propositions from lecture bureaus, and editors of magazines and papers, to take the lecture platform, and to write articles.	true	673.1	681.85	12
3340_169293_000019_000001	One lecture bureau offered me fifty thousand dollars, or two hundred dollars a night and expenses, if I would place my services at its disposal for a given period.	One lecture bureau offered me fifty thousand dollars, or two hundred dollars a night and expenses, if I would place my services at its disposal for a given period.	true	681.95	690.34	14
3340_169293_000019_000002	To all these communications I replied that my life-work was at Tuskegee; and that whenever I spoke it must be in the interests of Tuskegee school and my race, and that I would enter into no arrangements that seemed to place a mere commercial value upon my services.	To all these communications I replied that my life work was at Tuskegee; and that whenever I spoke it must be in the interests of Tuskegee school and my race, and that I would enter into no arrangements that seemed to place a mere commercial value upon my services.	false	690.35	703.12	11
3340_169293_000020_000000	Some days after its delivery I sent a copy of my address to the President of the United States, the Hon.	Some days after its delivery I sent a copy of my address to the President of the United States, the honorable	true	703.22	708.6	14
3340_169293_000020_000001	Grover Cleveland.	Grover Cleveland.	true	708.6	709.8	19.566328
3340_169293_000020_000002	I received from him the following autograph reply:--	I received from him the following autograph reply:--	true	709.8	712.48	18.618635
3340_169293_000021_000000	Gray Gables, Buzzard's Bay, Mass.,	Gray Gables, Buzzard's Bay, Mass.,	false	713.45	716.52	23.873396
3340_169293_000022_000000	October 6, 1895.	october sixth eighteen ninety five.	true	716.52	719.26	21.946005
3340_169293_000023_000000	Booker T. Washington, Esq.:	Booker t Washington, e s q.:	false	719.33	721.8	22.702862
3340_169293_000024_000000	My Dear Sir: I thank you for sending me a copy of your address delivered at the Atlanta Exposition.	My Dear Sir: I thank you for sending me a copy of your address delivered at the Atlanta Exposition.	true	721.8	727.38	18
3340_169293_000025_000000	I thank you with much enthusiasm for making the address.	I thank you with much enthusiasm for making the address.	true	727.38	730.515	12
3340_169293_000025_000001	I have read it with intense interest, and I think the Exposition would be fully justified if it did not do more than furnish the opportunity for its delivery.	I have read it with intense interest, and I think the Exposition would be fully justified if it did not do more than furnish the opportunity for its delivery.	true	730.515	738.315	12
3340_169293_000025_000002	Your words cannot fail to delight and encourage all who wish well for your race; and if our coloured fellow-citizens do not from your utterances gather new hope and form new determinations to gain every valuable advantage offered them by their citizenship, it will be strange indeed.	Your words cannot fail to delight and encourage all who wish well for your race; and if our coloured fellow citizens do not from your utterances gather new hope and form new determinations to gain every valuable advantage offered them by their citizenship, it will be strange indeed.	true	738.315	753.43	12
3340_169293_000026_000000	Yours very truly,	Yours very truly,	true	753.83	755.25	20
3340_169293_000027_000000	Grover Cleveland.	Grover Cleveland.	true	755.25	756.64	19.356874
3340_169293_000028_000000	Later I met Mr. Cleveland, for the first time, when, as President, he visited the Atlanta Exposition.	Later I met mr Cleveland, for the first time, when, as President, he visited the Atlanta Exposition.	true	758	763.6	15
3340_169293_000028_000001	At the request of myself and others he consented to spend an hour in the Negro Building, for the purpose of inspecting the Negro exhibit and of giving the coloured people in attendance an opportunity to shake hands with him.	At the request of myself and others he consented to spend an hour in the Negro Building, for the purpose of inspecting the Negro exhibit and of giving the coloured people in attendance an opportunity to shake hands with him.	false	763.61	773.985	12
3340_169293_000028_000002	As soon as I met Mr. Cleveland I became impressed with his simplicity, greatness, and rugged honesty.	As soon as I met mr Cleveland I became impressed with his simplicity, greatness, and rugged honesty.	true	773.985	779.025	13
3340_169293_000028_000003	I have met him many times since then, both at public functions and at his private residence in Princeton, and the more I see of him the more I admire him.	I have met him many times since then, both at public functions and at his private residence in Princeton, and the more I see of him the more I admire him.	false	779.025	786.585	11
3340_169293_000028_000004	When he visited the Negro Building in Atlanta he seemed to give himself up wholly, for that hour, to the coloured people.	When he visited the Negro Building in Atlanta he seemed to give himself up wholly, for that hour, to the coloured people.	true	786.585	792.075	11
3340_169293_000028_000005	He seemed to be as careful to shake hands with some old coloured "auntie" clad partially in rags, and to take as much pleasure in doing so, as if he were greeting some millionaire.	He seemed to be as careful to shake hands with some old coloured "auntie" clad partially in rags, and to take as much pleasure in doing so, as if he were greeting some millionaire.	true	792.075	800.59	11
3340_169293_000028_000006	Many of the coloured people took advantage of the occasion to get him to write his name in a book or on a slip of paper.	Many of the coloured people took advantage of the occasion to get him to write his name in a book or on a slip of paper.	true	800.6	806.35	18
3340_169293_000028_000007	He was as careful and patient in doing this as if he were putting his signature to some great state document.	He was as careful and patient in doing this as if he were putting his signature to some great state document.	true	806.57	811.935	15
3340_169293_000029_000000	Mr. Cleveland has not only shown his friendship for me in many personal ways, but has always consented to do anything I have asked of him for our school.	mr Cleveland has not only shown his friendship for me in many personal ways, but has always consented to do anything I have asked of him for our school.	true	811.935	819.885	12
3340_169293_000029_000001	This he has done, whether it was to make a personal donation or to use his influence in securing the donations of others.	This he has done, whether it was to make a personal donation or to use his influence in securing the donations of others.	true	819.885	825.82	10
3340_169293_000029_000002	Judging from my personal acquaintance with Mr. Cleveland, I do not believe that he is conscious of possessing any colour prejudice.	Judging from my personal acquaintance with mr Cleveland, I do not believe that he is conscious of possessing any colour prejudice.	true	826.01	832.12	12
3340_169293_000029_000003	He is too great for that.	He is too great for that.	true	832.55	834.1	20.666683
3340_169293_000029_000004	In my contact with people I find that, as a rule, it is only the little, narrow people who live for themselves, who never read good books, who do not travel, who never open up their souls in a way to permit them to come into contact with other souls--with the great outside world.	In my contact with people I find that, as a rule, it is only the little, narrow people who live for themselves, who never read good books, who do not travel, who never open up their souls in a way to permit them to come into contact with other souls-with the great outside world.	true	834.32	848.535	12
3340_169293_000029_000005	No man whose vision is bounded by colour can come into contact with what is highest and best in the world.	No man whose vision is bounded by colour can come into contact with what is highest and best in the world.	true	848.535	853.935	14
3340_169293_000029_000006	In meeting men, in many places, I have found that the happiest people are those who do the most for others; the most miserable are those who do the least.	In meeting men, in many places, I have found that the happiest people are those who do the most for others; the most miserable are those who do the least.	false	853.935	861.67	14
3340_169293_000029_000007	I have also found that few things, if any, are capable of making one so blind and narrow as race prejudice.	I have also found that few things, if any, are capable of making one so blind and narrow as race prejudice.	true	861.98	868.06	11
3340_169293_000029_000008	I often say to our students, in the course of my talks to them on Sunday evenings in the chapel, that the longer I live and the more experience I have of the world, the more I am convinced that, after all, the one thing that is most worth living for--and dying for, if need be--is the opportunity of making some one else more happy and more useful.	I often say to our students, in the course of my talks to them on Sunday evenings in the chapel, that the longer I live and the more experience I have of the world, the more I am convinced that, after all, the one thing that is most worth living for-and dying for, if need be-is the opportunity of making some one else more happy and more useful.	false	868.49	886.33	12
3340_169293_000030_000000	The coloured people and the coloured newspapers at first seemed to be greatly pleased with the character of my Atlanta address, as well as with its reception.	The coloured people and the coloured newspapers at first seemed to be greatly pleased with the character of my Atlanta address, as well as with its reception.	false	887.96	894.975	14
3340_169293_000030_000001	But after the first burst of enthusiasm began to die away, and the coloured people began reading the speech in cold type, some of them seemed to feel that they had been hypnotized.	But after the first burst of enthusiasm began to die away, and the coloured people began reading the speech in cold type, some of them seemed to feel that they had been hypnotized.	true	894.975	903.975	12
3340_169293_000030_000002	They seemed to feel that I had been too liberal in my remarks toward the Southern whites, and that I had not spoken out strongly enough for what they termed the "rights" of my race.	They seemed to feel that I had been too liberal in my remarks toward the Southern whites, and that I had not spoken out strongly enough for what they termed the "rights" of my race.	true	903.975	912.735	11
3340_169293_000030_000003	For a while there was a reaction, so far as a certain element of my own race was concerned, but later these reactionary ones seemed to have been won over to my way of believing and acting.	For a while there was a reaction, so far as a certain element of my own race was concerned, but later these reactionary ones seemed to have been won over to my way of believing and acting.	false	912.735	922.36	12
3340_169293_000031_000000	While speaking of changes in public sentiment, I recall that about ten years after the school at Tuskegee was established, I had an experience that I shall never forget.	While speaking of changes in public sentiment, I recall that about ten years after the school at Tuskegee was established, I had an experience that I shall never forget.	true	923.12	931.75	16
3340_169293_000031_000001	Dr. Lyman Abbott, then the pastor of Plymouth Church, and also editor of the Outlook (then the Christian Union), asked me to write a letter for his paper giving my opinion of the exact condition, mental and moral, of the coloured ministers in the South, as based upon my observations.	dr Lyman Abbott, then the pastor of Plymouth Church, and also editor of the Outlook (then the Christian Union), asked me to write a letter for his paper giving my opinion of the exact condition, mental and moral, of the coloured ministers in the South, as based upon my observations.	true	931.94	947.23	15
3340_169293_000031_000002	I wrote the letter, giving the exact facts as I conceived them to be.	I wrote the letter, giving the exact facts as I conceived them to be.	true	947.3	951.13	14
3340_169293_000031_000003	The picture painted was a rather black one--or, since I am black, shall I say "white"?	The picture painted was a rather black one-or, since I am black, shall I say "white"?	true	951.26	956.14	20.069386
3340_169293_000031_000004	It could not be otherwise with a race but a few years out of slavery, a race which had not had time or opportunity to produce a competent ministry.	It could not be otherwise with a race but a few years out of slavery, a race which had not had time or opportunity to produce a competent ministry.	true	956.18	964.035	13
3340_169293_000032_000000	What I said soon reached every Negro minister in the country, I think, and the letters of condemnation which I received from them were not few.	What I said soon reached every Negro minister in the country, I think, and the letters of condemnation which I received from them were not few.	false	964.035	970.815	11
3340_169293_000032_000001	I think that for a year after the publication of this article every association and every conference or religious body of any kind, of my race, that met, did not fail before adjourning to pass a resolution condemning me, or calling upon me to retract or modify what I had said. Many of these organizations went so far in their resolutions as to advise parents to cease sending their children to Tuskegee.	I think that for a year after the publication of this article every association and every conference or religious body of any kind, of my race, that met, did not fail before adjourning to pass a resolution condemning me, or calling upon me to retract or modify what I had said. Many of these organizations went so far in their resolutions as to advise parents to cease sending their children to Tuskegee.	true	970.815	992.865	13
3340_169293_000032_000002	One association even appointed a "missionary" whose duty it was to warn the people against sending their children to Tuskegee.	One association even appointed a "missionary" whose duty it was to warn the people against sending their children to Tuskegee.	true	992.865	999.12	12
3340_169293_000032_000003	This missionary had a son in the school, and I noticed that, whatever the "missionary" might have said or done with regard to others, he was careful not to take his son away from the institution.	This missionary had a son in the school, and I noticed that, whatever the "missionary" might have said or done with regard to others, he was careful not to take his son away from the institution.	true	999.12	1008.34	14
3340_169293_000032_000004	Many of the coloured papers, especially those that were the organs of religious bodies, joined in the general chorus of condemnation or demands for retraction.	Many of the coloured papers, especially those that were the organs of religious bodies, joined in the general chorus of condemnation or demands for retraction.	false	1008.77	1016.62	11
3340_169293_000033_000000	During the whole time of the excitement, and through all the criticism, I did not utter a word of explanation or retraction.	During the whole time of the excitement, and through all the criticism, I did not utter a word of explanation or retraction.	true	1016.62	1022.59	13
