2230_148550_000000_000000	III	three	false	3.09	24.885	21.531237
2230_148550_000009_000001	"He's doing everybody this year, you know--"	"He's doing everybody this year, you know-"	true	318.5	320.62	20.492935
2230_148550_000010_000000	"As if that were a reason!" Undine heard Mrs. Fairford breathe to Mr. Bowen; who replied, at the same pitch: "It's a Van Degen reason, isn't it?"--to which Mrs. Fairford shrugged assentingly.	"As if that were a reason!" Undine heard mrs Fairford breathe to mr Bowen; who replied, at the same pitch: "It's a Van Degen reason, isn't it?"--to which mrs Fairford shrugged assentingly.	false	321.53	333.19	23.087952
2230_148550_000011_000000	"That delightful Popple--he paints so exactly as he talks!" the white-haired lady took it up.	"That delightful Popple-he paints so exactly as he talks!" the white haired lady took it up.	true	333.86	339.61	22.136395
2230_148550_000011_000001	"All his portraits seem to proclaim what a gentleman he is, and how he fascinates women!	"All his portraits seem to proclaim what a gentleman he is, and how he fascinates women!	true	340.01	344.71	23.984222
2230_148550_000011_000002	They're not pictures of Mrs. or Miss So-and-so, but simply of the impression Popple thinks he's made on them."	They're not pictures of mrs or Miss So and so, but simply of the impression Popple thinks he's made on them."	true	345.17	350.92	22.883917
2230_148550_000012_000000	Mrs. Fairford smiled.	mrs Fairford smiled.	true	351.71	353.35	22.932623
2230_148550_000012_000001	"I've sometimes thought," she mused, "that Mr. Popple must be the only gentleman I know; at least he's the only man who has ever told me he was a gentleman--and Mr. Popple never fails to mention it."	"I've sometimes thought," she mused, "that mr Popple must be the only gentleman I know; at least he's the only man who has ever told me he was a gentleman-and mr Popple never fails to mention it."	false	353.51	364.32	23.202988
2230_148550_000013_000000	Undine's ear was too well attuned to the national note of irony for her not to perceive that her companions were making sport of the painter. She winced at their banter as if it had been at her own expense, yet it gave her a dizzy sense of being at last in the very stronghold of fashion.	Undine's ear was too well attuned to the national note of irony for her not to perceive that her companions were making sport of the painter. She winced at their banter as if it had been at her own expense, yet it gave her a dizzy sense of being at last in the very stronghold of fashion.	false	364.32	380.47	22.673115
2230_148550_000013_000001	Her attention was diverted by hearing Mrs. Van Degen, under cover of the general laugh, say in a low tone to young Marvell: "I thought you liked his things, or I wouldn't have had him paint me."	Her attention was diverted by hearing mrs Van Degen, under cover of the general laugh, say in a low tone to young Marvell: "I thought you liked his things, or I wouldn't have had him paint me."	false	380.96	390.94	23.31922
2230_148550_000014_000000	Something in her tone made all Undine's perceptions bristle, and she strained her ears for the answer.	Something in her tone made all Undine's perceptions bristle, and she strained her ears for the answer.	true	391.4	396.94	20.71676
2230_148550_000015_000000	"I think he'll do you capitally--you must let me come and see some day soon." Marvell's tone was always so light, so unemphasized, that she could not be sure of its being as indifferent as it sounded.	"I think he'll do you capitally-you must let me come and see some day soon." Marvell's tone was always so light, so unemphasized, that she could not be sure of its being as indifferent as it sounded.	true	397.52	408.7	22.08443
2230_148550_000015_000001	She looked down at the fruit on her plate and shot a side-glance through her lashes at Mrs. Peter Van Degen.	She looked down at the fruit on her plate and shot a side glance through her lashes at mrs peter Van Degen.	true	409.22	414.52	21.911736
2230_148550_000016_000000	Mrs. Van Degen was neither beautiful nor imposing: just a dark girlish-looking creature with plaintive eyes and a fidgety frequent laugh.	mrs Van Degen was neither beautiful nor imposing: just a dark girlish looking creature with plaintive eyes and a fidgety frequent laugh.	true	415.49	423.43	22.876026
2230_148550_000016_000001	But she was more elaborately dressed and jewelled than the other ladies, and her elegance and her restlessness made her seem less alien to Undine.	But she was more elaborately dressed and jewelled than the other ladies, and her elegance and her restlessness made her seem less alien to Undine.	true	423.65	431.02	20.404556
2230_148550_000016_000002	She had turned on Marvell a gaze at once pleading and possessive; but whether betokening merely an inherited intimacy (Undine had noticed that they were all more or less cousins) or a more personal feeling, her observer was unable to decide; just as the tone of the young man's reply might have expressed the open avowal of good-fellowship or the disguise of a different sentiment.	She had turned on Marvell a gaze at once pleading and possessive; but whether betokening merely an inherited intimacy (Undine had noticed that they were all more or less cousins) or a more personal feeling, her observer was unable to decide; just as the tone of the young man's reply might have expressed the open avowal of good fellowship or the disguise of a different sentiment.	true	431.63	452.94	22.618666
2230_148550_000016_000003	All was blurred and puzzling to the girl in this world of half-lights, half-tones, eliminations and abbreviations; and she felt a violent longing to brush away the cobwebs and assert herself as the dominant figure of the scene.	All was blurred and puzzling to the girl in this world of half lights, half tones, eliminations and abbreviations; and she felt a violent longing to brush away the cobwebs and assert herself as the dominant figure of the scene.	false	452.94	465.28	22.07263
2230_148550_000017_000000	Yet in the drawing-room, with the ladies, where Mrs. Fairford came and sat by her, the spirit of caution once more prevailed.	Yet in the drawing room, with the ladies, where mrs Fairford came and sat by her, the spirit of caution once more prevailed.	true	466.46	472.96	21.913738
2230_148550_000017_000001	She wanted to be noticed but she dreaded to be patronized, and here again her hostess's gradations of tone were confusing.	She wanted to be noticed but she dreaded to be patronized, and here again her hostess's gradations of tone were confusing.	true	473.27	480.13	21.633852
2230_148550_000017_000002	Mrs. Fairford made no tactless allusions to her being a newcomer in New York--there was nothing as bitter to the girl as that--but her questions as to what pictures had interested Undine at the various exhibitions of the moment, and which of the new books she had read, were almost as open to suspicion, since they had to be answered in the negative.	mrs Fairford made no tactless allusions to her being a newcomer in New York-there was nothing as bitter to the girl as that-but her questions as to what pictures had interested Undine at the various exhibitions of the moment, and which of the new books she had read, were almost as open to suspicion, since they had to be answered in the negative.	false	480.71	499.27	23.336088
2230_148550_000017_000003	Undine did not even know that there were any pictures to be seen, much less that "people" went to see them; and she had read no new book but "When The Kissing Had to Stop," of which Mrs. Fairford seemed not to have heard.	Undine did not even know that there were any pictures to be seen, much less that "people" went to see them; and she had read no new book but "When The Kissing Had to Stop," of which mrs Fairford seemed not to have heard.	true	499.97	511.69	23.968609
2230_148550_000017_000004	On the theatre they were equally at odds, for while Undine had seen "Oolaloo" fourteen times, and was "wild" about Ned Norris in "The Soda-Water Fountain," she had not heard of the famous Berlin comedians who were performing Shakespeare at the German Theatre, and knew only by name the clever American actress who was trying to give "repertory" plays with a good stock company.	On the theatre they were equally at odds, for while Undine had seen "Oolaloo" fourteen times, and was "wild" about Ned Norris in "The Soda Water Fountain," she had not heard of the famous Berlin comedians who were performing Shakespeare at the German Theatre, and knew only by name the clever American actress who was trying to give "repertory" plays with a good stock company.	false	512.21	531.97	23.152857
2230_148550_000017_000005	The conversation was revived for a moment by her recalling that she had seen Sarah Bernhard in a play she called "Leg-long," and another which she pronounced "Fade"; but even this did not carry them far, as she had forgotten what both plays were about and had found the actress a good deal older than she expected.	The conversation was revived for a moment by her recalling that she had seen Sarah Bernhard in a play she called "Leg long," and another which she pronounced "Fade"; but even this did not carry them far, as she had forgotten what both plays were about and had found the actress a good deal older than she expected.	true	532.73	549.85	22.020525
2230_148550_000018_000000	Matters were not improved by the return of the men from the smoking-room.	Matters were not improved by the return of the men from the smoking room.	true	551	554.53	19.396801
2230_148550_000018_000001	Henley Fairford replaced his wife at Undine's side; and since it was unheard-of at Apex for a married man to force his society on a young girl, she inferred that the others didn't care to talk to her, and that her host and hostess were in league to take her off their hands.	Henley Fairford replaced his wife at Undine's side; and since it was unheard of at Apex for a married man to force his society on a young girl, she inferred that the others didn't care to talk to her, and that her host and hostess were in league to take her off their hands.	false	555.05	569.62	22.921444
2230_148550_000018_000002	This discovery resulted in her holding her vivid head very high, and answering "I couldn't really say," or "Is that so?" to all Mr. Fairford's ventures; and as these were neither numerous nor striking it was a relief to both when the rising of the elderly lady gave the signal for departure.	This discovery resulted in her holding her vivid head very high, and answering "I couldn't really say," or "Is that so?" to all mr Fairford's ventures; and as these were neither numerous nor striking it was a relief to both when the rising of the elderly lady gave the signal for departure.	true	570.38	586.93	22.071545
2230_148550_000019_000000	In the hall, where young Marvell had managed to precede her.	In the hall, where young Marvell had managed to precede her.	true	587.87	590.98	22.912666
2230_148550_000019_000001	Undine found Mrs. Van Degen putting on her cloak.	Undine found mrs Van Degen putting on her cloak.	true	591.17	594.49	23.265575
2230_148550_000019_000002	As she gathered it about her she laid her hand on Marvell's arm.	As she gathered it about her she laid her hand on Marvell's arm.	true	594.71	597.73	18.865694
2230_148550_000020_000000	"Ralphie, dear, you'll come to the opera with me on Friday?	"Ralphie, dear, you'll come to the opera with me on Friday?	true	598.28	601.15	22.99385
2230_148550_000020_000001	We'll dine together first--Peter's got a club dinner." They exchanged what seemed a smile of intelligence, and Undine heard the young man accept.	We'll dine together first-Peter's got a club dinner." They exchanged what seemed a smile of intelligence, and Undine heard the young man accept.	true	601.37	608.89	21.180023
2230_148550_000020_000002	Then Mrs. Van Degen turned to her.	Then mrs Van Degen turned to her.	true	609.05	611.23	23.719027
2230_148550_000021_000000	"Good-bye, Miss Spragg.	"Good bye, Miss Spragg.	true	611.69	613.2	23.869385
2230_148550_000021_000001	I hope you'll come--"	I hope you'll come-"	true	613.2	614.89	21.820772
2230_148550_000022_000000	"--TO DINE WITH ME TOO?" That must be what she was going to say, and Undine's heart gave a bound.	"--TO DINE WITH ME TOO?" That must be what she was going to say, and Undine's heart gave a bound.	true	615.32	620.08	22.132097
2230_148550_000023_000000	"--to see me some afternoon," Mrs. Van Degen ended, going down the steps to her motor, at the door of which a much-furred footman waited with more furs on his arm.	"--to see me some afternoon," mrs Van Degen ended, going down the steps to her motor, at the door of which a much furred footman waited with more furs on his arm.	true	620.84	629.2	21.743267
2230_148550_000024_000000	Undine's face burned as she turned to receive her cloak.	Undine's face burned as she turned to receive her cloak.	true	629.96	632.88	23.384075
2230_148550_000024_000001	When she had drawn it on with haughty deliberation she found Marvell at her side, in hat and overcoat, and her heart gave a higher bound.	When she had drawn it on with haughty deliberation she found Marvell at her side, in hat and overcoat, and her heart gave a higher bound.	false	632.88	639.52	21.384089
2230_148550_000024_000002	He was going to "escort" her home, of course!	He was going to "escort" her home, of course!	true	639.86	642.19	20.240458
2230_148550_000024_000003	This brilliant youth--she felt now that he WAS brilliant--who dined alone with married women, whom the "Van Degen set" called "Ralphie, dear," had really no eyes for any one but herself; and at the thought her lost self-complacency flowed back warm through her veins.	This brilliant youth-she felt now that he WAS brilliant-who dined alone with married women, whom the "Van Degen set" called "Ralphie, dear," had really no eyes for any one but herself; and at the thought her lost self complacency flowed back warm through her veins.	false	642.23	691.11	21.838165
