398_130093_000000_000000	The Red Badge of Courage	The Red Badge of Courage	false	4.08	5.19	20.459755
398_130093_000016_000002	They grew much excited over it.	They grew much excited over it.	true	224.15	225.76	18.880236
398_130093_000017_000000	There was a youthful private who listened with eager ears to the words of the tall soldier and to the varied comments of his comrades.	There was a youthful private who listened with eager ears to the words of the tall soldier and to the varied comments of his comrades.	true	227.12	234.49	18
398_130093_000017_000001	After receiving a fill of discussions concerning marches and attacks, he went to his hut and crawled through an intricate hole that served it as a door.	After receiving a fill of discussions concerning marches and attacks, he went to his hut and crawled through an intricate hole that served it as a door.	false	234.71	242.98	18.117874
398_130093_000017_000002	He wished to be alone with some new thoughts that had lately come to him.	He wished to be alone with some new thoughts that had lately come to him.	true	243.8	247.48	16.43595
398_130093_000018_000000	He lay down on a wide bunk that stretched across the end of the room. In the other end, cracker boxes were made to serve as furniture.	He lay down on a wide bunk that stretched across the end of the room. In the other end, cracker boxes were made to serve as furniture.	true	249.2	257.08	18.55164
398_130093_000018_000001	They were grouped about the fireplace.	They were grouped about the fireplace.	true	257.33	259.11	17
398_130093_000018_000002	A picture from an illustrated weekly was upon the log walls, and three rifles were paralleled on pegs. Equipments hung on handy projections, and some tin dishes lay upon a small pile of firewood.	A picture from an illustrated weekly was upon the log walls, and three rifles were paralleled on pegs. Equipments hung on handy projections, and some tin dishes lay upon a small pile of firewood.	false	259.11	271.78	17.114716
398_130093_000018_000003	A folded tent was serving as a roof.	A folded tent was serving as a roof.	true	271.91	274.39	16.073038
398_130093_000018_000004	The sunlight, without, beating upon it, made it glow a light yellow shade. A small window shot an oblique square of whiter light upon the cluttered floor.	The sunlight, without, beating upon it, made it glow a light yellow shade. A small window shot an oblique square of whiter light upon the cluttered floor.	true	274.61	284.32	17.396955
398_130093_000018_000005	The smoke from the fire at times neglected the clay chimney and wreathed into the room, and this flimsy chimney of clay and sticks made endless threats to set ablaze the whole establishment.	The smoke from the fire at times neglected the clay chimney and wreathed into the room, and this flimsy chimney of clay and sticks made endless threats to set ablaze the whole establishment.	true	285.2	297.19	17.809292
398_130093_000019_000000	The youth was in a little trance of astonishment.	The youth was in a little trance of astonishment.	false	297.2	300.31	17
398_130093_000019_000001	So they were at last going to fight.	So they were at last going to fight.	true	300.35	302.65	21.125528
398_130093_000019_000002	On the morrow, perhaps, there would be a battle, and he would be in it.	On the morrow, perhaps, there would be a battle, and he would be in it.	true	302.87	307.33	18.612688
398_130093_000019_000003	For a time he was obliged to labor to make himself believe.	For a time he was obliged to labor to make himself believe.	true	307.82	311.38	16.83445
398_130093_000019_000004	He could not accept with assurance an omen that he was about to mingle in one of those great affairs of the earth.	He could not accept with assurance an omen that he was about to mingle in one of those great affairs of the earth.	true	311.6	317.68	17
398_130093_000020_000000	He had, of course, dreamed of battles all his life--of vague and bloody conflicts that had thrilled him with their sweep and fire.	He had, of course, dreamed of battles all his life-of vague and bloody conflicts that had thrilled him with their sweep and fire.	true	318.41	326.02	16.813772
398_130093_000020_000001	In visions he had seen himself in many struggles.	In visions he had seen himself in many struggles.	true	326.72	329.68	16
398_130093_000020_000002	He had imagined peoples secure in the shadow of his eagle-eyed prowess.	He had imagined peoples secure in the shadow of his eagle eyed prowess.	true	329.87	334.45	16
398_130093_000020_000003	But awake he had regarded battles as crimson blotches on the pages of the past.	But awake he had regarded battles as crimson blotches on the pages of the past.	true	334.88	339.58	16
398_130093_000020_000004	He had put them as things of the bygone with his thought-images of heavy crowns and high castles.	He had put them as things of the bygone with his thought images of heavy crowns and high castles.	true	340.22	346.8	17.637524
398_130093_000020_000005	There was a portion of the world's history which he had regarded as the time of wars, but it, he thought, had been long gone over the horizon and had disappeared forever.	There was a portion of the world's history which he had regarded as the time of wars, but it, he thought, had been long gone over the horizon and had disappeared forever.	true	346.8	357.64	16.970303
398_130093_000021_000000	From his home his youthful eyes had looked upon the war in his own country with distrust.	From his home his youthful eyes had looked upon the war in his own country with distrust.	true	358.7	364.3	16.1078
398_130093_000021_000001	It must be some sort of a play affair.	It must be some sort of a play affair.	true	364.94	368.14	15.784198
398_130093_000021_000002	He had long despaired of witnessing a Greeklike struggle.	He had long despaired of witnessing a Greeklike struggle.	true	368.75	371.71	18.32426
398_130093_000021_000003	Such would be no more, he had said.	Such would be no more, he had said.	true	371.84	374.55	14.504127
398_130093_000021_000004	Men were better, or more timid.	Men were better, or more timid.	false	374.55	376.57	16.94796
398_130093_000021_000005	Secular and religious education had effaced the throat-grappling instinct, or else firm finance held in check the passions.	Secular and religious education had effaced the throat grappling instinct, or else firm finance held in check the passions.	true	376.58	385.24	17.048845
398_130093_000022_000000	He had burned several times to enlist.	He had burned several times to enlist.	true	386.48	388.87	15.277381
398_130093_000022_000001	Tales of great movements shook the land.	Tales of great movements shook the land.	true	388.88	391.21	17.61129
398_130093_000022_000002	They might not be distinctly Homeric, but there seemed to be much glory in them.	They might not be distinctly Homeric, but there seemed to be much glory in them.	true	391.94	396.52	17.626963
398_130093_000022_000003	He had read of marches, sieges, conflicts, and he had longed to see it all.	He had read of marches, sieges, conflicts, and he had longed to see it all.	false	396.95	401.38	17.650227
398_130093_000022_000004	His busy mind had drawn for him large pictures extravagant in color, lurid with breathless deeds.	His busy mind had drawn for him large pictures extravagant in color, lurid with breathless deeds.	false	401.63	409.3	17.040335
398_130093_000023_000000	But his mother had discouraged him.	But his mother had discouraged him.	true	409.76	411.46	14.686256
398_130093_000023_000001	She had affected to look with some contempt upon the quality of his war ardor and patriotism.	She had affected to look with some contempt upon the quality of his war ardor and patriotism.	true	412.31	417.52	16.862421
398_130093_000023_000002	She could calmly seat herself and with no apparent difficulty give him many hundreds of reasons why he was of vastly more importance on the farm than on the field of battle.	She could calmly seat herself and with no apparent difficulty give him many hundreds of reasons why he was of vastly more importance on the farm than on the field of battle.	false	418.1	429.19	16.21346
398_130093_000023_000003	She had had certain ways of expression that told him that her statements on the subject came from a deep conviction.	She had had certain ways of expression that told him that her statements on the subject came from a deep conviction.	false	429.53	436.51	16.484184
398_130093_000023_000004	Moreover, on her side, was his belief that her ethical motive in the argument was impregnable.	Moreover, on her side, was his belief that her ethical motive in the argument was impregnable.	true	437.6	443.68	17.6242
398_130093_000024_000000	At last, however, he had made firm rebellion against this yellow light thrown upon the color of his ambitions.	At last, however, he had made firm rebellion against this yellow light thrown upon the color of his ambitions.	true	444.92	451.27	16.106255
398_130093_000024_000001	The newspapers, the gossip of the village, his own picturings, had aroused him to an uncheckable degree.	The newspapers, the gossip of the village, his own picturings, had aroused him to an uncheckable degree.	true	451.49	458.17	18.698772
398_130093_000024_000002	They were in truth fighting finely down there.	They were in truth fighting finely down there.	true	458.66	461.11	15.637805
398_130093_000024_000003	Almost every day the newspaper printed accounts of a decisive victory.	Almost every day the newspaper printed accounts of a decisive victory.	true	461.48	465.73	15.620897
398_130093_000025_000000	One night, as he lay in bed, the winds had carried to him the clangoring of the church bell as some enthusiast jerked the rope frantically to tell the twisted news of a great battle.	One night, as he lay in bed, the winds had carried to him the clangoring of the church bell as some enthusiast jerked the rope frantically to tell the twisted news of a great battle.	false	466.85	477.7	17.770739
398_130093_000025_000001	This voice of the people rejoicing in the night had made him shiver in a prolonged ecstasy of excitement.	This voice of the people rejoicing in the night had made him shiver in a prolonged ecstasy of excitement.	true	478.16	484.87	16.663279
398_130093_000025_000002	Later, he had gone down to his mother's room and had spoken thus: "Ma, I'm going to enlist."	Later, he had gone down to his mother's room and had spoken thus: "Ma, I'm going to enlist."	true	485.54	491.71	17.611347
398_130093_000026_000000	"Henry, don't you be a fool," his mother had replied.	"Henry, don't you be a fool," his mother had replied.	false	493.16	497.23	16.241447
398_130093_000026_000001	She had then covered her face with the quilt.	She had then covered her face with the quilt.	true	497.63	500.05	20.778278
398_130093_000026_000002	There was an end to the matter for that night.	There was an end to the matter for that night.	true	500.27	503.29	15.594618
398_130093_000027_000000	Nevertheless, the next morning he had gone to a town that was near his mother's farm and had enlisted in a company that was forming there. When he had returned home his mother was milking the brindle cow.	Nevertheless, the next morning he had gone to a town that was near his mother's farm and had enlisted in a company that was forming there. When he had returned home his mother was milking the brindle cow.	true	504.08	515.53	16.996912
398_130093_000027_000001	Four others stood waiting.	Four others stood waiting.	true	515.84	517.51	19.092983
398_130093_000027_000002	"Ma, I've enlisted," he had said to her diffidently.	"Ma, I've enlisted," he had said to her diffidently.	false	518.72	522.78	15.032219
398_130093_000027_000003	There was a short silence.	There was a short silence.	true	522.78	524.56	18.935865
398_130093_000027_000004	"The Lord's will be done, Henry," she had finally replied, and had then continued to milk the brindle cow.	"The Lord's will be done, Henry," she had finally replied, and had then continued to milk the brindle cow.	true	526.25	534.1	15.600547
398_130093_000028_000000	When he had stood in the doorway with his soldier's clothes on his back, and with the light of excitement and expectancy in his eyes almost defeating the glow of regret for the home bonds, he had seen two tears leaving their trails on his mother's scarred cheeks.	When he had stood in the doorway with his soldier's clothes on his back, and with the light of excitement and expectancy in his eyes almost defeating the glow of regret for the home bonds, he had seen two tears leaving their trails on his mother's scarred cheeks.	false	535.55	550.36	17.787401
398_130093_000029_000000	Still, she had disappointed him by saying nothing whatever about returning with his shield or on it.	Still, she had disappointed him by saying nothing whatever about returning with his shield or on it.	false	551.78	557.38	16.469242
398_130093_000029_000001	He had privately primed himself for a beautiful scene.	He had privately primed himself for a beautiful scene.	true	558.95	562.39	19.134338
398_130093_000029_000002	He had prepared certain sentences which he thought could be used with touching effect.	He had prepared certain sentences which he thought could be used with touching effect.	true	563.21	567.76	18.151108
398_130093_000029_000003	But her words destroyed his plans.	But her words destroyed his plans.	true	568.19	571.45	14.996125
398_130093_000029_000004	She had doggedly peeled potatoes and addressed him as follows: "You watch out, Henry, an' take good care of yerself in this here fighting business--you watch, an' take good care of yerself. Don't go a-thinkin' you can lick the hull rebel army at the start, because yeh can't.	She had doggedly peeled potatoes and addressed him as follows: "You watch out, Henry, an' take good care of yerself in this here fighting business-you watch, an' take good care of yerself. Don't go a thinkin' you can lick the hull rebel army at the start, because yeh can't.	false	571.52	588.81	19.057499
398_130093_000029_000005	Yer jest one little feller amongst a hull lot of others, and yeh've got to keep quiet an' do what they tell yeh.	Yer jest one little feller amongst a hull lot of others, and yeh've got to keep quiet an' do what they tell yeh.	false	588.81	597.36	18.701868
398_130093_000029_000006	I know how you are, Henry.	I know how you are, Henry.	true	597.36	598.75	19.58567
398_130093_000030_000000	"I've knet yeh eight pair of socks, Henry, and I've put in all yer best shirts, because I want my boy to be jest as warm and comf'able as anybody in the army.	"I've k n e t yeh eight pair of socks, Henry, and I've put in all yer best shirts, because I want my boy to be jest as warm and comf'able as anybody in the army.	false	600.26	610.21	19.83122
398_130093_000030_000001	Whenever they get holes in 'em, I want yeh to send 'em right-away back to me, so's I kin dern 'em.	Whenever they get holes in 'em, I want yeh to send 'em right away back to me, so's I kin dern 'em.	false	610.82	616.2	18.781694
398_130093_000031_000000	"An' allus be careful an' choose yer comp'ny.	"An' allus be careful an' choose yer comp'ny.	false	616.2	620.52	18.449667
398_130093_000031_000001	There's lots of bad men in the army, Henry.	There's lots of bad men in the army, Henry.	false	620.52	622.87	19.230675
398_130093_000031_000002	The army makes 'em wild, and they like nothing better than the job of leading off a young feller like you, as ain't never been away from home much and has allus had a mother, an' a-learning 'em to drink and swear.	The army makes 'em wild, and they like nothing better than the job of leading off a young feller like you, as ain't never been away from home much and has allus had a mother, an' a learning 'em to drink and swear.	false	623.9	638.53	19.082571
398_130093_000031_000003	Keep clear of them folks, Henry.	Keep clear of them folks, Henry.	false	638.78	640.9	19.687967
398_130093_000031_000004	I don't want yeh to ever do anything, Henry, that yeh would be 'shamed to let me know about.	I don't want yeh to ever do anything, Henry, that yeh would be 'shamed to let me know about.	false	641.33	647.37	20.116146
398_130093_000031_000005	Jest think as if I was a-watchin' yeh.	Jest think as if I was a watchin' yeh.	false	647.37	651.96	16.2327
398_130093_000031_000006	If yeh keep that in yer mind allus, I guess yeh'll come out about right.	If yeh keep that in yer mind allus, I guess yeh'll come out about right.	false	651.96	657.18	16.194891
398_130093_000032_000000	"Yeh must allus remember yer father, too, child, an' remember he never drunk a drop of licker in his life, and seldom swore a cross oath.	"Yeh must allus remember yer father, too, child, an' remember he never drunk a drop of licker in his life, and seldom swore a cross oath.	false	657.18	667.78	18.336348
398_130093_000033_000000	"I don't know what else to tell yeh, Henry, excepting that yeh must never do no shirking, child, on my account.	"I don't know what else to tell yeh, Henry, excepting that yeh must never do no shirking, child, on my account.	false	669.59	675.13	18.346428
398_130093_000033_000001	If so be a time comes when yeh have to be kilt of do a mean thing, why, Henry, don't think of anything 'cept what's right, because there's many a woman has to bear up 'ginst sech things these times, and the Lord 'll take keer of us all.	If so be a time comes when yeh have to be kilt of do a mean thing, why, Henry, don't think of anything 'cept what's right, because there's many a woman has to bear up 'ginst sech things these times, and the Lord 'l l take keer of us all.	false	675.29	694.41	17.967405
398_130093_000034_000000	"Don't forgit about the socks and the shirts, child; and I've put a cup of blackberry jam with yer bundle, because I know yeh like it above all things.	"Don't forgit about the socks and the shirts, child; and I've put a cup of blackberry jam with yer bundle, because I know yeh like it above all things.	false	694.41	702.22	20
398_130093_000034_000001	Good-by, Henry.	Good by, Henry.	false	702.62	704.13	12.601889
398_130093_000034_000002	Watch out, and be a good boy."	Watch out, and be a good boy."	true	704.13	707.08	17.425266
398_130093_000035_000000	He had, of course, been impatient under the ordeal of this speech.	He had, of course, been impatient under the ordeal of this speech.	true	708.71	712.48	19
398_130093_000035_000001	It had not been quite what he expected, and he had borne it with an air of irritation.	It had not been quite what he expected, and he had borne it with an air of irritation.	true	712.82	717.91	17.857794
398_130093_000035_000002	He departed feeling vague relief.	He departed feeling vague relief.	true	718.46	721.27	16.903309
398_130093_000036_000000	Still, when he had looked back from the gate, he had seen his mother kneeling among the potato parings.	Still, when he had looked back from the gate, he had seen his mother kneeling among the potato parings.	true	722.66	729.61	16.722084
398_130093_000036_000001	Her brown face, upraised, was stained with tears, and her spare form was quivering.	Her brown face, upraised, was stained with tears, and her spare form was quivering.	true	729.98	735.61	16.782772
398_130093_000036_000002	He bowed his head and went on, feeling suddenly ashamed of his purposes.	He bowed his head and went on, feeling suddenly ashamed of his purposes.	true	736.46	741.76	15.551311
398_130093_000037_000000	From his home he had gone to the seminary to bid adieu to many schoolmates.	From his home he had gone to the seminary to bid adieu to many schoolmates.	true	742.79	747.16	16
398_130093_000037_000001	They had thronged about him with wonder and admiration. He had felt the gulf now between them and had swelled with calm pride. He and some of his fellows who had donned blue were quite overwhelmed with privileges for all of one afternoon, and it had been a very delicious thing.	They had thronged about him with wonder and admiration. He had felt the gulf now between them and had swelled with calm pride. He and some of his fellows who had donned blue were quite overwhelmed with privileges for all of one afternoon, and it had been a very delicious thing.	true	747.71	764.35	16
398_130093_000037_000002	They had strutted.	They had strutted.	true	764.99	766.21	17.175497
398_130093_000038_000000	A certain light-haired girl had made vivacious fun at his martial spirit, but there was another and darker girl whom he had gazed at steadfastly, and he thought she grew demure and sad at sight of his blue and brass.	A certain light haired girl had made vivacious fun at his martial spirit, but there was another and darker girl whom he had gazed at steadfastly, and he thought she grew demure and sad at sight of his blue and brass.	true	768.74	780.76	21.563837
398_130093_000038_000001	As he had walked down the path between the rows of oaks, he had turned his head and detected her at a window watching his departure.	As he had walked down the path between the rows of oaks, he had turned his head and detected her at a window watching his departure.	false	781.49	787.81	24.671654
398_130093_000038_000002	As he perceived her, she had immediately begun to stare up through the high tree branches at the sky.	As he perceived her, she had immediately begun to stare up through the high tree branches at the sky.	true	788	792.43	24.143843
398_130093_000038_000003	He had seen a good deal of flurry and haste in her movement as she changed her attitude.	He had seen a good deal of flurry and haste in her movement as she changed her attitude.	true	793.31	797.77	21.951555
398_130093_000038_000004	He often thought of it.	He often thought of it.	true	797.96	799.24	20.46831
398_130093_000039_000000	On the way to Washington his spirit had soared.	On the way to Washington his spirit had soared.	true	800.42	803.11	21.400854
398_130093_000039_000001	The regiment was fed and caressed at station after station until the youth had believed that he must be a hero.	The regiment was fed and caressed at station after station until the youth had believed that he must be a hero.	true	803.27	808.99	23.314154
398_130093_000039_000002	There was a lavish expenditure of bread and cold meats, coffee, and pickles and cheese.	There was a lavish expenditure of bread and cold meats, coffee, and pickles and cheese.	true	809.57	813.82	22.540342
398_130093_000039_000003	As he basked in the smiles of the girls and was patted and complimented by the old men, he had felt growing within him the strength to do mighty deeds of arms.	As he basked in the smiles of the girls and was patted and complimented by the old men, he had felt growing within him the strength to do mighty deeds of arms.	true	815	825.13	21.25309
398_130093_000040_000000	After complicated journeyings with many pauses, there had come months of monotonous life in a camp.	After complicated journeyings with many pauses, there had come months of monotonous life in a camp.	false	825.29	831.25	22.269487
398_130093_000040_000001	He had had the belief that real war was a series of death struggles with small time in between for sleep and meals; but since his regiment had come to the field the army had done little but sit still and try to keep warm.	He had had the belief that real war was a series of death struggles with small time in between for sleep and meals; but since his regiment had come to the field the army had done little but sit still and try to keep warm.	false	831.44	843.49	21.587263
398_130093_000041_000000	He was brought then gradually back to his old ideas.	He was brought then gradually back to his old ideas.	true	844.22	847.15	24.661684
398_130093_000041_000001	Greeklike struggles would be no more.	Greeklike struggles would be no more.	true	847.31	849.25	20.918476
398_130093_000041_000002	Men were better, or more timid.	Men were better, or more timid.	true	849.68	852.07	22.949726
398_130093_000041_000003	Secular and religious education had effaced the throat-grappling instinct, or else firm finance held in check the passions.	Secular and religious education had effaced the throat grappling instinct, or else firm finance held in check the passions.	true	852.17	859.51	24.02002
398_130093_000042_000000	He had grown to regard himself merely as a part of a vast blue demonstration.	He had grown to regard himself merely as a part of a vast blue demonstration.	true	860.21	864.4	22.236446
398_130093_000042_000001	His province was to look out, as far as he could, for his personal comfort.	His province was to look out, as far as he could, for his personal comfort.	true	865.25	870.01	24.340883
398_130093_000042_000002	For recreation he could twiddle his thumbs and speculate on the thoughts which must agitate the minds of the generals. Also, he was drilled and drilled and reviewed, and drilled and drilled and reviewed.	For recreation he could twiddle his thumbs and speculate on the thoughts which must agitate the minds of the generals. Also, he was drilled and drilled and reviewed, and drilled and drilled and reviewed.	true	870.86	881.98	22.297377
398_130093_000043_000000	The only foes he had seen were some pickets along the river bank.	The only foes he had seen were some pickets along the river bank.	true	883.91	887.47	21.656929
398_130093_000043_000001	They were a sun-tanned, philosophical lot, who sometimes shot reflectively at the blue pickets.	They were a sun tanned, philosophical lot, who sometimes shot reflectively at the blue pickets.	true	888.14	893.86	21.544239
398_130093_000043_000002	When reproached for this afterward, they usually expressed sorrow, and swore by their gods that the guns had exploded without their permission.	When reproached for this afterward, they usually expressed sorrow, and swore by their gods that the guns had exploded without their permission.	true	894.5	901.15	24.833876
398_130093_000043_000003	The youth, on guard duty one night, conversed across the stream with one of them.	The youth, on guard duty one night, conversed across the stream with one of them.	true	901.64	906.49	21.677706
398_130093_000043_000004	He was a slightly ragged man, who spat skillfully between his shoes and possessed a great fund of bland and infantile assurance.	He was a slightly ragged man, who spat skillfully between his shoes and possessed a great fund of bland and infantile assurance.	true	907.19	914.95	21.238527
398_130093_000043_000005	The youth liked him personally.	The youth liked him personally.	true	915.74	917.65	22.499966
398_130093_000044_000000	"Yank," the other had informed him, "yer a right dum good feller." This sentiment, floating to him upon the still air, had made him temporarily regret war.	"Yank," the other had informed him, "yer a right dum good feller." This sentiment, floating to him upon the still air, had made him temporarily regret war.	true	919.13	930.67	21.934587
398_130093_000045_000000	Various veterans had told him tales.	Various veterans had told him tales.	true	931.55	933.82	22.287075
398_130093_000045_000001	Some talked of gray, bewhiskered hordes who were advancing with relentless curses and chewing tobacco with unspeakable valor; tremendous bodies of fierce soldiery who were sweeping along like the Huns.	Some talked of gray, bewhiskered hordes who were advancing with relentless curses and chewing tobacco with unspeakable valor; tremendous bodies of fierce soldiery who were sweeping along like the Huns.	true	934.1	947.77	22.911724
398_130093_000045_000002	Others spoke of tattered and eternally hungry men who fired despondent powders.	Others spoke of tattered and eternally hungry men who fired despondent powders.	true	948.23	953.65	24.023655
398_130093_000045_000003	"They'll charge through hell's fire an' brimstone t' git a holt on a haversack, an' sech stomachs ain't a'lastin' long," he was told.	"They'll charge through hell's fire an' brimstone t' git a holt on a haversack, an' sech stomachs ain't a'lastin' long," he was told.	false	954.08	962.05	23.777292
398_130093_000045_000004	From the stories, the youth imagined the red, live bones sticking out through slits in the faded uniforms.	From the stories, the youth imagined the red, live bones sticking out through slits in the faded uniforms.	false	962.84	969.25	21.166758
398_130093_000046_000000	Still, he could not put a whole faith in veteran's tales, for recruits were their prey.	Still, he could not put a whole faith in veteran's tales, for recruits were their prey.	true	969.86	974.26	21.340216
398_130093_000046_000001	They talked much of smoke, fire, and blood, but he could not tell how much might be lies.	They talked much of smoke, fire, and blood, but he could not tell how much might be lies.	true	974.75	979.96	25.011517
398_130093_000046_000002	They persistently yelled "Fresh fish!" at him, and were in no wise to be trusted.	They persistently yelled "Fresh fish!" at him, and were in no wise to be trusted.	true	980	986.08	19.02834
